B2 L' R U B' L2
B2 R L' U B' L2
U2 B2 R U L B
L2 B2 R U L B'
L' R' D' U2 R2 B' F2
L' R' D' U2 F2 R2 B'
L' R' D' U2 F2 B' R2
L' R' D' U2 B' R2 F2
L' R' D' U2 B' F2 R2
L R' D' U2 F2 R2 B
L R' D' F U2 R2 F
L R' D' F U2 F R2
R L' D' F2 U R2 B'
R L' D' F2 U B' R2
L R' F U R2 B2 U
L R' F U B2 R2 U
L R' F U2 D' R2 F2
L R' F U2 D' F2 R2
L R' F D L2 B2 U2
L R' F D B2 L2 U2
L R' F D' U2 R2 F2
L R' F D' U2 F2 R2
F2 L' U2 B2 U L B
B2 L' D R F2 U B'
R L' B2 U D2 L2 B
R L' B2 U D2 B L2
R L' B2 U B D2 L2
R L' B2 U' R2 F' U2
R L' B2 D' F2 U B
R L' B2 D2 U L2 B
R L' B2 D2 U B L2
B L' B R U L B2
F' L' B2 U L F B
F' L' B2 U L B F
U2 L' B2 R U L B
B2 L2 R U L B' L2
B L2 B R U L B'
R' U R2 B L B U
F' L2 B2 U L F B'
F' L2 B2 U L B' F
U2 L2 B2 R U L B
F2 L2 B2 R' U L B'
B2 R L' U B L2 B2
B2 R L' U B' L2 D
B2 R L' U B' L2 D'
B2 R L' U B' L2 D2
B2 R L' U B2 L2 B
B2 R L' D F2 U B'
B2 R L' F U B' L2
B2 R L' F' U B' L2
B2 R L' F2 U B' L2
B2 R L2 U L B' L2
R' U B L B R2 U
B2 R U2 R U' L B
B2 R D L' U B' L2
L2 U B2 R U L B'
B2 R D' L' U B' L2
U2 R D' F2 U B R2
B2 R D2 L' U B' L2
B2 R F L' U B' L2
B2 R F' L' U B' L2
B2 R F2 L' U B' L2
B' R B' L' U B' L2
U2 R B2 U D2 B' L2
U2 R B2 U B' D2 L2
U2 R B2 U' R2 U2 B'
U2 R B2 D' F2 U B'
U2 R B2 D2 U B' L2
D' R' U R2 U R B
U2 R' U R2 B2 U B'
U2 R' U B2 R2 U B
U2 R' U2 D' R2 F2 B
U2 R' U2 D' R2 B F2
U2 R' D L2 F' B2 U2
U2 R' D L2 B2 F' U2
D' R' D B2 L F U2
U2 R' D F' L2 B2 U2
L2 U' B2 R U L B'
U2 R' D F' B2 L2 U2
D' R' D' R' F2 L' B'
U2 R' D B2 L2 F' U2
U2 R' D B2 F' L2 U2
U2 R' D' U2 R2 F2 B
U2 R' D' U2 R2 B F2
U2 R' D' F' U2 F' R2
U2 R' F' U R2 B2 U
U2 R' F' U B2 R2 U
U2 R' F' U2 D' R2 F2
U2 R' F' U2 D' F2 R2
U2 R' F' D L2 B2 U2
U2 R' F' D B2 L2 U2
U2 R' F' D' U2 R2 F2
U2 R' F' D' U2 F2 R2
R' U2 D' R B R F2
R' U2 D' F2 R B R
L2 U2 B2 R U L B'
R' D L F L B2 U2
R' D L F B2 U2 R'
R' D L B2 F U2 R'
R' D L' B2 L' U2 B
R' D B2 L F L U2
R' D' L U2 F2 R2 B
R' D' L F U2 R2 F
R' D' L F U2 F R2
R' D' L' U2 R2 F2 B'
R' D' L' U2 R2 B' F2
R' D' L' U2 F2 R2 B'
R' D' L' U2 F2 B' R2
R' D' L' U2 B' R2 F2
R' D' L' U2 B' F2 R2
R D' L F2 U R2 B
R D' L' F2 U R2 B'
R D' L' F2 U B' R2
R' D' R' F2 L' R' B'
R' D' R' F2 R' L' B'
R' D' U2 R B R F2
R' D' U2 F2 R B R
R D' F2 L' U R2 B'
R D' F2 L' U B' R2
B' U2 R B' U L B2
B' U2 B' R U L B
B2 D L' R U B' L2
B2 D R L' U B' L2
L F D L2 R' B U2
L F D R' L2 B U2
L F D R' B L2 U2
U' F' L' B2 U L F
B2 D' L' R U B' L2
B2 D' R L' U B' L2
L' F' B2 U L F B
L' F' B2 U L B F
L2 F' B2 U L F B'
L2 F' B2 U L B' F
F D' R2 F2 L' F B'
F D' R2 F2 L' B' F
D2 F2 L' U R' U2 B'
D2 F2 L' U' B2 L B
D2 F2 L' B2 U' L B
B2 D2 L' R U B' L2
B2 D2 R L' U B' L2
D2 F2 B' L' U' B' L
D2 F2 B2 L' U' B' L2
U B L B R U L
R' B U B L R2 U
R' B U B R2 L U
L' B' R B' U L B
L2 B' R B' U L B'
U2 B' R B' U L B2
L' B' U' R B' U L
L' B' U' B' R U L
D2 B' F2 L' U' B' L
U' B2 L2 R U L' B'
L2 B2 L' R U L2 B'
U2 B2 L' R U L2 B
U2 B2 L' R U B L2
U' B2 R L2 U L' B'
U' B2 R U L' B' L2
U2 B2 L2 R U L' B
U2 B2 L2 R U B L'
R B2 L U D2 L2 B'
R B2 L U' R2 F U2
R B2 L U' F R2 U2
U' B2 R F' L' U L2
R B2 L D2 U L2 B'
L' B2 R U D2 L B'
L' B2 R D2 U L B'
L2 B2 R L' U L2 B'
U2 B2 R L' U L2 B
U2 B2 R L' U B L2
U2 B2 R L2 U L' B
U2 B2 R L2 U B L'
L2 B2 R U L D B'
L2 B2 R U L D' B'
L2 B2 R U L D2 B'
L2 B2 R U L B' D
L2 B2 R U L B' D'
L2 B2 R U L B' D2
R B2 L' U D2 B' L2
R B2 L' U B' D2 L2
U2 B2 R U L D B
U2 B2 R U L D' B
U2 B2 R U L D2 B
U2 B2 R U L B D
U2 B2 R U L B D'
U2 B2 R U L B D2
U2 B2 R U L' B L2
U2 B2 R U L2 B L'
R B2 L' U' R2 U2 B'
U2 B2 R U D L B
U2 B2 R U D' L B
U2 B2 R U D2 L B
L B2 L2 R U B' L'
U2 B2 R D U L B
R B2 L' D' F2 U B'
R B2 L' D2 U B' L2
U2 B2 R D' U L B
U2 B2 R D2 U L B
L2 B2 R F U L B'
U2 B2 R F U L B
L2 B2 R F' U L B'
U2 B2 R F' U L B
L2 B2 R F2 U L B'
U2 B2 R F2 U L B
L B2 R L2 U B' L'
L B2 R U L2 B' L'
U B2 R U D L B'
L B2 R U' F U2 L
U B2 R D U L B'
U2 B2 D R U L B
U2 B2 D' R U L B
U B2 D R U L B'
U2 B2 D2 R U L B
R B2 D' L' F2 U B'
L' B2 F' U L F B
L' B2 F' U L B F
R B2 D' F2 L' U B'
D2 B2 F2 L' U' B' L2
R B2 D2 L' U B' L'
L2 B2 F' U L F B'
L2 B2 F' U L B' F
