B2 L2 U F' B' L'
B2 L2 U B' F' L'
B2 U L' F' L' B'
B2 U L2 F' B' L'
B2 U L2 B' F' L'
B2 U F' L' D2 B2
B2 U F' D2 L' B2
B2 U F' D2 B2 L'
L2 B2 U F' L' B
L2 B2 U F' B L'
L2 B2 U B F' L'
L2 B2 U D F' B L'
L2 B2 U D B F' L'
L2 B2 U D' F' L' B
L2 B2 U D' F' B L'
L2 B2 U D' B F' L'
L2 B2 U D2 F' L' B
L2 B2 U D2 F' B L'
L2 B2 U D2 B F' L'
L2 B2 U F' L B L2
L2 B2 U F' L' D B
L2 B2 U F' L' D' B
L2 B2 U F' L' D2 B
L2 B2 U F' L' B D
L2 B2 U F' L' B D'
L2 B2 U F' L' B D2
L2 B2 U F' D L' B
L2 B2 U F' D B L'
L2 B2 U F' D' L' B
L2 B2 U F' D' B L'
L2 B2 U F' D2 L' B
L2 B2 U F' D2 B L'
L2 B2 U F' B L' D
L2 B2 U F' B L' D'
L2 B2 U F' B L' D2
L2 B2 U F' B D L'
L2 B2 U F' B D' L'
L2 B2 U F' B D2 L'
L2 B2 U F' B' L' B2
L2 B2 U B L F' L'
L2 B2 U B L' F' L'
L2 B2 U B L2 F' L'
L2 B2 U B D F' L'
L2 B2 U B D' F' L'
L2 B2 U B D2 F' L'
L2 B2 U B F' L' D
L2 B2 U B F' L' D'
L2 B2 U B F' L' D2
L2 B2 U B F' D L'
L2 B2 U B F' D' L'
L2 B2 U B F' D2 L'
L2 B2 U B' F' L' B2
L B2 U L F' B' L'
L B2 U L B' F' L'
L B2 U L2 F' L' B'
U2 B2 U' F R U2 F2
U2 B2 U' F U2 F2 L'
L B2 U F' L B' L2
L2 B2 D U F' L' B
L2 B2 D U F' B L'
L2 B2 D U B F' L'
L2 B2 D' U F' L' B
L2 B2 D' U F' B L'
L2 B2 D' U B F' L'
L2 B2 D2 U F' L' B
L2 B2 D2 U F' B L'
L2 B2 D2 U B F' L'
