F' L R2 B R' U'
D2 L F' R B2 U'
D2 L F' B2 R U'
D2 L B2 F' R U'
F' R2 L B R' U'
L D2 F' R B2 U'
L D2 F' B2 R U'
L D2 B2 F' R U'
D2 F' L R B2 U'
D2 F' L B2 R U'
D2 F' R L B2 U'
L F' R2 B R' U'
F' R2 L B R' U' D2
F' R2 L B R' D U'
F' R2 L B R' D' U'
F' R2 L B R' D2 U'
F' R2 L B D R' U'
F' R2 L B D' R' U'
F' R2 L B D2 R' U'
F' R2 L' B L2 R' U'
F' R2 L' B R' L2 U'
F' R2 L2 B L' R' U'
F' R2 L2 B R' L' U'
L U2 F2 L2 B' L U
F' R2 D L B U' B2
B R2 F2 L' B R' U
B2 R2 B L R F2 U
B2 R2 B R L F2 U
B2 R2 B R F2 L U
B R2 F2 B L' R' U
B R2 F2 B R' L' U
B R2 B F2 L' R' U
B R2 B F2 R' L' U
D2 U L F' R B2 U'
D2 U L F' B2 R U'
D2 U L B2 F' R U'
D2 U F' L R B2 U'
D2 U F' L B2 R U'
D2 U F' R L B2 U'
D2 U' L F' R B2 U'
D2 U' L F' B2 R U'
D2 U' L B2 F' R U'
L D' F' R' U' L2 B
L D' F' R' U' B L2
D2 U' F' L R B2 U'
D2 U' F' L B2 R U'
D2 U' F' R L B2 U'
L2 D2 L' F' R B2 U'
L2 D2 L' F' B2 R U'
L2 D2 L' B2 F' R U'
U' D2 L F' R B2 U'
U' D2 L F' B2 R U'
D2 U2 L F' R B2 U'
D2 U2 L F' B2 R U'
U' D2 L B2 F' R U'
D2 U2 L B2 F' R U'
U2 D2 L F' R B2 U'
U2 D2 L F' B2 R U'
U2 D2 L B2 F' R U'
U D2 L F' R B2 U'
U D2 L F' B2 R U'
U D2 L B2 F' R U'
U' D2 F' L R B2 U'
U' D2 F' L B2 R U'
D2 U2 F' L R B2 U'
U' D2 F' R L B2 U'
D2 U2 F' L B2 R U'
D2 U2 F' R L B2 U'
U2 D2 F' L R B2 U'
U2 D2 F' L B2 R U'
U2 D2 F' R L B2 U'
U D2 F' L R B2 U'
U D2 F' L B2 R U'
U D2 F' R L B2 U'
L D2 F' R U' D L2
L D2 F' R D U' L2
L D2 F' R B2 U' D
L D2 F' R B2 U' D'
L D2 F' R B2 U' D2
L D2 F' R B2 D U'
L D2 F' R B2 D' U'
L D2 F' R B2 D2 U'
L D2 F' R' B2 R2 U'
L D2 F' D R U' L2
L D2 F' B' R B' U'
L D2 F' B2 R U' D
L D2 F' B2 R U' D'
L D2 F' B2 R U' D2
L D2 F' B2 R D U'
L D2 F' B2 R D' U'
L D2 F' B2 R D2 U'
L D2 F' B2 D R U'
L D2 F' B2 D' R U'
L D2 F' B2 D2 R U'
L2 D2 B2 L' F' R U'
F2 U2 D F L U' B'
L D2 B' F' R B' U'
L D2 B2 F' R U' D
L D2 B2 F' R U' D'
L D2 B2 F' R U' D2
L D2 B2 F' R D U'
L D2 B2 F' R D' U'
L D2 B2 F' R D2 U'
L D2 B2 F' D R U'
L D2 B2 F' D' R U'
L D2 B2 F' D2 R U'
F2 U2 F D L U' B'
F' D L R2 B U' B2
F' D L U2 F' U B'
F' D R2 L B U' B2
U' F' L R2 B R' U'
D2 F' L R U' D L2
D2 F' L R D U' L2
D2 F' L R B2 U' D
D2 F' L R B2 U' D'
D2 F' L R B2 U' D2
D2 F' L R B2 D U'
D' F' L R' U' L B
D2 F' L R B2 D' U'
D2 F' L R B2 D2 U'
D2 F' L R' B2 R2 U'
D' F' L U' D2 L B'
D2 F' L D R U' L2
D' F' L D2 U' L B'
D2 F' L B' R B' U'
U2 F' L R2 B R' U'
D2 F' L B2 R U' D
D2 F' L B2 R U' D'
D2 F' L B2 R U' D2
D2 F' L B2 R D U'
D2 F' L B2 R D' U'
D2 F' L B2 R D2 U'
D2 F' L B2 D R U'
D2 F' L B2 D' R U'
D2 F' L B2 D2 R U'
D2 F' L' R B2 L2 U'
D F' L U R2 U2 B'
F2 D U2 F L U' B'
D F' L U' D2 B' L2
D F' L U' B' D2 L2
D F' L D B2 U' B
D F' L D2 U' B' L2
D2 F' L' B2 L2 R U'
D2 F' L' B2 R L2 U'
U F' L R2 B R' U'
D2 F' L2 R B2 L' U'
L' F' L2 R2 B R' U'
D2 F' L2 B2 L' R U'
D2 F' L2 B2 R L' U'
D2 F' R L U' D L2
D2 F' R L D U' L2
D2 F' R L B2 U' D
D2 F' R L B2 U' D'
D2 F' R L B2 U' D2
D2 F' R L B2 D U'
D2 F' R L B2 D' U'
D2 F' R L B2 D2 U'
D2 F' R L' B2 L2 U'
D2 F' R L2 B2 L' U'
D2 F' R D L U' L
D2 F' R B2 U2 R' U
D' F' R' L U' L B
D2 F' R' L B2 R2 U'
U' F' R2 L B R' U'
L' F' R2 L2 B R' U'
U2 F' R2 L B R' U'
L' F' R2 B L2 R' U'
L' F' R2 B R' L2 U'
L F' R' B R' B U'
U F' R2 L B R' U'
L F' R2 B R' U' D
L F' R2 B R' U' D'
L F' R2 B R' U' D2
L F' R2 B R' D U'
L F' R2 B R' D' U'
L F' R2 B R' D2 U'
L F' R2 B D R' U'
L F' R2 B D' R' U'
L F' R2 B D2 R' U'
D2 F' D L R U' L
D2 F' D R L U' L
D2 F' B2 R U' D' F2
D2 F' B2 R U2 R2 U
D2 F' B2 R D' U' F2
D2 F' B2 R D2 L2 U'
L F' B R2 B R U'
L F' B' U2 L F' U
L F' B' U2 F' L U
L F' B2 U2 F' L' U
L2 F2 L2 R B' L U
L2 F2 L2 B' L R U
L2 F2 L2 B' R L U
L2 F2 R L2 B' L U
R' F2 B2 R' B L U
F D2 F B2 L' R' U
F D2 F B2 R' L' U
F D2 B2 R' F L' U
F D2 B2 F L' R' U
F D2 B2 F R' L' U
L B D' F' R' U' L2
L B D2 F' R' B2 U'
L B F' R2 B R U'
F2 B' L2 B' L' R' U
F2 B' L2 B' R' L' U
L B' D2 F' B2 R' U'
B2 F' U2 F' L' R' U
B2 F' U2 F' R' L' U
L B' D2 B2 F' R' U'
L B' F' U2 L F' U
L B' F' U2 F' L U
R' B2 R' F2 B L U
R' B2 R' B L F2 U
R' B2 R' B F2 L U
B' F2 L2 B' L' R' U
B' F2 L2 B' R' L' U
B2 F2 R' U2 F R U'
F2 B2 R' U2 F R U'
F' B2 U2 F' L' R' U
F' B2 U2 F' R' L' U
D2 B2 F' R U' D' F2
D2 B2 F' R U2 R2 U
D2 B2 F' R D' U' F2
D2 B2 F' R D2 L2 U'
R' B2 F2 R' B L U
L B2 F' U2 F' L' U
