B' D L2 U2 B'
B' D F L2 U2
B' D' F U2 R2
B' F U B2 U
B' F U2 D' R2
B' F D L2 U2
B' F D' U2 R2
F B' U B2 U
F B' U2 D' R2
F B' D L2 U2
F B' D' U2 R2
L2 U B U B2 F D
L2 U B U B2 F D'
L2 U B U B2 F D2
B R U' B2 F U2 L
R' U B' R F U2 R
L U B U2 L U' B'
B' R D L2 R' U2 B'
B' R D R' L2 U2 B'
B' R D R' F L2 U2
B' R D F L2 R' U2
B' R D F R' L2 U2
F R D R' B' L U2
B' R D' R' F U2 R'
B' R D' F R' U2 R'
B' R F R' U B2 U
B' R F R' U2 D' R2
B' R F R' D L2 U2
B' R F R' D' U2 R2
B' R F U B2 U L
B' R F D L2 R' U2
B' R F D R' L2 U2
B' R F D' R' U2 R'
R' U' R F B' U2 R'
R' U' R B' F U2 R'
L2 U' R' U' F B' R'
L2 U' R' U' B' R' F
L2 U' R' U' B' F R'
L2 U' R2 F' U' F2 B'
L2 U' R2 F' U' B' F2
U' R' L2 U' F B' R'
U' R' L2 U' B' R' F
U' R' L2 U' B' F R'
U R' L2 U F R B'
U R' L2 U F B' R
U R' L2 U B' F R
U' R' U F B' U2 R
U' R' U B' F U2 R
B R' U' R F B2 U2
B R' U' R B2 F U2
R' U' B' R F U2 R2
B R' U' B2 R F U2
U R' U' F B' U2 R'
U R' U' B' F U2 R'
B' R' D L2 R U2 B'
B' R' D R L2 U2 B'
B' R' D R F L2 U2
L2 U2 R2 F D R2 B'
L2 U2 R2 F D B' R2
L2 U2 R2 F B' D R2
L2 U2 R2 B' F D R2
F R' B' R U B U
L2 U2 D F B' D' R2
L2 U2 D B' D' R2 F
L2 U2 D B' D' F R2
L2 U2 D B' F D' R2
L2 U2 D' F B' D' R2
L2 U2 D' B' D' R2 F
L2 U2 D' B' D' F R2
L2 U2 D' B' F D' R2
L2 U2 D2 F B' D' R2
L2 U2 D2 B' D' R2 F
L2 U2 D2 B' D' F R2
L2 U2 D2 B' F D' R2
L2 U2 F U' B U B2
L2 U2 F D B' D' R2
L2 U2 F D' B' D' R2
U' R2 L2 F' U' F2 B'
U' R2 L2 F' U' B' F2
L2 U2 F D2 B' D' R2
L2 U2 F B' R D' R2
L2 U2 F B' R' D' R2
L2 U2 F B' R2 D' R2
L2 U2 F B' U' B2 U
L2 U2 F B' D' R2 D
L2 U2 F B' D' R2 D'
L2 U2 F B' D' R2 D2
B R2 U D2 L2 F2 B'
B R2 U D2 L2 B' F2
L2 U2 F2 B' D' F' R2
B R2 U' R2 F B2 U2
B R2 U' R2 B2 F U2
B R2 U' F R2 B2 U2
B R2 U' F B2 R2 U2
B R2 U' B2 R2 F U2
B R2 U' B2 F R2 U2
L2 U2 B' R D' R2 F
L2 U2 B' R D' F R2
L2 U2 B' R F D' R2
L2 U2 B' R' D' R2 F
L2 U2 B' R' D' F R2
L2 U2 B' R' F D' R2
L2 U2 B' R2 D' R2 F
L2 U2 B' R2 D' F R2
L2 U2 B' R2 F D' R2
L2 U2 B' U' B2 U F
L2 U2 B' D F D2 R2
L2 U2 B' D' R' F R'
L2 U2 B' D' R2 D F
L2 U2 B' D' R2 D' F
L2 U2 B' D' R2 D2 F
L2 U2 B' D' R2 F D
L2 U2 B' D' R2 F D'
L2 U2 B' D' R2 F D2
L2 U2 B' D' F R2 D
L2 U2 B' D' F R2 D'
L2 U2 B' D' F R2 D2
L2 U2 B' D' F' R2 F2
L2 U2 B' F R D' R2
L2 U2 B' F R' D' R2
L2 U2 B' F R2 D' R2
L2 U2 B' F U' B2 U
L2 U2 B' F D' R2 D
L2 U2 B' F D' R2 D'
L2 U2 B' F D' R2 D2
L2 U2 B' F2 D' F' R2
B R2 D' F2 R2 U B
B R2 D2 U L2 F2 B'
B R2 D2 U L2 B' F2
B' R2 F R2 U B2 U
B' R2 F R2 U2 D' R2
B' R2 F R2 D L2 U2
B' R2 F R2 D' U2 R2
U' R2 F' U F2 B' U2
U' R2 F' U B' F2 U2
R D R' F B' L U2
R D R' B' F L U2
F R2 B' R2 U B U
L2 D U B U F B2
L2 D U B U B2 F
B' U L B2 L U B'
L2 D U2 F B' D' R2
L2 D U2 B' D' R2 F
L2 D U2 B' D' F R2
L2 D U2 B' F D' R2
B' U L' B2 L' U B'
B' U L2 U D' R2 B'
B' U L2 U D' B' R2
B' U L2 D' U R2 B'
B' U L2 D' U B' R2
R D F R' B' L U2
D' U L2 B U F B2
D' U L2 B U B2 F
D2 U L2 B U F B2
D2 U L2 B U B2 F
B' U L2 B2 L U B
B' U L2 B2 L' U B
B' U L2 B2 L2 U B
B' U L2 B2 U D B
B' U L2 B2 U D' B
B' U L2 B2 U D2 B
B' U L2 B2 U B D
B' U L2 B2 U B D'
B' U L2 B2 U B D2
B' U L2 B2 D U B
B' U L2 B2 D' U B
B' U L2 B2 D2 U B
D U L2 B U F B2
D U L2 B U B2 F
U D L2 B U F B2
U D L2 B U B2 F
F U R' U' B' U2 R'
B' U D' L2 U R2 B'
B' U D' L2 U B' R2
F' U D' L2 B U F
F U D B U D2 F2
F U D B U' B2 U2
F U D B D' R2 U
F U D B D2 U F2
F U D' B U D2 F2
F U D' B U' B2 U2
F U D' B D' R2 U
F U D' B D2 U F2
D' U B U' F B2 U2
D' U B U' B2 F U2
D2 U B U' F B2 U2
D2 U B U' B2 F U2
F U D2 B U D2 F2
F U D2 B U' B2 U2
F U D2 B D' R2 U
F U D2 B D2 U F2
D U B U' F B2 U2
D U B U' B2 F U2
U D B U' F B2 U2
U D B U' B2 F U2
B' U B L2 B U B2
F' U B U D2 F2 B2
F' U B U D2 B2 F2
F' U B U' F2 B2 U2
F' U B U' B2 F2 U2
F' U B D' L2 R2 U
F' U B D' R2 L2 U
F' U B D2 U F2 B2
F' U B D2 U B2 F2
F2 U B U' F' B2 U2
F2 U B U' B2 F' U2
F2 U B D' R2 U B
F U B R U D2 F2
F U B R U' B2 U2
F U B R D' R2 U
F U B R D2 U F2
F U B R' U D2 F2
F U B R' U' B2 U2
F U B R' D' R2 U
F U B R' D2 U F2
R D' R' F B' L' U2
F U B R2 U D2 F2
F U B R2 U' B2 U2
F U B R2 D' R2 U
F U B R2 D2 U F2
F U B U D2 F2 D
F U B U D2 F2 D'
F U B U D2 F2 D2
B2 U B' U' F B2 U2
F U B U F D2 F2
F U B U F' D2 F2
F U B U F2 D2 F2
B2 U B' U' B2 F U2
F U B U' B2 U2 D
F U B U' B2 U2 D'
F U B U' B2 U2 D2
F U B U' B2 D U2
F U B U' B2 D' U2
F U B U' B2 D2 U2
F U B U2 D L2 U'
R D' R' B' F L' U2
F U B D U2 L2 U'
F U B D' R2 U D
F U B D' R2 U D'
F U B D' R2 U D2
F U B D' R2 D U
F U B D' R2 D' U
F U B D' R2 D2 U
L' D' U B L R' U
F U B D2 R U F2
B' U B2 L2 U D B'
B' U B2 L2 U D' B'
B' U B2 L2 U D2 B'
F U B D2 R' U F2
B' U B2 L2 U B' D
B' U B2 L2 U B' D'
B' U B2 L2 U B' D2
F U B D2 R2 U F2
L' D' U B R' L U
F U B D2 U F2 D
F U B D2 U F2 D'
F U B D2 U F2 D2
B' U B2 L2 D U B'
B' U B2 L2 D' U B'
B' U B2 L2 D2 U B'
B' U B2 U L2 B' L2
B' U B2 U' D F U2
B' U B2 U' D' F U2
B' U B2 U' D2 F U2
B' U B2 U' F U2 D
B' U B2 U' F U2 D'
B' U B2 U' F U2 D2
B' U B2 U' F D U2
B' U B2 U' F D' U2
B' U B2 U' F D2 U2
B' U B2 D L2 U B'
B' U B2 D U' F U2
B' U B2 D' L2 U B'
B' U B2 D' U' F U2
L2 D' U B U F B2
L2 D' U B U B2 F
B' U B2 D2 L2 U B'
B' U B2 D2 U' F U2
F U B2 R2 B' U F'
L2 D' U2 F B' D' R2
L2 D' U2 B' D' R2 F
L2 D' U2 B' D' F R2
L2 D' U2 B' F D' R2
U D' L2 B U F B2
U D' L2 B U B2 F
R D' F R' B' L' U2
F U' L2 U2 B U F
B' U' D' F2 U' R2 B
B' U' D2 F2 R2 U' B
B' U' D2 F2 U F' U2
U D' B U' F B2 U2
U D' B U' B2 F U2
B' U' F U2 B2 U B2
B' U' F' D2 F2 U' B2
R2 D2 L2 F D R2 B'
R2 D2 L2 F D B' R2
R2 D2 L2 F B' D R2
B U' F B2 U' B2 U'
B U' F B2 U2 D L2
B U' F B2 D U2 L2
B U' F B2 D' R2 U2
R2 D2 L2 B' F D R2
B' U' F2 U' D' R2 B
B' U' F2 D' U' R2 B
U D2 L2 B U F B2
U D2 L2 B U B2 F
L2 D2 U B U F B2
L2 D2 U B U B2 F
B U' B2 U2 D L2 B'
B U' B2 D U2 L2 B'
B U' B2 D F U2 L2
B U' B2 D' R2 F U2
B U' B2 D' F R2 U2
B U' B2 F U' B2 U'
B U' B2 F U2 D L2
B U' B2 F D U2 L2
B U' B2 F D' R2 U2
L2 D2 U2 F B' D' R2
L2 D2 U2 B' D' R2 F
L2 D2 U2 B' D' F R2
L2 D2 U2 B' F D' R2
B U2 L2 U' B' L2 F
U D2 B U' F B2 U2
U D2 B U' B2 F U2
B' U2 D' L2 R2 B' L2
B' U2 D' L2 B' L2 R2
B' U2 D' L2 B' R2 L2
B' U2 D' R2 L2 B' L2
B' U2 D' R2 U2 F U2
B U2 D L2 U' B' L2
B' U2 D' F2 R2 F2 B
B' U2 D' F2 R2 B F2
D' F L2 U B U F
D2 F L2 U B U F
B U2 D2 F2 D R2 B
D F L2 U B U F
R2 F R2 D B' U2 R2
R2 F R2 D' L2 U2 F
R2 F R2 D' B' L2 U2
D' F U B U D2 F2
D' F U B U' B2 U2
D' F U B D' R2 U
D' F U B D2 U F2
D2 F U B U D2 F2
D2 F U B U' B2 U2
D2 F U B D' R2 U
D2 F U B D2 U F2
R F R' B' U B2 U
R F R' B' U2 D' R2
R F R' B' D L2 U2
R F R' B' D' U2 R2
R2 F R2 B' U' F2 U'
R2 F R2 B' U2 D R2
R2 F R2 B' D U2 R2
R2 F R2 B' D' L2 U2
B' D L F L U2 B'
D F U B U D2 F2
B' D L F' L U2 B'
D F U B U' B2 U2
D F U B D' R2 U
D F U B D2 U F2
B' D L F2 L U2 B'
B' D L' D L' U2 B'
B' D L' D' L' U2 B'
B' D L' D2 L' U2 B'
B' D L' F2 U2 R B
L2 F U2 B' D' R2 F'
B' D L2 U' R U' B'
B' D L2 U' R' U' B'
B' D L2 U' R2 U' B'
B' D L2 U2 R' B' R
B' D L2 U2 R2 B' R2
B' D L2 U2 D B' D
B' D L2 U2 D B' D'
B' D L2 U2 D B' D2
B' D L2 U2 D' B' D
B' D L2 U2 D' B' D'
B' D L2 U2 D' B' D2
B' D L2 U2 D2 B' D
B' D L2 U2 D2 B' D'
B' D L2 U2 D2 B' D2
B' D L2 U2 B2 D B
B' D L2 U2 B2 D' B
B' D L2 U2 B2 D2 B
D' F D B' U B2 U
D' F D B' U2 D' R2
D' F D B' D L2 U2
D' F D B' D' U2 R2
B' D L2 D U2 B' D
B' D L2 D U2 B' D'
B' D L2 D U2 B' D2
B' D L2 D F U2 B'
D2 F D B' U B2 U
B' D L2 D F' U2 B'
D2 F D B' U2 D' R2
B' D L2 D F2 U2 B'
D2 F D B' D L2 U2
D2 F D B' D' U2 R2
B' D L2 D' U2 B' D
B' D L2 D' U2 B' D'
B' D L2 D' U2 B' D2
B' D L2 D' F U2 B'
B' D L2 D' F' U2 B'
B' D L2 D' F2 U2 B'
B' D L2 D2 U2 B' D
B' D L2 D2 U2 B' D'
B' D L2 D2 U2 B' D2
B' D L2 D2 F U2 B'
B' D L2 D2 F' U2 B'
B' D L2 D2 F2 U2 B'
B' D L2 F U2 D B'
B' D L2 F U2 D' B'
B' D L2 F U2 D2 B'
B' D L2 F U2 B' D
B' D L2 F U2 B' D'
B' D L2 F U2 B' D2
B' D L2 F D U2 B'
B' D L2 F D' U2 B'
B' D L2 F D2 U2 B'
B' D L2 F' U2 D B'
B' D L2 F' U2 D' B'
B' D L2 F' U2 D2 B'
B' D L2 F' U2 B' D
B' D L2 F' U2 B' D'
B' D L2 F' U2 B' D2
B' D L2 F' D U2 B'
B' D L2 F' D' U2 B'
B' D L2 F' D2 U2 B'
B' D L2 F2 U2 D B'
B' D L2 F2 U2 D' B'
B' D L2 F2 U2 D2 B'
B' D L2 F2 U2 B' D
B' D L2 F2 U2 B' D'
B' D L2 F2 U2 B' D2
B' D L2 F2 D U2 B'
B' D L2 F2 D' U2 B'
B' D L2 F2 D2 U2 B'
D' F D' B' U B2 U
D' F D' B' U2 D' R2
D' F D' B' D L2 U2
D' F D' B' D' U2 R2
D2 F D' B' U B2 U
D2 F D' B' U2 D' R2
D2 F D' B' D L2 U2
D2 F D' B' D' U2 R2
B' D R F L2 R' U2
B' D R F R' L2 U2
D F D B' U B2 U
D F D B' U2 D' R2
D F D B' D L2 U2
D F D B' D' U2 R2
R F D R' B' L U2
F D L2 U B U F
D' F D2 B' U B2 U
D' F D2 B' U2 D' R2
D' F D2 B' D L2 U2
D' F D2 B' D' U2 R2
D2 F D2 B' U B2 U
D2 F D2 B' U2 D' R2
D2 F D2 B' D L2 U2
D2 F D2 B' D' U2 R2
D F D' B' U B2 U
D F D' B' U2 D' R2
D F D' B' D L2 U2
D F D' B' D' U2 R2
D' F B' L U B2 U
D' F B' L U2 D' R2
D' F B' L D L2 U2
D' F B' L D' U2 R2
D2 F B' L U B2 U
D2 F B' L U2 D' R2
D2 F B' L D L2 U2
D2 F B' L D' U2 R2
D' F B' L' U B2 U
D' F B' L' U2 D' R2
D' F B' L' D L2 U2
D' F B' L' D' U2 R2
D2 F B' L' U B2 U
D2 F B' L' U2 D' R2
D2 F B' L' D L2 U2
D2 F B' L' D' U2 R2
D' F B' L2 U B2 U
D' F B' L2 U2 D' R2
D' F B' L2 D L2 U2
D' F B' L2 D' U2 R2
D2 F B' L2 U B2 U
D2 F B' L2 U2 D' R2
D2 F B' L2 D L2 U2
D2 F B' L2 D' U2 R2
B' D R2 F L2 R2 U2
B' D R2 F R2 L2 U2
D F D2 B' U B2 U
D F D2 B' U2 D' R2
D F D2 B' D L2 U2
D F D2 B' D' U2 R2
D' F B' U B2 U D
D' F B' U B2 U D'
D' F B' U B2 U D2
D' F B' U B2 D U
D' F B' U B2 D' U
D' F B' U B2 D2 U
D2 F B' U B2 U D
D2 F B' U B2 U D'
D2 F B' U B2 U D2
D2 F B' U B2 D U
D2 F B' U B2 D' U
D2 F B' U B2 D2 U
D' F B' U' D2 F2 U'
D2 F B' U' D2 F2 U'
D' F B' U2 R D' R2
D' F B' U2 R' D' R2
D' F B' U2 R2 D' R2
D2 F B' U2 R D' R2
D' F B' U2 D' R2 D
D' F B' U2 D' R2 D'
D' F B' U2 D' R2 D2
D2 F B' U2 R' D' R2
D2 F B' U2 R2 D' R2
D2 F B' U2 D' R2 D
D2 F B' U2 D' R2 D'
D2 F B' U2 D' R2 D2
D' F B' D L2 U2 D
D' F B' D L2 U2 D'
D' F B' D L2 U2 D2
D' F B' D L2 D U2
D' F B' D L2 D' U2
D' F B' D L2 D2 U2
D2 F B' D L2 U2 D
D2 F B' D L2 U2 D'
D2 F B' D L2 U2 D2
D2 F B' D L2 D U2
D2 F B' D L2 D' U2
D2 F B' D L2 D2 U2
D' F B' D' L U2 R2
D' F B' D' L' U2 R2
D' F B' D' L2 U2 R2
D2 F B' D' L U2 R2
D2 F B' D' L' U2 R2
D2 F B' D' L2 U2 R2
D' F B' D' U2 R2 D
D' F B' D' U2 R2 D'
D' F B' D' U2 R2 D2
D2 F B' D' U2 R2 D
D2 F B' D' U2 R2 D'
D2 F B' D' U2 R2 D2
D' F B' D2 U' F2 U'
D2 F B' D2 U' F2 U'
D F B' L U B2 U
D F B' L U2 D' R2
D F B' L D L2 U2
D F B' L D' U2 R2
U2 F B' D L2 U2 L2
D F B' L' U B2 U
D F B' L' U2 D' R2
D F B' L' D L2 U2
D F B' L' D' U2 R2
R2 F B' R2 U' F2 U'
R2 F B' R2 U2 D R2
R2 F B' R2 D U2 R2
R2 F B' R2 D' L2 U2
L2 F B' D' R2 D2 L2
D F B' L2 U B2 U
