B L U D2 R2 F
B L U D2 F R2
B L U F D2 R2
B L U' L2 B' U2
B L D' B2 U F
B L D2 U R2 F
B L D2 U F R2
L2 U' L F B' U2
L2 U' L B' F U2
B L D' B2 U D2 F
B L D' B2 U F D
B L D' B2 U F D'
B L D' B2 U F D2
B L D' B2 D U F
B L D' B2 D' U F
B L D' B2 D2 U F
B L D2 R U R F
B L D2 R' U R' F
B L D2 R' U F R'
B L D2 U R' F R'
B L D2 U R2 D F
B L D2 U R2 D' F
B L D2 U R2 D2 F
B L D2 U R2 F D
B L D2 U R2 F D'
B L D2 U R2 F D2
B L D2 U F R2 D
B L D2 U F R2 D'
B L D2 U F R2 D2
B L D2 U F' R2 F2
B L D2 B U R2 F
B L D2 B U F R2
B L D2 B' U R2 F
B L D2 B' U F R2
B L D2 B2 U R2 F
B L D2 B2 U F R2
U' L F L2 U R U
F L F' U F2 R B
B L B U D2 R2 F
B L B U D2 F R2
B L B U F D2 R2
B L B U' L2 B' U2
B L B D' B2 U F
B L B D2 U R2 F
B L B D2 U F R2
L2 R' U' L F B' U2
L2 R' U' L B' F U2
B L B' U D2 R2 F
B L B' U D2 F R2
B L B' U F D2 R2
B L B' U' L2 B' U2
B L B' D' B2 U F
B L B' D2 U R2 F
B L B' D2 U F R2
B L B2 U D2 R2 F
B L B2 U D2 F R2
B L B2 U F D2 R2
B L B2 U' L2 B' U2
B L B2 D' B2 U F
B L B2 D2 U R2 F
B L B2 D2 U F R2
B L' U L2 U F L2
U' L' U' R' U' F' B'
U' L' U' R' U' B' F'
U' L' U2 B' U' R' U
U' L' F U R U B'
R' L2 U' L F B' U2
R' L2 U' L B' F U2
L2 R2 U' L F B' U2
L2 R2 U' L B' F U2
R2 L2 U' L F B' U2
R2 L2 U' L B' F U2
R L2 U' L F B' U2
R L2 U' L B' F U2
B2 L' B' U L U L'
B L' B' U L2 U L2
D2 L2 U' L F B' U2
D2 L2 U' L B' F U2
D' L2 U' L F B' U2
D' L2 U' L B' F U2
D L2 U' L F B' U2
D L2 U' L B' F U2
L2 U L B' U2 L' B'
L U R D2 F B R2
L U R D2 B R2 F
L U R D2 B F R2
L U R F D2 B R2
L U R F B D2 R2
L U R B D2 R2 F
L U R B D2 F R2
L U R B F D2 R2
L U R' D2 R2 F B
L U R' D2 R2 B F
L U R' F D2 R2 B2
L U R' F D2 B2 R2
B L2 B2 L' U R' F
B L2 B2 L' U F R'
B R L U D2 R2 F
B R L U D2 F R2
B R L U F D2 R2
B R L U' L2 B' U2
B R L D' B2 U F
B R L D2 U R2 F
B R L D2 U F R2
L U D2 R B R F
L U D2 F R B R
L U F R D2 B R2
L U F R B D2 R2
L U F R' D2 R2 B
L U F D2 R B R
U2 R U L' B U2 B2
U2 R U B L' U2 B'
L2 U' L D F B' U2
L2 U' L D B' F U2
L2 U' L D' F B' U2
L2 U' L D' B' F U2
L2 U' L D2 F B' U2
L2 U' L D2 B' F U2
L2 U' L F D B' U2
L2 U' L F D' B' U2
L2 U' L F D2 B' U2
L2 U' L F B' U2 D
L2 U' L F B' U2 D'
L2 U' L F B' U2 D2
L2 U' L F B' D U2
L2 U' L F B' D' U2
L2 U' L F B' D2 U2
L2 U' L B' D F U2
L2 U' L B' D' F U2
L2 U' L B' D2 F U2
L2 U' L B' F U2 D
L2 U' L B' F U2 D'
L2 U' L B' F U2 D2
L2 U' L B' F D U2
L2 U' L B' F D' U2
L2 U' L B' F D2 U2
L U' L F L B' U2
B R' L U D2 R2 F
B R' L U D2 F R2
B R' L U F D2 R2
B R' L U' L2 B' U2
B R' L D' B2 U F
B R' L D2 U R2 F
B R' L D2 U F R2
L2 U' F L F B' U2
L2 U' F L B' F U2
L2 U' F' L F B' U2
L2 U' F' L B' F U2
U2 R' U L' U2 F' B'
U2 R' U L' U2 B' F'
L2 U' F2 L F B' U2
L2 U' F2 L B' F U2
U2 R' U' F2 R F B
U2 R' U' F2 R B F
B R2 L U D2 R2 F
B R2 L U D2 F R2
B R2 L U F D2 R2
B R2 L U' L2 B' U2
B R2 L D' B2 U F
B R2 L D2 U R2 F
B R2 L D2 U F R2
U2 R2 U' F2 R F' B
U2 R2 U' F2 R B F'
B' U' L' U' R' U' F'
L D2 R U R F B
L D2 R U R B F
L D2 U R B R F
L D2 U F R B R
B' U2 R' U L' U2 F'
B' U2 R' U' F2 R F
B' U2 R' F2 U' R F
B' U2 F' R' U' F' R
B' U2 F2 R' U' F' R2
B D L U D2 R2 F
B D L U D2 F R2
B D L U F D2 R2
B D L U' L2 B' U2
B D L D' B2 U F
B D L D2 U R2 F
B D L D2 U F R2
B D' L U D2 R2 F
B D' L U D2 F R2
B D' L U F D2 R2
B D' L U' L2 B' U2
B D' L D' B2 U F
B D' L D2 U R2 F
B D' L D2 U F R2
U F2 R B U L U'
U' F2 U2 D R F' B
U' F2 U2 D R B F'
B D2 L U D2 R2 F
B D2 L U D2 F R2
B D2 L U F D2 R2
B D2 L U' L2 B' U2
U' F2 D U2 R F' B
U' F2 D U2 R B F'
B D2 L D' B2 U F
B D2 L D2 U R2 F
B D2 L D2 U F R2
R' B L U D2 R2 F
R' B L U D2 F R2
R' B L U F D2 R2
R' B L U' L2 B' U2
D2 B L U D2 R2 F
D2 B L U D2 F R2
D2 B L U F D2 R2
D' B L U D2 R2 F
D' B L U D2 F R2
D' B L U F D2 R2
D2 B L U' L2 B' U2
D' B L U' L2 B' U2
L' B L U D2 F2 R
L' B L U' L' B2 U2
R' B L D' B2 U F
R' B L D2 U R2 F
R' B L D2 U F R2
L' B L U' B2 L' U2
D2 B L D' B2 U F
D2 B L D2 U R2 F
D2 B L D2 U F R2
D' B L D' B2 U F
D' B L D2 U R2 F
D' B L D2 U F R2
U F2 B' R D' F2 B
U F2 B' R D' B F2
U F2 B' R B D' F2
L' B L D2 U F2 R
L2 B L U' B' L U2
R2 B L U D2 R2 F
R2 B L U D2 F R2
R2 B L U F D2 R2
R2 B L U' L2 B' U2
D B L U D2 R2 F
D B L U D2 F R2
D B L U F D2 R2
D B L U' L2 B' U2
R2 B L D' B2 U F
R2 B L D2 U R2 F
R2 B L D2 U F R2
U F2 B2 D' R F' B
U F2 B2 D' R B F'
D B L D' B2 U F
D B L D2 U R2 F
D B L D2 U F R2
L B L U' L B' U2
R B L U D2 R2 F
R B L U D2 F R2
R B L U F D2 R2
R B L U' L2 B' U2
R B L D' B2 U F
R B L D2 U R2 F
R B L D2 U F R2
B F L F' U F2 R
F B L F' U F2 R
L' B D2 L U F2 R
U B' R D' F2 B R
U B' R D' B F2 R
U B' R B D' F2 R
L' B' U' R' U R U2
U B' F2 R D' F2 B
U B' F2 R D' B F2
U B' F2 R B D' F2
U B2 D' F2 R F' B
U B2 D' F2 R B F'
U B2 F2 D' R F' B
U B2 F2 D' R B F'
