U' R' D' F L' B'
F' R2 U R F2 B
F' R2 U R B F2
F' U R F2 B R2
F' U R B R2 F2
F' U R B F2 R2
F' U F2 R B R2
F' U' R' F2 L' B'
F' D R2 U R B
U2 F' L' U R' F2
U2 F' L' U F2 R'
U' R' F L' D B' L
U' R' F D L' B' L
U' R' B D' F L' B'
F R' B L' D' L2 B2
F R' B L' D' B2 L2
F R' B U' L F2 U
F R' B U' F2 L U
U' R' B' D' F L' B'
U' R' B2 D' F L' B'
F' R2 L U R F2 B
F' R2 L U R B F2
F' R2 L' U R F2 B
F' R2 L' U R B F2
F' R2 L2 U R F2 B
F' R2 L2 U R B F2
F' R2 U R F2 D B
F' R2 U R F2 D' B
F' R2 U R F2 D2 B
F' R2 U R F2 B D
F' R2 U R F2 B D'
F' R2 U R F2 B D2
F' R2 U R B F2 D
F' R2 U R B F2 D'
F' R2 U R B F2 D2
F' R2 U R2 F2 R' B
L U2 F' L' U R' F
L U2 F' L' U F R'
F' R2 U B R F2 B
F' R2 U B R B F2
F' R2 U B' R F2 B
F' R2 U B' R B F2
F' R2 U B2 R F2 B
F' R2 U B2 R B F2
R2 U2 B U' R F B
R2 U2 B U' R B F
F' R2 B L U R F2
B' R2 B R U' R2 F
B' R2 B R U' F R2
F R2 F2 U F2 R B
U2 R2 B U' R F B
U2 R2 B U' R B F
F' U L2 R' F2 L2 B'
F' U R F B R2 F
F' U R F2 B R2 D
F' U R F2 B R2 D'
F' U R F2 B R2 D2
F' U R F2 B' R2 B2
F' U R F2 B2 R2 B'
F' U R B R' F2 R'
F' U R B R2 F2 D
F' U R B R2 F2 D'
F' U R B R2 F2 D2
F' U R B F R2 F
F' U R B F2 R2 D
F' U R B F2 R2 D'
F' U R B F2 R2 D2
F' U R B' R2 F2 B2
F' U R B' R2 B2 F2
F' U R B' F2 R2 B2
F' U R B2 R2 F2 B'
F' U R B2 R2 B' F2
F' U R B2 F2 R2 B'
F' U R' L2 F2 L2 B'
F' U R' U2 F' U2 F'
U' D R' D' F L' B'
F' U R' F D2 F B2
F' U R' F D2 B2 F
F' U R' F2 L2 B' L2
F' U R' F2 U2 F U2
U2 D F' L' U R' F2
U2 D F' L' U F2 R'
F' U D2 R B R2 F'
F' U F R F B R2
F' U F R B R2 F
F' U F R B F R2
F' U F R' F D2 B2
F' U F2 R B R2 D
F' U F2 R B R2 D'
F' U F2 R B R2 D2
F' U F2 R B' R2 B2
F' U F2 R B2 R2 B'
F' U F2 R' U2 F' U2
F' U F2 D R B R2
F' U F2 D' R B R2
F' U F2 D2 R B R2
F' U F2 B' R B R'
F' U B' R F2 B R'
F' U B' R B R' F2
F' U B' R B F2 R'
F' U B' F2 R B R'
F' U' L F U2 R' F
F' U' L F U2 F R'
F' U' L' R' F2 B' L'
F' U' L' R' B' F2 L'
F' U' L' U2 R' F2 B'
F' U' L' U2 R' B' F2
F' U' L' U2 F2 R' B'
R' D' F B L' D' B2
U' D' R' D' F L' B'
D' U' R' D' F L' B'
D2 U' R' D' F L' B'
D U' R' D' F L' B'
F U' L' F2 U R' B'
F' U' R' L' F2 B' L'
F' U' R' L' B' F2 L'
R' D' B F L' D' B2
F' U' R' F2 L' D B'
F' U' R' F2 L' D' B'
F' U' R' F2 L' D2 B'
F' U' R' F2 L' B' D
F' U' R' F2 L' B' D'
F' U' R' F2 L' B' D2
F' U' R' F2 D L' B'
F' U' R' F2 D' L' B'
F' U' R' F2 D2 L' B'
F' U' R' F2 B L' B'
F' U' R' F2 B' L' B'
F' U' R' F2 B2 L' B'
F' U' R' B F2 L' B'
F' U' R' B' F2 L' B'
F' U' R' B2 F2 L' B'
U2 D' F' L' U R' F2
U2 D' F' L' U F2 R'
F' U' D2 B2 L F U2
F U' F2 L' U R' B'
F' U' B2 L F U2 F
U' D2 R' D' F L' B'
D' U2 F' L' U R' F2
D' U2 F' L' U F2 R'
D2 U2 F' L' U R' F2
D2 U2 F' L' U F2 R'
U2 D2 F' L' U R' F2
U2 D2 F' L' U F2 R'
D U2 F' L' U R' F2
D U2 F' L' U F2 R'
F' U2 R2 U' R F2 B
F' U2 R2 U' R B F2
U' F L R' D' L2 B'
U' F L D' L2 R' B'
U' F L D' R' L2 B'
U' F L' R' D' B' L2
U' F L' R' B' D' L2
U' F L' D' R' B' L2
F' U2 F R U' R2 F
F' U2 F R U' F R2
U' F R' L D' L2 B'
U' F R' L' D' B' L2
U' F R' L' B' D' L2
U' F R' D' L' B' L'
U2 F R' D B2 D2 L2
U2 F R' D' L2 D2 B2
U F R B R2 D' L2
F' D L R2 U R B
U2 F U' F2 L' U R'
F' D L' R2 U R B
F' D L2 R2 U R B
U' F D' L' R' B' L'
U' F D' L2 D2 R' B
U2 F D R' D B2 L
U' F D' R' L' B' L'
U2 F D' L2 R' D B2
U2 F D' R' L2 D B2
U F D' L2 R B R2
U F D' R L2 B R2
U2 F D2 R' D L2 B2
U2 F D2 R' D B2 L2
U F D' R B L2 R2
U F D' R B R2 L2
F' D R2 L U R B
F' D R2 L' U R B
F' D R2 L2 U R B
F' D R2 U R D B
F' D R2 U R D' B
F' D R2 U R D2 B
F' D R2 U R B D
F' D R2 U R B D'
F' D R2 U R B D2
F' D R2 U D R B
F' D R2 U D' R B
F' D R2 U D2 R B
F' D R2 U B R B
F' D R2 U B' R B
F' D R2 U B2 R B
F' D R2 D U R B
F' D R2 D' U R B
R' F B' U R' B U'
F' D R2 D2 U R B
F' D R2 B L U R
F D R' B2 D L B'
R' F B2 D L B' L
R' F B2 D B' L B'
U' F' L' U R' F2 B'
U' F' L' U R' B' F2
U' F' L' U F2 R' B'
U2 F' L' R U R2 F2
U2 F' L' R U F2 R2
U2 F' L' R2 U R F2
U2 F' L' U R F2 R2
U2 F' L' U R' F2 D
U2 F' L' U R' F2 D'
U2 F' L' U R' F2 D2
U2 F' L' U F R' F
U2 F' L' U F2 R' D
U2 F' L' U F2 R' D'
U2 F' L' U F2 R' D2
U2 F' L' U F2 D R'
U2 F' L' U F2 D' R'
U2 F' L' U F2 D2 R'
U2 F' L' D R2 U R
U2 F' R L' U R2 F2
U2 F' R L' U F2 R2
U F' R U F2 B R2
U F' R U B R2 F2
U F' R U B F2 R2
D' F' R2 U R F2 B
D' F' R2 U R B F2
D2 F' R2 U R F2 B
D2 F' R2 U R B F2
U2 F' R2 L' U R F2
D2 F' U R F2 B R2
D' F' U R F2 B R2
D2 F' U R B R2 F2
D' F' U R B R2 F2
D2 F' U R B F2 R2
D' F' U R B F2 R2
D F' R2 U R F2 B
D F' R2 U R B F2
U F' R' F2 D' L2 B'
D2 F' U F2 R B R2
D' F' U F2 R B R2
D2 F' U' R' F2 L' B'
D' F' U' R' F2 L' B'
U2 F' U F2 R' D B2
D F' U R F2 B R2
D F' U R B R2 F2
D F' U R B F2 R2
D F' U F2 R B R2
U F' U F2 D R' B
D F' U' R' F2 L' B'
D2 F' D R2 U R B
D' F' D R2 U R B
U2 F' D L' R2 U R
U2 F' D R2 L' U R
D F' D R2 U R B
F' D2 U R B R2 F'
F' D2 U' B2 L F U2
F' B L B' U R' F2
F' B L B' U F2 R'
R' B D' F L' D' B2
B2 F D' B2 L2 R' B
B2 F D' B2 R' L2 B
B2 F D' B2 R' B L2
R' B' R' B U' R F
R2 B' R D F L2 B2
R2 B' R D F B2 L2
R2 B' R D B2 F L2
R2 B' R F D L2 B2
R2 B' R F D B2 L2
R' B' U R' B U' F
R2 B' R' B2 U' R2 F
R2 B' R' B2 U' F R2
B F' L B' U R' F2
B F' L B' U F2 R'
R' B' F U R' B U'
R' B2 D F L B' L
R' B2 D F B' L B'
R' B2 D B' F L B'
R' B2 F D L B' L
R' B2 F D B' L B'
F B2 D' B2 L2 R' B
F B2 D' B2 R' L2 B
F B2 D' B2 R' B L2
