L2 R U L R U
L2 R U R L U
R2 L' U' L' R' U2
R2 L' U' R' L' U2
L' R2 U' L' R' U2
L' R2 U' R' L' U2
R L2 U L R U
R L2 U R L U
D' L' B2 U F2 L'
L' U D' F2 L' R
L' U D' F2 R L'
R2 D' L' B2 U L
L' D' U F2 L' R
L' D' U F2 R L'
L D' F2 B2 L' R'
L D' F2 B2 R' L'
R2 D' B2 L' U L2
L D' B2 F2 L' R'
L D' B2 F2 R' L'
L' F2 R2 U L' R'
L' F2 R2 U R' L'
D' B2 L' U F2 L'
R2 D' L' B2 U D2 L
R2 D' L' B2 D U L
R2 D' L' B2 D' U L
R2 D' L' B2 D2 U L
R2 D' L' B2 F U L
R2 D' L' B2 F' U L
R2 D' L' B2 F2 U L
L2 D' R U L U F2
R' D' R' L' F2 B2 U
R' D' R' L' B2 F2 U
D' U B2 L' U F2 L'
L D' L2 F2 L' R B2
L D' L2 F2 L' B2 R
L D' L2 F2 R L' B2
L D' L2 F2 R B2 L'
L D' L2 F2 B2 L' R
L D' L2 F2 B2 R L'
L D' L2 B2 F2 L' R
L D' L2 B2 F2 R L'
L D' R L U2 F2 B2
L D' R L U2 B2 F2
R D' R L' B2 U L
R' D' R' B2 L' F2 U
L D' R U2 F2 B2 R'
L D' R U2 B2 R' F2
L D' R U2 B2 F2 R'
L D' R B2 R' F2 L'
R D' R B2 L' U L2
L' D' U F2 L' R D
L' D' U F2 L' R D'
L' D' U F2 L' R D2
L' D' U F2 L' D R
L' D' U F2 L' D' R
L' D' U F2 L' D2 R
L' D' U F2 R L' D
L' D' U F2 R L' D'
L' D' U F2 R L' D2
L' D' U F2 R D L'
L' D' U F2 R D' L'
L' D' U F2 R D2 L'
L' D' U F2 D L' R
L' D' U F2 D R L'
L2 D' U L U F2 L'
L' D' U F2 D' L' R
L' D' U F2 D' R L'
L' D' U F2 D2 L' R
L' D' U F2 D2 R L'
U' D' L' B2 U F2 L'
D' U' L' B2 U F2 L'
L' D' U' L' R U2 F2
L' D' U' L' U2 F2 L'
L' D' U' R L' U2 F2
L' D' U' R U2 F2 R
L D' R2 F2 B2 L R'
L D' R2 F2 B2 R' L
L D' R2 B2 L R' F2
L D' R2 B2 L F2 R'
L D' R2 B2 R' L F2
L D' R2 B2 R' F2 L
L D' R2 B2 F2 L R'
L D' R2 B2 F2 R' L
U2 D' L' B2 U F2 L'
R D' U L' R B2 U
R D' U L' B2 R U
R D' U R L' B2 U
R D' U R B2 L' U
L D' U F2 B2 L' R'
L D' U F2 B2 R' L'
L D' U B2 F2 L' R'
L D' U B2 F2 R' L'
U D' L' B2 U F2 L'
R D' U B2 L' R U
R D' U B2 R L' U
L2 D' U2 F2 L' D' B2
L D' U' F2 B2 L' R'
L D' U' F2 B2 R' L'
L D' U' B2 F2 L' R'
L D' U' B2 F2 R' L'
L D' U2 F2 B2 L' R'
L D' U2 F2 B2 R' L'
L D' U2 B2 F2 L' R'
L D' U2 B2 F2 R' L'
L D' F B2 R' F L'
L2 D' F2 L' D' B2 R'
L' D' B U F2 L' R
L' D' B U F2 R L'
L D' F2 L' B2 D2 R2
L D' F2 R B2 L' R'
L D' F2 R B2 R' L'
L D' F2 R' B2 L' R'
L D' F2 R' B2 R' L'
L D' F2 R2 B2 L' R'
L D' F2 R2 B2 R' L'
R2 D' B L' B U L
L D' F2 B L' B R'
L D' F2 B2 L' R' D
L D' F2 B2 L' R' D'
L D' F2 B2 L' R' D2
L D' F2 B2 L' D R'
L D' F2 B2 L' D' R'
L D' F2 B2 L' D2 R'
L D' F2 B2 R' L' D
L D' F2 B2 R' L' D'
L D' F2 B2 R' L' D2
L D' F2 B2 R' D L'
L D' F2 B2 R' D' L'
L D' F2 B2 R' D2 L'
L D' F2 B2 D L' R'
L D' F2 B2 D R' L'
L D' F2 B2 D' L' R'
L D' F2 B2 D' R' L'
L D' F2 B2 D2 L' R'
L D' F2 B2 D2 R' L'
L' D' B' U F2 L' R
L' D' B' U F2 R L'
L D' B F2 L' B R'
L' D' B2 U F2 L' R
L' D' B2 U F2 R L'
R2 D' B2 L' U L2 D
R2 D' B2 L' U L2 D'
R2 D' B2 L' U L2 D2
R2 D' B2 L' D F2 U
R2 D' B2 L' F U L2
R2 D' B2 L' F' U L2
R2 D' B2 L' F2 U L2
R2 D' B2 U L D' B2
R2 D' B2 D L' U L2
R2 D' B2 D' L' U L2
R2 D' B2 D2 L' U L2
L D' B2 L F2 L' R'
L D' B2 L F2 R' L'
L D' B2 L' F2 L' R'
L D' B2 L' F2 R' L'
L D' B2 L2 F2 L' R'
L D' B2 L2 F2 R' L'
R' D2 L' R' U L' R'
R' D2 L' R' U R' L'
L D' B2 R' F2 D2 L2
D' U' B2 L' U F2 L'
U' D' B2 L' U F2 L'
L D' B2 F R' F L'
L D' B2 F2 L' R' D
L D' B2 F2 L' R' D'
L D' B2 F2 L' R' D2
L D' B2 F2 L' D R'
L D' B2 F2 L' D' R'
L D' B2 F2 L' D2 R'
L D' B2 F2 R' L' D
L D' B2 F2 R' L' D'
L D' B2 F2 R' L' D2
L D' B2 F2 R' D L'
L D' B2 F2 R' D' L'
L D' B2 F2 R' D2 L'
L D' B2 F2 D L' R'
L D' B2 F2 D R' L'
L D' B2 F2 D' L' R'
L D' B2 F2 D' R' L'
L D' B2 F2 D2 L' R'
L D' B2 F2 D2 R' L'
R2 D2 L' U' R' U2 R'
U2 D' B2 L' U F2 L'
R2 D2 L' D B2 U L
R2 D2 L' B2 U L R2
R2 D2 L' B2 U R2 L
U D' B2 L' U F2 L'
R' D2 R' L' U L' R'
R' D2 R' L' U R' L'
D' U2 L' B2 U F2 L'
R D2 U L' R U R
R D2 U R L' U R
D' U2 B2 L' U F2 L'
R2 D2 B2 L' U L2 R2
R2 D2 B2 L' U R2 L2
L' F R2 F U L' R
L' F R2 F U R L'
R2 F U' L2 R' F' U2
R2 F U' R' L2 F' U2
R2 F U' R' F' L2 U2
D' F B2 U F L' B'
L' F' R2 F' U L' R
L' F' R2 F' U R L'
L2 F' U L R2 F U
L2 F' U L F R2 U
L2 F' U R2 L F U
B' D' L' B2 U F2 L'
B2 D' L' B2 U F2 L'
B D' L' B2 U F2 L'
R2 F' D' B2 U L B'
D2 F2 L2 R U' L R
D2 F2 L2 R U' R L
L2 F2 L' D' F2 B2 R'
L2 F2 L' D' B2 R' F2
L2 F2 L' D' B2 F2 R'
D2 F2 R L2 U' L R
D2 F2 R L2 U' R L
R F2 L2 U' L R U'
R F2 L2 U' R L U'
D F2 R U B2 U2 L'
D F2 R U' L' D2 F2
D F2 R U' D2 L' F2
D F2 R D L2 U' L
D F2 R D2 U' L' F2
L' F2 R2 U L' R' D
L' F2 R2 U L' R' D'
L' F2 R2 U L' R' D2
L' F2 R2 U L' D R'
L' F2 R2 U L' D' R'
L' F2 R2 U L' D2 R'
L' F2 R2 U R' L' D
L' F2 R2 U R' L' D'
L' F2 R2 U R' L' D2
L' F2 R2 U R' D L'
L' F2 R2 U R' D' L'
L' F2 R2 U R' D2 L'
L' F2 R2 U D L' R'
L' F2 R2 U D R' L'
L' F2 R2 U D' L' R'
L' F2 R2 U D' R' L'
L' F2 R2 U D2 L' R'
L' F2 R2 U D2 R' L'
L' F2 R2 D U L' R'
L' F2 R2 D U R' L'
L' F2 R2 D' U L' R'
L' F2 R2 D' U R' L'
L' F2 R2 D2 U L' R'
L' F2 R2 D2 U R' L'
L' F2 U L' D' R F2
B' D' B2 L' U F2 L'
L' F2 U D' L' R F2
L' F2 U D' R L' F2
L2 F2 U L R2 U L2
B2 D' B2 L' U F2 L'
L2 F2 U R2 L U L2
B D' B2 L' U F2 L'
L2 F2 U2 L' D' F2 B2
L2 F2 U2 L' D' B2 F2
F2 D2 L2 R U' L R
F2 D2 L2 R U' R L
L' F2 D' U L' R F2
L' F2 D' U R L' F2
D F2 D L2 R U' L
D F2 D R L2 U' L
F2 D2 R L2 U' L R
F2 D2 R L2 U' R L
L' F2 B R2 U L' R'
L' F2 B R2 U R' L'
D F2 D2 R U' L' F2
L F2 D' B2 L' R' F2
L F2 D' B2 L' F2 R'
L F2 D' B2 R' L' F2
L' F2 B' R2 U L' R'
L' F2 B' R2 U R' L'
L' F2 B2 R2 U L' R'
L' F2 B2 R2 U R' L'
D' B L' B U F2 L'
R B L2 U L R U
R B L2 U R L U
L' B R2 U' L' R' U2
L' B R2 U' R' L' U2
L' B U D' F2 L' R
L' B U D' F2 R L'
L' B D' U F2 L' R
L' B D' U F2 R L'
L2 B D' R F' U2 F'
L' B F2 R2 U L' R'
L' B F2 R2 U R' L'
L2 B' R U R U B
R B' L2 U L R U
R B' L2 U R L U
L' B' R2 U' L' R' U2
L' B' R2 U' R' L' U2
L' B' U D' F2 L' R
L' B' U D' F2 R L'
L' B' D' U F2 L' R
L' B' D' U F2 R L'
L' B' F2 R2 U L' R'
L' B' F2 R2 U R' L'
D' B2 L' U L F2 L'
D' B2 L' U L' F2 L'
D' B2 L' U L2 F2 L'
D' B2 L' U F2 L' D
D' B2 L' U F2 L' D'
D' B2 L' U F2 L' D2
D' B2 L' U F2 D L'
D' B2 L' U F2 D' L'
D' B2 L' U F2 D2 L'
D' B2 L' U' R U2 F2
D' B2 L' F U F L'
R2 B2 L' U' L' U2 L'
R2 B2 L' D F2 U R
R2 B2 L' F2 U L2 R
R2 B2 L' F2 U R L2
D B2 R U' F2 R U'
R B2 L2 U L R U
R B2 L2 U R L U
L' B2 R2 U' L' R' U2
L' B2 R2 U' R' L' U2
L' B2 U D' F2 L' R
L' B2 U D' F2 R L'
R2 B2 U L D' B2 R'
D B2 U' F2 R U' L'
L' B2 D' U F2 L' R
L' B2 D' U F2 R L'
R2 B2 D' L' B2 U L2
R2 B2 D2 L' U L2 R2
R2 B2 D2 L' U R2 L2
D' B2 F U F L' B'
L B2 D' F2 L' R' B2
L B2 D' F2 R' L' B2
L B2 D' F2 R' B2 L'
L' B2 F2 R2 U L' R'
L' B2 F2 R2 U R' L'
