B L' F U' L2
L' F B U' L
L' B F U' L
B L' D' F B2 U'
B L' D' B2 F U'
B2 L' D2 F U' L'
B' L' F U R' U2
U' L' F B' U' B
B2 L' F B' U' L
B' L' F B2 U' L
B L' F U' L2 D
B L' F U' L2 D
B L' F U' L2 D'
B L' F U' L2 D2
B L' F D' B2 U'
B L' F B U' L2
B L' F B' U' L2
B L' F B2 U' L2
D' L' B U' L R'
D' L' B U' R' L
B L' B F U' L2
U' L' B' F U' B
B2 L' B' F U' L
B L' B' F U' L2
B' L' B2 F U' L
B L' B2 F U' L2
L' D F B U' L
L' D B F U' L
L' D' F B U' L
L' D' B F U' L
L' D2 F B U' L
L' D2 B F U' L
L' F U2 F' U L'
L' F D B U' L
L' F D' B U' L
L' F D2 B U' L
L' F B U' L D
L' F B U' L D'
L' F B U' L D2
L' F B U' D L
L' F B U' D' L
L' F B U' D2 L
L' F B D U' L
L' F B D' U' L
L' F B D2 U' L
L' F B' U R' U2
D' B L' U' L2 R'
D' B L' U' R' L2
L' B D F U' L
L' B D' F U' L
L' B D2 F U' L
L' B F U' L D
L' B F U' L D'
L' B F U' L D2
L' B F U' D L
L' B F U' D' L
L' B F U' D2 L
L' B F D U' L
L' B F D' U' L
L' B F D2 U' L
L' B' F U R' U2
L' B2 D2 F U' L'
B L' F U D2 R2 U2
B' L' F D' U R' U2
B L' F U' L D L
B L' F U' L D' L
B L' F U' L D2 L
B L' F U' L' D L'
B L' F U' L' D' L'
B L' F U' L' D2 L'
U' L' F D' B' U' B
B' L' F D' B2 U' L
D' L' F B U' L R'
D' L' F B U' R' L
B L' F U' F L2 F'
F' L' F B L' U' L2
B L' F U' F2 L2 F2
B' L' F D2 U R' U2
B L' F U' B' L2 B
B L' F U' B2 L2 B2
U' L' F D2 B' U' B
B' L' F D2 B2 U' L
B L' F U2 D F2 U
B L' F U2 F U L2
B L' F U2 F' U L2
B L' F U2 F2 U L2
U L' F U F' U2 L'
B L' F D U2 F2 U
U' L' F B' U' D B
U' L' F B' U' D' B
U' L' F B' U' D2 B
U' L' F B' U' B D
U' L' F B' U' B D'
U' L' F B' U' B D2
U' L' F B' D U' B
U' L' F B' D' U' B
U' L' F B' D2 U' B
B' L' F B2 U' L D
B' L' F B2 U' L D'
B' L' F B2 U' L D2
B' L' F B2 U' D L
B' L' F B2 U' D' L
B' L' F B2 U' D2 L
B' L' F B2 D U' L
B' L' F B2 D' U' L
B' L' F B2 D2 U' L
B2 L' F B U R' U2
B L' F D' B2 U' D
B L' F D' B2 U' D'
B L' F D' B2 U' D2
B L' F D' B2 D U'
B L' F D' B2 D' U'
B L' F D' B2 D2 U'
B L' F D2 U R2 U2
B2 L' F B' U' L D
B2 L' F B' U' L D'
B2 L' F B' U' L D2
B2 L' F B' U' D L
B2 L' F B' U' D' L
B2 L' F B' U' D2 L
B2 L' F B' D U' L
B2 L' F B' D' U' L
B2 L' F B' D2 U' L
B L' F B U' L2 D
B L' F B U' L2 D'
B L' F B U' L2 D2
B L' F B D' B2 U'
B L' F B' U' L2 D
B L' F B' U' L2 D'
B L' F B' U' L2 D2
B L' F B' D' B2 U'
B L' F B2 U' L2 D
B L' F B2 U' L2 D'
B L' F B2 U' L2 D2
B L' F B2 D' B2 U'
B L' F' U' L2 D R2
D' L' F' B U' L R'
D' L' F' B U' R' L
D L' F' B U' L R
D L' F' B U' R L
D' L' F2 B U' L R'
D' L' F2 B U' R' L
B L' F2 D' F' B2 U'
B L' F2 D' B2 F' U'
D' L' B U' L R' D
D' L' B U' L R' D'
D' L' B U' L R' D2
D' L' B U' L D R'
D' L' B U' L D' R'
D' L' B U' L D2 R'
D' L' B U' R' L D
D' L' B U' R' L D'
D' L' B U' R' L D2
D' L' B U' R' D L
D' L' B U' R' D' L
D' L' B U' R' D2 L
D' L' B U' D L R'
D' L' B U' D R' L
D' L' B U' D' L R'
D' L' B U' D' R' L
D' L' B U' D2 L R'
D' L' B U' D2 R' L
D' L' B D U' L R'
D' L' B D U' R' L
D' L' B D' U' L R'
D' L' B D' U' R' L
D' L' B D2 U' L R'
D' L' B D2 U' R' L
D' L' B F U' L R'
D' L' B F U' R' L
F' L' B F L' U' L2
D' L' B F' U' L R'
D' L' B F' U' R' L
D' L' B F2 U' L R'
D' L' B F2 U' R' L
B2 L' B F U R' U2
B L' B D' F B2 U'
B L' B D' B2 F U'
B L' B F U' L2 D
B L' B F U' L2 D'
B L' B F U' L2 D2
B L' B F D' B2 U'
D L' B F' U' L R
D L' B F' U' R L
D' L' B' U L R' U2
D' L' B' U R' L U2
U' L' B' D F U' B
U' L' B' D' F U' B
B' L' B' D2 F U' L'
B2 L' B' D F U' L
U' L' B' D2 F U' B
B2 L' B' D' F U' L
U' L' B' F U' D B
U' L' B' F U' D' B
U' L' B' F U' D2 B
U' L' B' F U' B D
U' L' B' F U' B D'
U' L' B' F U' B D2
U' L' B' F D U' B
U' L' B' F D' U' B
U' L' B' F D2 U' B
B2 L' B' D2 F U' L
B2 L' B' F U' L D
B2 L' B' F U' L D'
B2 L' B' F U' L D2
B2 L' B' F U' D L
B2 L' B' F U' D' L
B2 L' B' F U' D2 L
B2 L' B' F D U' L
B L' B' D' F B2 U'
B2 L' B' F D' U' L
B2 L' B' F D2 U' L
B L' B' D' B2 F U'
B L' B' F U' L2 D
B L' B' F U' L2 D'
B L' B' F U' L2 D2
B L' B' F D' B2 U'
B' L' B2 D F U' L
B' L' B2 D' F U' L
B' L' B2 D2 F U' L
B' L' B2 F U' L D
B' L' B2 F U' L D'
B' L' B2 F U' L D2
B' L' B2 F U' D L
B' L' B2 F U' D' L
B' L' B2 F U' D2 L
B' L' B2 F D U' L
B' L' B2 F D' U' L
B' L' B2 F D2 U' L
B L' B2 D' F B2 U'
B L' B2 D' B2 F U'
B L' B2 F U' L2 D
B L' B2 F U' L2 D'
B L' B2 F U' L2 D2
B L' B2 F D' B2 U'
L' R2 F R2 B U' L
L' R2 F B R2 U' L
U' L2 U L B' U' R'
L' R2 B R2 F U' L
L' R2 B F R2 U' L
B2 L2 D L F B' U'
B2 L2 D L B' F U'
B L2 D L F U' L2
B L2 D' L F U' L2
B2 L2 D2 L F U' L'
R' U L' R F B U'
R' U L' R B F U'
B L2 D2 L F U' L2
R' U R L' F B U'
R' U R L' B F U'
B L2 F' L F U' L'
L' U R U' F B U'
L' U R U' B F U'
R' U R B L' F U'
B2 L2 B' U' L F R
U' R L' F B' U' B
U' R L' B' F U' B
B R L' F R' U' L2
U R U' L' F B U'
U R U' L' B F U'
U R U' B L' F U'
R' U' L' R F B' U'
R' U' L' R B' F U'
L' U' L' U B' U' R'
R2 U' L' R2 F B' U'
R2 U' L' R2 B' F U'
R' U' L' B' R F U'
R U' L' R' F B' U'
R U' L' R' B' F U'
R2 U' L' F R2 B' U'
R2 U' L' F B' R2 U'
R U' L' F R' B' U'
R2 U' L' B' R2 F U'
R2 U' L' B' F R2 U'
R' U' R L' F B' U'
R' U' R L' B' F U'
R U' R' L' F B' U'
R U' R' L' B' F U'
R2 U' R2 L' F B' U'
R2 U' R2 L' B' F U'
F2 R B2 L B' U L
U' R' L' F B' U' B
U' R' L' B' F U' B
B' R' U' L' R F U'
B' R' U' R L' F U'
U' R2 L' F B' U' B
L' U2 F U' R U2 R'
U' R2 L' B' F U' B
B R2 L' F R2 U' L2
L' U2 F' U L' D R2
L' U2 F' U D L' R2
L' U2 F' U D R2 L'
L' U2 F' D U L' R2
L' U2 F' D U R2 L'
L' U2 F' D2 B2 U L'
L2 D L F B U' L
L2 D L B F U' L
L' D F U2 F' U L'
L' D F D B U' L
L' D F D' B U' L
L' D F D2 B U' L
L' D F B U' L D
L' D F B U' L D'
L' D F B U' L D2
L' D F B U' D L
L' D F B U' D' L
L' D F B U' D2 L
L' D F B D U' L
L' D F B D' U' L
L' D F B D2 U' L
L' D F B' U R' U2
B' U R' U' L' F U'
L' D B D F U' L
L' D B D' F U' L
L' D B D2 F U' L
L' D B F U' L D
L' D B F U' L D'
L' D B F U' L D2
L' D B F U' D L
L' D B F U' D' L
L' D B F U' D2 L
L' D B F D U' L
L' D B F D' U' L
L' D B F D2 U' L
L' D B' F U R' U2
L' D B2 D2 F U' L'
L2 D' L F B U' L
L2 D' L B F U' L
B U' L U L2 F U'
L' D' F U2 F' U L'
L' D' F D B U' L
L' D' F D' B U' L
L' D' F D2 B U' L
L' D' F B U' L D
L' D' F B U' L D'
L' D' F B U' L D2
L' D' F B U' D L
L' D' F B U' D' L
L' D' F B U' D2 L
L' D' F B D U' L
L' D' F B D' U' L
L' D' F B D2 U' L
L' D' F B' U R' U2
L' D' B D F U' L
L' D' B D' F U' L
L' D' B D2 F U' L
L' D' B F U' L D
L' D' B F U' L D'
L' D' B F U' L D2
L' D' B F U' D L
L' D' B F U' D' L
L' D' B F U' D2 L
L' D' B F D U' L
L' D' B F D' U' L
L' D' B F D2 U' L
L' D' B' F U R' U2
L' D' B2 D2 F U' L'
L2 D2 L F B U' L
L2 D2 L B F U' L
L' D2 F U2 F' U L'
L' D2 F D B U' L
L' D2 F D' B U' L
L' D2 F D2 B U' L
L' D2 F B U' L D
L' D2 F B U' L D'
L' D2 F B U' L D2
L' D2 F B U' D L
L' D2 F B U' D' L
L' D2 F B U' D2 L
L' D2 F B D U' L
L' D2 F B D' U' L
L' D2 F B D2 U' L
L' D2 F B' U R' U2
L' D2 B D F U' L
L' D2 B D' F U' L
L' D2 B D2 F U' L
L' D2 B F U' L D
L' D2 B F U' L D'
L' D2 B F U' L D2
L' D2 B F U' D L
L' D2 B F U' D' L
L' D2 B F U' D2 L
L' D2 B F D U' L
L' D2 B F D' U' L
L' D2 B F D2 U' L
L' D2 B' F U R' U2
L' D2 B2 D2 F U' L'
L' F L B L' U' L2
L2 F L F B U' L
L2 F L B F U' L
L' F L2 B L2 U' L'
L F L2 F B U' L
L F L2 B F U' L
L' F R' B R U' L
L' F R2 B R2 U' L
L' F U R U' B U'
L' F U R' U F' U
L' F U' L U' F U
L' F U' L' U B' U'
L' F U2 D F' U L'
L' F U2 D' F' U L'
L' F U2 D2 F' U L'
L' F U2 F U' R U2
L' F U2 F' U L' D
L' F U2 F' U L' D'
L' F U2 F' U L' D2
L' F U2 F' U D L'
L' F U2 F' U D' L'
L' F U2 F' U D2 L'
L' F U2 F' D U L'
L' F U2 F' D' U L'
L' F U2 F' D2 U L'
L' F D U2 F' U L'
L' F D B U' L D
L' F D B U' L D'
L' F D B U' L D2
L' F D B U' D L
L' F D B U' D' L
L' F D B U' D2 L
L' F D B D U' L
L' F D B D' U' L
L' F D B D2 U' L
L' F D B' U R' U2
B D L' F' U' L2 R
B D L' F' U' R L2
L' F D' U2 F' U L'
L' F D' B U' L D
L' F D' B U' L D'
L' F D' B U' L D2
L' F D' B U' D L
L' F D' B U' D' L
L' F D' B U' D2 L
L' F D' B D U' L
L' F D' B D' U' L
L' F D' B D2 U' L
L' F D' B' U R' U2
L' F D2 U2 F' U L'
L' F D2 B U' L D
L' F D2 B U' L D'
L' F D2 B U' L D2
L' F D2 B U' D L
L' F D2 B U' D' L
L' F D2 B U' D2 L
L' F D2 B D U' L
L' F D2 B D' U' L
L' F D2 B D2 U' L
L' F D2 B' U R' U2
D' F B U' L R' F'
D' F B U' R' L F'
D' F B U' R' F' L
L' F B U R U2 L
L' F B U R' U2 L
L' F B U R2 U2 L
L' F B U' L2 D L'
L' F B U' L2 D' L'
L' F B U' L2 D2 L'
L' F B U' D L D
L' F B U' D L D'
L' F B U' D L D2
L' F B U' D' L D
L' F B U' D' L D'
L' F B U' D' L D2
L' F B U' D2 L D
L' F B U' D2 L D'
L' F B U' D2 L D2
L' F B U' F L F'
L' F B U' F2 L F2
L' F B U2 F U L
L' F B U2 F' U L
L' F B U2 F2 U L
L' F B D U' L D
L' F B D U' L D'
L' F B D U' L D2
L' F B D' U' L D
L' F B D' U' L D'
L' F B D' U' L D2
L' F B D2 U' L D
L' F B D2 U' L D'
L' F B D2 U' L D2
L' F B' U R' U2 D
L' F B' U R' U2 D'
L' F B' U R' U2 D2
L' F B' U R' D U2
L' F B' U R' D' U2
L' F B' U R' D2 U2
L' F B' U D R' U2
L' F B' U D' R' U2
L' F B' U D2 R' U2
L' F B' U' B2 L B2
L' F B' D U R' U2
L' F B' D B2 U' L
L' F B' D' U R' U2
L' F B' D' B2 U' L
L' F B' D2 U R' U2
L' F B' D2 B2 U' L
L' F B2 U' B' L B
L2 F' L F B U' L
L2 F' L B F U' L
L F' L2 F B U' L
L F' L2 B F U' L
L' F' D B U' L R2
L' F' D B U' R2 L
B D' L' B U' L2 R'
B D' L' B U' R' L2
L' F' B U' L D R2
L' F' B U' D L R2
L' F' B U' D R2 L
L' F' B D U' L R2
L' F' B D U' R2 L
L2 F2 L F B U' L
L2 F2 L B F U' L
L F2 L2 F B U' L
L F2 L2 B F U' L
F D' B U' L R' F'
F D' B U' R' L F'
F D' B U' R' F' L
L' F2 D F' B U' L
L' F2 D B F' U' L
U2 F2 D R F' U R
L' F2 D' F' B U' L
L' F2 D' B F' U' L
L' F2 D2 F' B U' L
L' F2 D2 B F' U' L
L' F2 B D F' U' L
L' F2 B D' F' U' L
L' F2 B D2 F' U' L
R' B L' R F U' L2
D' B L' U' L2 R' D
D' B L' U' L2 R' D'
D' B L' U' L2 R' D2
D' B L' U' L2 D R'
D' B L' U' L2 D' R'
D' B L' U' L2 D2 R'
D' B L' U' R' L2 D
D' B L' U' R' L2 D'
D' B L' U' R' L2 D2
D' B L' F U' L2 R'
D' B L' F U' R' L2
D' B L' F' U' L2 R'
D' B L' F' U' R' L2
D' B L' F2 U' L2 R'
D' B L' F2 U' R' L2
R2 B L' R2 F U' L2
R2 B L' F R2 U' L2
R' B R L' F U' L2
D B L' F' U' L2 R
D B L' F' U' R L2
L' B R F R' U' L
L B L2 U' L' D' R2
L B L2 U' D' L' R2
L B L2 U' D' R2 L'
L B L2 U2 B2 U L'
L B L2 D' U' L' R2
L B L2 D' U' R2 L'
L' B R2 F R2 U' L
R2 B R2 L' F U' L2
D' B U' L R' D F2
D' B U' L D R' F2
D' B U' L D F2 R'
D' B U' R' L D F2
D' B D L' U' L2 R'
D' B D L' U' R' L2
F' B L' F L' U' L'
L' B D F U' L D
L' B D F U' L D'
L' B D F U' L D2
L' B D F U' D L
L' B D F U' D' L
L' B D F U' D2 L
L' B D F D U' L
L' B D F D' U' L
L' B D F D2 U' L
D' B D' L' U' L2 R'
D' B D' L' U' R' L2
L' B D' F U' L D
L' B D' F U' L D'
L' B D' F U' L D2
L' B D' F U' D L
L' B D' F U' D' L
L' B D' F U' D2 L
L' B D' F D U' L
L' B D' F D' U' L
L' B D' F D2 U' L
D2 B D2 L' F U' L2
D' B D2 L' U' L2 R'
D' B D2 L' U' R' L2
D B D' L' F U' L2
L' B D2 F U' L D
L' B D2 F U' L D'
L' B D2 F U' L D2
L' B D2 F U' D L
L' B D2 F U' D' L
L' B D2 F U' D2 L
L' B D2 F D U' L
L' B D2 F D' U' L
L' B D2 F D2 U' L
D' B F U' L R' F'
D' B F U' R' L F'
D' B F U' R' F' L
L' B F U R U2 L
L' B F U R' U2 L
L' B F U R2 U2 L
L' B F U' L2 D L'
L' B F U' L2 D' L'
L' B F U' L2 D2 L'
L' B F U' D L D
L' B F U' D L D'
L' B F U' D L D2
L' B F U' D' L D
L' B F U' D' L D'
L' B F U' D' L D2
L' B F U' D2 L D
L' B F U' D2 L D'
L' B F U' D2 L D2
L' B F U' F L F'
L' B F U' F2 L F2
L' B F U2 F U L
L' B F U2 F' U L
L' B F U2 F2 U L
L' B F D U' L D
L' B F D U' L D'
L' B F D U' L D2
L' B F D' U' L D
L' B F D' U' L D'
L' B F D' U' L D2
L' B F D2 U' L D
L' B F D2 U' L D'
L' B F D2 U' L D2
L' B F' U' L D R2
L' B F' U' D L R2
L' B F' U' D R2 L
L' B F' D U' L R2
L' B F' D U' R2 L
L' B F2 D F' U' L
L' B F2 D' F' U' L
L' B F2 D2 F' U' L
D' B' L' U L2 R' U2
D' B' L' U R' L2 U2
U' B' L' F B' U' B2
U' B' L' B' F U' B2
L B' L2 U R' U2 R
L' B' U R' U' F U'
B F' L' F L' U' L'
L' B' D F U R' U2
L' B' D F B2 U' L
L' B' D B2 F U' L
L' B' D' F U R' U2
L' B' D' F B2 U' L
L' B' D' B2 F U' L
L' B' D2 F U R' U2
L' B' D2 F B2 U' L
L' B' D2 B2 F U' L
L' B' F U R' U2 D
L' B' F U R' U2 D'
L' B' F U R' U2 D2
L' B' F U R' D U2
L' B' F U R' D' U2
L' B' F U R' D2 U2
L' B' F U D R' U2
L' B' F U D' R' U2
L' B' F U D2 R' U2
L' B' F U' B2 L B2
L' B' F D U R' U2
L' B' F D B2 U' L
L' B' F D' U R' U2
L' B' F D' B2 U' L
L' B' F D2 U R' U2
L' B' F D2 B2 U' L
U' B2 L' F B' U' B'
U' B2 L' B' F U' B'
D' B2 L' B' U' L R'
D' B2 L' B' U' R' L
D2 B2 D2 L' F U' L'
L' B2 D2 F U' L' D
L' B2 D2 F U' L' D'
L' B2 D2 F U' L' D2
L' B2 D2 F U' D L'
L' B2 D2 F U' D' L'
L' B2 D2 F U' D2 L'
L' B2 D2 F D U' L'
L' B2 D2 F D' U' L'
L' B2 D2 F D2 U' L'
L' B2 D2 F B U' L'
L' B2 D2 F B' U' L'
L' B2 D2 F B2 U' L'
L' B2 D2 B F U' L'
L' B2 D2 B' F U' L'
L' B2 D2 B2 F U' L'
L' B2 F U' B' L B
