F R U' F B U
F R U' B F U
R U' F2 B U F'
R U' B F2 U F'
D' R' F L2 D R2
D2 R' F D L2 R2
D2 R' F D R2 L2
R' D' F L2 D R2
R2 D' F' L2 R F2
R2 D' F' R L2 F2
R2 D' F' R F2 L2
F U' F B' U R'
R' D2 F D L2 R2
R' D2 F D R2 L2
F U' B' F U R'
R F U' F B U
R F U' B F U
U' F2 B' U F' R'
R F2 B U F' B'
R F2 B U B' F'
R B F2 U F' B'
R B F2 U B' F'
U' B' F2 U F' R'
D' F L2 R' U F' U'
R' F L2 U F2 B' U'
R' F L2 U B' F2 U'
D' F L2 U F U' R
D' F L2 U' B' U R'
D' F R L2 U' B U
D' F R U' B U L2
D' F R' L2 U F' U'
D' F R' U F' U' L2
D2 F R' U F' B2 U'
D2 F R' U B2 F' U'
B U2 F2 U F' B' R'
B U2 F2 U B' F' R'
R2 F R' U' F B U
R2 F R' U' B F U
D' F U F U' L2 R
D' F U F U' R L2
D2 F U F B2 U' R
R' F U F2 U2 F' U
D2 F U B2 F U' R
R' F U' D F U R2
R' F U' D2 F B2 U
R' F U' D2 B2 F U
R' F U' F U2 F U'
D' F U' B' U L2 R'
D' F U' B' U R' L2
R' F D R2 U' F U
R' F D U' F U R2
R F U' D F B U
R F U' D B F U
R F U' D' F B U
R F U' D' B F U
R F U' D2 F B U
R F U' D2 B F U
R F U' F D B U
R F U' F D' B U
R F U' F D2 B U
R F U' F B U D
R F U' F B U D'
R F U' F B U D2
R F U' F B D U
R F U' F B D' U
R F U' F B D2 U
R F U' B D F U
R F U' B D' F U
R F U' B D2 F U
R F U' B F U D
R F U' B F U D'
R F U' B F U D2
R F U' B F D U
R F U' B F D' U
R F U' B F D2 U
R' F D2 U' F B2 U
R' F D2 U' B2 F U
R F D U' F B U
R F D U' B F U
F D R U' F B U
F D R U' B F U
R F D' U' F B U
R F D' U' B F U
R F D2 U' F B U
R F D2 U' B F U
F D U' F B' U R'
F D U' B' F U R'
R' F' R2 B U' F2 B'
R' F' R2 B U' B' F2
R F' U' F' B U F'
R F' U' B F' U F'
U F' U2 F' U F' R
F D' R U' F B U
F D' R U' B F U
B' D' U F L2 B R
B' D' U F B L2 R
B' D' U F B R L2
B' D' U B F L2 R
B' D' U B F R L2
B D' U F R B' L2
B D' U F B' L2 R
B D' U F B' R L2
B D' U B' F L2 R
B D' U B' F R L2
B D' U' F B' L2 R'
B D' U' F B' R' L2
B D' U' B' R' F L2
B D' U' B' F L2 R'
B D' U' B' F R' L2
F D' U' F B' U R'
F D' U' B' F U R'
R' F2 L2 B' U F' B
R' F2 L2 B' U B F'
R F2 L B U F' B'
R F2 L B U B' F'
R F2 L' B U F' B'
R F2 L' B U B' F'
R F2 L2 B U F' B'
R F2 L2 B U B' F'
U' F2 U2 F U' R F2
U' F2 D B' U F' R'
U' F2 D' B' U F' R'
U' F2 D2 B' U F' R'
U' F2 B U' L U2 F'
R F2 D B U F' B'
R F2 D B U B' F'
F D2 R U' F B U
F D2 R U' B F U
U' F2 B' U D F' R'
U' F2 B' U D' F' R'
U' F2 B' U D2 F' R'
U' F2 B' U F R' F2
U' F2 B' U F' R' D
U' F2 B' U F' R' D'
U' F2 B' U F' R' D2
U' F2 B' U F' D R'
U' F2 B' U F' D' R'
U' F2 B' U F' D2 R'
U' F2 B' U F2 R' F
U' F2 B' D U F' R'
U' F2 B' D' U F' R'
R F2 D' B U F' B'
R F2 D' B U B' F'
U' F2 B' D2 U F' R'
U' F2 B2 U D2 F' R
U' F2 B2 D2 U F' R
R F2 D2 B U F' B'
R F2 D2 B U B' F'
R F2 B U D F' B'
R F2 B U D B' F'
R F2 B U D' F' B'
R F2 B U D' B' F'
R F2 B U D2 F' B'
R F2 B U D2 B' F'
R F2 B U F' D B'
R F2 B U F' D' B'
R F2 B U F' D2 B'
R F2 B U F' B' D
R F2 B U F' B' D'
R F2 B U F' B' D2
R F2 B U B' D F'
R F2 B U B' D' F'
R F2 B U B' D2 F'
R F2 B U B' F' D
R F2 B U B' F' D'
R F2 B U B' F' D2
R F2 B D U F' B'
R F2 B D U B' F'
R F2 B D' U F' B'
R F2 B D' U B' F'
R F2 B D2 U F' B'
R F2 B D2 U B' F'
F D2 U' F B' U R'
F D2 U' B' F U R'
R B R F2 U F' B'
R B R F2 U B' F'
D' B U F R B' L2
D' B U F B' L2 R
D' B U F B' R L2
B' D2 B2 U' F B' R'
B' D2 B2 U' B' R' F
B' D2 B2 U' B' F R'
D' B U B' F L2 R
D' B U B' F R L2
R B R' F2 U F' B'
R B R' F2 U B' F'
D' B U' F B' L2 R'
D' B U' F B' R' L2
D' B U' B' R' F L2
D' B U' B' F L2 R'
D' B U' B' F R' L2
R B R2 F2 U F' B'
R B R2 F2 U B' F'
R B U D' F B' L2
R B U D' B' F L2
R B U B' D' F L2
R B D' U F B' L2
R B D' U B' F L2
U' B F2 U' L U2 F'
F2 B U F R F2 B'
F2 B U F R B' F2
F2 B U F B' R F2
F2 B U B' F R F2
R B F2 U D F' B'
R B F2 U D B' F'
R B F2 U D' F' B'
R B F2 U D' B' F'
R B F2 U D2 F' B'
R B F2 U D2 B' F'
R B F2 U F' D B'
R B F2 U F' D' B'
R B F2 U F' D2 B'
R B F2 U F' B' D
R B F2 U F' B' D'
R B F2 U F' B' D2
R B F2 U B' D F'
R B F2 U B' D' F'
R B F2 U B' D2 F'
R B F2 U B' F' D
R B F2 U B' F' D'
R B F2 U B' F' D2
R B F2 D U F' B'
R B F2 D U B' F'
R B F2 D' U F' B'
R B F2 D' U B' F'
R B F2 D2 U F' B'
R B F2 D2 U B' F'
U' B' R F2 U F' R2
U' B' U R' D' F L2
U' B' U D' R' F L2
U' B' U D' F L2 R'
U' B' U D' F R' L2
D' B' U F L2 B R
D' B' U F B L2 R
D' B' U F B R L2
D' B' U B F L2 R
D' B' U B F R L2
U' B' D' U R' F L2
U' B' D' U F L2 R'
U' B' D' U F R' L2
F2 B' U F B R F2
F2 B' U B F R F2
R B' D' F L2 B R2
R B' D' F B L2 R2
R B' D' F B R2 L2
R B' D' B R2 F L2
R B' D' B F L2 R2
R B' D' B F R2 L2
U' B' F2 U D F' R'
U' B' F2 U D' F' R'
U' B' F2 U D2 F' R'
U' B' F2 U F R' F2
U' B' F2 U F' R' D
U' B' F2 U F' R' D'
U' B' F2 U F' R' D2
U' B' F2 U F' D R'
U' B' F2 U F' D' R'
U' B' F2 U F' D2 R'
U' B' F2 U F2 R' F
U' B' F2 D U F' R'
U' B' F2 D' U F' R'
U' B' F2 D2 U F' R'
D2 B2 R' F' U' F2 B2
D2 B2 R' F' U' B2 F2
D2 B2 U F R B2 L
D' B2 U F L2 R B2
D' B2 U F L2 B2 R
D' B2 U F R L2 B2
D' B2 U F R B2 L2
D' B2 U F B2 L2 R
D' B2 U F B2 R L2
D' B2 U B2 F L2 R
D' B2 U B2 F R L2
D2 B2 U' F B' R' B'
D2 B2 U' B' R' F B'
D2 B2 U' B' R' B' F
D2 B2 U' B' F R' B'
B' F2 U F B R F2
B' F2 U B F R F2
B2 F2 U F R F2 B2
B2 F2 U F R B2 F2
B2 F2 U F B2 R F2
F2 B2 U F R F2 B2
F2 B2 U F R B2 F2
F2 B2 U F B2 R F2
B2 F2 U B2 F R F2
F2 B2 U B2 F R F2
B F2 U F R F2 B'
B F2 U F R B' F2
B F2 U F B' R F2
B F2 U B' F R F2
U' B2 F2 U D2 F' R
U' B2 F2 D2 U F' R
