B R' U B U F
R' B' D' U2 F R2 L
R' B' D' F L R2 B
R' B' D' F R2 L B
R B' U2 F L D R2
R B' U2 F D L R2
R B' U2 F D R2 L
R' B' F L D' R2 B
R' B' F D' L R2 B
R' B' F D' R2 L B
U2 B' F L D B R'
U2 B' F D L B R'
R B' F L D R2 B
R B' F D L R2 B
R B' F D R2 L B
F B' D L R2 B R'
F B' D R2 L B R'
U B2 R' B U F L
D B2 U2 D F L' R
D B2 U2 D F R L'
L2 B2 D B U2 L R'
L2 B2 D B U2 R' L
D B2 D U2 F L' R
D B2 D U2 F R L'
F B2 D R2 B L R'
F B2 D R2 B R' L
R B2 F D R2 B L
