R' L U R2
L R' U R2
R' L U R2 D
R' L U R2 D'
R' L U R2 D2
D L R' U R2
D' L R' U R2
D2 L R' U R2
R' L D B2 U
R' L B U R2
R' L B' U R2
R' L B2 U R2
L R' U R2 D
L R' U R2 D'
L R' U R2 D2
L R' D B2 U
L R' B U R2
L R' B' U R2
L R' B2 U R2
L U R D' F2
D' R' L U R2
D R' L U R2
D2 R' L U R2
R' D L B2 U
R' D L B2 U
L D R' U R2
L D' R' U R2
L D2 R' U R2
B' U D' R F' B
B' U D' R B F'
B' U D' R B F'
R2 D' L R U R2
L' D' R' U R2 B2
L' D' R' U B2 R2
L2 D' L' R' U R2
R2 D' R L U R2
L2 D' R' L' U R2
L D' R' U R2 D
L D' R' U R2 D'
L D' R' U R2 D2
L D' R' D B2 U
L D' R' B U R2
L D' R' B' U R2
L D' R' B2 U R2
L D' U R D' F2
R' D2 L U' L U2
R' D2 L B2 U R'
R2 D2 L R U R2
L2 D2 L' R' U R2
R2 D2 R L U R2
L2 D2 R' L' U R2
L D2 R' U R2 D
L D2 R' U R2 D'
L D2 R' U R2 D2
L D2 R' D B2 U
L D2 R' B U R2
L D2 R' B' U R2
L D2 R' B2 U R2
L D2 U R D' F2
B2 U2 L R' U' R2
B2 U2 R' L U' R2
R' F L F' U R2
L F' R' F U R
R' F2 L F2 U R2
B' D' U R F' B
B' D' U R B F'
L F2 R' F2 U R
L B R2 U R' F'
L B U R' F' R2
R' B' U R B R
L B' U D' R F'
L B' D' U R F'
R' B2 U2 R' U' R'
L B2 U2 L U' R
R' B2 D B2 L U
R' B2 D B2 L U
R' L U L R2 D L'
R' L U L R2 D' L'
R' L U L R2 D2 L'
R' L U L' R2 D L
R' L U L' R2 D' L
R' L U L' R2 D2 L
R' L U R D R D
R' L U R D R D'
R' L U R D R D2
R' L U R D' R D
R' L U R D' R D'
R' L U R D' R D2
R' L U R D2 R D
R' L U R D2 R D'
R' L U R D2 R D2
R' L U R B R B'
R' L U R B2 R B2
R' L U R' D R' D
R' L U R' D R' D'
R' L U R' D R' D2
R' L U R' D' R' D
R' L U R' D' R' D'
R' L U R' D' R' D2
R' L U R' D2 R' D
R' L U R' D2 R' D'
R' L U R' D2 R' D2
R' L U R' F' R' F
R' L U R' F2 R' F2
R' L U R2 L D L'
R' L U R2 L D' L'
R' L U R2 L D2 L'
R' L U R2 L' D L
R' L U R2 L' D' L
R' L U R2 L' D2 L
R' L U R2 F D F'
R' L U R2 F D' F'
R' L U R2 F D2 F'
R' L U R2 F' D F
R' L U R2 F' D' F
R' L U R2 F' D2 F
R2 L U R' U' R2 U
R' L U R2 B D B'
R' L U R2 B D' B'
R' L U R2 B D2 B'
R' L U R2 B' D B
R' L U R2 B' D' B
R' L U R2 B' D2 B
R2 L U R' D' F2 D
R2 L U R' D' F2 D'
R2 L U R' D' F2 D2
R2 L U R' F D' F2
R' L U D R D' R2
R2 L U R' F' D' F2
R' L U D R' D' R2
R2 L U R' F2 D' F2
R' L U D R2 D' R2
R' L U D' R D R2
R' L U D' R' D R2
R' L U D' R2 D R2
R' L U D2 R D2 R2
R2 L U D R' D' F2
R' L U D2 R' D2 R2
R' L U D2 R2 D2 R2
R2 L U D' R' D' F2
L R U D' F2 D R2
R2 L U D2 R' D' F2
R' L U F' R' F R'
R' L U F' R2 D F
R' L U F' R2 D' F
R' L U F' R2 D2 F
R' L U F' R2 F D
R' L U F' R2 F D'
R' L U F' R2 F D2
D2 L R B R2 U R2
D' L R B R2 U R2
R' L U F2 R' F2 R'
R' L U F2 R2 F2 D
R' L U F2 R2 F2 D'
R' L U F2 R2 F2 D2
D2 L R B' R2 U R2
D' L R B' R2 U R2
R' L U B R B' R
R' L U B R2 D B'
R' L U B R2 D' B'
R' L U B R2 D2 B'
R' L U B R2 B' D
R' L U B R2 B' D'
R' L U B R2 B' D2
R L U D' F2 D R2
D L R B R2 U R2
D2 L R B2 R2 U R2
D' L R B2 R2 U R2
D L R B' R2 U R2
D' L R' U R D R
D' L R' U R D' R
D2 L R' U R D R
D' L R' U R D2 R
D2 L R' U R D' R
D2 L R' U R D2 R
D2 L R' U R' D R'
D2 L R' U R' D' R'
D2 L R' U R' D2 R'
D' L R' U R' D R'
D' L R' U R' D' R'
D' L R' U R' D2 R'
U2 L R' U R2 D2 L2
R' L U B2 R B2 R
R' L U B2 R2 B2 D
R' L U B2 R2 B2 D'
R' L U B2 R2 B2 D2
D' L R' U F' R2 F
D2 L R' U F' R2 F
D' L R' U F2 R2 F2
D2 L R' U F2 R2 F2
D' L R' U B R2 B'
U' L R' U' R U2 R
D2 L R' U B R2 B'
D L R B2 R2 U R2
D' L R' U B2 R2 B2
D2 L R' U B2 R2 B2
D' L R' U' L U2 R2
D2 L R' U' L U2 R2
D2 L R' U' L' U2 R2
D' L R' U' L' U2 R2
D2 L R' U' L2 U2 R2
D' L R' U' L2 U2 R2
D' L R' U' D2 L2 U2
D2 L R' U' D2 L2 U2
R' L U' L U2 R2 D
R' L U' L U2 R2 D'
R' L U' L U2 R2 D2
D L R' U R D R
D L R' U R D' R
D L R' U R D2 R
R' L U' L D2 L2 U2
D L R' U R' D R'
D L R' U R' D' R'
D L R' U R' D2 R'
B2 L R' U' R2 D2 L2
D L R' U F' R2 F
D L R' U F2 R2 F2
D L R' U B R2 B'
D L R' U B2 R2 B2
D2 L R' U2 D' F2 U'
D' L R' U2 D' F2 U'
D L R' U' L U2 R2
R' L U' L' U2 R2 D
R' L U' L' U2 R2 D'
R' L U' L' U2 R2 D2
D2 L R' U2 F U' R2
D L R' U' L' U2 R2
D' L R' U2 F U' R2
D2 L R' U2 F' U' R2
D L R' U' L2 U2 R2
D2 L R' U2 F2 U' R2
D' L R' U2 F' U' R2
R' L U' L' D2 L2 U2
D' L R' U2 F2 U' R2
U L R' U L' R2 D
U L R' U L' R2 D'
U L R' U L' R2 D2
D L R' U' D2 L2 U2
U L R' U R2 L' D
U L R' U R2 L' D'
U L R' U R2 L' D2
U L R' U R2 D L'
U L R' U R2 D' L'
U L R' U R2 D2 L'
R' L U' L2 U2 R2 D
R' L U' L2 U2 R2 D'
R' L U' L2 U2 R2 D2
R' L U' L2 D2 L2 U2
D' L R' D B2 U D
D' L R' D B2 U D'
D' L R' D B2 U D2
D' L R' D B2 D U
D' L R' D B2 D' U
D2 L R' D B2 U D
D' L R' D B2 D2 U
D2 L R' D B2 U D'
D2 L R' D B2 U D2
D2 L R' D B2 D U
D2 L R' D B2 D' U
D2 L R' D B2 D2 U
D L R' U2 D' F2 U'
D L R' U2 F U' R2
D L R' U2 F' U' R2
D L R' U2 F2 U' R2
D' L R' D' U2 F2 U'
D2 L R' D' U2 F2 U'
D' L R' D2 U' L2 U2
D2 L R' D2 U' L2 U2
D L R' D B2 U D
D L R' D B2 U D'
D L R' D B2 U D2
D L R' D B2 D U
D L R' D B2 D' U
D L R' D B2 D2 U
F2 L R' D' B2 U L2
D L R' D' U2 F2 U'
U L R' D B2 U L'
D L R' D2 U' L2 U2
U' L R' F2 U L' R2
U' L R' F2 U R2 L'
R' L U' D2 L2 U2 D
R' L U' D2 L2 U2 D'
R' L U' D2 L2 U2 D2
R' L U' D2 L2 D U2
R' L U' D2 L2 D' U2
R' L U' D2 L2 D2 U2
F2 L R' F2 U D2 R2
F2 L R' F2 U' L2 U2
D' L R' B U R2 D
D' L R' B U R2 D'
D' L R' B U R2 D2
D2 L R' B U R2 D
D2 L R' B U R2 D'
D2 L R' B U R2 D2
F2 L R' F2 D' B2 U
F2 L R' F2 D2 U R2
D' L R' B D B2 U
D2 L R' B D B2 U
R' L U' F U2 R2 B
D' L R' B' U R2 D
D' L R' B' U R2 D'
D' L R' B' U R2 D2
D2 L R' B' U R2 D
D2 L R' B' U R2 D'
D2 L R' B' U R2 D2
D' L R' B' D B2 U
D2 L R' B' D B2 U
D L R' B U R2 D
D L R' B U R2 D'
D L R' B U R2 D2
D L R' B D B2 U
D' L R' B2 U R2 D
D' L R' B2 U R2 D'
D' L R' B2 U R2 D2
D2 L R' B2 U R2 D
D2 L R' B2 U R2 D'
D2 L R' B2 U R2 D2
D' L R' B2 D B2 U
D2 L R' B2 D B2 U
D L R' B' U R2 D
D L R' B' U R2 D'
D L R' B' U R2 D2
D' L R2 U R' D' F2
D L R' B' D B2 U
U L R' B U L' R2
U L R' B U R2 L'
D2 L R2 U R' D' F2
D L R' B2 U R2 D
D L R' B2 U R2 D'
D L R' B2 U R2 D2
D L R' B2 D B2 U
U L R' B' U L' R2
U L R' B' U R2 L'
D L R2 U R' D' F2
R' L U' B' U2 R2 F'
U L R' B2 U L' R2
U L R' B2 U R2 L'
D' L R2 D R U R2
D2 L R2 D R U R2
D' L R2 D' R U R2
D2 L R2 D' R U R2
D L R2 D R U R2
D' L R2 D2 R U R2
D2 L R2 D2 R U R2
D L R2 D' R U R2
D L R2 D2 R U R2
R' L U2 D' F2 U' D
R' L U2 D' F2 U' D'
R' L U2 D' F2 U' D2
R' L U2 D' F2 D U'
R' L U2 D' F2 D' U'
R' L U2 D' F2 D2 U'
R' L U2 F U' R2 D
R' L U2 F U' R2 D'
R' L U2 F U' R2 D2
R' L U2 F D' F2 U'
R' L U2 F' U' R2 D
R' L U2 F' U' R2 D'
R' L U2 F' U' R2 D2
R' L U2 F' D' F2 U'
R' L U2 F2 U' R2 D
R' L U2 F2 U' R2 D'
R' L U2 F2 U' R2 D2
R' L U2 F2 D' F2 U'
D' L U R U' R2 U
D2 L U R U' R2 U
D' L U R D' F2 D
D' L U R D' F2 D'
D' L U R D' F2 D2
R2 L U2 F' U' R' F'
D' L U R F D' F2
D2 L U R D' F2 D
D2 L U R D' F2 D'
D2 L U R D' F2 D2
D' L U R F' D' F2
D' L U R F2 D' F2
D2 L U R F D' F2
D2 L U R F' D' F2
D2 L U R F2 D' F2
U L U L' R D' F2
R2 L U2 F2 L' U' R'
D L U R U' R2 U
D L U R D' F2 D
D L U R D' F2 D'
D L U R D' F2 D2
D L U R F D' F2
D L U R F' D' F2
D L U R F2 D' F2
D' L U D R D' F2
U L U R L' D' F2
B' L U D' R F' B
B' L U D' R B F'
D2 L U D R D' F2
U L U R D' L' F2
R' L D L B2 L' U
D' L U D' R D' F2
D2 L U D' R D' F2
D' L U D2 R D' F2
D2 L U D2 R D' F2
D L U D R D' F2
D L U D' R D' F2
R' L D L2 B2 L2 U
D L U D2 R D' F2
R' L D R' B2 R U
R2 L D R U R2 D
R2 L D R U R2 D'
R2 L D R U R2 D2
R2 L D R D B2 U
R2 L D R B U R2
R' L D R2 B2 R2 U
R2 L D R B' U R2
R2 L D R B2 U R2
R' L D U R D' R2
R' L D U R' D' R2
R' L D U R2 D' R2
R2 L D U R' D' F2
R' L D B D B U
R' L D B D' B U
R' L D B D2 B U
B2 L U' R D B2 L
R' L D B' D B' U
R' L D B' D' B' U
R' L D B' D2 B' U
R2 L D' R U R2 D
R2 L D' R U R2 D'
R2 L D' R U R2 D2
R2 L D' R D B2 U
L R D' R U R' F2
L R D' R U F2 R'
R2 L D' R B U R2
R2 L D' R B' U R2
R2 L D' R B2 U R2
R' L D' U R D R2
R' L D' U R' D R2
R' L D' U R2 D R2
L R D' R' U R F2
L R D' R2 U R2 F2
L R D' R2 U F2 R2
R L D' R U R' F2
R L D' R U F2 R'
R' L D' U2 F2 U' D
R' L D' U2 F2 U' D'
R' L D' U2 F2 U' D2
R' L D' U2 F2 D U'
R' L D' U2 F2 D' U'
R' L D' U2 F2 D2 U'
R2 L D' U R' D' F2
L R D' U F2 D R2
R L D' R' U R F2
R L D' R2 U R2 F2
R L D' R2 U F2 R2
L' R D' F2 B2 D' L2
R L D' U F2 D R2
R' L D' B U D R2
R' L D' B U2 F2 U'
R' L D' B D U R2
R' L D' B D2 B2 U
R' L D' B' U D R2
R' L D' B' U2 F2 U'
R' L D' B' D U R2
R' L D' B' D2 B2 U
L' R D' B2 F2 D' L2
R' L D' B2 U D R2
R' L D' B2 U2 F2 U'
R' L D' B2 D U R2
R' L D' B2 D2 B2 U
R2 L D2 R U R2 D
R2 L D2 R U R2 D'
R2 L D2 R U R2 D2
R2 L D2 R D B2 U
R' L D2 U R D2 R2
R' L D2 U R' D2 R2
R' L D2 U R2 D2 R2
R2 L D2 R B U R2
R2 L D2 R B' U R2
R2 L D2 R B2 U R2
R' L D2 U' L2 U2 D
R' L D2 U' L2 U2 D'
R' L D2 U' L2 U2 D2
R' L D2 U' L2 D U2
R' L D2 U' L2 D' U2
R' L D2 U' L2 D2 U2
R2 L D2 U R' D' F2
R' L D2 B U D2 R2
R' L D2 B U' L2 U2
R' L D2 B D' B2 U
R' L D2 B D2 U R2
D2 L D R' U R2 D
D2 L D R' U R2 D'
D2 L D R' U R2 D2
D' L D R' U R2 D
D' L D R' U R2 D'
D' L D R' U R2 D2
D2 L D R' D B2 U
R' L D2 B' U D2 R2
R' L D2 B' U' L2 U2
D' L D R' D B2 U
R' L D2 B' D' B2 U
R' L D2 B' D2 U R2
D2 L D R' B U R2
D2 L D R' B' U R2
D2 L D R' B2 U R2
D' L D R' B U R2
D' L D R' B' U R2
D' L D R' B2 U R2
R' L D2 B2 U D2 R2
R' L D2 B2 U' L2 U2
R' L D2 B2 D' B2 U
R' L D2 B2 D2 U R2
D2 L D U R D' F2
D L D R' U R2 D
D L D R' U R2 D'
D L D R' U R2 D2
D' L D U R D' F2
D L D R' D B2 U
D L D R' B U R2
D L D R' B' U R2
D L D R' B2 U R2
D L D U R D' F2
U L D R' U L' R2
U L D R' U R2 L'
F L D F' R' B U
R' L F D F' B2 U
R' L F D B2 F' U
D' L D' R' U R2 D
D' L D' R' U R2 D'
D' L D' R' U R2 D2
D2 L D' R' U R2 D
D2 L D' R' U R2 D'
D2 L D' R' U R2 D2
D' L D' R' D B2 U
D2 L D' R' D B2 U
D' L D' R' B U R2
D' L D' R' B' U R2
D2 L D' R' B U R2
D' L D' R' B2 U R2
D2 L D' R' B' U R2
D2 L D' R' B2 U R2
D L D' R' U R2 D
D L D' R' U R2 D'
D L D' R' U R2 D2
D' L D' U R D' F2
D2 L D' U R D' F2
D L D' R' D B2 U
F2 L D' R' B2 U L2
D L D' R' B U R2
D L D' R' B' U R2
D L D' R' B2 U R2
B' L D' U R F' B
B' L D' U R B F'
D L D' U R D' F2
U L D' R' U L' R2
U L D' R' U R2 L'
L R F' R2 F U R2
R' L F' D F B2 U
R' L F' D B2 F U
R L F' R2 F U R2
D' L D2 R' U R2 D
D' L D2 R' U R2 D'
D' L D2 R' U R2 D2
D' L D2 R' D B2 U
D2 L D2 R' U R2 D
D2 L D2 R' U R2 D'
D2 L D2 R' U R2 D2
D' L D2 R' B U R2
D' L D2 R' B' U R2
D2 L D2 R' D B2 U
D' L D2 R' B2 U R2
D2 L D2 R' B U R2
D2 L D2 R' B' U R2
D2 L D2 R' B2 U R2
D L D2 R' U R2 D
D L D2 R' U R2 D'
D L D2 R' U R2 D2
D' L D2 U R D' F2
D L D2 R' D B2 U
D2 L D2 U R D' F2
D L D2 R' B U R2
D L D2 R' B' U R2
D L D2 R' B2 U R2
D L D2 U R D' F2
U L D2 R' U L' R2
U L D2 R' U R2 L'
R' L F2 U R2 D' L2
L R F2 R2 F2 U R2
R L F2 R2 F2 U R2
L' R F2 D' L2 F2 B2
L' R F2 D' L2 B2 F2
L' R F2 D' F2 L2 B2
L' R F2 D' F2 B2 L2
L' R F2 D' B2 L2 F2
L' R F2 D' B2 F2 L2
F L F R' F2 U R
L' R B L2 R2 U R2
L2 R B L' R2 U R2
L' R B R2 L2 U R2
R' L B U R D R
R2 L B R B' U R'
R' L B U R D' R
R' L B U R D2 R
R' L B U R' D R'
R' L B U R' D' R'
R' L B U R' D2 R'
R' L B U F' R2 F
R' L B U F2 R2 F2
R' L B U B R2 B'
R' L B U B2 R2 B2
R' L B U' L U2 R2
R' L B U' L' U2 R2
R' L B U' L2 U2 R2
R' L B U' D2 L2 U2
L R B R2 U R2 D
L R B R2 U R2 D'
L R B R2 U R2 D2
L2 R B R2 L' U R2
L R B R2 D B2 U
L R B R2 B U R2
L R B R2 B' U R2
L R B R2 B2 U R2
R' L B U2 D' F2 U'
R' L B U2 F U' R2
R' L B U2 F' U' R2
R' L B U2 F2 U' R2
R L B R2 U R2 D
R L B R2 U R2 D'
R L B R2 U R2 D2
R L B R2 D B2 U
R L B R2 B U R2
R L B R2 B' U R2
R L B R2 B2 U R2
R' L B D B2 U D
R' L B D B2 U D'
R' L B D B2 U D2
R' L B D B2 D U
R' L B D B2 D' U
R' L B D B2 D2 U
R' L B D' U2 F2 U'
R' L B D2 U' L2 U2
D2 L F' R' F U R
D' L F' R' F U R
D L F' R' F U R
F L F' R' U R2 D
F L F' R' U R2 D'
F L F' R' U R2 D2
F L F' R' D B2 U
F L F' R' B U R2
F L F' R' B' U R2
F L F' R' B2 U R2
L' R B' L2 R2 U R2
F L F' U R D' F2
L2 R B' L' R2 U R2
L' R B' R2 L2 U R2
R' L B' U R D R
R' L B' U R D' R
R' L B' U R D2 R
R' L B' U R' D R'
R' L B' U R' D' R'
R' L B' U R' D2 R'
F L F' D R' U R2
R2 L B' R B U R'
R' L B' U F' R2 F
R' L B' U F2 R2 F2
R' L B' U B R2 B'
R' L B' U B2 R2 B2
R' L B' U' L U2 R2
R' L B' U' L' U2 R2
R' L B' U' L2 U2 R2
F L F' D' R' U R2
R' L B' U' D2 L2 U2
L2 R B' R2 L' U R2
L R B' R2 U R2 D
L R B' R2 U R2 D'
L R B' R2 U R2 D2
L R B' R2 D B2 U
F L F' D2 R' U R2
R' L B' U2 D' F2 U'
L R B' R2 B U R2
R' L B' U2 F U' R2
R' L B' U2 F' U' R2
L R B' R2 B' U R2
R' L B' U2 F2 U' R2
L R B' R2 B2 U R2
R L B' R2 U R2 D
R L B' R2 U R2 D'
R L B' R2 U R2 D2
R L B' R2 D B2 U
R L B' R2 B U R2
R L B' R2 B' U R2
R' L B' D B2 U D
R' L B' D B2 U D'
R' L B' D B2 U D2
R' L B' D B2 D U
R' L B' D B2 D' U
R' L B' D B2 D2 U
R L B' R2 B2 U R2
R' L B' D' U2 F2 U'
R' L B' D2 U' L2 U2
D2 L F2 R' F2 U R
D' L F2 R' F2 U R
F2 L F2 R' U D2 R2
F2 L F2 R' U' L2 U2
F2 L F2 R' D' B2 U
F2 L F2 R' D2 U R2
D L F2 R' F2 U R
F L F2 R' F U R
L' R B2 L2 R2 U R2
L2 R B2 L' R2 U R2
L' R B2 R2 L2 U R2
R2 L B2 R U' L U2
F2 L F2 D' R' B2 U
R' L B2 U R D R
R' L B2 U R D' R
R' L B2 U R D2 R
R' L B2 U R' D R'
R' L B2 U R' D' R'
R' L B2 U R' D2 R'
R' L B2 U F' R2 F
R2 L B2 R B2 U R'
R' L B2 U F2 R2 F2
R' L B2 U B R2 B'
R' L B2 U B2 R2 B2
F2 L F2 D2 R' U R'
R' L B2 U' L U2 R2
R' L B2 U' L' U2 R2
R' L B2 U' L2 U2 R2
R' L B2 U' D2 L2 U2
L2 R B2 R2 L' U R2
L R B2 R2 U R2 D
L R B2 R2 U R2 D'
L R B2 R2 U R2 D2
L R B2 R2 D B2 U
R' L B2 U2 D' F2 U'
R' L B2 U2 F U' R2
R' L B2 U2 F' U' R2
L R B2 R2 B U R2
R' L B2 U2 F2 U' R2
L R B2 R2 B' U R2
L R B2 R2 B2 U R2
R L B2 R2 U R2 D
R L B2 R2 U R2 D'
R L B2 R2 U R2 D2
R L B2 R2 D B2 U
R L B2 R2 B U R2
R L B2 R2 B' U R2
R L B2 R2 B2 U R2
R' L B2 D B2 U D
R' L B2 D B2 U D'
R' L B2 D B2 U D2
R' L B2 D B2 D U
R' L B2 D B2 D' U
R' L B2 D B2 D2 U
B' L B L R' U R2
R' L B2 D' U2 F2 U'
R' L B2 D2 U' L2 U2
D2 L B R2 U R' F'
D' L B R2 U R' F'
B' L B R' L U R2
D2 L B U R' F' R2
D' L B U R' F' R2
D L B R2 U R' F'
D L B U R' F' R2
L R' U L R2 D L'
L R' U L R2 D' L'
L R' U L R2 D2 L'
L' R' U R D' R B2
R' L' U R D' R B2
L' R' U R D' B2 R
R' L' U R D' B2 R
L R' U L' R2 D L
L R' U L' R2 D' L
L R' U L' R2 D2 L
R' L' U R' D' R' B2
L' R' U R' D' R' B2
L' R' U R2 U' L2 U
R' L' U R2 U' L2 U
L' R' U R2 D' B2 D
L' R' U R2 D' B2 D'
L' R' U R2 D' B2 D2
R' L' U R2 D' B2 D
R' L' U R2 D' B2 D'
R' L' U R2 D' B2 D2
L' R' U R2 B D' B2
R' L' U R2 B D' B2
L' R' U R2 B' D' B2
R' L' U R2 B' D' B2
L' R' U R2 B2 D' B2
R' L' U R2 B2 D' B2
L R' U R D R D
L R' U R D R D'
L R' U R D R D2
L R' U R D' R D
L R' U R D' R D'
L R' U R D' R D2
L R' U R D2 R D
L R' U R D2 R D'
L R' U R D2 R D2
L R' U R B R B'
L R' U R B2 R B2
L R' U R' D R' D
L R' U R' D R' D'
L R' U R' D R' D2
L R' U R' D' R' D
L R' U R' D' R' D'
L R' U R' D' R' D2
R2 L' U R' D' F2 B2
R2 L' U R' D' B2 F2
L' R' U D' B2 D R2
L R' U R' D2 R' D
L R' U R' D2 R' D'
L R' U R' D2 R' D2
R' L' U D' B2 D R2
L R' U R' F' R' F
L R' U R' F2 R' F2
L R' U R2 L D L'
L R' U R2 L D' L'
L R' U R2 L D2 L'
L R' U R2 L' D L
L R' U R2 L' D' L
L R' U R2 L' D2 L
L2 R' U R2 U' L' U
L R' U R2 F D F'
L R' U R2 F D' F'
L R' U R2 F D2 F'
L R' U R2 F' D F
L R' U R2 F' D' F
L R' U R2 F' D2 F
L R' U R2 B D B'
L R' U R2 B D' B'
L R' U R2 B D2 B'
L R' U R2 B' D B
L R' U R2 B' D' B
L R' U R2 B' D2 B
L R' U D R D' R2
L R' U D R' D' R2
L R' U D R2 D' R2
L R' U D' R D R2
L R' U D' R' D R2
L R' U D' R2 D R2
L R' U D2 R D2 R2
L R' U D2 R' D2 R2
L R' U D2 R2 D2 R2
L' R' U B R2 D' B2
R' L' U B R2 D' B2
B L B' L R' U R2
L' R' U B' R2 D' B2
L R' U F' R' F R'
R' L' U B' R2 D' B2
L R' U F' R2 D F
L R' U F' R2 D' F
L R' U F' R2 D2 F
