F L B2 U' B'
F L U' D L2 B
F L U' D B L2
F L D U' L2 B
F L D U' B L2
F2 L F' B2 U' B'
F' L F2 B2 U' B'
F L B2 R U' B'
F L B2 R' U' B'
F L B2 R2 U' B'
F L B2 U' D B'
F L B2 U' D' B'
F L B2 U' D2 B'
F' L B2 F2 U' B'
F L B2 U' B' D
F L B2 U' B' D'
F L B2 U' B' D2
F L B2 D U' B'
F L B2 D' U' B'
F2 L B2 F' U' B'
F L B2 D2 U' B'
U' F L B2 U' B'
U2 F L B2 U' B'
D F L U' L B
U F L B2 U' B'
F D L U' L B
B2 F U2 R' U B'
F B2 U2 R' U B'
F L B2 R2 U' B' D2
F L B2 R2 D U' B'
F L B2 R2 D' U' B'
F L B2 R2 D2 U' B'
F' L B2 D U' R2 B'
F' L B2 D U' B' R2
F L B2 U F U2 B'
F L B2 U F' U2 B'
F L B2 U F2 U2 B'
F L B2 U' R' B' R
F L B2 U' R2 B' R2
F L B2 U' D B' D
F L B2 U' D B' D'
F L B2 U' D B' D2
F L B2 U' D' B' D
F L B2 U' D' B' D'
F L B2 U' D' B' D2
F L B2 U' D2 B' D
F L B2 U' D2 B' D'
F L B2 U' D2 B' D2
F2 L B2 D F' U' B'
F L B2 U' B2 D B
F L B2 U' B2 D' B
F L B2 U' B2 D2 B
F2 L B2 D' F' U' B'
F L B2 D R U' B'
F L B2 D R' U' B'
F L B2 D R2 U' B'
F L B2 D U' B' D
F L B2 D U' B' D'
F L B2 D U' B' D2
F2 L B2 D2 F' U' B'
F L B2 D' R U' B'
F L B2 D' R' U' B'
F L B2 D' R2 U' B'
F L B2 D' U' B' D
F L B2 D' U' B' D'
F L B2 D' U' B' D2
F' L B2 F2 R U' B'
F' L B2 F2 R' U' B'
F' L B2 F2 R2 U' B'
F' L B2 F2 U' D B'
F' L B2 F2 U' D' B'
F' L B2 F2 U' D2 B'
F' L B2 F2 U' B' D
F' L B2 F2 U' B' D'
F' L B2 F2 U' B' D2
F' L B2 F2 D U' B'
F' L B2 F2 D' U' B'
F' L B2 F2 D2 U' B'
F L B2 D2 R U' B'
F2 L B2 F' R U' B'
F L B2 D2 R' U' B'
F2 L B2 F' R' U' B'
F L B2 D2 R2 U' B'
F2 L B2 F' R2 U' B'
F L B2 D2 U' B' D
F L B2 D2 U' B' D'
F L B2 D2 U' B' D2
F2 L B2 F' U' D B'
F2 L B2 F' U' D' B'
F2 L B2 F' U' D2 B'
F2 L B2 F' U' B' D
F2 L B2 F' U' B' D'
F2 L B2 F' U' B' D2
F2 L B2 F' D U' B'
F2 L B2 F' D' U' B'
F2 L B2 F' D2 U' B'
F L' U' D L2 F2 B
F L' U' D L2 B F2
F L' U' D F2 L2 B
F L' U' D F2 B L2
F L' U' D B L2 F2
F L' U' D B F2 L2
F' L' D L2 F2 B R2
F' L' D L2 B R2 F2
F' L' D L2 B F2 R2
F' L' D R2 F2 L2 B'
F' L' D F2 L2 B R2
F' L' D F2 B L2 R2
F' L' D F2 B R2 L2
F' L' D B L2 R2 F2
F' L' D B L2 F2 R2
F L' D U' L2 F2 B
F L' D U' L2 B F2
F' L' D B R2 L2 F2
F' L' D B R2 F2 L2
F L' D U' F2 L2 B
F L' D U' F2 B L2
F L' D U' B L2 F2
F L' D U' B F2 L2
F' L' D B F2 L2 R2
F' L' D B F2 R2 L2
F2 L' F' L2 B2 U' B'
F' L' F2 L2 B2 U' B'
F L' B L2 B U' B'
F L' B2 L2 U F U2
F L' B2 U' D F2 B'
F L' B2 U' D B' F2
F L' B2 U' B' D F2
F L' B2 D U' F2 B'
F L' B2 D U' B' F2
F L2 D L' U' L' B
F L2 D L' U' B L'
B' L2 F B' R' U B'
D2 L2 F2 B' R U B2
F L2 B L' B U' B'
B' L2 B' R' F U B'
D2 L2 B' F2 R U B2
B' L2 B' F R' U B'
L' U D B L2 F2 R
R' U F L R B2 U'
R' U F L B2 R U'
R' U F R L B2 U'
F R L B2 R' U' B
B2 R D' F U' F B'
B2 R D' F U' B' F
B2 R F U' D' F2 B'
B2 R F U' D' B' F2
B2 R F U' B' D' F2
B2 R F U2 R2 U B'
B2 R F D' U' F2 B'
B2 R F D' U' B' F2
L U' D L2 D2 B R'
F R B2 U2 R' U B
L U' D' B D2 L2 R'
L U' D' B D2 R' L2
F R' L B2 R U' B
L' U2 L2 B2 U' B' R'
F R2 L B2 R2 U' B
F R2 L B2 U F' U2
L' D L2 F2 D' B R'
D' R2 F' U' L F2 U'
D' R2 F' U' F2 L U'
L' D U B L2 F2 R
L D U' L2 D2 B R'
F' U L F2 B2 U' B'
F' U L B2 F2 U' B'
F2 U L F' B2 U' B'
F2 U L B2 F' U' B'
L' D F2 L2 D' B R'
L D F' U' L2 B R
L D F' U' B L2 R
L D F' U' B R L2
U' D F L U' L B
U2 D F L U' L B
D U F L U' L B
U D F L U' L B
B U D2 F L' B U'
B U D2 F B L' U'
B U D2 B F L' U'
F2 U F' L B2 U' B'
B U F B U2 R' U
B U F B' L B2 U'
F' U F2 L B2 U' B'
B U B F U2 R' U
B U B' F L B2 U'
F' U' L F2 B2 U' B'
F' U' L B2 F2 U' B'
F2 U' L F' B2 U' B'
F2 U' L B2 F' U' B'
L D' U' B D2 L2 R'
L D' U' B D2 R' L2
F U' L' D L2 F2 B
F U' L' D L2 B F2
F U' L' D F2 L2 B
F U' L' D F2 B L2
F U' L' D B L2 F2
F U' L' D B F2 L2
D U' F L U' L B
F2 U' F' L B2 U' B'
F' U' F2 L B2 U' B'
F' U2 L F2 B2 U' B'
F2 U2 L F' B2 U' B'
F' U2 L B2 F2 U' B'
F2 U2 L B2 F' U' B'
D U2 F L U' L B
L2 D2 F2 B' R U B2
B2 U2 R' U2 F U' B'
L2 D2 B' F2 R U B2
R' F L R B2 U' B'
U' F L U' D L2 B
U' F L U' D B L2
D' F L U R2 F' U2
D' F L U' D2 L2 B
D' F L U' D2 B L2
D' F L U' B D2 L2
U' F L D U' L2 B
U' F L D U' B L2
D' F L D B2 U' B'
D' F L D2 U' L2 B
D' F L D2 U' B L2
U' F L B2 R U' B'
U' F L B2 R' U' B'
U' F L B2 R2 U' B'
U' F L B2 U' D B'
U' F L B2 U' D' B'
U' F L B2 U' D2 B'
U' F L B2 U' B' D
U' F L B2 U' B' D'
U' F L B2 U' B' D2
U' F L B2 D U' B'
U' F L B2 D' U' B'
U' F L B2 D2 U' B'
R' F L B2 R U' B
U2 F L U' D L2 B
U2 F L U' D B L2
U2 F L D U' L2 B
U2 F L D U' B L2
R2 F L D R2 U' L2
D F L U' L D B
D F L U' L D' B
D F L U' L D2 B
D F L U' L B D
D F L U' L B D'
D F L U' L B D2
D F L U' L' B L2
D F L U' L2 B L'
D F L U' D L B
D F L U' D' L B
D F L U' D2 L B
U2 F L B2 R U' B'
U2 F L B2 R' U' B'
U2 F L B2 R2 U' B'
U2 F L B2 U' D B'
U2 F L B2 U' D' B'
U2 F L B2 U' D2 B'
U2 F L B2 U' B' D
U2 F L B2 U' B' D'
U2 F L B2 U' B' D2
D F L D U' L B
U2 F L B2 D U' B'
U2 F L B2 D' U' B'
U2 F L B2 D2 U' B'
D F L D' U' L B
D F L D2 U' L B
U F L U' D L2 B
U F L U' D B L2
R2 F L B2 U F2 U2
R2 F L B2 U' D2 B2
R2 F L B2 D R2 U'
R2 F L B2 D2 U' B2
R F L R' B2 U' B'
U F L D U' L2 B
U F L D U' B L2
U F L B2 R U' B'
U F L B2 R' U' B'
U F L B2 R2 U' B'
U F L B2 U' D B'
U F L B2 U' D' B'
U F L B2 U' D2 B'
U F L B2 U' B' D
U F L B2 U' B' D'
U F L B2 U' B' D2
U F L B2 D U' B'
U F L B2 D' U' B'
U F L B2 D2 U' B'
D2 F L2 B' L' U' B2
R F L B2 R' U' B
R' F R L B2 U' B'
F2 U2 F' L B2 U' B'
F' U2 F2 L B2 U' B'
R F R' L B2 U' B'
F' D L U' L B R2
F2 D L F' U' L B
U' F D L U' L B
D' F D L B2 U' B'
F D L U' L D B
F D L U' L D' B
F D L U' L D2 B
F D L U' L B D
F D L U' L B D'
F D L U' L B D2
F D L U' L' B L2
F D L U' L2 B L'
F D L U' D L B
F D L U' D' L B
F D L U' D2 L B
F D L D U' L B
F D L D' U' L B
F D L D2 U' L B
U2 F D L U' L B
R2 F D L R2 U' L
B' D L2 F B' R' U
B' D L2 B' R' F U
B' D L2 B' F R' U
R2 F D R2 L U' L
U F D L U' L B
D' F D2 L U' L B
D F D' L B2 U' B'
U' F B2 U2 R' U B'
U2 F B2 U2 R' U B'
U' F' L F2 B2 U' B'
U' F' L B2 F2 U' B'
U2 F' L F2 B2 U' B'
U F B2 U2 R' U B'
U2 F' L B2 F2 U' B'
R F B2 U2 R' U B
D F' L F2 U' L B
B2 D F U2 R' U B'
U F' L F2 B2 U' B'
U F' L B2 F2 U' B'
F2 D F' L U' L B
R2 F' U' L F2 B2 U'
R2 F' U' L B2 F2 U'
R2 F' U' F2 L B2 U'
F D' L U R2 F' U2
F D' L U' D2 L2 B
F D' L U' D2 B L2
F D' L U' B D2 L2
F D' L D B2 U' B'
F D' L D2 U' L2 B
F D' L D2 U' B L2
U' F2 L F' B2 U' B'
U' F2 L B2 F' U' B'
U2 F2 L F' B2 U' B'
U2 F2 L B2 F' U' B'
D F2 L F' U' L B
B2 D' F U2 R' U B'
U F2 L F' B2 U' B'
U F2 L B2 F' U' B'
D2 F2 U2 L F' U' B
D2 F2 U2 F' L U' B
F D2 L U' D' L2 B
F D2 L U' D' B L2
F D2 L U' B D' L2
F D2 L U2 F2 U B
F D2 L D' U' L2 B
F D2 L D' U' B L2
F D2 L D2 B2 U' B'
B D2 U F L' B U'
B D2 U F B L' U'
B D2 U B F L' U'
B2 D2 F U2 R' U B'
B D2 F L' B U' B'
F' D2 F2 B2 R' U B'
F' D2 B2 R' F2 U B'
F' D2 B2 F2 R' U B'
B2 F R U' D' F2 B'
B2 F R U' D' B' F2
B2 F R U' B' D' F2
B2 F R U2 R2 U B'
B2 F R D' U' F2 B'
B2 F R D' U' B' F2
L B D' B U' R' B'
B2 F R2 U2 R U B'
B2 F U2 R' U D B'
B2 F U2 R' U D' B'
B2 F U2 R' U D2 B'
B2 F U2 R' U B' D
B2 F U2 R' U B' D'
B2 F U2 R' U B' D2
B2 F U2 R' D U B'
B2 F U2 R' D' U B'
B2 F U2 R' D2 U B'
B2 F U2 D R' U B'
B2 F U2 D' R' U B'
B2 F U2 D2 R' U B'
B2 F D U2 R' U B'
B2 F D' U2 R' U B'
B2 F D2 U2 R' U B'
L B2 L' F L U' B'
F B2 R U' D' F2 B'
F B2 R U' D' B' F2
F B2 R U' B' D' F2
F B2 R U2 R2 U B'
F B2 R D' U' F2 B'
F B2 R D' U' B' F2
L B2 U' D' B R' B2
F B2 R2 U2 R U B'
L B2 U' B2 D' B R'
L B2 D F' U' R B'
L B2 D F' U' B' R
U' B2 F U2 R' U B'
L B2 D' U' B R' B2
F B2 U2 R' U D B'
F B2 U2 R' U D' B'
F B2 U2 R' U D2 B'
F B2 U2 R' U B' D
F B2 U2 R' U B' D'
F B2 U2 R' U B' D2
F B2 U2 R' D U B'
F B2 U2 R' D' U B'
F B2 U2 R' D2 U B'
F B2 U2 D R' U B'
F B2 U2 D' R' U B'
F B2 U2 D2 R' U B'
U2 B2 F U2 R' U B'
L B2 D2 R F' U' B'
L B2 D2 R2 U' B' R'
F B2 D U2 R' U B'
U B2 F U2 R' U B'
F B2 D' U2 R' U B'
R B2 F U2 R' U B
F B2 D2 U2 R' U B'
