D' U R2 F' L' B
D' U R2 F' B L'
D' U R2 B F' L'
U' D' R2 F' B L
U' D' R2 B L F'
U' D' R2 B F' L
D' U' R2 F' B L
D' U' R2 B L F'
D' U' R2 B F' L
U D' R2 F' L' B
U D' R2 F' B L'
U D' R2 B F' L'
B2 U' F' B' R' U2
B2 U' B' F' R' U2
D' R2 F' D B' L B2
U' R2 F' D' B L R2
U' R2 F' D' B R2 L
D' R2 F' B2 D B' L
U R2 F' L' D' B R2
D' R2 F2 D' F L' B
D' R2 F2 D' F B L'
D' R2 F2 D' B F L'
D' R2 F2 B D' F L'
U R2 F' D' L' B R2
U R2 F' D' B L' R2
U R2 F' D' B R2 L'
D' R2 B D' F L' F2
D' R2 B F2 D' F L'
U' R2 B2 U F' B' L
U' R2 B2 U B' L F'
U' R2 B2 U B' F' L
D' R2 B2 D F' B' L
D' R2 B2 D B' L F'
D' R2 B2 D B' F' L
D' R2 B2 F' D B' L
D' U L R2 F' L' B
D' U L R2 F' B L'
D' U L R2 B F' L'
D' U L' R2 F' L' B
D' U L' R2 F' B L'
D' U L' R2 B F' L'
D' U L2 R2 F' L' B
D' U L2 R2 F' B L'
D' U L2 R2 B F' L'
U' D L2 F' B U2 L
U' D L2 B F' U2 L
D U L2 F' B U2 L'
R2 D F' B' L B2 R'
D U L2 B F' U2 L'
U D L2 F' B U2 L'
U D L2 B F' U2 L'
D' U R2 L F' L' B
D' U R2 L F' B L'
D' U R2 L B F' L'
D' U R2 L' F' L' B
D' U R2 L' F' B L'
D' U R2 L' B F' L'
D' U R2 L2 F' L' B
D' U R2 L2 F' B L'
D' U R2 L2 B F' L'
D' U R2 D F' L' B
D' U R2 D F' B L'
D' U R2 D B F' L'
D' U R2 D' F' L' B
D' U R2 D' F' B L'
D' U R2 D' B F' L'
D' U R2 D2 F' L' B
D' U R2 D2 F' B L'
D' U R2 D2 B F' L'
D' U R2 F' L B L2
D' U R2 F' L' D B
D' U R2 F' L' D' B
D' U R2 F' L' D2 B
D' U R2 F' L' B D
D' U R2 F' L' B D'
D' U R2 F' L' B D2
D' U R2 F' D L' B
D' U R2 F' D B L'
D' U R2 F' D' L' B
D' U R2 F' D' B L'
D' U R2 F' D2 L' B
D' U R2 F' D2 B L'
D' U R2 F' B L' D
D' U R2 F' B L' D'
D' U R2 F' B L' D2
D' U R2 F' B D L'
D' U R2 F' B D' L'
D' U R2 F' B D2 L'
D' U R2 F' B' L' B2
D' U R2 B L F' L'
D' U R2 B L' F' L'
D' U R2 B L2 F' L'
D' U R2 B D F' L'
D' U R2 B D' F' L'
D' U R2 B D2 F' L'
D' U R2 B F' L' D
D' U R2 B F' L' D'
D' U R2 B F' L' D2
D' U R2 B F' D L'
D' U R2 B F' D' L'
D' U R2 B F' D2 L'
D' U R2 B' F' L' B2
R2 D B' L F' B2 R'
R2 D B' L B2 F' R'
R2 D B' F' L B2 R'
U' D F' L2 B U2 L
D' U F' U2 L' R2 F'
D' U F' U2 R2 L' F'
D' U F' B U2 L' R2
D' U F' B U2 R2 L'
U' D F' B L2 U2 L'
D U F' B L2 U2 L
U D F' B L2 U2 L
D' U B U2 R2 B L
U' D B F' L2 U2 L'
D' U B F' U2 L' R2
D' U B F' U2 R2 L'
D U B L2 F' U2 L'
U D B L2 F' U2 L'
D U B F' L2 U2 L
B2 U F2 L2 F B' L'
B2 U F2 L2 B' F L'
U D B F' L2 U2 L
D' U' L R2 F' B L
D' U' L R2 B L F'
D' U' L R2 B F' L
U' D' L R2 F' B L
U' D' L R2 B L F'
U' D' L R2 B F' L
U' D' L' R2 F' B L
D' U' L' R2 F' B L
U' D' L' R2 B L F'
D' U' L' R2 B L F'
U' D' L' R2 B F' L
D' U' L' R2 B F' L
L' D' U R2 F' L' B
L' D' U R2 F' B L'
L' D' U R2 B F' L'
U D' L R2 F' L' B
U D' L R2 F' B L'
U D' L R2 B F' L'
L2 D' U R2 F' L' B
L2 D' U R2 F' B L'
L2 D' U R2 B F' L'
D' U' L2 R2 F' B L
U' D' L2 R2 F' B L
D' U' L2 R2 B L F'
U' D' L2 R2 B L F'
D' U' L2 R2 B F' L
U' D' L2 R2 B F' L
L' D' U' R2 F' B L
L' D' U' R2 B L F'
L' D' U' R2 B F' L
U D' L' R2 F' L' B
U D' L' R2 F' B L'
U D' L' R2 B F' L'
L2 D' U' R2 F' B L
L2 D' U' R2 B L F'
L2 D' U' R2 B F' L
L D' U R2 F' L' B
L D' U R2 F' B L'
L D' U R2 B F' L'
U D' L2 R2 F' L' B
U D' L2 R2 F' B L'
U D' L2 R2 B F' L'
L D' U' R2 F' B L
L D' U' R2 B L F'
L D' U' R2 B F' L
D U' L2 F' B U2 L
D U' L2 B F' U2 L
R2 D' F L' F2 B R2
R2 D' F L' B R2 F2
R2 D' F L' B F2 R2
U' D' R2 L F' B L
D' U' R2 L F' B L
U' D' R2 L B L F'
D' U' R2 L B L F'
U' D' R2 L B F' L
D' U' R2 L B F' L
D' U' R2 L' F' B L
U' D' R2 L' F' B L
D' U' R2 L' B L F'
U' D' R2 L' B L F'
U' D' R2 L' B F' L
D' U' R2 L' B F' L
U' D' R2 L2 F' B L
D' U' R2 L2 F' B L
U' D' R2 L2 B L F'
D' U' R2 L2 B L F'
U' D' R2 L2 B F' L
D' U' R2 L2 B F' L
R2 D' F B L' R2 F2
R2 D' F B L' F2 R2
R2 D' F B R2 L' F2
U' D' R2 D F' B L
D' U' R2 D F' B L
U' D' R2 D B L F'
D' U' R2 D B L F'
U' D' R2 D B F' L
D' U' R2 D B F' L
U' D' R2 D' F' B L
D' U' R2 D' F' B L
U' D' R2 D' B L F'
D' U' R2 D' B L F'
D' U' R2 D' B F' L
U' D' R2 D' B F' L
U' D' R2 D2 F' B L
D' U' R2 D2 F' B L
U' D' R2 D2 B L F'
D' U' R2 D2 B L F'
U' D' R2 D2 B F' L
D' U' R2 D2 B F' L
D' U' R2 F B L F2
U' D' R2 F B L F2
D' U' R2 F' L B L
U' D' R2 F' L B L
D' U' R2 F' L' B L
U' D' R2 F' L' B L
D' U' R2 F' L2 B L
U' D' R2 F' L2 B L
U' D' R2 F' D B L
D' U' R2 F' D B L
D' U' R2 F' D' B L
U' D' R2 F' D' B L
D' U' R2 F' D2 B L
U' D' R2 F' D2 B L
D' U' R2 F' B L D
D' U' R2 F' B L D'
D' U' R2 F' B L D2
U' D' R2 F' B L D
U' D' R2 F' B L D'
U' D' R2 F' B L D2
D' U' R2 F' B D L
D' U' R2 F' B D' L
U' D' R2 F' B D L
U' D' R2 F' B D' L
D' U' R2 F' B D2 L
U' D' R2 F' B D2 L
D' U' R2 B L D F'
D' U' R2 B L D' F'
D' U' R2 B L D2 F'
D' U' R2 B L F' D
D' U' R2 B L F' D'
D' U' R2 B L F' D2
U' D' R2 B L D F'
U' D' R2 B L D' F'
U' D' R2 B L D2 F'
U' D' R2 B L F' D
U' D' R2 B L F' D'
U' D' R2 B L F' D2
D' U' R2 B L' F' L2
U' D' R2 B L' F' L2
U' D' R2 B D L F'
D' U' R2 B D L F'
U' D' R2 B D F' L
D' U' R2 B D F' L
U' D' R2 B D' L F'
D' U' R2 B D' L F'
U' D' R2 B D' F' L
U' D' R2 B D2 L F'
D' U' R2 B D' F' L
D' U' R2 B D2 L F'
U' D' R2 B D2 F' L
U' D' R2 B F L F2
D' U' R2 B D2 F' L
D' U' R2 B F L F2
U' D' R2 B F' L D
U' D' R2 B F' L D'
U' D' R2 B F' L D2
U' D' R2 B F' D L
U' D' R2 B F' D' L
D' U' R2 B F' L D
U' D' R2 B F' D2 L
D' U' R2 B F' L D'
D' U' R2 B F' L D2
D' U' R2 B F' D L
D' U' R2 B F' D' L
D' U' R2 B F' D2 L
R2 D' F' B' R2 B2 L
U D' R2 L F' L' B
U D' R2 L F' B L'
U D' R2 L B F' L'
U D' R2 L' F' L' B
U D' R2 L' F' B L'
U D' R2 L' B F' L'
U D' R2 L2 F' L' B
U D' R2 L2 F' B L'
U D' R2 L2 B F' L'
B2 U' R B' R' F' U2
U D' R2 D F' L' B
U D' R2 D F' B L'
U D' R2 D B F' L'
U D' R2 D' F' L' B
U D' R2 D' F' B L'
U D' R2 D' B F' L'
U D' R2 D2 F' L' B
U D' R2 D2 F' B L'
U D' R2 D2 B F' L'
U D' R2 F' L B L2
U D' R2 F' L' D B
U D' R2 F' L' D' B
U D' R2 F' L' D2 B
U D' R2 F' L' B D
U D' R2 F' L' B D'
U D' R2 F' L' B D2
U D' R2 F' D L' B
U D' R2 F' D B L'
U D' R2 F' D' L' B
U D' R2 F' D' B L'
U D' R2 F' D2 L' B
U D' R2 F' D2 B L'
U D' R2 F' B L' D
U D' R2 F' B L' D'
U D' R2 F' B L' D2
U D' R2 F' B D L'
U D' R2 F' B D' L'
U D' R2 F' B D2 L'
U D' R2 F' B' L' B2
U D' R2 B L F' L'
U D' R2 B L' F' L'
U D' R2 B L2 F' L'
U D' R2 B D F' L'
U D' R2 B D' F' L'
U D' R2 B D2 F' L'
U D' R2 B F' L' D
U D' R2 B F' L' D'
U D' R2 B F' L' D2
U D' R2 B F' D L'
U D' R2 B F' D' L'
U D' R2 B F' D2 L'
U D' R2 B' F' L' B2
D' U' F' U2 R2 F' L'
U' D' F' U2 R2 F' L'
U' D' F' B U2 L R2
U' D' F' B U2 R2 L
D' U' F' B U2 L R2
D' U' F' B U2 R2 L
B2 U' R' B' R' U2 B
R2 D' B F L' R2 F2
R2 D' B F L' F2 R2
R2 D' B F R2 L' F2
D U' F' L2 B U2 L
B2 U' R2 B' R' U2 B2
B2 U' R2 B' U2 B2 L
D U' F' B L2 U2 L'
U D' F' U2 L' R2 F'
U D' F' U2 R2 L' F'
R2 D' B' F' R2 B2 L
U D' F' B U2 L' R2
U D' F' B U2 R2 L'
U' D' B U2 L R2 B
D' U' B U2 L R2 B
B2 U' D F' B' R' U2
D' U' B U2 R2 L B
U' D' B U2 R2 L B
B2 U' D B' F' R' U2
U' D' B F' U2 L R2
U' D' B F' U2 R2 L
D' U' B F' U2 L R2
D' U' B F' U2 R2 L
B2 U' D' F' B' R' U2
B2 U' D' B' F' R' U2
B2 U' D2 F' B' R' U2
D U' B F' L2 U2 L'
U D' B U2 R2 B L
B2 U' D2 B' F' R' U2
U D' B F' U2 L' R2
U D' B F' U2 R2 L'
B2 U' F B' R' F2 U2
B2 U' F' R B' R' U2
B2 U' F' R' B' R' U2
B2 U' F' R2 B' R' U2
B2 U' F' D B' R' U2
B2 U' F' D' B' R' U2
B2 U' F' D2 B' R' U2
B2 U' F' B' R' U2 D
B2 U' F' B' R' U2 D'
B2 U' F' B' R' U2 D2
B2 U' F' B' R' D U2
B2 U' F' B' R' D' U2
B2 U' F' B' R' D2 U2
B2 U' F' B' D R' U2
B2 U' F' B' D' R' U2
B2 U' F' B' D2 R' U2
B2 U' F2 B' R' F U2
B2 U' B' D F' R' U2
B2 U' B' D' F' R' U2
B2 U' B' D2 F' R' U2
B2 U' B' F R' F2 U2
B2 U' B' F' R' U2 D
B2 U' B' F' R' U2 D'
B2 U' B' F' R' U2 D2
B2 U' B' F' R' D U2
B2 U' B' F' R' D' U2
B2 U' B' F' R' D2 U2
B2 U' B' F' D R' U2
B2 U' B' F' D' R' U2
B2 U' B' F' D2 R' U2
B2 U' B' F2 R' F U2
B2 D U' F' B' R' U2
B2 D U' B' F' R' U2
R' F' R' B2 U F' B'
R' F' R' B2 U B' F'
U' F' U2 D' R2 F' L'
U' F' D L2 B U2 L
U' F' D B L2 U2 L'
U F' U2 L' D' R2 F'
U' F' D' U2 R2 F' L'
U F' U2 D' L' R2 F'
U F' U2 D' R2 L' F'
U' F' D' B U2 L R2
U' F' D' B U2 R2 L
R2 F' D B' L B2 R'
F D' L2 U R2 F' L'
U F' D B L2 U2 L
U F' D' U2 L' R2 F'
U F' D' U2 R2 L' F'
U F' D' B U2 L' R2
U F' D' B U2 R2 L'
U2 F' B U B U L
R' F' B2 R' U F' B
R' F' B2 R' U B F'
U F' B U B U L'
B2 D' U' F' B' R' U2
B2 D' U' B' F' R' U2
D2 F2 U F B R U2
D2 F2 U B F R U2
R2 F2 D' F L' B R2
R2 F2 D' F B L' R2
R2 F2 D' F B R2 L'
R2 F2 D' B R2 F L'
R2 F2 D' B F L' R2
R2 F2 D' B F R2 L'
B2 D2 U' F' B' R' U2
B2 D2 U' B' F' R' U2
U2 B F' U B U L
F' B U F' B U L'
F' B U B F' U L'
U B F' U B U L'
B2 F U' F2 B' R' U2
B2 F U' B' R' F2 U2
B2 F U' B' F2 R' U2
B F' U F' B U L'
B F' U B F' U L'
U' B2 U' F' B' U2 L
U' B2 U' B' F' U2 L
R2 B2 U D F' B' L
L' B2 U' F' B' R' U2
R2 B2 U D B' L F'
R2 B2 U D B' F' L
L' B2 U' B' F' R' U2
R2 B2 U F' D B' L
L2 B2 U' F' B' R' U2
U2 B2 U' F' B' U2 L'
L2 B2 U' B' F' R' U2
U2 B2 U' B' F' U2 L'
L B2 U' F' B' R' U2
L B2 U' B' F' R' U2
B2 F2 U' F B' R' U2
F2 B2 U' F B' R' U2
B2 F2 U' B' R' F U2
R2 B2 D U F' B' L
B2 F2 U' B' F R' U2
R2 B2 D U B' L F'
R2 B2 D U B' F' L
F2 B2 U' B' R' F U2
F2 B2 U' B' F R' U2
F B2 U' F2 B' R' U2
F B2 U' B' R' F2 U2
F B2 U' B' F2 R' U2
R' B2 F' R' U F' B
R' B2 F' R' U B F'
