D' L F L' R B
D' L F R L' B
D' L F R B L'
L D' F L' R B
L D' F R L' B
L D' F R B L'
D B' L F R B
U2 D L' B' R' L F'
U2 D L' B' R' F' L
L D F R B' L B2
L D F B' L R B
L D F B' R L B
L D F B2 R B L
L D B' F L R B
L D B' F R L B
L D B2 F R B L
L' D' L2 F L' R B
L' D' L2 F R L' B
L' D' L2 F R B L'
L D' R F L' B R
L D' R F B L' R
L D' R F B R L'
L D' R B F L' R
L D' R B F R L'
L D' U2 F L' B' R'
L D' F L R B L2
L D' F L' R D B
L D' F L' R D' B
L D' F L' R D2 B
L D' F L' R B D
L D' F L' R B D'
L D' F L' R B D2
L D' F L' D R B
L D' F L' D' R B
L D' F L' D2 R B
L D' F L' B R B
L D' F L' B' R B
L D' F L' B2 R B
L D' F R L B L2
L D' F R L' D B
L D' F R L' D' B
L D' F R L' D2 B
L D' F R L' B D
L D' F R L' B D'
L D' F R L' B D2
L D' F R D L' B
L D' F R D B L'
L D' F R D' L' B
L D' F R D' B L'
L D' F R D2 L' B
L D' F R D2 B L'
L D' F R B L' D
L D' F R B L' D'
L D' F R B L' D2
L D' F R B D L'
L D' F R B D' L'
L D' F R B D2 L'
L D' F R B' L' B2
L D' F D L' R B
L D' F D R L' B
L D' F D R B L'
L D' F D' L' R B
L D' F D' R L' B
L D' F D' R B L'
L D' F D2 L' R B
L D' F D2 R L' B
L D' F D2 R B L'
L D' F B L' R B
L D' F B R L' B
L D' F B R B L'
L D' F B' L' R B
L D' F B' R L' B
L D' F B' R B L'
L D' F B2 L' R B
L D' F B2 R L' B
L D' F B2 R B L'
U2 D' F L' B' R' F'
L D' B F L' R B
L D' B F R L' B
L D' B F R B L'
L D' B' F L' R B
L D' B' F R L' B
L D' B' F R B L'
L D' B2 F L' R B
L D' B2 F R L' B
L D' B2 F R B L'
D U2 L' B' L R' F'
D U2 L' B' R' L F'
D U2 L' B' R' F' L
D' U2 F L' B' R' F'
D' F L R F L2 B
D' F L R F B L2
D' F L R B F L2
D' F L' R B D2 F2
D' F R L F L2 B
D' F R L F B L2
D' F R L B F L2
D' F R L' B D2 F2
U' F R F' B L U
U' F R B L F' U
U' F R B F' L U
D' F R B L F L2
L F R U' F' U B
D F R B' L F B2
D F R B' L B2 F
L F R B U' F' U
L F D R B' L B2
L F D B' L R B
L F D B' R L B
L F D B2 R B L
F D R B' L F B2
F D R B' L B2 F
D F B' L R F B
D F B' L R B F
D F B' R L F B
D F B' R L B F
D F B2 R B L F
D' F' L' R B' U2 B2
R' F' L' B' U' B2 U'
R' F' L' B' U2 D L2
R' F' L' B' D U2 L2
R' F' L' B' D' R2 U2
D' F' L' B' R U2 B
D' F' R L' B' U2 B2
B' D B' L F R B
B2 D B' L F R B
B D B' L F R B
F D B' L R F B
F D B' L R B F
F D B' R L F B
F D B' R L B F
B' D' L F L' R B
B' D' L F R L' B
B' D' L F R B L'
B2 D' L F L' R B
B2 D' L F R L' B
B2 D' L F R B L'
F D B2 R B L F
F D' L R F L' B
F D' L R F B L'
F D' L R B F L'
B D' L F L' R B
B D' L F R L' B
B D' L F R B L'
F D' R L F L' B
F D' R L F B L'
F D' R L B F L'
F D' R B L F L'
D' B L F L' R B
D' B L F R L' B
D' B L F R B L'
R B L F R D' L2
R B L F D' L2 R
R B L F D' R L2
D B R' F' L' B' U2
L B D' F L' R B
L B D' F R L' B
L B D' F R B L'
D' B' L F L' R B
D' B' L F R L' B
D' B' L F R B L'
D B' L R F B R
D B' L R B F R
D B' L D F R B
D B' L D' F R B
D B' L D2 F R B
D B' L F R D B
D B' L F R D' B
D B' L F R D2 B
D B' L F R B D
D B' L F R B D'
D B' L F R B D2
D B' L F D R B
D B' L F D' R B
D B' L F D2 R B
D B' L F B R B
D B' L F B' R B
D B' L F B2 R B
D B' L B F R B
D B' L B' F R B
D B' L B2 F R B
U' B' R' F' L' B U'
U' B' R' F' B L' U'
U' B' R' B F' L' U'
D B' R L F B R
D B' R L B F R
D B' D L F R B
D B' D' L F R B
D B' D2 L F R B
L B' D' F L' R B
L B' D' F R L' B
L B' D' F R B L'
D B' F L R F B
D B' F L R B F
D B' F R L F B
D B' F R L B F
D' B2 L F L' R B
D' B2 L F R L' B
D' B2 L F R B L'
D B2 L F R B L
D B2 R B L F R
L B2 D' F L' R B
L B2 D' F R L' B
L B2 D' F R B L'
D B2 F R B L F
