B2 R U L2 F' U2
B2 R U F' L2 U2
B2 R U' D2 R2 B
B2 R D2 U' R2 B
B2 R' U L2 U2 B
B2 R' U' D2 B R2
B2 R' U' B D2 R2
B2 R' D F2 U' B
B2 R' D2 U' B R2
R' D F2 U' L2 B
R' D F2 U' B L2
R D F2 U' L2 B'
B2 U' R D2 R2 B
B2 U' R' D2 B R2
B2 U' R' B D2 R2
B D F2 B R' U'
B D B R' F2 U'
B D B F2 R' U'
D F2 B R' U' L2
D B R' F2 U' L2
D B F2 R' U' L2
L B2 L' U' R' B
R' B2 U L2 F U2
R' B2 U' D2 R2 B'
R' B2 U' D2 B' R2
R' B2 U' B' D2 R2
R' B2 D F2 U' B'
R B2 U L2 F' U2
R' B2 D2 U' R2 B'
R' B2 D2 U' B' R2
R B2 U F' L2 U2
R B2 U' D2 R2 B
R B2 D2 U' R2 B
B2 F U' R' B D2 R2
D B F2 R' U' L2 D
D B F2 R' U' L2 D'
D B F2 R' U' L2 D2
D B F2 R' D' B2 U'
D B F2 R' B U' L2
D B F2 R' B' U' L2
D B F2 R' B2 U' L2
D B F2 D' R' B2 U'
F' B D F2 B R' U'
F' B D B R' F2 U'
F' B D B F2 R' U'
F2 B D F2 B R' U'
F2 B D B R' F2 U'
F2 B D B F2 R' U'
B F D F2 B R' U'
B F D B R' F2 U'
B F D B F2 R' U'
F B D F2 B R' U'
F B D B R' F2 U'
F B D B F2 R' U'
B2 F' R U L2 F' U2
B2 F' R U F' L2 U2
B2 F' R U' D2 R2 B
B2 F' R D2 U' R2 B
B2 F' R' U L2 U2 B
B2 F' R' U' D2 B R2
B2 F' R' U' B D2 R2
B2 F' R' D F2 U' B
B2 F' R' D2 U' B R2
B2 F' U' R D2 R2 B
B2 F' U' R' D2 B R2
B2 F' U' R' B D2 R2
R B' D2 B' U' R2 B
D B' F2 U2 L U L
D B' F2 D' B2 R' U'
B F' D F2 B R' U'
B F' D B R' F2 U'
B F' D B F2 R' U'
R' B2 R U L2 F U2
R' B2 R U' D2 R2 B'
R' B2 R U' D2 B' R2
R' B2 R U' B' D2 R2
L B2 L' R U' R2 B
R' B2 R D F2 U' B'
R' B2 R D2 U' R2 B'
R' B2 R D2 U' B' R2
L B2 L' U' R' D B
L B2 L' U' R' D' B
L B2 L' U' R' D2 B
L B2 L' U' R' B D
L B2 L' U' R' B D'
L B2 L' U' R' B D2
L B2 L' F U' R' B
L B2 L' F' U' R' B
L B2 L' F2 U' R' B
R' B2 R' U L2 F U2
R' B2 R' U' D2 R2 B'
R' B2 R' U' D2 B' R2
R' B2 R' U' B' D2 R2
R' B2 R' D F2 U' B'
R' B2 R' D2 U' R2 B'
R' B2 R' D2 U' B' R2
R2 B2 R U L2 U2 B
R2 B2 R U' D2 B R2
R2 B2 R U' B D2 R2
R2 B2 R D F2 U' B
R2 B2 R D2 U' B R2
R' B2 R2 U L2 F U2
R' B2 R2 U' D2 R2 B'
R' B2 R2 U' D2 B' R2
R' B2 R2 U' B' D2 R2
R' B2 R2 D F2 U' B'
L B2 R L' U' R2 B
R' B2 R2 D2 U' R2 B'
R' B2 R2 D2 U' B' R2
R2 B2 R' U L2 F' U2
R2 B2 R' U F' L2 U2
R2 B2 R' U' D2 R2 B
F' B2 R U L2 F' U2
R2 B2 R' D2 U' R2 B
F' B2 R U F' L2 U2
R' B2 U L2 D F U2
R' B2 U L2 D' F U2
F' B2 R U' D2 R2 B
R' B2 U L2 D2 F U2
R' B2 U L2 F U2 D
R' B2 U L2 F U2 D'
R' B2 U L2 F U2 D2
R' B2 U L2 F D U2
R' B2 U L2 F D' U2
R' B2 U L2 F D2 U2
B2 F2 R U L2 F' U2
B2 F2 R U F' L2 U2
B2 F2 R U' D2 R2 B
F2 B2 R U L2 F' U2
F' B2 R D2 U' R2 B
F2 B2 R U F' L2 U2
F2 B2 R U' D2 R2 B
R' B2 U F L2 F U2
B2 F2 R D2 U' R2 B
R' B2 U F' L2 F U2
R' B2 U F2 L2 F U2
F2 B2 R D2 U' R2 B
F' B2 R' U L2 U2 B
F' B2 R' U' D2 B R2
F' B2 R' U' B D2 R2
R' B2 U' R D2 R2 B'
R' B2 U' R D2 B' R2
R' B2 U' R B' D2 R2
B2 F2 R' U L2 U2 B
R' B2 U' R' D2 R2 B'
R' B2 U' R' D2 B' R2
F' B2 R' D F2 U' B
R' B2 U' R' B' D2 R2
R' B2 U' R2 D2 R2 B'
R' B2 U' R2 D2 B' R2
B2 F2 R' U' D2 B R2
R' B2 U' R2 B' D2 R2
B2 F2 R' U' B D2 R2
F2 B2 R' U L2 U2 B
F' B2 R' D2 U' B R2
R' B2 U' D B' D R2
F2 B2 R' U' D2 B R2
B2 F2 R' D F2 U' B
R' B2 U' D2 R B' R
R' B2 U' D2 R2 D B'
R' B2 U' D2 R2 D' B'
R' B2 U' D2 R2 D2 B'
R' B2 U' D2 R2 B' D
R' B2 U' D2 R2 B' D'
R' B2 U' D2 R2 B' D2
F2 B2 R' U' B D2 R2
R' B2 U' D2 B R2 B2
R' B2 U' D2 B' R2 D
R' B2 U' D2 B' R2 D'
R' B2 U' D2 B' R2 D2
B2 F2 R' D2 U' B R2
F2 B2 R' D F2 U' B
F2 B2 R' D2 U' B R2
R' B2 U' B' R D2 R2
R' B2 U' B' R' D2 R2
R' B2 U' B' R2 D2 R2
R' B2 U' B' U2 L2 U2
R' B2 U' B' D2 R2 D
R' B2 U' B' D2 R2 D'
R' B2 U' B' D2 R2 D2
F B2 R U L2 F' U2
F B2 R U F' L2 U2
R' B2 U' B2 D2 B R2
F B2 R U' D2 R2 B
R B2 R2 U L2 U2 B
R B2 R2 U' D2 B R2
R B2 R2 U' B D2 R2
F B2 R D2 U' R2 B
R B2 R2 D F2 U' B
R B2 R2 D2 U' B R2
R' B2 U2 D' B2 U B
F B2 R' U L2 U2 B
R B2 U L F' L U2
F B2 R' U' D2 B R2
F B2 R' U' B D2 R2
R B2 U L2 D F' U2
R B2 U L2 D' F' U2
R B2 U L2 D2 F' U2
R B2 U L2 F' U2 D
R B2 U L2 F' U2 D'
R B2 U L2 F' U2 D2
R B2 U L2 F' D U2
R B2 U L2 F' D' U2
R B2 U L2 F' D2 U2
F B2 R' D F2 U' B
R' B2 D R F2 U' B'
F B2 R' D2 U' B R2
R' B2 D R' F2 U' B'
