R' L B D R2 F'
D2 L F2 D' R2 B'
D2 L F2 D' B' R2
L R' B D R2 F'
B2 R' U' F2 U' B
B2 R' U2 D B R2
B2 R' U2 B D R2
B2 R' D U2 B R2
B2 R' D' L2 U2 B
D R2 D L F2 B'
D R2 D L B' F2
D R2 D F2 L B'
F2 U B2 R' U2 B
F2 U' D2 L F2 B'
F2 U' D2 L B' F2
F2 U' D2 F2 L B'
D2 F2 L D' R2 B'
D2 F2 L D' B' R2
F2 D2 U' L F2 B'
F2 D2 U' L B' F2
F2 D2 U' F2 L B'
D U' R2 D L B' F2
D U' R2 D F2 L B'
D2 U' F2 L D' R2 B'
D2 U' F2 L D' B' R2
R' D2 L F2 D' B R2
F2 U' D2 L F2 D B'
F2 U' D2 L F2 D' B'
F2 U' D2 L F2 D2 B'
F2 U' D2 L F2 B' D
F2 U' D2 L F2 B' D'
F2 U' D2 L F2 B' D2
F2 U' D2 L B' F2 D
F2 U' D2 L B' F2 D'
F2 U' D2 L B' F2 D2
F2 U' D2 F' L F' B'
F2 U' D2 F' L B' F'
F2 U' D2 F2 L D B'
F2 U' D2 F2 L D' B'
F2 U' D2 F2 L D2 B'
F2 U' D2 F2 L B' D
F2 U' D2 F2 L B' D'
F2 U' D2 F2 L B' D2
L2 D2 L' F2 D' R2 B
F2 U' F D2 L F2 B'
F2 U' F D2 L B' F2
F2 U' F D2 F2 L B'
U' D2 L F2 D' R2 B'
U' D2 L F2 D' B' R2
D2 U2 L F2 D' R2 B'
D2 U2 L F2 D' B' R2
F2 U' F' D2 L F2 B'
F2 U' F' D2 L B' F2
F2 U' F' D2 F2 L B'
U2 D2 L F2 D' R2 B'
U2 D2 L F2 D' B' R2
B2 U' F2 U R' U2 B
F2 U' F2 D2 L F2 B'
F2 U' F2 D2 L B' F2
F2 U' F2 D2 F2 L B'
U D2 L F2 D' R2 B'
U D2 L F2 D' B' R2
F2 U' B2 R' U2 B R
D U2 R2 D L F2 B'
D U2 R2 D L B' F2
D U2 R2 D F2 L B'
U' D2 F2 L D' R2 B'
U' D2 F2 L D' B' R2
R' D2 F2 L D' B R2
D2 U2 F2 L D' R2 B'
D2 U2 F2 L D' B' R2
R' D2 F2 D' L B R2
U2 D2 F2 L D' R2 B'
U2 D2 F2 L D' B' R2
U D2 F2 L D' R2 B'
U D2 F2 L D' B' R2
D' F L D' F2 B2 R'
D' F L D' B2 R' F2
D' F L D' B2 F2 R'
D F R2 D L F2 B'
D F R2 D L B' F2
D F R2 D F2 L B'
F2 D L2 B R' U' L'
F2 D L2 B2 U' L' B'
B2 D R' U2 D' R' B
B2 D R' D' U2 R' B
D2 F' L D' F' R2 B'
D2 F' L D' F' B' R2
D2 F' L D' B' F' R2
D2 F' L F' D' R2 B'
D2 F' L F' D' B' R2
D F' R2 D L F2 B'
D F' R2 D L B' F2
D F' R2 D F2 L B'
B2 D' L2 D R' U2 B
D2 F2 L R D' R2 B'
D2 F2 L R D' B' R2
D2 F2 L R' D' R2 B'
D2 F2 L R' D' B' R2
D2 F2 L R2 D' R2 B'
D2 F2 L R2 D' B' R2
D2 F2 L U' B2 U B
D2 F2 L D B' D2 R2
D2 F2 L D' R B' R
D2 F2 L D' R2 D B'
D2 F2 L D' R2 D' B'
D2 F2 L D' R2 D2 B'
D2 F2 L D' R2 B' D
D2 F2 L D' R2 B' D'
D2 F2 L D' R2 B' D2
D2 F2 L D' B R2 B2
D2 F2 L D' B' R2 D
D2 F2 L D' B' R2 D'
D2 F2 L D' B' R2 D2
D2 F2 L D2 B' D R2
D2 F2 L B' U' B' U
D2 F2 L2 D' L' R2 B'
D2 F2 L2 D' L' B' R2
D2 F2 L2 D' R2 L' B'
D2 F2 R L D' R2 B'
D2 F2 R L D' B' R2
D2 F2 R' L D' R2 B'
D2 F2 R' L D' B' R2
D2 F2 R2 L D' R2 B'
D2 F2 R2 L D' B' R2
U' F2 U B2 R' U2 B
D F2 R2 D L F2 B'
D F2 R2 D L B' F2
R' F2 U B2 R' U2 B'
D F2 R2 D F2 L B'
R' F2 U' L D2 F2 B
R' F2 U' L D2 B F2
L2 F2 U R F' B2 U2
L2 F2 U R B2 F' U2
U' F2 U' D2 L F2 B'
U' F2 U' D2 L B' F2
U' F2 U' D2 F2 L B'
R' F2 U' D2 L F2 B
R' F2 U' D2 L B F2
R' F2 U' D2 F2 L B
U2 F2 U B2 R' U2 B
L2 F2 U B2 R F' U2
U2 F2 U' D2 L F2 B'
U2 F2 U' D2 L B' F2
U2 F2 U' D2 F2 L B'
F2 D2 L F2 D R2 B'
F2 D2 L F2 D B' R2
F2 D2 L F2 B' D R2
U F2 U B2 R' U2 B
F2 D2 L B' F2 D R2
R F2 U F B2 R' U2
R' F2 D L2 U' L' B
R' F2 D L2 U' B L'
F2 D2 L' U' L2 F2 B'
F2 D2 L' U' L2 B' F2
R F2 U B2 R' F U2
R F2 U B2 F R' U2
U F2 U' D2 L F2 B'
U F2 U' D2 L B' F2
U F2 U' D2 F2 L B'
D2 F2 D' R2 D L B'
U' F2 D2 U' L F2 B'
U' F2 D2 U' L B' F2
U' F2 D2 U' F2 L B'
F2 D2 R U' L F2 B'
F2 D2 R U' L B' F2
F2 D2 R U' F2 L B'
R' F2 D2 U' L F2 B
R' F2 D2 U' L B F2
R' F2 D2 U' F2 L B
R F2 D L2 U' B' L'
U2 F2 D2 U' L F2 B'
U2 F2 D2 U' L B' F2
U2 F2 D2 U' F2 L B'
F2 D2 R' U' L F2 B'
F2 D2 R' U' L B' F2
F2 D2 R' U' F2 L B'
F2 D2 R2 U' L F2 B'
F2 D2 R2 U' L B' F2
F2 D2 R2 U' F2 L B'
U F2 D2 U' L F2 B'
U F2 D2 U' L B' F2
U F2 D2 U' F2 L B'
F2 D2 U L F2 R B'
F2 D2 U L F2 B' R
F2 D2 U L B' F2 R
B2 D2 U B2 U L B'
F2 D2 U' L F2 D B'
F2 D2 U' L F2 D' B'
F2 D2 U' L F2 D2 B'
F2 D2 U' L F2 B' D
F2 D2 U' L F2 B' D'
F2 D2 U' L F2 B' D2
F2 D2 U' L B' F2 D
F2 D2 U' L B' F2 D'
F2 D2 U' L B' F2 D2
F2 D2 U' F' L F' B'
F2 D2 U' F' L B' F'
F2 D2 U' F2 L D B'
F2 D2 U' F2 L D' B'
F2 D2 U' F2 L D2 B'
F2 D2 U' F2 L B' D
F2 D2 U' F2 L B' D'
F2 D2 U' F2 L B' D2
F' D2 F' U' L F' B'
F' D2 F' U' L B' F'
F' D2 F' U' F' L B'
F D2 F U' F L B'
F2 D2 F2 L D R2 B'
F2 D2 F2 L D B' R2
F2 D2 F2 L B' D R2
B2 F R' U' F U' B
F2 B U B R' U2 B
B2 F' R' U2 D B R'
B2 F' R' D U2 B R'
U' B2 R' U' F2 U' B
U' B2 R' U2 D B R2
U' B2 R' U2 B D R2
U' B2 R' D U2 B R2
U' B2 R' D' L2 U2 B
R' B2 R' U' F2 U' B'
R' B2 R' U2 D R2 B'
R' B2 R' U2 D B' R2
R' B2 R' U2 B' D R2
R' B2 R' D U2 R2 B'
R' B2 R' D U2 B' R2
R' B2 R' D' L2 F U2
U2 B2 R' U' F2 U' B
U2 B2 R' U2 D B R2
U2 B2 R' U2 B D R2
U2 B2 R' D U2 B R2
U2 B2 R' D' L2 U2 B
R2 B2 R' U2 D R2 B
R2 B2 R' D U2 R2 B
R2 B2 R' D F' U2 R2
R2 B2 R' D' L2 F' U2
R2 B2 R' D' F' L2 U2
R2 B2 R' F' U' F' U'
U B2 R' U' F2 U' B
U B2 R' U2 D B R2
U B2 R' U2 B D R2
D2 B2 U F2 B2 L B'
U B2 R' D U2 B R2
U B2 R' D' L2 U2 B
D2 B2 U B2 L F2 B'
D2 B2 U B2 L B' F2
D2 B2 U B2 F2 L B'
F' B2 R' U2 D B R'
F' B2 R' D U2 B R'
F B2 R' U' F U' B
R' B2 D R' U2 R' B'
R' B2 D' L2 R' F U2
R' B2 D' L2 F R' U2
R' B2 D' R' L2 F U2
R2 B2 D R' F' U2 R'
B F2 U B R' U2 B
R2 B2 D' L2 R' F' U2
R2 B2 D' R' L2 F' U2
R2 B2 D' R' F' L2 U2
R B2 D R' U2 R' B
R B2 D F' R' U2 R'
R B2 D' L2 F' R' U2
R B2 D' F' L2 R' U2
R B2 D' F' R' L2 U2
