F2 U' L' F B
F2 U' L' B F
F2 U' B L' F
F2 L U' L2 F B
F2 L U' L2 B F
B U F2 U' L' F
F2 U' L' D F B
F2 U' L' D B F
F2 U' L' D' F B
F2 U' L' D' B F
F2 U' L' D2 F B
F2 U' L' D2 B F
F2 U' L' F D B
F2 U' L' F D' B
F2 U' L' F D2 B
F2 U' L' F B D
F2 U' L' F B D'
F2 U' L' F B D2
F2 U' L' B D F
F2 U' L' B D' F
F2 U' L' B D2 F
F2 U' L' B F D
F2 U' L' B F D'
F2 U' L' B F D2
F2 U' B L' D F
F2 U' B L' D' F
F2 U' B L' D2 F
F2 U' B L' F D
F2 U' B L' F D'
F2 U' B L' F D2
F2 U' B' L' F B2
F2 U' B' L' B2 F
L' F2 U' L' F' B
L' F2 U' L' B F'
L' F2 U' B L' F'
U' F2 U' L' F B
U' F2 U' L' B F
U' F2 U' B L' F
U2 F2 U' L' F B
U2 F2 U' L' B F
U2 F2 U' B L' F
U F2 U' L' F B
U F2 U' L' B F
U F2 U' B L' F
F2 B' U' L' F B2
F2 B' U' L' B2 F
F2 B' U' B2 L' F
B' F2 U' L' F B2
B' F2 U' L' B2 F
B' F2 U' B2 L' F
F2 B2 U' B' L' F
B2 F2 U' B' L' F
F2 L' F2 B D F' R2
U L' F2 U' L' F' B
U L' F2 U' L' B F'
U L' F2 U' B L' F'
U L' F2 U' B L' F'
F2 L' B F U F' U'
F2 L' B F2 D F' R2
L' U F2 U' L' F' B
L' U F2 U' L' B F'
L' U F2 U' B L' F'
L' U' F2 U' L' F' B
L' U' F2 U' L' B F'
L' U' F2 U' B L' F'
L' U2 F2 U' L' F' B
L' U2 F2 U' L' B F'
L' U2 F2 U' B L' F'
F2 R2 U' L' F D2 B2
L' D R2 F D2 B2 L
F2 U L' F B2 R' B'
F2 U L' B2 R' F B'
F2 U L' B2 R' B' F
F2 U L' B2 F R' B'
B U L' F2 U' L' F'
L' D F2 L' F' B R2
L' D F2 L' B F' R2
L' D F2 B L' F' R2
F2 U R' U2 L' F B'
F2 U R' U2 L' B' F
L' D B F2 L' F' R2
L' D B' R2 F B2 L
L' D B' R2 B2 F L
L2 D B' R2 B2 L F
L D B' R U2 R B2
L D B' R U2 B2 R
L D B' U2 R2 B2 L
L' D' L2 B' R U2 B2
F U F U' L' F B
F U F U' L' B F
F U F U' B L' F
B' U F2 U' L' F B2
B' U F2 U' L' B2 F
B' U F2 U' B2 L' F
B2 U F2 U' B' L' F
B U F2 L U' L2 F
B U F2 U' L' D F
B U F2 U' L' D' F
B U F2 U' L' D2 F
B U F2 U' L' F D
B U F2 U' L' F D'
B U F2 U' L' F D2
B U F2 B U' L' F
B U F2 B' U' L' F
B U F2 B2 U' L' F
F2 U B' L' F B2 R'
F2 U B' L' B2 R' F
F2 U B' L' B2 F R'
F2 U B' U2 L' F B2
F2 U B' U2 L' B2 F
B U B F2 U' L' F
F2 U B' U2 B2 L' F
B U B' F2 U' L' F
F2 U B2 U2 B' L' F
F2 U' L F L2 F B
F2 U' L F L2 B F
B U B2 F2 U' L' F
F2 U' L F' L2 F B
F2 U' L F' L2 B F
F2 U' L F2 L2 F B
F2 U' L F2 L2 B F
F2 U' L B L2 D2 F2
F2 U' L' R F R' B
F2 U' L' D F D B
F2 U' L' D F D' B
F2 U' L' D F D2 B
F2 U' L' D F B D
F2 U' L' D F B D'
F2 U' L' D F B D2
F2 U' L' D B D F
F2 U' L' D B D' F
F2 U' L' D B D2 F
F2 U' L' D B F D
F2 U' L' D B F D'
F2 U' L' D B F D2
F2 U' L' D' F D B
F2 U' L' D' F D' B
F2 U' L' D' F D2 B
F2 U' L' D' F B D
F2 U' L' D' F B D'
F2 U' L' D' F B D2
F2 U' L' D' B D F
F2 U' L' D' B D' F
F2 U' L' D' B D2 F
F2 U' L' D' B F D
F2 U' L' D' B F D'
F2 U' L' D' B F D2
F2 U' L' D2 F D B
F2 U' L' D2 F D' B
F2 U' L' D2 F D2 B
F2 U' L' D2 F B D
F2 U' L' D2 F B D'
F2 U' L' D2 F B D2
F2 U' L' D2 B D F
F2 U' L' D2 B D' F
F2 U' L' D2 B D2 F
F2 U' L' D2 B F D
F2 U' L' D2 B F D'
F2 U' L' D2 B F D2
F2 U' L' F L B L'
F2 U' L' F L2 B L2
F2 U' L' F D B D
F2 U' L' F D B D'
F2 U' L' F D B D2
F2 U' L' F D' B D
F2 U' L' F D' B D'
F2 U' L' F D' B D2
F2 U' L' F D2 B D
F2 U' L' F D2 B D'
F2 U' L' F D2 B D2
F2 U' L' F B2 D B'
F2 U' L' F B2 D' B'
F2 U' L' F B2 D2 B'
F2 U' L' F2 D F' B
F2 U' L' F2 D B F'
F2 U' L' F2 D' F' B
F2 U' L' F2 D' B F'
F2 U' L' F2 D2 F' B
F2 U' L' F2 D2 B F'
F2 U' L' F2 B D F'
F2 U' L' F2 B D' F'
F2 U' L' F2 B D2 F'
F2 U' L' B R F R'
F2 U' L' B R2 F R2
F2 U' L' B D F D
F2 U' L' B D F D'
F2 U' L' B D F D2
F2 U' L' B D' F D
F2 U' L' B D' F D'
F2 U' L' B D' F D2
F2 U' L' B D2 F D
F2 U' L' B D2 F D'
F2 U' L' B D2 F D2
F2 U' L' B F2 D F'
F2 U' L' B F2 D' F'
F2 U' L' B F2 D2 F'
F2 U' L' B2 D F B'
F2 U' L' B2 D B' F
F2 U' L' B2 D' F B'
F2 U' L' B2 D' B' F
F2 U' L' B2 D2 F B'
F2 U' L' B2 D2 B' F
F2 U' L' B2 F D B'
F2 U' L' B2 F D' B'
F2 U' L' B2 F D2 B'
F2 U' L2 D L F B
F2 U' L2 D L B F
F2 U' L2 D' L F B
F2 U' L2 D' L B F
F2 U' L2 D2 L F B
F2 U' L2 D2 L B F
F2 U' L2 F L F B
F2 U' L2 F L B F
F2 U' L2 F' L F B
F2 U' L2 F' L B F
F2 U' L2 F2 L F B
F2 U' L2 F2 L B F
F2 U' R L' F R' B
L D' B D2 F2 L' R2
L D' B D2 F2 R2 L'
L D' B' L2 R U2 B2
L D' B' R L2 U2 B2
F2 U' D B D' L' F
F2 U' D2 B D2 L' F
F2 U' F' L' F L' B
F2 U' F' L' F B L'
F2 U' F' L' B F L'
F U' F U' L' F B
F U' F U' L' B F
F U' F U' B L' F
F2 U' F' B L' F L'
B' U' F2 U' L' F B2
B' U' F2 U' L' B2 F
B' U' F2 U' B2 L' F
B2 U' F2 U' B' L' F
F2 U' B L F L2 F
F2 U' B L F' L2 F
F2 U' B L F2 L2 F
F2 U' B L' R F R'
F2 U' B L' R2 F R2
F2 U' B L' D F D
F2 U' B L' D F D'
F2 U' B L' D F D2
F2 U' B L' D' F D
F2 U' B L' D' F D'
F2 U' B L' D' F D2
F2 U' B L' D2 F D
F2 U' B L' D2 F D'
F2 U' B L' D2 F D2
F2 U' B L' F2 D F'
F2 U' B L' F2 D' F'
F2 U' B L' F2 D2 F'
F2 U' B L2 D L F
F2 U' B L2 D' L F
F2 U' B L2 D2 L F
F2 U' B L2 F L F
F2 U' B L2 F' L F
F2 U' B L2 F2 L F
F2 U' B R L' F R'
F2 U' B R2 L' F R2
F2 U' B F' L' F L'
F2 U' B' L' F B2 D
F2 U' B' L' F B2 D'
F2 U' B' L' F B2 D2
F2 U' B' L' B2 D F
F2 U' B' L' B2 D' F
F2 U' B' L' B2 D2 F
F2 U' B' L' B2 F D
F2 U' B' L' B2 F D'
F2 U' B' L' B2 F D2
F2 U2 L U L2 F B
F2 U2 L U L2 B F
F U2 F U' L' F B
F U2 F U' L' B F
F U2 F U' B L' F
B' U2 F2 U' L' F B2
B' U2 F2 U' L' B2 F
B' U2 F2 U' B2 L' F
B2 U2 F2 U' B' L' F
L' F U F U' L' B
L' F U F U' B L'
L' F B U F U' L'
F2 D U' B D' L' F
U' F2 L U' L2 F B
U' F2 L U' L2 B F
L' F2 L U' L2 F' B
L' F2 L U' L2 B F'
L' F2 L U' F' L2 B
L' F2 L U' F' B L2
L' F2 L U' B L2 F'
L' F2 L U' B F' L2
U2 F2 L U' L2 F B
U2 F2 L U' L2 B F
L2 F2 L U' F L2 B
L2 F2 L U' F B L2
L2 F2 L U' B F L2
U F2 L U' L2 F B
U F2 L U' L2 B F
L' F2 L2 U' L F' B
L' F2 L2 U' L B F'
L' F2 L2 U' F' L B
L F2 L2 U' F L B
F2 D' B' L U' L2 B2
F2 D' B' L U' B2 L2
U' F2 U' L' D F B
U' F2 U' L' D B F
U' F2 U' L' D' F B
U' F2 U' L' D' B F
U' F2 U' L' D2 F B
U' F2 U' L' D2 B F
U' F2 U' L' F D B
U' F2 U' L' F D' B
U' F2 U' L' F D2 B
U' F2 U' L' F B D
U' F2 U' L' F B D'
U' F2 U' L' F B D2
U' F2 U' L' B D F
U' F2 U' L' B D' F
U' F2 U' L' B D2 F
U' F2 U' L' B F D
U' F2 U' L' B F D'
U' F2 U' L' B F D2
L' F2 U' L F' L2 B
L' F2 U' L F' B L2
L' F2 U' L B L2 F'
L' F2 U' L B F' L2
L' F2 U' L' D F' B
L' F2 U' L' D B F'
L' F2 U' L' D' F' B
L' F2 U' L' D' B F'
L' F2 U' L' D2 F' B
L' F2 U' L' D2 B F'
L' F2 U' L' F' D B
L' F2 U' L' F' D' B
L' F2 U' L' F' D2 B
L' F2 U' L' F' B D
L' F2 U' L' F' B D'
L' F2 U' L' F' B D2
L' F2 U' L' B D F'
L' F2 U' L' B D' F'
L' F2 U' L' B D2 F'
L' F2 U' L' B F' D
L' F2 U' L' B F' D'
L' F2 U' L' B F' D2
L' F2 U' L2 F' L B
U' F2 U' B L' D F
U' F2 U' B L' D' F
U' F2 U' B L' D2 F
U' F2 U' B L' F D
U' F2 U' B L' F D'
U' F2 U' B L' F D2
L' F2 U' D L' F' B
L' F2 U' D L' B F'
U' F2 U' B' L' F B2
U' F2 U' B' L' B2 F
L' F2 U' D B L' F'
L' F2 U' D' L' F' B
L' F2 U' D' L' B F'
L' F2 U' D' B L' F'
L' F2 U' D2 L' F' B
L' F2 U' D2 L' B F'
L' F2 U' D2 B L' F'
U2 F2 U' L' D F B
U2 F2 U' L' D B F
U2 F2 U' L' D' F B
U2 F2 U' L' D' B F
U2 F2 U' L' D2 F B
U2 F2 U' L' D2 B F
U2 F2 U' L' F D B
U2 F2 U' L' F D' B
U2 F2 U' L' F D2 B
U2 F2 U' L' F B D
U2 F2 U' L' F B D'
U2 F2 U' L' F B D2
U2 F2 U' L' B D F
U2 F2 U' L' B D' F
U2 F2 U' L' B D2 F
U2 F2 U' L' B F D
U2 F2 U' L' B F D'
U2 F2 U' L' B F D2
L' F2 U' B L F' L2
L' F2 U' B L' D F'
L' F2 U' B L' D' F'
L' F2 U' B L' D2 F'
L' F2 U' B L' F' D
L' F2 U' B L' F' D'
L' F2 U' B L' F' D2
L' F2 U' B L2 F' L
L' F2 U' B D L' F'
L' F2 U' B D' L' F'
L' F2 U' B D2 L' F'
L' F2 U' B' L' F' B2
L' F2 U' B' L' B2 F'
U2 F2 U' B L' D F
U2 F2 U' B L' D' F
U2 F2 U' B L' D2 F
U2 F2 U' B L' F D
U2 F2 U' B L' F D'
U2 F2 U' B L' F D2
U2 F2 U' B' L' F B2
U2 F2 U' B' L' B2 F
L F2 U B' U2 L' B2
L F2 U B' U2 B2 L'
U F2 U' L' D F B
U F2 U' L' D B F
U F2 U' L' D' F B
U F2 U' L' D' B F
U F2 U' L' D2 F B
U F2 U' L' D2 B F
U F2 U' L' F D B
U F2 U' L' F D' B
U F2 U' L' F D2 B
U F2 U' L' F B D
U F2 U' L' F B D'
U F2 U' L' F B D2
U F2 U' L' B D F
U F2 U' L' B D' F
U F2 U' L' B D2 F
U F2 U' L' B F D
U F2 U' L' B F D'
U F2 U' L' B F D2
L F2 U' L2 F L B
L' F2 D U' L' F' B
L' F2 D U' L' B F'
L' F2 D U' B L' F'
U F2 U' B L' D F
U F2 U' B L' D' F
U F2 U' B L' D2 F
U F2 U' B L' F D
U F2 U' B L' F D'
U F2 U' B L' F D2
L F2 U' B L' D2 F2
U F2 U' B' L' F B2
U F2 U' B' L' B2 F
L F2 U' B D2 L' F2
L' F2 D' U' L' F' B
L' F2 D' U' L' B F'
L' F2 D' U' B L' F'
L' F2 D2 U' L' F' B
L' F2 D2 U' L' B F'
L' F2 D2 U' B L' F'
U' F2 B' U' L' F B2
U' F2 B' U' L' B2 F
U' F2 B' U' B2 L' F
L' F2 B' U' L' F' B2
L' F2 B' U' L' B2 F'
L' F2 B' U' B2 L' F'
U' F2 B2 U' B' L' F
U2 F2 B' U' L' F B2
U2 F2 B' U' L' B2 F
U2 F2 B' U' B2 L' F
L' F2 B2 U' B' L' F'
U2 F2 B2 U' B' L' F
U F2 B' U' L' F B2
U F2 B' U' L' B2 F
U F2 B' U' B2 L' F
F2 D2 U' B D2 L' F
U F2 B2 U' B' L' F
U' B U F2 U' L' F
L' B U F2 U' L' F'
U2 B U F2 U' L' F
U B U F2 U' L' F
F2 B L' F U F' U'
F2 B L' F2 D F' R2
L' B D F2 L' F' R2
L' B F U F U' L'
L B D2 F2 L' D' R2
L B D2 F2 D' L' R2
L B D2 F2 D' R2 L'
B F U F U' L' F
F B U F U' L' F
L B' R U' F2 U' B2
L B' R U2 B2 D R2
F2 B' L U' L2 F B2
F2 B' L U' L2 B2 F
F2 B' R U' L' F B2
F2 B' R U' L' B2 F
F2 B' R U' B2 L' F
F2 B' R' U' L' F B2
F2 B' R' U' L' B2 F
F2 B' R' U' B2 L' F
L B' U' F2 U' L' B2
L B' U' F2 U' B2 L'
F2 B' R2 U' L' F B2
F2 B' R2 U' L' B2 F
F2 B' R2 U' B2 L' F
F2 B' U L' F B2 R'
F2 B' U L' B2 R' F
F2 B' U L' B2 F R'
F2 B' U' L' F B2 D
F2 B' U' L' F B2 D'
F2 B' U' L' F B2 D2
F2 B' U' L' B2 D F
F2 B' U' L' B2 D' F
F2 B' U' L' B2 D2 F
F2 B' U' L' B2 F D
F2 B' U' L' B2 F D'
F2 B' U' L' B2 F D2
F2 B' U' B L' F B
F2 B' U' B L' B F
F2 B' U' B2 L' D F
F2 B' U' B2 L' D' F
F2 B' U' B2 L' D2 F
F2 B' U' B2 L' F D
F2 B' U' B2 L' F D'
F2 B' U' B2 L' F D2
U' B' F2 U' L' F B2
U' B' F2 U' L' B2 F
U' B' F2 U' B2 L' F
L' B' F2 U' L' F' B2
L' B' F2 U' L' B2 F'
L' B' F2 U' B2 L' F'
U2 B' F2 U' L' F B2
U2 B' F2 U' L' B2 F
U2 B' F2 U' B2 L' F
U B' F2 U' L' F B2
U B' F2 U' L' B2 F
U B' F2 U' B2 L' F
B' F2 L U' L2 F B2
B' F2 L U' L2 B2 F
B' F2 R U' L' F B2
B' F2 R U' L' B2 F
B' F2 R U' B2 L' F
B F2 L' F U F' U'
B F2 L' F2 D F' R2
B2 F2 R U' B' L' F
F2 B2 R U' B' L' F
B' F2 R' U' L' F B2
B' F2 R' U' L' B2 F
B' F2 R' U' B2 L' F
D2 B2 U' R U2 F' B'
D2 B2 U' R U2 B' F'
B2 F2 R' U' B' L' F
F2 B2 R' U' B' L' F
B' F2 R2 U' L' F B2
B' F2 R2 U' L' B2 F
B' F2 R2 U' B2 L' F
B2 F2 R2 U' B' L' F
B' F2 U L' F B2 R'
B' F2 U L' B2 R' F
B' F2 U L' B2 F R'
F2 B2 R2 U' B' L' F
B' F2 U' L' F B2 D
B' F2 U' L' F B2 D'
B' F2 U' L' F B2 D2
B' F2 U' L' B2 D F
B' F2 U' L' B2 D' F
B' F2 U' L' B2 D2 F
B' F2 U' L' B2 F D
B' F2 U' L' B2 F D'
B' F2 U' L' B2 F D2
B' F2 U' B L' F B
B' F2 U' B L' B F
B' F2 U' B2 L' D F
B' F2 U' B2 L' D' F
B' F2 U' B2 L' D2 F
B' F2 U' B2 L' F D
B' F2 U' B2 L' F D'
B' F2 U' B2 L' F D2
B2 F2 U' B L' F B2
B2 F2 U' B L' B2 F
B2 F2 U' B' L' D F
B2 F2 U' B' L' D' F
B2 F2 U' B' L' D2 F
B2 F2 U' B' L' F D
B2 F2 U' B' L' F D'
B2 F2 U' B' L' F D2
B2 F2 U' B2 L' F B
B2 F2 U' B2 L' B F
F2 B2 U' B L' F B2
F2 B2 U' B L' B2 F
F2 B2 U' B' L' D F
F2 B2 U' B' L' D' F
F2 B2 U' B' L' D2 F
F2 B2 U' B' L' F D
F2 B2 U' B' L' F D'
F2 B2 U' B' L' F D2
F2 B2 U' B2 L' F B
F2 B2 U' B2 L' B F
U' B2 F2 U' B' L' F
L' B2 F2 U' B' L' F'
U2 B2 F2 U' B' L' F
U B2 F2 U' B' L' F
