D' L2 B' R' F' B2
D' L2 B' R' B2 F'
B' R' B2 D' L2 F'
B' R' B2 D' F' L2
D' B' L2 R' F' B2
D' B' L2 R' B2 F'
D' B' R' L2 F' B2
D' B' R' L2 B2 F'
D' B' R' F' L2 B2
D' B' R' F' L2 B2
D' B' R' F' B2 L2
D' B' R' B2 L2 F'
D' B' R' B2 F' L2
D B' R' F' B2 L
D B' R' B2 L F'
D B' R' B2 F' L
B D' B2 R' F' B2 L2
B D' B2 R' B2 L2 F'
B D' B2 R' B2 F' L2
D' F2 B' L2 R' F' B2
D' F2 B' L2 R' B2 F'
D' F2 B' R' L2 F' B2
D' F2 B' R' L2 B2 F'
D' F2 B' R' F' L2 B2
D' F2 B' R' F' B2 L2
D' F2 B' R' B2 L2 F'
D' F2 B' R' B2 F' L2
D F2 B' R' F' B2 L
D F2 B' R' B2 L F'
D F2 B' R' B2 F' L
B D2 U B2 U' R' F'
U2 B L D' F L2 R
U2 B L D' F R L2
D' B L2 R' F2 R F
D' B L2 R2 F2 R F'
U2 B L' D' L2 F R
D' B L2 U2 L' B' U2
D' B L2 F' R' F' R
D' B L2 F2 R' F' R2
D' B R' L2 F2 R F
D' B R' F L2 F2 R
D' B R2 L2 F2 R F'
D' B U2 L U2 F L
D B U2 L R2 U2 F
D B U2 R2 L U2 F
U2 B D' L F L R
U2 B D' L F R L
B' F R' F' B2 D' L2
B' F R' B2 F' D' L2
D' B' L R' F' L B2
D' B' L' R' B2 L' F'
D B' L R' F' B2 L
D B' L R' B2 L F'
D B' L R' B2 F' L
D' B' L2 R' F' B2 D
D' B' L2 R' F' B2 D'
D' B' L2 R' F' B2 D2
D' B' L2 R' B2 D F'
D' B' L2 R' B2 D' F'
D' B' L2 R' B2 D2 F'
D' B' L2 R' B2 F' D
D' B' L2 R' B2 F' D'
D' B' L2 R' B2 F' D2
D' B' L2 R2 B2 R F'
D B' L' R' F' B2 L
D B' L' R' B2 L F'
D B' L' R' B2 F' L
D' B' L2 F R' F' B2
D' B' L2 F R' B2 F'
D' B' L2 F' R' F' B2
D' B' L2 F' R' B2 F'
D' B' L2 F2 R' F' B2
D' B' L2 F2 R' B2 F'
D B' L2 R' F' B2 L
D B' L2 R' B2 L F'
D B' L2 R' B2 F' L
D' B' R B2 L2 R2 F
D' B' R B2 L2 F R2
D' B' R B2 R2 L2 F
D' B' R' L F' L B2
D' B' R' L' B2 L' F'
D' B' R' L2 F' B2 D
D' B' R' L2 F' B2 D'
D' B' R' L2 F' B2 D2
D' B' R' L2 B2 D F'
D' B' R' L2 B2 D' F'
D' B' R' L2 B2 D2 F'
D' B' R' L2 B2 F' D
D' B' R' L2 B2 F' D'
D' B' R' L2 B2 F' D2
D' B' R' F L2 F2 B2
D' B' R' F L2 B2 F2
D' B' R' F B2 L2 F2
D' B' R' F' L' B2 L'
D' B' R' F' L2 B2 D
D' B' R' F' L2 B2 D'
D' B' R' F' L2 B2 D2
D' B' R' F' B L2 B
D' B' R' F' B2 L2 D
D' B' R' F' B2 L2 D'
D' B' R' F' B2 L2 D2
D' B' R' B L2 F' B
D' B' R' B L2 B F'
D' B' R' B F' L2 B
D' B' R' B2 L F' L
D' B' R' B2 L2 D F'
D' B' R' B2 L2 D' F'
D' B' R' B2 L2 D2 F'
D' B' R' B2 L2 F' D
D' B' R' B2 L2 F' D'
D' B' R' B2 L2 F' D2
D' B' R' B2 F L2 F2
D' B' R' B2 F' L2 D
D' B' R' B2 F' L2 D'
D' B' R' B2 F' L2 D2
L' B' R' B2 D' L2 F'
L' B' R' B2 D' F' L2
D' B' R2 L2 B2 R F'
D B' R' L F' B2 L
D B' R' L B2 L F'
D B' R' L B2 F' L
D B' R' L' F' B2 L
D B' R' L' B2 L F'
D B' R' L' B2 F' L
D B' R' L2 F' B2 L
D B' R' L2 B2 L F'
D B' R' L2 B2 F' L
L2 B' R' B2 D' L2 F'
L2 B' R' B2 D' F' L2
D' B' R2 B2 L2 R F'
D' B' R2 B2 R L2 F'
D' B' R2 B2 R F' L2
D B' R' F B2 L F2
D B' R' F' L B2 L
D B' R' F' L' B2 L
D B' R' F' L2 B2 L
D B' R' F' B2 L D
D B' R' F' B2 L D'
D B' R' F' B2 L D2
D B' R' F' B2 D L
D B' R' F' B2 D' L
D B' R' F' B2 D2 L
D B' R' B2 L D F'
D B' R' B2 L D' F'
D B' R' B2 L D2 F'
D B' R' B2 L F' D
D B' R' B2 L F' D'
D B' R' B2 L F' D2
D B' R' B2 L' F' L2
D B' R' B2 D L F'
D B' R' B2 D F' L
D B' R' B2 D' L F'
D B' R' B2 D' F' L
D B' R' B2 D2 L F'
D B' R' B2 D2 F' L
D B' R' B2 F L F2
D B' R' B2 F' L D
D B' R' B2 F' L D'
D B' R' B2 F' L D2
D B' R' B2 F' D L
D B' R' B2 F' D' L
D B' R' B2 F' D2 L
D B' R2 U2 R F' B2
D B' R2 U2 R B2 F'
D B' R2 U2 B2 R F'
L B' R' B2 D' L2 F'
L B' R' B2 D' F' L2
F2 B' R U R2 F' B2
F2 B' R U R2 B2 F'
D B' U2 R' B2 L F
F2 B' R2 U R F' B2
F2 B' R2 U R B2 F'
F2 B' R2 U B2 R F'
F B' R' F' B2 D' L2
F B' R' B2 F' D' L2
D' B' F L2 R' F' B2
D' B' F L2 R' B2 F'
D' B' F R' L2 F' B2
D' B' F R' L2 B2 F'
D' B' F R' F' L2 B2
D' B' F R' F' B2 L2
D' B' F R' B2 L2 F'
D' B' F R' B2 F' L2
D' B' F' L2 R' F' B2
D' B' F' L2 R' B2 F'
D' B' F' R' L2 F' B2
D' B' F' R' L2 B2 F'
D' B' F' R' F' L2 B2
D' B' F' R' F' B2 L2
D' B' F' R' B2 L2 F'
D' B' F' R' B2 F' L2
D B' F R' F' B2 L
D' B' F2 L2 R' F' B2
D' B' F2 L2 R' B2 F'
D B' F R' B2 L F'
D B' F R' B2 F' L
D' B' F2 R' L2 F' B2
D' B' F2 R' L2 B2 F'
D' B' F2 R' F' L2 B2
D' B' F2 R' F' B2 L2
D' B' F2 R' B2 L2 F'
D' B' F2 R' B2 F' L2
D B' F' R' F' B2 L
D B' F' R' B2 L F'
D B' F' R' B2 F' L
D B' F2 R' F' B2 L
D B' F2 R' B2 L F'
D B' F2 R' B2 F' L
B' F2 R U R2 F' B2
B' F2 R U R2 B2 F'
B' F2 R2 U R F' B2
B' F2 R2 U R B2 F'
B' F2 R2 U B2 R F'
