L2 U' B' U' F2 B'
L2 U' B' U' B' F2
D R2 F L2 B' U
F U F B2 D2 R2
F U B2 D2 R2 F
F U B2 D2 F R2
F U B2 F D2 R2
F U' L2 B' U2 B'
D F L2 R2 B' U
D F L2 B' R2 U
D F R2 L2 B' U
L2 F U' B' U' B' F
R F U F B2 D2 R2
U F U B2 D2 R2 F
U F U B2 D2 F R2
U F U B2 F D2 R2
U F U' L2 B' U2 B'
R F U B2 D2 R2 F
R F U B2 D2 F R2
R F U B2 F D2 R2
R F U' L2 B' U2 B'
D F B L2 R2 B' U
D F B L2 B' R2 U
D F B R2 L2 B' U
D' F B2 U D F2 B2
D' F B2 U D B2 F2
D' F B2 U2 L2 R2 U'
D' F B2 U2 R2 L2 U'
D' F B2 D U F2 B2
D' F B2 D U B2 F2
D F B' L2 R2 B' U
D F B' L2 B' R2 U
D' F B2 D2 L2 R2 U
D' F B2 D2 R2 L2 U
D F B' R2 L2 B' U
D F B2 L2 R2 B' U
D F B2 L2 B' R2 U
D F B2 R2 L2 B' U
L F B2 R' D F L'
L F B2 D R' F L'
L F B2 D F L' R'
L F B2 D F R' L'
D F' L2 R2 F2 B U
D F' L2 R2 B F2 U
D F' R2 L2 F2 B U
D F' R2 L2 B F2 U
D F' R2 F2 L2 B U
D F' R2 F2 B L2 U
D F' R2 B L2 F2 U
D F' R2 B F2 L2 U
L' F' U' F' L' R B2
L' F' U' F' L' B2 R
L' F' U' F' R L' B2
L' F' U' F' R B2 L'
L' F' U' F' B2 L' R
L' F' U' F' B2 R L'
L' F' U' B2 F' L' R
L' F' U' B2 F' R L'
L2 F' U' B' U' F' B'
L2 F' U' B' U' B' F'
F' D' L2 D' F' R2 B
F D' B2 U D F B2
F D' B2 U D B2 F
F D' B2 U F D B2
F D' B2 U2 R2 U' F
F D' B2 D U F B2
F D' B2 D U B2 F
D F2 U2 L2 F' R2 U
D F2 U2 F' L2 R2 U
D F2 U2 F' R2 L2 U
D F2 D2 L2 R2 B U'
D F2 D2 R2 L2 B U'
D F2 D2 R2 B L2 U'
D2 F2 B2 U F' U R2
F2 D2 U' F' U R2 B
L F2 B' D' B' L R'
L F2 B' D' B' R' L
F D2 U R2 D2 F B2
F D2 U R2 D2 B2 F
F D2 U F' R2 F2 B
F D2 U F' R2 B F2
D' B L2 R2 F' B' U'
D' B L2 R2 B' F' U'
F D2 U' F2 U2 F' R2
F' D2 F' R2 D L2 B
F' D2 F' R2 D B L2
B D2 F U B R2 F'
F2 D2 F' U R2 F B
F2 D2 F' U R2 B F
D' B R2 L2 F' B' U'
D' B R2 L2 B' F' U'
B D2 B R2 F' D' L2
L' B U F2 B L R
L' B U F2 B R L
L' B U B F2 L R
L' B U B F2 R L
D B R2 F L2 B' U
F' D2 B2 U' F' R2 B
L2 B U' B2 U' F2 B'
L2 B U' B2 U' B' F2
L2 B U2 F2 D L2 B
L2 B U2 F2 D B L2
D B F L2 R2 B' U
D B F L2 B' R2 U
D B F R2 L2 B' U
B' F U D2 R2 F B'
B' F U D2 R2 B' F
B' F U D2 F R2 B'
B' F U D2 F B' R2
B' F U D2 B' R2 F
B' F U D2 B' F R2
B' F U F D2 R2 B'
B' F U F D2 B' R2
B' F U F B' D2 R2
B' F U B' D2 R2 F
B' F U B' D2 F R2
B' F U B' F D2 R2
B' F U' L2 F B' U2
B' F U' L2 B' F U2
B F U D2 F B R2
B F U D2 B R2 F
B F U D2 B F R2
B F U F D2 B R2
B F U F B D2 R2
B F U B D2 R2 F
B F U B D2 F R2
B F U B F D2 R2
F B U D2 F B R2
F B U D2 B R2 F
F B U D2 B F R2
F B U F D2 B R2
F B U F B D2 R2
B F U' L2 B' U2 B2
F B U B D2 R2 F
F B U B D2 F R2
F B U B F D2 R2
F B U' L2 B' U2 B2
D' B' L2 R2 F B' U'
D' B' L2 R2 B' F U'
D' B' L2 F R2 B' U'
D' B' L2 F B' R2 U'
D' B' L2 B' R2 F U'
D' B' L2 B' F R2 U'
B' F D' B2 U F B
B' F D' B2 U B F
B' F D2 U R2 F B'
B' F D2 U R2 B' F
B' F D2 U F R2 B'
B' F D2 U F B' R2
B' F D2 U B' R2 F
B' F D2 U B' F R2
B2 F D' B2 U F B2
B2 F D' B2 U B2 F
D' B' R2 L2 F B' U'
D' B' R2 L2 B' F U'
B F D' B2 U F B'
B F D' B2 U B' F
B F D2 U F B R2
B F D2 U B R2 F
B F D2 U B F R2
F B D' B2 U F B'
F B D' B2 U B' F
F B D2 U F B R2
F B D2 U B R2 F
F B D2 U B F R2
D B' R2 F L2 B' U
L2 B' U' F2 D R2 B'
L2 B' U' F2 D B' R2
L2 B' U' F2 B' D R2
L2 B' U' B' F2 D R2
L2 B' U2 F2 D' B' L2
L2 B' U2 F2 B' D' L2
L2 B' U2 B' F2 D' L2
F B' U D2 R2 F B'
F B' U D2 R2 B' F
F B' U D2 F R2 B'
F B' U D2 F B' R2
F B' U D2 B' R2 F
F B' U D2 B' F R2
F B' U F D2 R2 B'
F B' U F D2 B' R2
F B' U F B' D2 R2
D B' F L2 R2 B' U
D B' F L2 B' R2 U
D B' F R2 L2 B' U
F B' U B' D2 R2 F
F B' U B' D2 F R2
F B' U B' F D2 R2
F B' U' L2 F B' U2
F B' U' L2 B' F U2
B2 F' D' L2 D' F' R2
B2 F' D' L2 F' D' R2
B2 F' D' F' L2 D' R2
L B' F2 D' B' L R'
L B' F2 D' B' R' L
F2 B' D2 R2 B' D L2
B2 F' D2 F' R2 D L2
D' B2 L2 B' R2 F' U'
F B' D' B2 U F B
F B' D' B2 U B F
F B' D2 U R2 F B'
F B' D2 U R2 B' F
F B' D2 U F R2 B'
F B' D2 U F B' R2
F B' D2 U B' R2 F
F B' D2 U B' F R2
L B2 R' F D F L'
D B2 R2 F L2 B' U
D' B2 U2 L2 R2 B' U'
D' B2 U2 L2 B' R2 U'
D' B2 U2 R2 L2 B' U'
D' B2 D F U F B2
D' B2 D F U B2 F
B2 F2 U' D' F' B2 U
B2 F2 U' D' B2 F' U
B2 F2 U' D2 F' U R2
F2 B2 U' D' F' B2 U
B2 F2 U' F' U D2 R2
F2 B2 U' D' B2 F' U
B2 F2 U' F' U' L2 U2
B2 F2 U' F' D' B2 U
B2 F2 U' F' D2 U R2
F2 B2 U' D2 F' U R2
F2 B2 U' F' U D2 R2
F2 B2 U' F' U' L2 U2
F2 B2 U' F' D' B2 U
F2 B2 U' F' D2 U R2
B2 F2 U2 L2 U F' U
F2 B2 U2 L2 U F' U
D' B2 D2 R2 F L2 U
D' B2 D2 F L2 R2 U
D' B2 D2 F R2 L2 U
D' B2 F U D F2 B2
D' B2 F U D B2 F2
D' B2 F U2 L2 R2 U'
D' B2 F U2 R2 L2 U'
D' B2 F D U F2 B2
D' B2 F D U B2 F2
D' B2 F D2 L2 R2 U
D' B2 F D2 R2 L2 U
F' B2 D' L2 D' F' R2
F' B2 D' L2 F' D' R2
F' B2 D' F' L2 D' R2
B2 F2 D' U' F' B2 U
B2 F2 D' U' B2 F' U
B' F2 D2 R2 B' D L2
F2 B2 D' U' F' B2 U
F2 B2 D' U' B2 F' U
D B2 F L2 R2 B' U
D B2 F L2 B' R2 U
D B2 F R2 L2 B' U
D2 B2 F2 U F' U R2
B2 F2 D2 R2 U B U'
F' B2 D2 F' R2 D L2
B2 F2 D2 U' F' U R2
F2 B2 D2 R2 U B U'
L B2 F R' D F L'
F2 B2 D2 U' F' U R2
L B2 F D R' F L'
L B2 F D F L' R'
L B2 F D F R' L'
F B2 D' B2 U F B2
F B2 D' B2 U B2 F
