B2 L U L' B
B2 L U B L'
B2 L' U L B
B2 L2 U L2 B
B2 L2 U B L2
D' R2 D' F2 B'
D' R2 D' B' F2
D' R2 B' D' F2
R2 D' R2 F2 B'
R2 D' R2 B' F2
R2 D' F2 R2 B'
R2 D' F2 B' R2
R2 D' B' R2 F2
R2 D' B' F2 R2
D' B' R2 D' F2
L2 B2 U L2 B'
D B' D2 R2 D' F2
D' B' F' R2 D' F2
D' B' F2 R2 D' F2
L2 B2 L U L B'
L B2 L U L2 B'
F' B2 L U L' B
F' B2 L U B L'
L B2 L2 U L B'
F' B2 L' U L B
B2 F2 L U L' B
B2 F2 L U B L'
F2 B2 L U L' B
F2 B2 L U B L'
F' B2 L2 U L2 B
L' B2 U B2 L B'
B2 F2 L' U L B
F' B2 L2 U B L2
F2 B2 L' U L B
F B2 L U L' B
F B2 L U B L'
B2 F2 L2 U L2 B
B2 F2 L2 U B L2
F2 B2 L2 U L2 B
F2 B2 L2 U B L2
F B2 L' U L B
U' B2 U D2 F2 B
U' B2 U D2 B F2
L2 B2 U L2 D B'
L2 B2 U L2 D' B'
L2 B2 U L2 D2 B'
L2 B2 U L2 B' D
L2 B2 U L2 B' D'
L2 B2 U L2 B' D2
F B2 L2 U L2 B
F B2 L2 U B L2
L2 B2 U B L2 B'
U' B2 U' B2 U2 B'
L2 B2 U B' L2 B'
L2 B2 U B2 L2 B'
L2 B2 U' F U2 L2
U' B2 D2 U F2 B
U' B2 D2 U B F2
D' L R2 D' L' F2 B'
D' L R2 D' L' B' F2
B2 L U L B L2 D
B2 L U L B L2 D'
B2 L U L B L2 D2
B2 L U L B' L2 B2
B2 L U L' D B D
B2 L U L' D B D'
B2 L U L' D B D2
B2 L U L' D' B D
B2 L U L' D' B D'
B2 L U L' D' B D2
B2 L U L' D2 B D
B2 L U L' D2 B D'
B2 L U L' D2 B D2
B2 L U L' B2 D B'
B2 L U L' B2 D' B'
B2 L U L' B2 D2 B'
B2 L U L2 D L B
B2 L U L2 D' L B
B2 L U L2 D2 L B
B2 L U D L B L2
B2 L U D L' D B
B2 L U D L' D' B
B2 L U D L' D2 B
B2 L U D L' B D
B2 L U D L' B D'
B2 L U D L' B D2
B2 L U D B L' D
B2 L U D B L' D'
B2 L U D B L' D2
B2 L U D B D L'
B2 L U D B D' L'
B2 L U D B D2 L'
B2 L U D B' L' B2
B2 L U D' L B L2
B2 L U D' L' D B
B2 L U D' L' D' B
B2 L U D' L' D2 B
B2 L U D' L' B D
B2 L U D' L' B D'
B2 L U D' L' B D2
B2 L U D' B L' D
B2 L U D' B L' D'
B2 L U D' B L' D2
B2 L U D' B D L'
B2 L U D' B D' L'
B2 L U D' B D2 L'
B2 L U D' B' L' B2
B2 L U D2 L B L2
B2 L U D2 L' D B
B2 L U D2 L' D' B
B2 L U D2 L' D2 B
B2 L U D2 L' B D
B2 L U D2 L' B D'
B2 L U D2 L' B D2
B2 L U D2 B L' D
B2 L U D2 B L' D'
B2 L U D2 B L' D2
B2 L U D2 B D L'
B2 L U D2 B D' L'
B2 L U D2 B D2 L'
B2 L U D2 B' L' B2
B2 L U B L2 D L
B2 L U B L2 D' L
B2 L U B L2 D2 L
B2 L U B D L' D
B2 L U B D L' D'
B2 L U B D L' D2
B2 L U B D' L' D
B2 L U B D' L' D'
B2 L U B D' L' D2
B2 L U B D2 L' D
B2 L U B D2 L' D'
B2 L U B D2 L' D2
B2 L U B' L B2 L2
B2 L U B' L' B2 D
B2 L U B' L' B2 D'
B2 L U B' L' B2 D2
B2 L U B2 D B' L'
B2 L U B2 D' B' L'
B2 L U B2 D2 B' L'
B2 L U' R' U2 L' B'
R2 L D' L' R2 F2 B'
R2 L D' L' R2 B' F2
B2 L U' F U2 B L
R2 L D' L' F2 R2 B'
R2 L D' L' F2 B' R2
R2 L D' L' B' R2 F2
R2 L D' L' B' F2 R2
R2 L D' R2 L' F2 B'
R2 L D' R2 L' B' F2
B2 L U2 B' U' L' B2
B2 L U2 B' U' B2 L'
B2 L U2 B2 U' B' L'
B2 L D L U L2 B
B2 L D L U B L2
B2 L D L2 U L B
B2 L D U L B L2
B2 L D U L' D B
B2 L D U L' D' B
B2 L D U L' D2 B
B2 L D U L' B D
B2 L D U L' B D'
B2 L D U L' B D2
B2 L D U B L' D
B2 L D U B L' D'
B2 L D U B L' D2
B2 L D U B D L'
B2 L D U B D' L'
B2 L D U B D2 L'
B2 L D U B' L' B2
B L D B L2 U L
B2 L D' L U L2 B
B2 L D' L U B L2
B2 L D' L2 U L B
B2 L D' U L B L2
B2 L D' U L' D B
B2 L D' U L' D' B
B2 L D' U L' D2 B
B2 L D' U L' B D
B2 L D' U L' B D'
B2 L D' U L' B D2
B2 L D' U B L' D
B2 L D' U B L' D'
B2 L D' U B L' D2
B2 L D' U B D L'
B2 L D' U B D' L'
B2 L D' U B D2 L'
B2 L D' U B' L' B2
B2 L D2 L U L2 B
B2 L D2 L U B L2
B2 L D2 L2 U L B
B2 L D2 U L B L2
B2 L D2 U L' D B
B2 L D2 U L' D' B
B2 L D2 U L' D2 B
B2 L D2 U L' B D
B2 L D2 U L' B D'
B2 L D2 U L' B D2
B2 L D2 U B L' D
B2 L D2 U B L' D'
B2 L D2 U B L' D2
B2 L D2 U B D L'
B2 L D2 U B D' L'
B2 L D2 U B D2 L'
B2 L D2 U B' L' B2
B L B L U L2 B
B L B L U B L2
B L B L2 U L B
B' L B U B' L' R'
B' L B U B' R' L'
B L B U L B L2
B L B U L' D B
B L B U L' D' B
B L B U L' D2 B
B L B U L' B D
B L B U L' B D'
B L B U L' B D2
B L B U D L' B
B L B U D B L'
B L B U D' L' B
B L B U D' B L'
B L B U D2 L' B
B L B U D2 B L'
B L B U B L' D
B L B U B L' D'
B L B U B L' D2
B L B U B D L'
B L B U B D' L'
B L B U B D2 L'
B L B U B' L' B2
B L B D U L' B
B L B D U B L'
B L B D' U L' B
B L B D' U B L'
B L B D2 U L' B
B L B D2 U B L'
F' L B2 L U L2 B'
F2 L B2 L U L2 B'
F' L B2 L2 U L B'
F2 L B2 L2 U L B'
F L B2 L U L2 B'
F L B2 L2 U L B'
D2 L' U L D R2 B'
D2 L' U L D B' R2
D' L' U L R B' R
D' L' U L R2 D B'
D' L' U L R2 D' B'
D' L' U L R2 D2 B'
D' L' U L R2 B' D
D' L' U L R2 B' D'
D' L' U L R2 B' D2
D2 L' U L B' D R2
F' L' U L D' R2 B'
F' L' U L D' B' R2
D' L' U L B R2 B2
D' L' U L B' R2 D
D' L' U L B' R2 D'
D' L' U L B' R2 D2
F2 L' U L D' R2 B'
F2 L' U L D' B' R2
D' L' U R L B' R
B2 L' U L D B D
B2 L' U L D B D'
B2 L' U L D B D2
D L' U L D2 R2 B'
B2 L' U L D' B D
B2 L' U L D' B D'
B2 L' U L D' B D2
D L' U L D2 B' R2
B2 L' U L D2 B D
B2 L' U L D2 B D'
B2 L' U L D2 B D2
D L' U L B' D2 R2
B2 L' U L B2 D B'
B2 L' U L B2 D' B'
B2 L' U L B2 D2 B'
F L' U L D' R2 B'
F L' U L D' B' R2
B2 L' U L' B L2 D
B2 L' U L' B L2 D'
B2 L' U L' B L2 D2
B2 L' U L' B' L2 B2
D' L' U R2 L D B'
D' L' U R2 L D' B'
D' L' U R2 L D2 B'
D' L' U R2 L B' D
D' L' U R2 L B' D'
D' L' U R2 L B' D2
B2 L' U L2 D L' B
B2 L' U L2 D B L'
B2 L' U L2 D' L' B
B2 L' U L2 D' B L'
B2 L' U L2 D' B L'
B2 L' U L2 D2 L' B
B2 L' U L2 D2 B L'
B2 L' U L2 B L' D
B2 L' U L2 B L' D'
B2 L' U L2 B L' D2
B2 L' U L2 B D L'
B2 L' U L2 B D' L'
B2 L' U L2 B D2 L'
B2 L' U L2 B' L' B2
B2 L' U D L D B
B2 L' U D L D' B
B2 L' U D L D2 B
B2 L' U D L B D
B2 L' U D L B D'
B2 L' U D L B D2
B2 L' U D L' B L2
B2 L' U D L2 B L'
B2 L' U D' L D B
B2 L' U D' L D' B
B2 L' U D' L D2 B
B2 L' U D' L B D
B2 L' U D' L B D'
B2 L' U D' L B D2
B2 L' U D' L' B L2
B2 L' U D' L2 B L'
B2 L' U D2 L D B
B2 L' U D2 L D' B
B2 L' U D2 L D2 B
B2 L' U D2 L B D
B2 L' U D2 L B D'
B2 L' U D2 L B D2
B2 L' U D2 L' B L2
B2 L' U D2 L2 B L'
B2 L' U F L F' B
B2 L' U F L B F'
B2 L' U F2 L F2 B
B2 L' U F2 L B F2
D' L' U' L B' R2 F'
D L' U' L' U2 L2 B'
D L' U' L' F U2 L2
B2 L' U' R2 F' U2 L
B2 L' U' F U2 L B
B2 L' U' F' U2 L B
B2 L' U' F2 U2 L B
D2 L' U2 F2 U' L B'
B2 L' D L' U L2 B
B2 L' D L' U B L2
B2 L' D L2 U L' B
B2 L' D L2 U B L'
B L' D L2 B U L'
B2 L' D U L D B
B2 L' D U L D' B
B2 L' D U L D2 B
B2 L' D U L B D
B2 L' D U L B D'
B2 L' D U L B D2
B2 L' D U L' B L2
B2 L' D U L2 B L'
B2 L' D F U L B
B2 L' D F' U L B
B2 L' D F2 U L B
B2 L' D' L' U L2 B
B2 L' D' L' U B L2
B2 L' D' L2 U L' B
B2 L' D' L2 U B L'
B2 L' D' U L D B
B2 L' D' U L D' B
B2 L' D' U L D2 B
B2 L' D' U L B D
B2 L' D' U L B D'
B2 L' D' U L B D2
B2 L' D' U L' B L2
B2 L' D' U L2 B L'
B2 L' D' F U L B
B2 L' D' F' U L B
B2 L' D' F2 U L B
B2 L' D2 L' U L2 B
B2 L' D2 L' U B L2
B2 L' D2 L2 U L' B
B2 L' D2 L2 U B L'
B2 L' D2 U L D B
B2 L' D2 U L D' B
B2 L' D2 U L D2 B
B2 L' D2 U L B D
B2 L' D2 U L B D'
B2 L' D2 U L B D2
B2 L' D2 U L' B L2
B2 L' D2 U L2 B L'
B2 L' D2 F U L B
B2 L' D2 F' U L B
B2 L' D2 F2 U L B
B2 L' F L' U L2 B
B2 L' F L' U B L2
B2 L' F L2 U L' B
B2 L' F L2 U B L'
D' L' F U L R2 B'
D' L' F U L B' R2
L2 R' B2 R U L2 B'
D' L' F U R2 L B'
B2 L' F U L D B
B2 L' F U L D' B
B2 L' F U L D2 B
B2 L' F U L B D
B2 L' F U L B D'
B2 L' F U L B D2
B2 L' F U L' B L2
B2 L' F U L2 B L'
B2 L' F U D L B
B2 L' F U D' L B
B2 L' F U D2 L B
B2 L' F D U L B
B2 L' F D' U L B
B2 L' F D2 U L B
B2 L' F' L' U L2 B
B2 L' F' L' U B L2
B2 L' F' L2 U L' B
B2 L' F' L2 U B L'
D' L' F' U L R2 B'
D' L' F' U L B' R2
D' L' F' U R2 L B'
B2 L' F' U L D B
B2 L' F' U L D' B
B2 L' F' U L D2 B
B2 L' F' U L B D
B2 L' F' U L B D'
B2 L' F' U L B D2
B2 L' F' U L' B L2
B2 L' F' U L2 B L'
B2 L' F' U D L B
B2 L' F' U D' L B
B2 L' F' U D2 L B
B2 L' F' D U L B
B2 L' F' D' U L B
B2 L' F' D2 U L B
B2 L' F2 L' U L2 B
B2 L' F2 L' U B L2
B2 L' F2 L2 U L' B
B2 L' F2 L2 U B L'
D' L' F2 U L R2 B'
D' L' F2 U L B' R2
D' L' F2 U R2 L B'
B2 L' F2 U L D B
B2 L' F2 U L D' B
B2 L' F2 U L D2 B
B2 L' F2 U L B D
B2 L' F2 U L B D'
B2 L' F2 U L B D2
B2 L' F2 U L' B L2
B2 L' F2 U L2 B L'
B2 L' F2 U D L B
B2 L' F2 U D' L B
B2 L' F2 U D2 L B
D L' F2 U L R B'
D L' F2 U L B' R
D L' F2 U R L B'
B2 L' F2 D U L B
B2 L' F2 D' U L B
B2 L' F2 D2 U L B
B L' B U B' L B2
L R2 D' L' R2 F2 B'
L R2 D' L' R2 B' F2
L R2 D' L' F2 R2 B'
L R2 D' L' F2 B' R2
L R2 D' L' B' R2 F2
L R2 D' L' B' F2 R2
F' L' B2 U B2 L B'
F2 L' B2 U B2 L B'
L R2 D' R2 L' F2 B'
L R2 D' R2 L' B' F2
F L' B2 U B2 L B'
D2 L2 U L2 D R2 B'
D' L2 U L2 R B' R
D2 L2 U L2 D B' R2
D' L2 U L2 R2 D B'
D' L2 U L2 R2 D' B'
D' L2 U L2 R2 D2 B'
D' L2 U L2 R2 B' D
D' L2 U L2 R2 B' D'
D' L2 U L2 R2 B' D2
D2 L2 U L2 B' D R2
D' L2 U L2 B R2 B2
D' L2 U L2 B' R2 D
D' L2 U L2 B' R2 D'
D' L2 U L2 B' R2 D2
F' L2 U L2 D' R2 B'
F' L2 U L2 D' B' R2
D' L2 U R L2 B' R
B2 L2 U L D L B
B2 L2 U L D' L B
B2 L2 U L D2 L B
B2 L2 U L' D L' B
B2 L2 U L' D B L'
B2 L2 U L' D' L' B
B2 L2 U L' D' B L'
B2 L2 U L' D2 L' B
B2 L2 U L' D2 B L'
D' L2 U R2 L2 D B'
D' L2 U R2 L2 D' B'
D' L2 U R2 L2 D2 B'
D' L2 U R2 L2 B' D
D' L2 U R2 L2 B' D'
D' L2 U R2 L2 B' D2
F2 L2 U L2 D' R2 B'
F2 L2 U L2 D' B' R2
B2 L2 U L' B L' D
B2 L2 U L' B L' D'
B2 L2 U L' B L' D2
B2 L2 U L' B D L'
B2 L2 U L' B D' L'
B2 L2 U L' B D2 L'
B2 L2 U L' B' L' B2
D' L2 U R2 B L2 B'
D' L2 U R2 B' L2 B'
B2 L2 U L2 D B D
B2 L2 U L2 D B D'
B2 L2 U L2 D B D2
B2 L2 U L2 D' B D
B2 L2 U L2 D' B D'
B2 L2 U L2 D' B D2
D' L2 U R2 B2 L2 B'
B2 L2 U L2 D2 B D
B2 L2 U L2 D2 B D'
B2 L2 U L2 D2 B D2
B2 L2 U L2 B2 D B'
B2 L2 U L2 B2 D' B'
B2 L2 U L2 B2 D2 B'
B' L2 U F U' L2 F'
B' L2 U F U' F' L2
F L2 U L2 D' R2 B'
F L2 U L2 D' B' R2
B2 L2 U D B D' L2
D' L2 U B L2 R2 B'
D' L2 U B L2 B' R2
D' L2 U B R2 L2 B'
B2 L2 U D2 B D2 L2
B2 L2 U F L2 F' B
B2 L2 U F L2 B F'
D' L2 U B' L2 R2 B'
D' L2 U B' L2 B' R2
D' L2 U B' R2 L2 B'
B2 L2 U F B L2 F'
D' L2 U B2 L2 R2 B'
D' L2 U B2 L2 B' R2
D' L2 U B2 R2 L2 B'
B2 L2 U F2 L2 F2 B
B2 L2 U F2 L2 B F2
B2 L2 U F2 B L2 F2
B2 L2 U B L D L
B2 L2 U B L D' L
B2 L2 U B L D2 L
B2 L2 U B L' D L'
B2 L2 U B L' D' L'
B2 L2 U B L' D2 L'
B2 L2 U B F L2 F'
B2 L2 U B F2 L2 F2
B2 L2 U B' L' B2 L'
B2 L2 U B' L2 B2 D
B2 L2 U B' L2 B2 D'
B2 L2 U B' L2 B2 D2
D' L2 U' L2 B' R2 F'
D' L2 U' F U2 L2 R2
D' L2 U' F U2 R2 L2
B2 L2 U' R2 F' U2 L2
B2 L2 U' D2 R2 F' U2
B2 L2 U' F U2 L2 B
B2 L2 U' F U2 B L2
B2 L2 U' F' U2 L2 B
B2 L2 U' F' U2 B L2
B2 L2 U' F2 U2 L2 B
B2 L2 U' F2 U2 B L2
D L2 U2 L2 D F2 B'
D L2 U2 L2 D B' F2
D L2 U2 L2 B' D F2
B2 L2 U2 D' B2 U' B'
B2 L2 U2 B' U' L2 B2
B2 L2 U2 B' U' B2 L2
B2 L2 U2 B2 U' B' L2
B2 L2 D L F2 U B
B2 L2 D L' F2 U B
U2 L2 D L2 U2 F2 B'
U2 L2 D L2 U2 B' F2
B2 L2 D L2 F2 U B
R' L2 B2 R U L2 B'
B L2 D L2 F2 B U
B L2 D L2 B F2 U
B2 L2 D U B D' L2
D2 L2 D F2 U R2 B
U2 L2 D F L2 B' U2
B2 L2 D F2 L U B
B2 L2 D F2 L' U B
B2 L2 D F2 L2 U B
B2 L2 D F2 U D B
B2 L2 D F2 U D' B
B2 L2 D F2 U D2 B
B2 L2 D F2 U B D
B2 L2 D F2 U B D'
B2 L2 D F2 U B D2
B2 L2 D F2 D U B
B2 L2 D F2 D' U B
B2 L2 D F2 D2 U B
L2 R2 B2 R2 U L2 B'
B L2 D F2 L2 B U
R2 L2 B2 R2 U L2 B'
B L2 D F2 B L2 U
B L2 D B L2 F2 U
B L2 D B F2 L2 U
L' U L R D' R2 B'
L' U L R D' B' R2
L' U L R' D' R2 B'
L' U L R' D' B' R2
L' U L R2 D' R2 B'
L' U L R2 D' B' R2
L' U L U' B2 U B
B2 L2 D' U2 B2 U' B'
L' U L D B' D2 R2
L' U L D' R B' R
L' U L D' R2 D B'
L' U L D' R2 D' B'
L' U L D' R2 D2 B'
L' U L D' R2 B' D
L' U L D' R2 B' D'
L' U L D' R2 B' D2
U2 L2 D' F B2 U2 R2
L' U L D' B R2 B2
L' U L D' B' R2 D
L' U L D' B' R2 D'
L' U L D' B' R2 D2
L' U L D2 B' D R2
U2 L2 D' B2 F U2 R2
L' U L B' U' B' U
B2 L2 D2 U B D2 L2
B2 L2 D2 U' R2 F' U2
B2 L2 F L U L B
L2 U L' D' L' R2 B'
L2 U L' D' L' B' R2
L2 U L' D' R2 L' B'
B2 L2 F L' U L' B
B2 L2 F L' U B L'
U' L2 F U F' B2 U
U' L2 F U B2 F' U
B2 L2 F U L' B L'
B2 L2 F U L2 D B
B2 L2 F U L2 D' B
B2 L2 F U L2 D2 B
B2 L2 F U L2 B D
B2 L2 F U L2 B D'
B2 L2 F U L2 B D2
B2 L2 F U B L2 D
B2 L2 F U B L2 D'
B2 L2 F U B L2 D2
B2 L2 F U B' L2 B2
L2 U L2 R D' R2 B'
L2 U L2 R D' B' R2
L' U L2 D' L' R2 B'
L' U L2 D' L' B' R2
U2 L2 F D L2 U2 F2
L' U L2 D' R2 L' B'
L2 U L2 R' D' R2 B'
L2 U L2 R' D' B' R2
B2 L2 F D F2 U B
L2 U L2 R2 D' R2 B'
L2 U L2 R2 D' B' R2
D L2 F U2 L2 D F2
U2 L2 F D' B2 U2 R2
L2 U L2 U' B2 U B
B2 L2 F' L U L B
L2 U L2 D B' D2 R2
L2 U L2 D' R B' R
L2 U L2 D' R2 D B'
L2 U L2 D' R2 D' B'
L2 U L2 D' R2 D2 B'
L2 U L2 D' R2 B' D
L2 U L2 D' R2 B' D'
L2 U L2 D' R2 B' D2
B L2 F B U L2 B
B L2 F B U B L2
L2 U L2 D' B R2 B2
L2 U L2 D' B' R2 D
L2 U L2 D' B' R2 D'
L2 U L2 D' B' R2 D2
B2 L2 F' L' U L' B
B2 L2 F' L' U B L'
L2 U L2 D2 B' D R2
L' U R L D' R2 B'
L' U R L D' B' R2
B2 L2 F' U L' B L'
B2 L2 F' U L2 D B
B2 L2 F' U L2 D' B
B2 L2 F' U L2 D2 B
B2 L2 F' U L2 B D
B2 L2 F' U L2 B D'
B2 L2 F' U L2 B D2
L2 U L2 B' U' B' U
B2 L2 F' U B L2 D
B2 L2 F' U B L2 D'
B2 L2 F' U B L2 D2
B2 L2 F' U B' L2 B2
B2 L2 F' D F2 U B
L2 U R L2 D' R2 B'
L2 U R L2 D' B' R2
B2 L2 F2 L U L B
B L2 F' B U L2 B
B L2 F' B U B L2
B2 L2 F2 L' U L' B
B2 L2 F2 L' U B L'
D' L2 F2 U L2 R2 B
D' L2 F2 U R2 L2 B
D' L2 F2 U R2 B L2
L' U R' L D' R2 B'
L' U R' L D' B' R2
B2 L2 F2 U L' B L'
B2 L2 F2 U L2 D B
B2 L2 F2 U L2 D' B
B2 L2 F2 U L2 D2 B
B2 L2 F2 U L2 B D
B2 L2 F2 U L2 B D'
B2 L2 F2 U L2 B D2
B2 L2 F2 U B L2 D
B2 L2 F2 U B L2 D'
B2 L2 F2 U B L2 D2
B2 L2 F2 U B' L2 B2
B2 L2 F2 D F2 U B
L2 U R' L2 D' R2 B'
L2 U R' L2 D' B' R2
B L2 F2 B U L2 B
B L2 F2 B U B L2
D' L2 B U L2 R2 B'
D' L2 B U L2 B' R2
D' L2 B U R2 L2 B'
B L2 B L U L B
L' U R2 L D' R2 B'
L' U R2 L D' B' R2
