F2 L D' B2 L R
F2 L D' B2 R L
R' L' U' R2 U' F2
L' R' U' R2 U' F2
R' L' U2 F2 D B2
L' R' U2 F2 D B2
R U L' R2 U2 F2
R U R2 L' U2 F2
R U R2 U2 F2 R
B2 R U' F2 L R
B2 R U' F2 R L
R' U' R2 U' F2 R
R U' R F2 L' R
R U' R F2 R L'
R U' F2 D2 L2 R
R U' F2 D2 R L2
R' U2 F2 D R B2
R' U2 F2 D B2 R
R2 F2 L' R D B2
R2 F2 R L' D B2
R2 F2 R D L' B2
R2 F2 R D B2 L'
R' F2 D R B2 L
B2 F2 L R D' B2
F2 B2 L R D' B2
B2 F2 L D' R B2
B2 F2 L D' B2 R
F2 B2 L D' R B2
F2 B2 L D' B2 R
B2 F2 R L D' B2
F2 B2 R L D' B2
L' R' B' U' R2 U' F2
R' L' B' U2 F2 D B2
L' R' B' U2 F2 D B2
R' L' B2 U' R2 U' F2
L' R' B2 U' R2 U' F2
R' L' B2 U2 F2 D B2
L' R' B2 U2 F2 D B2
R L2 U L R2 U2 F2
R L2 U R2 L U2 F2
R' L2 U2 F2 D B2 R'
D2 L' B2 U' R U' L
D' L2 R U L R2 U2
D' L2 R U R2 L U2
D' L2 R D B2 U' R'
R U L' R U2 F2 L'
R U L' R2 U2 F2 D
R U L' R2 U2 F2 D'
R U L' R2 U2 F2 D2
R U L' R2 D2 B2 U2
R U L' R2 B U2 F2
R U L' R2 B' U2 F2
R U L' R2 B2 U2 F2
R U L' U2 F2 D2 L2
R U L' D2 B2 U2 L2
R U L' B R2 U2 F2
R U L' B' R2 U2 F2
R U L' B2 R2 U2 F2
R U R L' U2 F2 L'
R U R U2 F2 L' R
R U R U2 F2 R L'
R U R2 L' U2 F2 D
R U R2 L' U2 F2 D'
R U R2 L' U2 F2 D2
R U R2 L' D2 B2 U2
R U R2 L' B U2 F2
R U R2 L' B' U2 F2
R U R2 L' B2 U2 F2
R U R2 U2 R F2 R
R U R2 U2 R' F2 R
R U R2 U2 R2 F2 R
R U R2 U2 F2 R D
R U R2 U2 F2 R D'
R U R2 U2 F2 R D2
R U R2 U2 F2 D R
R U R2 U2 F2 D' R
R U R2 U2 F2 D2 R
R U R2 D2 L' B2 U2
R U R2 D2 B2 L' U2
R U R2 B L' U2 F2
R U R2 B U2 F2 R
R U R2 B' L' U2 F2
R U R2 B' U2 F2 R
R U R2 B2 L' U2 F2
R U R2 B2 U2 F2 R
D' L2 B2 R U' L R2
D' L2 B2 R U' R2 L
F2 L2 B2 L R D B2
F2 L2 B2 R L D B2
F2 L2 B2 R D L B2
F2 R L D' B2 D' L2
F2 R L D2 L2 D B2
R U D2 L' B2 U2 L'
F2 R L' D2 L2 D' B2
D' R L2 U L R2 U2
R U D2 B2 L' U2 L'
D' R L2 U R2 L U2
D' R L2 D B2 U' R'
D2 R U L' R2 B2 U2
D2 R U L' B2 R2 U2
U' R U L' R2 U2 F2
D2 R U R2 L' B2 U2
B2 R U L' U2 L2 F2
B2 R U L' U2 F2 L2
D2 R U R2 B2 L' U2
U2 R U L' R2 U2 F2
U' R U R2 L' U2 F2
U' R U R2 U2 F2 R
U2 R U R2 L' U2 F2
U2 R U R2 U2 F2 R
D2 R U B2 L' R2 U2
U R U L' R2 U2 F2
D2 R U B2 R2 L' U2
R2 U F2 L' R D B2
U R U R2 L' U2 F2
U R U R2 U2 F2 R
R2 U F2 R L' D B2
R2 U F2 R D L' B2
R2 U F2 R D B2 L'
B2 R U' L F2 D2 R2
U' R U' R F2 L' R
U' R U' R F2 R L'
F2 R U' L' U D2 L2
F2 R U' L' U' R2 U2
F2 R U' L' D' F2 U
F2 R U' L' D2 U L2
B2 R U' R F2 L R
B2 R U' R F2 R L
D2 R U' D2 F2 L2 R
D2 R U' D2 F2 R L2
B2 R U' R' F2 L R
B2 R U' R' F2 R L
U2 R U' R F2 L' R
U2 R U' R F2 R L'
B2 R U' R2 F2 L R
B2 R U' R2 F2 R L
F2 R U' D' L' F2 U
F2 R U' D2 L' U L'
U' R U' F2 D2 L2 R
U' R U' F2 D2 R L2
B2 R U' F' L F' R
B2 R U' F2 L R D
B2 R U' F2 L R D'
B2 R U' F2 L R D2
B2 R U' F2 L D R
B2 R U' F2 L D' R
B2 R U' F2 L D2 R
B2 R U' F2 R L D
B2 R U' F2 R L D'
B2 R U' F2 R L D2
B2 R U' F2 R D L
B2 R U' F2 R D' L
B2 R U' F2 R D2 L
B2 R U' F2 D L R
B2 R U' F2 D R L
B2 R U' F2 D' L R
B2 R U' F2 D' R L
B2 R U' F2 D2 L R
B2 R U' F2 D2 R L
U R U' R F2 L' R
U R U' R F2 R L'
R U F2 D2 L2 R B2
R U F2 D2 L2 B2 R
R U F2 D2 R L2 B2
R U F2 D2 R B2 L2
U2 R U' F2 D2 L2 R
U2 R U' F2 D2 R L2
R U F2 D2 B2 L2 R
R U F2 D2 B2 R L2
R U B L' R2 U2 F2
U R U' F2 D2 L2 R
U R U' F2 D2 R L2
F2 R U2 R2 U L' U
R U B R2 L' U2 F2
R U B R2 U2 F2 R
D2 R D L2 B2 U' R'
R U B' L' R2 U2 F2
R U B' R2 L' U2 F2
R U B' R2 U2 F2 R
D' R D B2 U' F2 R
F2 R D' L D' L2 B2
F2 R D' L D' B2 L2
R U B2 L' R2 U2 F2
R U B2 R2 L' U2 F2
R U B2 R2 U2 F2 R
F2 R D' U' L' F2 U
F2 R D2 L D' L B2
D2 R D2 U' F2 L2 R
D2 R D2 U' F2 R L2
F2 R D2 L2 U' L U
F2 R D2 U' L' U L'
R U' L F2 D2 L2 R2
R U' L F2 D2 R2 L2
L' U' R U R2 U2 F2
B2 R F' U' L F' R
B2 R F' U' F' L R
B2 R F' U' F' R L
L' U' R U' F2 D2 L2
R U' R F2 L' R D
R U' R F2 L' R D'
R U' R F2 L' R D2
R U' R F2 L' D R
R U' R F2 L' D' R
R U' R F2 L' D2 R
R U' R F2 R L' D
R U' R F2 R L' D'
R U' R F2 R L' D2
R U' R F2 R D L'
R U' R F2 R D' L'
R U' R F2 R D2 L'
R U' R F2 D L' R
R U' R F2 D R L'
R U' R F2 D' L' R
R U' R F2 D' R L'
R U' R F2 D2 L' R
R U' R F2 D2 R L'
R' U' R2 U L' U2 F2
R' U' R2 U' R F2 R
R' U' R2 U' R' F2 R
R' U' R2 U' R2 F2 R
R' U' R2 U' F2 R D
R' U' R2 U' F2 R D'
R' U' R2 U' F2 R D2
R' U' R2 U' F2 D R
R' U' R2 U' F2 D' R
R' U' R2 U' F2 D2 R
R' U' R2 F' U' F' R
B R B U' F2 L R
B R B U' F2 R L
R U' R' F2 R D2 L2
B' R B' U' F2 L R
B' R B' U' F2 R L
D' R' L' U' L' R2 U'
D' R' L' U' R2 L' U'
U' R' L' U' R2 U' F2
U' R' L' U2 F2 D B2
U2 R' L' U' R2 U' F2
U2 R' L' U2 F2 D B2
D2 R' L' B2 U' R2 U'
D2 R' L' B2 U2 D B2
D2 R' L' B2 D U2 B2
D2 R' L' B2 D' F2 U2
U R' L' U' R2 U' F2
U R' L' U2 F2 D B2
R U' F D2 F L2 R
R U' F D2 F R L2
R2 U' F2 L' R D B2
R2 U' F2 R L' D B2
R2 U' F2 R D L' B2
R2 U' F2 R D B2 L'
U' R' U' R2 U' F2 R
R U' F2 L D2 L2 R
R U' F2 L D2 R L2
R U' F2 L' D2 L2 R
R U' F2 L' D2 R L2
R U' F2 L2 D2 L2 R
R U' F2 L2 D2 R L2
R U' F2 R U2 R U2
R U' F2 R F2 L' F2
U2 R' U' R2 U' F2 R
R U' F2 U2 R2 U2 R'
R U' F2 D R D L2
R U' F2 D' R D' L2
R U' F2 D2 L2 R D
R U' F2 D2 L2 R D'
R U' F2 D2 L2 R D2
R U' F2 D2 L2 D R
R U' F2 D2 L2 D' R
R U' F2 D2 L2 D2 R
R U' F2 D2 R L2 D
R U' F2 D2 R L2 D'
R U' F2 D2 R L2 D2
U R' U' R2 U' F2 R
D' R' U2 D F2 R B2
D' R' U2 D F2 B2 R
D' R' U2 D B2 F2 R
U' R' U2 F2 D R B2
U' R' U2 F2 D B2 R
D' R' D L' U2 F2 B2
D' R' D L' U2 B2 F2
U2 R' U2 F2 D R B2
U2 R' U2 F2 D B2 R
D' R' D U2 F2 R B2
D' R' D U2 F2 B2 R
D' R' D U2 B2 F2 R
D' R' D F2 R B2 L
L' U' B2 R U' L F2
L' U' B2 R U' F2 L
U R' U2 F2 D R B2
U R' U2 F2 D B2 R
D' R' D' L' F2 B2 U2
D' R' D' L' B2 F2 U2
D' R' D' F2 B2 U2 R
D' R' D' B2 L' F2 U2
D' R' D' B2 F2 U2 R
B2 R' F2 L D R B2
B2 R' F2 L D B2 R
U' R' F2 D R B2 L
R U2 R U F2 L' R
R U2 R U F2 R L'
B2 R' F2 D L R B2
B2 R' F2 D L B2 R
B2 R' F2 D R L B2
R' U2 R' F2 R D B2
U2 R' F2 D R B2 L
U R' F2 D R B2 L
D2 R' B2 L' U' R2 U'
D2 R' B2 L' U2 D B2
D2 R' B2 L' D U2 B2
D2 R' B2 L' D' F2 U2
R' U2 D B2 D' F2 R
D2 R' B2 D L' U2 B2
D2 R' B2 D' L' F2 U2
D2 R' B2 D' F2 U2 R
R' U2 F D F R B2
R' U2 F D F B2 R
R' U2 F D B2 F R
R' U2 F2 R U R U'
L' U2 F2 L D' B2 L
R' U2 F2 U R2 U' R'
R' U2 F2 D R B2 D
R' U2 F2 D R B2 D'
R' U2 F2 D R B2 D2
R' U2 F2 D R' B2 R2
R' U2 F2 D B' R B'
R' U2 F2 D B2 R D
R' U2 F2 D B2 R D'
R' U2 F2 D B2 R D2
R' U2 F2 D B2 D R
R' U2 F2 D B2 D' R
R' U2 F2 D B2 D2 R
R' U2 F2 D' R D2 B2
R' U2 F2 D2 R D' B2
R' U2 F2 B D R B2
R' U2 F2 B D B2 R
R' U2 F2 B' D R B2
R' U2 F2 B' D B2 R
R2 U2 F2 L' R D B2
R' U2 F2 B2 D R B2
R' U2 F2 B2 D B2 R
R2 U2 F2 R L' D B2
R2 U2 F2 R D L' B2
R2 U2 F2 R D B2 L'
L' U2 F2 B2 L D' B2
R' U2 B F2 D R B2
R' U2 B F2 D B2 R
R' U2 B' F2 D R B2
R' U2 B' F2 D B2 R
R' U2 B2 F2 D R B2
R' U2 B2 F2 D B2 R
L' U2 B2 F2 L D' B2
R' D L' U R2 U B2
R' D L' U2 B2 D' F2
U' R2 F2 L' R D B2
U' R2 F2 R L' D B2
B2 R2 F2 L R D B2
U' R2 F2 R D L' B2
U' R2 F2 R D B2 L'
B2 R2 F2 R L D B2
B2 R2 F2 R D L B2
U2 R2 F2 L' R D B2
U2 R2 F2 R L' D B2
U2 R2 F2 R D L' B2
U2 R2 F2 R D B2 L'
U R2 F2 L' R D B2
U R2 F2 R L' D B2
U R2 F2 R D L' B2
U R2 F2 R D B2 L'
R' D U2 B2 D' F2 R
B2 U R U' F2 L R
B2 U R U' F2 R L
B U R B U' F2 R
R D B2 U' D' F2 R
R D B2 D' U' F2 R
R' D' L' F2 U R U
B2 U F2 L R D' B2
B2 U F2 L D' R B2
B2 U F2 L D' B2 R
B2 U F2 R L D' B2
R D' L2 D2 B2 U' R'
L' D' R' U' L2 R2 U'
L' D' R' U' R2 L2 U'
L' D' R' U2 D F2 B2
L' D' R' U2 D B2 F2
L' D' R' D U2 F2 B2
L' D' R' D U2 B2 F2
L' D' R' D' F2 B2 U2
L' D' R' D' B2 F2 U2
F2 U' L' U R D2 L2
F2 U' L' U' R' U2 R2
F2 U' L' B2 U L R
F2 U' L' B2 U R L
R' D' F2 U' L2 U' R
R' D' F2 U2 R D F2
R' D' F2 U2 D R F2
R' D' F2 D U2 R F2
R' D' F2 D' B2 U2 R
B2 U' R U' F2 L R
B2 U' R U' F2 R L
F' U' R' F' U2 R F'
R' D2 L' B2 U L' U
F' U' F' R D2 L2 B
F' U' F' R D2 B L2
F' U' F' R B D2 L2
F' U' F' B R B L
F' U' F' B2 L R B
F' U' F' B2 R L B
B2 U' F2 L R D' B2
B2 U' F2 L D' R B2
B2 U' F2 L D' B2 R
B2 U' F2 R L D' B2
L' D2 R' B2 U' R2 U'
L' D2 R' B2 U2 D B2
L' D2 R' B2 D U2 B2
L' D2 R' B2 D' F2 U2
F' U' B F' R B L
F' U' B2 L F' R B
F2 U' B2 L' U L2 R
F2 U' B2 L' U R L2
F' U' B2 F' L R B
F' U' B2 F' R L B
R D2 U L' B2 U2 L'
R D2 U B2 L' U2 L'
B2 U2 R U' F2 L R
B2 U2 R U' F2 R L
F2 U2 R' U L' U R2
R' D2 B2 L' U L' U
R' D2 B2 D L' F2 U2
R' D2 B2 D F2 U2 R
R' D2 B2 D' L' U2 B2
L' D2 B2 U' R U' L
B2 U2 F2 L R D' B2
B2 U2 F2 L D' R B2
B2 U2 F2 L D' B2 R
B2 U2 F2 R L D' B2
F2 D L D' B2 L R
F2 D L D' B2 R L
L' F D R' U2 F B
L' F D R' U2 B F
R' F D F R B2 L
R' F D' F2 U2 F' R
F2 D B2 L R D' B2
F2 D B2 L D' R B2
F2 D B2 L D' B2 R
F2 D B2 R L D' B2
F2 D' L D' B2 L R
F2 D' L D' B2 R L
R' F' U2 F' D R B2
R' F' U2 F' D B2 R
R F' U' F' D2 L2 R
R F' U' F' D2 R L2
U' F2 L D' B2 L R
U' F2 L D' B2 R L
R' F2 L D R B2 L
U2 F2 L D' B2 L R
U2 F2 L D' B2 R L
R' F2 L' D R B2 L
R2 F2 L' R U R2 U'
R2 F2 L' R D B2 D
R2 F2 L' R D B2 D'
R2 F2 L' R D B2 D2
R2 F2 L' R B D B2
R2 F2 L' R B' D B2
R2 F2 L' R B2 D B2
R' F2 L2 D R B2 L
R2 F2 L' U R' U' R2
U F2 L D' B2 L R
U F2 L D' B2 R L
L F2 L D' B2 L R'
L F2 L D' B2 R' L
R2 F2 L' D R D B2
R2 F2 L' D' R D B2
R2 F2 L' D2 R D B2
R2 F2 L2 R D L B2
R2 F2 R L' U R2 U'
R2 F2 R L' D B2 D
R2 F2 R L' D B2 D'
R2 F2 R L' D B2 D2
F D' F B2 L R B'
F D' F B2 L B' R
F D' F B2 R L B'
R2 F2 R L' B D B2
R2 F2 R L' B' D B2
R2 F2 R L' B2 D B2
R2 F2 R L2 D L B2
R2 F2 R U R2 U' L'
R2 F2 R D L B2 L2
R2 F2 R D L' B2 D
R2 F2 R D L' B2 D'
R2 F2 R D L' B2 D2
R2 F2 R D B L' B
R2 F2 R D B2 L' D
R2 F2 R D B2 L' D'
R2 F2 R D B2 L' D2
R2 F2 R D B2 D L'
R2 F2 R D B2 D' L'
R2 F2 R D B2 D2 L'
R2 F2 R D' L' D2 B2
R2 F2 R B L' D B2
R2 F2 R B D L' B2
R2 F2 R B D B2 L'
R2 F2 R B' L' D B2
R2 F2 R B' D L' B2
R2 F2 R B' D B2 L'
R2 F2 R B2 L' D B2
R2 F2 R B2 D L' B2
R2 F2 R B2 D B2 L'
F2 D' B2 L R D' B2
F2 D' B2 L D' R B2
F2 D' B2 L D' B2 R
F2 D' B2 R L D' B2
R2 F2 U R' U' L' R2
R2 F2 U R' U' R2 L'
F2 D2 L D' B2 L R
F2 D2 L D' B2 R L
R' F2 D L R B2 L
R' F2 D L' R B2 L
R' F2 D L2 R B2 L
R' F2 D R L B2 L
R' F2 D R L' B2 L
R' F2 D R L2 B2 L
R' F2 D R B2 L D
R' F2 D R B2 L D'
R' F2 D R B2 L D2
R' F2 D R B2 D L
R' F2 D R B2 D' L
R' F2 D R B2 D2 L
F D' B2 F L R B'
F D' B2 F L B' R
F D' B2 F R L B'
R' F2 D' R D2 B2 L
R2 F2 D L' R D B2
R2 F2 D R L' D B2
R2 F2 D R D L' B2
R2 F2 D R D B2 L'
R' F2 D' F2 L' U2 F2
R' F2 D' F2 U2 F2 R
R' F2 D2 R D' B2 L
R2 F2 D' L' R D B2
R2 F2 D' R L' D B2
R2 F2 D' R D L' B2
R2 F2 D' R D B2 L'
R2 F2 D2 L' R D B2
R2 F2 D2 R L' D B2
R2 F2 D2 R D L' B2
R2 F2 D2 R D B2 L'
R' F2 B D R B2 L
U' F2 B2 L R D' B2
R' F2 B' D R B2 L
U' F2 B2 L D' R B2
U' F2 B2 L D' B2 R
U' F2 B2 R L D' B2
R' F2 B2 D R B2 L
U2 F2 B2 L R D' B2
L2 F2 B2 L R' D' B2
U2 F2 B2 L D' R B2
U2 F2 B2 L D' B2 R
L2 F2 B2 L D' R' B2
U2 F2 B2 R L D' B2
L2 F2 B2 R' L D' B2
R2 F2 B2 L' R D' B2
R2 F2 B2 L' D' R B2
R2 F2 B2 L' D' B2 R
R2 F2 B2 R L' D' B2
R' B L' U' R2 U' F2
U F2 B2 L R D' B2
L F2 B2 L D' B2 R'
U F2 B2 L D' R B2
R' B L' U2 F2 D B2
U F2 B2 L D' B2 R
U F2 B2 R L D' B2
F2 D2 B2 L R D' B2
F2 D2 B2 L D' R B2
F2 D2 B2 L D' B2 R
F2 D2 B2 R L D' B2
R' B U' R2 U' F2 R
R2 B U F2 L' R B
R2 B U F2 R L' B
R2 B U F2 R B L'
R B U L' R2 U2 F2
R' B U2 F2 D R B2
R' B U2 F2 D B2 R
R B U R2 L' U2 F2
R B U R2 U2 F2 R
R2 B U' F2 L' R B'
R2 B U' F2 L' B' R
R2 B U' F2 R L' B'
R B U' R F2 L' R
R B U' R F2 R L'
R B U' F2 D2 L2 R
R B U' F2 D2 R L2
F2 B R B L D' B2
R' B F2 D R B2 L
R' B' L' U' R2 U' F2
R' B' L' U2 F2 D B2
B2 F D' F L R B'
B2 F D' F L B' R
B2 F D' F R L B'
R' B' U' R2 U' F2 R
R' B' U2 F2 D R B2
R' B' U2 F2 D B2 R
R B' U L' R2 U2 F2
R B' U R2 L' U2 F2
R B' U R2 U2 F2 R
F2 B' R B' L D' B2
R B' U' R F2 L' R
R B' U' R F2 R L'
R B' U' F2 D2 L2 R
R B' U' F2 D2 R L2
B2 F' U' L F' R B
B2 F' U' F' L R B
B2 F' U' F' R L B
R' B' F2 D R B2 L
L2 B2 L R' F2 D B2
R' B2 L' U' R2 U' F2
D2 B2 L' U' R U' L2
R' B2 L' U2 F2 D B2
U' B2 R U' F2 L R
U' B2 R U' F2 R L
B2 F2 L R U' L2 U
B2 F2 L R D' B2 D
B2 F2 L R D' B2 D'
B2 F2 L R D' B2 D2
B2 F2 L R B D' B2
B2 F2 L R B' D' B2
B2 F2 L R B2 D' B2
B2 F2 L R2 D' R' B2
F2 B2 L R U' L2 U
F2 B2 L R D' B2 D
F2 B2 L R D' B2 D'
F2 B2 L R D' B2 D2
F2 B2 L R B D' B2
F2 B2 L R B' D' B2
F2 B2 L R B2 D' B2
B2 F2 L U' L2 U R
F2 B2 L R2 D' R' B2
B2 F2 L D R D2 B2
F2 B2 L U' L2 U R
B2 F2 L D' R B2 D
B2 F2 L D' R B2 D'
B2 F2 L D' R B2 D2
B2 F2 L D' R' B2 R2
B2 F2 L D' B' R B'
B2 F2 L D' B2 R D
B2 F2 L D' B2 R D'
B2 F2 L D' B2 R D2
B2 F2 L D' B2 D R
B2 F2 L D' B2 D' R
B2 F2 L D' B2 D2 R
F2 B2 L D R D2 B2
F2 B2 L D' R B2 D
F2 B2 L D' R B2 D'
F2 B2 L D' R B2 D2
F2 B2 L D' R' B2 R2
F2 B2 L D' B' R B'
F2 B2 L D' B2 R D
F2 B2 L D' B2 R D'
F2 B2 L D' B2 R D2
F2 B2 L D' B2 D R
F2 B2 L D' B2 D' R
F2 B2 L D' B2 D2 R
B2 F2 L B R D' B2
B2 F2 L B D' R B2
B2 F2 L B D' B2 R
B2 F2 L B' R D' B2
B2 F2 L B' D' R B2
B2 F2 L B' D' B2 R
B2 F2 L B2 R D' B2
F2 B2 L B R D' B2
B2 F2 L B2 D' R B2
B2 F2 L B2 D' B2 R
F2 B2 L B D' R B2
F2 B2 L B D' B2 R
F2 B2 L B' R D' B2
F2 B2 L B' D' R B2
F2 B2 L B' D' B2 R
L2 B2 R U' L R2 F2
L2 B2 R U' L F2 R2
F2 B2 L B2 R D' B2
L2 B2 R U' R2 L F2
L2 B2 R U' R2 F2 L
L2 B2 R U' F2 L R2
F2 B2 L B2 D' R B2
L2 B2 R U' F2 R2 L
F2 B2 L B2 D' B2 R
U2 B2 R U' F2 L R
U2 B2 R U' F2 R L
L2 B2 R' L F2 D B2
L2 B2 R' F2 L D B2
L2 B2 R' F2 D L B2
U B2 R U' F2 L R
U B2 R U' F2 R L
B2 F2 R L U' L2 U
B2 F2 R L D' B2 D
B2 F2 R L D' B2 D'
B2 F2 R L D' B2 D2
B2 F2 R L B D' B2
B2 F2 R L B' D' B2
B2 F2 R L B2 D' B2
F2 B2 R L U' L2 U
B' F2 R B' L D' B2
F2 B2 R L D' B2 D
F2 B2 R L D' B2 D'
F2 B2 R L D' B2 D2
F2 B2 R L B D' B2
F2 B2 R L B' D' B2
F2 B2 R L B2 D' B2
B2 F2 R U' L' U L2
B2 F2 R D L D' B2
F2 B2 R U' L' U L2
B2 F2 R D' L D' B2
B2 F2 R D2 L D' B2
F2 B2 R D L D' B2
F2 B2 R D' L D' B2
F2 B2 R D2 L D' B2
R' B2 U' R2 U' F2 R
L' B2 U' R U' L F2
L' B2 U' R U' F2 L
B F2 R B L D' B2
B2 F2 R2 L D' R' B2
F2 B2 R2 L D' R' B2
R' B2 U2 F2 D R B2
R' B2 U2 F2 D B2 R
L' B2 U2 F2 L D' B2
R B2 U L' R2 U2 F2
R B2 U R2 L' U2 F2
R B2 U R2 U2 F2 R
F' B2 U' L F' R B
B2 F2 U' L' U L2 R
B2 F2 U' L' U R L2
R B2 U' R F2 L' R
R B2 U' R F2 R L'
F2 B2 U' L' U L2 R
F2 B2 U' L' U R L2
F' B2 U' F' L R B
F' B2 U' F' R L B
R B2 U' F2 D2 L2 R
R B2 U' F2 D2 R L2
