D' L2 R2 F B' U
D' L2 R2 B' F U
D' L2 F R2 B' U
D' L2 F B' R2 U
D' L2 B' R2 F U
D' L2 B' F R2 U
D' R2 L2 F B' U
D' R2 L2 B' F U
D R2 F B' L2 U'
D R2 B' F L2 U'
D F R2 B' L2 U'
D2 F B' U' F B'
D2 F B' U' B' F
D F B' L2 R2 U'
D F B' R2 L2 U'
F D B' L2 U' B'
B' F L2 U' F B'
B' F L2 U' B' F
B' F U F B' U2
B' F U B' F U2
D B' R2 F L2 U'
F B' L2 U' F B'
F B' L2 U' B' F
D2 B' F U' F B'
D2 B' F U' B' F
D B' F L2 R2 U'
F B' U F B' U2
D B' F R2 L2 U'
F B' U B' F U2
F2 B2 U' F' B U'
B2 F2 U' F' B U'
F2 B2 U' B F' U'
B2 F2 U' B F' U'
U F D B' L2 U' B'
D' F D2 B' L2 R2 U'
D' F D2 B' R2 L2 U'
R F D B' L2 U' B'
U' F B' L2 U' F B'
U' F B' L2 U' B' F
R' F B' L2 U' F B'
R' F B' L2 U' B' F
B' D R2 F L2 U' F
D2 F B' R U' F B'
D2 F B' R U' B' F
B' D R2 F U B' U2
F D R B' L2 U' B'
U' F B' U F B' U2
U' F B' U B' F U2
D2 F B' R' U' F B'
D2 F B' R' U' B' F
D2 F B' R2 U' F B'
D2 F B' R2 U' B' F
R' F B' U F B' U2
R' F B' U B' F U2
D' F B' U' D' F2 B2
D' F B' U' D' B2 F2
D2 F B' U' D F B'
D2 F B' U' D B' F
D2 F B' U' D' F B'
D2 F B' U' D' B' F
D2 F B' U' D2 F B'
D2 F B' U' D2 B' F
D2 F B' U' F D B'
D2 F B' U' F D' B'
D2 F B' U' F D2 B'
D2 F B' U' F B' D
D2 F B' U' F B' D'
D2 F B' U' F B' D2
D2 F B' U' B' D F
D2 F B' U' B' D' F
D2 F B' U' B' D2 F
D2 F B' U' B' F D
D2 F B' U' B' F D'
D2 F B' U' B' F D2
D' F B' U2 L2 R2 U
D' F B' U2 R2 L2 U
D2 F B' D U' F B'
D2 F B' D U' B' F
D F B L2 R2 B2 U'
F' D R2 B D L2 F2
D' F B' D' U' F2 B2
D' F B' D' U' B2 F2
F' D R2 B D F2 L2
D F B L2 B2 R2 U'
D2 F B' D' U' F B'
D2 F B' D' U' B' F
D' F B' D2 L2 R2 U'
D' F B' D2 R2 L2 U'
D2 F B' D2 U' F B'
D2 F B' D2 U' B' F
D F B R2 L2 B2 U'
U2 F B' L2 U' F B'
U2 F B' L2 U' B' F
L2 F B' L2 U F B'
L2 F B' L2 U B' F
D F B R2 B2 L2 U'
U2 F B' U F B' U2
U2 F B' U B' F U2
F D R' B' L2 U' B'
R2 F B' L2 U' F B'
R2 F B' L2 U' B' F
L2 F B' U' F B' U2
L2 F B' U' B' F U2
D F B' L2 R2 U' D
D F B' L2 R2 U' D'
D F B' L2 R2 U' D2
D F B' L2 R2 D U'
D F B' L2 R2 D' U'
D F B' L2 R2 D2 U'
D F B' L2 U' D B2
D F B' L2 D U' B2
R2 F B' U F B' U2
R2 F B' U B' F U2
B D R2 F U' L2 F2
B D R2 F U' F2 L2
D F B' R2 L2 U' D
D F B' R2 L2 U' D'
D F B' R2 L2 U' D2
D F B' R2 L2 D U'
D F B' R2 L2 D' U'
D F B' R2 L2 D2 U'
D F B' R2 U' D F2
D F B' R2 D U' F2
D F B' U' D F2 B2
D F B' U' D B2 F2
U F B' L2 U' F B'
U F B' L2 U' B' F
D F B' D U' F2 B2
D F B' D U' B2 F2
F D R2 B' L2 U' B'
R F B' L2 U' F B'
R F B' L2 U' B' F
U F B' U F B' U2
U F B' U B' F U2
B2 D U' F B R2 U'
D F B2 L2 B R2 U'
F2 D U' F' B' L2 U'
B2 D U' B R2 F U'
R F B' U F B' U2
B2 D U' B F R2 U'
R F B' U B' F U2
F2 D U' B' L2 F' U'
F2 D U' B' F' L2 U'
B' D F L2 R2 U' F
B' D F R2 L2 U' F
B' D F R2 U B' U2
B D F R2 U' L2 F'
B D F R2 U' F' L2
F2 D F' B' L2 U' B'
D F' L2 F2 R2 B U'
F' D B' L2 U' R2 B
F D B L2 B2 U' B
F2 D B' F' L2 U' B'
D F' R2 F2 B' L2 U'
D F' R2 B' L2 F2 U'
D F' R2 B' F2 L2 U'
F D B' L2 R U' B'
F D B' L2 R' U' B'
F D B' L2 R2 U' B'
F D B' L2 U' D B'
F D B' L2 U' D' B'
F D B' L2 U' D2 B'
F D B' L2 U' B' D
F D B' L2 U' B' D'
F D B' L2 U' B' D2
F D B' L2 D U' B'
F D B' L2 D' U' B'
F D B' L2 D2 U' B'
F D B' R L2 U' B'
F D B' R' L2 U' B'
F D B' R2 L2 U' B'
F D B2 L2 B U' B2
D F' B' L2 R2 F2 U'
D F' B' L2 F2 R2 U'
D F' B' R2 L2 F2 U'
D F' B' R2 F2 L2 U'
B' D' U2 L2 B' U F
B' D' F U2 L2 U F
D' F2 L2 R2 F B U
D' F2 L2 R2 B F U
D' F2 R2 L2 F B U
D' F2 R2 L2 B F U
D2 F2 U F' B' U' B'
D2 F2 U B' F' U' B'
F D' B' D2 L2 U' B'
U' F2 B2 U' F' B U'
U' F2 B2 U' B F' U'
R' F2 B2 U' F' B U'
R' F2 B2 U' B F' U'
D2 F2 B2 U F' B U'
D2 F2 B2 U B F' U'
D F2 B' L2 F' R2 U'
L2 F2 B2 U F' B U
L2 F2 B2 U B F' U
U2 F2 B2 U' F' B U'
U2 F2 B2 U' B F' U'
B2 D2 U' F B U' B
R2 F2 B2 U' F' B U'
R2 F2 B2 U' B F' U'
B2 D2 U' B F U' B
F2 D2 U' F' B' U' F'
F2 D2 U' B' F' U' F'
B' D2 F L2 U' F B2
B' D2 F L2 U' B2 F
U F2 B2 U' F' B U'
U F2 B2 U' B F' U'
B' D2 F U B' U2 B'
R F2 B2 U' F' B U'
R F2 B2 U' B F' U'
D B L2 B2 R2 F' U'
D B R2 F L2 B2 U'
D B R2 F B2 L2 U'
D B R2 B2 F L2 U'
F D2 B' L2 U' F2 B'
F D2 B' L2 U' B' F2
F D2 B' U F U2 F
F D2 B' D' L2 U' B'
B' F L2 R U' F B'
B' F L2 R U' B' F
B' F L2 R' U' F B'
B' F L2 R' U' B' F
B' F L2 R2 U' F B'
B' F L2 R2 U' B' F
B' F L2 U' D F B'
B' F L2 U' D B' F
B' F L2 U' D' F B'
B' F L2 U' D' B' F
B' F L2 U' D2 F B'
B' F L2 U' D2 B' F
B' F L2 U' F D B'
B' F L2 U' F D' B'
B' F L2 U' F D2 B'
B' F L2 U' F B' D
B' F L2 U' F B' D'
B' F L2 U' F B' D2
B' F L2 U' B' D F
B' F L2 U' B' D' F
B' F L2 U' B' D2 F
B' F L2 U' B' F D
B' F L2 U' B' F D'
B' F L2 U' B' F D2
B' F L2 D U' F B'
B' F L2 D U' B' F
B' F L2 D' U' F B'
B' F L2 D' U' B' F
B' F L2 D2 U' F B'
B' F L2 D2 U' B' F
B' F R L2 U' F B'
B' F R L2 U' B' F
B' F R U F B' U2
B' F R U B' F U2
B' F R' L2 U' F B'
B' F R' L2 U' B' F
B' F R' U F B' U2
B' F R' U B' F U2
B' F R2 L2 U' F B'
B' F R2 L2 U' B' F
B' F R2 U F B' U2
B' F R2 U B' F U2
D B F L2 R2 B2 U'
D B F L2 B2 R2 U'
B' F U D F B' U2
B' F U D B' F U2
D B F R2 L2 B2 U'
B' F U D' F B' U2
B' F U D' B' F U2
D B F R2 B2 L2 U'
B' F U D2 F B' U2
B' F U D2 B' F U2
B' F U F D B' U2
B' F U F D' B' U2
B' F U F D2 B' U2
B' F U F B' U2 D
B' F U F B' U2 D'
B' F U F B' U2 D2
B' F U F B' D U2
B' F U F B' D' U2
B' F U F B' D2 U2
B' F U B' D F U2
B' F U B' D' F U2
B' F U B' D2 F U2
B' F U B' F U2 D
B' F U B' F U2 D'
B' F U B' F U2 D2
B' F U B' F D U2
B' F U B' F D' U2
B' F U B' F D2 U2
B' F U' L2 F B' L2
B' F U' L2 B' F L2
B' F U2 L2 U F B'
B' F U2 L2 U B' F
B' F D L2 U' F B'
B' F D L2 U' B' F
B' F D U F B' U2
B' F D U B' F U2
F' B D L2 R2 F' B
F' B D L2 R2 B F'
F' B D R2 L2 F' B
F' B D R2 L2 B F'
F' B D R2 F' L2 B
F' B D R2 F' B L2
F' B D R2 B L2 F'
F' B D R2 B F' L2
D' B' L2 B' R2 F' U
B' F D' L2 U' F B'
B' F D' L2 U' B' F
B' F D' U F B' U2
B' F D' U B' F U2
D2 B' R F U' F B'
D2 B' R F U' B' F
D B' L2 R2 U2 B' U
B' F D2 L2 U' F B'
B' F D2 L2 U' B' F
B' F D2 U F B' U2
B' F D2 U B' F U2
D2 B' R' F U' F B'
D2 B' R' F U' B' F
D2 B' R2 F U' F B'
D2 B' R2 F U' B' F
D B' R' F L2 R' U'
D B' R' F R' L2 U'
D B' R2 L2 U2 B' U
D B' R2 D F U' F
D B' R2 F L2 U' D
D B' R2 F L2 U' D'
D B' R2 F L2 U' D2
D B' R2 F L2 D U'
D B' R2 F L2 D' U'
D B' R2 F L2 D2 U'
D B' R2 F U' D F2
D B' R2 F D U' F2
D B' R2 F' L2 F2 U'
D B' R2 F2 L2 F' U'
D' B' U2 L2 R2 B' U
D' B' U2 L2 B' R2 U
D' B' U2 R2 L2 B' U
F B' L2 R U' F B'
F B' L2 R U' B' F
F B' L2 R' U' F B'
F B' L2 R' U' B' F
F B' L2 R2 U' F B'
F B' L2 R2 U' B' F
F B' L2 U' D F B'
F B' L2 U' D B' F
F B' L2 U' D' F B'
F B' L2 U' D' B' F
F B' L2 U' D2 F B'
F B' L2 U' D2 B' F
F B' L2 U' F D B'
F B' L2 U' F D' B'
F B' L2 U' F D2 B'
F B' L2 U' F B' D
F B' L2 U' F B' D'
F B' L2 U' F B' D2
F B' L2 U' B' D F
F B' L2 U' B' D' F
F B' L2 U' B' D2 F
F B' L2 U' B' F D
F B' L2 U' B' F D'
F B' L2 U' B' F D2
F B' L2 D U' F B'
F B' L2 D U' B' F
F B' L2 D' U' F B'
F B' L2 D' U' B' F
F B' L2 D2 U' F B'
F B' L2 D2 U' B' F
F B' R L2 U' F B'
F B' R L2 U' B' F
F B' R U F B' U2
F B' R U B' F U2
D' B' D' F U' F B2
D' B' D' F U' B2 F
F B' R' L2 U' F B'
F B' R' L2 U' B' F
D B' D F U' F B2
D B' D F U' B2 F
F B' R' U F B' U2
F B' R' U B' F U2
L2 B' D' F L2 U F
D' B' D2 R2 F L2 U'
D' B' D2 F L2 R2 U'
D' B' D2 F R2 L2 U'
U' B' F L2 U' F B'
U' B' F L2 U' B' F
R' B' F L2 U' F B'
R' B' F L2 U' B' F
U' B' F U F B' U2
U' B' F U B' F U2
D2 B' F R U' F B'
D2 B' F R U' B' F
F B' R2 L2 U' F B'
F B' R2 L2 U' B' F
D2 B' F R' U' F B'
D2 B' F R' U' B' F
F B' R2 U F B' U2
D2 B' F R2 U' F B'
D2 B' F R2 U' B' F
F B' R2 U B' F U2
R' B' F U F B' U2
R' B' F U B' F U2
D2 B' F U' D F B'
D2 B' F U' D B' F
D2 B' F U' D' F B'
D2 B' F U' D' B' F
D2 B' F U' D2 F B'
D2 B' F U' D2 B' F
D2 B' F U' F D B'
D2 B' F U' F D' B'
D2 B' F U' F D2 B'
D2 B' F U' F B' D
D2 B' F U' F B' D'
D2 B' F U' F B' D2
D2 B' F U' B' D F
D2 B' F U' B' D' F
D2 B' F U' B' D2 F
D2 B' F U' B' F D
D2 B' F U' B' F D'
D2 B' F U' B' F D2
D2 B' F D U' F B'
D2 B' F D U' B' F
D' B' F U' D' F2 B2
D' B' F U' D' B2 F2
D2 B' F D' U' F B'
D2 B' F D' U' B' F
D' B' F U2 L2 R2 U
D' B' F U2 R2 L2 U
D2 B' F D2 U' F B'
D2 B' F D2 U' B' F
D' B' F D' U' F2 B2
D' B' F D' U' B2 F2
D' B' F D2 L2 R2 U'
D' B' F D2 R2 L2 U'
L2 B' F L2 U F B'
L2 B' F L2 U B' F
U2 B' F L2 U' F B'
U2 B' F L2 U' B' F
U2 B' F U F B' U2
U2 B' F U B' F U2
L2 B' F U' F B' U2
L2 B' F U' B' F U2
F B' U D F B' U2
F B' U D B' F U2
F B' U D' F B' U2
R2 B' F L2 U' F B'
R2 B' F L2 U' B' F
F B' U D' B' F U2
F B' U D2 F B' U2
F B' U D2 B' F U2
F B' U F D B' U2
F B' U F D' B' U2
F B' U F D2 B' U2
F B' U F B' U2 D
F B' U F B' U2 D'
F B' U F B' U2 D2
F B' U F B' D U2
F B' U F B' D' U2
F B' U F B' D2 U2
D B' F L2 R2 U' D
D B' F L2 R2 U' D'
D B' F L2 R2 U' D2
D B' F L2 R2 D U'
D B' F L2 R2 D' U'
D B' F L2 R2 D2 U'
D B' F L2 U' D B2
D B' F L2 D U' B2
R2 B' F U F B' U2
R2 B' F U B' F U2
D B' F R2 L2 U' D
D B' F R2 L2 U' D'
D B' F R2 L2 U' D2
D B' F R2 L2 D U'
D B' F R2 L2 D' U'
D B' F R2 L2 D2 U'
D B' F R2 U' D F2
D B' F R2 D U' F2
F B' U B' D F U2
F B' U B' D' F U2
F B' U B' D2 F U2
F B' U B' F U2 D
F B' U B' F U2 D'
F B' U B' F U2 D2
F B' U B' F D U2
F B' U B' F D' U2
F B' U B' F D2 U2
D B' F U' D F2 B2
D B' F U' D B2 F2
D B' F D U' F2 B2
D B' F D U' B2 F2
F B' U' L2 F B' L2
F B' U' L2 B' F L2
U B' F L2 U' F B'
U B' F L2 U' B' F
D B' F' L2 R2 F2 U'
D B' F' L2 F2 R2 U'
U B' F U F B' U2
U B' F U B' F U2
D B' F' R2 L2 F2 U'
D B' F' R2 F2 L2 U'
R B' F L2 U' F B'
R B' F L2 U' B' F
F B' U2 L2 U F B'
F B' U2 L2 U B' F
R B' F U F B' U2
R B' F U B' F U2
