D L F' U F2 B'
D L F' U B' F2
B' L F' B U F2
B' L B F' U F2
R2 U2 B R' U' F'
F' D L U F B'
F' D L U B' F
D F' L U F B'
D F' L U B' F
F' B' L B U F
B' F' L B U F
U B' U' L F' R' U
F' B' R' L U F R
U2 B' U2 F' L U F
U B' U' F' L R' U
U B' U' F' R' L U
B' F' D L B U F
F' B' D L B U F
B' F' D' L B U F
U B' F' L R' U R
L B' F' L B U F2
F' B' D' L B U F
U B' F' R' L U R
B' F' D2 L B U F
F' B' D2 L B U F
