U' L R' D L2 B'
U' L D L2 R' B'
U' L D R' L2 B'
U' L' R' D B' L2
U' L' D R' B' L2
U' R' L D L2 B'
U' R' L' D B' L2
U' R' D L' B' L'
B' R' B' U L U2
U' D L' R' B' L'
U' D L2 D2 R' B
U' D R' L' B' L'
B2 U D L U2 B'
D U' L' R' B' L'
D U' L2 D2 R' B
D U' R' L' B' L'
B2 U' D' B2 R' B
B2 D U L U2 B'
B2 D' U' B2 R' B
R' B' R' B' U' R
R2 B' R' B' U' R2
U' D R' L' B' L' D
U' D R' L' B' L' D'
U' D R' L' B' L' D2
U' D R' L' B' D L'
U' D R' L' B' D' L'
U' D R' L' B' D2 L'
U' D R' L' B2 L' B
D U R U2 L2 B R2
D U R U2 B L2 R2
D U R U2 B R2 L2
D' U R' F' R' U2 R
U D R U2 L2 B R2
U D R U2 B L2 R2
U D R U2 B R2 L2
D U R B L2 R2 F
D U R B L2 F R2
D U R B R2 L2 F
U' D R' B L' B' L'
U' D R' B' L' B' L'
U' D R' B2 L' B' L'
U' D R2 L' B' L' R
U' D R2 L' B' R L'
U D R B L2 R2 F
U D R B L2 F R2
U D R B R2 L2 F
R' D B' R' U' L2 R
R' D B' R' U' R L2
D' U R2 U2 R' B R2
R2 D B' R' U' L2 R2
R2 D B' R' U' R2 L2
B2 U D L U2 D B'
B2 U D L U2 D' B'
B2 U D L U2 D2 B'
B2 U D L U2 B' D
B2 U D L U2 B' D'
B2 U D L U2 B' D2
B2 U D L D U2 B'
B2 U D L D' U2 B'
B2 U D L D2 U2 B'
B2 U D L F U2 B'
B2 U D L F' U2 B'
B2 U D L F2 U2 B'
B2 U D L' F L2 U2
B2 U D F L U2 B'
B2 U D F' L U2 B'
B2 U D F2 L U2 B'
U2 D F' L' U L' R'
U2 D F' L' U R' L'
U' D B L' B' L' R'
U' D B L' B' R' L'
B2 U F D L U2 B'
B2 U F' D L U2 B'
B2 U F2 D L U2 B'
D2 U' L R' D' L2 B'
R D' R F2 U' L' B'
D' U' L D2 L2 R' B'
D2 U' L D' L2 R' B'
D' U' L D2 R' L2 B'
U' D' L D2 L2 R' B'
D2 U' L D' R' L2 B'
U' D' L D2 R' L2 B'
U' D' L' R' B2 L B
D' U' L' R' B2 L B
D2 U' L' R' D' B' L2
D2 U' L' R' B' D' L2
U' D' L' D2 R' B' L2
D' U' L' D2 R' B' L2
D2 U' L' D' R' B' L2
D' U' L2 R' B2 L B'
U' D' L2 R' B2 L B'
D U' L' R B' L' R2
D U' L' R B' R2 L'
D U' L' R' D B' L'
D U' L' R' D' B' L'
D U' L' R' D2 B' L'
R2 D' U R2 U2 R' B
D U' L' R' B L' B2
D U' L' R' B' L' D
D U' L' R' B' L' D'
D U' L' R' B' L' D2
D U' L' R' B' D L'
D U' L' R' B' D' L'
D U' L' R' B' D2 L'
D U' L' R' B2 L' B
D U' L' R2 B' L' R
D U' L' R2 B' R L'
U' D' L2 D2 L2 R' B
D' U' L2 D2 L2 R' B
U' D' L2 D2 R' L2 B
U' D' L2 D2 R' B L2
D' U' L2 D2 R' L2 B
D' U' L2 D2 R' B L2
D U' L' D R' B' L'
D U' L' D' R' B' L'
D U' L' D2 R' B' L'
F' U' L R' D L2 B'
F2 U' L R' D L2 B'
F' U' L D L2 R' B'
F' U' L D R' L2 B'
F2 U' L D L2 R' B'
F2 U' L D R' L2 B'
D U' L2 D2 R' D B
D U' L2 D2 R' D' B
D U' L2 D2 R' D2 B
D U' L2 D2 R' B D
D U' L2 D2 R' B D'
D U' L2 D2 R' B D2
F' U' L' R' D B' L2
U' D' R' L' B2 L B
D' U' R' L' B2 L B
F2 U' L' R' D B' L2
D2 U' R' L D' L2 B'
F U' L R' D L2 B'
U' D' R' L2 B2 L B'
D' U' R' L2 B2 L B'
F' U' L' D R' B' L2
D2 U' R' L' D' B' L2
D2 U' R' L' B' D' L2
D U' R L' B' L' R2
D U' R L' B' R2 L'
U' D' R' U2 R' F' U2
D' U' R' U2 R' F' U2
F2 U' L' D R' B' L2
F U' L D L2 R' B'
F U' L D R' L2 B'
D2 U' R' D' L' B' L'
U' D' R' B' L' B' L
D' U' R' B' L' B' L
U' D' R' B2 L' B' L2
D' U' R' B2 L' B' L2
F U' L' R' D B' L2
D U' R' L' D B' L'
D U' R' L' D' B' L'
D U' R' L' D2 B' L'
D U' R' L' B L' B2
D U' R' L' B' L' D
D U' R' L' B' L' D'
D U' R' L' B' L' D2
D U' R' L' B' D L'
D U' R' L' B' D' L'
D U' R' L' B' D2 L'
D U' R' L' B2 L' B
F U' L' D R' B' L2
D U' R' B L' B' L'
D U' R' B' L' B' L'
D U' R' B2 L' B' L'
U D' R' F' R' U2 R
D U' R2 L' B' L' R
D U' R2 L' B' R L'
B2 U' R D' B2 R' B
F' U' R' L D L2 B'
F' U' R' L' D B' L2
U D' R2 U2 R' B R2
F2 U' R' L D L2 B'
F2 U' R' L' D B' L2
F' U' R' D L' B' L'
B2 U' R' D' B2 R' B
F2 U' R' D L' B' L'
F U' R' L D L2 B'
F U' R' L' D B' L2
B2 U' R2 D' B2 R' B
F U' R' D L' B' L'
F' U' D L' R' B' L'
F' U' D L2 D2 R' B
F' U' D R' L' B' L'
F2 U' D L' R' B' L'
F2 U' D L2 D2 R' B
F2 U' D R' L' B' L'
B2 U' D B2 D2 R' B
B2 U' D' R' B2 R' B'
F U' D L' R' B' L'
D U' B L' B' L' R'
D U' B L' B' R' L'
F U' D L2 D2 R' B
B2 U' D' B R' B R'
F U' D R' L' B' L'
B2 U' D' B2 R' D B
B2 U' D' B2 R' D' B
B2 U' D' B2 R' D2 B
B2 U' D' B2 R' B D
B2 U' D' B2 R' B D'
B2 U' D' B2 R' B D2
B2 U' D2 B2 D R' B
U' D2 L R' D' L2 B'
U' D2 L D' L2 R' B'
U' D2 L D' R' L2 B'
U' D2 L' R' D' B' L2
U' D2 L' R' B' D' L2
U' D2 L' D' R' B' L2
D U2 L' U L' R' B'
D U2 L' U R' L' B'
U' D2 R' L D' L2 B'
U' D2 R' L' D' B' L2
U' D2 R' L' B' D' L2
U' D2 R' D' L' B' L'
D2 U2 F' L' F' U R'
U2 D2 F' L' F' U R'
D U2 F' L' U L' R'
D U2 F' L' U R' L'
D2 U2 F2 U D R' B
D2 U2 F2 D U R' B
L2 D2 F2 R2 U R B
U2 D2 F2 U D R' B
U2 D2 F2 D U R' B
B2 U2 D' B2 U R' B
U2 F R B2 L U' R2
B2 U2 B' L B' U R'
U2 F U R' D L2 B2
U2 F U R' D B2 L2
B2 U2 B2 U R B R2
D F U' L' R' B' L'
D F U' L2 D2 R' B
D F U' R' L' B' L'
U2 F U2 R B2 U' R2
B2 D R U L U2 B'
B2 D R' U L U2 B'
U2 F D2 F2 L' U R'
B2 D R2 U L U2 B'
R' F B' R' B' U' R
B2 D U L U2 D B'
B2 D U L U2 D' B'
B2 D U L U2 D2 B'
B2 D U L U2 B' D
B2 D U L U2 B' D'
B2 D U L U2 B' D2
B2 D U L D U2 B'
B2 D U L D' U2 B'
B2 D U L D2 U2 B'
B2 D U L F U2 B'
B2 D U L F' U2 B'
B2 D U L F2 U2 B'
B2 D U L' F L2 U2
B2 D U F L U2 B'
B2 D U F' L U2 B'
B2 D U F2 L U2 B'
F' D U' L' R' B' L'
F' D U' L2 D2 R' B
F' D U' R' L' B' L'
F2 D U' L' R' B' L'
F2 D U' L2 D2 R' B
F2 D U' R' L' B' L'
B2 D U' B2 D2 R' B
F D U' L' R' B' L'
F D U' L2 D2 R' B
F D U' R' L' B' L'
U2 F' L' U R' D L2
U2 F' L' U D L2 R'
U2 F' L' U D R' L2
U2 F' L' D U L2 R'
U2 F' L' D U R' L2
B2 D F U L U2 B'
U2 F' L' D2 F2 U R'
B2 D F' U L U2 B'
B2 D F2 U L U2 B'
D F' U' L' R' B' L'
D F' U' L2 D2 R' B
D2 F' U2 F' L' U R'
D F' U' R' L' B' L'
U2 F' D L' U L' R'
U2 F' D L' U R' L'
B2 D' R U L F' U2
B2 D' R U F' L U2
B' D' R F' R2 B' U'
B' D' R F' B' R2 U'
B' D' R B' F' R2 U'
U2 F' D2 L' F2 U R'
B2 D' R' U L U2 B
B2 D' R' U' B2 R' B'
B' D' R' B' U' D' R2
B' D' R' B' U2 B2 U
B' D' R' B' D' U' R2
B' D' R' B' D2 F2 U'
R' F' B' R' B' U' R
B2 D' U' R' B2 R' B'
B2 D' U' B R' B R'
B2 D' U' B2 R' D B
B2 D' U' B2 R' D' B
B2 D' U' B2 R' D2 B
B2 D' U' B2 R' B D
B2 D' U' B2 R' B D'
B2 D' U' B2 R' B D2
B2 D' U2 B2 U R' B
B2 D' F U' B2 R' B
B2 D' F' U' B2 R' B
B2 D' F2 U' B2 R' B
U2 F2 U D L2 R' B
U2 F2 U D R' L2 B
U2 F2 U D R' B L2
D F2 U' L' R' B' L'
D F2 U' L2 D2 R' B
D F2 U' R' L' B' L'
U2 F2 D U L2 R' B
U2 F2 D U R' L2 B
U2 F2 D U R' B L2
B' D2 R' F' B' U' R
B' D2 R' B' F' U' R
R' F2 B' R' B' U' R
B2 D2 U' B2 D R' B
U' B L' B' R' D L2
U' B L' B' D L2 R'
U' B L' B' D R' L2
B' D2 F' R' B' U' R2
B2 D2 F' R U L U2
B2 D2 F2 U L F U2
B' F R' B' U L U2
B2 F U D L U2 B'
B2 F U' D' B2 R' B
B2 F D U L U2 B'
B2 F D' U' B2 R' B
R' B' R' D B' U' R
R' B' R' D' B' U' R
R' B' R' D2 B' U' R
R' B' R' B' U' R D
R' B' R' B' U' R D'
R' B' R' B' U' R D2
R' B' R' B' U' D R
R' B' R' B' U' D' R
R' B' R' B' U' D2 R
R' B' R' B' D U' R
R' B' R' B' D' U' R
R' B' R' B' D2 U' R
R2 B' R B' R2 U' R2
R' B' R2 B' R U' R
R2 B' R' D' F2 B' U'
R2 B' R' D' B' F2 U'
R2 B' R' F B' U' R2
R2 B' R' F' B' U' R2
R2 B' R' F2 B' U' R2
R2 B' R' B' U' R2 D
R2 B' R' B' U' R2 D'
R2 B' R' B' U' R2 D2
R2 B' R' B' D' F2 U'
R2 B' R' B' F U' R2
R2 B' R' B' F' U' R2
R2 B' R' B' F2 U' R2
D B' R' B U' L2 R'
D B' R' B U' R' L2
R B' R B' R2 U' R'
R B' R2 B' R U' R'
R' B' D R' B' U' R
B' F' R' B' U L U2
F' B' R' B' U L U2
R' B' D' R' B' U' R
F2 B' R' B' U L U2
R2 B' D R' B' U' R2
R' B' D2 R' B' U' R
R2 B' D' R' B' U' R2
B2 F' U D L U2 B'
F B' R' B' U L U2
R' B' F R' B' U' R
R2 B' D2 R' B' U' R2
B2 F' U' D' B2 R' B
R' B' F' R' B' U' R
R B' D' R' F2 B' U'
R B' D' R' B' F2 U'
R B' D' F2 R' B' U'
R' B' F2 R' B' U' R
B2 F' D U L U2 B'
B2 F' D' U' B2 R' B
R' B2 R U' D' R' B
R' B2 R D' U' R' B
R2 B2 R2 U' D' R' B
R2 B2 R2 D' U' R' B
U2 B2 U L F U2 F'
R B2 R' U' D' R' B
B' F2 R' B' U L U2
R B2 R' D' U' R' B
U2 B2 U' L U2 L' B'
R2 B2 U' R2 D' R' B
R2 B2 U' D' R' B R2
F' B2 U D L U2 B'
R2 B2 U' B R D B2
B2 F2 U D L U2 B'
F2 B2 U D L U2 B'
R B2 U' R' D' R' B
R' B2 D' R' U' B R
R2 B2 U2 B' L U R
F' B2 U' D' B2 R' B
R2 B2 U2 B2 U R B
B2 F2 U' D' B2 R' B
F2 B2 U' D' B2 R' B
F B2 U D L U2 B'
R' B2 D2 F' R U' R'
R B2 U2 B' L U R2
R2 B2 D' R' U' B R2
R2 B2 D' U' R' B R2
F B2 U' D' B2 R' B
F' B2 D U L U2 B'
B2 F2 D U L U2 B'
F2 B2 D U L U2 B'
D B2 D' B2 U' R' B
R B2 D' R' F2 U' B
F' B2 D' U' B2 R' B
B2 F2 D' U' B2 R' B
R B2 D' F2 R' U' B
F2 B2 D' U' B2 R' B
F B2 D U L U2 B'
F B2 D' U' B2 R' B
