U L' R U
U R L' U
U L' R U D
U L' R U D'
U L' R U D2
U L' R D U
U L' R D' U
U L' R D2 U
U L' D R U
U L' D' R U
U L' D2 R U
U R L' U D
U R L' U D'
U R L' U D2
U R L' D U
U R L' D' U
U R L' D2 U
U R D L' U
U R D' L' U
U R D2 L' U
B' U L' R U
U D L' R U
B' U R L' U
D' U L' R U
D U L' R U
U D R L' U
B U L' R U
B2 U L' R U
D2 U L' R U
D U R L' U
D' U R L' U
B U R L' U
B2 U R L' U
D2 U R L' U
U D' L' R U
U D' R L' U
F2 U' L' R U'
F2 U' R L' U'
U D2 L' R U
U D2 R L' U
U D2 R L' U
U D2 L' R U D2
U D2 L' R D U
U D2 L' R D' U
U D2 L' R D2 U
U D2 L' D R U
U D2 L' D' R U
U D2 L' D2 R U
U D2 R L' U D
U D2 R L' U D'
U D2 R L' U D2
U D2 R L' D U
U D2 R L' D' U
U D2 R L' D2 U
U D2 R D L' U
U D2 R D' L' U
U D2 R D2 L' U
B2 D U L' R U
B2 D U R L' U
B' D U L' R U
B' D U R L' U
F2 D U' L' R U'
B D U L' R U
F2 D U' R L' U'
B D U R L' U
B2 D' U L' R U
B' D' U L' R U
B2 D' U R L' U
B' D' U R L' U
U' F2 L' R F2 U'
F2 D' U' L' R U'
F2 D' U' R L' U'
B D' U L' R U
B D' U R L' U
U' F2 R L' F2 U'
U2 F2 U L' R U'
U2 F2 U R L' U'
D2 F2 U' L' R U'
D' F2 U' L' R U'
D' F2 U' R L' U'
D2 F2 U' R L' U'
D F2 U' L' R U'
D F2 U' R L' U'
B' D2 U L' R U
B' D2 U R L' U
B2 D2 U L' R U
B2 D2 U R L' U
F2 D2 U' L' R U'
B D2 U L' R U
F2 D2 U' R L' U'
B D2 U R L' U
U B R B' L' U
D2 B U L' R U
D2 B U R L' U
D' B U L' R U
D' B U R L' U
U2 B U' L' R U
U2 B U' R L' U
U2 B U' R L' U
D B U L' R U
D B U R L' U
F2 B U' L' R U'
F2 B U' R L' U'
U B' L' B R U
D2 B' U L' R U
D2 B' U R L' U
D' B' U L' R U
D' B' U R L' U
U2 B' U' L' R U
U2 B' U' R L' U
D B' U L' R U
D B' U R L' U
F2 B' U' L' R U'
F2 B' U' R L' U'
U B2 L' R B2 U
U B2 L' B2 R U
U B2 R L' B2 U
D2 B2 U L' R U
D2 B2 U R L' U
D' B2 U L' R U
D' B2 U R L' U
U B2 R B2 L' U
U2 B2 U' L' R U
U2 B2 U' R L' U
D B2 U L' R U
D B2 U R L' U
B' F2 U' L' R U'
B' F2 U' R L' U'
B2 F2 U' L' R U'
F2 B2 U' L' R U'
B2 F2 U' R L' U'
F2 B2 U' R L' U'
B F2 U' L' R U'
B F2 U' R L' U'
U L R U D' B2 D
U L R U D' B2 D'
U L R U D' B2 D2
U L R U B D' B2
U L R U B' D' B2
U L R U B2 D' B2
U L R U' D F2 U2
U L R U2 D2 R2 U'
U L R D U' F2 U2
U L R D' L U B2
U L R D' L' U B2
U L R D' L2 U B2
U L R D' U B2 D
U L R D' U B2 D'
U L R D' U B2 D2
U L R D2 U2 R2 U'
U L R F L2 F' U
L' R U B2 L R' B2
U L R F2 L2 F2 U
L' R U B2 R' L B2
L' R U' L R' U2 D
L' R U' L R' U2 D'
L' R U' L R' U2 D2
L' R U' L R' D U2
L' R U' L R' D' U2
L' R U' L R' D2 U2
L' R U' L D R' U2
L' R U' L D' R' U2
L' R U' L D2 R' U2
U L R B' L2 B U
U' L R' U' D' F2 B2
U' L R' U' D' B2 F2
U' L R' U2 L2 R2 U
U' L R' U2 R2 L2 U
U L R B2 L2 B2 U
U L R' U D' F2 B2
U L R' U D' B2 F2
L' R U' R' L U2 D
L' R U' R' L U2 D'
L' R U' R' L U2 D2
L' R U' R' L D U2
L' R U' R' L D' U2
L' R U' R' L D2 U2
U' L R' D' U' F2 B2
U' L R' D' U' B2 F2
L' R U' R' D L U2
L' R U' R' D' L U2
L' R U' R' D2 L U2
U' L R' D2 L2 R2 U'
U' L R' D2 R2 L2 U'
L' R U' D L R' U2
L' R U' D R' L U2
L' R U' D' L R' U2
L' R U' D' R' L U2
U L R' D' U F2 B2
U L R' D' U B2 F2
L' R U' D2 L R' U2
L' R U' D2 R' L U2
U' L R2 U2 L2 R' U
U' L R2 U2 R' L2 U
U L R2 D' R' U B2
L' R U2 B2 U' L R'
L' R U2 B2 U' R' L
L' R D U' L R' U2
L' R D U' R' L U2
U2 L U' L2 R U L
U2 L U' R L2 U L
L' R D B2 U L R'
L' R D B2 U R' L
L2 R D' L B2 U L
L' R D' U' L R' U2
L' R D' U' R' L U2
R' L D' F2 L' R B2
R' L D' F2 L' B2 R
R' L D' F2 R L' B2
R' L D' F2 R B2 L'
U' L U2 L2 R U D
U' L U2 L2 R U D'
U' L U2 L2 R U D2
U' L U2 L2 R D U
U' L U2 L2 R D' U
U' L U2 L2 R D2 U
U' L U2 L2 D R U
U' L U2 L2 D' R U
U' L U2 L2 D2 R U
R' L D' F2 B2 L' R
R' L D' F2 B2 R L'
U' L U2 R L2 U D
U' L U2 R L2 U D'
U' L U2 R L2 U D2
U' L U2 R L2 D U
U' L U2 R L2 D' U
U' L U2 R L2 D2 U
U' L U2 R U D' B2
U' L U2 R D' U B2
L' R D' B2 U L R'
L' R D' B2 U R' L
R' L D' B2 F2 L' R
R' L D' B2 F2 R L'
U' L U2 D' R U B2
L' R D2 U' L R' U2
L' R D2 U' R' L U2
L' R D2 B2 U L R'
L' R D2 B2 U R' L
U L D R U D2 B2
U L D R U' F2 U2
U L D R D' L2 U
U L D R D2 U B2
L' R F U' L R' U2
L' R F U' R' L U2
U L D' L R U B2
U L D' L' R U B2
L' R F B2 U L R'
L' R F B2 U R' L
U L D' L2 R U B2
U L D' R L U B2
U L D' R L' U B2
U L D' R L2 U B2
U L D' R L2 U B2
U L D' R U B2 D
U L D' R U B2 D'
U L D' R U B2 D2
U L D' R D L2 U
U' L D' U2 R U B2
L' R F' U' L R' U2
L' R F' U' R' L U2
L' R F' B2 U L R'
L' R F' B2 U R' L
U' L D2 R2 U2 R' U
U L D2 R U2 R U'
L' R F2 U' L R' U2
L' R F2 U' R' L U2
L' R F2 B2 U L R'
L' R F2 B2 U R' L
U L F L2 F' R U
U' L F2 L' F2 R U'
L' R B2 U L R' D
L' R B2 U L R' D'
L' R B2 U L R' D2
L' R B2 U L D R'
L' R B2 U L D' R'
L' R B2 U L D2 R'
L' R B2 U R' L D
L' R B2 U R' L D'
L' R B2 U R' L D2
L' R B2 U R' D L
L' R B2 U R' D' L
L' R B2 U R' D2 L
L' R B2 U D L R'
L' R B2 U D R' L
L' R B2 U D' L R'
L' R B2 U D' R' L
L' R B2 U D2 L R'
L' R B2 U D2 R' L
L' R B2 D U L R'
L' R B2 D U R' L
L' R B2 D' U L R'
L' R B2 D' U R' L
L' R B2 D2 U L R'
L' R B2 D2 U R' L
L' R B2 F U L R'
L' R B2 F U R' L
L' R B2 F' U L R'
L' R B2 F' U R' L
L' R B2 F2 U L R'
L' R B2 F2 U R' L
U L B R B' L2 U
U L B' L2 B R U
R L' U B2 L R' B2
R L' U B2 R' L B2
R L' U' L R' U2 D
R L' U' L R' U2 D'
R L' U' L R' U2 D2
R L' U' L R' D U2
R L' U' L R' D' U2
R L' U' L R' D2 U2
R L' U' L D R' U2
R L' U' L D' R' U2
R L' U' L D2 R' U2
R L' U' R' L U2 D
R L' U' R' L U2 D'
R L' U' R' L U2 D2
R L' U' R' L D U2
R L' U' R' L D' U2
R L' U' R' L D2 U2
R L' U' R' D L U2
R L' U' R' D' L U2
R L' U' R' D2 L U2
R L' U' D L R' U2
R L' U' D R' L U2
R L' U' D' L R' U2
R L' U' D' R' L U2
R L' U' D2 L R' U2
R L' U' D2 R' L U2
U L B2 L2 R B2 U
U L B2 L2 B2 R U
U L B2 R L2 B2 U
U L B2 R B2 L2 U
D2 L' R U' L R' U2
D2 L' R U' R' L U2
D' L' R U' L R' U2
D' L' R U' R' L U2
F2 L' R U L R' U2
F2 L' R U R' L U2
U2 L' R U L R' D
U2 L' R U L R' D'
U2 L' R U L R' D2
U2 L' R U L D R'
U2 L' R U L D' R'
U2 L' R U L D2 R'
B' L' R U' L R' U2
U2 L' R U R' L D
U2 L' R U R' L D'
U2 L' R U R' L D2
U2 L' R U R' D L
U2 L' R U R' D' L
U2 L' R U R' D2 L
U2 L' R U D L R'
U2 L' R U D R' L
B' L' R U' R' L U2
U2 L' R U D' L R'
U2 L' R U D' R' L
U2 L' R U D2 L R'
U2 L' R U D2 R' L
D L' R U' L R' U2
D L' R U' R' L U2
B2 L' R U' L R' U2
B2 L' R U' R' L U2
B L' R U' L R' U2
U L' R U L D L'
U L' R U L D' L'
U L' R U L D2 L'
U L' R U L' D L
U L' R U L' D' L
U L' R U L' D2 L
U L' R U R D R'
U L' R U R D' R'
U L' R U R D2 R'
B L' R U' R' L U2
U L' R U R' D R
U L' R U R' D' R
U L' R U R' D2 R
U2 L' R D U L R'
U2 L' R D U R' L
U L' R U F D F'
U L' R U F D' F'
U L' R U F D2 F'
U L' R U F' D F
U L' R U F' D' F
U L' R U F' D2 F
U L' R U B D B'
U L' R U B D' B'
U L' R U B D2 B'
U L' R U B' D B
U L' R U B' D' B
U L' R U B' D2 B
U2 L' R D' U L R'
U2 L' R D' U R' L
U2 L' R D2 U L R'
U2 L' R D2 U R' L
U2 L' R F U L R'
U2 L' R F U R' L
R L' U2 B2 U' L R'
R L' U2 B2 U' R' L
U2 L' R F' U L R'
U2 L' R F' U R' L
D2 L' R B2 U L R'
U2 L' R F2 U L R'
U2 L' R F2 U R' L
D2 L' R B2 U R' L
D' L' R B2 U L R'
D' L' R B2 U R' L
U L' R F D F' U
U L' R F D' F' U
U L' R F D2 F' U
B' L' R B2 U L R'
B' L' R B2 U R' L
U L' R F' D F U
F2 L' R B2 U' L R'
U L' R F' D' F U
F2 L' R B2 U' R' L
U L' R F' D2 F U
U L' R F2 U D' L2
D L' R B2 U L R'
D L' R B2 U R' L
U L' R F2 D' U L2
B2 L' R B2 U L R'
B2 L' R B2 U R' L
U L' R B D B' U
U L' R B D' B' U
U L' R B D2 B' U
B L' R B2 U L R'
B L' R B2 U R' L
U L' R B' D B U
U L' R B' D' B U
U L' R B' D2 B U
U L' R B2 U D' R2
R L' D U' L R' U2
U L' R B2 D' U R2
R L' D U' R' L U2
U L' R' U D' F2 D
U L' R' U D' F2 D'
U L' R' U D' F2 D2
U L' R' U F D' F2
U L' R' U F' D' F2
U L' R' U F2 D' F2
U L' R' U' D B2 U2
U L' R' U2 D2 L2 U'
U L' R' D U' B2 U2
U L' R' D' R U F2
U L' R' D' R' U F2
U L' R' D' R2 U F2
U L' R' D' U F2 D
U L' R' D' U F2 D'
U L' R' D' U F2 D2
U L' R' D2 U2 L2 U'
R L' D B2 U L R'
R L' D B2 U R' L
U L' R' F' R2 F U
U L' R' F2 R2 F2 U
U L' R' B R2 B' U
U L' R' B2 R2 B2 U
R L' D' U' L R' U2
R L' D' U' R' L U2
U L' R2 D R' U D
U L' R2 D R' U D'
U L' R2 D R' U D2
U L' R2 D R' D U
U L' R2 D R' D' U
U L' R2 D R' D2 U
L R' D' F2 L' R B2
L R' D' F2 L' B2 R
L R' D' F2 R L' B2
L R' D' F2 R B2 L'
U L' R2 D' R' U D
U L' R2 D' R' U D'
U L' R2 D' R' U D2
U L' R2 D' R' D U
U L' R2 D' R' D' U
U L' R2 D' R' D2 U
L R' D' F2 B2 L' R
L R' D' F2 B2 R L'
U L' R2 D2 R' U D
U L' R2 D2 R' U D'
U L' R2 D2 R' U D2
U L' R2 D2 R' D U
U L' R2 D2 R' D' U
U L' R2 D2 R' D2 U
U L' R2 F' R' F U
L R' D' B2 F2 L' R
L R' D' B2 F2 R L'
U L' R2 F2 R' F2 U
R L' D' B2 U L R'
R L' D' B2 U R' L
R L' D2 U' L R' U2
U L' U R' D' R F2
R L' D2 U' R' L U2
U L' U F2 U L' U'
R L' D2 B2 U L R'
R L' D2 B2 U R' L
R L' F U' L R' U2
R L' F U' R' L U2
R L' F B2 U L R'
R L' F B2 U R' L
U L' U' B U R U
U' L' U2 R U2 R' U'
U L' U' B' U R U
U L' U' B2 U R U
U L' U2 L U2 R U
U L' U2 L' U2 R U
U L' U2 L2 U2 R U
R L' F' U' L R' U2
R L' F' U' R' L U2
U L' U2 F2 L' F2 U'
R L' F' B2 U L R'
R L' F' B2 U R' L
U2 L' D R U L R'
U2 L' D R U R' L
U L' D R' U D' F2
R L' F2 U' L R' U2
U L' D R' D' U F2
R L' F2 U' R' L U2
U L' D R2 D R' U
U L' D R2 D' R' U
U L' D R2 D2 R' U
R L' F2 B2 U L R'
R L' F2 B2 U R' L
U L' D B R B' U
U2 L' D' R U L R'
U2 L' D' R U R' L
U L' D B2 R B2 U
U L' D' R' U D' F2
U L' D' R' D' U F2
U L' D' R2 D R' U
U L' D' R2 D' R' U
U L' D' R2 D2 R' U
U L' D' B R B' U
U2 L' D2 R U L R'
U2 L' D2 R U R' L
U L' D' B2 R B2 U
U L' D2 R' U D' F2
U L' D2 R' D' U F2
U L' D2 R2 D R' U
U L' D2 R2 D' R' U
U L' D2 R2 D2 R' U
U L' D2 B R B' U
U L' D2 B2 R B2 U
R L' B2 U L R' D
R L' B2 U L R' D'
R L' B2 U L R' D2
R L' B2 U L D R'
R L' B2 U L D' R'
R L' B2 U L D2 R'
R L' B2 U R' L D
R L' B2 U R' L D'
R L' B2 U R' L D2
R L' B2 U R' D L
R L' B2 U R' D' L
R L' B2 U R' D2 L
R L' B2 U D L R'
R L' B2 U D R' L
R L' B2 U D' L R'
R L' B2 U D' R' L
R L' B2 U D2 L R'
R L' B2 U D2 R' L
R L' B2 D U L R'
R L' B2 D U R' L
R L' B2 D' U L R'
R L' B2 D' U R' L
R L' B2 D2 U L R'
R L' B2 D2 U R' L
R L' B2 F U L R'
R L' B2 F U R' L
R L' B2 F' U L R'
R L' B2 F' U R' L
R L' B2 F2 U L R'
R L' B2 F2 U R' L
U L' F' R F R U
U L' F' R' F R U
U L' F' R2 F R U
U L' F' D F R U
U L' F' D' F R U
U L' F' D2 F R U
U L' F2 R F2 R U
U L' F2 R' F2 R U
U L' F2 R2 F2 R U
U L' B R D B' U
U L' B R D' B' U
U L' B R D2 B' U
U L' B R B' U D
U L' B R B' U D'
U L' B R B' U D2
U L' B R B' D U
U L' B R B' D' U
U L' B R B' D2 U
U L' B R' B' R2 U
U L' B D R B' U
U L' B D B' R U
U L' B D' R B' U
U L' B D' B' R U
U L' B D2 R B' U
U L' B D2 B' R U
U L' B' D B R U
U L' B' D' B R U
U L' B' D2 B R U
R L2 D' L B2 U L
U L' B2 R U D' R2
U L' B2 R D' U R2
U L' B2 R B2 U D
U L' B2 R B2 U D'
U L' B2 R B2 U D2
U L' B2 R B2 D U
U L' B2 R B2 D' U
U L' B2 R B2 D2 U
U L' B2 R' B2 R2 U
U L' B2 D' R U R
U L2 R D L U D
U L2 R D L U D'
U L2 R D L U D2
U L2 R D L D U
U L2 R D L D' U
U L2 R D L D2 U
U L2 R D' L U D
U L2 R D' L U D'
U L2 R D' L U D2
U L2 R D' L D U
U L2 R D' L D' U
U L2 R D' L D2 U
U L2 R D2 L U D
U L2 R D2 L U D'
U L2 R D2 L U D2
U L2 R D2 L D U
U L2 R D2 L D' U
U L2 R D2 L D2 U
U L2 R F L F' U
U' L2 R' U2 L R2 U
U' L2 R' U2 R2 L U
U L2 R F2 L F2 U
U L2 R' D' L U F2
U' L2 R2 U2 L R' U
U' L2 R2 U2 R' L U
U L2 R2 D L R' U
U L2 R2 D R' L U
U L2 R2 D' L R' U
U L2 R2 D' R' L U
U L2 R2 D2 L R' U
U L2 R2 D2 R' L U
U2 L2 U' L R U L
U2 L2 U' R L U L
U' L2 U2 L R U D
U' L2 U2 L R U D'
U' L2 U2 L R U D2
U' L2 U2 L R D U
U' L2 U2 L R D' U
U' L2 U2 L R D2 U
U' L2 U2 L D R U
U' L2 U2 L D' R U
U' L2 U2 L D2 R U
U' L2 U2 R L U D
U' L2 U2 R L U D'
U' L2 U2 R L U D2
U' L2 U2 R L D U
U' L2 U2 R L D' U
U' L2 U2 R L D2 U
U' L2 U2 R D L U
U' L2 U2 R D' L U
U' L2 U2 R D2 L U
U' L2 U2 D L R U
U' L2 U2 D R L U
U' L2 U2 D' L R U
U' L2 U2 D' R L U
U' L2 U2 D2 L R U
U' L2 U2 D2 R L U
U' L2 D U2 L R U
U' L2 D U2 R L U
U L2 D L R U D
U L2 D L R U D'
U L2 D L R U D2
U L2 D L R D U
U L2 D L R D' U
U L2 D L R D2 U
U L2 D L D R U
U L2 D L D' R U
U L2 D L D2 R U
U L2 D R L U D
U L2 D R L U D'
U L2 D R L U D2
U L2 D R L D U
U L2 D R L D' U
U L2 D R L D2 U
U L2 D R D L U
U L2 D R D' L U
U L2 D R D2 L U
U' L2 D' U2 L R U
U' L2 D' U2 R L U
U L2 D' L R U D
U L2 D' L R U D'
U L2 D' L R U D2
U L2 D' L R D U
U L2 D' L R D' U
U L2 D' L R D2 U
U L2 D' L D R U
U L2 D' L D' R U
U L2 D' L D2 R U
L2 U L R U' L U2
L2 U L R B2 U R'
U L2 D' R L U D
U L2 D' R L U D'
U L2 D' R L U D2
U L2 D' R L D U
U L2 D' R L D' U
U L2 D' R L D2 U
U L2 D' R D L U
U L2 D' R D' L U
U L2 D' R D2 L U
R' U L' R2 U' R' U2
R' U L' U D' F2 L'
U' L2 D2 U2 L R U
U' L2 D2 U2 R L U
U L2 D2 L R U D
U L2 D2 L R U D'
U L2 D2 L R U D2
U L2 D2 L R D U
U L2 D2 L R D' U
U L2 D2 L R D2 U
U L2 D2 L D R U
U L2 D2 L D' R U
U L2 D2 L D2 R U
L2 U L B2 R U R2
R' U L' D' U F2 L'
U L2 D2 R L U D
U L2 D2 R L U D'
U L2 D2 R L U D2
U L2 D2 R L D U
U L2 D2 R L D' U
U L2 D2 R L D2 U
U L2 D2 R D L U
U L2 D2 R D' L U
U L2 D2 R D2 L U
R2 U L' R' U' R' U2
R' U L' F2 R2 U L'
R2 U L' D' R' F2 U
R2 U L' D' F2 R' U
R2 U L' D2 R' U L2
U L2 F L F' R U
L U L2 R U' L U2
L U L2 R B2 U R'
L2 U R L U' L U2
L2 U R L B2 U R'
L U L2 B2 R U R2
L U R L2 U' L U2
L U R L2 B2 U R'
L2 U R D' L B2 U
L2 U R D2 L U R2
L' U R B2 U R' B2
R2 U R' L' U' R' U2
R' U R2 L' U' R' U2
U L2 B R B' L U
R' U D' L' U F2 L'
L2 U D' L R B2 U
L2 U D' L B2 R U
L2 U D' R L B2 U
R2 U D' L' R' F2 U
R2 U D' L' F2 R' U
R2 U D' R' L' F2 U
L2 U D2 L R U R
L2 U D2 R L U R
R2 U D2 L' R' U L'
U R L U D' B2 D
U R L U D' B2 D'
U R L U D' B2 D2
U R L U B D' B2
U R L U B' D' B2
U R L U B2 D' B2
D2 R L' U' L R' U2
D2 R L' U' R' L U2
U R L U' D F2 U2
D' R L' U' L R' U2
D' R L' U' R' L U2
R2 U D2 R' L' U L'
B' R L' U' L R' U2
U R L U2 D2 R2 U'
B' R L' U' R' L U2
U R L D U' F2 U2
U R L D' L U B2
U R L D' L' U B2
U R L D' L2 U B2
U R L D' U B2 D
U R L D' U B2 D'
U R L D' U B2 D2
F2 R L' U L R' U2
U2 R L' U L R' D
U2 R L' U L R' D'
U2 R L' U L R' D2
F2 R L' U R' L U2
U2 R L' U L D R'
U2 R L' U L D' R'
U2 R L' U L D2 R'
U2 R L' U R' L D
U2 R L' U R' L D'
U2 R L' U R' L D2
U2 R L' U R' D L
U2 R L' U R' D' L
U2 R L' U R' D2 L
B2 R L' U' L R' U2
U2 R L' U D L R'
U2 R L' U D R' L
U2 R L' U D' L R'
U2 R L' U D' R' L
U2 R L' U D2 L R'
U2 R L' U D2 R' L
B2 R L' U' R' L U2
U R L D2 U2 R2 U'
U R L F L2 F' U
U2 R L' D U L R'
U2 R L' D U R' L
D R L' U' L R' U2
U R L F2 L2 F2 U
D R L' U' R' L U2
B R L' U' L R' U2
B R L' U' R' L U2
U2 R L' D' U L R'
U2 R L' D' U R' L
U2 R L' D2 U L R'
U2 R L' D2 U R' L
U R L B' L2 B U
U2 R L' F U L R'
U2 R L' F U R' L
D2 R L' B2 U L R'
D2 R L' B2 U R' L
U R L B2 L2 B2 U
U R L' U L D L'
U R L' U L D' L'
U R L' U L D2 L'
U R L' U L' D L
U R L' U L' D' L
U R L' U L' D2 L
U2 R L' F' U L R'
U2 R L' F' U R' L
U R L' U R D R'
U R L' U R D' R'
U R L' U R D2 R'
D' R L' B2 U L R'
D' R L' B2 U R' L
U R L' U R' D R
U R L' U R' D' R
U R L' U R' D2 R
U R L' U F D F'
U R L' U F D' F'
U R L' U F D2 F'
B' R L' B2 U L R'
B' R L' B2 U R' L
U R L' U F' D F
U R L' U F' D' F
U R L' U F' D2 F
U R L' U B D B'
U R L' U B D' B'
U R L' U B D2 B'
U R L' U B' D B
U R L' U B' D' B
U R L' U B' D2 B
U2 R L' F2 U L R'
U2 R L' F2 U R' L
B2 R L' B2 U L R'
B2 R L' B2 U R' L
F2 R L' B2 U' L R'
F2 R L' B2 U' R' L
D R L' B2 U L R'
