U' L U2 L' B R'
U' L U2 B L' R'
U' L U2 B R' L'
U' L' U2 L B R'
U' L2 U2 L2 B R'
U' L2 U2 B L2 R'
U' L2 U2 B R' L2
U' L2 B L2 R' F
U' L2 B L2 F R'
U' L2 B R' L2 F
U R B R' B L
R U2 R' U B R'
R2 U2 R2 U B R'
B' U2 B U' B R'
U F U2 F' B R'
U F U2 B F' R'
U F' U2 F B R'
U F' U2 B R' F
U F' U2 B F R'
U F2 U2 F2 B R'
U F2 U2 B R' F2
U F2 U2 B F2 R'
U F2 B R' F2 L'
U' B L2 R' F L2
U' B L2 F L2 R'
U' B L2 F R' L2
U' B R' L2 F L2
U' B R' U2 B' U2
U B R' U2 R U2
U B R' F2 L' F2
U B R2 D2 L2 R
U B R2 D2 R L2
U B F2 R' F2 L'
U' B' R' B2 R' F'
U' B' R2 F' B2 R'
U' B' R2 B2 F' R'
U B' R B2 L R'
U B' R B2 R' L
U' B2 D2 F2 B' R'
U' B2 D2 B' R' F2
U' B2 D2 B' F2 R'
U L' F2 B R' F2 L'
L2 R2 U2 R2 U B R'
R2 L2 U2 R2 U B R'
L R2 U2 R2 U B R'
R L2 U2 R' U B R'
U L' B R' U2 R U2
U L' B R' F2 L' F2
U L' B R2 D2 L2 R
U L' B R2 D2 R L2
U L' B F2 R' F2 L'
U2 L' B' U B2 R' F'
U L' B' R B2 L R'
U L' B' R B2 R' L
U L2 R B R' B L
B L2 R' U' R F U
U2 L2 U B R' D F2
U2 L2 U B D R' F2
U2 L2 U B D F2 R'
U' L2 U2 L' B L' R'
U' L2 U2 L' B R' L'
U' L2 U2 L2 B R' D
U' L2 U2 L2 B R' D'
U' L2 U2 L2 B R' D2
U' L2 U2 L2 B D R'
U' L2 U2 L2 B D' R'
U' L2 U2 L2 B D2 R'
U2 L2 U2 L2 U' B R'
U' L2 U2 B L2 R' D
U' L2 U2 B L2 R' D'
U' L2 U2 B L2 R' D2
U' L2 U2 B L2 D R'
U' L2 U2 B L2 D' R'
U' L2 U2 B L2 D2 R'
U' L2 U2 B R' L2 D
U' L2 U2 B R' L2 D'
U' L2 U2 B R' L2 D2
U' L2 D2 R2 F' U2 R
U' L2 F U2 L2 B R'
U' L2 F U2 B L2 R'
U' L2 F U2 B R' L2
U' L2 F B L2 R' F
U' L2 F B L2 F R'
U' L2 F B R' L2 F
U L2 F U2 F' B R'
U L2 F U2 B F' R'
B L2 F B' U B R'
B L2 F B2 U B2 R'
U' L2 F' U2 L2 B R'
U' L2 F' U2 B L2 R'
U' L2 F' U2 B R' L2
U' L2 F' B L2 R' F
U' L2 F' B L2 F R'
U' L2 F' B R' L2 F
L' U R B R' B L
U L2 F' U2 F B R'
U L2 F' U2 B R' F
U L2 F' U2 B F R'
U' L2 F2 U2 L2 B R'
L2 U R B R' B L
U' L2 F2 U2 B L2 R'
U' L2 F2 U2 B R' L2
L U R B R' B L
U' L2 F2 B L2 R' F
U' L2 F2 B L2 F R'
U' L2 F2 B R' L2 F
U' L2 B L2 R F R2
U' L2 B L2 R' D F
U' L2 B L2 R' D' F
U' L2 B L2 R' D2 F
U' L2 B L2 R' F D
U' L2 B L2 R' F D'
U' L2 B L2 R' F D2
U' L2 B L2 D R' F
U' L2 B L2 D F R'
U' L2 B L2 D' R' F
U' L2 B L2 D' F R'
U' L2 B L2 D2 R' F
U' L2 B L2 D2 F R'
U' L2 B L2 F R' D
U' L2 B L2 F R' D'
U' L2 B L2 F R' D2
U' L2 B L2 F D R'
U' L2 B L2 F D' R'
U' L2 B L2 F D2 R'
U' L2 B L2 F' R' F2
U' L2 B R L2 F R2
U' L2 B R' L2 D F
U' L2 B R' L2 D' F
U' L2 B R' L2 D2 F
U' L2 B R' L2 F D
U' L2 B R' L2 F D'
U' L2 B R' L2 F D2
U L2 F2 U2 F2 B R'
U L2 F2 U2 B R' F2
U L2 F2 U2 B F2 R'
U' L2 B R' F L2 F
U' L2 B R' F' L2 F
U' L2 B R' F2 L2 F
U L2 F2 B R' F2 L'
U' L2 B F L2 R' F
U' L2 B F L2 F R'
U' L2 B F R' L2 F
U' L2 B F' L2 R' F
U' L2 B F' L2 F R'
U' L2 B F' R' L2 F
U' L2 B F2 L2 R' F
U' L2 B F2 L2 F R'
U' L2 B F2 R' L2 F
U L2 B R' U2 R U2
U L2 B R' F2 L' F2
U L2 B R2 D2 L2 R
U L2 B R2 D2 R L2
U L2 B F2 R' F2 L'
U L2 B' R B2 L R'
U L2 B' R B2 R' L
B L2 B' F U B R'
B L2 B2 F U B2 R'
U R L B R' B L
L' U F U2 F' B R'
L' U F U2 B F' R'
L2 U F U2 F' B R'
L2 U F U2 B F' R'
L U F U2 F' B R'
L U F U2 B F' R'
U R L' B R' B L
L' U F' U2 F B R'
L' U F' U2 B R' F
L' U F' U2 B F R'
L2 U F' U2 F B R'
L2 U F' U2 B R' F
L2 U F' U2 B F R'
U R L2 B R' B L
L U F' U2 F B R'
L U F' U2 B R' F
L U F' U2 B F R'
L' U F2 U2 F2 B R'
L' U F2 U2 B R' F2
L' U F2 U2 B F2 R'
L' U F2 B R' F2 L'
L2 U F2 U2 F2 B R'
L2 U F2 U2 B R' F2
L2 U F2 U2 B F2 R'
L2 U F2 B R' F2 L'
L U F2 U2 F2 B R'
L U F2 U2 B R' F2
L U F2 U2 B F2 R'
L' U B R' U2 R U2
L' U B R' F2 L' F2
L' U B R2 D2 L2 R
L' U B R2 D2 R L2
L U F2 B R' F2 L'
L2 U B R' U2 R U2
L2 U B R' F2 L' F2
L2 U B R2 D2 L2 R
L2 U B R2 D2 R L2
F' R U2 R' U B R'
L' U B F2 R' F2 L'
L U B R' U2 R U2
L U B R' F2 L' F2
L U B R2 D2 L2 R
L U B R2 D2 R L2
F2 R U2 R' U B R'
L' U B' R B2 L R'
L' U B' R B2 R' L
L2 U B F2 R' F2 L'
F R U2 R' U B R'
U R U2 R' U2 B R'
L2 U B' R B2 L R'
L2 U B' R B2 R' L
L U B F2 R' F2 L'
L U B' R B2 L R'
L U B' R B2 R' L
L' U' L U2 L' B R'
L' U' L U2 B L' R'
L' U' L U2 B R' L'
L2 U' L U2 L' B R'
L2 U' L U2 B L' R'
L2 U' L U2 B R' L'
L U' L U2 L' B R'
L U' L U2 B L' R'
L U' L U2 B R' L'
L' U' L' U2 L B R'
L2 U' L' U2 L B R'
L U' L' U2 L B R'
L' U' L2 U2 L2 B R'
L' U' L2 U2 B L2 R'
L' U' L2 U2 B R' L2
L2 U' L2 U2 L2 B R'
L2 U' L2 U2 B L2 R'
L2 U' L2 U2 B R' L2
L' U' L2 B L2 R' F
L' U' L2 B L2 F R'
L' U' L2 B R' L2 F
L U' L2 U2 L2 B R'
D' R F' U2 R' U B
L U' L2 U2 B L2 R'
L U' L2 U2 B R' L2
L2 U' L2 B L2 R' F
L2 U' L2 B L2 F R'
L2 U' L2 B R' L2 F
L U' L2 B L2 R' F
L U' L2 B L2 F R'
L U' L2 B R' L2 F
U' R B R' B D2 F2
U R B L R' B L
U R B L' R' B L
U R B L2 R' B L
U R B R' L B L
U R B R' L' B L
U R B R' L2 B L
U R B R' D B L
U R B R' D' B L
U R B R' D2 B L
U R B R' B L D
U R B R' B L D'
U R B R' B L D2
U R B R' B D L
U R B R' B D' L
U R B R' B D2 L
B2 R B2 L U' B R'
U R B2 L B' R' B
U R B2 D2 L B' R'
B R' L2 U' R F U
B R' U B' U2 R U
L' U' B L2 R' F L2
L' U' B L2 F L2 R'
L' U' B L2 F R' L2
L' U' B R' L2 F L2
L' U' B R' U2 B' U2
B R' U' R U2 B' U'
L2 U' B L2 R' F L2
L2 U' B L2 F L2 R'
L2 U' B L2 F R' L2
L2 U' B R' L2 F L2
L2 U' B R' U2 B' U2
L U' B L2 R' F L2
L U' B L2 F L2 R'
L U' B L2 F R' L2
L U' B R' L2 F L2
L U' B R' U2 B' U2
L' U' B' R' B2 R' F'
L' U' B' R2 F' B2 R'
L' U' B' R2 B2 F' R'
L2 U' B' R' B2 R' F'
L2 U' B' R2 F' B2 R'
L2 U' B' R2 B2 F' R'
L U' B' R' B2 R' F'
L U' B' R2 F' B2 R'
L U' B' R2 B2 F' R'
L' U' B2 D2 F2 B' R'
L' U' B2 D2 B' R' F2
L' U' B2 D2 B' F2 R'
L2 U' B2 D2 F2 B' R'
L2 U' B2 D2 B' R' F2
L2 U' B2 D2 B' F2 R'
L U' B2 D2 F2 B' R'
L U' B2 D2 B' R' F2
L U' B2 D2 B' F2 R'
R2 U2 L R2 U B R'
R U2 L R' U B R'
R2 U2 L' R2 U B R'
R U2 L' R' U B R'
R2 U2 L2 R2 U B R'
R U2 L2 R' U B R'
B R' F2 U B' L' U'
R U2 R' L U B R'
R U2 R' L' U B R'
R U2 R' L2 U B R'
R U2 R' U B R' D
R U2 R' U B R' D'
R U2 R' U B R' D2
R U2 R' U B D R'
R U2 R' U B D' R'
R U2 R' U B D2 R'
R2 U2 R2 L U B R'
R2 U2 R2 L' U B R'
R2 U2 R2 L2 U B R'
R2 U2 R2 U B R' D
R2 U2 R2 U B R' D'
R2 U2 R2 U B R' D2
R2 U2 R2 U B D R'
R2 U2 R2 U B D' R'
R2 U2 R2 U B D2 R'
R U2 R' B' U B2 R'
R2 U2 R2 B' U B2 R'
F' R2 U2 R2 U B R'
R2 U2 B R2 U B R
F2 R2 U2 R2 U B R'
R U2 B U R' F' B
R U2 B U R' B F'
F R2 U2 R2 U B R'
U R2 U2 R2 U2 B R'
B2 R2 D B' L2 R' F
B2 R2 D B' L2 F R'
B2 R2 D B' R' L2 F
B' R2 F' R2 U B2 R'
F' U R B R' B L
F2 U R B R' B L
F U R B R' B L
B U R' U R B' U'
B U R' U B' R U'
D2 U F L' U2 F' B
D2 U F L' U2 B F'
D2 U F' U2 B R F
F' U F U2 F' B R'
F' U F U2 B F' R'
F2 U F U2 F' B R'
F2 U F U2 B F' R'
F' U F' U2 F B R'
F' U F' U2 B R' F
F' U F' U2 B F R'
F U F U2 F' B R'
F U F U2 B F' R'
F2 U F' U2 F B R'
F2 U F' U2 B R' F
F2 U F' U2 B F R'
F' U F2 U2 F2 B R'
F' U F2 U2 B R' F2
F' U F2 U2 B F2 R'
F' U F2 B R' F2 L'
F U F' U2 F B R'
F U F' U2 B R' F
F U F' U2 B F R'
F2 U F2 U2 F2 B R'
F2 U F2 U2 B R' F2
F2 U F2 U2 B F2 R'
F2 U F2 B R' F2 L'
F' U B R' U2 R U2
F' U B R' F2 L' F2
F' U B R2 D2 L2 R
F' U B R2 D2 R L2
F2 U B R' U2 R U2
F2 U B R' F2 L' F2
F2 U B R2 D2 L2 R
F2 U B R2 D2 R L2
F U F2 U2 F2 B R'
F U F2 U2 B R' F2
F U F2 U2 B F2 R'
F' U B F2 R' F2 L'
F U F2 B R' F2 L'
F' U B' R B2 L R'
F' U B' R B2 R' L
F2 U B F2 R' F2 L'
F U B R' U2 R U2
F2 U B' R B2 L R'
F2 U B' R B2 R' L
B' U B' D B' L2 R'
B' U B' D B' R' L2
F U B R' F2 L' F2
F U B R2 D2 L2 R
F U B R2 D2 R L2
B' U B2 R' U B' U'
F U B F2 R' F2 L'
F U B' R B2 L R'
F U B' R B2 R' L
B' U' L U' B U' B
F' U' L U2 L' B R'
F' U' L U2 B L' R'
F' U' L U2 B R' L'
F2 U' L U2 L' B R'
F2 U' L U2 B L' R'
F2 U' L U2 B R' L'
F' U' L' U2 L B R'
F2 U' L' U2 L B R'
F U' L U2 L' B R'
F U' L U2 B L' R'
F U' L U2 B R' L'
F' U' L2 U2 L2 B R'
F' U' L2 U2 B L2 R'
F' U' L2 U2 B R' L2
F2 U' L2 U2 L2 B R'
F2 U' L2 U2 B L2 R'
F2 U' L2 U2 B R' L2
F U' L' U2 L B R'
F' U' L2 B L2 R' F
F' U' L2 B L2 F R'
F' U' L2 B R' L2 F
F2 U' L2 B L2 R' F
F2 U' L2 B L2 F R'
F2 U' L2 B R' L2 F
D2 U' F L' U2 L B
F U' L2 U2 L2 B R'
F U' L2 U2 B L2 R'
F U' L2 U2 B R' L2
F U' L2 B L2 R' F
F U' L2 B L2 F R'
F U' L2 B R' L2 F
D2 U' B' R2 F' R B2
D2 U' B' R2 F' B2 R
D2 U' B' R2 B2 F' R
R2 D2 L2 U F' U2 R
F' U' B L2 R' F L2
F' U' B L2 F L2 R'
F' U' B L2 F R' L2
F' U' B R' L2 F L2
F' U' B R' U2 B' U2
F2 U' B L2 R' F L2
F2 U' B L2 F L2 R'
F2 U' B L2 F R' L2
F2 U' B R' L2 F L2
F2 U' B R' U2 B' U2
F' U' B' R' B2 R' F'
F' U' B' R2 F' B2 R'
F' U' B' R2 B2 F' R'
F U' B L2 R' F L2
F U' B L2 F L2 R'
F U' B L2 F R' L2
F2 U' B' R' B2 R' F'
F2 U' B' R2 F' B2 R'
F U' B R' L2 F L2
F2 U' B' R2 B2 F' R'
F U' B R' U2 B' U2
F U' B' R' B2 R' F'
F U' B' R2 F' B2 R'
F' U' B2 D2 F2 B' R'
F U' B' R2 B2 F' R'
F' U' B2 D2 B' R' F2
F' U' B2 D2 B' F2 R'
F2 U' B2 D2 F2 B' R'
F2 U' B2 D2 B' R' F2
F2 U' B2 D2 B' F2 R'
U' D2 F L' U2 L B
F U' B2 D2 F2 B' R'
F U' B2 D2 B' R' F2
F U' B2 D2 B' F2 R'
U D2 F L' U2 F' B
U D2 F L' U2 B F'
U D2 F' U2 B R F
U' D2 B' R2 F' R B2
U' D2 B' R2 F' B2 R
U' D2 B' R2 B2 F' R
U' F L U2 L' B R'
U' F L U2 B L' R'
U' F L U2 B R' L'
U' F L' U2 L B R'
U F L U2 F' B R'
U F L U2 B F' R'
U' F L2 U2 L2 B R'
U' F L2 U2 B L2 R'
U' F L2 U2 B R' L2
B' U2 F B U' B R'
U' F L2 B L2 R' F
U' F L2 B L2 F R'
U' F L2 B R' L2 F
B2 U2 F B2 U' B R
U F L' U2 F' B R'
U F L' U2 B F' R'
B' U2 F' B U' B R'
U F L2 U2 F' B R'
U F L2 U2 B F' R'
B' U2 F2 B U' B R'
B' U2 B U' B R' D
B' U2 B U' B R' D'
B' U2 B U' B R' D2
B' U2 B U' B D R'
B' U2 B U' B D' R'
B' U2 B U' B D2 R'
B' U2 B F U' B R'
B' U2 B F' U' B R'
B' U2 B F2 U' B R'
D2 F U' L' U2 L B
B2 U2 B2 F U' B R
U2 F U2 F' U B R'
R F U2 R' U B R'
U F U2 D2 F' B R
U F U2 D2 B F' R
U F U2 F B R' F2
U F U2 F' B R' D
U F U2 F' B R' D'
U F U2 F' B R' D2
U F U2 F' B D R'
U F U2 F' B D' R'
U F U2 F' B D2 R'
U F U2 F2 B R' F
U F U2 B D F' R'
U F U2 B D' F' R'
U F U2 B D2 F' R'
U F U2 B F R' F2
U F U2 B F' R' D
U F U2 B F' R' D'
U F U2 B F' R' D2
U F U2 B F' D R'
U F U2 B F' D' R'
U F U2 B F' D2 R'
U F U2 B F2 R' F
U' F B L2 R' F L2
U' F B L2 F L2 R'
U' F B L2 F R' L2
U' F B R' L2 F L2
U' F B R' U2 B' U2
U' F B' R' B2 R' F'
U' F B' R2 F' B2 R'
U' F B' R2 B2 F' R'
U F D2 U2 F' B R
U F D2 U2 B F' R
U' F B2 D2 F2 B' R'
U' F B2 D2 B' R' F2
U' F B2 D2 B' F2 R'
U' F' L U2 L' B R'
U' F' L U2 B L' R'
U' F' L U2 B R' L'
U F B' L U2 F' B2
U F B' L U2 B2 F'
U F B' U2 F' B2 R'
U F B' U2 B2 F' R'
U' F' L' U2 L B R'
U' F' L2 U2 L2 B R'
U' F' L2 U2 B L2 R'
U' F' L2 U2 B R' L2
U' F' L2 B L2 R' F
U' F' L2 B L2 F R'
U' F' L2 B R' L2 F
U F' L' U2 B R' F'
R' F' R U' B R' F'
U F' L2 B' L U2 B2
U F' L2 B' U2 B2 R'
B2 D B U B2 L2 R'
B2 D B U B2 R' L2
B' D B2 L2 F U R'
D2 F' U B' R B2 L
B2 D B2 U L2 B R'
B2 D B2 U B L2 R'
B2 D B2 U B R' L2
U2 F' U2 F U B R'
R F' U2 R' U B R'
U F' U2 F B R' D
U F' U2 F B R' D'
U F' U2 F B R' D2
U F' U2 F B D R'
U F' U2 F B D' R'
U F' U2 F B D2 R'
U F' U2 F' B R' F2
U F' U2 B R F R2
U F' U2 B R' D F
U F' U2 B R' D' F
U F' U2 B R' D2 F
U F' U2 B R' F D
U F' U2 B R' F D'
U F' U2 B R' F D2
U F' U2 B D R' F
U F' U2 B D F R'
U F' U2 B D' R' F
U F' U2 B D' F R'
U F' U2 B D2 R' F
U F' U2 B D2 F R'
U F' U2 B F R' D
U F' U2 B F R' D'
U F' U2 B F R' D2
U F' U2 B F D R'
U F' U2 B F D' R'
U F' U2 B F D2 R'
U F' U2 B F' R' F2
U' F' B L2 R' F L2
U' F' B L2 F L2 R'
U' F' B L2 F R' L2
U' F' B R' L2 F L2
U' F' B R' U2 B' U2
U' F' B' R' B2 R' F'
U' F' B' R2 F' B2 R'
U' F' B' R2 B2 F' R'
U' F' B2 D2 F2 B' R'
U' F' B2 D2 B' R' F2
U' F' B2 D2 B' F2 R'
U F' B R' F2 L' F'
U' F2 L U2 L' B R'
U' F2 L U2 B L' R'
U' F2 L U2 B R' L'
U F' B' U2 F B2 R'
U F' B' U2 B2 R' F
U F' B' U2 B2 F R'
R' F2 L' R U' B R'
U' F2 L' U2 L B R'
U F' B2 U2 F R B'
U F' B2 U2 F B' R
U F' B2 U2 B' F R
U' F2 L2 U2 L2 B R'
U' F2 L2 U2 B L2 R'
U' F2 L2 U2 B R' L2
U F2 L U2 F2 B R'
U F2 L U2 B R' F2
U F2 L U2 B F2 R'
U' F2 L2 B L2 R' F
U' F2 L2 B L2 F R'
U' F2 L2 B R' L2 F
U F2 L B R' F2 L'
R' F2 R L' U' B R'
U F2 L' U2 F2 B R'
U F2 L' U2 B R' F2
U F2 L' U2 B F2 R'
U F2 L' B R' F2 L'
U F2 L2 U2 F2 B R'
U F2 L2 U2 B R' F2
U F2 L2 U2 B F2 R'
U F2 L2 B R' F2 L'
U2 F2 U' B R' D' L2
U2 F2 U' B D' L2 R'
U2 F2 U' B D' R' L2
U2 F2 U2 F2 U B R'
U F2 U2 F B R' F
R F2 U2 R' U B R'
U F2 U2 F2 B R' D
U F2 U2 F2 B R' D'
U F2 U2 F2 B R' D2
U F2 U2 F2 B D R'
U F2 U2 F2 B D' R'
U F2 U2 F2 B D2 R'
U F2 U2 B R F2 R2
U F2 U2 B R' F2 D
U F2 U2 B R' F2 D'
U F2 U2 B R' F2 D2
U F2 U2 B F R' F
U F2 U2 B F2 R' D
U F2 U2 B F2 R' D'
U F2 U2 B F2 R' D2
U F2 U2 B F2 D R'
U F2 U2 B F2 D' R'
U F2 U2 B F2 D2 R'
U' F2 B L2 R' F L2
U' F2 B L2 F L2 R'
U' F2 B L2 F R' L2
U' F2 B R' L2 F L2
U' F2 B R' U2 B' U2
U' F2 B' R' B2 R' F'
U' F2 B' R2 F' B2 R'
U' F2 B' R2 B2 F' R'
U F2 B L R' F2 L'
U F2 B L' R' F2 L'
U' F2 B2 D2 F2 B' R'
U' F2 B2 D2 B' R' F2
U' F2 B2 D2 B' F2 R'
U F2 B L2 R' F2 L'
U F2 B R' L F2 L'
U F2 B R' L' F2 L'
U F2 B R' L2 F2 L'
U F2 B R' F2 L' D
U F2 B R' F2 L' D'
U F2 B R' F2 L' D2
U F2 B R' F2 D L'
U F2 B R' F2 D' L'
U F2 B R' F2 D2 L'
U F2 B' L U2 F2 B2
U F2 B' L U2 B2 F2
U F2 B' U2 F2 B2 R'
U F2 B' U2 B2 R' F2
U F2 B' U2 B2 F2 R'
U' B L2 R F L2 R2
U' B L2 R F R2 L2
U' B L2 R' F L2 D
U' B L2 R' F L2 D'
U' B L2 R' F L2 D2
U' B L2 R' F' L2 F2
U' B L2 R' F2 L2 F'
U B L R' U2 R U2
U B L R' F2 L' F2
U B L R2 D2 L2 R
U B L R2 D2 R L2
U' B L2 F L2 R' D
U' B L2 F L2 R' D'
U' B L2 F L2 R' D2
U' B L2 F L2 D R'
U' B L2 F L2 D' R'
U' B L2 F L2 D2 R'
U' B L2 F R' L2 D
U' B L2 F R' L2 D'
U' B L2 F R' L2 D2
U' B L2 F' L2 R' F2
U' B L2 F' L2 F2 R'
D B L B' U B L
U' B L2 F' R' L2 F2
U' B L2 F' R' F2 L2
U' B L2 F2 L2 F' R'
U B L F2 R' F2 L'
U' B R L2 F L2 R2
U' B R L2 F R2 L2
U' B R U2 B' U2 R2
U B L' R' U2 R U2
U B L' R' F2 L' F2
U B L' R2 D2 L2 R
U B L' R2 D2 R L2
U' B R B2 R2 F' B2
U' B R B2 R2 B2 F'
U' B R' L2 F L2 D
U' B R' L2 F L2 D'
U' B R' L2 F L2 D2
U B L' F2 R' F2 L'
U' B R' L2 F' L2 F2
U' B R' L2 F2 L2 F'
U' B R' U L2 U' F
U' B R' U2 D B' U2
U' B R' U2 D' B' U2
U' B R' U2 D2 B' U2
U' B R' U2 B' U2 D
U' B R' U2 B' U2 D'
U' B R' U2 B' U2 D2
U' B R' U2 B' D U2
U' B R' U2 B' D' U2
U' B R' U2 B' D2 U2
U' B R' D L2 F L2
U' B R' D U2 B' U2
U' B R' D' L2 F L2
U B L2 R' U2 R U2
U' B R' D' U2 B' U2
U B L2 R' F2 L' F2
U' B R' D2 L2 F L2
U B L2 R2 D2 L2 R
U B L2 R2 D2 R L2
U' B R' D2 U2 B' U2
U' B R' F L2 F L2
U' B R' F U2 B' U2
U' B R' F' L2 F L2
U' B R' F' U2 B' U2
U' B R' F2 L2 F L2
U' B R' F2 U2 B' U2
U' B R' B D2 F2 B'
U' B R' B D2 B' F2
B2 D2 F2 B U B2 R'
U B L2 F2 R' F2 L'
B2 D2 F2 B2 U B R'
U' B R2 U2 B' U2 R
U B R U2 R' U2 R'
U B R F2 R2 F2 L'
U' B U L2 U' R' F
U' B U L2 U' F R'
B2 D2 B F2 U B2 R'
U B R B2 L R2 B2
U B R B2 L B2 R2
U B R B2 R2 L B2
U B R' L U2 R U2
U B R' L F2 L' F2
U B R' L' U2 R U2
U B R' L' F2 L' F2
U B R' L2 U2 R U2
U B R' L2 F2 L' F2
U B R' U' F2 U L'
U B R' U2 R U2 D
U B R' U2 R U2 D'
U B R' U2 R U2 D2
U B R' U2 R D U2
U B R' U2 R D' U2
U B R' U2 R D2 U2
U B R' U2 D R U2
U B R' U2 D' R U2
U B R' U2 D2 R U2
U B R' D U2 R U2
U B R' D F2 L' F2
U B R' D' U2 R U2
U B R' D' F2 L' F2
U B R' D2 U2 R U2
U B R' D2 F2 L' F2
U B R' F2 L F2 L2
U B R' F2 L' F2 D
U B R' F2 L' F2 D'
U B R' F2 L' F2 D2
U B R' F2 L2 F2 L
U B R2 L D2 L2 R
U B R2 L D2 R L2
U B R2 L' D2 L2 R
U B R2 L' D2 R L2
U B R2 L2 D2 L2 R
U B R2 L2 D2 R L2
U B R2 U2 R2 U2 R'
U B R2 D R D L2
U B R2 D' R D' L2
U B R2 D2 L2 R D
U B R2 D2 L2 R D'
U B R2 D2 L2 R D2
U B R2 D2 L2 D R
U B R2 D2 L2 D' R
U B R2 D2 L2 D2 R
U B R2 D2 R L2 D
U B R2 D2 R L2 D'
U B R2 D2 R L2 D2
U' B U2 L U2 R' F'
U' B U2 L2 U2 R' F
U' B U2 L2 U2 F R'
B2 D2 B2 F2 U B R'
U' B U2 B2 L B U2
U' B D L2 R' F L2
U' B D L2 F L2 R'
U' B D L2 F R' L2
U' B D R' L2 F L2
U' B D R' U2 B' U2
U' B D' L2 R' F L2
U' B D' L2 F L2 R'
U' B D' L2 F R' L2
U' B D' R' L2 F L2
U' B D' R' U2 B' U2
U B U2 L U2 L' R'
U B U2 L U2 R' L'
U B U2 L' U2 L R'
U B U2 L' U2 R' L
U B U2 L2 U2 L2 R'
U B U2 L2 U2 R' L2
U' B D2 L2 R' F L2
U' B D2 L2 F L2 R'
U' B D2 L2 F R' L2
U' B D2 R' L2 F L2
U' B D2 R' U2 B' U2
U B D R' U2 R U2
U B D R' F2 L' F2
U B D R2 D2 L2 R
U B D R2 D2 R L2
U' B F L2 R' F L2
U' B F L2 F L2 R'
U' B F L2 F R' L2
U B D F2 R' F2 L'
U' B F R' L2 F L2
U' B F R' U2 B' U2
U B D' R' U2 R U2
U B D' R' F2 L' F2
U B D' R2 D2 L2 R
