L2 R B D R2 F'
R L2 B D R2 F'
R B L2 D R2 F'
R B R2 L2 D F' R2
L2 B D R B R F'
R B D R2 D' L2 F'
R B D R2 D' F' L2
R' B' L2 D R2 F B
R' B' L2 D R2 B F
U' B' R' F2 U' L2 F
R B' L2 B2 D R2 F
R B' L2 B2 D F R2
F2 B' R U' L2 F B
F2 B' R U' L2 B F
U' B' F2 R' U' L2 F
R' B' F2 U' L2 F B'
R' B' F2 U' L2 B' F
R B' F2 U' L2 F B2
R B' F2 U' L2 B2 F
D2 B2 R U F2 L' B
D2 B2 R U F2 B L'
D2 B2 R U B F2 L'
B' F2 R U' L2 F B
B' F2 R U' L2 B F
L B2 R' U2 D R2 B
L B2 R' D U2 R2 B
L B2 R' D F' U2 R2
L B2 R' D' L2 F' U2
L B2 R' D' F' L2 U2
L B2 R' F' U' F' U'
R' B2 U' F2 U' L2 B'
R' B2 U2 L2 D R2 B
L' B2 U2 L' D R2 B'
L' B2 U2 L' D B' R2
L' B2 U2 L' B' D R2
L' B2 U2 D L' R2 B'
L' B2 U2 D L' B' R2
L' B2 U2 D R2 L' B'
L' B2 D U2 L' R2 B'
L' B2 D U2 L' B' R2
L' B2 D U2 R2 L' B'
R B2 U' F2 U' B' L2
L B2 D R' F' U2 R'
R B2 U2 B' L2 D R2
L B2 D' L2 R' F' U2
L B2 D' R' L2 F' U2
L B2 D' R' F' L2 U2
R' B2 F' U' F' U' L2
