R U R' B' U2
B' U' R U' R'
L2 R U R' U2 F
B' L U' R U' R'
L2 R B2 U' F L
B' L' U' R U' R'
R L2 U R' U2 F
U' L2 R U' R' F
U' L2 R U' F R'
B' L2 U' R U' R'
R L2 B2 U' F L
R U R B' R2 U2
R U R' D B' U2
R U R' D' B' U2
R U R' D2 B' U2
R U R' B' U2 D
R U R' B' U2 D'
R U R' B' U2 D2
R U R' B' D U2
R U R' B' D' U2
R U R' B' D2 U2
R U R2 B' R U2
R U D R' B' U2
R U D' R' B' U2
R U D2 R' B' U2
U' R L2 U' R' F
U' R L2 U' F R'
D' R U R' B' U2
D2 R U R' B' U2
B2 R U R' B U2
D R U R' B' U2
B R U R' B2 U2
B R U B2 U2 L
L2 U' R U' R' F
L2 U' R U' F R'
L U' R U' R' F'
R D U R' B' U2
R D' U R' B' U2
B' U' R U' R' D
B' U' R U' R' D'
B' U' R U' R' D2
B' U' R U' D R'
B' U' R U' D' R'
B' U' R U' D2 R'
B' U' R D U' R'
B' U' R D' U' R'
B' U' R D2 U' R'
B' U' R F U' R'
B' U' R F' U' R'
B' U' R F2 U' R'
B' U' D R U' R'
B' U' D' R U' R'
B' U' D2 R U' R'
R2 D2 R' U' L2 F
R D2 U R' B' U2
B' D U' R U' R'
B' D' U' R U' R'
B' D2 U' R U' R'
B' F U' F' R U'
D2 B' U' R U' R'
D' B' U' R U' R'
D B' U' R U' R'
F2 B' U' F2 R U'
F B' U' F' R U'
B' F2 U' F2 R U'
R U D2 R' D' B' U2
R U D2 R' D2 B' U2
R U D2 R' B' U2 D
R U D2 R' B' U2 D'
R U D2 R' B' U2 D2
R U D2 R' B' D U2
R U D2 R' B' D' U2
R U D2 R' B' D2 U2
B R L' U R' B2 U2
R U D2 R2 B' R U2
B R L' U B2 U2 L
D2 R L2 U R' U2 F
D' R L2 U R' U2 F
U' R L2 U' R F R2
U' R L2 U' R' D F
U' R L2 U' R' D' F
U' R L2 U' R' D2 F
U' R L2 U' R' F D
U' R L2 U' R' F D'
U' R L2 U' R' F D2
U' R L2 U' D R' F
U' R L2 U' D F R'
U' R L2 U' D F R'
U' R L2 U' D' R' F
U' R L2 U' D' F R'
U' R L2 U' D2 R' F
U' R L2 U' D2 F R'
U' R L2 U' F R' D
U' R L2 U' F R' D'
U' R L2 U' F R' D2
U' R L2 U' F D R'
U' R L2 U' F D' R'
U' R L2 U' F D2 R'
U' R L2 U' F' R' F2
B2 R L2 U R' B U2
U' R L2 D U' R' F
U' R L2 D U' F R'
U' R L2 D' U' R' F
U' R L2 D' U' F R'
U' R L2 D2 U' R' F
U' R L2 D2 U' F R'
D R L2 U R' U2 F
B R L2 U R' B2 U2
B R L2 U B2 U2 L
U' R L2 F' U' R' F2
U' R L2 F' U' F2 R'
U' R L2 F2 U' F' R'
D2 R L2 B2 U' F L
D' R L2 B2 U' F L
U' R U L U2 R' F'
D2 R U R B' R2 U2
U' R U L2 U2 R' F
U' R U L2 U2 F R'
D2 R U R' D B' U2
D2 R U R' D' B' U2
D2 R U R' D2 B' U2
D2 R U R' B' U2 D
D2 R U R' B' U2 D'
D2 R U R' B' U2 D2
D2 R U R' B' D U2
D2 R U R' B' D' U2
D2 R U R' B' D2 U2
D' R U R B' R2 U2
D' R U R' D B' U2
D' R U R' D' B' U2
B' R U R' U R U
D' R U R' D2 B' U2
D2 R U R2 B' R U2
D' R U R' B' U2 D
D' R U R' B' U2 D'
D' R U R' B' U2 D2
D' R U R' B' D U2
D' R U R' B' D' U2
D' R U R' B' D2 U2
D2 R U D R' B' U2
D R L2 B2 U' F L
D' R U R2 B' R U2
D2 R U D' R' B' U2
D' R U D R' B' U2
D2 R U D2 R' B' U2
D' R U D' R' B' U2
B2 R U R' D B U2
B2 R U R' D' B U2
B2 R U R' D2 B U2
D' R U D2 R' B' U2
B2 R U R' B U2 D
B2 R U R' B U2 D'
B2 R U R' B U2 D2
B2 R U R' B D U2
B2 R U R' B D' U2
B2 R U R' B D2 U2
R U F' R' F B' U2
R U F' R' B' F U2
D R U R B' R2 U2
B R U R B2 R2 U2
D R U R' D B' U2
D R U R' D' B' U2
D R U R' D2 B' U2
B R U R' U2 D2 F2
D R U R' B' U2 D
D R U R' B' U2 D'
D R U R' B' U2 D2
D R U R' B' D U2
D R U R' B' D' U2
D R U R' B' D2 U2
B R U R' D2 U2 F2
B R U R' B2 U2 D
B R U R' B2 U2 D'
B R U R' B2 U2 D2
B R U R' B2 D U2
B R U R' B2 D' U2
B R U R' B2 D2 U2
D R U R2 B' R U2
D R U D R' B' U2
B R U R2 B2 R U2
D R U D' R' B' U2
D R U D2 R' B' U2
U' R U B2 L B U2
B R U D2 R' U2 F2
U' R U' L2 R' F L2
U' R U' L2 F L2 R'
U' R U' L2 F R' L2
U' R U' R' L2 F L2
U' R U' R' U2 B' U2
B R U B2 R U2 L
B R U B2 R' U2 L
B R U B2 R2 U2 L
B R U B2 U2 L D
B R U B2 U2 L D'
B R U B2 U2 L D2
B R U B2 U2 D L
B R U B2 U2 D' L
B R U B2 U2 D2 L
B R U B2 D U2 L
B R U B2 D' U2 L
B R U B2 D2 U2 L
R U F2 R' F2 B' U2
R U F2 R' B' F2 U2
R' U B' R U' R U'
R' U B' D R U2 B2
R' U B' D' R F2 U2
R' U B' D' F2 U2 L'
U' R D L2 U' R' F
U' R D L2 U' F R'
D2 R D U R' B' U2
D' R D U R' B' U2
B R D L2 U R' U2
B R D L2 B2 U' L
D R D U R' B' U2
R U B' U' B' U' L
R U B' U2 B' L B
B2 R D B2 U' L F
U' R D' L2 U' R' F
U' R D' L2 U' F R'
D2 R D' U R' B' U2
D' R D' U R' B' U2
B R D B2 L2 U' L'
R U B2 R' U2 L F
R U B2 R2 U2 L F'
R U B2 R2 U2 F' L
D R D' U R' B' U2
L U' L R U' R' F'
U' R D2 L2 U' R' F
U' R D2 L2 U' F R'
D2 R D2 U R' B' U2
D' R D2 U R' B' U2
L' U' L' R U' R' F
L' U' L' R U' F R'
R U' L U2 R' U2 F'
D R D2 U R' B' U2
B R D2 U R' U2 F2
U' R F L2 U' R' F
U' R F L2 U' F R'
L U' L' R U' R' F'
R U' L B2 L F B2
R U' L B2 L B2 F
B R D2 B2 U' L F2
B R D2 B2 U' F2 L
L U' L2 R U' R' F'
U' R F' L2 U' R' F
U' R F' L2 U' F R'
L' U' R L' U' R' F
L' U' R L' U' F R'
R U' L2 U2 R' U2 F
R U' L2 F U2 R' U2
R U' L2 F B2 L B2
L2 U' R U' R F R2
L2 U' R U' R' D F
L2 U' R U' R' D' F
L2 U' R U' R' D2 F
L2 U' R U' R' F D
L2 U' R U' R' F D'
L2 U' R U' R' F D2
L2 U' R U' D R' F
L2 U' R U' D F R'
L2 U' R U' D' R' F
L2 U' R U' D' F R'
L2 U' R U' D2 R' F
L2 U' R U' D2 F R'
L2 U' R U' F R' D
L2 U' R U' F R' D'
L2 U' R U' F R' D2
L2 U' R U' F D R'
L2 U' R U' F D' R'
L2 U' R U' F D2 R'
L2 U' R U' F' R' F2
L U' R L U' R' F'
U' R F2 L2 U' R' F
U' R F2 L2 U' F R'
L2 U' R D U' R' F
L2 U' R D U' F R'
L U' R L' U' R' F'
L U' R L2 U' R' F'
R U' L2 B2 F L B2
L2 U' R D' U' R' F
L2 U' R D' U' F R'
L2 U' R D2 U' R' F
L2 U' R D2 U' F R'
L U' R U' R' D F'
L U' R U' R' D' F'
L U' R U' R' D2 F'
L U' R U' R' F' D
L U' R U' R' F' D'
L U' R U' R' F' D2
L U' R U' D R' F'
L U' R U' D' R' F'
L U' R U' D2 R' F'
L U' R U' F R' F'
L U' R U' F' R' F'
L U' R U' F2 R' F'
L2 U' R F' U' R' F2
L2 U' R F' U' F2 R'
L2 U' R F2 U' F' R'
L U' R D U' R' F'
L U' R D' U' R' F'
L U' R D2 U' R' F'
L U' R F' L' U' R'
R U' R D2 L2 R' F
R U' R D2 L2 F R'
R U' R D2 R' L2 F
R U' R' B' U2 B R
B' R B' U B R' U2
B R B' U B' U2 L
L2 U' D R U' R' F
L2 U' D R U' F R'
L U' D R U' R' F'
B' R B2 U B2 R' U2
B' R B2 U' L D2 F2
B' R B2 U' D2 L F2
B' R B2 U' D2 F2 L
B' R B2 D L2 U' L'
B' R B2 D2 U' L F2
B' R B2 D2 U' F2 L
L2 U' D' R U' R' F
L2 U' D' R U' F R'
L U' D' R U' R' F'
L' U' D2 R U' F' R'
L2 U' D2 R U' R' F
L2 U' D2 R U' F R'
L U' D2 R U' R' F'
R U' F U2 R' B' U2
R U' F' U2 R' B' U2
R U' F2 U2 R' B' U2
U2 R' D B2 D' R2 F'
R U' B2 L' B2 L2 F
U2 R' D2 L2 U F L2
R U2 R U D2 L2 F
R U2 R U' R2 B' U2
R U2 R U' B' R2 U2
R U2 R D2 U L2 F
R U2 R2 U' R B' U2
R U2 R2 U' B' R U2
R U2 F U' R' B' U2
L' U2 F2 L' U F L
L2 U2 F2 L' U L F'
L2 U2 F2 L' U F' L
R U2 F' U' R' B' U2
R U2 F2 U' R' B' U2
B R2 D L2 R' B2 U'
B R2 D R' L2 B2 U'
B R2 D R' B2 L2 U'
D2 R2 D2 R' U' L2 F
D' R2 D2 R' U' L2 F
D R2 D2 R' U' L2 F
B R2 D2 R' U' L2 F2
B R2 D2 R' U' F2 L2
R2 D L2 R' B2 U' F
R D L2 U R' U2 F
L2 D R U R' U2 F
R D L2 B2 U' F L
L2 D R B2 U' F L
R2 D R B2 R2 U' F'
R2 D R' L2 B2 U' F
R2 D R' U' D L2 F
R2 D R' D U' L2 F
R2 D R' B2 U B U2
R' D U R B' U2 B'
R' D U B' R U2 B'
R D U R B' R2 U2
L2 D U' R U' R' F
L2 D U' R U' F R'
R D U R' D B' U2
R D U R' D' B' U2
R D U R' D2 B' U2
R D U R' B' U2 D
R D U R' B' U2 D'
R D U R' B' U2 D2
R D U R' B' D U2
R D U R' B' D' U2
R D U R' B' D2 U2
R D U R2 B' R U2
L D U' R U' R' F'
U' D L2 R U' R' F
U' D L2 R U' F R'
U' D R L2 U' R' F
U' D R L2 U' F R'
R D' L2 U R' U2 F
L2 D' R U R' U2 F
L' D' R B2 U' L F
R D' L2 B2 U' F L
L2 D' R B2 U' F L
R2 D' R' U' D' L2 F
B' U B U2 R U' R'
R2 D' R' D' U' L2 F
R' D' U R F2 B' U2
R' D' U R B' F2 U2
B' U B' U2 R U' R'
R' D' U F2 B' U2 L'
R' D' U B' R F2 U2
R' D' U B' F2 U2 L'
U' D' L2 R U' R' F
U' D' L2 R U' F R'
D' U' L2 R U' R' F
D' U' L2 R U' F R'
D2 U' L2 R U' R' F
D2 U' L2 R U' F R'
B' U B2 U2 R U' R'
L2 D' U' R U' R' F
L2 D' U' R U' F R'
R D' U R B' R2 U2
R D' U R' D B' U2
R D' U R' D' B' U2
R D' U R' D2 B' U2
R D' U R' B' U2 D
R D' U R' B' U2 D'
R D' U R' B' U2 D2
R D' U R' B' D U2
R D' U R' B' D' U2
R D' U R' B' D2 U2
U' D' R L2 U' R' F
R D' U R2 B' R U2
D' U' R L2 U' R' F
U' D' R L2 U' F R'
D' U' R L2 U' F R'
D U' L2 R U' R' F
D U' L2 R U' F R'
D2 U' R L2 U' R' F
D2 U' R L2 U' F R'
L D' U' R U' R' F'
D U' R L2 U' R' F
D U' R L2 U' F R'
B' U' R U L U2 R'
B' U' R U L' U2 R'
B' U' R U L2 U2 R'
B' U' R U' R2 D R
B' U' R U' R2 D' R
B' U' R U' R2 D2 R
B' U' R U' D R' D
B' U' R U' D R' D'
B' U' R U' D R' D2
B' U' R U' D' R' D
B' U' R U' D' R' D'
B' U' R U' D' R' D2
B' U' R U' D2 R' D
B' U' R U' D2 R' D'
B' U' R U' D2 R' D2
B' U' R U' F' R' F
B' U' R U' F2 R' F2
B' U' R D U' R' D
B' U' R D U' R' D'
B' U' R D U' R' D2
B' U' R D F U' R'
B' U' R D F' U' R'
B' U' R D F2 U' R'
B' U' R D' U' R' D
B' U' R D' U' R' D'
B' U' R D' U' R' D2
B' U' R D' F U' R'
B' U' R D' F' U' R'
B2 U' R U' R F' R2
B' U' R D' F2 U' R'
B' U' R D2 U' R' D
B' U' R D2 U' R' D'
B' U' R D2 U' R' D2
B' U' R D2 F U' R'
B' U' R D2 F' U' R'
B' U' R D2 F2 U' R'
B' U' R F U' R' D
B' U' R F U' R' D'
B' U' R F U' R' D2
B' U' R F U' D R'
B' U' R F U' D' R'
B' U' R F U' D2 R'
B' U' R F D U' R'
B' U' R F D' U' R'
B' U' R F D2 U' R'
B' U' R F' U' R' D
B' U' R F' U' R' D'
B' U' R F' U' R' D2
B' U' R F' U' D R'
B' U' R F' U' D' R'
B' U' R F' U' D2 R'
B' U' R F' D U' R'
B' U' R F' D' U' R'
B' U' R F' D2 U' R'
B' U' R F2 U' R' D
B' U' R F2 U' R' D'
B' U' R F2 U' R' D2
B' U' R F2 U' D R'
B' U' R F2 U' D' R'
B' U' R F2 U' D2 R'
B' U' R F2 D U' R'
B' U' R F2 D' U' R'
B' U' R F2 D2 U' R'
F U' L2 F' R U' F2
B' U' R' U' D R B2
B' U' R' U' D B2 R
B U' R U B2 L U2
B U' R U' R' D2 F2
B U' R U' D2 R' F2
B U' R U' D2 F2 R'
B' U' R' D U' R B2
B' U' R' D U' B2 R
B U' R D L2 U' R'
B U' R D2 U' R' F2
B U' R D2 U' F2 R'
B' U' R2 D' R' F2 U'
B' U' R2 D' F2 R' U'
B' U' R2 F R' U' R'
B' U' R2 F' R' U' R'
B' U' R2 F2 R' U' R'
B' U' D R U' R' D
B' U' D R U' R' D'
B' U' D R U' R' D2
B' U' D R U' D R'
B' U' D R U' D' R'
B' U' D R U' D2 R'
B' U' D R D U' R'
B' U' D R D' U' R'
B' U' D R D2 U' R'
B' U' D R F U' R'
B' U' D R F' U' R'
B' U' D R F2 U' R'
B' U' D' R U' R' D
B' U' D' R U' R' D'
B' U' D' R U' R' D2
B' U' D' R U' D R'
B' U' D' R U' D' R'
B' U' D' R U' D2 R'
B' U' D' R D U' R'
B' U' D' R D' U' R'
B' U' D' R D2 U' R'
B' U' D' R F U' R'
B' U' D' R F' U' R'
B' U' D' R F2 U' R'
B U' D L2 R U' R'
B U' D R L2 U' R'
B' U' D2 R U' R' D
B' U' D2 R U' R' D'
B' U' D2 R U' R' D2
B' U' D2 R U' D R'
B' U' D2 R U' D' R'
B' U' D2 R U' D2 R'
B' U' D2 R D U' R'
B' U' D2 R D' U' R'
B' U' D2 R D2 U' R'
B' U' D2 R F U' R'
B' U' D2 R F' U' R'
B' U' D2 R F2 U' R'
R2 D2 L' R' U' L' F
B U' D2 R U' R' F2
B U' D2 R U' F2 R'
B' U' F' R' U' R B
L2 D2 R U R' U2 F
R D2 L2 U R' U2 F
F2 U' F2 L2 R U' F
L' D2 R B2 U' L F'
L' D2 R B2 U' F' L
F2 U' F2 R L2 U' F
F2 U' F2 R U B' U2
F U' F' L2 R U' F
F U' F' R L2 U' F
U' D2 L2 R U' R' F
U' D2 L2 R U' F R'
F U' F' R U B' U2
L2 D2 R B2 U' F L
R D2 L2 B2 U' F L
R2 D2 R' L' U' L' F
R2 D2 R' U B' U2 L2
R2 D2 R' U' L2 D F
R2 D2 R' U' L2 D' F
R2 D2 R' U' L2 D2 F
R2 D2 R' U' L2 F D
R2 D2 R' U' L2 F D'
R2 D2 R' U' L2 F D2
R2 D2 R' U' F L2 F
R2 D2 R' U' F' L2 F
R2 D2 R' U' F2 L2 F
U' D2 R L2 U' R' F
U' D2 R L2 U' F R'
L' D2 U' R U' F' R'
L2 D2 U' R U' R' F
L2 D2 U' R U' F R'
R D2 U R B' R2 U2
R D2 U R' D B' U2
R D2 U R' D' B' U2
R D2 U R' D2 B' U2
R D2 U R' B' U2 D
R D2 U R' B' U2 D'
R D2 U R' B' U2 D2
R D2 U R' B' D U2
R D2 U R' B' D' U2
R D2 U R' B' D2 U2
R D2 U R2 B' R U2
L D2 U' R U' R' F'
B' U2 R' U R2 U' R2
B' U2 R' D B2 D' R2
B' U2 R2 U R' U' R
B' U2 F2 L' U L F2
B' U2 F2 L' U F2 L
B' D L U' R U' R'
B' D L' U' R U' R'
L F U' F' L' R U'
L F U' F' R L' U'
B' D L2 U' R U' R'
B D L2 R U R' U2
B D L2 R B2 U' L
B2 D R U R' B U2
B D R L2 U R' U2
B D R L2 B2 U' L
B D R B2 L2 U' L'
D' F B' U' F' R U'
D2 F B' U' F' R U'
B' D U' R U' R' D
B' D U' R U' R' D'
B' D U' R U' R' D2
B' D U' R U' D R'
B' D U' R U' D' R'
B' D U' R U' D2 R'
B' D U' R D U' R'
B' D U' R D' U' R'
B' D U' R D2 U' R'
B' D U' R F U' R'
B' D U' R F' U' R'
B' D U' R F2 U' R'
D F B' U' F' R U'
B D U' L2 R U' R'
B D U' R L2 U' R'
B' D F U' F' R U'
B' D F2 U' F2 R U'
B2 D B U' R U' R'
F2 D B' U L' U R2
B' D' L U' R U' R'
B' D' L' U' R U' R'
B' D' L2 U' R U' R'
B2 D' R U R' B U2
B' D' U' R U' R' D
B' D' U' R U' R' D'
B' D' U' R U' R' D2
B' D' U' R U' D R'
B' D' U' R U' D' R'
B' D' U' R U' D2 R'
B' D' U' R D U' R'
B' D' U' R D' U' R'
B' D' U' R D2 U' R'
B' D' U' R F U' R'
B' D' U' R F' U' R'
