U' L B2 U2 B U
U' L' F L2 B2 U'
U' L' F B2 L2 U'
U' L' B2 F L2 U'
L' U' F L2 B2 U'
L' U' F B2 L2 U'
L' U' B2 F L2 U'
L B2 U2 B U B'
L' U' F L2 B2 U' D
L' U' F L2 B2 U' D'
L' U' F L2 B2 U' D2
L' U' F L2 B2 D U'
L' U' F L2 B2 D' U'
L' U' F L2 B2 D2 U'
L' U' F U' D L2 F2
L' U' F U' D F2 L2
L' U' F D U' L2 F2
L' U' F D U' F2 L2
L' U' F B L2 B U'
L' U' F B2 L2 U' D
L' U' F B2 L2 U' D'
L' U' F B2 L2 U' D2
L' U' F B2 L2 D U'
L' U' F B2 L2 D' U'
L' U' F B2 L2 D2 U'
L' U' F B2 U' D F2
L' U' F B2 D U' F2
L' U' F' L2 F2 B2 U'
L' U' F' L2 B2 F2 U'
L' U' F' B2 L2 F2 U'
L' U' F2 L2 F' B2 U'
L' U' F2 L2 B2 F' U'
L' U' F2 B2 L2 F' U'
L' U' B F L2 B U'
L' U' B2 L2 U2 B' U
L2 U' B2 L' F U' R
L' U' B2 D F U' F
L' U' B2 F L2 U' D
L' U' B2 F L2 U' D'
L' U' B2 F L2 U' D2
L' U' B2 F L2 D U'
L' U' B2 F L2 D' U'
L' U' B2 F L2 D2 U'
L' U' B2 F U' D F2
L' U' B2 F D U' F2
L' U' B2 F' L2 F2 U'
L' U' B2 F2 L2 F' U'
L U2 D B' U L2 B
L U2 D B' U B L2
U' R2 L B2 R2 F' U'
L' U2 F L2 B2 U' B2
L U2 D2 F2 B' U B
L U2 D2 B' F2 U B
L' U2 F B2 L2 U' B2
L' U2 F' D L2 R2 F2
L' U2 F' D L2 F2 R2
L' U2 F' D R2 L2 F2
L' U2 F' D R2 F2 L2
L' U2 F' D F2 L2 R2
L' U2 F' D F2 R2 L2
L U2 B' L U B L
L U2 B' L2 F U B
L U2 B' U B D L2
L U2 B' U2 B' U' B2
L' U2 B2 F L2 U' B2
L' D U' F U' F L2
U' D L F' U' L R
U' D L F' U' R L
L D U2 B' U L2 B
L D U2 B' U B L2
U2 D L2 F' D R F'
U' D F' L U' L R
U' D F' L U' R L
D2 U F2 B2 R' B U
D2 U B2 R' F2 B U
D2 U B2 R' B F2 U
D2 U B2 F2 R' B U
L' D' R2 B2 U' F U'
D U' L F' U' L R
D U' L F' U' R L
D U' F' L U' L R
D U' F' L U' R L
L' D' B2 R2 U' F U'
D U2 L2 F' D R F'
L' D2 U F2 R2 B U
B2 U2 L R' B' U B
L D2 U2 F2 B' U B
L D2 U2 B' F2 U B
B2 U2 R' L B' U B
U D2 F2 B2 R' B U
U' F L B2 U2 B U
U D2 B2 R' F2 B U
U D2 B2 R' B F2 U
B2 U2 D2 R' B U B'
U' F L' F L2 B2 U'
U' F L' F B2 L2 U'
U D2 B2 F2 R' B U
U' F L' B2 F L2 U'
L' F L2 R2 B2 U' B'
L' F L2 B2 R2 U' B
L' F L2 B2 U F' U2
L' F R2 L2 B2 U' B'
L' F U' D F2 L2 B'
L' F D U' F2 L2 B'
L' F B2 L2 R2 U' B
L' F B2 L2 U F' U2
L' F B2 R2 L2 U' B
U' F' L B2 U2 B U
U' F' L' F L2 B2 U'
U' F' L' F B2 L2 U'
L F B2 R2 F' U' B
D F' L U' L R B'
D F' L U' L B' R
D F' L U' R L B'
U' F' L' B2 F L2 U'
L' F' L2 F2 B2 U' B
L' F' L2 B2 F2 U' B
L' F' D L2 R2 F2 B'
L' F' D L2 R2 B' F2
L' F' D L2 F2 R2 B'
L' F' D L2 F2 B' R2
L' F' D L2 B' R2 F2
L' F' D L2 B' F2 R2
L' F' D R2 L2 F2 B'
L' F' D R2 L2 B' F2
L' F' D F2 L2 R2 B
L' F' D F2 R2 L2 B
L' F' D F2 R2 B L2
L' F' B2 L2 F2 U' B'
U' F2 L B2 U2 B U
U' F2 L' F L2 B2 U'
U' F2 L' F B2 L2 U'
U' F2 L' B2 F L2 U'
B2 D2 U2 R' B U B'
L F2 B2 D R2 F' U'
D' B R2 U2 D' R F'
D' B R2 D' U2 R F'
L' B U' F L2 B U'
L' B U' F B L2 U'
L' B U' B F L2 U'
L' B' U' F B' L2 U'
L' B' U' B' F L2 U'
U' B2 L U2 R' B' U
U' B2 L' F U2 R' U
L2 B2 L' U2 B' U B
L' B2 L2 U2 B' U B
D' B2 R2 U R B U
D2 B2 U R' F2 B U
D2 B2 U R' B F2 U
D2 B2 U F2 R' B U
L' B2 U' F L2 U' L2
L B2 R2 F' U F U2
U' B2 U2 D2 R' B U
L B2 U2 L B U B'
L B2 U2 L' B U B'
L B2 U2 L2 B U B'
L B2 U2 D B U B'
L B2 U2 D' B U B'
L B2 U2 D2 B U B'
L B2 U2 B U D B'
L B2 U2 B U D' B'
L B2 U2 B U D2 B'
L B2 U2 B U B' D
L B2 U2 B U B' D'
L B2 U2 B U B' D2
L B2 U2 B D U B'
L B2 U2 B D' U B'
U' B2 D2 U2 R' B U
L B2 U2 B D2 U B'
L B2 D U2 B U B'
L' B2 F L2 R2 U' B
L' B2 F L2 U F' U2
L' B2 F R2 L2 U' B
L B2 D' U2 B U B'
L' B2 F' L2 F2 U' B'
L B2 D2 U2 B U B'
L B2 F R2 F' U' B
L B2 F2 D R2 F' U'
