B2 L F U' R
B2 F L U' R
F B2 L U' R
B2 L U2 B' U R'
B2 L D F U' R
B2 L D' F U' R
B2 L D2 F U' R
B2 L F U' R D
B2 L F U' R D'
B2 L F U' R D2
B2 L F U' D R
B2 L F U' D' R
B2 L F U' D2 R
B2 L F D U' R
B2 L F D' U' R
B2 L F D2 U' R
B2 L F' U L' U2
F L B2 L U' R
B2 L' F L2 U' R
F L' B2 L U' R
F' L2 B2 L U' R'
F L2 B2 L U' R
B2 U2 B' U R' F'
B2 D L F U' R
L' F B2 L U' R
L2 F B2 L U' R
L F B2 L U' R
B2 D F L U' R
B2 D' L F U' R
B2 D' F L U' R
B2 D2 L F U' R
B2 D2 F L U' R
B2 F L U' R D
B2 F L U' R D'
B2 F L U' R D2
B2 F L U' D R
B2 F L U' D' R
B2 F L U' D2 R
B2 F L D U' R
B2 F L D' U' R
B2 F L D2 U' R
B2 F D L U' R
B2 F D' L U' R
B2 F D2 L U' R
B2 F' L U L2 U2
B2 F' L U' D2 R2
B2 F' L D F2 U'
B2 F' L D2 U' R2
L' B2 L F U' R
L2 B2 L F U' R
L B2 L F U' R
F' B2 L U L2 U2
F' B2 L U' D2 R2
F' B2 L D F2 U'
F' B2 L D2 U' R2
B2 F2 L F' U' R
F2 B2 L F' U' R
F B2 L U' R D
F B2 L U' R D'
F B2 L U' R D2
F B2 L U' D R
F B2 L U' D' R
F B2 L U' D2 R
F B2 L D U' R
F B2 L D' U' R
F B2 L D2 U' R
L' B2 F L U' R
L2 B2 F L U' R
L B2 F L U' R
F B2 D L U' R
F B2 D' L U' R
F B2 D2 L U' R
B' D' F B' U' R F'
B2 D' F D L U' R
B2 D' F D' L U' R
B2 D' F D2 L U' R
B2 D' F' L U L2 U2
B2 D' F' L U' D2 R2
B2 D' F' L D F2 U'
B2 D' F' L D2 U' R2
B D' F B L U' R
B2 D' F2 L F' U' R
B D' B L F U' R
B' D' B' F U' R F'
B D' B F L U' R
B2 D2 L U2 B' U R'
B2 D2 L D F U' R
B2 D2 L D' F U' R
B2 D2 L D2 F U' R
B2 D2 L F U' R D
B2 D2 L F U' R D'
B2 D2 L F U' R D2
B2 D2 L F U' D R
B2 D2 L F U' D' R
B2 D2 L F U' D2 R
B2 D2 L F D U' R
B2 D2 L F D' U' R
B2 D2 L F D2 U' R
B2 D2 L F' U L' U2
B2 D2 L' F L2 U' R
F' D2 R' F2 L' U R
L' F2 B2 L F' U' R
F D2 R' F2 L' U R2
L2 F2 B2 L F' U' R
F' D2 U2 R' F2 U R
L F2 B2 L F' U' R
F' D2 U2 F2 R' U R2
B2 D2 U2 B' U R' F'
B2 D2 F L U' R D
B2 D2 F L U' R D'
B2 D2 F L U' R D2
B2 D2 F L U' D R
B2 D2 F L U' D' R
B2 D2 F L U' D2 R
B2 D2 F L D U' R
B2 D2 F L D' U' R
B2 D2 F L D2 U' R
F D2 U' R D' L2 F2
F D2 U' R D' F2 L2
B' D2 F B' L' U' R
B2 D2 F D L U' R
B2 D2 F D' L U' R
B2 D2 F D2 L U' R
F D2 U2 R' F2 U R2
B2 D2 F' L U L2 U2
B2 D2 F' L U' D2 R2
B2 D2 F' L D F2 U'
B2 D2 F' L D2 U' R2
B D2 F B L U' R
B2 D2 F2 L F' U' R
B D2 B L F U' R
B' D2 B' F L' U' R
B D2 B F L U' R
B2 F L U L U2 R
B2 F L U L' U2 R
B2 F L U L2 U2 R
B2 F L U' R2 D R'
B2 F L U' R2 D' R'
B2 F L U' R2 D2 R'
B2 F L U' D R D
B2 F L U' D R D'
B2 F L U' D R D2
B2 F L U' D' R D
B2 F L U' D' R D'
B2 F L U' D' R D2
B2 F L U' D2 R D
B2 F L U' D2 R D'
B2 F L U' D2 R D2
B2 F L U' B R B'
B2 F L U' B2 R B2
B2 F L U2 B U R
B2 F L U2 B' U R
B2 F L U2 B2 U R
B2 F L D U' R D
B2 F L D U' R D'
B2 F L D U' R D2
B2 F L D' U' R D
B2 F L D' U' R D'
B2 F L D' U' R D2
B2 F L D2 U' R D
B2 F L D2 U' R D'
B2 F L D2 U' R D2
B2 F L F2 U L' U2
B2 F L' U' R D F2
B2 F L' U' D R F2
B2 F L' D U' R F2
B F L B L U' R
F B L B L U' R
B2 F L2 D L' U' R
B2 F L2 D' L' U' R
B2 F L2 D2 L' U' R
B F L' B L U' R
F B L' B L U' R
B F L2 B L U' R
F B L2 B L U' R
B2 F U' R U L U'
B2 F U2 B2 R' U R2
B2 F D L U' R D
B2 F D L U' R D'
B2 F D L U' R D2
B2 F D L U' D R
B2 F D L U' D' R
B2 F D L U' D2 R
B2 F D L D U' R
B2 F D L D' U' R
B2 F D L D2 U' R
B2 F D' L U' R D
B2 F D' L U' R D'
B2 F D' L U' R D2
B2 F D' L U' D R
B2 F D' L U' D' R
B2 F D' L U' D2 R
B2 F D' L D U' R
B2 F D' L D' U' R
B2 F D' L D2 U' R
B' F D' B' U' R F'
B F D B L U' R
B2 F D2 L U' R D
B2 F D2 L U' R D'
B2 F D2 L U' R D2
B2 F D2 L U' D R
B2 F D2 L U' D' R
B2 F D2 L U' D2 R
B2 F D2 L D U' R
B2 F D2 L D' U' R
B2 F D2 L D2 U' R
F B D B L U' R
B F D' B L U' R
F2 B D2 B L U' R'
B2 F' L U L2 U2 D
B2 F' L U L2 U2 D'
B2 F' L U L2 U2 D2
B2 F' L U L2 D U2
B2 F' L U L2 D' U2
B2 F' L U L2 D2 U2
B2 F' L U' R D2 R2
B2 F' L U' R' D2 R2
B2 F' L U' R2 D2 R2
B2 F' L U' D2 R2 D
B2 F' L U' D2 R2 D'
B2 F' L U' D2 R2 D2
F B D' B L U' R
B2 F' L U2 D' B2 U
B2 F' L D F2 U' D
B2 F' L D F2 U' D'
B2 F' L D F2 U' D2
B2 F' L D F2 D U'
B2 F' L D F2 D' U'
B2 F' L D F2 D2 U'
B2 F' L D' U2 B2 U
B2 F' L D2 U' R2 D
B2 F' L D2 U' R2 D'
B2 F' L D2 U' R2 D2
B2 F' L D2 F U' R2
B2 F' L D2 F' U' R2
B2 F' L D2 F2 U' R2
B2 F' L F U L2 U2
B2 F' L F U' D2 R2
B2 F' L F D F2 U'
B2 F' L F D2 U' R2
B2 F' L F' U L2 U2
B2 F' L F' U' D2 R2
B2 F' L F' D F2 U'
B2 F' L F' D2 U' R2
B2 F' L F2 U L2 U2
B F D2 B L U' R
B2 F' L F2 U' D2 R2
B2 F' L F2 D F2 U'
B2 F' L F2 D2 U' R2
F B D2 B L U' R
R' B' U2 R B' U' R'
R' B' U2 B' R U' R2
B2 F' U L' U' L2 U'
B2 F' U L' U2 D F2
B2 F' U L' D U2 F2
B2 F' U L' D' B2 U2
U' B2 L R' F' U' B2
U' B2 L U' B' R' B'
B2 F' D L U L2 U2
B2 F' D L U' D2 R2
B2 F' D L D F2 U'
B2 F' D L D2 U' R2
L' B2 L U2 B' U R'
L' B2 L D F U' R
L' B2 L D' F U' R
B2 F' D F2 L U' R
L' B2 L D2 F U' R
L' B2 L F U' R D
L' B2 L F U' R D'
L' B2 L F U' R D2
L' B2 L F U' D R
L' B2 L F U' D' R
L' B2 L F U' D2 R
L' B2 L F D U' R
L' B2 L F D' U' R
L' B2 L F D2 U' R
L' B2 L F' U L' U2
B2 F' D' L U L2 U2
B2 F' D' L U' D2 R2
B2 F' D' L D F2 U'
B2 F' D' L D2 U' R2
L2 B2 L U2 B' U R'
L2 B2 L D F U' R
L2 B2 L D' F U' R
L2 B2 L D2 F U' R
L2 B2 L F U' R D
L2 B2 L F U' R D'
L2 B2 L F U' R D2
L2 B2 L F U' D R
L2 B2 L F U' D' R
L2 B2 L F U' D2 R
L2 B2 L F D U' R
L2 B2 L F D' U' R
L2 B2 L F D2 U' R
L2 B2 L F' U L' U2
B2 F' D' F2 L U' R
L' B2 L' F L2 U' R
B2 F' D2 L U L2 U2
B2 F' D2 L U' D2 R2
B2 F' D2 L D F2 U'
B2 F' D2 L D2 U' R2
D B2 L F U' L R
D B2 L F U' R L
L2 B2 L' F L2 U' R
L B2 L U2 B' U R'
L B2 L D F U' R
B2 F' D2 F2 L U' R
L B2 L D' F U' R
L B2 L D2 F U' R
L B2 L F U' R D
L B2 L F U' R D'
L B2 L F U' R D2
L B2 L F U' D R
L B2 L F U' D' R
L B2 L F U' D2 R
L B2 L F D U' R
L B2 L F D' U' R
L B2 L F D2 U' R
U B2 L F R2 U' B
U B2 L F U F' U2
L B2 L F' U L' U2
F' B2 L U L2 U2 D
F' B2 L U L2 U2 D'
F' B2 L U L2 U2 D2
F' B2 L U L2 D U2
F' B2 L U L2 D' U2
F' B2 L U L2 D2 U2
F' B2 L U' R D2 R2
F' B2 L U' R' D2 R2
F' B2 L U' R2 D2 R2
F' B2 L U' D2 R2 D
F' B2 L U' D2 R2 D'
F' B2 L U' D2 R2 D2
F' B2 L U2 D' B2 U
F' B2 L D F2 U' D
F' B2 L D F2 U' D'
F' B2 L D F2 U' D2
F' B2 L D F2 D U'
F' B2 L D F2 D' U'
F' B2 L D F2 D2 U'
F' B2 L D' U2 B2 U
B2 F2 L U' F' R F
F' B2 L D2 U' R2 D
F' B2 L D2 U' R2 D'
F' B2 L D2 U' R2 D2
F' B2 L D2 F U' R2
F' B2 L D2 F' U' R2
F' B2 L D2 F2 U' R2
F' B2 L F U L2 U2
F' B2 L F U' D2 R2
F' B2 L F D F2 U'
F' B2 L F D2 U' R2
F2 B2 L U' F' R F
F' B2 L F' U L2 U2
F' B2 L F' U' D2 R2
F' B2 L F' D F2 U'
F B' D' B' U' R F'
F' B2 L F' D2 U' R2
F' B2 L F2 U L2 U2
F' B2 L F2 U' D2 R2
F' B2 L F2 D F2 U'
F' B2 L F2 D2 U' R2
B2 F2 L F U L' U2
U' B2 R' L F' U' B2
B2 F2 L F' U' R D
B2 F2 L F' U' R D'
B2 F2 L F' U' R D2
B2 F2 L F' U' D R
B2 F2 L F' U' D' R
B2 F2 L F' U' D2 R
B2 F2 L F' D U' R
B2 F2 L F' D' U' R
B2 F2 L F' D2 U' R
F2 B2 L F U L' U2
F2 B2 L F' U' R D
F2 B2 L F' U' R D'
F2 B2 L F' U' R D2
F2 B2 L F' U' D R
F2 B2 L F' U' D' R
F2 B2 L F' U' D2 R
F2 B2 L F' D U' R
F2 B2 L F' D' U' R
F2 B2 L F' D2 U' R
L B2 L' F L2 U' R
U' B2 R' F' L U' B2
B2 F2 L' F' L2 U' R
F B2 L U L U2 R
F B2 L U L' U2 R
F B2 L U L2 U2 R
F2 B2 L' F' L2 U' R
F B2 L U' R2 D R'
F B2 L U' R2 D' R'
F B2 L U' R2 D2 R'
F B2 L U' D R D
F B2 L U' D R D'
F B2 L U' D R D2
F B2 L U' D' R D
F B2 L U' D' R D'
F B2 L U' D' R D2
F B2 L U' D2 R D
F B2 L U' D2 R D'
F B2 L U' D2 R D2
F B2 L U' B R B'
F B2 L U' B2 R B2
F B2 L U2 B U R
F B2 L U2 B' U R
F B2 L U2 B2 U R
F B2 L D U' R D
F B2 L D U' R D'
F B2 L D U' R D2
F B2 L D' U' R D
F B2 L D' U' R D'
F B2 L D' U' R D2
F B2 L D2 U' R D
F B2 L D2 U' R D'
F B2 L D2 U' R D2
F B2 L F2 U L' U2
B2 F2 L2 D' L' F U'
F2 B2 L2 D' L' F U'
F B2 L' U' R D F2
F B2 L' U' D R F2
F B2 L' D U' R F2
F B2 L2 D L' U' R
F B2 L2 D' L' U' R
F B2 L2 D2 L' U' R
F' B2 U L' U' L2 U'
F' B2 U L' U2 D F2
F' B2 U L' D U2 F2
F' B2 U L' D' B2 U2
L' B2 U2 B' U R' F'
L' B2 D L F U' R
L2 B2 U2 B' U R' F'
L' B2 D F L U' R
L2 B2 D L F U' R
L' B2 D' L F U' R
L2 B2 D F L U' R
L' B2 D' F L U' R
L2 B2 D' L F U' R
L B2 U2 B' U R' F'
L' B2 D2 L F U' R
L B2 D L F U' R
L2 B2 D' F L U' R
L' B2 D2 F L U' R
F' B2 D L U L2 U2
F' B2 D L U' D2 R2
F' B2 D L D F2 U'
F' B2 D L D2 U' R2
F B2 U' R U L U'
L2 B2 D2 L F U' R
L B2 D F L U' R
L' B2 F L U' R D
L' B2 F L U' R D'
L' B2 F L U' R D2
L' B2 F L U' D R
L' B2 F L U' D' R
L' B2 F L U' D2 R
L' B2 F L D U' R
L' B2 F L D' U' R
L' B2 F L D2 U' R
L B2 D' L F U' R
L2 B2 D2 F L U' R
F' B2 D F2 L U' R
F' B2 D' L U L2 U2
L' B2 F D L U' R
F' B2 D' L U' D2 R2
F' B2 D' L D F2 U'
F' B2 D' L D2 U' R2
L2 B2 F L U' R D
L2 B2 F L U' R D'
L2 B2 F L U' R D2
L2 B2 F L U' D R
L2 B2 F L U' D' R
L2 B2 F L U' D2 R
L2 B2 F L D U' R
L' B2 F D' L U' R
L2 B2 F L D' U' R
L2 B2 F L D2 U' R
L B2 D' F L U' R
L' B2 F D2 L U' R
L' B2 F' L U L2 U2
L' B2 F' L U' D2 R2
B2 F2 D' L U2 B' U
L' B2 F' L D F2 U'
L' B2 F' L D2 U' R2
B2 F2 D' L' F L2 U'
F2 B2 D' L U2 B' U
F2 B2 D' L' F L2 U'
L B2 D2 L F U' R
L2 B2 F D L U' R
F' B2 D' F2 L U' R
L2 B2 F D' L U' R
L2 B2 F D2 L U' R
F B2 U2 B2 R' U R2
D B2 F L U' L R
D B2 F L U' R L
F B2 D L U' R D
F B2 D L U' R D'
F B2 D L U' R D2
F B2 D L U' D R
F B2 D L U' D' R
F B2 D L U' D2 R
L2 B2 F' L U L2 U2
L2 B2 F' L U' D2 R2
F B2 D L D U' R
F B2 D L D' U' R
L2 B2 F' L D F2 U'
F B2 D L D2 U' R
L2 B2 F' L D2 U' R2
F' B2 D2 L U L2 U2
F' B2 D2 L U' D2 R2
F' B2 D2 L D F2 U'
F' B2 D2 L D2 U' R2
L' B2 F2 L F' U' R
L B2 D2 F L U' R
L B2 F L U' R D
L B2 F L U' R D'
L B2 F L U' R D2
L B2 F L U' D R
L B2 F L U' D' R
L B2 F L U' D2 R
L B2 F L D U' R
