B L F' R U' F2
F' L B R U' F
U' F' L' B R U'
U' F' B L' R U'
U' F' B R L' U'
L F' B R U' F2
U F' B L R U'
U F' B R L U'
U B L F' R U'
F' B L R U' F
F' B R L U' F
U' B F' L' R U'
U' B F' R L' U'
L B F' R U' F2
U B F' L R U'
U B F' R L U'
B F' L R U' F
B F' R L U' F
L' F' B D R L2 U'
U' F' B' R B2 L' U'
L2 F' B L' R U' F
L' F' B D2 R U' F2
U2 F' B R U B U2
L2 F' B R L' U' F
L2 F' B D2 R U' F'
U' F' B2 R B' L' U'
U F' D2 B L R U'
U F' D2 B R L U'
U F' B L R U' D
U F' B L R U' D'
U F' B L R U' D2
U F' B L R D U'
U F' B L R D' U'
U F' B L R D2 U'
U F' B L D R U'
U F' B L D' R U'
U F' B L D2 R U'
L F' B L R U' F2
L F' B L' R U' F2
L F' B L2 R U' F2
U F' B R L U' D
U F' B R L U' D'
U F' B R L U' D2
U F' B R L D U'
U F' B R L D' U'
U F' B R L D2 U'
U F' B R D L U'
U F' B R D' L U'
U F' B R D2 L U'
L F' B R L U' F2
L F' B R L' U' F2
L F' B R L2 U' F2
L F' B R U' F2 D
L F' B R U' F2 D'
L F' B R U' F2 D2
L F' B R D' L2 U'
U F' B D L R U'
U F' B D R L U'
U F' B D' L R U'
U F' B D' R L U'
U F' B D2 L R U'
L F' B D' L2 R U'
L F' B D' R L2 U'
U F' B D2 R L U'
L F' B' R B2 U' F2
U F' B2 R B' L U'
L F' B2 R B' U' F2
B D' F' L U' F B'
B D' F' L U' B' F
F' D' B L R U' F
F' D' B R L U' F
F' D2 L B R U' F
U' B L F' L' R U'
U' B L F' R L' U'
D2 B L F' R' U' F2
D' B L F' U' F2 B'
D' B L F' U' B' F2
U' B L' F' L' R U'
U' B L' F' R L' U'
U' B L2 F' L' R U'
U' B L2 F' R L' U'
L2 B L' F' R U' F2
U B L F' R U' D
U B L F' R U' D'
U B L F' R U' D2
U B L F' R D U'
U B L F' R D' U'
U B L F' R D2 U'
U B L F' D R U'
U B L F' D' R U'
U B L F' D2 R U'
U B L' F' L2 R U'
U B L' F' R L2 U'
F' D2 B L R U' F
F' D2 B R L U' F
F' B L R U' D F
F' B L R U' D' F
F' B L R U' D2 F
F' B L R U' F D
F' B L R U' F D'
F' B L R U' F D2
F' B L R D U' F
F' B L R D' U' F
F' B L R D2 U' F
F' B L D R U' F
F' B L D' R U' F
F' B L D2 R U' F
F' B L' R U B' U2
F' B L2 D2 R U' F'
F' B R L U' D F
F' B R L U' D' F
F' B R L U' D2 F
F' B R L U' F D
F' B R L U' F D'
F' B R L U' F D2
F' B R L D U' F
F' B R L D' U' F
F' B R L D2 U' F
F' B R L' U B' U2
F' B R U2 R' U F'
F' B R D L U' F
F' B R D' L U' F
F' B R D2 L U' F
U B D' L F' U' B'
U' B F' L' R U' D
U' B F' L' R U' D'
U' B F' L' R U' D2
U' B F' L' R D U'
U' B F' L' R D' U'
U' B F' L' R D2 U'
U' B F' L' D R U'
U' B F' L' D' R U'
U' B F' L' D2 R U'
U' B F' R L' U' D
U' B F' R L' U' D'
U' B F' R L' U' D2
U' B F' R L' D U'
U' B F' R L' D' U'
U' B F' R L' D2 U'
U' B F' R D L' U'
U' B F' R D' L' U'
U' B F' R D2 L' U'
U B D' F' L U' B'
D2 B F' L R' U' F
D' B F' L U' F B'
D' B F' L U' B' F
D2 B F' R' L U' F
U' B F' D L' R U'
U' B F' D R L' U'
U' B F' D' L' R U'
U' B F' D' R L' U'
L' B F' R U B2 U2
L' B F' R U' D2 F2
L' B F' R D L2 U'
L' B F' R D2 U' F2
U' B F' D2 L' R U'
U' B F' D2 R L' U'
L' B F' D L2 R U'
L' B F' D R L2 U'
L2 B F' L' R U' F
L' B F' D2 R U' F2
L2 B F' R L' U' F
U2 B F' R U B U2
L2 B F' D2 R U' F'
U B F' L R U' D
U B F' L R U' D'
U B F' L R U' D2
U B F' L R D U'
U B F' L R D' U'
U B F' L R D2 U'
L B F' L R U' F2
U B F' L D R U'
U B F' L D' R U'
U B F' L D2 R U'
L B F' L' R U' F2
L B F' L2 R U' F2
U B F' R L U' D
U B F' R L U' D'
U B F' R L U' D2
U B F' R L D U'
U B F' R L D' U'
U B F' R L D2 U'
L B F' R L U' F2
L B F' R L' U' F2
L B F' R L2 U' F2
L B F' R U' F2 D
L B F' R U' F2 D'
L B F' R U' F2 D2
U B F' R D L U'
U B F' R D' L U'
L B F' R D' L2 U'
U B F' R D2 L U'
U B F' D L R U'
U B F' D R L U'
U B F' D' L R U'
L B F' D' L2 R U'
U B F' D' R L U'
L B F' D' R L2 U'
U B F' D2 L R U'
U B F' D2 R L U'
F' B D L R U' F
F' B D R L U' F
F' B D' L R U' F
F' B D' R L U' F
F' B D2 L R U' F
F' B D2 R L U' F
B' F' L R B2 U' F
F' B' L R B2 U' F
B' F' L B2 R U' F
F' B' L B2 R U' F
B F' L R U' D F
B F' L R U' D' F
B F' L R U' D2 F
B F' L R U' F D
B F' L R U' F D'
B F' L R U' F D2
B F' L R D U' F
B F' L R D' U' F
B F' L R D2 U' F
B F' L D R U' F
B F' L D' R U' F
B F' L D2 R U' F
B F' L' R U B' U2
L' B' U' F' R B2 U'
L' B' U' F' B2 R U'
B' F' R L B2 U' F
L' B' U' B2 F' R U'
F' B' R L B2 U' F
B' F' R B2 L U' F
B F' L2 D2 R U' F'
F' B' R B2 L U' F
B2 F' R B' L U' F
B F' R L U' D F
B F' R L U' D' F
B F' R L U' D2 F
B F' R L U' F D
B F' R L U' F D'
B F' R L U' F D2
B F' R L D U' F
B F' R L D' U' F
B F' R L D2 U' F
B F' R L' U B' U2
B F' R U2 R' U F'
B F' R D L U' F
B F' R D' L U' F
B F' R D2 L U' F
U' B' F' L' R B2 U'
U' B' F' L' B2 R U'
U' B' F' R L' B2 U'
U' B' F' R B2 L' U'
L B' F' R B2 U' F2
B F' D L R U' F
B F' D R L U' F
B F' D' L R U' F
B F' D' R L U' F
B F' D2 L R U' F
B F' D2 R L U' F
F' B2 R B' L U' F
U' B2 F' R B' L' U'
L B2 F' R B' U' F2
U B2 F' R B' L U'
