B' L B2 U' B2 R'
B' L' R' D L2 F2
B' L' R' D F2 L2
B' L' D L2 R' F2
B' L' D L2 F2 R'
B' L' D R' L2 F2
B' L' D R' F2 L2
B' L' D F2 L2 R'
B' L' D F2 R' L2
B' R' L' D L2 F2
B' R' L' D F2 L2
B' R' U L B2 U'
B U2 R' U B2 R'
B' L' D F R' F L2
B' L' D F' L2 F' R'
B' L' D F2 L2 R' D
B' L' D F2 L2 R' D'
B' L' D F2 L2 R' D2
B' L' D F2 L2 D R'
B' L' D F2 L2 D' R'
B' L' D F2 L2 D2 R'
B' L' D F2 R' L2 D
B' L' D F2 R' L2 D'
B' L' D F2 R' L2 D2
B' L' F R' D L2 F2
B' L' F R' D F2 L2
B' L' F D L2 R' F2
B' L' F D L2 F2 R'
B' L' F D R' L2 F2
B' L' F D R' F2 L2
B' L' F D F2 L2 R'
B' L' F D F2 R' L2
B' L' F' R' D L2 F2
B' L' F' R' D F2 L2
B' L' F' D L2 R' F2
B' L' F' D L2 F2 R'
B' L' F' D R' L2 F2
B' L' F' D R' F2 L2
B' L' F' D F2 L2 R'
B' L' F' D F2 R' L2
B' L' F2 R' D L2 F2
B' L' F2 R' D F2 L2
B' L' F2 D L2 R' F2
B' L' F2 D L2 F2 R'
B' L' F2 D R' L2 F2
B' L' F2 D R' F2 L2
B' L' F2 D F2 L2 R'
B' L' F2 D F2 R' L2
B' L2 R' U L' B2 U'
B' L2 R' U B2 L' U'
B2 L2 F U B R' F'
B' R L B2 U' R2 B2
B' R L B2 U' B2 R2
B' R U L B2 U' R2
B R U' B2 D' R' F2
B R U' B2 D' F2 R'
B R U2 R2 U B2 R'
D' R D F' B' L R'
D' R D F' B' R' L
D' R D B' L F' R'
D' R D B' F' L R'
D' R D B' F' R' L
D' R F' D B' L R'
D' R F' D B' R' L
B' R' L D L2 D F2
B' R' L' U L2 B2 U'
B' R' L' U B2 L2 U'
B' R' L' D L F2 L
B' R' L' D L2 F2 D
B' R' L' D L2 F2 D'
B' R' L' D L2 F2 D2
B' R' L' D F' L2 F'
B' R' L' D F2 L2 D
B' R' L' D F2 L2 D'
B' R' L' D F2 L2 D2
B' R' L' F D L2 F2
B' R' L' F D F2 L2
B' R' L' F' D L2 F2
B' R' L' F' D F2 L2
B' R' L' F2 D L2 F2
B' R' L' F2 D F2 L2
B' R' L2 U L' B2 U'
B' R' L2 U B2 L' U'
B' R' U L U' D L2
B' R' U L D U' L2
B' R' U L B2 U' D
B' R' U L B2 U' D'
B' R' U L B2 U' D2
B' R' U L B2 D U'
B' R' U L B2 D' U'
B' R' U L B2 D2 U'
B' R' U L' B2 L2 U'
B' R' U L2 B2 L' U'
B' R' U D L U' L
B R' U R B2 L R'
B R' U R B2 R' L
B' R' U B2 U2 R' U
B R' U' L U2 L' B2
B R' U' L U2 B2 L'
B R' U' B2 R' D2 F2
B R' U' B2 D2 R' F2
B R' U' B2 D2 F2 R'
B' R' D L' D L' F2
B' R' D L2 U L' U'
B' R' D U L U' L
B' R' F L' D L2 F2
B' R' F L' D F2 L2
B' R' F U L B2 U'
B' R' F' L' D L2 F2
B' R' F' L' D F2 L2
B' R' F' U L B2 U'
B' R' F2 L' D L2 F2
B' R' F2 L' D F2 L2
B' R' F2 U L B2 U'
B' R2 L B2 U' R B2
B' R2 L B2 U' B2 R
B' R2 L' D L2 R F2
B' R2 L' D R L2 F2
B' R2 L' D R F2 L2
B' R2 U L B2 U' R
B R2 U' B2 R' D' F2
B R2 U2 R U B2 R'
B R2 F' U' B2 R' F'
B' U L U' R' D L2
B' U L U' D L2 R'
B' U L U' D R' L2
B' U L D U' L2 R'
B' U L D U' R' L2
B' U L B2 U L U2
B U L U R' U B2
B' U D L U' L R'
B' U D L U' R' L
R D B' L' R' F L2
R D B' L' F L2 R'
R D B' L' F R' L2
R D B' R' L' F L2
B2 U B R' D L2 F'
B2 U B R' D F' L2
B2 U B R' F' D L2
B2 U B D L2 R' F'
B2 U B D R' L2 F'
B2 U B D R' F' L2
B U' R B2 D' R' F2
B U' R B2 D' F2 R'
B U' R2 B2 R' D' F2
B U' B2 R' U L U'
B U' B2 U L U' R'
B U2 R' U R B2 R'
B U2 R' U R' B2 R'
B U2 R' U R2 B2 R'
B U2 R' U B2 R' D
B U2 R' U B2 R' D'
B U2 R' U B2 R' D2
B U2 R' U B2 D R'
B U2 R' U B2 D' R'
B U2 R' U B2 D2 R'
B U2 R' U' L U2 B2
B U2 R' B U B R'
B U2 B U B R' F'
B2 U2 B' U' B2 R' F'
B' D L' R' D L' F2
B' D L' D L' R' F2
B' D L' D L' F2 R'
B' D L' D R' L' F2
B' D L2 R' U L' U'
B' D L2 U L' U' R'
B' D L2 F2 R' D' F2
B' D R' L' D L' F2
B' D R' L2 U L' U'
B' D R' U L U' L
B' D U L U' L R'
B' D U L U' R' L
R2 F' B R' U B2 R'
R2 F' B2 U B R' F'
D2 F2 B U' B2 R' F'
D' B R U' F' B2 R'
D' B R U' B2 F' R'
R' B R' F' U B2 R'
D' B U' R F' B2 R'
D' B U' R B2 F' R'
D' B U' R2 B2 R' F'
D B U L B' U2 B'
D' B U' B2 R F' R2
B' F L B2 U' B2 R'
B' F L' R' D L2 F2
B' F L' R' D F2 L2
B' F L' D L2 R' F2
B' F L' D L2 F2 R'
B' F L' D R' L2 F2
B' F L' D R' F2 L2
B' F L' D F2 L2 R'
B' F L' D F2 R' L2
B' F R' L' D L2 F2
B' F R' L' D F2 L2
B' F R' U L B2 U'
D2 B F2 U' B2 R' F'
R2 B F' R' U B2 R'
U' B' L F B2 U' B2
U' B' L B2 F U' B2
F' B U2 R' U B2 R'
D B' L R' D L2 F
F2 B U2 R' U B2 R'
D B' L D L2 R' F
D B' L D L2 F R'
D B' L D R' L2 F
D B' L' R' D F L2
D B' L' R' F D L2
B F U2 R' U B2 R'
D B' L' D R' F L2
D B' L' D F L2 R'
D B' L' D F R' L2
D B' L' F R' D L2
D B' L' F D L2 R'
D B' L' F D R' L2
F B U2 R' U B2 R'
D' B' R F' R2 D L2
D2 B' R2 D L2 R F'
D2 B' R2 D R L2 F'
D2 B' R2 D R F' L2
D B' R' L D L2 F
D B' R' L' D F L2
D B' R' L' F D L2
B' F' L B2 U' B2 R'
B' F' L' R' D L2 F2
B' F' L' R' D F2 L2
F' B' L B2 U' B2 R'
B' F' L' D L2 R' F2
B' F' L' D L2 F2 R'
B' F' L' D R' L2 F2
B' F' L' D R' F2 L2
B' F' L' D F2 L2 R'
B' F' L' D F2 R' L2
F' B' L' R' D L2 F2
F' B' L' R' D F2 L2
F2 B' L B2 U' B2 R'
F' B' L' D L2 R' F2
F' B' L' D L2 F2 R'
F2 B' L' R' D L2 F2
F' B' L' D R' L2 F2
F2 B' L' R' D F2 L2
F' B' L' D R' F2 L2
F' B' L' D F2 L2 R'
F' B' L' D F2 R' L2
R B' R' U L B U'
U2 B' U L F B2 U'
U2 B' U L B2 F U'
F2 B' L' D L2 R' F2
F2 B' L' D L2 F2 R'
F2 B' L' D R' L2 F2
F2 B' L' D R' F2 L2
F2 B' L' D F2 L2 R'
F2 B' L' D F2 R' L2
F B' L B2 U' B2 R'
F B' L' R' D L2 F2
F B' L' R' D F2 L2
F B' L' D L2 R' F2
F B' L' D L2 F2 R'
F B' L' D R' L2 F2
F B' L' D R' F2 L2
F B' L' D F2 L2 R'
F B' L' D F2 R' L2
B' F' R' L' D L2 F2
B' F' R' L' D F2 L2
B' F' R' U L B2 U'
D2 B' D L2 R F' R2
D2 B' D R L2 F' R2
D2 B' D R F' L2 R2
D2 B' D R F' R2 L2
F' B' R' L' D L2 F2
F' B' R' L' D F2 L2
F' B' R' U L B2 U'
F2 B' R' L' D L2 F2
F2 B' R' L' D F2 L2
F2 B' R' U L B2 U'
F B' R' L' D L2 F2
F B' R' L' D F2 L2
F B' R' U L B2 U'
B F' U2 R' U B2 R'
B' F2 L B2 U' B2 R'
B' F2 L' R' D L2 F2
B' F2 L' R' D F2 L2
B' F2 L' D L2 R' F2
B' F2 L' D L2 F2 R'
B' F2 L' D R' L2 F2
B' F2 L' D R' F2 L2
B' F2 L' D F2 L2 R'
B' F2 L' D F2 R' L2
B' F2 R' L' D L2 F2
B' F2 R' L' D F2 L2
B' F2 R' U L B2 U'
R' B2 U B R' F' L'
R' B2 U' B L R' F
R' B2 U' B L F R'
R' B2 U' B R' L F
B F2 U2 R' U B2 R'
R2 B2 F' U B R' F'
