R' L' U L2 U2 L
L' R' U L2 U2 L
R' L' U' D2 L' R2
R' L' U' D2 R2 L'
L' R' U' D2 L' R2
L' R' U' D2 R2 L'
L' R' D2 U' L' R2
L' R' D2 U' R2 L'
R' L' D2 U' L' R2
R' L' D2 U' R2 L'
L U' L2 R' U' L'
L U' R' L2 U' L'
D' R' B2 L' U' R'
R' D' B2 L' U' R'
L' D2 R' U' L' R'
L' D2 R' U' R' L'
R' B2 L' U' L' R'
R' B2 L' U' R' L'
L' R' U' D2 R2 L' D
L' R' U' D2 R2 L' D'
L' R' U' D2 R2 L' D2
L' R' U' D2 R2 D L'
L' R' U' D2 R2 D' L'
L' R' U' D2 R2 D2 L'
R' L' U2 D' B2 U L'
L' R' U2 D' B2 U L'
D2 L' R' U L2 R' U2
D2 L' R' U R' L2 U2
R' L' D U' L' D R2
L' R' D U' L' D R2
U' L' R' U L2 U2 L
U2 L' R' U L2 U2 L
U' L' R' U' D2 L' R2
U' L' R' U' D2 R2 L'
D' L' R' D F2 U' L2
U2 L' R' U' D2 L' R2
U2 L' R' U' D2 R2 L'
R' L' D F2 U R U2
L' R' D F2 U R U2
U L' R' U L2 U2 L
U' L' R' D2 U' L' R2
U' L' R' D2 U' R2 L'
U L' R' U' D2 L' R2
U L' R' U' D2 R2 L'
U2 L' R' D2 U' L' R2
U2 L' R' D2 U' R2 L'
D L' R' D2 B2 U' R2
U L' R' D2 U' L' R2
U L' R' D2 U' R2 L'
D' L' R' B2 U L2 U2
D' L' R' B2 U' D2 R2
D' L' R' B2 D F2 U'
D' L' R' B2 D2 U' R2
R' L' D' U' L' D' R2
L' R' D' U' L' D' R2
R' L' D' U2 B2 U L'
L' R' D' U2 B2 U L'
R' L' D2 U' L' R2 D
R' L' D2 U' L' R2 D'
R' L' D2 U' L' R2 D2
R' L' D2 U' R2 L' D
R' L' D2 U' R2 L' D'
R' L' D2 U' R2 L' D2
R' L' D2 U' R2 D L'
R' L' D2 U' R2 D' L'
R' L' D2 U' R2 D2 L'
R2 L' D2 R U' L' R
R2 L' D2 R U' R L'
L' R' D2 U' L' R2 D
L' R' D2 U' L' R2 D'
L' R' D2 U' L' R2 D2
L' R' D2 U' R2 L' D
L' R' D2 U' R2 L' D'
L' R' D2 U' R2 L' D2
L' R' D2 U' R2 D L'
L' R' D2 U' R2 D' L'
L' R' D2 U' R2 D2 L'
R' L' D2 B U' L' R2
R' L' D2 B U' R2 L'
L' R' D2 B U' L' R2
L' R' D2 B U' R2 L'
R' L' D2 B' U' L' R2
R' L' D2 B' U' R2 L'
L' R' D2 B' U' L' R2
L' R' D2 B' U' R2 L'
R' L' D2 B2 U' L' R2
R' L' D2 B2 U' R2 L'
L' R' D2 B2 U' L' R2
L' R' D2 B2 U' R2 L'
B L' U' L' B R' B2
B2 L' U' R' D' L' B2
B2 L' U' R' D' B2 L'
B2 L' U' D' L' R' B2
B2 L' U' D' R' L' B2
B2 L' U' D' R' B2 L'
B L' U' B L' R' B'
B L' U' B R' L' B'
B L' U' B2 L' B' R'
B2 L' U2 L2 U L R'
B2 L' U2 L2 U R' L
L2 R' F2 L U' L' R
L2 R' F2 L U' R L'
R' L' F2 U L2 R U2
R' L' F2 U R L2 U2
D2 L' D R' F2 B2 U'
L' R' F2 U L2 R U2
D2 L' D R' B2 F2 U'
L' R' F2 U R L2 U2
D' L' D R' F2 U' L2
R' L' F2 D F2 U' L'
L' R' F2 D F2 U' L'
D2 L' D F2 R' B2 U'
D' L' D F2 R' U' L2
R' L' B U L2 U2 L
L' R' B U L2 U2 L
R' L' B U' D2 L' R2
R' L' B U' D2 R2 L'
L' R' B U' D2 L' R2
L' R' B U' D2 R2 L'
R' L' B D2 U' L' R2
R' L' B D2 U' R2 L'
L' R' B D2 U' L' R2
L' R' B D2 U' R2 L'
B2 L' D' U' L' R' B2
B2 L' D' U' R' L' B2
B2 L' D' U' R' B2 L'
D2 L' D2 R' U' L2 R'
D2 L' D2 R' U' R' L2
R' L' B' U L2 U2 L
L' R' B' U L2 U2 L
R' L' B' U' D2 L' R2
R' L' B' U' D2 R2 L'
U' L' D2 R' U' L' R'
U' L' D2 R' U' R' L'
L' R' B' U' D2 L' R2
L' R' B' U' D2 R2 L'
U2 L' D2 R' U' L' R'
U2 L' D2 R' U' R' L'
B2 L' D2 R2 U' L' R
B2 L' D2 R2 U' R L'
R' L' B' D2 U' L' R2
R' L' B' D2 U' R2 L'
L' R' B' D2 U' L' R2
L' R' B' D2 U' R2 L'
U L' D2 R' U' L' R'
U L' D2 R' U' R' L'
R' L' B2 U L2 U2 L
L' R' B2 U L2 U2 L
R' L' B2 U' D2 L' R2
R' L' B2 U' D2 R2 L'
L' R' B2 U' D2 L' R2
L' R' B2 U' D2 R2 L'
R' L' B2 D2 U' L' R2
R' L' B2 D2 U' R2 L'
L' R' B2 D2 U' L' R2
L' R' B2 D2 U' R2 L'
L R2 U' L2 R U' L'
L R2 U' R L2 U' L'
L' R2 D2 R U' L' R
L' R2 D2 R U' R L'
R' L2 F2 L U' L' R
R' L2 F2 L U' R L'
R' U L U' L2 U' L'
R' U L U2 D L F2
R' U L U2 D F2 L
R' U L D U2 L F2
R' U L D U2 F2 L
L2 U L R' U L2 U2
R' U L D' B2 R' U2
L2 U L R' U' D2 R2
L2 U L R' D F2 U'
L2 U L R' D2 U' R2
L2 U L D R' F2 U'
L2 U L D F2 R' U'
L2 U L D2 R' U' R'
L' U L2 U' R' U' L
L2 U R' L U L2 U2
L2 U R' L U' D2 R2
L2 U R' L D F2 U'
L2 U R' L D2 U' R2
L2 U R' F2 L U' R
L2 U F2 L R' U' R2
L2 U F2 R' L U' R2
F2 R D F2 U B2 R'
R' U' L D L F2 R
L U' L2 R' U' L' D
L U' L2 R' U' L' D'
L U' L2 R' U' L' D2
L U' L2 R' U' D L'
L U' L2 R' U' D' L'
L U' L2 R' U' D2 L'
L U' L2 R' D U' L'
L U' L2 R' D' U' L'
L U' L2 R' D2 U' L'
L U' L2 R' B U' L'
L U' L2 R' B' U' L'
L U' L2 R' B2 U' L'
L U' L2 D R' U' L'
L U' L2 D' R' U' L'
L U' L2 D2 R' U' L'
L U' L2 B U' L' B'
L U' R' L2 U' L' D
L U' R' L2 U' L' D'
L U' R' L2 U' L' D2
L U' R' L2 U' D L'
L U' R' L2 U' D' L'
L U' R' L2 U' D2 L'
L U' R' L2 D U' L'
L U' R' L2 D' U' L'
L U' R' L2 D2 U' L'
L U' R' L2 B U' L'
L U' R' L2 B' U' L'
L U' R' L2 B2 U' L'
L U' R' U' D L F2
L U' R' U' D F2 L
L U' R' D U' L F2
L U' R' D U' F2 L
D' R B2 L' R2 U' R
D' R B2 R2 L' U' R
L U' D R' U' L F2
L U' D R' U' F2 L
D2 R' L' U L2 R' U2
D2 R' L' U R' L2 U2
U' R' L' U L2 U2 L
U' R' L' U' D2 L' R2
U' R' L' U' D2 R2 L'
D' R' L' D F2 U' L2
U2 R' L' U L2 U2 L
U' R' L' D2 U' L' R2
U' R' L' D2 U' R2 L'
U2 R' L' U' D2 L' R2
U2 R' L' U' D2 R2 L'
D' R' L' B2 U L2 U2
D' R' L' B2 U' D2 R2
U2 R' L' D2 U' L' R2
U2 R' L' D2 U' R2 L'
D' R' L' B2 D F2 U'
D' R' L' B2 D2 U' R2
U R' L' U L2 U2 L
D R' L' D2 B2 U' R2
U R' L' U' D2 L' R2
U R' L' U' D2 R2 L'
U R' L' D2 U' L' R2
U R' L' D2 U' R2 L'
F R' U L U2 F L
F2 R' U' L2 D' F2 R
U' R' D' B2 L' U' R'
U2 R' D' B2 L' U' R'
F2 R' D' B2 U' R' F2
F2 R' D' B2 U' F2 R'
L U2 L U L R' U'
L U2 L U R' L U'
F R' D' B2 U' R' F'
U R' D' B2 L' U' R'
L2 U2 L' U' L2 R' U'
L2 U2 L' U' R' L2 U'
D R' D2 B2 L' U' R'
D' R' F B2 U' R' F'
L U2 L2 R' U' L' R
L U2 L2 R' U' R L'
D' R' B L' B U' R'
L U2 R' L2 U' L' R
L U2 R' L2 U' R L'
D2 R' B2 L' U' L2 R'
D2 R' B2 L' U' R' L2
D' R' B2 L' U' R' D
D' R' B2 L' U' R' D'
D' R' B2 L' U' R' D2
D' R' B2 L' U' D R'
D' R' B2 L' U' D' R'
D' R' B2 L' U' D2 R'
D' R' B2 L' D U' R'
D' R' B2 L' D' U' R'
D' R' B2 L' D2 U' R'
D' R' B2 L' F U' R'
D' R' B2 L' F' U' R'
D' R' B2 L' F2 U' R'
U' R' B2 L' U' L' R'
U' R' B2 L' U' R' L'
U2 R' B2 L' U' L' R'
U2 R' B2 L' U' R' L'
D' R' B2 D L' U' R'
D' R' B2 D' L' U' R'
D' R' B2 D2 L' U' R'
D' R' B2 F U' R' F'
D2 R2 L U' L2 R U'
D2 R2 L U' R L2 U'
L' U2 D' B2 L U L2
U R' B2 L' U' L' R'
U R' B2 L' U' R' L'
F R' B2 U' L2 R' F'
F R' B2 U' R' L2 F'
F R' B2 U' R' F' L2
R' D L' D2 B2 U' R2
L D L F2 R D B2
L' D R' U' L' D R2
L' D R' U' D L' R2
L' D R' U' D R2 L'
L' D R' D U' L' R2
L' D R' D U' R2 L'
L' D R' F2 U R U2
D' R2 B2 L' R U' R2
D' R2 B2 R L' U' R2
L D U' R' U' L F2
L D U' R' U' F2 L
L' D F2 R' U R2 U2
L' D F2 R' U' D2 L2
L' D F2 R' D B2 U'
L' D F2 R' D2 U' L2
R D F2 R U B2 R'
D' U R' B2 L' U' R'
R' D' L' D F2 U' L2
R' D' L' B2 U L2 U2
R' D' L' B2 U' D2 R2
R' D' L' B2 D F2 U'
R' D' L' B2 D2 U' R2
L' D' R' U' L' D' R2
L' D' R' U' D' L' R2
L' D' R' U' D' R2 L'
L' D' R' U2 B2 U L'
L' D' R' D' U' L' R2
L' D' R' D' U' R2 L'
R2 D' R B2 L' U' R'
L' D' U2 B2 L U L2
R' D' F B2 U' R' F'
U' D' R' B2 L' U' R'
D' U' R' B2 L' U' R'
U2 D' R' B2 L' U' R'
U D' R' B2 L' U' R'
R' D' B L' B U' R'
R' D' B2 L' U' R' D
R' D' B2 L' U' R' D'
R' D' B2 L' U' R' D2
R' D' B2 L' U' D R'
R' D' B2 L' U' D' R'
R' D' B2 L' U' D2 R'
R' D' B2 L' D U' R'
R' D' B2 L' D' U' R'
R' D' B2 L' D2 U' R'
R' D' B2 L' F U' R'
R' D' B2 L' F' U' R'
R' D' B2 L' F2 U' R'
R' D' B2 D L' U' R'
R' D' B2 D' L' U' R'
R' D' B2 D2 L' U' R'
R' D' B2 F U' R' F'
R2 D' B2 L' R U' R2
R2 D' B2 R L' U' R2
L D' B2 R' U L U
R' D2 L' U L2 R2 U2
R' D2 L' U R2 L2 U2
R' D2 L' U' D2 L2 R2
R' D2 L' U' D2 R2 L2
R' D2 L' D F2 B2 U'
R' D2 L' D B2 F2 U'
R' D2 L' D2 U' L2 R2
R' D2 L' D2 U' R2 L2
L' D2 R' U' L' R' D
L' D2 R' U' L' R' D'
L' D2 R' U' L' R' D2
L' D2 R' U' L' D R'
L' D2 R' U' L' D' R'
L' D2 R' U' L' D2 R'
L' D2 R' U' R' L' D
L' D2 R' U' R' L' D'
L' D2 R' U' R' L' D2
L' D2 R' U' R' D L'
L' D2 R' U' R' D' L'
L' D2 R' U' R' D2 L'
L' D2 R' U' D L' R'
L' D2 R' U' D R' L'
L' D2 R' U' D' L' R'
L' D2 R' U' D' R' L'
L' D2 R' U' D2 L' R'
L' D2 R' U' D2 R' L'
L' D2 R' D U' L' R'
L' D2 R' D U' R' L'
L' D2 R' D' U' L' R'
L' D2 R' D' U' R' L'
L' D2 R' D2 U' L' R'
L' D2 R' D2 U' R' L'
D' U2 R' B2 L' U' R'
L' D2 B U' L' R2 B'
L' D2 B U' L' B' R2
L' D2 B U' R2 L' B'
D' F R' B2 U' R' F'
R' F U L U2 F L
L2 F U L R' F U'
L2 F U L F R' U'
L2 F U R' L F U'
L F U' L2 R' U' L'
L F U' R' L2 U' L'
R' F D' B2 U' R' F'
R' F B2 U' L2 R' F'
R' F B2 U' R' L2 F'
R' F B2 U' R' F' L2
B2 D F2 L R U R2
B2 D F2 R L U R2
L F' U' L2 R' U' L'
L F' U' R' L2 U' L'
L' F' D R' F2 B U'
L' F' D R' B F2 U'
L' F' D F2 R' B U'
F D' R' B2 U' R' F'
L2 F2 L R' U' L' R2
L2 F2 L R' U' R2 L'
L2 F2 R U L R2 U'
L2 F2 R U R2 L U'
L' F2 R' U L2 R2 U2
L' F2 R' U R2 L2 U2
L' F2 R' U' D2 L2 R2
L' F2 R' U' D2 R2 L2
L' F2 R' D F2 B2 U'
L' F2 R' D B2 F2 U'
D F2 R U D B2 R'
L' F2 R' D2 U' L2 R2
L' F2 R' D2 U' R2 L2
L2 F2 R' L U' L' R2
L2 F2 R' L U' R2 L'
D F2 R D U B2 R'
L2 F2 U L R' U' R2
L2 F2 U R' L U' R2
L F2 U' L2 R' U' L'
L F2 U' R' L2 U' L'
L' F2 D F2 R' U' L'
D F2 B2 L R U R2
D F2 B2 R L U R2
R' B L' B U' L' R'
R' B L' B U' R' L'
L' B U' D2 L' R2 B'
L' B U' D2 L' B' R2
L' B U' D2 R2 L' B'
B2 F L U L R' F
B2 F L U L F R'
B2 F L U R' L F
L' B D2 U' L' R2 B'
L' B D2 U' L' B' R2
L' B D2 U' R2 L' B'
R' B' L' B' U' L' R'
R' B' L' B' U' R' L'
R' B2 L' U' L' R' D
R' B2 L' U' L' R' D'
R' B2 L' U' L' R' D2
R' B2 L' U' L' D R'
R' B2 L' U' L' D' R'
R' B2 L' U' L' D2 R'
R' B2 L' U' R' L' D
R' B2 L' U' R' L' D'
R' B2 L' U' R' L' D2
R' B2 L' U' R' D L'
R' B2 L' U' R' D' L'
R' B2 L' U' R' D2 L'
R' B2 L' U' D L' R'
R' B2 L' U' D R' L'
R' B2 L' U' D' L' R'
R' B2 L' U' D' R' L'
R' B2 L' U' D2 L' R'
R' B2 L' U' D2 R' L'
R' B2 L' D U' L' R'
R' B2 L' D U' R' L'
D' B2 L' U' R' D' B2
D' B2 L' U' D' R' B2
R' B2 L' D' U' L' R'
R' B2 L' D' U' R' L'
D' B2 L' U2 L2 U R'
R' B2 L' D2 U' L' R'
R' B2 L' D2 U' R' L'
D' B2 L' D' U' R' B2
D' B2 L' D2 R2 U' R
R2 B2 L' R U' L' R2
R2 B2 L' R U' R2 L'
B2 F2 L R U L R2
B2 F2 L R U R2 L
F2 B2 L R U L R2
F2 B2 L R U R2 L
R B2 L' R2 U' L' R
R B2 L' R2 U' R L'
R2 B2 R L' U' L' R2
R2 B2 R L' U' R2 L'
F B2 L U L R' F
F B2 L U L F R'
F B2 L U R' L F
B2 F2 R L U L R2
B2 F2 R L U R2 L
F2 B2 R L U L R2
F2 B2 R L U R2 L
R B2 R2 L' U' L' R
R B2 R2 L' U' R L'
R' B2 F U' L2 R' F'
R' B2 F U' R' L2 F'
R' B2 F U' R' F' L2
D B2 F2 L R U R2
D B2 F2 R L U R2
