B U2 R' F' B2 U'
B U2 R' B2 F' U'
L2 F L B' L U
L2 F B' L B' U
U2 B R' F' B2 U'
U2 B R' B2 F' U'
L' B' L U2 B' U'
L' B' L' F L2 U
L2 B' F L B' U
U2 B R' B2 F' D U'
U2 B R' B2 F' D' U'
U2 B R' B2 F' D2 U'
R2 B R' B2 L F U'
U2 B R2 B2 R F' U'
U B U R' B2 U' R'
U2 B D R' F' U' L2
U2 B F R' F' B2 U'
U2 B F R' B2 F' U'
U2 B F' R' F' B2 U'
U2 B F' R' B2 F' U'
U2 B F2 R' F' B2 U'
U2 B F2 R' B2 F' U'
L' B' L U2 D B' U'
L' B' L U2 D' B' U'
L' B' L U2 D2 B' U'
L' B' L U2 B' U' D
L' B' L U2 B' U' D'
L' B' L U2 B' U' D2
L' B' L U2 B' D U'
L' B' L U2 B' D' U'
L' B' L U2 B' D2 U'
L' B' L D U2 B' U'
L' B' L D' U2 B' U'
L' B' L D2 U2 B' U'
L' B' L F U2 B' U'
L' B' L F' U2 B' U'
L' B' L F2 U2 B' U'
L2 B' L D' B' U L
F' B U2 R' F' B2 U'
F' B U2 R' B2 F' U'
L' B' L' D' F U B2
L' B' L' F L2 U D
L' B' L' F L2 U D'
L' B' L' F L2 U D2
L' B' L' F L2 D U
L' B' L' F L2 D' U
L' B' L' F L2 D2 U
L' B' L' F U D' B2
L' B' L' F D' U B2
L' B' L' F' L2 F2 U
F2 B U2 R' F' B2 U'
L' B' L' F2 L2 F' U
F2 B U2 R' B2 F' U'
B F U2 R' F' B2 U'
B F U2 R' B2 F' U'
F B U2 R' F' B2 U'
F B U2 R' B2 F' U'
U2 B' R U2 L B U
L B' L2 B' L' F U
U2 B' R' F' U2 L U
U B' R' U' L U L'
R' B' U2 L R B U
R' B' U2 R L B U
U2 B' U2 L U2 F U'
U2 B' U2 L' B' L2 U
L' B' D L F U L'
U B' U' L U L' R'
U B' U' L U R' L'
L' B' D F L U L2
L' B' F L U2 B' U'
L' B' F L' F L2 U
L2 B' F L D B' U
L2 B' F L D' B' U
L2 B' F L D2 B' U
L2 B' F L B' U D
L2 B' F L B' U D'
L2 B' F L B' U D2
L2 B' F L B' D U
L2 B' F L B' D' U
L2 B' F L B' D2 U
L' B' F' L U2 B' U'
L' B' F' L' F L2 U
L2 B' F' L F2 B' U
L2 B' F' L B' F2 U
L' B' F2 L U2 B' U'
L' B' F2 L' F L2 U
L2 B' F2 L F' B' U
L2 B' F2 L B' F' U
B F' U2 R' F' B2 U'
B F' U2 R' B2 F' U'
L' B2 L' F B L U
L' B2 L' B F L U
L' B2 L2 B L F U
L B2 U2 F R B U'
B F2 U2 R' F' B2 U'
B F2 U2 R' B2 F' U'
