B' L F2 B' U F'
B' L B' F2 U F'
L F2 B' L U F'
F2 B' L B' U F
L B' F2 L U F'
B' F2 L B' U F
D' B L F R' L B
U F2 B' R' L B' U
R F2 B' L B' U F
L F2 B' D L U F'
L F2 B' D' L U F'
L F2 B' D2 L U F'
D' B R' L F L B
D' B R' B L F L
D' B U2 L2 R' F' B
D' B U2 L2 R' B F'
D' B U2 R' L2 F' B
D' B U2 R' L2 B F'
D' B U2 R' F' L2 B
D' B U2 R' F' B L2
D' B U2 R' B L2 F'
D' B U2 R' B F' L2
R' B' L F2 B' U F'
R' B' L B' F2 U F'
R2 B' L F2 B' U F'
U B' L R' F2 B' U
U B' L R' B' F2 U
R2 B' L B' F2 U F'
U B' L F2 R' B' U
R B' L F2 B' U F'
R B' L B' F2 U F'
B' F' L F' B' U F2
F2 B' L R B' U F
F2 B' L R' B' U F
F2 B' L R2 B' U F
B' F' L B' F' U F2
L B' R F2 L U F'
F' B' L F' B' U F2
F2 B' L D B' U F
F2 B' L D' B' U F
F2 B' L D2 B' U F
F' B' L B' F' U F2
U B' R' L F2 B' U
U B' R' L B' F2 U
F2 B' L B' R U F
F2 B' L B' R' U F
F2 B' L B' R2 U F
F2 B' L B' U D F
F2 B' L B' U D' F
F2 B' L B' U D2 F
F2 B' L B' U F D
F2 B' L B' U F D'
F2 B' L B' U F D2
F2 B' L B' D U F
F2 B' L B' D' U F
F2 B' L B' D2 U F
L B' R' F2 L U F'
U B' R' F2 L B' U
L B' R2 F2 L U F'
F2 B' R L B' U F
F2 B' R' L B' U F
F2 B' R2 L B' U F
R' B' F2 L B' U F
L B' F' L F' U F'
R2 B' F2 L B' U F
L B' F2 L U D F'
L B' F2 L U D' F'
L B' F2 L U D2 F'
L B' F2 L U F' D
L B' F2 L U F' D'
L B' F2 L U F' D2
L B' F2 L D U F'
L B' F2 L D' U F'
L B' F2 L D2 U F'
U B' F2 L R' B' U
U B' F2 R' L B' U
R B' F2 L B' U F
L B' F2 D L U F'
L B' F2 D' L U F'
L B' F2 D2 L U F'
B' F2 L R B' U F
B' F2 L R' B' U F
B' F2 L R2 B' U F
B' F2 L D B' U F
B' F2 L D' B' U F
B' F2 L D2 B' U F
B' F2 L B' R U F
B' F2 L B' R' U F
B' F2 L B' R2 U F
B' F2 L B' U D F
B' F2 L B' U D' F
B' F2 L B' U D2 F
B' F2 L B' U F D
B' F2 L B' U F D'
B' F2 L B' U F D2
B' F2 L B' D U F
B' F2 L B' D' U F
B' F2 L B' D2 U F
B' F2 R L B' U F
B' F2 R' L B' U F
B' F2 R2 L B' U F
