U2 R B' U' R'
U2 B' R U' R2
U2 R D B' U' R'
U2 R D' B' U' R'
U2 R D2 B' U' R'
U2 R F B' U' R'
U2 R F' B' U' R'
U2 R F2 B' U' R'
U2 R B' U' R' D
U2 R B' U' R' D'
U2 R B' U' R' D2
U2 R B' U' D R'
U2 R B' U' D' R'
U2 R B' U' D2 R'
U2 R B' D U' R'
U2 R B' D' U' R'
U2 R B' D2 U' R'
U2 R B' F U' R'
U2 R B' F' U' R'
U2 R B' F2 U' R'
U2 R' B' R2 U' R
U2 D R B' U' R'
U2 D B' R U' R2
U2 D' R B' U' R'
U2 D' B' R U' R2
D2 U2 R B' U' R'
U2 D2 R B' U' R'
D' U2 R B' U' R'
D U2 R B' U' R'
D' U2 B' R U' R2
U2 D2 B' R U' R2
D2 U2 B' R U' R2
D U2 B' R U' R2
L2 F2 L' F' U R
U2 B R B2 U' R'
U2 B' R U' R2 D
U2 B' R U' R2 D'
U2 B' R U' R2 D2
U2 B' R D' F2 U'
U2 B' R F U' R2
U2 B' R F' U' R2
U2 B' R F2 U' R2
U2 B' U' R' D B2
U2 B' D R U' R2
U2 B' D' R U' R2
U2 B' D' R U' R2
U2 B' D2 R U' R2
U' R' U' B' F' R2 U'
U2 R' D B' U' R' B'
U2 R' F R2 B' U' R'
U2 R' F B' R2 U' R
U2 R' F' R2 B' U' R'
U' R' F' B' R2 U' F'
L2 U2 R U2 F U R
U2 R' F' B' R2 U' R
U2 R' F2 R2 B' U' R'
L U2 R B U L U2
U2 R' F2 B' R2 U' R
U2 R' B R2 B2 U' R'
U2 R' B' R2 U' R D
U2 R' B' R2 U' R D'
U2 R' B' R2 U' R D2
U2 R' B' R2 U' D R
U2 R' B' R2 U' D' R
U2 R' B' R2 U' D2 R
U2 R' B' R2 D U' R
U2 R' B' R2 D' U' R
U2 R' B' R2 D2 U' R
U2 R' B' U' D R' B2
U' R' B' F' R2 U' F'
U2 R' B' D U' R' B2
U2 R' B' F R2 U' R
U2 R' B' F' R2 U' R
U2 R' B' F2 R2 U' R
U R2 U R' B' U' R'
U2 R2 D R' B' U' R'
L U2 B' R B U' R2
U2 R2 D' R' B' U' R'
L U2 B2 R B U' R'
U2 R2 D2 R' B' U' R'
U2 R2 F R' B' U' R'
U2 R2 F' R' B' U' R'
U2 R2 F2 R' B' U' R'
U2 R2 B' U' D' R' B
U2 R2 B' D' U' R' B
L2 D F2 L' F' U R
U2 D R D B' U' R'
U2 D R D' B' U' R'
U2 D R D2 B' U' R'
U2 D R F B' U' R'
U2 D R F' B' U' R'
U2 D R F2 B' U' R'
U2 D R B' U' R' D
U2 D R B' U' R' D'
U2 D R B' U' R' D2
U2 D R B' U' D R'
U2 D R B' U' D' R'
U2 D R B' U' D2 R'
U2 D R B' D U' R'
U2 D R B' D' U' R'
U2 D R B' D2 U' R'
U2 D R B' F U' R'
U2 D R B' F' U' R'
U2 D R B' F2 U' R'
U2 D R' B' R2 U' R
U2 D B R B2 U' R'
U2 D B' R U' R2 D
U2 D B' R U' R2 D'
U2 D B' R U' R2 D2
U2 D B' R D' F2 U'
U2 D B' R F U' R2
U2 D B' R F' U' R2
U2 D B' R F2 U' R2
U2 D B' U' R' D B2
U2 D B' D R U' R2
U2 D B' D' R U' R2
U2 D B' D2 R U' R2
U2 D' R D B' U' R'
U2 D' R D' B' U' R'
U2 D' R D2 B' U' R'
U2 D' R F B' U' R'
U2 D' R F' B' U' R'
U2 D' R F2 B' U' R'
U2 D' R B' U' R' D
U2 D' R B' U' R' D'
U2 D' R B' U' R' D2
U2 D' R B' U' D R'
U2 D' R B' U' D' R'
U2 D' R B' U' D2 R'
U2 D' R B' D U' R'
U2 D' R B' D' U' R'
U2 D' R B' D2 U' R'
U2 D' R B' F U' R'
U2 D' R B' F' U' R'
U2 D' R B' F2 U' R'
U2 D' R' B' R2 U' R
L2 D' F2 L' F' U R
U2 D' B R B2 U' R'
U2 D' B' R U' R2 D
U2 D' B' R U' R2 D'
U2 D' B' R U' R2 D2
U2 D' B' R D' F2 U'
U2 D' B' R F U' R2
U2 D' B' R F' U' R2
U2 D' B' R F2 U' R2
U2 D' B' U' R' D B2
U2 D' B' D R U' R2
U2 D' B' D' R U' R2
R' D2 L2 R F U R
U2 D' B' D2 R U' R2
R' D2 R L2 F U R
D' U2 R D B' U' R'
D' U2 R D' B' U' R'
D' U2 R D2 B' U' R'
D' U2 R F B' U' R'
D2 U2 R D B' U' R'
D2 U2 R D' B' U' R'
D' U2 R F' B' U' R'
D2 U2 R D2 B' U' R'
D' U2 R F2 B' U' R'
D2 U2 R F B' U' R'
D' U2 R B' U' R' D
D' U2 R B' U' R' D'
D' U2 R B' U' R' D2
D' U2 R B' U' D R'
D' U2 R B' U' D' R'
D' U2 R B' U' D2 R'
D' U2 R B' D U' R'
D' U2 R B' D' U' R'
D' U2 R B' D2 U' R'
D2 U2 R F' B' U' R'
D' U2 R B' F U' R'
D' U2 R B' F' U' R'
D' U2 R B' F2 U' R'
D2 U2 R F2 B' U' R'
D2 U2 R B' U' R' D
D2 U2 R B' U' R' D'
D2 U2 R B' U' R' D2
D2 U2 R B' U' D R'
D2 U2 R B' U' D' R'
D2 U2 R B' U' D2 R'
D2 U2 R B' D U' R'
D2 U2 R B' D' U' R'
D2 U2 R B' D2 U' R'
D2 U2 R B' F U' R'
D2 U2 R B' F' U' R'
D2 U2 R B' F2 U' R'
U2 D2 R D B' U' R'
U2 D2 R D' B' U' R'
U2 D2 R D2 B' U' R'
U2 D2 R F B' U' R'
U2 D2 R F' B' U' R'
U2 D2 R F2 B' U' R'
U2 D2 R B' U' R' D
U2 D2 R B' U' R' D'
U2 D2 R B' U' R' D2
U2 D2 R B' U' D R'
U2 D2 R B' U' D' R'
U2 D2 R B' U' D2 R'
U2 D2 R B' D U' R'
U2 D2 R B' D' U' R'
U2 D2 R B' D2 U' R'
U2 D2 R B' F U' R'
U2 D2 R B' F' U' R'
U2 D2 R B' F2 U' R'
D U2 R D B' U' R'
D U2 R D' B' U' R'
D' U2 R' B' R2 U' R
D U2 R D2 B' U' R'
D U2 R F B' U' R'
D U2 R F' B' U' R'
D2 U2 R' B' R2 U' R
D U2 R F2 B' U' R'
D U2 R B' U' R' D
D U2 R B' U' R' D'
D U2 R B' U' R' D2
D U2 R B' U' D R'
D U2 R B' U' D' R'
D U2 R B' U' D2 R'
D U2 R B' D U' R'
D U2 R B' D' U' R'
D U2 R B' D2 U' R'
D U2 R B' F U' R'
D U2 R B' F' U' R'
D U2 R B' F2 U' R'
U2 D2 R' B' R2 U' R
D U2 R' B' R2 U' R
L2 D2 F2 L' F' U R
D' U2 B R B2 U' R'
D2 U2 B R B2 U' R'
U2 D2 B R B2 U' R'
D' U2 B' R U' R2 D
D' U2 B' R U' R2 D'
D' U2 B' R U' R2 D2
D' U2 B' R D' F2 U'
D' U2 B' R F U' R2
D' U2 B' R F' U' R2
D' U2 B' R F2 U' R2
D2 U2 B' R U' R2 D
D2 U2 B' R U' R2 D'
D2 U2 B' R U' R2 D2
D2 U2 B' R D' F2 U'
D2 U2 B' R F U' R2
D2 U2 B' R F' U' R2
D2 U2 B' R F2 U' R2
D' U2 B' U' R' D B2
D U2 B R B2 U' R'
D2 U2 B' U' R' D B2
D' U2 B' D R U' R2
D' U2 B' D' R U' R2
D2 U2 B' D R U' R2
D' U2 B' D2 R U' R2
D2 U2 B' D' R U' R2
D2 U2 B' D2 R U' R2
U2 D2 B' R U' R2 D
U2 D2 B' R U' R2 D'
U2 D2 B' R U' R2 D2
U2 D2 B' R D' F2 U'
U2 D2 B' R F U' R2
U2 D2 B' R F' U' R2
U2 D2 B' R F2 U' R2
U2 D2 B' U' R' D B2
U2 D2 B' D R U' R2
U2 D2 B' D' R U' R2
U2 D2 B' D2 R U' R2
D U2 B' R U' R2 D
D U2 B' R U' R2 D'
D U2 B' R U' R2 D2
D U2 B' R D' F2 U'
D U2 B' R F U' R2
D U2 B' R F' U' R2
D U2 B' R F2 U' R2
D U2 B' U' R' D B2
D U2 B' D R U' R2
D U2 B' D' R U' R2
D U2 B' D2 R U' R2
F' U2 F2 B' R' U' R2
B2 U2 B R U L U2
F' U2 B' R' U L' U2
F' U2 B' R' F2 U' R
B2 U2 B' R B2 U' R2
F' U2 B' F2 R' U' R2
B U2 B' R B' U' R2
L2 F U R2 D R' B
L2 F U D R' B R2
B U2 B2 D' R F' U'
L2 F D U R' B R2
U2 F D B' U' R' B
L2 F D' L U R B'
L2 F D' L U B' R
L2 F D2 B' L U R
L2 F D2 B2 U R B
U2 F B' U' D R' B
U2 F B' D U' R' B
R F B' U' D' R F'
R F B' D' U' R F'
R F B2 L B U' R
U2 F' B' R2 U' R B
U2 F' B' U' R B R2
U F' B' U' F R B
L2 F2 L F' L2 U R
L' F2 L' F U' L' U2
L2 F2 L' F' U R D
L2 F2 L' F' U R D'
L2 F2 L' F' U R D2
L2 F2 L' F' U D R
L2 F2 L' F' U D' R
L2 F2 L' F' U D2 R
L2 F2 L' F' D U R
L2 F2 L' F' D' U R
L2 F2 L' F' D2 U R
L2 F2 L' F' B U R
L2 F2 L' F' B' U R
L2 F2 L' F' B2 U R
L2 F2 L' B F' U R
L2 F2 L' B' F' U R
L2 F2 L' B2 F' U R
L2 F2 L2 F' L U R
L2 F2 B L' F' U R
L2 F2 B' L' F' U R
U2 F2 B' U2 L' U R'
L2 F2 B2 L' F' U R
U2 B R F B2 U' R'
U2 B R F' B2 U' R'
U2 B R F2 B2 U' R'
U2 B R B2 U' R' D
U2 B R B2 U' R' D'
U2 B R B2 U' R' D2
U2 B R B2 U' D R'
U2 B R B2 U' D' R'
U2 B R B2 U' D2 R'
U2 B R B2 D U' R'
U2 B R B2 D' U' R'
U2 B R B2 D2 U' R'
U2 B R B2 F U' R'
U2 B R B2 F' U' R'
U2 B R B2 F2 U' R'
U2 B R' B2 R2 U' R
L2 B F2 L' F' U R
U B' L R F U' F'
U2 B' R U L U2 R2
U2 B' R U L' U2 R2
U2 B' R U L2 U2 R2
U2 B' R U D2 L2 U2
U2 B' R U' R D R
U2 B' R U' R D' R
U2 B' R U' R D2 R
U2 B' R U' R' D R'
U2 B' R U' R' D' R'
U2 B' R U' R' D2 R'
U2 B' R U' F' R2 F
U2 B' R U' F2 R2 F2
U2 B' R U' B R2 B'
U2 B' R U' B2 R2 B2
U2 B' R U2 D B2 U
U2 B' R U2 B U R2
U2 B' R U2 B' U R2
U2 B' R U2 B2 U R2
U2 B' R D U2 B2 U
U2 B' R D' F2 U' D
U2 B' R D' F2 U' D'
U2 B' R D' F2 U' D2
U2 B' R D' F2 D U'
U2 B' R D' F2 D' U'
U2 B' R D' F2 D2 U'
U2 B' R D2 U L2 U2
U2 B' R F U' R2 D
U2 B' R F U' R2 D'
U2 B' R F U' R2 D2
U2 B' R F D' F2 U'
U2 B' R F' U' R2 D
U2 B' R F' U' R2 D'
U2 B' R F' U' R2 D2
U2 B' R F' D' F2 U'
U2 B' R F2 U' R2 D
U2 B' R F2 U' R2 D'
U2 B' R F2 U' R2 D2
U2 B' R F2 D' F2 U'
U B' R L F U' F'
U2 B' R' F R2 U' R2
U2 B' R' F' R2 U' R2
U2 B' R' F2 R2 U' R2
U B' R F' U' F R
U2 B' R2 U' R D B2
U2 B' R2 D R' U' R2
U2 B' R2 D' R' U' R2
U2 B' R2 D2 R' U' R2
U2 B' U' R' U R2 U'
U2 B' U' R' D B2 D
U2 B' U' R' D B2 D'
U2 B' U' R' D B2 D2
U2 B' U' R' B D B2
U2 B' U' R' B' D B2
U2 B' U' R' B2 D B2
U2 B' U' D R' D B2
U2 B' U' D' R' D B2
U2 B' U' D2 R' D B2
U2 B' D R U' R2 D
U2 B' D R U' R2 D'
U2 B' D R U' R2 D2
U2 B' D R D' F2 U'
U2 B' D R F U' R2
U2 B' D R F' U' R2
U2 B' D R F2 U' R2
U2 B' D U' R' D B2
U2 B' D' R U' R2 D
U2 B' D' R U' R2 D'
U2 B' D' R U' R2 D2
U2 B' D' R D' F2 U'
U2 B' D' R F U' R2
U2 B' D' R F' U' R2
U2 B' D' R F2 U' R2
U2 B' D' U' R' D B2
U2 B' D2 R U' R2 D
U2 B' D2 R U' R2 D'
U2 B' D2 R U' R2 D2
U2 B' D2 R D' F2 U'
U2 B' D2 R F U' R2
U2 B' D2 R F' U' R2
U2 B' D2 R F2 U' R2
U2 B' D2 U' R' D B2
U2 B' F U' D R' B
R B' D' F U' R F'
U2 B' F D U' R' B
U2 B' F' R2 U' R B
U2 B' F' U' R B R2
R B' D2 F L' U' R
L2 B' F2 L' F' U R
U2 B' F2 U2 L' U R'
R B' F U' D' R F'
R B' F D' U' R F'
U B' F' U' F R B
R B2 L F B U' R
R B2 L B F U' R
U2 B2 D' B R F' U'
L2 B2 F2 L' F' U R
R B2 F L B U' R
