F' L R D B' L2
B2 L U' F' R B'
B2 L U' F' B' R
B2 L U' B' F' R
F' L D R B' L2
F' L D B' L2 R
F' L D B' R L2
F' L' R D L2 B'
F' L' D L2 R B'
F' L' D L2 B' R
F' L' D R L2 B'
F' R L D B' L2
F' R L' D L2 B'
L F' R D B' L2
L F' D R B' L2
L F' D B' L2 R
L F' D B' R L2
L B2 U' F' B R
L B2 U' B F' R
B2 U2 L U B' F' R
L' F L' U' B2 U' F2
L' F L' U2 F2 D L2
F' D L R D' L B'
L' F U' B2 U' F2 R
F' D L D' L R B'
F' D L D' L B' R
F' D L D' R L B'
L' F U2 F2 R D L2
L' F U2 F2 D L2 R
L' F U2 F2 D R L2
F' D L2 R2 D R' B
F' D L2 D R' B R2
F' D R L D' L B'
F' D R2 L2 D R' B
U' F' L R D B' L2
U' F' L D R B' L2
U' F' L D B' L2 R
U' F' L D B' R L2
U2 F' L R D B' L2
L2 F' L R D L2 B'
U' F' L' R D L2 B'
U2 F' L D R B' L2
L2 F' L D L2 R B'
L2 F' L D L2 B' R
L2 F' L D R L2 B'
U' F' L' D L2 R B'
U' F' L' D L2 B' R
U' F' L' D R L2 B'
U2 F' L D B' L2 R
U2 F' L D B' R L2
L F B2 U' F2 B R
L F B2 U' B F2 R
U2 F' L' R D L2 B'
L2 F' L' R D B' L2
U F' L R D B' L2
U2 F' L' D L2 R B'
U2 F' L' D L2 B' R
U2 F' L' D R L2 B'
L2 F' L' D R B' L2
L2 F' L' D B' L2 R
L2 F' L' D B' R L2
U F' L D R B' L2
U F' L D B' L2 R
U F' L D B' R L2
U' F' R L D B' L2
U' F' R L' D L2 B'
U F' L' R D L2 B'
B2 D F' R F' U' F
U F' L' D L2 R B'
U F' L' D L2 B' R
U F' L' D R L2 B'
D F' L2 U R F' U'
L' F' R D L2 D B2
L2 F' R L D L2 B'
U2 F' R L D B' L2
L' F' R D2 B2 D' L2
U2 F' R L' D L2 B'
L2 F' R L' D B' L2
L F' L2 R D L2 B'
L2 F' R D L' B' L'
L F' L2 D L2 R B'
L F' L2 D L2 B' R
L F' L2 D R L2 B'
U F' R L D B' L2
U F' R L' D L2 B'
D F' R F' U' F L2
L F' R L2 D L2 B'
L F' R U B2 U' B
L F' R D B L2 B2
L F' R D B' L2 D
L F' R D B' L2 D'
L F' R D B' L2 D2
L F' R D B2 L2 B
L F' R D' B' D2 L2
L F' R D2 B' D' L2
L F' R B' U B' U'
L F' R2 D R' B' L2
D F' U R F' U' L2
L F' U B2 U' B R
L' F' D L2 D R B2
L' F' D L2 D B2 R
L2 F' D L' R B' L'
L2 F' D L' B' L' R
L2 F' D L' B' R L'
L2 F' D R L' B' L'
L F' D R B L2 B2
L F' D R B' L2 D
L F' D R B' L2 D'
L F' D R B' L2 D2
L F' D R B2 L2 B
L F' D R' B' L2 R2
L F' D R' B' R2 L2
L' F' D2 R B2 D' L2
L F' D B L2 R B2
L F' D B L2 B2 R
L F' D B R L2 B2
L F' D B R B2 L2
L F' D B' L2 R D
L F' D B' L2 R D'
L F' D B' L2 R D2
L F' D B' L2 D R
L F' D B' L2 D' R
L F' D B' L2 D2 R
L F' D B' R L2 D
L F' D B' R L2 D'
L F' D B' R L2 D2
L F' D B2 L2 B R
L' F' D2 B2 R D' L2
L' F' D2 B2 D' L2 R
L' F' D2 B2 D' R L2
L F' D' B' D2 L2 R
L F' D' B' D2 R L2
L F' D2 R D' B' L2
L F' D2 R B' D' L2
L F' D2 B' R D' L2
L F' D2 B' D' L2 R
L F' D2 B' D' R L2
L F' B' R U B' U'
L F' B' U B' U' R
D2 F2 R' U F B R'
D2 F2 R' U B R' F
D2 F2 R' U B F R'
D2 F2 U R' F B R'
D2 F2 U R' B R' F
D2 F2 U R' B F R'
D2 F2 U F R' B R'
D2 F2 U F B R' B
D2 F2 U B R' F B
D2 F2 U B R' B F
D2 F2 U B F R' B
L F2 D F R B' L2
L F2 D F B' L2 R
L F2 D F B' R L2
L F2 D B' F L2 R
L F2 D B' F R L2
D2 F2 B U R' F B
D2 F2 B U R' B F
D2 F2 B U F R' B
F' D2 R' B R2 D' L2
B2 D2 U' F' R' B R'
B2 D2 U' F' B R' B
B2 D2 U' B F' R' B
B D2 B U' F' R' B
F' B L R D B' L
F' B L B' R D L2
F' B L B' D L2 R
F' B L B' D R L2
F' B R L D B' L
B2 F U L' F U2 F
D2 B F2 U R' F B
D2 B F2 U R' B F
D2 B F2 U F R' B
L B' L2 F' R D' L2
L B' L2 F' D' L2 R
L B' L2 F' D' R L2
B F' L R D B' L
B F' L B' R D L2
B F' L B' D L2 R
B F' L B' D R L2
L B' U B' U' F' R
B F' R L D B' L
U' B2 L U' F' R B'
U' B2 L U' F' B' R
U' B2 L U' B' F' R
L B' F' R U B' U'
L B' F' U B' U' R
U2 B2 L U' F' R B'
U2 B2 L U' F' B' R
U2 B2 L U' B' F' R
L2 B2 L' U' F' R B'
L2 B2 L' U' F' B' R
L2 B2 L' U' B' F' R
L' B2 L2 U' F' R B'
L' B2 L2 U' F' B' R
L' B2 L2 U' B' F' R
L B2 L U' F' B R
L B2 L U' B F' R
U B2 L U' F' R B'
U B2 L U' F' B' R
U B2 L U' B' F' R
L B2 L' U' F' B R
L B2 L' U' B F' R
L B2 L2 U' F' B R
L B2 L2 U' B F' R
L' B2 U F L' U2 F2
L' B2 U F U2 F2 R
L' B2 U' F' R D2 B2
L' B2 U' F' D2 R B2
L' B2 U' F' D2 B2 R
L B2 U' D2 F' B R'
L B2 U' D2 B F' R'
L B2 U' F' D B R
L B2 U' F' D' B R
L B2 U' F' D2 B R
L B2 U' F' B R D
L B2 U' F' B R D'
L B2 U' F' B R D2
L B2 U' F' B D R
L B2 U' F' B D' R
L B2 U' F' B D2 R
L B2 U' F' B' R B2
L B2 U' F' B2 R B'
L B2 U' B F' R D
L B2 U' B F' R D'
L B2 U' B F' R D2
L B2 U' B F' D R
L B2 U' B F' D' R
L B2 U' B F' D2 R
L B2 U' B' F' R B2
L B2 U' B2 F' R B'
F B2 U L' F U2 F
L B2 D2 U' F' B R'
L B2 D2 U' B F' R'
L B2 F U' F2 B R
L B2 F U' B F2 R
