B' R U' D R2 F'
B' R D U' R2 F'
B' R F2 U B U2
B' R' F2 R2 U' F
R' F2 R2 B' U' F
R' F2 B' R2 U' F
R F2 B' U B2 U2
R F2 B' U' D2 F2
R F2 B' D L2 U'
R F2 B' D2 U' F2
R B' D L2 U' R2
R' B' F2 R2 U' F
R B' F2 U B2 U2
R B' F2 U' D2 F2
R B' F2 D L2 U'
R B' F2 D2 U' F2
B R F2 B2 L2 U' F
B R F2 B2 U B' U2
U R F2 D2 B' L U'
U' R B F2 L B2 U'
D' R B' U L2 B2 U2
U2 R B' L F2 U' F'
D' R B' U B2 L2 U2
D' R B' U' D2 R2 F2
D' R B' U' D2 F2 R2
D2 R B' D L2 F U'
D' R B' D L2 F2 U'
D' R B' D F2 L2 U'
D' R B' D2 U' R2 F2
D' R B' D2 U' F2 R2
D R B' U B2 U2 R
D R B' U' R D2 F2
D R B' U' D2 R F2
U' R B' F2 U2 R' U
D R B' D L2 U' R
D R B' D2 U' R F2
U2 R B' F2 L U' F
B R B2 L2 F2 U' F'
U R B' F' L' F' U'
B R B2 F2 L2 U' F
B R B2 F2 U B' U2
B' R' L F2 R2 U' F
B' R' L' F2 R2 U' F
B' R' L2 F2 R2 U' F
R' U' F2 R2 B' U' F
R' U' F2 B' R2 U' F
B' R' U' D F' R2 B2
B' R' U' D F' B2 R2
B' R' U' D B2 F' R2
R' U' B' F2 R2 U' F
B' R' D U' F' R2 B2
B' R' D U' F' B2 R2
B' R' D U' B2 F' R2
B R' D L2 F' R2 B2
B R' D L2 F' B2 R2
B R' D L2 B2 F' R2
B R' D R2 B2 L2 F
B R' D F' L2 R2 B2
B R' D F' L2 B2 R2
B R' D F' R2 L2 B2
B R' D F' R2 B2 L2
B R' D F' B2 L2 R2
B R' D F' B2 R2 L2
B R' D B2 L2 F' R2
B R' D B2 F' L2 R2
B R' D B2 F' R2 L2
B' R' F R2 F U' F
B' R' F2 R2 U' D F
B' R' F2 R2 U' D' F
B' R' F2 R2 U' D2 F
B' R' F2 R2 U' F D
B' R' F2 R2 U' F D'
B' R' F2 R2 U' F D2
B' R' F2 R2 D U' F
B' R' F2 R2 D' U' F
B' R' F2 R2 D2 U' F
B' R' F2 U' D F B2
B' R' F2 U' D B2 F
B' R' F2 U' F D B2
B' R' F2 D U' F B2
B' R' F2 D U' B2 F
B R' F2 R2 B2 U' F
B R' F2 B2 R2 U' F
U' R' B' R2 F2 L' U'
F2 R' B' U2 L' U F'
B R' B2 F2 R2 U' F
R' U2 F2 R2 B' U' F
R' U2 F2 B' R2 U' F
R' U2 B' F2 R2 U' F
R D L U' R2 F' L'
B' R2 F2 R' U B U2
R' D B' U' F' R2 B'
R' D B' U' F' B' R2
R' D B' U' B' F' R2
R D B' U B2 U2 R2
R D B' U' R2 D2 F2
F' U F' B' L' U' B'
F' U B' F' L' U' B'
R D' B' U L2 B2 U2
R D' B' U B2 L2 U2
R D' B' U' D2 R2 F2
R D' B' U' D2 F2 R2
R D' B' D L2 F2 U'
R D' B' D F2 L2 U'
R D' B' D2 U' R2 F2
R D' B' D2 U' F2 R2
R' D2 L2 F B2 U F2
R' D2 L2 B2 F U F2
B2 U' B L R F2 U'
B2 U' B R L F2 U'
B2 U' B R F2 L U'
R D2 B' D L2 F U'
R' F R2 F B' U' F
R' F R2 B' F U' F
B' D R U B U2 R
B' D R U' R2 F' R'
R' F B' R2 F U' F
R F B' D F L2 U'
R F B' D2 F U' F
R' F' U F' R2 B' U'
R' F' U F' B' R2 U'
R' F' U B' F' R2 U'
B' D' R U L2 B U2
B' D' R U B L2 U2
B' D' R U' D2 R2 F'
B' D' R D2 U' R2 F'
R F' B' D L2 F' U'
R F' B' D F' L2 U'
R F' B' D2 F' U' F'
R F2 L U B U2 L
R' F2 R B' R U' F
R' F2 R2 D B' U' F
R' F2 R2 D' B' U' F
R' F2 R2 D2 B' U' F
R' F2 R2 B' U' D F
R' F2 R2 B' U' D' F
R' F2 R2 B' U' D2 F
R' F2 R2 B' U' F D
R' F2 R2 B' U' F D'
R' F2 R2 B' U' F D2
R' F2 R2 B' D U' F
R' F2 R2 B' D' U' F
R' F2 R2 B' D2 U' F
R2 F2 R' B' U B2 U2
R2 F2 R' B' U' D2 F2
R2 F2 R' B' D L2 U'
R2 F2 R' B' D2 U' F2
R F2 U B U' B2 U'
R F2 U B U2 D L2
R F2 U B D U2 L2
R F2 U B D' R2 U2
R' F2 D B' U' F B'
R' F2 D B' U' B' F
R2 F2 D R' B' L U'
B' D2 R U' D' R2 F'
B' D2 R D' U' R2 F'
R' F2 B R2 B2 U' F
R F2 D B' U B2 U2
R F2 D B' U' D2 F2
R F2 D B' D L2 U'
R F2 D B' D2 U' F2
U' F2 B' U2 L' R' U
R' F2 B' R2 U' D F
R' F2 B' R2 U' D' F
R' F2 B' R2 U' D2 F
R' F2 B' R2 U' F D
R' F2 B' R2 U' F D'
R' F2 B' R2 U' F D2
U' F2 B' U2 R' L' U
R' F2 B' R2 D U' F
R' F2 B' R2 D' U' F
R' F2 B' R2 D2 U' F
R' F2 B' U' D F B2
R' F2 B' U' D B2 F
R' F2 B' U' F D B2
R F2 D' B' U B2 U2
R F2 D' B' U' D2 F2
R F2 D' B' D L2 U'
R F2 D' B' D2 U' F2
R' F2 B' D U' F B2
R' F2 B' D U' B2 F
U' B L R F2 B2 U'
U' B L R B2 F2 U'
R F2 D2 B' U B2 U2
R F2 D2 B' U' D2 F2
R F2 D2 B' D L2 U'
R F2 D2 B' D2 U' F2
U' B L B2 R F2 U'
R F2 B' L U B2 U2
R F2 B' L U' D2 F2
R F2 B' L D L2 U'
R F2 B' L D2 U' F2
R F2 B' L' U B2 U2
R F2 B' L' U' D2 F2
R F2 B' L' D L2 U'
R F2 B' L' D2 U' F2
R F2 B' L2 U B2 U2
R F2 B' L2 U' D2 F2
R F2 B' L2 D L2 U'
R F2 B' L2 D2 U' F2
R F2 B' U B2 U2 D
R F2 B' U B2 U2 D'
R F2 B' U B2 U2 D2
R F2 B' U B2 D U2
R F2 B' U B2 D' U2
R F2 B' U B2 D2 U2
R F2 B' U' D2 F2 D
R F2 B' U' D2 F2 D'
R F2 B' U' D2 F2 D2
R F2 B' U' F D2 F2
R F2 B' U' F' D2 F2
R F2 B' U' F2 D2 F2
R F2 B' U2 D' R2 U
R F2 B' D L2 U' D
R F2 B' D L2 U' D'
R F2 B' D L2 U' D2
R F2 B' D L2 D U'
R F2 B' D L2 D' U'
R F2 B' D L2 D2 U'
R F2 B' D' U2 R2 U
R F2 B' D2 L U' F2
R F2 B' D2 L' U' F2
R F2 B' D2 L2 U' F2
R F2 B' D2 U' F2 D
R F2 B' D2 U' F2 D'
R F2 B' D2 U' F2 D2
R F2 B2 L2 B U' F
U' B R L F2 B2 U'
U' B R L B2 F2 U'
U' B R F2 L B2 U'
R' B D L2 F' R2 B2
R' B D L2 F' B2 R2
R' B D L2 B2 F' R2
R' B D R2 B2 L2 F
R' B D F' L2 R2 B2
R' B D F' L2 B2 R2
R' B D F' R2 L2 B2
R' B D F' R2 B2 L2
R' B D F' B2 L2 R2
R' B D F' B2 R2 L2
R' B D B2 L2 F' R2
R' B D B2 F' L2 R2
R' B D B2 F' R2 L2
R B U' F2 B2 U' B2
R B U' B2 F2 U' B2
F2 B L2 B2 R' U' F'
R' B F2 R2 B2 U' F
R' B' L F2 R2 U' F
U2 B' L R F2 U' F'
R' B' L' F2 R2 U' F
R' B' L2 F2 R2 U' F
R B' L D L2 U' R2
D' B' R U L2 B U2
D' B' R U B L2 U2
D' B' R U' D2 R2 F'
U' B' R F2 U' D' F2
U' B' R F2 U2 R2 U
U' B' R F2 D' U' F2
U' B' R F2 D2 L2 U'
R B' L F2 U B2 U2
R B' L F2 U' D2 F2
R B' L F2 D L2 U'
R B' L F2 D2 U' F2
D' B' R D2 U' R2 F'
U2 B' R L F2 U' F'
R B' L' D L2 U' R2
R B' L' F2 U B2 U2
R B' L' F2 U' D2 F2
R B' L' F2 D L2 U'
R B' L' F2 D2 U' F2
U2 B' R F2 L U' F
D B' R U B U2 R
D B' R U' R2 F' R'
R B' L2 D L2 U' R2
R' B' R2 U' D R2 F'
R' B' R2 D U' R2 F'
U' B' R2 F2 L' R' U'
U' B' R2 F2 R' L' U'
R B' L2 F2 U B2 U2
R B' L2 F2 U' D2 F2
R B' L2 F2 D L2 U'
R B' L2 F2 D2 U' F2
R' B' R2 F2 U B U2
U B' R F' L' F' U'
R' B' U' D F' R2 B2
R' B' U' D F' B2 R2
R' B' U' D B2 F' R2
F2 B' L2 U2 L U F
R' B' D U' F' R2 B2
R' B' D U' F' B2 R2
R' B' D U' B2 F' R2
R B' U B2 U' F2 U'
R B' U B2 U2 D R2
R B' U B2 D U2 R2
R B' U B2 D' L2 U2
F2 B' R' U2 L' U F'
R B' U' D R2 D F2
R B' U' D2 F2 D' R2
R B' U2 D2 B2 U F2
R B' D L2 U' R2 D
R B' D L2 U' R2 D'
R B' D L2 U' R2 D2
R B' D L2 D' F2 U'
R B' D L2 F U' R2
R B' D L2 F' U' R2
R B' D L2 F2 U' R2
R B' D U' R2 D F2
R' B' F R2 F U' F
R B' D F L2 U' R2
R B' D F' L2 U' R2
R B' D F2 L2 U' R2
F2 B' U2 L' U' B' U2
U' B' F2 U2 L' R' U
U' B' F2 U2 R' L' U
R' B' F2 R2 U' D F
R' B' F2 R2 U' D' F
R' B' F2 R2 U' D2 F
R' B' F2 R2 U' F D
R' B' F2 R2 U' F D'
R' B' F2 R2 U' F D2
R' B' F2 R2 D U' F
R' B' F2 R2 D' U' F
R' B' F2 R2 D2 U' F
R' B' F2 U' D F B2
R' B' F2 U' D B2 F
R' B' F2 U' F D B2
R' B' F2 D U' F B2
R' B' F2 D U' B2 F
R B' D2 U' F2 D' R2
R B' D2 U2 B2 U F2
R B' F D F L2 U'
R B' F D2 F U' F
R B' F' D L2 F' U'
R B' F' D F' L2 U'
R B' F' D2 F' U' F'
R B' F2 L U B2 U2
R B' F2 L U' D2 F2
R B' F2 L D L2 U'
R B' F2 L D2 U' F2
R B' F2 L' U B2 U2
R B' F2 L' U' D2 F2
R B' F2 L' D L2 U'
R B' F2 L' D2 U' F2
R B' F2 L2 U B2 U2
R B' F2 L2 U' D2 F2
R B' F2 L2 D L2 U'
R B' F2 L2 D2 U' F2
R B' F2 U B2 U2 D
R B' F2 U B2 U2 D'
R B' F2 U B2 U2 D2
R B' F2 U B2 D U2
R B' F2 U B2 D' U2
R B' F2 U B2 D2 U2
R B' F2 U' D2 F2 D
R B' F2 U' D2 F2 D'
R B' F2 U' D2 F2 D2
R B' F2 U' F D2 F2
R B' F2 U' F' D2 F2
R B' F2 U' F2 D2 F2
R B' F2 U2 D' R2 U
R B' F2 D L2 U' D
R B' F2 D L2 U' D'
R B' F2 D L2 U' D2
R B' F2 D L2 D U'
R B' F2 D L2 D' U'
R B' F2 D L2 D2 U'
R B' F2 D' U2 R2 U
R B' F2 D2 L U' F2
R B' F2 D2 L' U' F2
R B' F2 D2 L2 U' F2
R B' F2 D2 U' F2 D
R B' F2 D2 U' F2 D'
R B' F2 D2 U' F2 D2
B' F2 L2 U2 L U F
R B2 L2 F2 B U' F'
R B2 L2 B F2 U' F'
B' F2 R' U2 L' U F'
B F2 L2 B2 R' U' F'
B' F2 U2 L' U' B' U2
R B2 F2 L2 B U' F
