B R2 F2 D L2
B' U' R2 F2 B2
B' U' R2 B2 F2
B' U' F2 R2 B2
B' U' F2 B2 R2
B' U' B2 R2 F2
B' U' B2 F2 R2
F2 B R2 D L2
B F2 R2 D L2
B' U' F2 B2 R2 D'
B' U' F2 B2 R2 D2
B' U' B' R2 F2 B'
B' U' B' R2 B' F2
B' U' B' F2 R2 B'
B' U' B2 R' F2 R'
B' U' B2 R2 F2 D
B' U' B2 R2 F2 D'
B' U' B2 R2 F2 D2
B' U' B2 F R2 F
B' U' B2 F2 R2 D
B' U' B2 F2 R2 D'
B' U' B2 F2 R2 D2
L2 F U F B R2
L2 F U B R2 F
L2 F U B F R2
B D L2 D' R2 F2
B D L2 D' F2 R2
B' D' L2 R2 F2 U'
B' D' L2 F2 R2 U'
B' D' R2 L2 F2 U'
B' D' R2 F2 L2 U'
B' D' F2 L2 R2 U'
B' D' F2 R2 L2 U'
F2 D' B D L2 R2
F2 D' B D R2 L2
U' F2 B R2 D L2
U2 F2 B R2 D L2
R2 F2 B D L2 B'
D' F2 B' L2 U' B2
U F2 B R2 D L2
U' B R2 F2 D L2
U2 B R2 F2 D L2
U B R2 F2 D L2
F2 B L R2 D L2
F2 B L' R2 D L2
D' B D L2 R2 F2
D' B D L2 F2 R2
D' B D R2 L2 F2
D' B D R2 F2 L2
D' B D F2 L2 R2
D' B D F2 R2 L2
F2 B L2 R2 D L2
F2 B R D L2 R
F2 B R D R L2
F2 B R' D L2 R'
F2 B R' D R' L2
F2 B R2 L D L2
F2 B R2 L' D L2
F2 B R2 L2 D L2
F2 B R2 U B2 U'
U' B F2 R2 D L2
F2 B R2 D L2 D
F2 B R2 D L2 D'
F2 B R2 D L2 D2
U2 B F2 R2 D L2
B F R2 D F L2
R2 B F2 D L2 B'
B' F U' R2 F B2
B F R2 F D L2
B' F U' R2 B2 F
F B R2 D F L2
B' F U' F R2 B2
B' F U' F B2 R2
F B R2 F D L2
F2 B U B2 U' R2
B' F U' B2 R2 F
B' F U' B2 F R2
U B F2 R2 D L2
F2 B D L2 D' R2
D' B' L2 F2 U' B2
U' B' U' R2 F2 B2
U' B' U' R2 B2 F2
U' B' U' F2 R2 B2
U' B' U' F2 B2 R2
U' B' U' B2 R2 F2
U' B' U' B2 F2 R2
U2 B' U' R2 F2 B2
U2 B' U' R2 B2 F2
U2 B' U' F2 R2 B2
U2 B' U' F2 B2 R2
U2 B' U' B2 R2 F2
U2 B' U' B2 F2 R2
U B' U' R2 F2 B2
U B' U' R2 B2 F2
U B' U' F2 R2 B2
U B' U' F2 B2 R2
U B' U' B2 R2 F2
U B' U' B2 F2 R2
F2 B' R2 B2 D L2
F' B' U' F' R2 B2
F' B' U' F' B2 R2
F' B' U' B2 F' R2
B' F' U' F' R2 B2
B' F' U' F' B2 R2
B' F' U' B2 F' R2
D' B' F2 L2 U' B2
F B' U' R2 F B2
F B' U' R2 B2 F
F B' U' F R2 B2
F B' U' F B2 R2
F B' U' B2 R2 F
F B' U' B2 F R2
B F2 L R2 D L2
B F2 L' R2 D L2
B F2 L2 R2 D L2
D B2 R2 F' U B'
B F2 R D L2 R
B F2 R D R L2
B' F2 R2 B2 D L2
B F2 R' D L2 R'
B F2 R' D R' L2
B F2 R2 L D L2
B F2 R2 L' D L2
B F2 R2 L2 D L2
B F2 R2 U B2 U'
B F2 R2 D L2 D
B F2 R2 D L2 D'
B F2 R2 D L2 D2
B F2 U B2 U' R2
B F2 D L2 D' R2
B' L R U' R F2 B2
B' L R U' R B2 F2
B' L R U' B2 R F2
B' L R' U' R' F2 B2
B' L R' U' R' B2 F2
B' L R' U' F2 R' B2
B L R' F2 R' D L2
B L R' F2 D L2 R'
B L R' F2 D R' L2
B L R2 U B2 U' F2
B L R2 D L2 D' F2
B' L R2 F2 B2 D L2
B L R2 F D F L2
B L R2 F' D L2 F'
B L R2 F' D F' L2
B L R2 F2 L D L2
B L R2 F2 L' D L2
B L R2 F2 L2 D L2
B L R2 F2 U B2 U'
B L R2 F2 D L2 D
B L R2 F2 D L2 D'
B L R2 F2 D L2 D2
B' L R2 B2 F2 D L2
F' L U F' B L R2
F' L U F' B R2 L
F' L U B L F' R2
U' L U F2 B L R2
U' L U F2 B R2 L
F' L U B F' L R2
F' L U B F' R2 L
U' L U B L R2 F2
U' L U B L F2 R2
U2 L U F2 B L R2
U2 L U F2 B R2 L
U2 L U B L R2 F2
U2 L U B L F2 R2
U' L U B R2 L F2
U' L U B R2 F2 L
U2 L U B R2 L F2
U2 L U B R2 F2 L
U' L U B F2 L R2
U' L U B F2 R2 L
U2 L U B F2 L R2
U2 L U B F2 R2 L
U L U F2 B L R2
U L U F2 B R2 L
U L U B L R2 F2
U L U B L F2 R2
U L U B R2 L F2
U L U B R2 F2 L
U L U B F2 L R2
U L U B F2 R2 L
B L U B2 U' R2 F2
B L U B2 U' F2 R2
B' L U' R B2 R F2
B' L U' R' F2 R' B2
B' L U' R2 F2 B2 D
B' L U' R2 F2 B2 D'
B' L U' R2 F2 B2 D2
B' L U' R2 B2 F2 D
B' L U' R2 B2 F2 D'
B' L U' R2 B2 F2 D2
B' L U' F R2 F B2
B' L U' F R2 B2 F
F' L U' F' L' B R2
B' L U' F B2 R2 F
F' L U' F' B L' R2
F' L U' F' B R2 L'
B' L U' F2 R B2 R
B' L U' F2 R2 B2 D
B' L U' F2 R2 B2 D'
B' L U' F2 R2 B2 D2
B' L U' F2 B' R2 B'
B' L U' F2 B2 R2 D
B' L U' F2 B2 R2 D'
B' L U' F2 B2 R2 D2
F' L U' B F' L' R2
F' L U' B F' R2 L'
B' L U' B' R2 F2 B'
B' L U' B' R2 B' F2
B' L U' B' F2 R2 B'
B' L U' B2 R' F2 R'
B' L U' B2 R2 F2 D
B' L U' B2 R2 F2 D'
B' L U' B2 R2 F2 D2
B' L U' B2 F R2 F
B' L U' B2 F2 R2 D
B' L U' B2 F2 R2 D'
B' L U' B2 F2 R2 D2
B L D L2 D' R2 F2
B L D L2 D' F2 R2
B' L D' L2 R2 F2 U'
B' L D' L2 F2 R2 U'
B' L D' R2 L2 F2 U'
B' L D' R2 F2 L2 U'
B' L D' F2 L2 R2 U'
B' L D' F2 R2 L2 U'
R2 L F2 L2 D' B' L
B' L F U' R2 F B2
B' L F U' R2 B2 F
B' L F U' F R2 B2
B' L F U' F B2 R2
B L F R2 D F L2
B' L F U' B2 R2 F
B L F R2 F D L2
B' L F U' B2 F R2
B' L F' U' F' R2 B2
B' L F' U' F' B2 R2
B' L F' U' B2 F' R2
B L F2 L R2 D L2
B L F2 L' R2 D L2
B L F2 L2 R2 D L2
B L F2 R D L2 R
B L F2 R D R L2
B' L F2 R2 B2 D L2
B L F2 R' D L2 R'
B L F2 R' D R' L2
B L F2 R2 L D L2
B L F2 R2 L' D L2
B L F2 R2 L2 D L2
B L F2 R2 U B2 U'
B L F2 R2 D L2 D
B L F2 R2 D L2 D'
B L F2 R2 D L2 D2
B L F2 U B2 U' R2
B L F2 D L2 D' R2
B' L F2 B2 R2 D L2
B' L B2 R2 F2 D L2
B L B2 U' R2 F2 B2
B L B2 U' R2 B2 F2
B L B2 U' F2 R2 B2
B L B2 U' F2 B2 R2
B L B2 U' B2 R2 F2
B L B2 U' B2 F2 R2
B' L B2 F2 R2 D L2
B' L' R U' R F2 B2
B' L' R U' R B2 F2
B' L' R U' B2 R F2
B' L' R' U' R' F2 B2
B' L' R' U' R' B2 F2
B' L' R' U' F2 R' B2
B L' R' F2 R' D L2
B L' R' F2 D L2 R'
B L' R' F2 D R' L2
B L' R2 U B2 U' F2
B L' R2 D L2 D' F2
B' L' R2 F2 B2 D L2
B L' R2 F D F L2
B L' R2 F' D L2 F'
B L' R2 F' D F' L2
B L' R2 F2 L D L2
B L' R2 F2 L' D L2
B L' R2 F2 L2 D L2
B L' R2 F2 U B2 U'
B' L' R2 B2 F2 D L2
B L' R2 F2 D L2 D
B L' R2 F2 D L2 D'
B L' R2 F2 D L2 D2
B L' U B2 U' R2 F2
B L' U B2 U' F2 R2
B' L' U' R B2 R F2
B' L' U' R' F2 R' B2
B' L' U' R2 F2 B2 D
B' L' U' R2 F2 B2 D'
B' L' U' R2 F2 B2 D2
B' L' U' R2 B2 F2 D
B' L' U' R2 B2 F2 D'
B' L' U' R2 B2 F2 D2
B' L' U' F R2 F B2
B' L' U' F R2 B2 F
B' L' U' F B2 R2 F
B' L' U' F2 R B2 R
B' L' U' F2 R2 B2 D
B' L' U' F2 R2 B2 D'
B' L' U' F2 R2 B2 D2
B' L' U' F2 B' R2 B'
B' L' U' F2 B2 R2 D
B' L' U' F2 B2 R2 D'
B' L' U' F2 B2 R2 D2
B' L' U' B' R2 F2 B'
B' L' U' B' R2 B' F2
B' L' U' B' F2 R2 B'
B' L' U' B2 R' F2 R'
B' L' U' B2 R2 F2 D
B' L' U' B2 R2 F2 D'
B' L' U' B2 R2 F2 D2
B' L' U' B2 F R2 F
B' L' U' B2 F2 R2 D
B' L' U' B2 F2 R2 D'
B' L' U' B2 F2 R2 D2
B L' D L2 D' R2 F2
B L' D L2 D' F2 R2
R2 L' F2 D' L2 B' L
B' L' D' L2 R2 F2 U'
B' L' D' L2 F2 R2 U'
B' L' D' R2 L2 F2 U'
B' L' D' R2 F2 L2 U'
B' L' D' F2 L2 R2 U'
B' L' D' F2 R2 L2 U'
D L' D' B R2 F2 L'
B' L' F U' R2 F B2
B' L' F U' R2 B2 F
B' L' F U' F R2 B2
B' L' F U' F B2 R2
B' L' F U' B2 R2 F
B' L' F U' B2 F R2
B L' F R2 D F L2
B L' F R2 F D L2
B' L' F' U' F' R2 B2
B' L' F' U' F' B2 R2
B' L' F' U' B2 F' R2
B L' F2 L R2 D L2
B L' F2 L' R2 D L2
B L' F2 L2 R2 D L2
B' L' F2 R2 B2 D L2
B L' F2 R D L2 R
B L' F2 R D R L2
B L' F2 R' D L2 R'
B L' F2 R' D R' L2
B L' F2 R2 L D L2
B L' F2 R2 L' D L2
B L' F2 R2 L2 D L2
B L' F2 R2 U B2 U'
B L' F2 R2 D L2 D
B L' F2 R2 D L2 D'
B L' F2 R2 D L2 D2
B L' F2 U B2 U' R2
B L' F2 D L2 D' R2
B' L' F2 B2 R2 D L2
B' L' B2 R2 F2 D L2
F2 L' B2 R2 D' B' L
B L' B2 U' R2 F2 B2
B L' B2 U' R2 B2 F2
B L' B2 U' F2 R2 B2
B L' B2 U' F2 B2 R2
B L' B2 U' B2 R2 F2
B L' B2 U' B2 F2 R2
B' L' B2 F2 R2 D L2
B' L2 R U' R F2 B2
B' L2 R U' R B2 F2
B' L2 R U' B2 R F2
B' L2 R' U' R' F2 B2
B' L2 R' U' R' B2 F2
B' L2 R' U' F2 R' B2
B L2 R' F2 R' D L2
B L2 R' F2 D L2 R'
B L2 R' F2 D R' L2
B L2 R2 U B2 U' F2
B L2 R2 D L2 D' F2
B' L2 R2 F2 B2 D L2
B L2 R2 F D F L2
B' L2 R2 B2 F2 D L2
B L2 R2 F' D L2 F'
B L2 R2 F' D F' L2
B L2 R2 F2 L D L2
B L2 R2 F2 L' D L2
B L2 R2 F2 L2 D L2
B L2 R2 F2 U B2 U'
B L2 R2 F2 D L2 D
B L2 R2 F2 D L2 D'
B L2 R2 F2 D L2 D2
L2 R2 F' D' F' L2 B'
R2 L2 F' D' F' L2 B'
L R2 F2 L2 D' B' L
L' R2 F2 D' L2 B' L
B' L2 U' R B2 R F2
B' L2 U' R' F2 R' B2
B L2 U B2 U' R2 F2
B L2 U B2 U' F2 R2
B' L2 U' R2 F2 B2 D
B' L2 U' R2 F2 B2 D'
B' L2 U' R2 F2 B2 D2
B' L2 U' R2 B2 F2 D
B' L2 U' R2 B2 F2 D'
B' L2 U' R2 B2 F2 D2
B' L2 U' F R2 F B2
B' L2 U' F R2 B2 F
B' L2 U' F B2 R2 F
B' L2 U' F2 R B2 R
B' L2 U' F2 R2 B2 D
B' L2 U' F2 R2 B2 D'
B' L2 U' F2 R2 B2 D2
F2 L2 U' F U B R2
B' L2 U' F2 B' R2 B'
B' L2 U' F2 B2 R2 D
B' L2 U' F2 B2 R2 D'
B' L2 U' F2 B2 R2 D2
B' L2 U' B' R2 F2 B'
B' L2 U' B' R2 B' F2
B' L2 U' B' F2 R2 B'
B' L2 U' B2 R' F2 R'
B' L2 U' B2 R2 F2 D
B' L2 U' B2 R2 F2 D'
B' L2 U' B2 R2 F2 D2
B' L2 U' B2 F R2 F
B' L2 U' B2 F2 R2 D
B' L2 U' B2 F2 R2 D'
B' L2 U' B2 F2 R2 D2
B L2 D L2 D' R2 F2
B L2 D L2 D' F2 R2
B' L2 D' L2 R2 F2 U'
B' L2 D' L2 F2 R2 U'
B' L2 D' R2 L2 F2 U'
B' L2 D' R2 F2 L2 U'
B' L2 D' F2 L2 R2 U'
B' L2 D' F2 R2 L2 U'
L U L F2 B L R2
L U L F2 B R2 L
L U L B L R2 F2
L U L B L F2 R2
L U L B R2 L F2
L U L B R2 F2 L
L U L B F2 L R2
L U L B F2 R2 L
U' L2 F U F B R2
U' L2 F U B R2 F
U' L2 F U B F R2
F' L2 F U F2 B R2
F' L2 F U B R2 F2
F' L2 F U B F2 R2
B' L2 F U' R2 F B2
B' L2 F U' R2 B2 F
B' L2 F U' F R2 B2
B' L2 F U' F B2 R2
B' L2 F U' B2 R2 F
B' L2 F U' B2 F R2
U2 L2 F U F B R2
U2 L2 F U B R2 F
F2 L2 F U F' B R2
U2 L2 F U B F R2
F2 L2 F U B F' R2
L U L' F2 B L R2
L U L' F2 B R2 L
L U L' B L R2 F2
L U L' B L F2 R2
L U L' B R2 L F2
B L2 F R2 D F L2
L U L' B R2 F2 L
B L2 F R2 F D L2
L U L' B F2 L R2
L U L' B F2 R2 L
U L2 F U F B R2
U L2 F U B R2 F
U L2 F U B F R2
D L2 F B2 R2 U B'
B' L2 F' U' F' R2 B2
B' L2 F' U' F' B2 R2
B' L2 F' U' B2 F' R2
L U L2 F2 B L R2
L U L2 F2 B R2 L
L U L2 B L R2 F2
L U L2 B L F2 R2
L U L2 B R2 L F2
L U L2 B R2 F2 L
L U L2 B F2 L R2
L U L2 B F2 R2 L
F' L2 F' B R2 D' L2
B L2 F2 L R2 D L2
B' L2 F2 R2 B2 D L2
B L2 F2 L' R2 D L2
B L2 F2 L2 R2 D L2
D' L2 F2 U2 F' U B
B L2 F2 R D L2 R
B L2 F2 R D R L2
B L2 F2 R' D L2 R'
B L2 F2 R' D R' L2
B L2 F2 R2 L D L2
B L2 F2 R2 L' D L2
B L2 F2 R2 L2 D L2
B L2 F2 R2 U B2 U'
B L2 F2 R2 D L2 D
B L2 F2 R2 D L2 D'
B L2 F2 R2 D L2 D2
B L2 F2 U B2 U' R2
B' L2 F2 B2 R2 D L2
B L2 F2 D L2 D' R2
F2 L2 B R2 U' F U
B2 L2 B U' F2 R2 B
F2 L2 B U' F U R2
F' L2 B F' R2 D' L2
R2 U R2 B' U' F2 B2
R2 U R2 B' U' B2 F2
D2 L2 B2 U F U B'
B' L2 B2 R2 F2 D L2
D L2 B2 R2 F U B'
B L2 B2 U' R2 F2 B2
B L2 B2 U' R2 B2 F2
B L2 B2 U' F2 R2 B2
B L2 B2 U' F2 B2 R2
B' L2 B2 F2 R2 D L2
B L2 B2 U' B2 R2 F2
B L2 B2 U' B2 F2 R2
B' R L U' R F2 B2
B' R L U' R B2 F2
B' R L U' B2 R F2
D L2 B2 F R2 U B'
B' R L' U' R F2 B2
B' R L' U' R B2 F2
B' R L' U' B2 R F2
B' R L2 U' R F2 B2
B' R L2 U' R B2 F2
L2 U F U F B R2
L2 U F U B R2 F
L2 U F U B F R2
B' R L2 U' B2 R F2
L U F B R2 F L
B' R U R F2 B2 L
B' R U R B2 L F2
B' R U R B2 F2 L
L U F' B L F' R2
L U F2 L B L R2
L U F2 L B R2 L
L U F2 L' B L R2
B' R U' R F2 B2 D
B' R U' R F2 B2 D'
B' R U' R F2 B2 D2
L U F2 L' B R2 L
B' R U' R B2 F2 D
B' R U' R B2 F2 D'
B' R U' R B2 F2 D2
B' R U' R' F2 R2 B2
B' R U' R' F2 B2 R2
L U F2 L2 B L R2
L U F2 L2 B R2 L
B' R U' R' B2 R2 F2
B' R U' R' B2 F2 R2
B' R U' R2 F2 R' B2
B R U B2 U' R F2
B' R U' B' R F2 B'
B' R U' B' R B' F2
B' R U' B2 R F2 D
B' R U' B2 R F2 D'
B' R U' B2 R F2 D2
B' R U' B2 R' F2 R2
B' R U' B2 R2 F2 R'
L U F2 B L R2 D
L U F2 B L R2 D'
L U F2 B L R2 D2
L U F2 B R2 L D
L U F2 B R2 L D'
L U F2 B R2 L D2
L U F2 B R2 D L
L U F2 B R2 D' L
L U F2 B R2 D2 L
L U F2 B2 R2 B' L
L U B L R' F2 R'
L U B L R2 F2 D
L U B L R2 F2 D'
L U B L R2 F2 D2
L U B L F R2 F
L U B L F2 R2 D
L U B L F2 R2 D'
L U B L F2 R2 D2
L U B L' R2 F2 L2
L U B L' F2 L2 R2
L U B L' F2 R2 L2
L U B R' L F2 R'
L U B R' F2 L R'
L U B R' F2 R' L
L U B R2 L F2 D
L U B R2 L F2 D'
L U B R2 L F2 D2
L U B R2 L' F2 L2
L U B R2 F' L F'
L U B R2 F2 L D
L U B R2 F2 L D'
L U B R2 F2 L D2
L U B R2 F2 D L
L U B R2 F2 D' L
L U B R2 F2 D2 L
L U B F R2 F L
L U B F' L F' R2
L U B F2 L R2 D
L U B F2 L R2 D'
L U B F2 L R2 D2
L U B F2 R2 L D
L U B F2 R2 L D'
L U B F2 R2 L D2
L U B F2 R2 D L
L U B F2 R2 D' L
L U B F2 R2 D2 L
R2 U B' R2 U' F2 B
R2 U B' R2 U' B F2
R2 U B' U F' U2 F'
L U B' R2 F2 L' B2
L U B' R2 F2 B2 L'
L U B' R2 B2 F2 L'
B R D L2 D' R F2
B' R D' L2 R2 U' R'
B' R D' R2 L2 U' R'
L U B2 R2 F2 B' L
L U B2 R2 B' L F2
L U B2 R2 B' F2 L
B R D' R D F2 L'
L U B2 F2 R2 B' L
B' R B2 R F2 D L2
B R B2 U' R F2 B2
B R B2 U' R B2 F2
B R B2 U' B2 R F2
B' R' L U' R' F2 B2
B' R' L U' R' B2 F2
B' R' L U' F2 R' B2
B' R' L' U' R' F2 B2
B' R' L' U' R' B2 F2
B' R' L' U' F2 R' B2
B R' L F2 R' D L2
B R' L F2 D L2 R'
B R' L F2 D R' L2
L2 U' F U F B R2
L2 U' F U B R2 F
L2 U' F U B F R2
B' R' L2 U' R' F2 B2
B' R' L2 U' R' B2 F2
B' R' L2 U' F2 R' B2
B R' L' F2 R' D L2
B R' L' F2 D L2 R'
B R' L' F2 D R' L2
B R' L2 F2 R' D L2
B R' L2 F2 D L2 R'
B R' L2 F2 D R' L2
B' R' U R' F2 L' B2
B' R' U R' F2 B2 L'
L U' F' L' F' B R2
B' R' U R' B2 F2 L'
L U' F' L' B F' R2
L U' F' B L' F' R2
B' R' U' R F2 R2 B2
B' R' U' R F2 B2 R2
B' R' U' R B2 R2 F2
B' R' U' R B2 F2 R2
B' R' U' R' F2 B2 D
B' R' U' R' F2 B2 D'
B' R' U' R' F2 B2 D2
B' R' U' R' B2 F2 D
B' R' U' R' B2 F2 D'
B' R' U' R' B2 F2 D2
B' R' U' R2 B2 R F2
B' R' U' F R' F B2
B' R' U' F R' B2 F
B' R' U' F2 R B2 R2
B' R' U' F2 R' B2 D
B' R' U' F2 R' B2 D'
B' R' U' F2 R' B2 D2
B' R' U' F2 R2 B2 R
L U' B R2 F' L' F'
L U' B F' L' F' R2
B R' D L2 D' R' F2
B R' D L2 D' F2 R'
B' R' D' L2 R2 U' R
B' R' D' R2 L2 U' R
B' R' F U' R' F B2
B' R' F U' R' B2 F
B' R' F U' F R' B2
B R' F R' D F L2
B R' F R' F D L2
B R' F D R' F L2
B R' F D F L2 R'
B R' F D F R' L2
B' R' F' U' F' R' B2
B R' F' D L2 F' R'
B R' F' D F' L2 R'
B R' F' D F' R' L2
B' R' F2 R' B2 D L2
B R' F2 L R' D L2
B R' F2 L D L2 R'
B R' F2 L D R' L2
B R' F2 L' R' D L2
B R' F2 L' D L2 R'
B R' F2 L' D R' L2
B R' F2 L2 R' D L2
B R' F2 L2 D L2 R'
B R' F2 L2 D R' L2
B R' F2 R' L D L2
B R' F2 R' L' D L2
B R' F2 R' L2 D L2
B R' F2 R' U B2 U'
B R' F2 R' D L2 D
B R' F2 R' D L2 D'
B R' F2 R' D L2 D2
B R' F2 R2 D L2 R
B R' F2 R2 D R L2
B R' F2 D L2 R' D
B R' F2 D L2 R' D'
B R' F2 D L2 R' D2
B R' F2 D L2 D R'
B R' F2 D L2 D' R'
B R' F2 D L2 D2 R'
B R' F2 D R' L2 D
B R' F2 D R' L2 D'
B R' F2 D R' L2 D2
B R' F2 D2 R' D' L2
B R' B2 U' F2 B2 R'
B R' B2 U' B2 R' F2
B R' B2 U' B2 F2 R'
B' R2 L F2 B2 D L2
B R2 L U B2 U' F2
B' R2 L B2 F2 D L2
B R2 L D L2 D' F2
B R2 L F D F L2
B R2 L F' D L2 F'
B R2 L F' D F' L2
B R2 L F2 L D L2
B R2 L F2 L' D L2
B R2 L F2 L2 D L2
B R2 L F2 U B2 U'
B R2 L F2 D L2 D
B R2 L F2 D L2 D'
B R2 L F2 D L2 D2
B' R2 L' F2 B2 D L2
B R2 L' U B2 U' F2
B' R2 L' B2 F2 D L2
B R2 L' D L2 D' F2
L2 U2 F U F B R2
L2 U2 F U B R2 F
L2 U2 F U B F R2
B R2 L' F D F L2
B R2 L' F' D L2 F'
B R2 L' F' D F' L2
B R2 L' F2 L D L2
B R2 L' F2 L' D L2
B R2 L' F2 L2 D L2
B R2 L' F2 U B2 U'
B R2 L' F2 D L2 D
B R2 L' F2 D L2 D'
B R2 L' F2 D L2 D2
B' R2 L2 F2 B2 D L2
B R2 L2 U B2 U' F2
B' R2 L2 B2 F2 D L2
B R2 L2 D L2 D' F2
B R2 L2 F D F L2
B R2 L2 F' D L2 F'
B R2 L2 F' D F' L2
B R2 L2 F2 L D L2
B R2 L2 F2 L' D L2
B R2 L2 F2 L2 D L2
B R2 L2 F2 U B2 U'
B R2 L2 F2 D L2 D
B R2 L2 F2 D L2 D'
B R2 L2 F2 D L2 D2
R2 U2 F' U' B' U' F'
F2 R2 U R2 B' U' B2
B R2 U L B2 U' F2
B R2 U L' B2 U' F2
B R2 U L2 B2 U' F2
F2 R2 U B' R2 U' B
F2 R2 U B' U F' U2
B R2 U B2 L U' F2
B R2 U B2 L' U' F2
B R2 U B2 L2 U' F2
B R2 U B2 U' F2 D
B R2 U B2 U' F2 D'
B R2 U B2 U' F2 D2
B R2 U B2 D' L2 U'
B' R2 U' F2 B2 D' R2
B2 R2 U' F' U F' B'
B2 R2 U' F' U B' F'
B' R2 U' B2 F2 D' R2
B R2 U' D R2 U L2
F2 R2 U2 F' U' B' U'
B R2 D L D' L F2
B R2 D L D' F2 L
B R2 D L' D' L' F2
B R2 D L2 U' R2 U
B R2 D L2 D' F2 D
B R2 D L2 D' F2 D'
B R2 D L2 D' F2 D2
B R2 D L2 F D' F2
B R2 D L2 F' D' F2
B R2 D L2 F2 D' F2
B' R2 D' L2 R2 U' R2
B R2 D U' R2 U L2
B R2 D F L2 D' F2
B' R2 D' R2 L2 U' R2
B R2 D F' L2 D' F2
B R2 D F2 L2 D' F2
B R2 F L2 D L2 F
B2 R2 F D' F B' L2
B2 R2 F D' B' F L2
B' R2 F B2 D F L2
B2 R2 F B' D' F L2
B R2 F U B2 U' F
B R2 F D F L2 D
B R2 F D F L2 D'
B R2 F D F L2 D2
B R2 F D F' L2 F2
B R2 F D F2 L2 F'
B R2 F D' F D2 L2
B R2 F' L D L2 F'
B R2 F' L D F' L2
B R2 F' L F' D L2
B R2 F' L' D L2 F'
B R2 F' L' D F' L2
B R2 F' L' F' D L2
B R2 F' L2 D L2 F'
B R2 F' L2 D F' L2
B R2 F' L2 F' D L2
B' R2 F' B2 D L2 F'
B' R2 F' B2 D F' L2
B' R2 F2 L B2 D L2
B' R2 F2 L' B2 D L2
B' R2 F2 L2 B2 D L2
B R2 F' U B2 U' F'
B R2 F' D L F' L
B R2 F' D L2 D F'
B R2 F' D L2 D' F'
B R2 F' D L2 D2 F'
B R2 F' D L2 F' D
B R2 F' D L2 F' D'
B R2 F' D L2 F' D2
B R2 F' D F L2 F2
B R2 F' D F' L2 D
B R2 F' D F' L2 D'
B R2 F' D F' L2 D2
B R2 F' D' F' D2 L2
B2 R2 F2 U' F U B'
B R2 F2 L U B2 U'
B R2 F2 L D L2 D
B R2 F2 L D L2 D'
B R2 F2 L D L2 D2
D' R2 F2 B' L2 U' B'
B R2 F2 L' U B2 U'
B R2 F2 L' D L2 D
B R2 F2 L' D L2 D'
B R2 F2 L' D L2 D2
U' R2 F2 B D L2 B'
B R2 F2 L2 U B2 U'
B R2 F2 L2 D L2 D
B R2 F2 L2 D L2 D'
B R2 F2 L2 D L2 D2
B' R2 F2 B2 L D L2
B' R2 F2 B2 L' D L2
B' R2 F2 B2 L2 D L2
B R2 F2 R D L2 R'
B R2 F2 R D R' L2
B' R2 F2 B2 U B2 U'
B' R2 F2 B2 D L2 D
B' R2 F2 B2 D L2 D'
B' R2 F2 B2 D L2 D2
B R2 F2 R' D L2 R
B R2 F2 R' D R L2
B2 R2 F2 B' U' F U
