F' L U' D' L2
F' L U2 F2 U
F' L D' U' L2
F' L D2 B2 U'
F' D' L U' L
F' D2 L B2 U'
L2 B' L' F' U'
B L2 B' L F' D2 U'
D L2 B' L' D F' U'
D L2 B' L' D' F' U'
D L2 B' L' D2 F' U'
D L2 B' L' F' U' D
D L2 B' L' F' U' D'
D L2 B' L' F' U' D2
D L2 B' L' F' D U'
D L2 B' L' F' D' U'
D L2 B' L' F' D2 U'
D2 L2 B' D L' F' U'
B L2 B' L' F' L2 U'
D L2 B' L2 F' L U'
D2 L2 B' D' L' F' U'
F' L2 B' U2 F2 R U
D' L2 B' D L' F' U'
D2 L2 B' D2 L' F' U'
D' L2 B' D' L' F' U'
F' L2 B' D' L' U' L'
D' L2 B' D2 L' F' U'
F' L2 B' D2 L' B2 U'
F' L2 B' D2 B2 L' U'
B' L2 B' F' U2 R' U
D L2 B' D L' F' U'
D2 L2 B2 L' F' B U'
D2 L2 B2 L' B F' U'
B L2 B' D L F' U'
F' L2 B2 L' U' D' L2
F' L2 B2 L' U2 F2 U
D L2 B' D' L' F' U'
F' L2 B2 L' D' U' L2
B L2 B' D F' L U'
F' L2 B2 L' D2 B2 U'
B L2 B' D' L F' U'
D' L2 B2 L' F' B U'
D' L2 B2 L' B F' U'
B L2 B' D' F' L U'
D L2 B' D2 L' F' U'
B L2 B' D2 L F' U'
B L2 B' D2 F' L U'
B2 L2 B2 L F' B U'
B L2 B' F L F2 U'
B2 L2 B2 L B F' U'
B L2 B' F' L U' D
B L2 B' F' L U' D'
B L2 B' F' L U' D2
B L2 B' F' L D U'
B L2 B' F' L D' U'
B L2 B' F' L D2 U'
B L2 B' F' D L U'
B L2 B' F' D' L U'
B L2 B' F' D2 L U'
D L2 B2 L' F' B U'
D L2 B2 L' B F' U'
F' L2 B2 U2 F2 R U
F' L2 B2 D' L' U' L'
F' L2 B2 D2 L' B2 U'
F' L2 B2 D2 B2 L' U'
B2 L2 B2 F' L B U'
F' R L D' R' U' L2
F' R L D2 R' B2 U'
F R U2 L R' F2 U'
F R U2 L F2 R' U'
F R U2 R' L F2 U'
F R U2 R' F2 L U'
F R U2 F2 L R' U'
F R U2 F2 R' L U'
F' R D' L R' U' L
F' R D' R' L U' L
F' R D2 L R' B2 U'
F' R D2 R' L B2 U'
L U' L U F' B' U'
L U' L U B' F' U'
F R D2 B2 L R' U
F R D2 B2 R' L U
U2 R F U2 L F U'
F' R' L U2 F2 L' U
F' R' L D' R U' L2
F' R' L D2 R B2 U'
F' R' L D2 B2 R U'
L' U' F D F2 L' R2
L' U' F D F2 R2 L'
F R' U2 L R F2 U'
L2 U' B' L' F' U' B
F R' U2 R L F2 U'
F R' U2 R F2 L U'
F' R' D' L R U' L
F' R' D' R L U' L
F' R' D2 L R B2 U'
F' R' D2 L B2 R U'
F' R' D2 R L B2 U'
U2 R' F B2 R' B U
U2 R' B2 R' F B U
U2 R' B2 R' B F U
U2 R' B2 F R' B U
F R2 U2 L R2 F2 U'
F R2 U2 L F2 R2 U'
F R2 U2 R2 L F2 U'
F R2 U2 R2 F2 L U'
F R2 U2 F2 L R2 U'
F R2 U2 F2 R2 L U'
F' R2 D2 L B2 R' U'
L' D L' F' B' U' F'
F2 R2 F L B R2 U'
L' D L' B' F' U' F'
F R2 D2 B2 L2 R' U
F R2 D2 B2 R' L2 U
U2 R2 F B2 R' B' U
U2 R2 B2 R' F B' U
U2 R2 B2 R' B' F U
U2 R2 B2 F R' B' U
L' D F' L' B' U' F'
L' D F' U' L F' L'
L' D F' U' L' F' L'
L' D F' U' L2 F' L'
L' D F' U' D F' L'
L' D F' U' D' F' L'
L' D F' U' D2 F' L'
L' D F' U' F' L' D
L' D F' U' F' L' D'
L' D F' U' F' L' D2
L' D F' U' F' D L'
L' D F' U' F' D' L'
L' D F' U' F' D2 L'
L' D F' D U' F' L'
L D F U' L' D R2
L' D F' D' U' F' L'
L D F U' D L' R2
L D F U' D R2 L'
L' D F' D2 U' F' L'
L' D F' B U' F' L'
L D F D U' L' R2
L D F D U' R2 L'
L' D F' B' U' F' L'
L' D F' B2 U' F' L'
L2 D F' D2 B' L U'
L D F' U R U2 D
L D F' U R U2 D'
L D F' U R U2 D2
L D F' U R D U2
L D F' U R D' U2
L D F' U R D2 U2
L D F' U D R U2
L D F' U D' R U2
L D F' U D2 R U2
L D F' U' F2 L' F2
L D F' U2 F2 U L'
L D F' D U R U2
L D F' D' U R U2
L D F' D2 U R U2
L D F' B U R U2
L D F' B' U R U2
L D F' B2 U R U2
L2 D B L' F' B2 U'
L2 D B L' B2 F' U'
L' D B F' U' F' L'
L2 D B' L F' L2 U'
L2 D B' L' D F' U'
L2 D B' L' D' F' U'
L2 D B' L' D2 F' U'
L2 D B' L' F' U' D
L2 D B' L' F' U' D'
L2 D B' L' F' U' D2
L2 D B' L' F' D U'
L2 D B' L' F' D' U'
L2 D B' L' F' D2 U'
L2 D B' L2 F' L U'
L' D B' F' U' F' L'
L2 D B' D L' F' U'
L D B F' U R U2
L2 D B' D' L' F' U'
L2 D B' D2 L' F' U'
F' U D R2 U' L U'
L2 D B2 L' F' B U'
L2 D B2 L' B F' U'
L' D B2 F' U' F' L'
U2 D F U2 L F2 U'
U2 D F U2 F2 L U'
U2 D F D2 B2 R' U
L D B' F' U R U2
L D B2 F' U R U2
F' U B2 U R' F2 U
F' U B2 U F2 R' U
F' U' L U' F2 U F2
F' U' L D' L2 D F2
F' U' L' D F2 D2 L2
F' U' L' D' L2 D2 F2
F' U' L2 U' F2 R U
L2 D' F' D2 B' L U'
L D' F' U' B' L B
L D' F' B U R' U2
L D' F' B' U' L D
L D' F' B' U' L D'
L D' F' B' U' L D2
L D' F' B' U' D L
L D' F' B' U' D' L
L D' F' B' U' D2 L
L D' F' B' D U' L
L D' F' B' D' U' L
L D' F' B' D2 U' L
U2 D' F U2 L F2 U'
U2 D' F U2 F2 L U'
L2 D' B L' F' B2 U'
L2 D' B L' B2 F' U'
U2 D' F D2 B2 R' U
L D' F2 D2 F U' L'
L2 D' B' L F' L2 U'
L2 D' B' L' D F' U'
L2 D' B' L' D' F' U'
L2 D' B' L' D2 F' U'
L2 D' B' L' F' U' D
L2 D' B' L' F' U' D'
L2 D' B' L' F' U' D2
L2 D' B' L' F' D U'
L2 D' B' L' F' D' U'
L2 D' B' L' F' D2 U'
L2 D' B' L2 F' L U'
L2 D' B' D L' F' U'
L2 D' B' D' L' F' U'
L2 D' B' D2 L' F' U'
L D' B F' U R' U2
L2 D' B2 L' F' B U'
L2 D' B2 L' B F' U'
F' U' D' L' D L' F2
F' U' D' L2 U L' U'
L D' B' D F' U' L
L D' B' D' F' U' L
L D' B' D2 F' U' L
L D' B' F' U' L D
L D' B' F' U' L D'
L D' B' F' U' L D2
L D' B' F' U' D L
L D' B' F' U' D' L
L D' B' F' U' D2 L
L D' B' F' D U' L
L D' B' F' D' U' L
L D' B' F' D2 U' L
F' U' D2 L' D L2 F2
F' U' D2 L' D F2 L2
F' U' F2 U L U' L'
L D2 R' B R F' U'
D' U2 F U2 L F2 U'
D' U2 F U2 F2 L U'
D2 U2 F U2 L F2 U'
D2 U2 F U2 F2 L U'
F U2 L R F2 R U'
D' U2 F D2 B2 R' U
F U2 L R' F2 R U'
F U2 L R2 F2 R U'
D2 U2 F D2 B2 R' U
U2 D2 F U2 L F2 U'
U2 D2 F U2 F2 L U'
F U2 L F2 R U' D
F U2 L F2 R U' D'
F U2 L F2 R U' D2
F U2 L F2 R D U'
F U2 L F2 R D' U'
F U2 L F2 R D2 U'
F U2 L F2 D R U'
F U2 L F2 D' R U'
F U2 L F2 D2 R U'
U2 D2 F D2 B2 R' U
D U2 F U2 L F2 U'
D U2 F U2 F2 L U'
F' U2 L2 F2 L2 R U
F' U2 L2 F2 R L2 U
D U2 F D2 B2 R' U
L2 D2 F' D2 B' L U'
B' U2 R F R B U
F' U2 R F2 U2 L U'
L D2 F' R' B R U'
L D2 F' D B' U' L
F U2 R L F2 R U'
L2 D2 B L' F' B2 U'
L2 D2 B L' B2 F' U'
F' U2 R' F2 U2 L U'
L D2 F2 D' F U' L'
F U2 R' L F2 R U'
B' U2 R2 F B R U
L2 D2 B' L F' L2 U'
L2 D2 B' L' D F' U'
L2 D2 B' L' D' F' U'
L2 D2 B' L' D2 F' U'
L2 D2 B' L' F' U' D
L2 D2 B' L' F' U' D'
L2 D2 B' L' F' U' D2
L2 D2 B' L' F' D U'
L2 D2 B' L' F' D' U'
L2 D2 B' L' F' D2 U'
L2 D2 B' L2 F' L U'
B' U2 R2 B F R U
F' U2 R2 F2 U2 L U'
B2 U2 R2 B R F U
L2 D2 B' D L' F' U'
L2 D2 B' D' L' F' U'
L2 D2 B' D2 L' F' U'
F U2 R2 L F2 R U'
L2 D2 B2 L' F' B U'
L2 D2 B2 L' B F' U'
B U2 R2 F B R' U
B U2 R2 B R' F U
B U2 R2 B F R' U
D' F L F2 U' D' L2
D' F L F2 U2 F2 U
D' F L F2 D' U' L2
D' F L F2 D2 B2 U'
D2 F L F2 U' D' L2
D2 F L F2 U2 F2 U
D2 F L F2 D' U' L2
D2 F L F2 D2 B2 U'
B' U2 F R U D R2
B' U2 F R U2 F2 U'
B' U2 F R D U R2
B' U2 F R D2 B2 U
D F L F2 U' D' L2
D F L F2 U2 F2 U
D F L F2 D' U' L2
D F L F2 D2 B2 U'
L' F L' B' L' F2 U'
B2 U2 F R' U D R2
B' U2 F U2 F2 L' U'
B2 U2 F R' U2 F2 U'
B2 U2 F R' D U R2
B2 U2 F R' D2 B2 U
B' U2 F D R U R
B' U2 F D2 R B2 U
B' U2 F D2 B2 R U
