U' L B' L R' U2
U' L B' R' L U2
D' R' F' B R' U
D' R' B F' R' U
D2 U R F' L' R
D2 U R F' R L'
B U R' F' L' F
D2 U F' L' R F'
D2 U F' R L' F'
B U F' L' R' F
B U F' L' F R'
B U F' R' L' F
B' U' L B' R' U2
U D2 R F' L' R
U D2 R F' R L'
R' D2 F' U R F'
U D2 F' L' R F'
U D2 F' R L' F'
D2 F' U R F' L'
D' B R' F' B U
D' B R' B F' U
U' B' L R' B' U2
U' B' R' L B' U2
F B U F' R' L' F
U' B' R L B' R2 U2
U' B' R' L D B' U2
U' B' R' L D' B' U2
U' B' R' L D2 B' U2
U' B' R' L B' U2 D
U' B' R' L B' U2 D'
U' B' R' L B' U2 D2
U' B' R' L B' D U2
U' B' R' L B' D' U2
U' B' R' L B' D2 U2
U' B' R2 L B' R U2
D2 B' U R F' L' R
D2 B' U R F' R L'
D2 B' U F' L' R F'
D2 B' U F' R L' F'
U2 B' U L B' R' U2
U' B' D2 L R' B U2
U' B' D2 R' L B U2
B' F' U' L B' R' U2
F' B' U' L B' R' U2
F2 B' U' L B' R' U2
B F' U R' F' L' F
B F' U F' L' R' F
B F' U F' L' F R'
B F' U F' R' L' F
D2 B' F' U R F' L'
R' B' F' U' L B' U2
F B' U' L B' R' U2
U' B2 L B' U2 L R'
U' B2 L B' U2 R' L
U2 B2 L' B' U' R' F
U2 B2 L' B' U' F R'
D2 B2 U R F' L' R
D2 B2 U R F' R L'
D2 B2 U F' L' R F'
D2 B2 U F' R L' F'
B' F2 U' L B' R' U2
B F2 U R' F' L' F
B F2 U F' L' R' F
B F2 U F' L' F R'
B F2 U F' R' L' F
D2 B2 F' U R F' L'
