D' R U2 F' B
D' R U2 B F'
B' R U' L U' B
D' R U2 D F' B
D' R U2 D B F'
D' R U2 D' F' B
D' R U2 D' B F'
D' R U2 D2 F' B
D' R U2 D2 B F'
D' R U2 F' D B
D' R U2 F' D' B
D' R U2 F' D2 B
D' R U2 F' B D
D' R U2 F' B D'
D' R U2 F' B D2
D' R U2 B D F'
D' R U2 B D' F'
D' R U2 B D2 F'
D' R U2 B F' D
D' R U2 B F' D'
D' R U2 B F' D2
B R U2 D' F2 B
B R U2 D' B F2
D' R D U2 F' B
D' R D U2 B F'
B R U2 B D' F2
D' R D' U2 F' B
D' R D' U2 B F'
B R D B2 U2 B'
B R D' U2 F2 B
B R D' U2 B F2
D' R D2 U2 F' B
D' R D2 U2 B F'
D' R F U2 F2 B
D' R F U2 B F2
D' R F2 U2 F B
D' R F2 U2 B F
D' R B' U2 F' B2
D' R B' U2 B2 F'
D' R B2 U2 F' B'
D' R B2 U2 B' F'
D' R' F' R2 U2 F'
D' R' F' B R2 U2
D' R' B R2 U2 B
D' R' B F' R2 U2
R U2 B U' R' U
U2 D F2 L' F B'
U2 D F2 L' B' F
D U2 F2 L' F B'
D U2 F2 L' B' F
F2 U2 D L' F B'
F2 U2 D L' B' F
F2 D U2 L' F B'
F2 D U2 L' B' F
U2 F2 D L' F B'
U2 F2 D L' B' F
D F2 U2 L' F B'
D F2 U2 L' B' F
D' B R U2 F' B
D' B R U2 B F'
D' B' R U2 F' B
D' B' R U2 B F'
R B' U' L U' B2
D' B2 R U2 F' B
D' B2 R U2 B F'
B R F U2 B D' F2
B R F D B2 U2 B'
B R F D' U2 F2 B
B R F D' U2 B F2
B' R F' U' L U' B
B R F' U2 D' F2 B
B R F' U2 D' B F2
B R F' U2 B D' F2
B R F' D B2 U2 B'
B R F' D' U2 F2 B
B R F' D' U2 B F2
B' R F2 U' L U' B
D' R F2 U2 D F B
D' R F2 U2 D B F
D' R F2 U2 D' F B
D' R F2 U2 D' B F
D' R F2 U2 D2 F B
D' R F2 U2 D2 B F
D' R F2 U2 F D B
D' R F2 U2 F D' B
D' R F2 U2 F D2 B
D' R F2 U2 F B D
D' R F2 U2 F B D'
D' R F2 U2 F B D2
D' R F2 U2 B D F
D' R F2 U2 B D' F
D' R F2 U2 B D2 F
D' R F2 U2 B F D
D' R F2 U2 B F D'
D' R F2 U2 B F D2
D' R F2 D U2 F B
D' R F2 D U2 B F
D' R F2 D' U2 F B
D' R F2 D' U2 B F
D' R F2 D2 U2 F B
D' R F2 D2 U2 B F
D' R F2 B' U2 F B2
D' R F2 B' U2 B2 F
D' R F2 B2 U2 F B'
D' R F2 B2 U2 B' F
B R F2 U2 D' F2 B
B R F2 U2 D' B F2
B R F2 U2 B D' F2
B R F2 D B2 U2 B'
B R F2 D' U2 F2 B
B R F2 D' U2 B F2
B R B D B2 U2 B2
D' R B' U2 F' B2 D
D' R B' U2 F' B2 D'
D' R B' U2 F' B2 D2
D' R B' U2 B2 D F'
D' R B' U2 B2 D' F'
D' R B' U2 B2 D2 F'
D' R B' U2 B2 F' D
D' R B' U2 B2 F' D'
D' R B' U2 B2 F' D2
B2 R B' U R' U B2
D' R B' D2 F2 U2 F
D' R B' F U2 F2 B2
D' R B' F U2 B2 F2
D' R B' F2 U2 F B2
D' R B' F2 U2 B2 F
B R B' U R2 U B2
B R B' U2 B2 D' F2
R U' D L' U' F B
R U' D L' U' B F
B' R B2 U R' U B'
D' R B2 U2 D F' B'
D' R B2 U2 D B' F'
D' R B2 U2 D' F' B'
D' R B2 U2 D' B' F'
D' R B2 U2 D2 F' B'
D' R B2 U2 D2 B' F'
D' R B2 U2 F' D B'
D' R B2 U2 F' D' B'
D' R B2 U2 F' D2 B'
D' R B2 U2 F' B' D
D' R B2 U2 F' B' D'
D' R B2 U2 F' B' D2
D' R B2 U2 B' D F'
D' R B2 U2 B' D' F'
D' R B2 U2 B' D2 F'
D' R B2 U2 B' F' D
D' R B2 U2 B' F' D'
D' R B2 U2 B' F' D2
D' R B2 D U2 F' B'
D' R B2 D U2 B' F'
D' R B2 D' U2 F' B'
D' R B2 D' U2 B' F'
D' R B2 D2 U2 F' B'
D' R B2 D2 U2 B' F'
D' R B2 F U2 F2 B'
D' R B2 F U2 B' F2
D' R B2 F2 U2 F B'
D' R B2 F2 U2 B' F
B R B2 U R2 U B'
B R B2 U2 D' F2 B'
B R B2 U2 D' B' F2
B R B2 U2 B' D' F2
B R B2 D B2 U2 B
B R B2 D' U2 F2 B'
B R B2 D' U2 B' F2
R U' B' L B U' B
F' R' D F' U2 L' F
D' R' D2 F' B U2 L2
D' R' D2 B F' U2 L2
R U2 L D L' F B
R U2 L D L' B F
R U2 L D B L' F
D' R' F R2 F2 U2 F
D' R' F B R2 F2 U2
D2 R' F' R2 U R' U
D' R' F' R2 U2 D F'
D' R' F' R2 U2 D' F'
D' R' F' R2 U2 D2 F'
D' R' F' R2 U2 F' D
D' R' F' R2 U2 F' D'
D' R' F' R2 U2 F' D2
D' R' F' R2 D U2 F'
D' R' F' R2 D' U2 F'
D' R' F' R2 D2 U2 F'
D' R' F' R2 B U2 F'
D' R' F' R2 B' U2 F'
D' R' F' R2 B2 U2 F'
B' R' F' R2 U' L U'
F' R' F' U2 D L' F
F' R' F' D U2 L' F
D' R' F' D2 B U2 L2
D' R' F' B R2 U2 D
D' R' F' B R2 U2 D'
D' R' F' B R2 U2 D2
D' R' F' B R2 D U2
D' R' F' B R2 D' U2
D' R' F' B R2 D2 U2
D' R' F' B U2 D2 L2
D' R' F' B D2 U2 L2
D' R' F' B' R2 B2 U2
D' R' F' B2 R2 B' U2
B R' F' R2 U R2 U
B R' F' R2 U2 D' F2
B R' F' R2 D B2 U2
B R' F' R2 D' U2 F2
D' R' F2 R2 F U2 F2
F R' F' D' R U2 F'
D' R' F2 B R2 F U2
D' R' B R2 U2 D B
D' R' B R2 U2 D' B
D' R' B R2 U2 D2 B
D' R' B R2 U2 B D
D' R' B R2 U2 B D'
D' R' B R2 U2 B D2
D' R' B R2 D U2 B
D' R' B R2 D' U2 B
D' R' B R2 D2 U2 B
D' R' B R2 F U2 B
D' R' B R2 F' U2 B
D' R' B R2 F2 U2 B
D' R' B D2 F' U2 L2
D' R' B F R2 F2 U2
D' R' B F' R2 U2 D
D' R' B F' R2 U2 D'
D' R' B F' R2 U2 D2
D' R' B F' R2 D U2
D' R' B F' R2 D' U2
D' R' B F' R2 D2 U2
D' R' B F' U2 D2 L2
D' R' B F' D2 U2 L2
D' R' B F2 R2 F U2
R U2 R' D' R F' B
R U2 R' D' R B F'
D' R' B' R2 B2 U2 B'
D' R' B' F' R2 B2 U2
D' R' B2 R2 B' U2 B2
R U2 D L' F L B
D' R' B2 F' R2 B' U2
R U2 D B L' F L
R U2 D' R F' R' B
R U2 D' B R F' R'
R U2 F B U' R' U
R U2 F' B U' R' U
R U2 F2 B U' R' U
R U2 B R D' R' F2
R U2 B R D' F2 R'
R U2 B U' R' U D
R U2 B U' R' U D'
R U2 B U' R' U D2
R U2 B U' R' D U
R U2 B U' R' D' U
R U2 B U' R' D2 U
R U2 B U' D R' U
R U2 B U' D' R' U
R U2 B U' D2 R' U
R U2 B D U' R' U
R U2 B D' U' R' U
R U2 B D2 U' R' U
R U2 B F U' R' U
R U2 B F' U' R' U
R U2 B F2 U' R' U
R U2 B' U L U' B2
L' D L R B' U2 B2
L' D L B' R U2 B
D' R2 F R' U2 F' B
D' R2 F R' U2 B F'
R D L B' L' U2 B2
L D L' R U2 F B
L D L' R U2 B F
D' R2 F' R' U2 F' B
D' R2 F' R' U2 B F'
L' D R L B' U2 B2
D' R2 F2 R' U2 F' B
D' R2 F2 R' U2 B F'
L D R L' U2 F B
L D R L' U2 B F
R D U L' U F B
R D U L' U B F
R D U' L' U' F B
R D U' L' U' B F
R D U2 L' F L B
U2 D L' F D2 B' L
R D U2 B L' F L
U2 D L' F2 B' L' F'
U2 D L' B' F2 L' F'
L D F2 L' R F B
L D F2 L' R B F
L D F2 R L' F B
L D F2 R L' B F
L D F2 R B L' F
U2 D F L' F B' L'
U2 D F L' B' F L'
L' D' L R U2 F' B
L' D' L R U2 B F'
U2 D F2 L' D F B'
U2 D F2 L' D B' F
U2 D F2 L' D' F B'
U2 D F2 L' D' B' F
U2 D F2 L' D2 F B'
U2 D F2 L' D2 B' F
U2 D F2 L' F D B'
U2 D F2 L' F D' B'
U2 D F2 L' F D2 B'
U2 D F2 L' F B' D
U2 D F2 L' F B' D'
U2 D F2 L' F B' D2
U2 D F2 L' B' D F
U2 D F2 L' B' D' F
U2 D F2 L' B' D2 F
U2 D F2 L' B' F D
U2 D F2 L' B' F D'
U2 D F2 L' B' F D2
U2 D F2 B L' F B'
U2 D F2 B L' B' F
U2 D F2 B' L' F B'
U2 D F2 B' L' B' F
L D' L' R U2 F' B
L D' L' R U2 B F'
U2 D F2 B2 L' F B'
U2 D F2 B2 L' B' F
L' D' R L U2 F' B
L' D' R L U2 B F'
U2 D B F2 L' F B'
U2 D B F2 L' B' F
L D' R L' U2 F' B
L D' R L' U2 B F'
U2 D B' F2 L' F B'
U2 D B' F2 L' B' F
U2 D B2 F2 L' F B'
U2 D B2 F2 L' B' F
R D' R' B R U2 B
B' U' L U R U2 B
R D' U2 R F' R' B
R D' U2 B R F' R'
L D' F2 L' R F' B
L D' F2 L' R B F'
L D' F2 R L' F' B
L D' F2 R L' B F'
L D' F2 R B L' F'
U2 D' F2 D2 L' F B'
U2 D' F2 D2 L' B' F
D U2 L' F D2 B' L
D U2 L' F2 B' L' F'
D U2 L' B' F2 L' F'
F2 U' B' L R' U' L2
F2 U' B' R' L U' L2
B' U2 L' D F2 B' L'
B' U2 L' D B' F2 L'
B' U2 L' B' D F2 L'
D U2 F L' F B' L'
R' D2 F' U R U L2
D U2 F L' B' F L'
F2 U2 L' B' U L U'
R D2 F U' L' U' B
D' U2 F2 D2 L' F B'
D' U2 F2 D2 L' B' F
D U2 F2 L' D F B'
D U2 F2 L' D B' F
D U2 F2 L' D' F B'
D U2 F2 L' D' B' F
D U2 F2 L' D2 F B'
D U2 F2 L' D2 B' F
D U2 F2 L' F D B'
D U2 F2 L' F D' B'
D U2 F2 L' F D2 B'
D U2 F2 L' F B' D
D U2 F2 L' F B' D'
D U2 F2 L' F B' D2
D U2 F2 L' B' D F
D U2 F2 L' B' D' F
D U2 F2 L' B' D2 F
D U2 F2 L' B' F D
D U2 F2 L' B' F D'
D U2 F2 L' B' F D2
D U2 F2 B L' F B'
D U2 F2 B L' B' F
D U2 F2 B' L' F B'
D U2 F2 B' L' B' F
D U2 F2 B2 L' F B'
D U2 F2 B2 L' B' F
D U2 B F2 L' F B'
D U2 B F2 L' B' F
F2 U2 D L' D F B'
F2 U2 D L' D B' F
F2 U2 D L' D' F B'
F2 U2 D L' D' B' F
F2 U2 D L' D2 F B'
F2 U2 D L' D2 B' F
F2 U2 D L' F D B'
F2 U2 D L' F D' B'
F2 U2 D L' F D2 B'
F2 U2 D L' F B' D
F2 U2 D L' F B' D'
F2 U2 D L' F B' D2
F2 U2 D L' B' D F
F2 U2 D L' B' D' F
F2 U2 D L' B' D2 F
F2 U2 D L' B' F D
F2 U2 D L' B' F D'
F2 U2 D L' B' F D2
F2 U2 D B L' F B'
F2 U2 D B L' B' F
D U2 B' F2 L' F B'
D U2 B' F2 L' B' F
F2 U2 D B' L' F B'
F2 U2 D B' L' B' F
F2 U2 D B2 L' F B'
F2 U2 D B2 L' B' F
D U2 B2 F2 L' F B'
D U2 B2 F2 L' B' F
B' U2 F2 L' D F2 B'
B' U2 F2 L' D B' F2
B' U2 F2 L' B' D F2
F U2 F D L' F B'
F U2 F D L' B' F
B2 U2 F2 D' L' F B'
B2 U2 F2 D' L' B' F
D' F R' F' B R U2
D' F R' B F' R U2
F2 U2 B' L' D F2 B'
F2 U2 B' L' D B' F2
F2 U2 B' L' B' D F2
D F U2 L' F B' L'
D F U2 L' B' F L'
D F U2 F L' F B'
D F U2 F L' B' F
B' D R U' L U' B
R F U2 B U' R' U
F2 D R U2 L' F B
F2 D R U2 L' B F
F2 D R U2 B L' F
B D R U2 D' F2 B
B D R U2 D' B F2
B D R U2 B D' F2
B D R D B2 U2 B'
B D R D' U2 F2 B
B D R D' U2 B F2
F' D R' F' U2 L' F
R F B' U' L U' B2
F2 D U2 L' D F B'
F2 D U2 L' D B' F
F2 D U2 L' D' F B'
F2 D U2 L' D' B' F
F2 D U2 L' D2 F B'
F2 D U2 L' D2 B' F
F2 D U2 L' F D B'
F2 D U2 L' F D' B'
F2 D U2 L' F D2 B'
F2 D U2 L' F B' D
F2 D U2 L' F B' D'
F2 D U2 L' F B' D2
F2 D U2 L' B' D F
F2 D U2 L' B' D' F
F2 D U2 L' B' D2 F
F2 D U2 L' B' F D
F2 D U2 L' B' F D'
F2 D U2 L' B' F D2
F2 D U2 B L' F B'
F2 D U2 B L' B' F
F2 D U2 B' L' F B'
F2 D U2 B' L' B' F
F2 D U2 B2 L' F B'
F2 D U2 B2 L' B' F
F' D F' U2 L' F B'
F' D F' U2 L' B' F
R' F' R D' R U2 F'
D' F' R U2 F' B L
D' F' R U2 B L F'
D' F' R U2 B F' L
R' F' R' D' R' B U2
D' F' R' F' B U2 L'
D' F' R' B F' U2 L'
F2 D B U2 L' F B'
F2 D B U2 L' B' F
R' F' R2 B U R' U
R' F' R2 B' U' L U'
D F' R' F' U2 L' F
F2 D B' U2 L' F B'
F2 D B' U2 L' B' F
F2 D B2 U2 L' F B'
F2 D B2 U2 L' B' F
U2 F' D F' L' F B'
U2 F' D F' L' B' F
B' D' R U' L U' B
R F' U2 B U' R' U
F' D' R U2 F' B L
F' D' R U2 B L F'
F' D' R U2 B F' L
F2 D' R U2 L' F' B
F2 D' R U2 L' B F'
F2 D' R U2 B L' F'
B D' R U2 D' F2 B
B D' R U2 D' B F2
B D' R U2 B D' F2
R' F' B R2 U R U
B D' R D B2 U2 B'
B D' R D' U2 F2 B
B D' R D' U2 B F2
F' D' R' F' B U2 L'
F' D' R' B F' U2 L'
R' F' B' R2 U' L U'
R F' B' U' L U' B2
F' D' F R U2 F' B
F' D' F R U2 B F'
U2 F2 L' B' U L U'
D' F2 R U2 L' F' B
D' F2 R U2 L' B F'
D' F2 R U2 B L' F'
L F2 L' D' R F' B
L F2 L' D' R B F'
F2 D' F2 R U2 F' B
F2 D' F2 R U2 B F'
D F2 R U2 L' F B
D F2 R U2 L' B F
D F2 R U2 B L' F
L F2 R D L' F B
L F2 R D L' B F
L F2 R D B L' F
D' F2 U2 D2 L' F B'
D' F2 U2 D2 L' B' F
D F2 U2 L' D F B'
D F2 U2 L' D B' F
D F2 U2 L' D' F B'
D F2 U2 L' D' B' F
D F2 U2 L' D2 F B'
D F2 U2 L' D2 B' F
D F2 U2 L' F D B'
D F2 U2 L' F D' B'
D F2 U2 L' F D2 B'
D F2 U2 L' F B' D
D F2 U2 L' F B' D'
D F2 U2 L' F B' D2
D F2 U2 L' B' D F
D F2 U2 L' B' D' F
D F2 U2 L' B' D2 F
D F2 U2 L' B' F D
D F2 U2 L' B' F D'
D F2 U2 L' B' F D2
U2 F2 D L' D F B'
U2 F2 D L' D B' F
U2 F2 D L' D' F B'
U2 F2 D L' D' B' F
U2 F2 D L' D2 F B'
U2 F2 D L' D2 B' F
U2 F2 D L' F D B'
U2 F2 D L' F D' B'
U2 F2 D L' F D2 B'
U2 F2 D L' F B' D
U2 F2 D L' F B' D'
U2 F2 D L' F B' D2
U2 F2 D L' B' D F
U2 F2 D L' B' D' F
U2 F2 D L' B' D2 F
U2 F2 D L' B' F D
U2 F2 D L' B' F D'
U2 F2 D L' B' F D2
D F2 U2 B L' F B'
D F2 U2 B L' B' F
D F2 U2 B' L' F B'
D F2 U2 B' L' B' F
D F2 U2 B2 L' F B'
D F2 U2 B2 L' B' F
U2 F2 D B L' F B'
U2 F2 D B L' B' F
B' D2 R U' L U' B
U2 F2 D B' L' F B'
U2 F2 D B' L' B' F
U2 F2 D B2 L' F B'
U2 F2 D B2 L' B' F
L F2 D L' R F B
L F2 D L' R B F
R F2 U2 B U' R' U
L F2 D R L' F B
L F2 D R L' B F
L F2 D R B L' F
D' F2 D2 U2 L' F B'
D' F2 D2 U2 L' B' F
L F2 D' L' R F' B
L F2 D' L' R B F'
B D2 R U2 D' F2 B
B D2 R U2 D' B F2
L F2 D' R L' F' B
L F2 D' R L' B F'
B D2 R U2 B D' F2
L F2 D' R B L' F'
B D2 R D B2 U2 B'
B D2 R D' U2 F2 B
B D2 R D' U2 B F2
U2 F2 B' L' D F2 B'
U2 F2 B' L' D B' F2
U2 F2 B' L' B' D F2
D F2 B U2 L' F B'
D F2 B U2 L' B' F
D F2 B' U2 L' F B'
D F2 B' U2 L' B' F
D F2 B2 U2 L' F B'
D F2 B2 U2 L' B' F
R F2 B' U' L U' B2
D' B R U2 D F' B
D' B R U2 D B F'
D' B R U2 D' F' B
D' B R U2 D' B F'
D' B R U2 D2 F' B
D' B R U2 D2 B F'
D' B R U2 F' D B
D' B R U2 F' D' B
D' B R U2 F' D2 B
D' B R U2 F' B D
D' B R U2 F' B D'
D' B R U2 F' B D2
D' B R U2 B D F'
D' B R U2 B D' F'
D' B R U2 B D2 F'
D' B R U2 B F' D
D' B R U2 B F' D'
D' B R U2 B F' D2
D' B R D U2 F' B
D' B R D U2 B F'
D' B R D' U2 F' B
D' B R D' U2 B F'
D' B R D2 U2 F' B
D' B R D2 U2 B F'
D' B R F U2 F2 B
D' B R F U2 B F2
D' B R F2 U2 F B
D' B R F2 U2 B F
D' B R B' U2 F' B2
D' B R B' U2 B2 F'
D' B R B2 U2 F' B'
D' B R B2 U2 B' F'
D' B R' F' R2 U2 F'
D' B R' F' B R2 U2
D' B R' B R2 U2 B
D' B R' B F' R2 U2
R2 B U R' F' U B
R B U R' U2 R U'
D2 B D R U2 F' B
D2 B D R U2 B F'
D B U2 F2 L' F B'
D B U2 F2 L' B' F
D B D2 R U2 F' B
D B D2 R U2 B F'
R' B F' R2 U R U
U' B' L R' U R2 U2
U' B' L R' U' D2 L2
U' B' L R' D B2 U'
U' B' L R' D2 U' L2
F2 B U R' U L' B'
