F' U2 L' F
F' R U2 L' F
F' R' U2 L' F
F' R2 U2 L' F
F' U2 L' D F
F' U2 L' D' F
F' U2 L' D2 F
F' U2 L' F D
F' U2 L' F D'
F' U2 L' F D2
F' B U2 L' F
F' B U2 L' F
B' F' U2 L' F
F' B' U2 L' F
B2 F' U2 L' F
B F' U2 L' F
F' B2 U2 L' F
D2 F' R U2 L' F'
D2 F' R' B U2 L'
D F' U R U L'
R2 F' U2 L' F B
R2 F' U2 L' B F
D' F' U2 D L' F
D2 F' U2 D2 L' F
R2 F' U2 B L' F
D' F' D U2 L' F
R F' U2 L' F B'
R F' U2 L' B' F
D2 F' D2 U2 L' F
F' D2 R U2 L' F'
F' D2 R' B U2 L'
F D2 R U2 F' B2
F D2 R U2 B2 F'
F' B R U2 L' F
F' B R' U2 L' F
F' B R2 U2 L' F
F' B R2 U2 L' F
F' B U2 L' D F
F' B U2 L' D' F
F' B U2 L' D2 F
F' B U2 L' F D
F' B U2 L' F D'
F' B U2 L' F D2
L B' L' F' U2 L'
F' B' R U2 L' F
B' F' R U2 L' F
F' B' R' U2 L' F
B2 F' R U2 L' F
B' F' R' U2 L' F
F' B' R2 U2 L' F
B2 F' R' U2 L' F
B' F' R2 U2 L' F
B F' R U2 L' F
B2 F' R2 U2 L' F
B F' R' U2 L' F
B F' R2 U2 L' F
F' B' U2 L' D F
F' B' U2 L' D' F
F' B' U2 L' D2 F
F' B' U2 L' F D
F' B' U2 L' F D'
F' B' U2 L' F D2
B' F' U2 L' D F
B' F' U2 L' D' F
B' F' U2 L' D2 F
B' F' U2 L' F D
B' F' U2 L' F D'
B' F' U2 L' F D2
B2 F' U2 L' D F
B2 F' U2 L' D' F
B2 F' U2 L' D2 F
B2 F' U2 L' F D
B2 F' U2 L' F D'
B2 F' U2 L' F D2
B F' U2 L' D F
B F' U2 L' D' F
B F' U2 L' D2 F
B F' U2 L' F D
B F' U2 L' F D'
B F' U2 L' F D2
F' B2 R U2 L' F
F' B2 R' U2 L' F
F' B2 R2 U2 L' F
F' B2 U2 L' D F
F' B2 U2 L' D' F
F' B2 U2 L' D2 F
F' B2 U2 L' F D
F' B2 U2 L' F D'
F' B2 U2 L' F D2
F' L R B' L' U2 L'
F L R F2 B' U2 R
F L R B' L' F2 U2
F L R B' F2 U2 R
F' L R' B' L' U2 L'
F' L R2 B' L' U2 L'
U' L U F' B' U2 L'
U' L U B' F' U2 L'
U' L U B' F' U2 L'
F' L U2 F L2 F R
F' L U2 F2 L2 R F
F' L U2 F2 R L2 F
U2 L U2 F' B' U2 L'
U2 L U2 B' F' U2 L'
F' L D2 R2 B' L' U2
F' L D2 B' L' R2 U2
F' L D2 B' R2 L' U2
U L F U' F2 B' U2
U L F U' B' F2 U2
U L F D' L2 U F
U2 L F' B' R' U2 R
F L F2 B' U2 L' R
F L F2 B' U2 R L'
F' L B L' B2 U2 L'
F' L B' L' R U2 L'
F' L B' L' R' U2 L'
F' L B' L' R2 U2 L'
F' L B' L' U2 L' D
F' L B' L' U2 L' D'
F' L B' L' U2 L' D2
F' L B' L' U2 D L'
F' L B' L' U2 D' L'
F' L B' L' U2 D2 L'
F' L B' L' D U2 L'
F' L B' L' D' U2 L'
F' L B' L' D2 U2 L'
F2 L B' L' F U2 L'
F' L B' R L' U2 L'
B' L B' L' F' U2 L'
F L B' L' R F2 U2
F' L B' R' L' U2 L'
B2 L B' L' F' U2 L'
F L B' L' F2 U2 L'
F' L B' R2 L' U2 L'
B L B' L' F' U2 L'
F L B' R L' F2 U2
F L B' R F2 U2 R
F' L B' D2 L' R2 U2
F' L B' D2 R2 L' U2
U2 L B' F' R' U2 R
F' L B2 L' B U2 L'
F L B' F2 U2 L' R
F L B' F2 U2 R L'
F L' R F2 L U2 F'
U2 L' R2 F B L R2
U2 L' R2 F B R2 L
U2 L' R2 B R2 F L
U2 L' R2 B F L R2
U2 L' R2 B F R2 L
U' L' U F' U2 L' F2
U2 L' U2 F' U2 L' F2
F' L' D L U2 L' F
F' L' D' L U2 L' F
F' L' D2 L U2 L' F
F2 L' F L' D2 R2 B'
F2 L' F L' D2 B' R2
F2 L' F L' B' D2 R2
F' L' F R' B2 R' B
F' L' F R2 B2 R' B'
F' L' F U2 L F' U2
F' L' F U2 F' L U2
F' L' F B R2 B R'
F' L' F B2 R2 B R
U2 L' F D2 B L B
U2 L' F B L D2 B2
F2 L' F B' L' B' R'
U2 L' F B D2 L B2
F2 L' F B2 L' R' B'
F2 L' F B2 R' L' B'
B' L' F' L U2 L2 F2
B' L' F' L U2 F2 L2
U2 L' F B' D2 B2 L
B2 L' F' L U2 L2 F2
B2 L' F' L U2 F2 L2
B L' F' L U2 L2 F2
B L' F' L U2 F2 L2
F L' F2 L U2 L2 F'
F L' F2 L U2 F' L2
F' L' F2 D2 F' B2 R'
F' L' F2 D2 B2 F' R'
F' L' B F R2 B R'
U2 L' B F L D2 B2
U2 L' B F D2 L B2
F2 L' B' F L' B' R'
U2 L' B' F D2 B2 L
F' L' B2 R F R2 B
F2 L' B2 R' F L' B'
F' L' B2 F R2 B R
F2 L' B2 F L' R' B'
F2 L' B2 F R' L' B'
U2 L2 R2 B L R2 F
U2 L2 R2 B L F R2
U2 L2 R2 B R2 L F
F' L2 D2 L F R2 B
F2 L2 D2 R2 B' L F
F L2 D2 R2 B2 L F
F2 L2 D2 B' L R2 F
F2 L2 D2 B' L F R2
F2 L2 D2 B' R2 L F
U2 L2 B L F D2 B2
F' R L B' L' U2 L'
F R L F2 B' U2 R
F R L B' L' F2 U2
F R L B' F2 U2 R
F R L' F2 L U2 F'
F' R U R U L' F
F' R U R' U L' F
F' R U R2 U L' F
F' R U' L U' L2 F
F' R U' B U' L' F
F' R U' B' U' L' F
F' R U' B2 U' L' F
F' R U2 L F L2 F
F' R U2 L F' L2 F
F' R U2 L F2 L2 F
F' R U2 L' R F R'
F' R U2 L' R2 F R2
F' R U2 L' D F D
F' R U2 L' D F D'
F' R U2 L' D F D2
F' R U2 L' D' F D
F' R U2 L' D' F D'
F' R U2 L' D' F D2
F' R U2 L' D2 F D
F' R U2 L' D2 F D'
F' R U2 L' D2 F D2
F' R U2 L' F2 D F'
F' R U2 L' F2 D' F'
F' R U2 L' F2 D2 F'
F' R U2 L2 D L F
F' R U2 L2 D' L F
F' R U2 L2 D2 L F
F' R U2 L2 F L F
F' R U2 L2 F' L F
F' R U2 L2 F2 L F
F' R U2 R L' F R'
F' R U2 R2 L' F R2
F2 R U2 L' F L' B'
F' R U2 F' L' F L'
F' R U2 B' L' F B
F' R U2 B' L' B F
F' R U2 B2 L' F B2
F' R U2 B2 L' B2 F
F' R D2 R U2 L' F'
F' R D2 R' B U2 L'
D2 R F R U2 F2 B
D2 R F R U2 B F2
R2 U' L' U' F B L
R2 U' L' U' B F L
D2 R F U2 F2 L' B'
F2 R F R U2 L' F
F2 R F R' U2 L' F
F2 R F R2 U2 L' F
F2 R F U2 L' D F
F2 R F U2 L' D' F
F2 R F U2 L' D2 F
F2 R F U2 L' F D
F2 R F U2 L' F D'
F2 R F U2 L' F D2
F2 R F B U2 L' F
F2 R F B' U2 L' F
F2 R F B2 U2 L' F
B' R F' U2 L' F B'
B' R F' U2 L' B' F
B2 R F' U2 L' F B'
B2 R F' U2 L' B' F
B R F' U2 L' F B'
B R F' U2 L' B' F
D2 R F2 U2 F L' B'
F R F2 L B' L' U2
F R F2 U' L' U' F
F' R B R U2 L' F
F R F2 U2 L' F L
F' R B R' U2 L' F
F' R B R2 U2 L' F
F' R B U2 L' D F
F' R B U2 L' D' F
F' R B U2 L' D2 F
F' R B U2 L' F D
F' R B U2 L' F D'
F' R B U2 L' F D2
F2 R B F U2 L' F
F' R B' R U2 L' F
F' R B' R' U2 L' F
F' R B' R2 U2 L' F
F' R B' U2 L' D F
F' R B' U2 L' D' F
F' R B' U2 L' D2 F
F' R B' U2 L' F D
F' R B' U2 L' F D'
F' R B' U2 L' F D2
F2 R B' F U2 L' F
F' R B2 R U2 L' F
F' R B2 R' U2 L' F
F' R B2 R2 U2 L' F
F' R B2 U2 L' D F
F' R B2 U2 L' D' F
F' R B2 U2 L' D2 F
F' R B2 U2 L' F D
F' R B2 U2 L' F D'
F' R B2 U2 L' F D2
F2 R B2 F U2 L' F
F' R' L B' L' U2 L'
F' R' U R U L' F
F' R' U R' U L' F
F' R' U R2 U L' F
F' R' U' L U' L2 F
F' R' U' B U' L' F
F' R' U' B' U' L' F
F' R' U' B2 U' L' F
F' R' U2 L F L2 F
F' R' U2 L F' L2 F
F' R' U2 L F2 L2 F
F' R' U2 L' R F R'
F' R' U2 L' R2 F R2
F' R' U2 L' D F D
F' R' U2 L' D F D'
F' R' U2 L' D F D2
F' R' U2 L' D' F D
F' R' U2 L' D' F D'
F' R' U2 L' D' F D2
F' R' U2 L' D2 F D
F' R' U2 L' D2 F D'
F' R' U2 L' D2 F D2
F' R' U2 L' F2 D F'
F' R' U2 L' F2 D' F'
F' R' U2 L' F2 D2 F'
F' R' U2 L2 D L F
F' R' U2 L2 D' L F
F' R' U2 L2 D2 L F
F' R' U2 L2 F L F
F' R' U2 L2 F' L F
F' R' U2 L2 F2 L F
F' R' U2 R L' F R'
F' R' U2 R2 L' F R2
F2 R' U2 L' F L' B'
F' R' U2 F' L' F L'
F' R' U2 B' L' F B
F' R' U2 B' L' B F
F' R' U2 B2 L' F B2
F' R' U2 B2 L' B2 F
F' R' D2 R U2 L' F'
F' R' D2 R' B U2 L'
R2 U2 L B L D2 F2
R2 U2 L B D2 L F2
R2 U2 L B D2 F2 L
R2 U2 L' D F B L
R2 U2 L' D B F L
R2 U2 L' D' F B L
R2 U2 L' D' B F L
F2 R' F R U2 L' F
R2 U2 L' D2 F B L
R2 U2 L' D2 B F L
F2 R' F R' U2 L' F
R2 U2 L' F L B L
R2 U2 L' F L' B L
R2 U2 L' F L2 B L
R2 U2 L' F D B L
R2 U2 L' F D' B L
R2 U2 L' F D2 B L
R2 U2 L' F B L D
R2 U2 L' F B L D'
R2 U2 L' F B L D2
R2 U2 L' F B D L
R2 U2 L' F B D' L
R2 U2 L' F B D2 L
F2 R' F R2 U2 L' F
D2 R' F B R F' U2
R2 U2 L' F' B L F2
R2 U2 L' F2 B L F'
R2 U2 L' B D F L
F2 R' F U2 L' D F
F2 R' F U2 L' D' F
F2 R' F U2 L' D2 F
F2 R' F U2 L' F D
F2 R' F U2 L' F D'
F2 R' F U2 L' F D2
R2 U2 L' B D' F L
R2 U2 L' B D2 F L
R2 U2 L' B F L D
R2 U2 L' B F L D'
R2 U2 L' B F L D2
R2 U2 L' B F D L
R2 U2 L' B F D' L
R2 U2 L' B F D2 L
R2 U2 L' B F' L F2
R2 U2 L' B F2 L F'
R U2 L' F B L B2
F2 R' F B U2 L' F
F2 R' F B' U2 L' F
R U2 L' B F L B2
F2 R' F B2 U2 L' F
R2 U2 L2 D B L F
R2 U2 L2 D' B L F
R2 U2 L2 D2 B L F
R2 U2 L2 F B L F
R2 U2 L2 F' B L F
R2 U2 L2 F2 B L F
R2 U2 L2 B L D F
R2 U2 L2 B L D' F
R2 U2 L2 B L D2 F
R2 U2 L2 B L F D
R2 U2 L2 B L F D'
R2 U2 L2 B L F D2
R2 U2 L2 B D L F
R2 U2 L2 B D' L F
R2 U2 L2 B D2 L F
R2 U2 L2 B F L F
R2 U2 L2 B F' L F
R2 U2 L2 B F2 L F
R U2 L2 B L F B'
R U2 L2 B L B' F
D2 R' B R F' U2 L'
D2 R' B R' U2 B L
F' R' B R U2 L' F
F' R' B R' U2 L' F
F' R' B R2 U2 L' F
F' R' B U2 L' D F
F' R' B U2 L' D' F
F' R' B U2 L' D2 F
F' R' B U2 L' F D
F' R' B U2 L' F D'
F' R' B U2 L' F D2
D2 R' B F R F' U2
F2 R' B F U2 L' F
F' R' B' R U2 L' F
F' R' B' R' U2 L' F
F' R' B' R2 U2 L' F
F' R' B' U2 L' D F
F' R' B' U2 L' D' F
F' R' B' U2 L' D2 F
F' R' B' U2 L' F D
F' R' B' U2 L' F D'
F' R' B' U2 L' F D2
F2 R' B' F U2 L' F
F' R' B2 R U2 L' F
F' R' B2 R' U2 L' F
F' R' B2 R2 U2 L' F
F' R' B2 U2 L' D F
F' R' B2 U2 L' D' F
F' R' B2 U2 L' D2 F
F' R' B2 U2 L' F D
F' R' B2 U2 L' F D'
F' R' B2 U2 L' F D2
F2 R' B2 F U2 L' F
F' R2 L B' L' U2 L'
U2 R2 L' F B L R2
U2 R2 L' F B R2 L
R2 U2 F L' F B L
R2 U2 F L' B F L
R2 U2 F L2 B L F
U2 R2 L' B R2 F L
U2 R2 L' B F L R2
U2 R2 L' B F R2 L
R2 U2 F B L' F L2
U2 R2 L2 B L R2 F
U2 R2 L2 B L F R2
U2 R2 L2 B R2 L F
R2 U2 F' L' F B L
R2 U2 F' L' B F L
F' R2 U R U L' F
R2 U2 F' L2 B L F
F' R2 U R' U L' F
F' R2 U R2 U L' F
R2 U2 F' B L' F L2
F' R2 U' L U' L2 F
U R2 U L' F B L
R2 U2 F2 L' F B L
U R2 U L' B F L
R2 U2 F2 L' B F L
U R2 U L2 B L F
R2 U2 F2 L2 B L F
F' R2 U' B U' L' F
U R2 U B L' F L2
F' R2 U' B' U' L' F
R2 U2 F2 B L' F L2
D2 R2 U2 L F B L
D2 R2 U2 L B F L
F' R2 U' B2 U' L' F
F' R2 U2 L F L2 F
F' R2 U2 L F' L2 F
F' R2 U2 L F2 L2 F
F' R2 U2 L' R F R'
F' R2 U2 L' R2 F R2
F' R2 U2 L' D F D
F' R2 U2 L' D F D'
F' R2 U2 L' D F D2
F' R2 U2 L' D' F D
F' R2 U2 L' D' F D'
F' R2 U2 L' D' F D2
B' R2 U2 L' F B L
F' R2 U2 L' D2 F D
F' R2 U2 L' D2 F D'
F' R2 U2 L' D2 F D2
R2 U2 B L U2 B' U2
B' R2 U2 L' B F L
F' R2 U2 L' F2 D F'
F' R2 U2 L' F2 D' F'
F' R2 U2 L' F2 D2 F'
F' R2 U2 L2 D L F
F' R2 U2 L2 D' L F
F' R2 U2 L2 D2 L F
F' R2 U2 L2 F L F
F' R2 U2 L2 F' L F
B' R2 U2 L2 B L F
F' R2 U2 L2 F2 L F
R2 U2 B L' F L2 D
R2 U2 B L' F L2 D'
R2 U2 B L' F L2 D2
R2 U2 B L' F' L2 F2
R2 U2 B L' F2 L2 F'
F' R2 U2 R L' F R'
B2 R2 U2 L' F B L
B2 R2 U2 L' B F L
D2 R2 U2 D B L F
F' R2 U2 R2 L' F R2
F2 R2 U2 L' F L' B'
B2 R2 U2 L2 B L F
D2 R2 U2 D' B L F
D2 R2 U2 D2 B L F
D2 R2 U2 F B L F
D2 R2 U2 F' B L F
F' R2 U2 F' L' F L'
D2 R2 U2 F2 B L F
D2 R2 U2 B L D F
D2 R2 U2 B L D' F
D2 R2 U2 B L D2 F
D2 R2 U2 B L F D
D2 R2 U2 B L F D'
D2 R2 U2 B L F D2
R U2 B L' F B' L2
R U2 B L' B' F L2
D2 R2 U2 B D L F
D2 R2 U2 B D' L F
D2 R2 U2 B D2 L F
D2 R2 U2 B F L F
D2 R2 U2 B F' L F
D2 R2 U2 B F2 L F
B R2 U2 L' F B L
B' R2 U2 B L' F L2
B R2 U2 L' B F L
B R2 U2 L2 B L F
F' R2 U2 B' L' F B
F' R2 U2 B' L' B F
R2 U2 B F L' F L2
F' R2 U2 B2 L' F B2
F' R2 U2 B2 L' B2 F
R2 U2 B F' L' F L2
B2 R2 U2 B L' F L2
R2 U2 B F2 L' F L2
R2 U2 B' L' F B2 L
R2 U2 B' L' B2 F L
R2 U2 B' L2 B2 L F
D2 R2 D U2 B L F
B R2 U2 B L' F L2
L U2 B' L' F' R' U2
D2 R2 D' U2 B L F
R U2 B2 L' F B' L
R U2 B2 L' B' F L
L' D L F' U2 L' F
F' R2 D2 R U2 L' F'
F' R2 D2 R' B U2 L'
D2 R2 D2 U2 B L F
F R2 D2 R' B U2 B
F2 R2 F R U2 L' F
F2 R2 F R' U2 L' F
F2 R2 F R2 U2 L' F
F2 R2 F U2 L' D F
F2 R2 F U2 L' D' F
F2 R2 F U2 L' D2 F
F2 R2 F U2 L' F D
F2 R2 F U2 L' F D'
F2 R2 F U2 L' F D2
F2 R2 F B U2 L' F
F2 R2 F B' U2 L' F
F2 R2 F B2 U2 L' F
L D L' F' U2 L' F
B' R2 F' U2 L' F B
B' R2 F' U2 L' B F
B' R2 F' U2 B L' F
B2 R2 F' U2 L' F B
B2 R2 F' U2 L' B F
B2 R2 F' U2 B L' F
B R2 F' U2 L' F B
B R2 F' U2 L' B F
B R2 F' U2 B L' F
F' R2 B R U2 L' F
F' R2 B R' U2 L' F
F' R2 B R2 U2 L' F
U2 R2 B L' R2 F L2
U2 R2 B L' F L2 R2
U2 R2 B L' F R2 L2
F' R2 B U2 L' D F
F' R2 B U2 L' D' F
F' R2 B U2 L' D2 F
F' R2 B U2 L' F D
F' R2 B U2 L' F D'
F' R2 B U2 L' F D2
U2 R2 B R2 L' F L2
F R2 F2 D2 R' B U2
F2 R2 B F U2 L' F
F' R2 B' R U2 L' F
F' R2 B' R' U2 L' F
F' R2 B' R2 U2 L' F
F' R2 B' U2 L' D F
F' R2 B' U2 L' D' F
F' R2 B' U2 L' D2 F
F' R2 B' U2 L' F D
F' R2 B' U2 L' F D'
F' R2 B' U2 L' F D2
F2 R2 B' F U2 L' F
F' R2 B2 R U2 L' F
F' R2 B2 R' U2 L' F
F' R2 B2 R2 U2 L' F
F' R2 B2 U2 L' D F
F' R2 B2 U2 L' D' F
F' R2 B2 U2 L' D2 F
F' R2 B2 U2 L' F D
F' R2 B2 U2 L' F D'
F' R2 B2 U2 L' F D2
F2 R2 B2 F U2 L' F
L' D F' L U2 L2 F2
L' D F' L U2 F2 L2
F' U R U L' D F
F' U R U L' D' F
F' U R U L' D2 F
F' U R U L' F D
F' U R U L' F D'
F' U R U L' F D2
F' U R' U L' D F
F' U R' U L' D' F
F' U R' U L' D2 F
F' U R' U L' F D
F' U R' U L' F D'
F' U R' U L' F D2
F' U R2 U L' D F
F' U R2 U L' D' F
F' U R2 U L' D2 F
F' U R2 U L' F D
F' U R2 U L' F D'
F' U R2 U L' F D2
L D B' L' F' U2 L'
L' D' L F' U2 L' F
F' U D2 R U L' F'
F' U F' U L' F L'
F' U F' U F L' F
L D' L' F' U2 L' F
F' U F2 U F2 L' F
F' U' L U B' U2 L2
F' U' L U' L2 D F
F' U' L U' L2 D' F
F' U' L U' L2 D2 F
F' U' L U' L2 F D
F' U' L U' L2 F D'
F' U' L U' L2 F D2
F' U' L U' F L2 F
F' U' L U' F' L2 F
F' U' L U' F2 L2 F
L' D' F' L U2 L2 F2
L' D' F' L U2 F2 L2
L D' B' L' F' U2 L'
F' U' D' B' L U' L2
L' D2 L F' U2 L' F
L D2 L' F' U2 L' F
F' U' B L U' L2 F
F' U' B U' L' D F
F' U' B U' L' D' F
F' U' B U' L' D2 F
F' U' B U' L' F D
F' U' B U' L' F D'
F' U' B U' L' F D2
R D2 R U2 F' B L
R D2 R U2 B L F'
R D2 R U2 B F' L
F' U' B' L U' L2 F
F' U' B' U' L' D F
F' U' B' U' L' D' F
F' U' B' U' L' D2 F
F' U' B' U' L' F D
F' U' B' U' L' F D'
F' U' B' U' L' F D2
R D2 R' F' B U2 L'
R D2 R' B F' U2 L'
F' U' B2 L U' L2 F
F' U' B2 U' L' D F
F' U' B2 U' L' D' F
F' U' B2 U' L' D2 F
F' U' B2 U' L' F D
F' U' B2 U' L' F D'
F' U' B2 U' L' F D2
F' U2 L U2 B' U2 L2
F' U2 L F L2 D F
F' U2 L F L2 D' F
F' U2 L F L2 D2 F
F' U2 L F L2 F D
F' U2 L F L2 F D'
F' U2 L F L2 F D2
F' U2 L F' L2 D F
F' U2 L F' L2 D' F
F' U2 L F' L2 D2 F
F' U2 L F' L2 F D
F' U2 L F' L2 F D'
F' U2 L F' L2 F D2
F' U2 L F2 L2 D F
F' U2 L F2 L2 D' F
F' U2 L F2 L2 D2 F
F' U2 L F2 L2 F D
F' U2 L F2 L2 F D'
F' U2 L F2 L2 F D2
F' U2 L' R D R' F
F' U2 L' R D F R'
F' U2 L' R D' R' F
F' U2 L' R D' F R'
F' U2 L' R D2 R' F
F' U2 L' R D2 F R'
F' U2 L' R F R' D
F' U2 L' R F R' D'
F' U2 L' R F R' D2
F' U2 L' R F D R'
F' U2 L' R F D' R'
F' U2 L' R F D2 R'
F' U2 L' R F' R' F2
F' U2 L' R' D R F
F' U2 L' R' D' R F
F' U2 L' R' D2 R F
F' U2 L' R2 F R2 D
F' U2 L' R2 F R2 D'
F' U2 L' R2 F R2 D2
F' U2 L' R2 F' R2 F2
F' U2 L' U' R U F
F' U2 L' U' R' U F
F' U2 L' U' R2 U F
F' U2 L' U2 B U2 F
F' U2 L' U2 B' U2 F
F' U2 L' U2 B2 U2 F
F' U2 L' D R F R'
F' U2 L' D R2 F R2
F' U2 L' D F2 D F'
F' U2 L' D F2 D' F'
F' U2 L' D F2 D2 F'
F' U2 L' D' R F R'
F' U2 L' D' R2 F R2
F' U2 L' D' F2 D F'
F' U2 L' D' F2 D' F'
F' U2 L' D' F2 D2 F'
F' U2 L' D2 R F R'
F' U2 L' D2 R2 F R2
F' U2 L' D2 F2 D F'
F' U2 L' D2 F2 D' F'
F' U2 L' D2 F2 D2 F'
F' U2 L' F L D L'
F' U2 L' F L D' L'
F' U2 L' F L D2 L'
F' U2 L' F L' D L
F' U2 L' F L' D' L
F' U2 L' F L' D2 L
F' U2 L' F R D R'
F' U2 L' F R D' R'
F' U2 L' F R D2 R'
F' U2 L' F R' D R
F' U2 L' F R' D' R
F' U2 L' F R' D2 R
F' U2 L' F B D B'
F' U2 L' F B D' B'
F' U2 L' F B D2 B'
F' U2 L' F B' D B
F' U2 L' F B' D' B
F' U2 L' F B' D2 B
F' U2 L' F' L' F2 L
F' U2 L' F' L2 F2 L2
F' U2 L' F' R F2 R'
F' U2 L' F' R2 F2 R2
F' U2 L' F2 L' F' L
F' U2 L' F2 L2 F' L2
F' U2 L' F2 D F' D
F' U2 L' F2 D F' D'
F' U2 L' F2 D F' D2
F' U2 L' F2 D' F' D
F' U2 L' F2 D' F' D'
F' U2 L' F2 D' F' D2
F' U2 L' F2 D2 F' D
F' U2 L' F2 D2 F' D'
F' U2 L' F2 D2 F' D2
F' U2 L' B D F B'
F' U2 L' B D B' F
F' U2 L' B D' F B'
F' U2 L' B D' B' F
F' U2 L' B D2 F B'
F' U2 L' B D2 B' F
F' U2 L' B F D B'
F' U2 L' B F D' B'
F' U2 L' B F D2 B'
F2 U2 L' F L' D B'
F2 U2 L' F L' D' B'
F2 U2 L' F L' D2 B'
F2 U2 L' F L' B' D
F2 U2 L' F L' B' D'
F2 U2 L' F L' B' D2
F2 U2 L' F D L' B'
F2 U2 L' F D' L' B'
F2 U2 L' F D2 L' B'
F' U2 L' B' D F B
F2 U2 L' F B L' B'
F' U2 L' B' D B F
F' U2 L' B' D' F B
F2 U2 L' F B' L' B'
F' U2 L' B' D' B F
F2 U2 L' F B2 L' B'
F' U2 L' B' D2 F B
F' U2 L' B' D2 B F
F' U2 L' B' F D B
F' U2 L' B' F D' B
F' U2 L' B' F D2 B
L' D2 F' L U2 L2 F2
L' D2 F' L U2 F2 L2
F2 U2 L' B F L' B'
F2 U2 L' B' F L' B'
F2 U2 L' B2 F L' B'
F' U2 L2 D L D F
F' U2 L2 D L D' F
F' U2 L2 D L D2 F
F' U2 L2 D L F D
F' U2 L2 D L F D'
F' U2 L2 D L F D2
F' U2 L2 D F L F
F' U2 L2 D F' L F
F' U2 L2 D F2 L F
F' U2 L2 D' L D F
F' U2 L2 D' L D' F
F' U2 L2 D' L D2 F
F' U2 L2 D' L F D
F' U2 L2 D' L F D'
F' U2 L2 D' L F D2
F' U2 L2 D' F L F
F' U2 L2 D' F' L F
F' U2 L2 D' F2 L F
F' U2 L2 D2 L D F
F' U2 L2 D2 L D' F
F' U2 L2 D2 L D2 F
F' U2 L2 D2 L F D
F' U2 L2 D2 L F D'
F' U2 L2 D2 L F D2
F' U2 L2 D2 F L F
F' U2 L2 D2 F' L F
F' U2 L2 D2 F2 L F
F' U2 L2 F L D F
F' U2 L2 F L D' F
F' U2 L2 F L D2 F
F' U2 L2 F L F D
F' U2 L2 F L F D'
F' U2 L2 F L F D2
F' U2 L2 F D L F
F' U2 L2 F D' L F
F' U2 L2 F D2 L F
F' U2 L2 F' L D F
F' U2 L2 F' L D' F
F' U2 L2 F' L D2 F
F' U2 L2 F' L F D
F' U2 L2 F' L F D'
F' U2 L2 F' L F D2
F' U2 L2 F' D L F
F' U2 L2 F' D' L F
F' U2 L2 F' D2 L F
F' U2 L2 F2 L D F
F' U2 L2 F2 L D' F
F' U2 L2 F2 L D2 F
F' U2 L2 F2 L F D
F' U2 L2 F2 L F D'
F' U2 L2 F2 L F D2
F' U2 L2 F2 D L F
F' U2 L2 F2 D' L F
F' U2 L2 F2 D2 L F
F2 U2 L2 D2 B' L F
R D2 F R U2 F' B
R D2 F R U2 B F'
F' U2 R L' D R' F
F' U2 R L' D F R'
F' U2 R L' D' R' F
F' U2 R L' D' F R'
F' U2 R L' D2 R' F
F' U2 R L' D2 F R'
F' U2 R L' F R' D
F' U2 R L' F R' D'
F' U2 R L' F R' D2
