F L D2 L2 U R2
F L' U2 R2 U' R2
F L2 U D B2 R'
F L2 D U B2 R'
F U' L' U' R2 U'
F U' L' U2 D B2
F U' L' D U2 B2
F U' L' D' F2 U2
F U' D L' U2 B2
F U' D' L' F2 U2
F U' D' F2 U2 R
F U2 R2 U L' U2
F U2 R2 F2 U' R
D' F L2 U B' R'
D2 F L2 B U R'
F U2 F2 R2 U' R'
F D L2 U B2 R'
D2 F B L2 U R'
F D U' L' U2 B2
F D' U' L' F2 U2
F D' U' F2 U2 R
F D2 L2 U' L U2
F D2 L2 B2 U R'
D2 B F L2 U R'
D' F L2 U D' B' R'
D' F L2 U D2 B' R'
D' F L2 U B' R' D
D' F L2 U B' R' D'
D' F L2 U B' R' D2
D' F L2 U B' D R'
D' F L2 U B' D' R'
D' F L2 U B' D2 R'
D2 F L2 U B R' B'
D' F L2 D U B' R'
D' F L2 D' U B' R'
D' F L2 D2 U B' R'
D2 F L2 B U R' D
D2 F L2 B U R' D'
D2 F L2 B U R' D2
D2 F L2 B U D R'
D2 F L2 B U D' R'
D2 F L2 B U D2 R'
D2 F L2 B D U R'
D2 F L2 B D' U R'
D2 F L2 B D2 U R'
D2 F L2 B' U' L U2
F U2 F R2 F U' R
F U2 F' R2 F' U' R
F U2 F2 R2 U' R' D
F U2 F2 R2 U' R' D'
F U2 F2 R2 U' R' D2
F U2 F2 R2 U' D R'
F U2 F2 R2 U' D' R'
F U2 F2 R2 U' D2 R'
F U2 F2 R2 D U' R'
F U2 F2 R2 D' U' R'
F U2 F2 R2 D2 U' R'
F U2 F2 R2 F U' R'
F U2 F2 R2 F' U' R'
F U2 F2 R2 F2 U' R'
F U2 F2 U' D R B2
F U2 F2 U' D B2 R
F U2 F2 D U' R B2
F U2 F2 D U' B2 R
U2 F R2 U L' U2 L
F2 U2 B' R2 B U' R
D2 F U B R' D' B2
D2 F U B D' R' B2
D2 F U B' D' B2 R'
F2 U2 B2 R2 B U' R'
D' F U' D F L' U2
D F U B D B R'
F D L U B2 D2 R2
F D L U' L2 U2 B2
D' F D U' F L' U2
D F U2 R F' U' B2
F D L' U B2 D' R2
D F D L2 B U R'
D F D B L2 U R'
F D L2 U R B2 R'
F D L2 U R' B2 R'
F D L2 U R2 B2 R'
F D L2 U B2 R' D
F D L2 U B2 R' D'
F D L2 U B2 R' D2
F D L2 U B2 D R'
F D L2 U B2 D' R'
F D L2 U B2 D2 R'
F D L2 U' L U2 B2
F D L2 B U B R'
D' F B L2 U B' R'
D2 F B L2 U R' D
D2 F B L2 U R' D'
D2 F B L2 U R' D2
D2 F B L2 U D R'
D2 F B L2 U D' R'
D2 F B L2 U D2 R'
D2 F B L2 D U R'
D2 F B L2 D' U R'
D2 F B L2 D2 U R'
D2 F B U R' D' B2
D2 F B U D' R' B2
D2 F B D' U R' B2
D' F B' L2 U B' R'
D2 F B' L2 U' L' U2
D2 F B' U D' B2 R'
D2 F B' D' U B2 R'
D F B U D B R'
D' F B2 L2 U B' R'
D2 F B2 L2 B' U R'
D F B D U B R'
F' D U R' B2 L R2
F' D U R' B2 R2 L
F' D U B2 D2 L2 R
F' D U B2 D2 R L2
F' D U' R2 U2 R' B2
F D U L2 B2 L2 R'
F D U L2 B2 R' L2
F D U F2 R F2 B2
F D U F2 R B2 F2
F D U F2 B2 R F2
F D U B2 U2 L' U2
F D U B2 F2 R F2
F D U' L' U2 B2 D
F D U' L' U2 B2 D'
F D U' L' U2 B2 D2
F D U' L' D2 F2 U2
F D U' L' F U2 B2
F D U' L' F' U2 B2
F D U' L' F2 U2 B2
F D U' L2 U2 B2 R'
F D U' F2 U2 R B2
F D U' F2 U2 B2 R
D2 F' L2 F2 B U R'
D2 F' L2 B F2 U R'
F D U2 F2 U' R B2
F D U2 F2 U' B2 R
F2 D F' L2 U B2 R'
F2 D F' U' L' U2 B2
U2 F' R2 U' R' D' L2
U2 F' R2 U' D' L2 R'
U2 F' R2 U' D' R' L2
U2 F' R2 U2 F2 U R'
U2 F' R2 D' U' L2 R'
U2 F' R2 D' U' R' L2
F D B U' L' U2 B
R2 F' U' D' L2 R F2
R2 F' U' D' R L2 F2
R2 F' U' D' R F2 L2
U' F' D R2 U2 R' B2
F D' L U D2 R2 B2
F D' L U D2 B2 R2
R2 F' U2 R2 F2 U R'
F D' L U' L2 F2 U2
F D' L U' F2 L2 U2
L2 F' U2 B' R2 U' R'
F D' L D' L2 B2 U
F D' L D' B2 L2 U
F D' L D2 U R2 B2
F D' L D2 U B2 R2
U' F' D' F2 L' U2 L'
F D' L2 U D2 B2 R'
F D' L2 U' L F2 U2
F D' L2 U' F2 L U2
R2 F' D' U' L2 R F2
R2 F' D' U' R L2 F2
R2 F' D' U' R F2 L2
F D' L2 D2 U B2 R'
D2 F' B L2 F2 U R'
U F' D' R F L2 B'
R2 F' D2 L2 B2 U' R
D2 F' B' L2 F2 U R
R2 F' D2 B2 L2 U' R
F' D' U L2 R D2 B2
F' D' U L2 D2 R B2
F' D' U L2 D2 B2 R
F' D' U R L2 D2 B2
F' D' U' F2 L' U2 L'
B' D' F L2 U B' R'
F D' U' L F2 L2 U2
F D' U' L' U2 D2 B2
F D' U' L' D2 U2 B2
F D' U' L' F2 U2 D
F D' U' L' F2 U2 D'
F D' U' L' F2 U2 D2
F D' U' L' F2 D U2
F D' U' L' F2 D' U2
F D' U' L' F2 D2 U2
F D' U' L2 F2 L U2
B2 D' F L2 U B' R'
F D' U' F2 L U2 R
F D' U' F2 L' U2 R
F D' U' F2 L2 U2 R
F D' U' F2 U2 R D
F D' U' F2 U2 R D'
F D' U' F2 U2 R D2
F D' U' F2 U2 D R
F D' U' F2 U2 D' R
F D' U' F2 U2 D2 R
F D' U' F2 D U2 R
F D' U' F2 D' U2 R
F D' U' F2 D2 U2 R
D2 F2 L2 D2 F' U R
D2 F2 L2 F' B U R'
D2 F2 L2 B F' U R'
B D' F L2 U B' R'
F2 D' F' U' L' F' U2
U2 F2 R2 F B U' R
U2 F2 R2 B F U' R
F D' B U' L' F2 U2
F D' B U' F2 U2 R
F D' B' U' L' F2 U2
F D' B' U' F2 U2 R
F D' B2 U' L' F2 U2
F D' B2 U' F2 U2 R
L2 F2 U2 R2 B' U' R'
L2 F2 U2 B' R2 U' R
F D2 L D' L B2 U
F D2 L D2 L U R2
F' D2 L2 U R D L2
F' D2 L2 U D L2 R
F' D2 L2 U D R L2
F' D2 L2 U2 B2 U' R
F' D2 L2 D U L2 R
F' D2 L2 D U R L2
F2 D2 L2 F' U' L' U2
F D2 L2 U B2 R' B2
F D2 L2 U' L U2 D
F D2 L2 U' L U2 D'
F D2 L2 U' L U2 D2
F D2 L2 U' L D U2
F D2 L2 U' L D' U2
F D2 L2 U' L D2 U2
F D2 L2 U' D L U2
F D2 L2 U' D' L U2
F D2 L2 U' D2 L U2
F D2 L2 D U' L U2
F D2 L2 D B2 U R'
F D2 L2 D' U' L U2
F D2 L2 D' B2 U R'
F D2 L2 D2 U' L U2
F D2 L2 D2 B2 U R'
L2 F2 D2 L2 F U R
D2 F2 B L2 F' U R'
F D2 L2 B2 U R' D
F D2 L2 B2 U R' D'
F D2 L2 B2 U R' D2
F D2 L2 B2 U D R'
F D2 L2 B2 U D' R'
F D2 L2 B2 U D2 R'
F D2 L2 B2 D U R'
F D2 L2 B2 D' U R'
F D2 L2 B2 D2 U R'
B' D2 F L2 B U R'
F D2 U' L' U L' U
B2 D2 F L2 B U R'
B' D2 F B L2 U R'
B2 D2 F B L2 U R'
B D2 F L2 B U R'
F2 D2 F' L2 U' L U2
F2 D2 F' L2 B2 U R'
B D2 F B L2 U R'
B' D2 B F L2 U R'
B2 D2 B F L2 U R'
F D2 B L2 U' L U2
F D2 B L2 B2 U R'
B D2 B F L2 U R'
F D2 B' L2 U' L U2
F D2 B' L2 B2 U R'
B' F L D2 L2 U R2
B2 F L D2 L2 U R2
F D2 B2 L2 U' L U2
F D2 B2 L2 B2 U R'
B' F L' U2 R2 U' R2
B2 F L' U2 R2 U' R2
B F L D2 L2 U R2
B' F L2 U D B2 R'
B' F L2 D U B2 R'
F B L D2 L2 U R2
B2 F L2 U D B2 R'
B F L' U2 R2 U' R2
B2 F L2 D U B2 R'
D2 B D' F U R' B2
F B L' U2 R2 U' R2
B F L2 U D B2 R'
D B D F U B R'
B F L2 D U B2 R'
F B L2 U D B2 R'
F B L2 D U B2 R'
D2 B F L2 U R' D
D2 B F L2 U R' D'
D2 B F L2 U R' D2
D2 B F L2 U D R'
D2 B F L2 U D' R'
D2 B F L2 U D2 R'
D2 B F L2 D U R'
D2 B F L2 D' U R'
D2 B F L2 D2 U R'
D' B F L2 U B' R'
D2 B F U R' D' B2
D2 B F U D' R' B2
D2 B F D' U R' B2
D2 B F' L2 F2 U R'
D2 B F2 L2 F' U R'
D B F U D B R'
D B F D U B R'
B' F U' L' U' R2 U'
B' F U' L' U2 D B2
B' F U' L' D U2 B2
B' F U' L' D' F2 U2
B' F U' D L' U2 B2
B' F U' D' L' F2 U2
B' F U' D' F2 U2 R
B2 F U' L' U' R2 U'
B2 F U' L' U2 D B2
B2 F U' L' D U2 B2
B2 F U' L' D' F2 U2
B2 F U' D L' U2 B2
B2 F U' D' L' F2 U2
B2 F U' D' F2 U2 R
B' F U2 R2 U L' U2
B' F U2 R2 F2 U' R
B F U' L' U' R2 U'
B F U' L' U2 D B2
B F U' L' D U2 B2
B F U' L' D' F2 U2
B' F U2 F2 R2 U' R'
B2 F U2 R2 U L' U2
B F U' D L' U2 B2
B2 F U2 R2 F2 U' R
B F U' D' L' F2 U2
B F U' D' F2 U2 R
F B U' L' U' R2 U'
F B U' L' U2 D B2
B' F D L2 U B2 R'
F B U' L' D U2 B2
F B U' L' D' F2 U2
B2 F U2 F2 R2 U' R'
B' F D U' L' U2 B2
F B U' D L' U2 B2
F B U' D' L' F2 U2
F B U' D' F2 U2 R
B2 F D L2 U B2 R'
B F U2 R2 U L' U2
B F U2 R2 F2 U' R
B2 F D U' L' U2 B2
B F U2 F2 R2 U' R'
F B U2 R2 U L' U2
F B U2 R2 F2 U' R
B' F D' U' L' F2 U2
B' F D' U' F2 U2 R
B F D L2 U B2 R'
F B U2 F2 R2 U' R'
B F D U' L' U2 B2
B2 F D' U' L' F2 U2
B2 F D' U' F2 U2 R
B' F D2 L2 U' L U2
B' F D2 L2 B2 U R'
F B D L2 U B2 R'
F B D U' L' U2 B2
B2 F D2 L2 U' L U2
B2 F D2 L2 B2 U R'
B F D' U' L' F2 U2
B F D' U' F2 U2 R
F B D' U' L' F2 U2
F B D' U' F2 U2 R
B F D2 L2 U' L U2
B F D2 L2 B2 U R'
F B D2 L2 U' L U2
F B D2 L2 B2 U R'
F B' L D2 L2 U R2
F B' L' U2 R2 U' R2
F B' L2 U D B2 R'
F B' L2 D U B2 R'
D2 B' D' F U B2 R'
D2 B' F L2 U' L' U2
D' B' F L2 U B' R'
D2 B' F U D' B2 R'
D2 B' F D' U B2 R'
D2 B' F' L2 F2 U R
F B' U' L' U' R2 U'
F B' U' L' U2 D B2
F B' U' L' D U2 B2
F B' U' L' D' F2 U2
F B' U' D L' U2 B2
F B' U' D' L' F2 U2
F B' U' D' F2 U2 R
F B' U2 R2 U L' U2
F B' U2 R2 F2 U' R
F B' U2 F2 R2 U' R'
F B' D L2 U B2 R'
F B' D U' L' U2 B2
F B' D' U' L' F2 U2
F B' D' U' F2 U2 R
F B' D2 L2 U' L U2
F B' D2 L2 B2 U R'
F B2 L D2 L2 U R2
F B2 L' U2 R2 U' R2
F B2 L2 U D B2 R'
F B2 L2 D U B2 R'
F B2 U' L' U' R2 U'
F B2 U' L' U2 D B2
F B2 U' L' D U2 B2
F B2 U' L' D' F2 U2
F B2 U' D L' U2 B2
D2 B2 F L2 B' U R'
F B2 U' D' L' F2 U2
F B2 U' D' F2 U2 R
D' B2 F L2 U B' R'
F B2 U2 R2 U L' U2
F B2 U2 R2 F2 U' R
F B2 U2 F2 R2 U' R'
F B2 D L2 U B2 R'
F B2 D U' L' U2 B2
F B2 D' U' L' F2 U2
F B2 D' U' F2 U2 R
F B2 D2 L2 U' L U2
F B2 D2 L2 B2 U R'
