F2 U2 D' R F'
F2 D' U2 R F'
F2 L U2 D' R F'
F2 L D' U2 R F'
D L' U' R2 U' F
F2 L' U2 D' R F'
D L' U2 D F B2
D L' U2 D B2 F
D L' U2 F D B2
D L' D U2 F B2
D L' D U2 B2 F
F2 L' D' U2 R F'
D L' D' F2 U2 F'
B' L' F2 U' L2 U'
B' L' F2 U2 D F2
B' L' F2 D U2 F2
B' L' F2 D' B2 U2
B L' F2 U R' U
F2 L2 U2 D' R F'
F2 L2 D' U2 R F'
F2 U B R' U R2
F2 U2 D' R D F'
F2 U2 D' R D' F'
F2 U2 D' R D2 F'
F2 U2 D' R F' D
F2 U2 D' R F' D'
F2 U2 D' R F' D2
F2 D L B' U2 R
F2 D L' U2 R F
F2 D' L U2 R F'
F2 D' L' U2 R F'
F2 D' L2 U2 R F'
F2 D' U2 R D F'
F2 D' U2 R D' F'
F2 D' U2 R D2 F'
F2 D' U2 R F' D
F2 D' U2 R F' D'
F2 D' U2 R F' D2
F2 D' U2 R F' D2
F D' F U2 R F'
F2 D' B U2 R F'
F2 D' B' U2 R F'
F2 D' B2 U2 R F'
L2 F2 D L B' U2
L' F2 B U R' U
L' F2 B' U' L U'
L' B F2 U R' U
F2 B U R' U R2
F2 B U2 R D' F2
L' B' F2 U' L U'
F2 B' U' L U' R
B' F2 U' L U' R
B F2 U R' U R2
B F2 U2 R D' F2
F' L' F' U2 D' R F'
B' L' F' D F' U2 F'
F' L' F' D' U2 R F'
D L' F' U' R2 U' F2
B' L' F' D' F' B2 U2
B' L' F' D' B2 F' U2
D L' F' U2 F2 D B2
D' L' F2 U' R U' F'
B' L' F2 U D2 R2 U
B' L' F2 U' L2 U' D
B' L' F2 U' L2 U' D'
B' L' F2 U' L2 U' D2
B' L' F2 U' L2 D U'
B' L' F2 U' L2 D' U'
B' L' F2 U' L2 D2 U'
B' L' F2 U2 D F2 D
B' L' F2 U2 D F2 D'
B' L' F2 U2 D F2 D2
B' L' F2 U2 F D F2
B' L' F2 U2 F' D F2
B' L' F2 U2 F2 D F2
B2 L' F2 U R' U F'
B2 L' F2 U' L U' F
B' L' F2 D U2 F2 D
B' L' F2 D U2 F2 D'
B' L' F2 D U2 F2 D2
B' L' F2 D B U2 F2
B' L' F2 D B' U2 F2
B' L' F2 D B2 U2 F2
B L' F2 U R' U D
B L' F2 U R' U D'
B L' F2 U R' U D2
B L' F2 U R' D U
B L' F2 U R' D' U
B L' F2 U R' D2 U
B L' F2 U D R' U
B L' F2 U D' R' U
B L' F2 U D2 R' U
B' L' F2 D' B2 U2 D
B' L' F2 D' B2 U2 D'
B' L' F2 D' B2 U2 D2
B' L' F2 D' B2 D U2
B' L' F2 D' B2 D' U2
B' L' F2 D' B2 D2 U2
B' L' F2 D2 U R2 U
D L' F2 U2 D F' B2
D L' F2 U2 D B2 F'
B' L' F2 B U' L2 U'
D L' F2 U2 F' D B2
B' L' F2 B U2 D F2
B' L' F2 B D U2 F2
B' L' F2 B D' B2 U2
B L' F2 D U R' U
B' L' F2 B' U' L2 U'
D L' F2 D U2 F' B2
D L' F2 D U2 B2 F'
B' L' F2 B' U2 D F2
B' L' F2 B' D U2 F2
B' L' F2 B' D' B2 U2
B' L' F2 B2 U' L2 U'
B' L' F2 B2 U2 D F2
B L' F2 D' U R' U
B' L' F2 B2 D U2 F2
B' L' F2 B2 D' B2 U2
D L' F2 D' F2 U2 F
B2 L' F2 B U' L U'
B L' F2 D2 U R' U
B2 L' F2 B' U R' U
B L' F2 B2 U' L U'
F2 L' B U R' U R2
F2 L' B U2 R D' F2
D L' B U' R2 U' F
D L' B U2 D F B2
D L' B U2 D B2 F
D L' B U2 F D B2
D L' B D U2 F B2
D L' B D U2 B2 F
B' L' B F2 U' L2 U'
B' L' B F2 U2 D F2
B' L' B F2 D U2 F2
B' L' B F2 D' B2 U2
D L' B D' F2 U2 F'
B2 L' B F2 U' L U'
F2 L' B' U' L U' R
D L' B' U' R2 U' F
D L' B' U2 D F B2
D L' B' U2 D B2 F
D L' B' U2 F D B2
D L' B' D U2 F B2
D L' B' D U2 B2 F
B' L' B' F2 U' L2 U'
B' L' B' F2 U2 D F2
B' L' B' F2 D U2 F2
B' L' B' F2 D' B2 U2
D L' B' D' F2 U2 F'
B2 L' B' F2 U R' U
D L' B2 U' R2 U' F
D L' B2 U2 D F B2
D L' B2 U2 D B2 F
D L' B2 U2 F D B2
B' L' B2 F2 U' L2 U'
B' L' B2 F2 U2 D F2
B' L' B2 F2 D U2 F2
D L' B2 D U2 F B2
D L' B2 D U2 B2 F
B' L' B2 F2 D' B2 U2
D L' B2 D' F2 U2 F'
B L' B2 F2 U' L U'
F2 L2 U B R' U R2
F2 L2 U2 D' R D F'
F2 L2 U2 D' R D' F'
F2 L2 U2 D' R D2 F'
F2 L2 U2 D' R F' D
F2 L2 U2 D' R F' D'
F2 L2 U2 D' R F' D2
D L2 U2 D B2 R' F'
F2 L2 D L B' U2 R
F2 L2 D L' U2 R F
D L2 D L U2 F B2
D L2 D L U2 B2 F
D L2 D U2 B2 R' F'
F2 L2 D' L U2 R F'
F2 L2 D' L' U2 R F'
F2 L2 D' L2 U2 R F'
D L2 D' L F2 U2 F'
F2 L2 D' U2 R D F'
F2 L2 D' U2 R D' F'
F2 L2 D' U2 R D2 F'
F2 L2 D' U2 R F' D
F2 L2 D' U2 R F' D'
F2 L2 D' U2 R F' D2
F2 L2 D' B U2 R F'
D L2 D' F2 L U2 F
F2 L2 D' B' U2 R F'
F2 L2 D' B2 U2 R F'
F' L2 F' U2 D' R F'
F' L2 F' D' U2 R F'
B' L2 F2 L U R U
B L2 F2 L U R' U
F2 L2 B U R' U R2
F2 L2 B U2 R D' F2
F2 L2 B' U' L U' R
L' U D' L2 R U F'
L' U D' R L2 U F'
F2 R D' R' B U2 R
L' U' D L' R2 U' F
L' U' D R2 L' U' F
B R' U' L' R F2 U2
B R' U' L' F2 U2 L'
B R' U' R L' F2 U2
B R' U' R F2 U2 R
B R' U' F2 U2 L' R
B R' U' F2 U2 R L'
D R2 U L' R2 U2 F
D R2 U R2 L' U2 F
L2 D L D B' U2 B'
L2 D L D' F2 B' U2
L2 D L D' B' F2 U2
L2 D L B' U' R2 U'
L2 D L B' U2 D B2
L2 D L B' D U2 B2
L2 D L B' D' F2 U2
L' D U' L' R2 U' F
L' D U' R2 L' U' F
F2 U R B R' U R
B U R' U' L' F2 U2
U' D R2 U L' U2 F
F2 U R' B R' U R'
B U R' U' F2 U2 R
F2 U D' R' U R2 F'
F2 U D' B U R F'
F2 U D' B' U R F'
F2 U D' B2 U R F'
F2 U B R' U R2 D
F2 U B R' U R2 D'
F2 U B R' U R2 D2
F2 U B R' D B2 U
F2 U B R' B U R2
F2 U B R' B' U R2
F2 U B R' B2 U R2
F2 U B U R D' F2
F2 U B D R' U R2
F2 U B D' R' U R2
F2 U B D2 R' U R2
L' D' U L2 R U F'
L' D' U R L2 U F'
F2 U B' U2 L U' R
F2 U B2 R2 U R' F'
F2 U B2 U R' F' R2
B' U' L U L2 F2 U2
B' U' L U F2 L2 U2
B' U' L U' D2 R2 B2
B' U' L U' D2 B2 R2
B' U' L D R2 F2 U'
B' U' L D F2 R2 U'
B' U' L D2 U' R2 B2
B' U' L D2 U' B2 R2
F2 U' L U' D' R F'
F2 U' L D' U' R F'
F2 U' L' U' D' R F'
F2 U' L' D' U' R F'
F2 U' L2 U' D' R F'
F2 U' L2 D' U' R F'
D U' R2 U L' U2 F
R2 D' F2 L2 U R F'
U2 D' F2 R D' F' B2
U2 D' F2 R D' B2 F'
U2 D' F2 R F' D' B2
F2 U' D L' U' R F
F2 U' D' L U' R F'
F2 U' D' L' U' R F'
F2 U' D' L2 U' R F'
F2 U' B' L B U' R
F2 U2 L R D L' F
F2 U2 L D L' R F
F2 U2 L D R L' F
F2 U2 L D' L' R F'
F2 U2 L D' R L' F'
L' D2 F U' L' U' B2
F2 U2 L' D' L R F'
F2 U2 L' D' R L F'
F2 U2 L' D' R F' L
L' D2 F' U R U B2
D' U2 F2 R D' F' B2
D' U2 F2 R D' B2 F'
D' U2 F2 R F' D' B2
F2 U2 R L D L' F
F2 U2 R D L' F L
F2 U2 R D' R F' R'
F2 U2 R2 D' R F' R2
F2 U2 D L' R F L
D2 U2 B2 D F2 R F'
F2 U2 D R L' F L
U2 D2 B2 D F2 R F'
F2 U2 D' L' R F' L
F2 U2 D' L2 R F' L2
F2 U2 D' R L' F' L
F2 U2 D' R L2 F' L2
F2 U2 D' R D F' D
F2 U2 D' R D F' D'
F2 U2 D' R D F' D2
F2 U2 D' R D' F' D
F2 U2 D' R D' F' D'
F2 U2 D' R D' F' D2
F2 U2 D' R D2 F' D
F2 U2 D' R D2 F' D'
F2 U2 D' R D2 F' D2
F2 U2 D' R F2 D F
F2 U2 D' R F2 D' F
F2 U2 D' R F2 D2 F
F2 U2 D' R' F R2 F'
F2 U2 D' R' F' R2 F'
F2 U2 D' R' F2 R2 F'
F2 U2 D' R2 D R' F'
F2 U2 D' R2 D' R' F'
F2 U2 D' R2 D2 R' F'
F2 U2 D' R2 F R' F'
F2 U2 D' R2 F' R' F'
F2 U2 D' R2 F2 R' F'
F2 U2 D' F R F' R
F2 U2 D' B R F' B'
F2 U2 D' B R B' F'
F2 U2 D' B2 R F' B2
F2 U2 D' B2 R B2 F'
F2 U2 F' D' F R F'
F2 U2 F2 D' F2 R F'
F2 U2 B R D' F2 B'
F2 U2 B R D' B' F2
F2 U2 B R B' D' F2
F2 D L D B' U2 R
F2 D L D' B' U2 R
F2 D L D2 B' U2 R
B' D L' U' L2 R2 U'
B' D L' U' R2 L2 U'
B' D L' U2 D F2 B2
B' D L' U2 D B2 F2
F2 D L B' L U2 R
F2 D L B' L' U2 R
F2 D L B' L2 U2 R
F2 D L B' U2 R D
F2 D L B' U2 R D'
F2 D L B' U2 R D2
F2 D L B' U2 D R
F2 D L B' U2 D' R
F2 D L B' U2 D2 R
B' D L' D U2 F2 B2
B' D L' D U2 B2 F2
F2 D L B' D U2 R
F2 D L B' D' U2 R
F2 D L B' D2 U2 R
B' D L' D' F2 B2 U2
B' D L' D' B2 F2 U2
F2 D L' U2 R D F
F2 D L' U2 R D' F
F2 D L' U2 R D2 F
F2 D L' U2 R F D
F2 D L' U2 R F D'
F2 D L' U2 R F D2
F2 D L' U2 R' F R2
F2 D L' U2 R2 F R'
F2 D L' U2 D R F
F2 D L' U2 D' R F
F2 D L' U2 D2 R F
F2 D L' D U2 R F
F2 D L' D' U2 R F
F2 D L' D2 U2 R F
F2 D L' B U2 R F
F2 D L' B' U2 R F
F2 D L' B2 U2 R F
F2 D L2 U2 R' F' R2
L2 F D F L B' U2
F D L2 U2 B' R' F'
L' F D2 F U' L' U'
F2 D U' L' U' R F
F2 D U2 L' R F L
F2 D U2 R L' F L
F D F L B' U2 R
F D F L' U2 R F
F D F U2 D2 R F'
F D F D2 U2 R F'
F2 D F2 L' F2 U2 F'
F D F' L' F2 U2 F'
F2 D B L B' U2 R
F2 D B L' U2 R F
F2 D B U2 D2 R F'
F2 D B D2 U2 R F'
F2 D B' L B' U2 R
F2 D B' L' U2 R F
F2 D B' U2 D2 R F'
F2 D B' D2 U2 R F'
F2 D B2 L B' U2 R
F2 D B2 L' U2 R F
F2 D B2 U2 D2 R F'
F2 D B2 D2 U2 R F'
F2 D' L U2 R D F'
F2 D' L U2 R D' F'
F2 D' L U2 R D2 F'
F2 D' L U2 R F' D
F2 D' L U2 R F' D'
F2 D' L U2 R F' D2
F2 D' L B U2 R F'
F2 D' L B' U2 R F'
F2 D' L B2 U2 R F'
F2 D' L' U2 R D F'
F2 D' L' U2 R D' F'
F2 D' L' U2 R D2 F'
F2 D' L' U2 R F' D
F2 D' L' U2 R F' D'
F2 D' L' U2 R F' D2
L2 F' D L F' B' U2
L2 F' D L B' F' U2
F2 D' L' B U2 R F'
F2 D' L' B' U2 R F'
F2 D' L' B2 U2 R F'
B D' L' U L' R' U
B D' L' U R' L' U
F2 D' L2 U2 R D F'
F2 D' L2 U2 R D' F'
F2 D' L2 U2 R D2 F'
F2 D' L2 U2 R F' D
F2 D' L2 U2 R F' D'
F2 D' L2 U2 R F' D2
L2 F' D F' L B' U2
F2 D' L2 B U2 R F'
F2 D' L2 B' U2 R F'
F2 D' L2 B2 U2 R F'
L' F' D2 F' U R U
F2 D' R' B R U2 R
F2 D' U R' U R2 F'
F2 D' U B U R F'
F2 D' U B' U R F'
F2 D' U B2 U R F'
F2 D' U' L U' R F'
F2 D' U' L' U' R F'
L' F2 L D L' U2 F
F2 D' U' L2 U' R F'
F2 D' U2 L' R F' L
F2 D' U2 L2 R F' L2
F2 D' U2 R L' F' L
F2 D' U2 R L2 F' L2
F2 D' U2 R D F' D
F2 D' U2 R D F' D'
F2 D' U2 R D F' D2
F2 D' U2 R D' F' D
F2 D' U2 R D' F' D'
F2 D' U2 R D' F' D2
F2 D' U2 R D2 F' D
F2 D' U2 R D2 F' D'
F2 D' U2 R D2 F' D2
F2 D' U2 R F2 D F
F2 D' U2 R F2 D' F
F2 D' U2 R F2 D2 F
L' F2 L' D L B' U2
F2 D' U2 R' F R2 F'
F2 D' U2 R' F' R2 F'
F2 D' U2 R' F2 R2 F'
L2 F2 L B U R' U
F2 D' U2 R2 D R' F'
F2 D' U2 R2 D' R' F'
F2 D' U2 R2 D2 R' F'
F2 D' U2 R2 F R' F'
F2 D' U2 R2 F' R' F'
F2 D' U2 R2 F2 R' F'
F2 D' U2 F R F' R
L2 F2 L B' U' L U'
F2 D' U2 B R F' B'
F2 D' U2 B R B' F'
F2 D' U2 B2 R F' B2
F2 D' U2 B2 R B2 F'
L F2 L D L B' U2
L2 F2 L2 D L' U2 F
F D' F L U2 R F'
L F2 L' D L' U2 F
F D' F L' U2 R F'
D' F2 R D' F' B2 L
D' F2 R D' B2 L F'
F D' F L2 U2 R F'
D' F2 R D' B2 F' L
L' F2 R D' R' B U2
D' F2 R F' D' B2 L
F D' F U2 R D F'
F D' F U2 R D' F'
F D' F U2 R D2 F'
F D' F U2 R F' D
F D' F U2 R F' D'
F D' F U2 R F' D2
F D' F B U2 R F'
F D' F B' U2 R F'
F D' F B2 U2 R F'
L' F2 R' D' R U2 F'
L F2 L2 B U R' U
L F2 L2 B' U' L U'
F2 D' B L U2 R F'
F2 D' B L' U2 R F'
F2 D' B L2 U2 R F'
F2 D' B U2 R D F'
F2 D' B U2 R D' F'
F2 D' B U2 R D2 F'
F2 D' B U2 R F' D
F2 D' B U2 R F' D'
F2 D' B U2 R F' D2
F2 D' B' L U2 R F'
D' F2 U L2 U R F'
F2 D' B' L' U2 R F'
F2 D' B' L2 U2 R F'
F2 D' B' U2 R D F'
F2 D' B' U2 R D' F'
F2 D' B' U2 R D2 F'
F2 D' B' U2 R F' D
F2 D' B' U2 R F' D'
F2 D' B' U2 R F' D2
L' F2 U D' R U F'
L' F2 U B R' B' U
F2 D' B2 L U2 R F'
F2 D' B2 L' U2 R F'
F2 D' B2 L2 U2 R F'
F D' B F U2 R F'
L' F2 U' D L' U' F
F2 D' B2 U2 R D F'
F2 D' B2 U2 R D' F'
F2 D' B2 U2 R D2 F'
F2 D' B2 U2 R F' D
F2 D' B2 U2 R F' D'
F2 D' B2 U2 R F' D2
L2 F2 U B2 U R' F'
R' F2 U2 L' D' R F'
L' F2 U' B' L B U'
R' F2 U2 R D L' F
L' F2 U2 L D L' F
F D' B' F U2 R F'
D' F2 U2 R D' F' B2
D' F2 U2 R D' B2 F'
D' F2 U2 R F' D' B2
R' F2 U2 D L' R F
R' F2 U2 D R L' F
R' F2 U2 D' L' R F'
R' F2 U2 D' R L' F'
F2 D2 L U2 D R F'
L' F2 U2 R' D' R F'
F2 D2 L D U2 R F'
L' F2 U2 D L' F L
L' F2 U2 D' R F' R'
B' D2 L' U' L2 U' B2
B' D2 L' U2 B2 D F2
D2 F2 U2 B2 D' R F'
L' F2 D L B' L' U2
F D' B2 F U2 R F'
F2 D2 L' U2 D R F'
R' F2 D U2 L' R F
R' F2 D U2 R L' F
F2 D2 L' D U2 R F'
L' F2 D U' L' U' F
L' F2 D U2 L' F L
L2 F2 D L D B' U2
L2 F2 D L D' B' U2
L2 F2 D L D2 B' U2
L2 F2 D L B' U2 D
L2 F2 D L B' U2 D'
L2 F2 D L B' U2 D2
L2 F2 D L B' D U2
L2 F2 D L B' D' U2
L2 F2 D L B' D2 U2
B D2 L' U R' U B2
F2 D2 L2 U2 D R F'
R' F2 D' U2 L' R F'
R' F2 D' U2 R L' F'
U F2 U2 D' L2 R F'
F2 D2 L2 D U2 R F'
U F2 U2 D' R L2 F'
L' F2 D' R' B R U2
U F2 U2 D' R F' L2
L' F2 D' U R U F'
L' F2 D' U2 R F' R'
U F2 D' R F' L2 B'
U F2 D' U2 L2 R F'
U F2 D' U2 R L2 F'
U F2 D' U2 R F' L2
L' F2 B U R' U D
L' F2 B U R' U D'
L' F2 B U R' U D2
L' F2 B U R' D U
L' F2 B U R' D' U
L' F2 B U R' D2 U
L' F2 B U D R' U
L' F2 B U D' R' U
L' F2 B U D2 R' U
R F2 D' R' U2 R2 F'
R F2 D' R' B U2 R2
L' F2 B D U R' U
L' F2 B D' U R' U
L' F2 B D2 U R' U
L' F2 B' U' L U' D
L' F2 B' U' L U' D'
L' F2 B' U' L U' D2
L' F2 B' U' L D U'
L' F2 B' U' L D' U'
L' F2 B' U' L D2 U'
L' F2 B' U' D L U'
L' F2 B' U' D' L U'
L' F2 B' U' D2 L U'
L' F2 B' D U' L U'
L' F2 B' D' U' L U'
L' F2 B' D2 U' L U'
L2 F2 B' U' L F U'
L F2 B L2 U R' U
L' F2 B2 U R' U F'
L' F2 B2 U' L U' F
L F2 B' L2 U' L' U'
D B L' U' R2 U' F
D B L' U2 D F B2
D B L' U2 D B2 F
D B L' U2 F D B2
D B L' D U2 F B2
D B L' D U2 B2 F
D B L' D' F2 U2 F'
F D2 F U' L' U' R
L B L2 F2 U R' U
F2 D2 B U2 D R F'
F2 D2 B D U2 R F'
U B R' U' L' F2 U2
U B R' U' F2 U2 R
L' B U R' U D2 B2
L' B U R' U' F2 U2
L' B U R' D' L2 U
L' B U R' D2 U B2
L' B U D' L2 R' U
F2 D2 B' U2 D R F'
L' B U D' R' L2 U
L' B U D2 R' U B2
F2 D2 B' D U2 R F'
F2 D2 B2 U2 D R F'
F2 D2 B2 D U2 R F'
F2 B L U R' U R2
F2 B L U2 R D' F2
F2 B L' U R' U R2
F2 B L' U2 R D' F2
D2 B D' L' U2 F B
D2 B D' L' U2 B F
F2 B L2 U R' U R2
F2 B L2 U2 R D' F2
L' B D' U L2 R' U
L' B D' U R' L2 U
L' B D2 U R' U B2
L' B F2 U R' U D
L' B F2 U R' U D'
L' B F2 U R' U D2
L' B F2 U R' D U
L' B F2 U R' D' U
L' B F2 U R' D2 U
L' B F2 U D R' U
L' B F2 U D' R' U
L' B F2 U D2 R' U
F2 B U R' U R2 D
F2 B U R' U R2 D'
F2 B U R' U R2 D2
F2 B U R' D B2 U
F2 B U R' B U R2
F2 B U R' B' U R2
F2 B U R' B2 U R2
L' B F2 D U R' U
F2 B U D R' U R2
L' B F2 D' U R' U
F2 B U D' R' U R2
F2 B U D2 R' U R2
L' B F2 D2 U R' U
L B F2 L2 U R' U
F2 B U2 R U' R2 U
F2 B U2 R D' F2 D
F2 B U2 R D' F2 D'
F2 B U2 R D' F2 D2
F2 B U2 R F D' F2
F2 B U2 R F' D' F2
F2 B U2 R F2 D' F2
F2 B U2 D R D' F2
F2 B U2 D' R D' F2
F2 B U2 D2 R D' F2
D B' L' U' R2 U' F
D B' L' U2 D F B2
D B' L' U2 D B2 F
D B' L' U2 F D B2
D B' L' D U2 F B2
D B' L' D U2 B2 F
D B' L' D' F2 U2 F'
F2 B D U R' U R2
F2 B D U2 R D' F2
F2 B D' U R' U R2
F2 B D' U2 R D' F2
L B' L2 F2 U R U
F2 B D2 U R' U R2
F2 B D2 U2 R D' F2
F2 B' L' U' L2 U' R
F2 B' L' U2 R D F2
F2 B' L' U2 D R F2
F2 B' L' D U2 R F2
F2 B' L' D' B2 U2 R
L' B' U' L U F2 U2
L' B' U' L U' D2 B2
L' B' U' L D R2 U'
L' B' U' L D2 U' B2
L' B' U' D L R2 U'
L' B' U' D R2 L U'
L' B' U' D2 L U' B2
F2 B' L2 U' L' U' R
L' B' D U' L R2 U'
L' B' D U' R2 L U'
L' B' D2 U' L U' B2
F2 B' U B2 R' U R2
F2 B' U' L U' R D
F2 B' U' L U' R D'
F2 B' U' L U' R D2
F2 B' U' L U' D R
F2 B' U' L U' D' R
F2 B' U' L U' D2 R
F2 B' U' L D U' R
F2 B' U' L D' U' R
F2 B' U' L D2 U' R
F2 B' U' D L U' R
F2 B' U' D' L U' R
F2 B' U' D2 L U' R
F2 B' U2 R U L U'
L' B' F2 U' L U' D
L' B' F2 U' L U' D'
L' B' F2 U' L U' D2
L' B' F2 U' L D U'
L' B' F2 U' L D' U'
L' B' F2 U' L D2 U'
L' B' F2 U' D L U'
L' B' F2 U' D' L U'
L' B' F2 U' D2 L U'
L' B' F2 D U' L U'
L' B' F2 D' U' L U'
L' B' F2 D2 U' L U'
L2 B' F2 U' L F U'
F2 B' D U' L U' R
L B' F2 L2 U' L' U'
F2 B' D' U' L U' R
F2 B' D2 U' L U' R
D B2 L' U' R2 U' F
D B2 L' U2 D F B2
D B2 L' U2 D B2 F
D B2 L' U2 F D B2
