B' D L2 F R F'
B' D F L2 R F'
B' D F R L2 F'
B' D F R F' L2
B F L' U' R B2
B F L' U' B2 R
F B L' U' R B2
F B L' U' B2 R
B' D' F D2 R F' L2
F D' B L' U' R B2
F D' B L' U' B2 R
U2 F2 B U' B2 R' F'
U B L F L' U' B2
F2 D2 B U' R' F' B2
F2 D2 B U' R' B2 F'
F D2 B L' U' R B2
F D2 B L' U' B2 R
B' F L R D L2 F2
B' F L R D F2 L2
B' F L D L2 R F2
B' F L D R L2 F2
B' F L D R F2 L2
B' F L' B2 U' R B2
B' F L' B2 U' B2 R
B F L' R' U' R2 B2
B F L' R' U' B2 R2
B F L' R2 U' R' B2
B F L' U' R B2 D
B F L' U' R B2 D'
B F L' U' R B2 D2
B F L' U' R' B2 R2
B F L' U' B' R B'
B F L' U' B2 R D
B F L' U' B2 R D'
B F L' U' B2 R D2
B F L' U' B2 D R
B F L' U' B2 D' R
B F L' U' B2 D2 R
B F L' D' R2 U' R'
B' F R L D L2 F2
B' F R L D F2 L2
F B L' R' U' R2 B2
F B L' R' U' B2 R2
F B L' R2 U' R' B2
B' F R U L' B2 U'
B' F R U B2 L' U'
F B L' U' R B2 D
F B L' U' R B2 D'
F B L' U' R B2 D2
F B L' U' R' B2 R2
F B L' U' B' R B'
F B L' U' B2 R D
F B L' U' B2 R D'
F B L' U' B2 R D2
F B L' U' B2 D R
F B L' U' B2 D' R
F B L' U' B2 D2 R
F B L' D' R2 U' R'
B F R' L' U' R2 B2
B F R' L' U' B2 R2
F B R' L' U' R2 B2
F B R' L' U' B2 R2
B' F U L' B2 U' R
B F R2 L' U' R' B2
D B F U' R F' B2
D B F U' R B2 F'
D B F U' B2 R F'
L B F L' U' R B'
L B F L' U' B' R
B' F U B2 L' U' R
F B R2 L' U' R' B2
D' B' L D L2 F R
U2 B F2 U' B2 R' F'
F2 B U' R' F' R B2
F2 B U' R' F' B2 R
F2 B U' R' B2 F' R
D' B' L' D F L2 R
D' B' L' D F R L2
F2 B U' B2 R' F' R
D' B' L' F R D L2
D' B' L' F D L2 R
D' B' L' F D R L2
B F D' L' R2 U' R'
B F D' R2 L' U' R'
F B D' L' R2 U' R'
F B D' R2 L' U' R'
D2 B' U L F B2 U'
D2 B' U L B2 F U'
U2 B' R2 D L2 R F'
U2 B' R2 D R L2 F'
U2 B' R2 D R F' L2
F B' L R D L2 F2
F B' L R D F2 L2
F B' L D L2 R F2
F B' L D R L2 F2
F B' L D R F2 L2
F B' L' B2 U' R B2
F B' L' B2 U' B2 R
R2 B' U' F' R B U
U2 B' D L2 R F' R2
F B' R L D L2 F2
F B' R L D F2 L2
U2 B' D R L2 F' R2
U2 B' D R F' L2 R2
U2 B' D R F' R2 L2
F B' R U L' B2 U'
F B' R U B2 L' U'
R B' D' L' F L' R
R B' D' L' F R L'
F B' U L' B2 U' R
R B' D' F L' R F
R B' D' F R L' F
D B' F R D L2 F'
D B' F R D F' L2
D B' F R F' D L2
F B' U B2 L' U' R
B F2 U' R' F' R B2
B F2 U' R' F' B2 R
B F2 U' R' B2 F' R
B F2 U' B2 R' F' R
