B L U R' D2 L2
B L U' R U2 R2
B L F2 U L' R'
B L F2 U R' L'
U' R U2 R B R'
U R2 B R' B L
F2 U L' R B R'
F2 U R L' B R'
F2 U R B L' R'
F2 U R B R' L'
F2 B L U L2 R'
F2 B L U R' L2
B F2 L U L2 R'
B F2 L U R' L2
F2 U R L' B D R'
F2 U R L' B D' R'
F2 U R L' B D2 R'
F2 U R B L' R' D
F2 U R B L' R' D'
F2 U R B L' R' D2
F2 U R B L' D R'
F2 U R B L' D' R'
F2 U R B L' D2 R'
F2 U R B R' L' D
F2 U R B R' L' D'
F2 U R B R' L' D2
F2 U R B R' D L'
F2 U R B R' D' L'
F2 U R B R' D2 L'
F2 U R B D L' R'
F2 U R B D R' L'
F2 U R B D' L' R'
F2 U R B D' R' L'
F2 U R B D2 L' R'
F2 U R B D2 R' L'
F2 U R2 L' B R' B
F2 U R2 B L' R' B
F2 U R2 B R' L' B
F2 U R2 B R' B L'
F2 U B L' R B R2
D2 U' L R F L' U2
F2 U B R L' B R2
F2 U B R B L' R2
F2 U B R B R2 L'
B' U' L R U' R2 U'
B' U' L R U2 D B2
B' U' L R D U2 B2
B' U' L R D' F2 U2
D2 U' R L F L' U2
D2 U' R F L' U2 B'
D2 U' R F' U2 R B
B' U' R L U' R2 U'
B' U' R L U2 D B2
B' U' R L D U2 B2
B' U' R L D' F2 U2
B' U' R U2 D B2 R'
B' U' R D L U2 B2
B' U' R D U2 B2 R'
B' U' R D' L F2 U2
B' U' R D' F2 L U2
B U' R U L U R2
D2 U' F' U2 R B L
U' D2 L R F L' U2
U' D2 R L F L' U2
U' D2 R F L' U2 B'
U' D2 R F' U2 R B
U' D2 F' U2 R B L
B' U2 R' U L R2 U2
B' U2 R' U R2 L U2
B' U2 R' D B2 U' R'
B D L U R' D2 L2
B D L U' R U2 R2
B D L F2 U L' R'
B D L F2 U R' L'
B D F2 L U L2 R'
B D F2 L U R' L2
F2 D B L B' U L2
U' F' U2 R B L R'
U' F' U2 R B R' L
B D' L U R' D2 L2
B D' L U' R U2 R2
B D' L F2 U L' R'
B D' L F2 U R' L'
U F2 L' R F2 B R'
U F2 L' R B R' F2
U F2 L' R B F2 R'
U F2 L' F2 R B R'
B D' F2 L U L2 R'
B D' F2 L U R' L2
U F2 R L' F2 B R'
U F2 R L' B R' F2
U F2 R L' B F2 R'
U F2 R B L' R' F2
U F2 R B L' F2 R'
U F2 R B R' L' F2
L' F2 U L' R B R'
L' F2 U R L' B R'
L' F2 U R B L' R'
L' F2 U R B R' L'
L2 F2 U L' R B R'
L2 F2 U R L' B R'
L2 F2 U R B L' R'
L2 F2 U R B R' L'
U' F2 U2 L' R B R'
U' F2 U2 R L' B R'
U' F2 U2 R B L' R'
U' F2 U2 R B R' L'
L F2 U L' R B R'
L F2 U R L' B R'
L F2 U R B L' R'
L F2 U R B R' L'
B D2 L U R' D2 L2
B D2 L U' R U2 R2
B D2 L F2 U L' R'
B D2 L F2 U R' L'
L' F2 B L U L2 R'
L' F2 B L U R' L2
L2 F2 B L U L2 R'
L2 F2 B L U R' L2
D F2 B L B' U L2
L F2 B L U L2 R'
L F2 B L U R' L2
L' B L U R' D2 L2
L' B L U' R U2 R2
L' B L F2 U L' R'
L' B L F2 U R' L'
L2 B L U R' D2 L2
L2 B L U' R U2 R2
L2 B L F2 U L' R'
L2 B L F2 U R' L'
L B L U R' D2 L2
D B L F2 B' U L'
L B L U' R U2 R2
D B L B' U' R U2
D B L B' F2 U L'
L B L F2 U L' R'
L B L F2 U R' L'
F' D2 F' U L' R B
F' D2 F' U R L' B
F' D2 F' U R B L'
B D2 F2 L U L2 R'
B D2 F2 L U R' L2
U B R B R2 D2 L2
U B R' U2 R2 U2 B
U B R' U2 F' R2 U2
F2 B L U L2 R' D
F2 B L U L2 R' D'
F2 B L U L2 R' D2
F2 B L U L2 D R'
F2 B L U L2 D' R'
F2 B L U L2 D2 R'
F2 B L U R' L2 D
F2 B L U R' L2 D'
F2 B L U R' L2 D2
F' B L F' U L' R'
F' B L F' U R' L'
F2 B L D F2 U R'
F2 B L F U L2 R'
F2 B L F U R' L2
F2 B L F' U L2 R'
F2 B L F' U R' L2
F2 B L F2 U L2 R'
F2 B L F2 U R' L2
B F L F U L' R'
B F L F U R' L'
F B L F U L' R'
F B L F U R' L'
L' B F2 L U L2 R'
L' B F2 L U R' L2
F2 B U L' R' D' B2
F2 B U L' D' R' B2
F2 B U R' L' D' B2
L2 B F2 L U L2 R'
L2 B F2 L U R' L2
U' B' L B R F U2
D B F2 L B' U L2
L B F2 L U L2 R'
L B F2 L U R' L2
F2 B D L U L2 R'
F2 B D L U R' L2
F2 B D' L U L2 R'
F2 B D' L U R' L2
F2 B D2 L U L2 R'
F2 B D2 L U R' L2
U2 B' U L R F U2
U2 B' U R L F U2
B F' L F' U L' R'
B F' L F' U R' L'
U B' R2 B2 L R' B
U B' R2 B2 R' L B
U B' U2 L R F U2
U B' U2 R L F U2
B F2 L U L2 R' D
B F2 L U L2 R' D'
B F2 L U L2 R' D2
B F2 L U L2 D R'
B F2 L U L2 D' R'
B F2 L U L2 D2 R'
B F2 L U R' L2 D
B F2 L U R' L2 D'
B F2 L U R' L2 D2
B F2 L D F2 U R'
B F2 L F U L2 R'
B F2 L F U R' L2
B F2 L F' U L2 R'
B F2 L F' U R' L2
B F2 L F2 U L2 R'
B F2 L F2 U R' L2
B F2 U L' R' D' B2
B F2 U L' D' R' B2
B F2 U R' L' D' B2
U' B2 D2 F2 L' B' R'
B F2 D L U L2 R'
B F2 D L U R' L2
B F2 D' L U L2 R'
B F2 D' L U R' L2
B F2 D2 L U L2 R'
B F2 D2 L U R' L2
