R' L B' U' R F
L R' B' U' R F
L U R' B' U' F
U R' B L B' U'
D2 U R' B L U'
D2 U R' B L U'
U D2 R' B L U'
L F U R' B' U'
B' D L F B' L'
B' D L B' F L'
U B L B' R' U'
D' B' D L F B'
D' B' D L B' F
D' B' D F L F B'
D' B' D F L B' F
D' B' D F' L F B'
D' B' D F' L B' F
D2 B' D B' L F B'
D2 B' D B' L B' F
D' B' D F2 L F B'
D' B' D F2 L B' F
D' B' F D L F B'
D' B' F D L B' F
D' B' F' D L F B'
D' B' F' D L B' F
B' F' D L F B' L'
B' F' D L B' F L'
F' B' D L F B' L'
F' B' D L B' F L'
D' B' F2 D L F B'
D' B' F2 D L B' F
F2 B' D L F B' L'
F2 B' D L B' F L'
R' B2 L B' U' R F
F B' D L F B' L'
F B' D L B' F L'
D' B2 U' L F R U
B' F2 D L F B' L'
B' F2 D L B' F L'
