D F2 R B L
F2 R D F2 B L
F2 R D B L F2
F2 R D B F2 L
L' U' L' B' R' U'
D R F2 B L R
D R F2 B R L
F2 R B D L F2
F2 R B D F2 L
D R B F2 L R
D R B F2 R L
R D F2 B L R
R D F2 B R L
R D B F2 L R
R D B F2 R L
F2 D R F2 B L
F2 D R B L F2
F2 D R B F2 L
B D F2 L R B
B D F2 R L B
D F2 L R B L
D F2 L' R B L
D F2 L2 R B L
D F2 R L B L
D F2 R L' B L
D F2 R L2 B L
D F2 R D B L
D F2 R D' B L
D F2 R D2 B L
D F2 R B L D
D F2 R B L D'
D F2 R B L D2
D F2 R B D L
D F2 R B D' L
D F2 R B D2 L
D F2 D R B L
D F2 D' R B L
D F2 D2 R B L
D F2 B L R B
D F2 B R L B
R B D F2 L R
R B D F2 R L
D B F2 L R B
D B F2 R L B
F2 D R B L' F2 L2
F2 D R B F' L F'
F2 D R B F2 L D
F2 D R B F2 L D'
F2 D R B F2 L D2
F2 D R B F2 D L
F2 D R B F2 D' L
F2 D R B F2 D2 L
D F D' F R B L
B' D R' F' U2 F' R
B D R F2 L B R
D F D2 F R B L
F2 D R2 F2 R' B L
D F' L F' R B L
D F' L' F' R B L
F D F R F B L
F D F R B F L
B' D F2 R D2 L2 B
B' D F2 R D2 B L2
B' D F2 R B D2 L2
B D F' L F' R B
D F' L2 F' R B L
B' D F2 B R B L
B' D F2 B2 L R B
B' D F2 B2 R L B
B D F2 L R D B
B D F2 L R D' B
B D F2 L R D2 B
B D F2 L R B D
B D F2 L R B D'
B D F2 L R B D2
B D F2 L D R B
B D F2 L D' R B
B D F2 L D2 R B
B D F2 L B R B
B D F2 L B' R B
B D F2 L B2 R B
B D F2 L' R B L2
B D F2 L2 R B L'
F2 D B L R F2 B
F2 D B L R B F2
B D F2 R L D B
B D F2 R L D' B
B D F2 R L D2 B
B D F2 R L B D
B D F2 R L B D'
B D F2 R L B D2
B D F2 R L' B L2
B D F2 R L2 B L'
B D F2 R D L B
B D F2 R D' L B
B D F2 R D2 L B
F2 D B R L F2 B
F2 D B R L B F2
F2 D B R F2 L B
B' D B F2 R B L
B D F2 D L R B
B D F2 D R L B
B D F2 D' L R B
B D F2 D' R L B
B D F2 D2 L R B
B D F2 D2 R L B
B D F2 B' R B L
B' D B2 F2 L R B
B' D B2 F2 R L B
B D B' F2 R B L
B' D' L' R' F' B2 U2
B' D' L' R' B2 F' U2
D F' U2 F' L' R B'
D F' U2 F' L' B' R
D F' U2 F' R L' B'
B' D' R' L' F' B2 U2
B' D' R' L' B2 F' U2
F2 D' R D2 F2 B L
F2 D' R D2 B L F2
F2 D' R D2 B F2 L
B' D' R' B2 L' F' U2
D F' B L F' R B
D F2 L R D B L
D F2 L R D' B L
D F2 L R D2 B L
D F2 L R B L D
D F2 L R B L D'
D F2 L R B L D2
D F2 L R B D L
D F2 L R B D' L
D F2 L R B D2 L
D F2 L D R B L
D F2 L D' R B L
D F2 L D2 R B L
D F2 L B L R B
D F2 L B R L B
D F2 L' R D B L
D F2 L' R D' B L
D F2 L' R D2 B L
D F2 L' R B L D
D F2 L' R B L D'
D F2 L' R B L D2
D F2 L' R B D L
D F2 L' R B D' L
D F2 L' R B D2 L
D F2 L' D R B L
D F2 L' D' R B L
D F2 L' D2 R B L
D F2 L' B L R B
D F2 L' B R L B
D F2 L2 R D B L
D F2 L2 R D' B L
D F2 L2 R D2 B L
D F2 L2 R B L D
D F2 L2 R B L D'
D F2 L2 R B L D2
D F2 L2 R B D L
D F2 L2 R B D' L
D F2 L2 R B D2 L
D' F2 R D2 F2 B L
D' F2 R D2 B L F2
D' F2 R D2 B F2 L
D F2 L2 D R B L
D F2 L2 D' R B L
D F2 L2 D2 R B L
D F2 L2 B L R B
D F2 L2 B R L B
D F2 R L D B L
D F2 R L D' B L
D F2 R L D2 B L
D F2 R L B L D
D F2 R L B L D'
D F2 R L B L D2
D F2 R L B D L
D F2 R L B D' L
D F2 R L B D2 L
D F2 R L' D B L
D F2 R L' D' B L
D F2 R L' D2 B L
D F2 R L' B L D
D F2 R L' B L D'
D F2 R L' B L D2
D F2 R L' B D L
D F2 R L' B D' L
D F2 R L' B D2 L
D F2 R L2 D B L
D F2 R L2 D' B L
D F2 R L2 D2 B L
D F2 R L2 B L D
D F2 R L2 B L D'
D F2 R L2 B L D2
D F2 R L2 B D L
D F2 R L2 B D' L
D F2 R L2 B D2 L
D F2 R D L B L
D F2 R D L' B L
D F2 R D L2 B L
D F2 R D B L D
D F2 R D B L D'
D F2 R D B L D2
D F2 R D B D L
D F2 R D B D' L
D F2 R D B D2 L
D F2 R D' L B L
D F2 R D' L' B L
D F2 R D' L2 B L
D F2 R D' B L D
D F2 R D' B L D'
D F2 R D' B L D2
D F2 R D' B D L
D F2 R D' B D' L
D F2 R D' B D2 L
D F2 R D2 L B L
D F2 R D2 L' B L
D F2 R D2 L2 B L
D F2 R D2 B L D
D F2 R D2 B L D'
D F2 R D2 B L D2
D F2 R D2 B D L
D F2 R D2 B D' L
D F2 R D2 B D2 L
D F2 R F B L F'
D F2 R F2 B L F2
D F2 R B L2 D L'
D F2 R B L2 D' L'
D F2 R B L2 D2 L'
D F2 R B D L D
D F2 R B D L D'
D F2 R B D L D2
D F2 R B D' L D
D F2 R B D' L D'
D F2 R B D' L D2
D F2 R B D2 L D
D F2 R B D2 L D'
D F2 R B D2 L D2
D F2 R B F L F'
D F2 R B F2 L F2
D F2 R B' L B2 L
D F2 R B' L' B2 L
D F2 R B' L2 B2 L
D F2 R' B L R2 B
D F2 R' B R2 L B
B D' B2 L' R' F' U2
B D' B2 R' L' F' U2
D2 F2 D' R F2 B L
D2 F2 D' R B L F2
D2 F2 D' R B F2 L
D F2 D L R B L
D F2 D L' R B L
D F2 D L2 R B L
D F2 D R L B L
D F2 D R L' B L
D F2 D R L2 B L
D F2 D R D B L
D F2 D R D' B L
D F2 D R D2 B L
D F2 D R B L D
D F2 D R B L D'
D F2 D R B L D2
D F2 D R B D L
D F2 D R B D' L
D F2 D R B D2 L
D F2 D B L R B
D F2 D B R L B
D' F2 D2 R F2 B L
D' F2 D2 R B L F2
D' F2 D2 R B F2 L
D F2 D' L R B L
D F2 D' L' R B L
D F2 D' L2 R B L
D F2 D' R L B L
D F2 D' R L' B L
D F2 D' R L2 B L
D F2 D' R D B L
D F2 D' R D' B L
D F2 D' R D2 B L
D F2 D' R B L D
D F2 D' R B L D'
D F2 D' R B L D2
D F2 D' R B D L
D F2 D' R B D' L
D F2 D' R B D2 L
R F2 D B L R F2
R F2 D B R L F2
R F2 D B R F2 L
D F2 D' B L R B
D F2 D' B R L B
D F2 D2 L R B L
D F2 D2 L' R B L
D F2 D2 L2 R B L
D F2 D2 R L B L
D F2 D2 R L' B L
D F2 D2 R L2 B L
D F2 D2 R D B L
D F2 D2 R D' B L
D F2 D2 R D2 B L
D F2 D2 R B L D
D F2 D2 R B L D'
D F2 D2 R B L D2
D F2 D2 R B D L
D F2 D2 R B D' L
D F2 D2 R B D2 L
D F2 D2 B L R B
D F2 D2 B R L B
D F2 B L R D B
D F2 B L R D' B
D F2 B L R D2 B
D F2 B L R B D
D F2 B L R B D'
D F2 B L R B D2
D F2 B L D R B
D F2 B L D' R B
D F2 B L D2 R B
D F2 B L B R B
D F2 B L B' R B
D F2 B L B2 R B
D F2 B L' R B L2
D F2 B L2 R B L'
D F2 B R L D B
D F2 B R L D' B
D F2 B R L D2 B
D F2 B R L B D
D F2 B R L B D'
D F2 B R L B D2
D F2 B R L' B L2
D F2 B R L2 B L'
D F2 B R D L B
D F2 B R D' L B
D F2 B R D2 L B
D F2 B D L R B
D F2 B D R L B
D F2 B D' L R B
D F2 B D' R L B
D F2 B D2 L R B
D F2 B D2 R L B
D F2 B' R D2 L2 B
D F2 B' R D2 B L2
D F2 B' R B D2 L2
R F2 B R D L F2
R F2 B R D F2 L
L' B L D F2 R B
R F2 B D L R F2
R F2 B D R L F2
R F2 B D R F2 L
D F2 B2 R B' L B2
L2 B R U' L B R'
D B R F2 L B R
R B R D F2 L R
R B R D F2 R L
R B R' D F2 L R
R B R' D F2 R L
R B R2 D F2 L R
R B R2 D F2 R L
D2 B D' F2 L R B
D2 B D' F2 R L B
F2 B R D L F2 B
F2 B R D L B F2
F2 B R D F2 L B
R B D L F2 D2 R2
R B D R F2 L R
R B D R F2 R L
R B D R' F2 L R
R B D R' F2 R L
R B D R2 F2 L R
R B D R2 F2 R L
R B D F' L F' R
R B D F2 L R D
R B D F2 L R D'
R B D F2 L R D2
R B D F2 L D R
R B D F2 L D' R
R B D F2 L D2 R
R B D F2 R L D
R B D F2 R L D'
R B D F2 R L D2
R B D F2 R D L
R B D F2 R D' L
R B D F2 R D2 L
R B D F2 D L R
R B D F2 D R L
R B D F2 D' L R
R B D F2 D' R L
R B D F2 D2 L R
R B D F2 D2 R L
R B D' L D2 R2 F2
R B D' L D2 F2 R2
D B F' L F' R B
D B F2 L R D B
D B F2 L R D' B
D B F2 L R D2 B
D B F2 L R B D
D B F2 L R B D'
D B F2 L R B D2
D B F2 L D R B
D B F2 L D' R B
D B F2 L D2 R B
D B F2 L B R B
D B F2 L B' R B
D B F2 L B2 R B
D B F2 L' R B L2
D B F2 L2 R B L'
D B F2 R L D B
D B F2 R L D' B
D B F2 R L D2 B
D B F2 R L B D
D B F2 R L B D'
D B F2 R L B D2
D B F2 R L' B L2
D B F2 R L2 B L'
D B F2 R D L B
D B F2 R D' L B
D B F2 R D2 L B
D B F2 D L R B
D B F2 D R L B
D B F2 D' L R B
D B F2 D' R L B
D B F2 D2 L R B
D B F2 D2 R L B
R B F2 R D L F2
R B F2 R D F2 L
R B F2 D L R F2
R B F2 D R L F2
R B F2 D R F2 L
F2 B D L R F2 B
F2 B D L R B F2
D B' L' R' F' U2 F'
F2 B D R L F2 B
F2 B D R L B F2
F2 B D R F2 L B
D' B' R' B' L' F' U2
R B' L2 U' B2 L R'
R B' L2 U' B2 R' L
D B' R' L' F' U2 F'
D B' R' F' U2 F' R
D B' F2 R D2 L2 B
D B' F2 R D2 B L2
D B' F2 R B D2 L2
D' B2 L' U2 L' B' L
B F2 R D L F2 B
B F2 R D L B F2
B F2 R D F2 L B
B F2 D L R F2 B
B F2 D L R B F2
B F2 D R L F2 B
B F2 D R L B F2
B F2 D R F2 L B
D B2 F2 R B' L B2
