U' L2 R F B R'
U' L2 R B R' F
U' L2 R B F R'
U' L2 F R B R'
U' R L2 F B R'
U' R L2 B R' F
U' R L2 B F R'
L2 F B R' D B2
L2 B F R' D B2
U B' L F U2 L
U' F' L2 R B R' F
U' F' L2 R B F R'
U' F' L2 F R B R'
U' F' R L2 F B R'
U' F' R L2 B R' F
U' F' R L2 B F R'
U F' B' L F U2 L
U' F2 L2 R F B R'
U' F2 L2 R B R' F
U' F2 L2 R B F R'
U' F2 L2 F R B R'
U' F2 R L2 F B R'
U' F2 R L2 B R' F
U' F2 R L2 B F R'
L2 F2 B D F' R' B
U F2 B' L F U2 L
U' B L2 R B R2 F'
L' B L' F R' D B2
U' B R L2 B R2 F'
U' B R B L2 R2 F'
U' B R B R2 L2 F'
U' B R B R2 F' L2
U B L2 D2 R' F2 B
U B L2 D2 R' B F2
U B L2 D2 F2 R' B
L2 B R' F U R U'
L' B U L' R' F B'
L' B U L' R' B' F
L' B U L' F R' B'
L' B U R' L' F B'
L' B U R' L' B' F
B' F L U' R U' L
L2 B D F R' D B2
L2 B D' F R' D B2
L2 B D2 F R' D B2
L2 B F R' U R2 U'
L2 B F R' D B2 D
L2 B F R' D B2 D'
L2 B F R' D B2 D2
L2 B F R' B D B2
L2 B F R' B' D B2
L2 B F R' B2 D B2
L2 B F U R U' R2
L2 B F D R' D B2
L2 B F D' R' D B2
L2 B F D2 R' D B2
U' B' L R U2 L B
U' B' L R' F' U2 L
U' B' L U2 L' B' L2
L2 B F2 D F' R' B
U2 B' L U' R' U' L
U B' L R F U2 L
U B' L R' F U2 L
U B' L R2 F U2 L
U B' L U2 L2 B' L'
U B' L D F U2 L
U B' L D' F U2 L
U' B' R L U2 L B
U B' L D2 F U2 L
U B' L F R U2 L
U B' L F R' U2 L
U B' L F R2 U2 L
U B' L F U2 L D
U B' L F U2 L D'
U B' L F U2 L D2
U B' L F U2 D L
U B' L F U2 D' L
U B' L F U2 D2 L
U B' L F D U2 L
U B' L F D' U2 L
U B' L F D2 U2 L
U' B' R' L F' U2 L
U' B' R' F' L U2 L
B' F' L U L2 U L'
B' F' L U2 D' L B2
U B' R L F U2 L
B' F' L D F2 U2 L
B' F' L D' U2 L B2
F' B' L U L2 U L'
F' B' L U2 D' L B2
F' B' L D F2 U2 L
F' B' L D' U2 L B2
F2 B' L U2 D' L B'
F2 B' L D' U2 L B'
U B' R' L F U2 L
U B' R2 L F U2 L
F B' L U' R U' L
L2 B' F R' D B2 R'
U B' D2 L R2 F U2
U B' D2 L F R2 U2
U B' D2 R2 L F U2
U B' F L F U2 L
U B' F' L F U2 L
U B' F2 L F U2 L
B' F2 L U2 D' L B'
B' F2 L D' U2 L B'
