B R F U' F2 B2
B R F U' B2 F2
B' R F' D L2 R2
B' R F' D R2 L2
D' F B L' U' B2
R F' D R2 B' L
R F' D B' L R2
R F' D B' R2 L
B D' R2 F L' U'
B D' F L' R2 U'
B D' F R2 L' U'
D' B F L' U' B2
B F R U' F' B2
B F R U' B2 F'
F B R U' F' B2
F B R U' B2 F'
R F' D R2 B' L D'
R F' D R2 B' L D2
R F' D R2 B' D L
R F' D R2 B' D' L
R F' D R2 B' D2 L
R F' D B' L R2 D
R F' D B' L R2 D'
R F' D B' L R2 D2
R F' D B' R2 L D
R F' D B' R2 L D'
R F' D B' R2 L D2
R F' D B' R2 D L
R F' D B' R2 D' L
R F' D B' R2 D2 L
B D' R' F L' R' U'
B D' R' F R' L' U'
B D' R2 F L' U' D
B D' R2 F L' U' D'
B D' R2 F L' U' D2
B D' R2 F L' D U'
B D' R2 F L' D' U'
B D' R2 F L' D2 U'
B D' R2 F D L' U'
B D' R2 F D' L' U'
B D' R2 F D2 L' U'
B2 D' F B' L' U' B2
B D' F L' R2 U' D
B D' F L' R2 U' D'
B D' F L' R2 U' D2
B D' F L' R2 D U'
B D' F L' R2 D' U'
B D' F L' R2 D2 U'
B D' F L' U' D B2
B D' F L' D U' B2
B D' F R2 L' U' D
B D' F R2 L' U' D'
B D' F R2 L' U' D2
B D' F R2 L' D U'
B D' F R2 L' D' U'
B D' F R2 L' D2 U'
B D' F R2 D L' U'
B D' F R2 D' L' U'
B D' F R2 D2 L' U'
B D' F D L' U' B2
B2 D' B' F L' U' B2
D2 B L' U' F R B2
D2 B L' U' F B2 R
D2 B L' U' B2 F R
U' B R F U' F2 B2
U' B R F U' B2 F2
D' B R F L' U' B2
U2 B R F U' F2 B2
U2 B R F U' B2 F2
D' B R' F L' U' B2
D' B R2 F L' U' B2
U B R F U' F2 B2
U B R F U' B2 F2
F D2 B L' U' F B2
F D2 B L' U' B2 F
B F L R U' F' B2
B F L R U' B2 F'
F B L R U' F' B2
F B L R U' B2 F'
B F L' R U' F' B2
B F L' R U' B2 F'
U' B D' R2 F L' U'
U' B D' F L' R2 U'
U' B D' F R2 L' U'
F B L' R U' F' B2
F B L' R U' B2 F'
B F L2 R U' F' B2
B F L2 R U' B2 F'
U2 B D' R2 F L' U'
B' F R B2 U' F' B2
B' F R B2 U' B2 F'
F B L2 R U' F' B2
F B L2 R U' B2 F'
U2 B D' F L' R2 U'
U2 B D' F R2 L' U'
F' B R F2 U' F B2
F' B R F2 U' B2 F
B F R L U' F' B2
B F R L U' B2 F'
U' B F R U' F' B2
U' B F R U' B2 F'
B F R L' U' F' B2
B F R L' U' B2 F'
B F R L2 U' F' B2
B F R L2 U' B2 F'
D2 B F L' U' F B2
D2 B F L' U' B2 F
D' B F L' R U' B2
D' B F L' R' U' B2
D' B F L' R2 U' B2
D' B F L' U' B2 D
D' B F L' U' B2 D'
D' B F L' U' B2 D2
D' B F L' D' R2 U'
B F R U' F' B2 D
B F R U' F' B2 D'
B F R U' F' B2 D2
B F R U' B2 D F'
B F R U' B2 D' F'
B F R U' B2 D2 F'
B F R U' B2 F' D
B F R U' B2 F' D'
B F R U' B2 F' D2
D' B F R L' U' B2
D' B F R' L' U' B2
D' B F R2 L' U' B2
F B R L U' F' B2
F B R L U' B2 F'
F B R L' U' F' B2
F B R L' U' B2 F'
F B R L2 U' F' B2
F B R L2 U' B2 F'
U B D' R2 F L' U'
F B R U' F' B2 D
F B R U' F' B2 D'
F B R U' F' B2 D2
F B R U' B2 D F'
F B R U' B2 D' F'
F B R U' B2 D2 F'
F B R U' B2 F' D
F B R U' B2 F' D'
F B R U' B2 F' D2
U B D' F L' R2 U'
D' B F D' L' R2 U'
U B D' F R2 L' U'
D' B F D' R2 L' U'
U2 B F R U' F' B2
U2 B F R U' B2 F'
B F R' U B U2 B
B F R' D' R2 U' F'
F B R' U B U2 B
F B R' D' R2 U' F'
D B F U2 R' U B2
U B F R U' F' B2
U B F R U' B2 F'
B F U' R F' R' B2
F B U' R F' R' B2
B F U' B2 R F' R'
B F U2 R U F' B2
B F U2 R U B2 F'
F B U' B2 R F' R'
F B U2 R U F' B2
F B U2 R U B2 F'
B2 F D B' L U' B2
U' B' R F' D L2 R2
U' B' R F' D R2 L2
U2 B' R F' D L2 R2
U2 B' R F' D R2 L2
U B' R F' D L2 R2
U B' R F' D R2 L2
D' B' U F L' B2 U'
D' B' U F B2 L' U'
D' B' U B2 F L' U'
D B' U F L B2 U'
B' F' R D L2 F' R2
B' F' R D F' L2 R2
B' F' R D F' R2 L2
F' B' R D L2 F' R2
F' B' R D F' L2 R2
F' B' R D F' R2 L2
B' F' R' D L2 R2 F'
B' F' R' D R2 L2 F'
B' F' R' D R2 F' L2
F' B' R' D L2 R2 F'
F' B' R' D R2 L2 F'
F' B' R' D R2 F' L2
B F' R F2 U' F B2
B F' R F2 U' B2 F
F B' R B2 U' F' B2
F B' R B2 U' B2 F'
D' B' F L' B2 U' B2
D B' F L B2 U' B2
F B2 D B' L U' B2
