U' R F U R
L' R B' U B L
R L' B' U B L
U' R D F U R
U' R D' F U R
U' R D2 F U R
U' R F U R D
U' R F U R D'
U' R F U R D2
U' R F U D R
U' R F U D' R
U' R F U D2 R
U' R F D U R
U' R F D' U R
U' R F D2 U R
U' R F B U R
U' R F B' U R
U' R F B2 U R
B R F U B' R'
R' U' R2 F U R
R2 U' R' F U R
U' R B F U R
U' R B' F U R
U' R B2 F U R
R' U' F R2 U R'
R2 U' F R' U R2
U' R' F R2 U R'
U' R2 F R' U R2
U' D R F U R
U' D' R F U R
D2 U' R F U R
D' U' R F U R
D U' R F U R
U' D2 R F U R
R F L' B' U B
U' F U D R F'
U' F D U R F'
R F B U B' R'
U' B R F U R
R B F U B' R'
U' B' R F U R
U' B2 R F U R
U' R F B2 D2 U R
B2 R F B' U B' R'
U2 R F B U' F' U2
B R F D U B' R'
B R F D' U B' R'
D R F B U B' R'
B R F D2 U B' R'
L' U' R F' B' U L'
L' U' R B' F' U L'
R2 U' R F R2 U R'
R' U' R' F R' U R2
R2 U' R' D F U R
R2 U' R' D' F U R
R2 U' R' D' F U R
R2 U' R' D2 F U R
R2 U' R' F U R D
R2 U' R' F U R D'
R2 U' R' F U R D2
R2 U' R' F U D R
R2 U' R' F U D' R
R2 U' R' F U D2 R
R2 U' R' F D U R
R2 U' R' F D' U R
R2 U' R' F D2 U R
R2 U' R' F B U R
R2 U' R' F B' U R
R2 U' R' F B2 U R
U' R B D F U R
R' U' R2 D F U R
U' R B D' F U R
D2 R B F U B' R'
D' R B F U B' R'
R' U' R2 D' F U R
U' R B D2 F U R
R2 U' R' B F U R
R' U' R2 D2 F U R
U' R B F U R D
U' R B F U R D'
U' R B F U R D2
U' R B F U D R
U' R B F U D' R
U' R B F U D2 R
U' R B F D U R
U' R B F D' U R
U' R B F D2 U R
R2 U' R' B' F U R
R' U' R2 F U R D
R' U' R2 F U R D'
R' U' R2 F U R D2
R' U' R2 F U D R
R' U' R2 F U D' R
R' U' R2 F U D2 R
R' U' R2 F D U R
R' U' R2 F D' U R
R' U' R2 F D2 U R
R' U' R2 F B U R
R' U' R2 F B' U R
R' U' R2 F B2 U R
R2 U' R' B2 F U R
R' U' R2 B F U R
U2 R B F U' F' U2
R' U' R2 B' F U R
R' U' R2 B2 F U R
D R B F U B' R'
U' R B' D F U R
U' R B' D' F U R
U' R B' D2 F U R
U' R B' F U R D
U' R B' F U R D'
U' R B' F U R D2
U' R B' F U D R
U' R B' F U D' R
U' R B' F U D2 R
U' R B' F D U R
U' R B' F D' U R
U' R B' F D2 U R
B2 R B' F U B' R'
R2 U' D R' F U R
R2 U' D F R' U R2
R' U' D' F U R F
U' R B2 D F U R
U' R B2 D' F U R
U' R B2 D2 F U R
U' R B2 F U R D
U' R B2 F U R D'
U' R B2 F U R D2
U' R B2 F U D R
U' R B2 F U D' R
U' R B2 F U D2 R
U' R B2 F D U R
U' R B2 F D' U R
U' R B2 F D2 U R
R2 U' D' R' F U R
R2 U' D' F R' U R2
R2 U' D2 R' F U R
R2 U' D2 F R' U R2
R' U' F R2 U R' D
R' U' F R2 U R' D'
R' U' F R2 U R' D2
R' U' F R2 U D R'
R' U' F R2 U D' R'
R' U' F R2 U D2 R'
R' U' F R2 D U R'
R' U' F R2 D' U R'
R' U' F R2 D2 U R'
R' U' F U D' R F2
R' U' F D' U R F2
R' U' F B R2 U R'
R' U' F B' R2 U R'
R' U' F B2 R2 U R'
R2 U' F R' U R2 D
R2 U' F R' U R2 D'
R2 U' F R' U R2 D2
R2 U' F R' D B2 U
R2 U' F R' B U R2
R2 U' F R' B' U R2
R2 U' F R' B2 U R2
R2 U' F U R D' F2
R2 U' F D R' U R2
R' U' F' R2 F2 U R
R2 U' F D' R' U R2
R2 U' F D2 R' U R2
R2 U' F' R' F2 U R
U2 R' U R2 F B U
U2 R' U R2 B F U
D2 R' U' R2 F U R
D' R' U' R2 F U R
D2 R' U' F R2 U R'
D' R' U' F R2 U R'
R' U' B R2 F U R
D R' U' R2 F U R
R' U' B F R2 U R'
D R' U' F R2 U R'
R' U' B' R2 F U R
L' U' B' R F' U L'
R' U' B' F R2 U R'
R' U' B2 R2 F U R
R' U' B2 F R2 U R'
U' R' D' F U R F
U' R' F R2 U R' D
U' R' F R2 U R' D'
U' R' F R2 U R' D2
U' R' F R2 U D R'
U' R' F R2 U D' R'
U' R' F R2 U D2 R'
U' R' F R2 D U R'
U' R' F R2 D' U R'
U' R' F R2 D2 U R'
U' R' F U D' R F2
U' R' F D' U R F2
U' R' F B R2 U R'
U' R' F B' R2 U R'
B R' F R2 U B' R'
U' R' F B2 R2 U R'
U' R' F' R2 F2 U R
U' R' B R2 F U R
U' R' B F R2 U R'
U' R' B' R2 F U R
U' R' B' F R2 U R'
U' R' B2 R2 F U R
U' R' B2 F R2 U R'
U2 R2 U R' F B U
U2 R2 U R' B F U
U2 R2 U F R' B U
D2 R2 U' R' F U R
D' R2 U' R' F U R
D2 R2 U' F R' U R2
D' R2 U' F R' U R2
D R2 U' R' F U R
D R2 U' F R' U R2
U' R2 D R' F U R
U' R2 D F R' U R2
U' R2 D' R' F U R
U' R2 D' F R' U R2
U' R2 D2 R' F U R
U' R2 D2 F R' U R2
U' R2 F R' U R2 D
U' R2 F R' U R2 D'
U' R2 F R' U R2 D2
U' R2 F R' D B2 U
U' R2 F R' B U R2
U' R2 F R' B' U R2
U' R2 F R' B2 U R2
U' R2 F U R D' F2
U' R2 F D R' U R2
U' R2 F D' R' U R2
U' R2 F D2 R' U R2
B R2 F R' U B' R'
U' R2 F' R' F2 U R
R D L' B' U B L
L' D R B' U B L
R2 D U' R' F U R
R2 D U' F R' U R2
R D F L' B' U B
R D F B U B' R'
U' D R D F U R
U' D R D' F U R
U' D R D2 F U R
U' D R F U R D
U' D R F U R D'
U' D R F U R D2
U' D R F U D R
U' D R F U D' R
U' D R F U D2 R
U' D R F D U R
U' D R F D' U R
U' D R F D2 U R
U' D R F B U R
U' D R F B' U R
U' D R F B2 U R
U' D R B F U R
U' D R B' F U R
U' D R B2 F U R
U' D R' F R2 U R'
U' D R2 F R' U R2
R D B F U B' R'
U' D F U D R F'
U' D F D U R F'
U' D B R F U R
U' D B' R F U R
R D' L' B' U B L
L' D' R B' U B L
U' D B2 R F U R
R' D' U' F U R F
R2 D' U' R' F U R
R2 D' U' F R' U R2
U' D' R D F U R
D' U' R D F U R
D' U' R D' F U R
U' D' R D' F U R
D2 U' R D F U R
D' U' R D2 F U R
U' D' R D2 F U R
D' U' R F U R D
D' U' R F U R D'
D' U' R F U R D2
D' U' R F U D R
D' U' R F U D' R
D' U' R F U D2 R
D2 U' R D' F U R
U' D' R F U R D
U' D' R F U R D'
U' D' R F U R D2
U' D' R F U D R
U' D' R F U D' R
U' D' R F U D2 R
D' U' R F D U R
D' U' R F D' U R
U' D' R F D U R
D' U' R F D2 U R
U' D' R F D' U R
U' D' R F D2 U R
D' U' R F B U R
U' D' R F B U R
D' U' R F B' U R
U' D' R F B' U R
D' U' R F B2 U R
U' D' R F B2 U R
D2 U' R D2 F U R
D2 U' R F U R D
D2 U' R F U R D'
D2 U' R F U R D2
D2 U' R F U D R
D2 U' R F U D' R
D2 U' R F U D2 R
D2 U' R F D U R
D2 U' R F D' U R
D2 U' R F D2 U R
D2 U' R F B U R
D2 U' R F B' U R
D2 U' R F B2 U R
U' D' R B F U R
D' U' R B F U R
U' D' R B' F U R
D' U' R B' F U R
D2 U' R B F U R
D' U' R B2 F U R
U' D' R B2 F U R
D2 U' R B' F U R
D2 U' R B2 F U R
U' D' R' F R2 U R'
D' U' R' F R2 U R'
D U' R D F U R
D U' R D' F U R
D2 U' R' F R2 U R'
D U' R D2 F U R
D U' R F U R D
D U' R F U R D'
D U' R F U R D2
D U' R F U D R
D U' R F U D' R
D U' R F U D2 R
D U' R F D U R
D U' R F D' U R
D U' R F D2 U R
D U' R F B U R
D U' R F B' U R
D U' R F B2 U R
D U' R B F U R
D U' R B' F U R
D U' R B2 F U R
R D' F L' B' U B
U' D' R2 F R' U R2
D' U' R2 F R' U R2
D2 U' R2 F R' U R2
D U' R' F R2 U R'
R D' F B U B' R'
D' U' F U D R F'
U' D' F U D R F'
D2 U' F U D R F'
B2 U' R F U R B2
B2 U' R F U B2 R
D' U' F D U R F'
U' D' F D U R F'
D2 U' F D U R F'
D U' R2 F R' U R2
B U' R F U R B'
B U' R F U B' R
D U' F U D R F'
D U' F D U R F'
D' U' B R F U R
U' D' B R F U R
R D' B F U B' R'
D2 U' B R F U R
U' D' B' R F U R
D' U' B' R F U R
D2 U' B' R F U R
D U' B R F U R
U' D' B2 R F U R
D' U' B2 R F U R
D2 U' B2 R F U R
D U' B' R F U R
D U' B2 R F U R
R D2 L' B' U B L
F' U' F2 R' U F' R
L' D2 R B' U B L
U' D2 R D F U R
U' D2 R D' F U R
U' D2 R D2 F U R
U' D2 R F U R D
U' D2 R F U R D'
U' D2 R F U R D2
U' D2 R F U D R
U' D2 R F U D' R
U' D2 R F U D2 R
U' D2 R F D U R
U' D2 R F D' U R
U' D2 R F D2 U R
U' D2 R F B U R
U' D2 R F B' U R
U' D2 R F B2 U R
R' D2 U L2 B' U' R'
U' D2 R B F U R
U' D2 R B' F U R
U' D2 R B2 F U R
U' D2 R' F R2 U R'
U' D2 R2 F R' U R2
R2 D2 U' R' F U R
R2 D2 U' F R' U R2
U' D2 F U D R F'
U' D2 F D U R F'
R D2 F L' B' U B
R D2 F B U B' R'
B2 U2 R F B U B
U' D2 B R F U R
B2 U2 R B F U B
B U2 R F B U B2
U' D2 B' R F U R
B U2 R B F U B2
U' D2 B2 R F U R
R D2 B F U B' R'
R' F L' R2 B' U B
R2 F L' R' B' U B
R F L' D B' U B
R F L' D' B' U B
R F L' D2 B' U B
R F L' B' L U B
R F L' B' L' U B
R F L' B' L2 U B
R F L' B' U D B
R F L' B' U D' B
R F L' B' U D2 B
R F L' B' U B D
R F L' B' U B D'
R F L' B' U B D2
R F L' B' D U B
R F L' B' D' U B
R F L' B' D2 U B
R' F R2 L' B' U B
R2 F R' L' B' U B
R' F R2 B U B' R'
R2 F R' B U B' R'
U' F U D R D F'
U' F U D R D' F'
U' F U D R D2 F'
U' F U D R F' D
U' F U D R F' D'
U' F U D R F' D2
U' F D R' U R2 F'
U' F D U R D F'
U' F D U R D' F'
U' F D U R D2 F'
U' F D U R F' D
U' F D U R F' D'
U' F D U R F' D2
U' F D B U R F'
U' F D B' U R F'
U' F D B2 U R F'
R F D L' B' U B
U' F D2 B R' U R2
R F D B U B' R'
R F D' L' B' U B
U' F B U D R F'
R' F B R2 U B' R'
B D R F U B' R'
U' F B D U R F'
R F D' B U B' R'
U' F B' U D R F'
R F D2 L' B' U B
U' F B' D U R F'
R2 F B U B' R' F'
U' F B2 U D R F'
R F D2 B U B' R'
U' F B2 D U R F'
R F B U R B' R'
R F B U R' B' R'
R F B U R2 B' R'
R F B U D B' R'
R F B U D' B' R'
R F B U D2 B' R'
R F B U B' R' D
R F B U B' R' D'
R F B U B' R' D2
R F B U B' D R'
R F B U B' D' R'
R F B U B' D2 R'
R F B D U B' R'
R F B D' U B' R'
R F B D2 U B' R'
R F B' L' B' U B2
R F B' U B' R' B2
R F B2 L' B' U B'
R F B2 U B' R' B'
R F' L' F2 B' U B
R F' L' B' F2 U B
F D' L' B' U F B
F D' L' B' U B F
B D' R F U B' R'
L' F' B' U B L F
R F2 L' F' B' U B
R F2 L' B' F' U B
L2 F2 U B' L' F U'
B D2 R F U B' R'
L2 F2 B' L' F U' B
U' B R D F U R
U' B R D' F U R
U' B R D2 F U R
U' B R F U R D
U' B R F U R D'
U' B R F U R D2
U' B R F U D R
U' B R F U D' R
U' B R F U D2 R
U' B R F D U R
U' B R F D' U R
U' B R F D2 U R
U' B R F B U R
U' B R F B' U R
U' B R F B2 U R
U' B R B F U R
D2 B R F U B' R'
U' B R B' F U R
D' B R F U B' R'
U' B R B2 F U R
L' B R B2 U B L
U' B R' F R2 U R'
D B R F U B' R'
U' B R2 F R' U R2
R' B R2 F U B' R'
F D2 B R' U B' R'
U2 B U R F U R
U' B D R F U R
U' B D' R F U R
U' B D2 R F U R
U' B F U D R F'
R B D F U B' R'
R' B F R2 U B' R'
U' B F D U R F'
R B D' F U B' R'
R2 B F U B' R' F'
R B D2 F U B' R'
R B F U R B' R'
R B F U R' B' R'
R B F U R2 B' R'
R B F U D B' R'
R B F U D' B' R'
R B F U D2 B' R'
R B F U B' R' D
R B F U B' R' D'
R B F U B' R' D2
R B F U B' D R'
R B F U B' D' R'
R B F U B' D2 R'
R B F D U B' R'
R B F D' U B' R'
R B F D2 U B' R'
U' B' R D F U R
U' B' R D' F U R
U' B' R D2 F U R
U' B' R F U R D
U' B' R F U R D'
U' B' R F U R D2
U' B' R F U D R
U' B' R F U D' R
U' B' R F U D2 R
U' B' R F D U R
U' B' R F D' U R
U' B' R F D2 U R
U' B' R F B U R
U' B' R F B' U R
U' B' R F B2 U R
U' B' R B F U R
U' B' R B' F U R
U' B' R B2 F U R
U' B' R' F R2 U R'
U' B' R2 F R' U R2
U2 B' U R F U R
U' B' D R F U R
U' B' D' R F U R
U B' U2 R F U R2
U' B' D2 R F U R
U' B' F U D R F'
U' B' F D U R F'
L' B' F' U B L F
L2 B' F2 L' F U' B
R B' F L' B' U B2
R B' F U B' R' B2
U' B2 R D F U R
U' B2 R D' F U R
U' B2 R D2 F U R
U' B2 R F U R D
U' B2 R F U R D'
U' B2 R F U R D2
U' B2 R F U D R
U' B2 R F U D' R
U' B2 R F U D2 R
U' B2 R F D U R
U' B2 R F D' U R
U' B2 R F D2 U R
U' B2 R F B U R
U' B2 R F B' U R
U' B2 R F B2 U R
U' B2 R B F U R
U' B2 R B' F U R
U' B2 R B2 F U R
U' B2 R' F R2 U R'
U' B2 R2 F R' U R2
U2 B2 U R F U R
U' B2 D R F U R
U' B2 D' R F U R
U' B2 D2 R F U R
U' B2 F U D R F'
U' B2 F D U R F'
R B2 F L' B' U B'
R B2 F U B' R' B'
