D' L2 U L R2
D' L2 U R2 L
B2 U L' D2 B2
B2 U D2 L' B2
B2 U D2 B2 L'
B2 U' F2 R U2
B2 D' L2 U L
B2 D2 U L' B2
B2 D2 U B2 L'
F2 R L2 U R' B2 U
U R L' D2 B2 D R2
F2 R U R B2 R2 U
F2 R U R' U D' R2
F2 R U R' D' U R2
F2 R U R' B2 U D
F2 R U R' B2 U D'
F2 R U R' B2 U D2
F2 R U R' B2 D U
F2 R U R' B2 D' U
F2 R U R' B2 D2 U
F2 R U R2 B2 R U
F2 R U D' R' U R'
F2 R U B2 U2 L U'
F2 R U2 R D' R2 F2
F2 R U2 R D' F2 R2
F2 R D L2 U R' U
B2 R D' L2 R' U L
B2 R D' R' L2 U L
F2 R D' U R' U R'
U R D' R2 D' L' B2
U R D' R2 D' B2 L'
B2 R D2 R' U L' B2
B2 R D2 R' U B2 L'
U R D2 L' B2 D R2
U R D2 B2 L' D R2
U R D2 B2 D L' R2
U R D2 B2 D R2 L'
U' R F2 R U B2 U
U' R F2 R U2 D' R2
U' R F2 R D L2 U2
U' R F2 R D' U2 R2
U' R F2 D L2 R U2
U' R F2 D R L2 U2
U' R F2 D' R U2 R
D2 R B2 L' D R2 F2
D2 R B2 L' D F2 R2
U R' L' D' R2 D' B2
U R' L' D2 B2 D R2
L' U' F2 U F2 B2 U
L' U' F2 U B2 F2 U
L' U' F2 U2 D' L2 R2
L' U' F2 U2 D' R2 L2
L' U' F2 D L2 R2 U2
L' U' F2 D R2 L2 U2
L' U' F2 D' U2 L2 R2
L' U' F2 D' U2 R2 L2
L2 U' F2 U2 L D' R2
L2 U' F2 U2 D' L R2
L2 U' F2 U2 D' R2 L
L2 U' F2 D L2 U2 L'
L2 U' F2 D' U2 L R2
L2 U' F2 D' U2 R2 L
L U' F2 U B2 U L2
L U' F2 U2 L2 D' R2
L' U' B2 U D2 F2 B2
L' U' B2 U D2 B2 F2
L' U' B2 U' F2 B2 U2
L' U' B2 U' B2 F2 U2
L' U' B2 D' L2 R2 U
L' U' B2 D' R2 L2 U
L' U' B2 D2 U F2 B2
L' U' B2 D2 U B2 F2
B2 R' D' L2 R U L
B2 R' D' R L2 U L
U R' D' R2 D' L' B2
U R' D' R2 D' B2 L'
B2 R' D2 R U L' B2
B2 R' D2 R U B2 L'
U R' D2 L' B2 D R2
U R' D2 B2 L' D R2
U R' D2 B2 D L' R2
U R' D2 B2 D R2 L'
U' R' F2 R U B2 U
U' R' F2 R U2 D' R2
U' R' F2 R D L2 U2
U' R' F2 R D' U2 R2
U' R' F2 D L2 R U2
U' R' F2 D R L2 U2
U' R' F2 D' R U2 R
D' R2 L' U' L' R2 U
D' R2 L' U' R2 L' U
L2 U2 D2 F2 U' L B2
U R2 L' D' R2 D' B2
U R2 L' D2 B2 D R2
D' R2 U' L2 R2 U L
F2 R2 U B2 R2 U L
D' R2 U' R2 L2 U L
D R2 U' L' D' F2 R
F2 R2 U2 D' R2 F2 L'
D' R2 D L' D2 F2 B2
D' R2 D L' D2 B2 F2
F2 R2 D L2 R' B2 U2
F2 R2 D L2 B2 U2 L
F2 R2 D R' L2 B2 U2
F2 R2 D R' B2 L2 U2
D' R2 D' L F2 L2 B2
D' R2 D' L F2 B2 L2
D' R2 D' L B2 L2 F2
D' R2 D' L B2 F2 L2
D' R2 D' L' F2 B2 D
D' R2 D' L' F2 B2 D'
D' R2 D' L' F2 B2 D2
D' R2 D' L' B2 F2 D
D' R2 D' L' B2 F2 D'
D' R2 D' L' B2 F2 D2
D' R2 D' L2 F2 L B2
F2 R2 D B2 L2 U2 L'
B2 R2 D' L2 U L F2
B2 R2 D' L2 U F2 L
F2 R2 D' R' U2 R' F2
F2 R2 D' R' U2 F2 R'
D' R2 D' B L' F2 B
D' R2 D' B L' B F2
D' R2 D' B2 L F2 L2
D' R2 D' B2 L' F2 D
D' R2 D' B2 L' F2 D'
D' R2 D' B2 L' F2 D2
D' R2 D' B2 L2 F2 L
F2 R2 D' U2 R2 F2 L'
U R2 D' R2 D' L' B2
U R2 D' R2 D' B2 L'
D R2 D2 L2 U' L R2
D R2 D2 L2 U' R2 L
U R2 D2 L' B2 D R2
U R2 D2 B2 L' D R2
U R2 D2 B2 D L' R2
U R2 D2 B2 D R2 L'
U' R2 F2 R U B2 U
U' R2 F2 R U2 D' R2
U' R2 F2 R D L2 U2
U' R2 F2 R D' U2 R2
U' R2 F2 D L2 R U2
D' R2 F2 D' F2 L' B2
U' R2 F2 D R L2 U2
D' R2 F2 D' F2 B2 L'
D' R2 F2 D' B2 F2 L'
U' R2 F2 D' R U2 R
D' R2 B D' L' F2 B2
D' R2 B D' L' B2 F2
D' R2 B D' B2 L' F2
D' R2 B' D' L' F2 B2
D' R2 B' D' L' B2 F2
D' R2 B' D' B2 L' F2
L2 D U L D B2 R'
D' R2 B2 D' L' F2 B2
D' R2 B2 D' L' B2 F2
D2 R2 B2 D' L' F2 R
D' R2 B2 D' B2 L' F2
B2 U L U2 F2 U2 L2
B2 U L D2 B2 D2 L2
B2 U L F L2 F' B'
B2 U L F L2 B' F'
D2 U L B2 L2 D R2
D2 U L' R B2 D R2
D' U L' R2 U' L' U
D2 U L' R' B2 D R2
B2 U L B L2 D2 B2
D2 U L' R2 B2 D R2
B2 U L B' L2 D2 B2
D' U L' U' L' U R2
D2 U L' U F2 U' B2
B2 U L B2 L2 D2 B2
B2 U L' R D2 R' B2
B2 U L' R' D2 R B2
D2 U L' D R2 D' B2
B2 U L' R' D2 B2 R
B2 U L' U D R2 U'
B2 U L' U' D' L2 U
B2 U L' U2 F2 U2 D
B2 U L' U2 F2 U2 D'
B2 U L' U2 F2 U2 D2
B2 U L' U2 F2 D U2
B2 U L' U2 F2 D' U2
B2 U L' U2 F2 D2 U2
B2 U L' D U R2 U'
B2 U L' D B D B2
B2 U L' D B' D B2
B2 U L' D B2 D B2
B2 U L' D' U' L2 U
B2 U L' D' B D' B2
B2 U L' D' B' D' B2
B2 U L' D' B2 D' B2
D2 U L' B D B R2
B2 U L' D2 L B2 L'
B2 U L' D2 L2 B2 L2
B2 U L' D2 R' B2 R
B2 U L' D2 R2 B2 R2
B2 U L' D2 B D B
B2 U L' D2 B D' B
B2 U L' D2 B D2 B
B2 U L' D2 B' D B'
B2 U L' D2 B' D' B'
B2 U L' D2 B' D2 B'
D2 U L' B' D R2 B'
D2 U L' B' D B' R2
D2 U L' B2 R D R2
D2 U L' B2 R' D R2
D2 U L' B2 R2 D R2
D2 U L' B2 U F2 U'
D2 U L' B2 D R2 D
D2 U L' B2 D R2 D'
D2 U L' B2 D R2 D2
B2 U L' B U2 F2 U2
B2 U L' B D2 B2 D
B2 U L' B D2 B2 D'
B2 U L' B D2 B2 D2
B2 U L' B' U2 F2 U2
B2 U L' B' D2 B2 D
B2 U L' B' D2 B2 D'
B2 U L' B' D2 B2 D2
B2 U L' B2 U2 F2 U2
U' D L2 U' R2 U' L
B2 U L' B2 D2 B2 D
B2 U L' B2 D2 B2 D'
B2 U L' B2 D2 B2 D2
U' D L2 U2 L D B2
U' D L2 U2 D L B2
U' D L2 D U2 L B2
U' D L2 D' F2 U2 L
B2 U L2 U2 F2 U2 L
B2 U L2 D L D B2
B2 U L2 D2 L B2 D
B2 U L2 D2 L B2 D'
B2 U L2 D2 L B2 D2
B2 U L2 D2 L' B2 L2
B2 U L2 D2 L2 B2 L'
F2 U L2 D' R2 B2 L
D2 U R L' B2 D R2
B2 U L2 B2 D2 B2 L
B2 U R L' D2 R' B2
D' U R D' L' R B2
D' U R D' L' B2 R
D' U R D' R L' B2
D' U R D' R B2 L'
D' U R D' B2 L' R
D' U R D' B2 R L'
F U L2 D' R2 B' L
F U L2 D' B' L R2
F U L2 D' B' R2 L
B2 U R D2 L' R' B2
B2 U R D2 R' L' B2
B2 U R D2 R' B2 L'
D2 U R B2 L' D R2
D2 U R B2 D L' R2
D2 U R B2 D R2 L'
D2 U R' L' B2 D R2
B2 U R' L' D2 R B2
B2 U R' L' D2 B2 R
D' U R' D' L' R' B2
D' U R' D' R' L' B2
D' U R' D' R' B2 L'
B2 U R' D2 L' R B2
B2 U R' D2 L' B2 R
B2 U R' D2 R L' B2
B2 U R' D2 R B2 L'
B2 U R' D2 B2 L' R
B2 U R' D2 B2 R L'
D2 U R' B2 L' D R2
D2 U R' B2 D L' R2
D2 U R' B2 D R2 L'
D' U R2 L' U' L' U
D2 U R2 L' B2 D R2
L D F2 D2 L2 U R2
D' U R2 U' L2 U L
D' U R2 D L' D2 B2
D' U R2 D' L B2 L2
D' U R2 D' L' B2 D
D' U R2 D' L' B2 D'
D' U R2 D' L' B2 D2
D' U R2 D' B L' B
D' U R2 D' B2 L' D
D' U R2 D' B2 L' D'
D' U R2 D' B2 L' D2
D' U R2 D' B2 D L'
D' U R2 D' B2 D' L'
D' U R2 D' B2 D2 L'
D' U R2 D2 L' D B2
U2 D R2 U L2 U2 L
D' U R2 B D' L' B2
D' U R2 B D' B2 L'
U2 D R2 U' D2 L' R2
U2 D R2 U' D2 R2 L'
D' U R2 B' D' L' B2
D' U R2 B' D' B2 L'
D' U R2 B2 D' L' B2
D' U R2 B2 D' B2 L'
D2 U R2 B2 L' D R2
D2 U R2 B2 D L' R2
D2 U R2 B2 D R2 L'
U2 D R2 D2 U' L' R2
U2 D R2 D2 U' R2 L'
B2 U D L' U R2 U'
B2 U D L' D B2 D
B2 U D L' D B2 D'
B2 U D L' D B2 D2
B2 U D L' B D B2
B2 U D L' B' D B2
B2 U D L' B2 D B2
B2 U D L2 D L B2
B2 U D B L' D B2
B2 U D B D L' B2
B2 U D B D B2 L'
B2 U D B' L' D B2
B2 U D B' D L' B2
B2 U D B' D B2 L'
B2 U D B2 L' D B2
B2 U D B2 D L' B2
B2 U D B2 D B2 L'
B2 U D' L' U' L' U
B2 U D' B D' L' B2
B2 U D' B D' B2 L'
B2 U D' B' D' L' B2
B2 U D' B' D' B2 L'
B2 U D' B2 D' L' B2
B2 U D' B2 D' B2 L'
B2 U D2 L B L2 B
B2 U D2 L B2 L2 D
B2 U D2 L B2 L2 D'
B2 U D2 L B2 L2 D2
B2 U D2 L' R' B2 R
B2 U D2 L' R2 B2 R2
B2 U D2 L' B D B
B2 U D2 L' B D' B
B2 U D2 L' B D2 B
B2 U D2 L' B' D B'
B2 U D2 L' B' D' B'
B2 U D2 L' B' D2 B'
B2 U D2 R' L' B2 R
B2 U D2 R' B2 L' R
B2 U D2 R' B2 R L'
B2 U D2 R2 L' B2 R2
B2 U D2 R2 B2 L' R2
B2 U D2 R2 B2 R2 L'
D2 U F2 U' F2 L' B2
D2 U F2 U' F2 B2 L'
D2 U F2 U' B2 F2 L'
B2 U D2 B L B L2
B2 U D2 B L' D B
B2 U D2 B L' D' B
B2 U D2 B L' D2 B
B2 U D2 B L' B D
B2 U D2 B L' B D'
B2 U D2 B L' B D2
B2 U D2 B D L' B
B2 U D2 B D B L'
B2 U D2 B D' L' B
B2 U D2 B D' B L'
B2 U D2 B D2 L' B
B2 U D2 B D2 B L'
B2 U D2 B' D B' L'
B2 U D2 B' D' B' L'
B2 U D2 B' D2 B' L'
B2 U D2 B2 L2 D L
B2 U D2 B2 L2 D' L
B2 U D2 B2 L2 D2 L
B2 U D2 B2 D L' D
B2 U D2 B2 D L' D'
B2 U D2 B2 D L' D2
B2 U D2 B2 D' L' D
B2 U D2 B2 D' L' D'
B2 U D2 B2 D' L' D2
B2 U D2 B2 D2 L' D
B2 U D2 B2 D2 L' D'
B2 U D2 B2 D2 L' D2
R' D' L2 R U L R
R' D' L2 R U R L
B2 U F L' F' L' B'
B2 U F L2 F' B' L'
B2 U F L2 B' F' L'
