U' L2 R2 B U' L
U' L2 B R2 U' L
R U' L2 B R U'
R U' B L2 R U'
R U' B R L2 U'
U' R2 L2 B U' L
U' R2 B L2 U' L'
U' B L2 R2 U' L'
U' B R2 L2 U' L'
R U' B L2 R U' D2
R U' B L2 R D U'
R U' B L2 R D' U'
R U' B L2 R D2 U'
R U' B L2 D R U'
R U' B L2 D' R U'
R U' B L2 D2 R U'
R U' B R L2 U' D
R U' B R L2 U' D'
R U' B R L2 U' D2
R U' B R L2 D U'
R U' B R L2 D' U'
R U' B R L2 D2 U'
R U' B R U' D F2
R U' B R D U' F2
R U' B D R U' F2
R U' B' L2 R B2 U'
R U' B' L2 B2 R U'
R U' B' R L2 B2 U'
R U' B' R B2 L2 U'
R U' B2 R B' L2 U'
R U2 L2 B R U' R'
D' R' F2 B2 U F U
U' R' B L2 U' L' B'
D' R' B2 F2 U F U
U' R2 L' B L' U' L2
U' R2 L2 U2 F' U L'
U2 R2 L' B' L' U' R2
U' R2 L2 D B U' L
U' R2 L2 D' B U' L
U' R2 L2 D2 B U' L
U' R2 L2 B U' L D
U' R2 L2 B U' L D'
U' R2 L2 B U' L D2
U' R2 L2 B U' D L
U' R2 L2 B U' D' L
U' R2 L2 B U' D2 L
U' R2 L2 B D U' L
U' R2 L2 B D' U' L
U' R2 L2 B D2 U' L
U' R2 L2 B' U R' U2
R U2 B L2 R U' R'
R U2 B R L2 U' R'
U' R2 D B U' L F2
U' R2 D B U' F2 L
L2 D R F2 B U' B
L2 D R B F2 U' B
U' R2 B L2 U' L' D
U' R2 B L2 U' L' D'
U' R2 B L2 U' L' D2
U' R2 B L2 U' D L'
U' R2 B L2 U' D' L'
U' R2 B L2 U' D2 L'
U' R2 B L2 D U' L'
U' R2 B L2 D' U' L'
U' R2 B L2 D2 U' L'
U' R2 B L2 B U' L'
U' R2 B L2 B' U' L'
U' R2 B L2 B2 U' L'
U' R2 B U' D L F2
U' R2 B U' D F2 L
U' R2 B D U' L F2
U' R2 B D U' F2 L
U' R2 B' L2 U R' U2
U' R2 B' L2 B2 U' L
U' R2 B2 L2 B' U' L
R D U' B R U' F2
D2 U L2 R2 F' U L'
D2 U L2 F' R2 U L'
L2 D F2 R B U' B
L2 D F2 U' B L B
L2 D F2 B U' B L
D2 U R2 L2 F' U L'
L2 D B F2 U' B L
D2 U R2 F' L2 U L
D2 U F' L2 R2 U L
D2 U F' R2 L2 U L
D U F' U L' F' B2
D U F' U L' B2 F'
D U F' U B2 L' F'
U D F' U L' F' B2
U D F' U L' B2 F'
U D F' U B2 L' F'
U' D B U' L F2 B
U' D B U' L B F2
U' D B U' F2 L B
B' U' L2 R2 B U' L
F' U' L2 R2 B U' L
B2 U' L2 R2 B U' L
F2 U' L2 R2 B U' L
B' U' L2 B R2 U' L
F' U' L2 B R2 U' L
B2 U' L2 B R2 U' L
F2 U' L2 B R2 U' L
B U' L2 R2 B U' L
F U' L2 R2 B U' L
B U' L2 B R2 U' L
F U' L2 B R2 U' L
B' U' R2 L2 B U' L
F' U' R2 L2 B U' L
B2 U' R2 L2 B U' L
F2 U' R2 L2 B U' L
B' U' R2 B L2 U' L'
F' U' R2 B L2 U' L'
B2 U' R2 B L2 U' L'
R' D' B2 U L F' U
F2 U' R2 B L2 U' L'
R' D' B2 U F' L U
B U' R2 L2 B U' L
F U' R2 L2 B U' L
B U' R2 B L2 U' L'
F U' R2 B L2 U' L'
D U' B U' L F2 B
D U' B U' L B F2
D U' B U' F2 L B
R D' B2 U' R B' U'
R D' B2 U' B' R U'
B' U' B L2 R2 U' L'
F' U' B L2 R2 U' L'
B' U' B R2 L2 U' L'
B2 U' B L2 R2 U' L'
F' U' B R2 L2 U' L'
F2 U' B L2 R2 U' L'
B2 U' B R2 L2 U' L'
F2 U' B R2 L2 U' L'
B U' B L2 R2 U' L'
B U' B R2 L2 U' L'
U D2 L2 R2 F' U L'
F U' B L2 R2 U' L'
F U' B R2 L2 U' L'
U D2 L2 F' R2 U L'
U D2 R2 L2 F' U L'
U D2 R2 F' L2 U L
U D2 F' L2 R2 U L
U D2 F' R2 L2 U L
U F U D F2 L' B2
U F U D F2 B2 L'
U F U D B2 F2 L'
U F D U F2 L' B2
U F D U F2 B2 L'
U F D U B2 F2 L'
R' F' U2 L2 R' U' R
R' F' U2 R' L2 U' R
U F' U D L' F2 B2
U F' U D L' B2 F2
U F' U D B2 L' F2
U F' U2 L2 R2 U' L
U F' U2 R2 L2 U' L
U F' D U L' F2 B2
U F' D U L' B2 F2
U F' D U B2 L' F2
U F' D2 L2 R2 U L
U F' D2 R2 L2 U L
D' F2 R B2 U' B' U'
D' F2 R' B2 U F' U
R' F2 U' L2 R' B' U'
R' F2 U' R' L2 B' U'
D' F2 B2 R U' B U'
D' F2 B2 R' U F' U
D' F2 B2 U F' U L'
D' F2 B2 U' B U' L
U' B L2 R2 U' L' D
U' B L2 R2 U' L' D'
U' B L2 R2 U' L' D2
U' B L2 R2 U' D L'
U' B L2 R2 U' D' L'
U' B L2 R2 U' D2 L'
U' B L2 R2 D U' L'
U' B L2 R2 D' U' L'
U' B L2 R2 D2 U' L'
U' B L2 R2 B U' L'
U' B L2 R2 B' U' L'
U' B L2 R2 B2 U' L'
U' B L2 U' L' D B2
U' B L2 U' D L' B2
U' B L2 U' D B2 L'
U' B L2 D U' L' B2
U' B L2 D U' B2 L'
U' B L2 B R2 U' L'
U' B L2 B' R2 U' L'
U' B L2 B2 R2 U' L'
R B L2 R U L2 U2
R B L2 R U' D2 R2
R B L2 R D F2 U'
R B L2 R D2 U' R2
U' B R2 L2 U' L' D
U' B R2 L2 U' L' D'
U' B R2 L2 U' L' D2
U' B R2 L2 U' D L'
U' B R2 L2 U' D' L'
U' B R2 L2 U' D2 L'
U' B R2 L2 D U' L'
U' B R2 L2 D' U' L'
U' B R2 L2 D2 U' L'
U' B R2 L2 B U' L'
U' B R2 L2 B' U' L'
U' B R2 L2 B2 U' L'
R B L2 D R F2 U'
U' B R2 U' D L F2
U' B R2 U' D F2 L
R B L2 D2 R U' R
U' B R2 D U' L F2
U' B R2 D U' F2 L
R B R L2 U L2 U2
R B R L2 U' D2 R2
R B R L2 D F2 U'
R B R L2 D2 U' R2
U' B U' D L F2 B2
U' B U' D L B2 F2
U' B U' D F2 L B2
U' B D U' L F2 B2
U' B D U' L B2 F2
U' B D U' F2 L B2
R B U' L2 R U' L2
R B U' R L2 U' L2
U' B' L2 R2 U R U2
U' B' L2 U' D B2 L
U' B' L2 D U' B2 L
U' B' L2 B2 R2 U' L
U B' L2 R2 F' U' L'
U' B' R2 L2 U R U2
U' B' R2 U' D F2 L'
U' B' R2 D U' F2 L'
U' B' U' D F2 B2 L
U' B' U' D B2 L F2
U' B' U' D B2 F2 L
U B' R2 L2 F' U' L'
U B' R2 F' L2 U' L
U' B' D U' F2 B2 L
U' B' D U' B2 L F2
U' B' D U' B2 F2 L
R B' U' L2 R B2 U'
R B' U' L2 B2 R U'
R B' U' R L2 B2 U'
R B' U' R B2 L2 U'
R B' U' B2 L2 R U'
R B' U' B2 R L2 U'
U' B2 L2 R2 B' U' L
U' B2 L2 B' R2 U' L
D' B2 R F2 U' B U'
U' B2 R2 L2 B' U' L
D' B2 R' F2 U F U
U' B2 R2 B' L2 U' L'
R B2 U' R B' L2 U'
R B2 U' B' L2 R U'
R B2 U' B' R L2 U'
D' B2 F2 R U' B U'
D' B2 F2 R' U F' U
D' B2 F2 U F' U L'
D' B2 F2 U' B U' L
