F L R F' D2 B2
F L' R F' B' L2
F L' R B' L2 F'
F L' R B' F' L2
D2 L' F R B' L2
D2 L' F B' L2 R
D2 L' F B' R L2
F L' B' L2 R F'
F L' B' R L2 F'
F L' B' R F' L2
D2 L' B' F L2 R
D2 L' B' F R L2
F R L F' D2 B2
F R L' F' B' L2
F R L' B' L2 F'
F R L' B' F' L2
F R F' L' B' L2
F U2 L R F' B
F U2 L R B F'
F U2 R L F' B
F U2 R L B F'
F U2 R F' L B
L' F R F' B' L2
L' F R B' L2 F'
L' F R B' F' L2
L' F B' L2 R F'
L' F B' R L2 F'
L' F B' R F' L2
L F2 R F' R B
L' B' L2 F R F'
L' B' F L2 R F'
L' B' F R L2 F'
L' B' F R F' L2
D2 L' F B L2 R B2
D2 L' F B L2 B2 R
D2 L' F B R L2 B2
D2 L' F B R B2 L2
D2 L' F B' L2 R D
D2 L' F B' L2 R D'
D2 L' F B' L2 R D2
D2 L' F B' L2 D R
D2 L' F B' L2 D' R
D2 L' F B' L2 D2 R
D2 L' F B' R L2 D
D2 L' F B' R L2 D'
D2 L' F B' R L2 D2
D2 L' F B2 L2 B R
B L' F B' L R F'
B L' F B' R L F'
B L' F B' R F' L
F2 L' F' R F' B' L2
F2 L' F' R B' L2 F'
F2 L' F' R B' F' L2
F2 L' F' B' L2 R F'
F2 L' F' B' R L2 F'
F2 L' F' B' R F' L2
D2 L' F2 B' L2 F' R
F L' B L2 R F' B2
F L' B L2 R B2 F'
F L' B L2 B2 R F'
F L' B R L2 F' B2
F L' B R L2 B2 F'
F L' B R F' L2 B2
F L' B R F' B2 L2
F L' B R B2 L2 F'
F L' B R B2 F' L2
D2 L' B F L2 R B2
D2 L' B F L2 B2 R
D2 L' B F R L2 B2
D2 L' B F R B2 L2
D2 L' B' R F L2 R
D2 L' B' R F R L2
F2 L' B' L2 R F' R
D2 L' B' R' F L2 R
D2 L' B' R' F R L2
F2 L' B' L2 F' R F'
D2 L' B' R2 F L2 R
D2 L' B' R2 F R L2
F2 L' B' R L2 F' R
B L' B' L F R F'
F2 L' B' R F' L2 R
F2 L' B' R F' R L2
F L' B' L R F' L
F L' B' L2 R D F'
F L' B' L2 R D' F'
F L' B' L2 R D2 F'
F L' B' L2 R F' D
F L' B' L2 R F' D'
F L' B' L2 R F' D2
F L' B' R L F' L
F L' B' R L2 D F'
F L' B' R L2 D' F'
F L' B' R L2 D2 F'
F L' B' R L2 F' D
F L' B' R L2 F' D'
F L' B' R L2 F' D2
F L' B' R F L2 F2
F L' B' R F' L2 D
F L' B' R F' L2 D'
F L' B' R F' L2 D2
D2 L' B' F L2 R D
D2 L' B' F L2 R D'
D2 L' B' F L2 R D2
D2 L' B' F L2 D R
D2 L' B' F L2 D' R
D2 L' B' F L2 D2 R
D2 L' B' F R L2 D
D2 L' B' F R L2 D'
D2 L' B' F R L2 D2
D2 L' B' F2 L2 F' R
F2 L' B' F' L2 R F'
F2 L' B' F' R L2 F'
F2 L' B' F' R F' L2
B L' B' F L R F'
B L' B' F R L F'
B L' B' F R F' L
F L' B2 L2 B R F'
D2 L' B2 F L2 B R
F' R L F' D2 R2 B2
F' R L F' D2 B2 R2
F R L U2 F U2 F2
F2 R L F' R D2 B2
F2 R L F' D2 R B2
F2 R L F' D2 B2 R
U2 R L F' B' R' B2
F R L D F' D2 B2
F R L D' F' D2 B2
F R L D2 F' D2 B2
U2 R L B' F' R' B2
F' R L' U2 F' B' L2
F' R L' U2 B' L2 F'
F' R L' U2 B' F' L2
F R L F' U2 F2 U2
F R L F' D2 B2 D
F R L F' D2 B2 D'
F R L F' D2 B2 D2
F R L F' B D2 B2
F R L F' B' D2 B2
F R L F' B2 D2 B2
D2 R L' F R B' L2
D2 R L' F B' L2 R
D2 R L' F B' R L2
F R L B F' D2 B2
F R L B' F' D2 B2
F R L B2 F' D2 B2
D2 R L' B' F L2 R
D2 R L' B' F R L2
F2 R L' F' R B' L2
F2 R L' F' B' L2 R
F2 R L' F' B' R L2
F2 R L' B' L2 F' R
F2 R L' B' F' L2 R
F2 R L' B' F' R L2
F R L' F B' L2 F2
F R L' F' B L2 B2
F R L' F' B' L2 D
F R L' F' B' L2 D'
F R L' F' B' L2 D2
F R L' F' B2 L2 B
F R L' B L2 F' B2
F R L' B L2 B2 F'
F R L' B F' L2 B2
F R L' B' L F' L
F R L' B' L2 D F'
F R L' B' L2 D' F'
F R L' B' L2 D2 F'
F R L' B' L2 F' D
F R L' B' L2 F' D'
F R L' B' L2 F' D2
F R L' B' F L2 F2
F R L' B' F' L2 D
F R L' B' F' L2 D'
F R L' B' F' L2 D2
F R L' B2 L2 F' B
F R L' B2 L2 B F'
F R L' B2 F' L2 B
F2 R U2 L F' R B
F2 R U2 F' L R B
F2 R U2 F' R L B
F R D L F' D2 B2
F R D L' F' B' L2
F R D L' B' L2 F'
F R D L' B' F' L2
F R D F' L' B' L2
F R D' L F' D2 B2
F R D' L' F' B' L2
F R D' L' B' L2 F'
F R D' L' B' F' L2
F R D' F' L' B' L2
F R D2 L F' D2 B2
F R D2 L' F' B' L2
F R D2 L' B' L2 F'
F R D2 L' B' F' L2
F R D2 F' L' B' L2
B2 R F R F2 L' B'
F R F L' F2 B' L2
F R F L' B' L2 F2
F R F L' B' F2 L2
U2 R F' L B' R' B2
F2 R F' L' R B' L2
F2 R F' L' B' L2 R
F2 R F' L' B' R L2
F2 R F' R L' B' L2
F R F' L U2 F U2
F R F' L' B L2 B2
F R F' L' B' L2 D
F R F' L' B' L2 D'
F R F' L' B' L2 D2
F R F' L' B2 L2 B
F R F' D L' B' L2
F R F' D' L' B' L2
F R F' D2 L' B' L2
F R F' B L' B' L
F R B L' F' B' L
F R B L' B' L F'
F R B L' B' F' L
F R B F' L' B' L
B2 R' L F B U2 R
B2 R' L B F U2 R
D2 R' L' F R B' L2
D2 R' L' F B' L2 R
D2 R' L' F B' R L2
F R' L F2 R2 F' B
F R' L F2 R2 B F'
D2 R' L' B' F L2 R
D2 R' L' B' F R L2
F' R' L' B U2 L2 B2
F' R' L' B U2 B2 L2
B2 R' F B U2 R B
B2 R' F' L' B U2 B2
B2 R' F' B L' U2 B'
L' U2 R F' B' L2 R'
L' U2 R F' B' R' L2
L' U2 R B' L2 F' R'
L' U2 R B' F' L2 R'
L' U2 R B' F' R' L2
F' R' B L' U2 B' L
B2 R' B L F U2 R
B2 R' B L' U2 B' R'
B2 R' B F U2 R B
B2 R' B F' L' U2 B'
L' U2 R2 B' L2 R' F'
L' U2 R2 B' R' L2 F'
L' U2 R2 B' R' F' L2
U2 R2 L B' R' F' B
U2 R2 L B' R' B F'
D2 R2 L' F R B' L2
D2 R2 L' F B' L2 R
D2 R2 L' F B' R L2
D2 R2 L' B' F L2 R
D2 R2 L' B' F R L2
L U2 F U2 F R F'
L' U2 B' L2 R F' R2
L' U2 B' R L2 F' R2
L' U2 B' R F' L2 R2
L' U2 B' R F' R2 L2
U2 R2 D2 L B' R' F'
U2 R2 B' R' F' B L
U2 R2 B' R' B L F'
U2 R2 B' R' B F' L
F U' R F' L D' B2
L2 D2 L' R' F B R
L2 D2 L' R' B F R
L2 D2 L' R2 F R B
L2 D2 L' F R' B R2
L2 D2 R' L' F B R
L2 D2 R' L' B F R
L2 D2 R' B L' F R
L2 D2 R2 L' F R B
F2 U2 L R F' B R
F2 U2 L R B F' R
F2 U2 L F' R F' B
F2 U2 L F' R B F'
F U2 L R D F' B
F U2 L R D B F'
F U2 L R D' F' B
F U2 L R D' B F'
F U2 L R D2 F' B
F U2 L R D2 B F'
F U2 L R F' D B
F U2 L R F' D' B
F U2 L R F' D2 B
F U2 L R F' B D
F U2 L R F' B D'
F U2 L R F' B D2
F U2 L R B D F'
F U2 L R B D' F'
F U2 L R B D2 F'
F U2 L R B F' D
F U2 L R B F' D'
F U2 L R B F' D2
F U2 L B R F' B
F U2 L B R B F'
F U2 L B' R F' B
F U2 L B' R B F'
F U2 L B2 R F' B
F U2 L B2 R B F'
F U2 L' R F' L2 B
F U2 L' R F' B L2
F U2 L' R B L2 F'
F U2 L' R B F' L2
F2 U2 R L F' B R
F2 U2 R L B F' R
F U2 L2 R B L' F'
F2 U2 R F' L B R
F U2 R L D F' B
F U2 R L D B F'
F U2 R L D' F' B
F U2 R L D' B F'
F U2 R L D2 F' B
F U2 R L D2 B F'
F U2 R L F' D B
F U2 R L F' D' B
F U2 R L F' D2 B
F U2 R L F' B D
F U2 R L F' B D'
F U2 R L F' B D2
F U2 R L B D F'
F U2 R L B D' F'
F U2 R L B D2 F'
F U2 R L B F' D
F U2 R L B F' D'
F U2 R L B F' D2
F U2 R L' F' L2 B
F U2 R L' F' B L2
F U2 R L' B L2 F'
F U2 R L' B F' L2
F U2 R L2 B L' F'
F U2 R D L F' B
F U2 R D L B F'
F U2 R D F' L B
B2 U2 R' F' B L U2
F U2 R D' L F' B
F U2 R D' L B F'
F U2 R D' F' L B
F U2 R D2 L F' B
B2 U2 R' B L F' U2
F U2 R D2 L B F'
F U2 R D2 F' L B
B2 U2 R' B F' L U2
F U2 R F L F2 B
F U2 R F L B F2
F U2 R F' L D B
F U2 R F' L D' B
F U2 R F' L D2 B
F U2 R F' L B D
F U2 R F' L B D'
F U2 R F' L B D2
F U2 R F' L' B L2
F U2 R F' L2 B L'
F U2 R F' D L B
F U2 R F' D' L B
F U2 R F' D2 L B
L2 F L R F' B' L'
L2 F L R B' F' L'
D2 F L' R F B' L2
D2 F L' R B' F L2
D' F L' U' R B' L2
D' F L' U' B' L2 R
D' F L' U' B' R L2
L2 F L B' R F' L'
D2 F L' B' R F L2
R F L R' F2 R2 B
L F L U2 L' R F'
L F L U2 R L' F'
L' F L2 R F' D2 B2
L2 F L2 R F' L' B'
R F L' R F2 B' L2
R F L' R B' L2 F2
R F L' R B' F2 L2
F2 U2 F' L R F' B
F2 U2 F' L R B F'
D2 F R L' F B' L2
L F L' U2 L R F'
D2 F R L' B' F L2
L F L' U2 R L F'
L F L' U2 R F' L
F2 U2 F' R L F' B
F2 U2 F' R L B F'
F2 U2 F' R F' L B
L' F R L2 F' D2 B2
F' U2 F2 L R F' B
F' U2 F2 L R B F'
L2 F R L F' B' L'
L2 F R L B' F' L'
L' F R F B' L2 F2
R F L' B' L2 R F2
L F L2 R F' L2 B'
R F L' B' R L2 F2
R F L' B' R F2 L2
L2 F R L2 F' L' B'
L' F R F' B L2 B2
L' F R F' B' L2 D
L' F R F' B' L2 D'
L' F R F' B' L2 D2
L' F R F' B2 L2 B
F' U2 F2 R L F' B
F' U2 F2 R L B F'
L' F R B L2 F' B2
L' F R B L2 B2 F'
F' U2 F2 R F' L B
L' F R B F' L2 B2
L' F R B' L F' L
L' F R B' L2 D F'
L' F R B' L2 D' F'
L' F R B' L2 D2 F'
L' F R B' L2 F' D
L' F R B' L2 F' D'
L' F R B' L2 F' D2
L' F R B' F L2 F2
L' F R B' F' L2 D
L' F R B' F' L2 D'
L' F R B' F' L2 D2
L' F R B2 L2 F' B
L' F R B2 L2 B F'
L F L2 U2 L2 R F'
L F L2 U2 R L2 F'
L F L2 U2 R F' L2
L' F R B2 F' L2 B
L2 F R F' L B' L2
L F R L2 F' L2 B'
R F R L' F2 B' L2
R F R L' B' L2 F2
R F R L' B' F2 L2
L F R F' L2 B' L2
L F R F' U2 F U2
L F R F2 D2 F B2
L F R F2 D2 B2 F
R F R F2 L' B' L2
R F R' L F2 R2 B
L' F U R F' B' L2
L F R' F R2 F' B
L F R' F R2 B F'
L' F U R B' L2 F'
L' F U R B' F' L2
L' F U B' L2 R F'
L' F U B' R L2 F'
L' F U B' R F' L2
F U2 B' R F' B L
F U2 B' R B L F'
F U2 B' R B F' L
L' F U' R F' B' L2
L' F U' R B' L2 F'
L' F U' R B' F' L2
L' F U' B' L2 R F'
L' F U' B' R L2 F'
L' F U' B' R F' L2
L' F U2 R F' B' L2
L' F U2 R B' L2 F'
L' F U2 R B' F' L2
L' F U2 B' L2 R F'
L' F U2 B' R L2 F'
L' F U2 B' R F' L2
R2 F U2 L R F B
R2 F U2 L R B F
R2 F U2 R L F B
R2 F U2 R L B F
R F U2 L R F2 B
R F U2 L R B F2
R F U2 R L F2 B
R F U2 R L B F2
R F U2 R F2 L B
L' F B L2 R F' B2
L' F B L2 R B2 F'
L' F B L2 B2 R F'
L' F B R L2 F' B2
L' F B R L2 B2 F'
L' F B R F' L2 B2
L' F B R F' B2 L2
L' F B R B2 L2 F'
L' F B R B2 F' L2
L' F B' L R F' L
L' F B' L2 R D F'
L' F B' L2 R D' F'
L' F B' L2 R D2 F'
L' F B' L2 R F' D
L' F B' L2 R F' D'
L' F B' L2 R F' D2
L' F B' R L F' L
L' F B' R L2 D F'
L' F B' R L2 D' F'
L' F B' R L2 D2 F'
L' F B' R L2 F' D
L' F B' R L2 F' D'
L' F B' R L2 F' D2
L' F B' R F L2 F2
L' F B' R F' L2 D
L' F B' R F' L2 D'
L' F B' R F' L2 D2
L' F B2 L2 B R F'
D2 F' L' U2 F B' L2
D2 F' L' U2 B' F L2
R' F' L' B U2 L2 B2
R' F' L' B U2 B2 L2
R F' L U2 L2 U2 B'
R F' L U2 F L2 U2
R F' L' B' L2 D2 R2
L F' U2 F2 U2 R F'
R' F' B L' U2 B' L
L' F2 R F' R B' L2
L' F2 R F' B' L2 R
L' F2 R F' B' R L2
L' F2 R B' L2 F' R
L' F2 R B' F' L2 R
L' F2 R B' F' R L2
L F2 R F' R D B
L F2 R F' R D' B
L F2 R F' R D2 B
L F2 R F' R B D
L F2 R F' R B D'
L F2 R F' R B D2
L F2 R F' D R B
L F2 R F' D' R B
L F2 R F' D2 R B
L F2 R F' B R B
L F2 R F' B' R B
L F2 R F' B2 R B
L F2 R B F' R B
L F2 R B' F' R B
L F2 R B2 F' R B
L F2 R2 D2 B R' F'
L F2 R2 B R' F' R
F' D2 L' U2 F B' L2
F' D2 L' U2 B' F L2
F D2 L' R F B' L2
F D2 L' R B' F L2
B D2 L' F R B' L'
B D2 L' F B' L' R
B D2 L' F B' R L'
L F2 U2 F' U2 R F'
B D2 L' B' F L' R
B D2 L' B' F R L'
F D2 L' B' R F L2
F D2 R L' F B' L2
F D2 R L' B' F L2
L' F2 B' L2 R F' R
L' F2 B' L2 F' R F'
L' F2 B' R L2 F' R
L' F2 B' R F' L2 R
L' F2 B' R F' R L2
L F2 B R F' R B
L F2 B' R F' R B
R' B L' U2 B' L R'
R' B L' U2 B' R' L
L F2 B2 R F' R B
D2 B L' F R B' L
D2 B L' F B' L R
D2 B L' F B' R L
D2 B L' B' F L R
D2 B L' B' F R L
L' B L2 F R F' B2
L' B L2 F R B2 F'
L' B L2 F B2 R F'
B D2 F L' R F B'
B D2 F L' R B' F
B D2 F L' B' R F
B D2 F R L' F B'
B D2 F R L' B' F
L' B L2 B2 F R F'
L' B R F' L2 B2 R'
L' B R' B2 L2 F R
B F L' R F' B' L
B F L' R B' L F'
B F L' R B' F' L
F B L' R F' B' L
F B L' R B' L F'
F B L' R B' F' L
B F L' B' L R F'
B F L' B' R L F'
B F L' B' R F' L
F B L' B' L R F'
F B L' B' R L F'
F B L' B' R F' L
B F R L' F' B' L
B F R L' B' L F'
B F R L' B' F' L
L' B F L2 R F' B2
L' B F L2 R B2 F'
L' B F L2 B2 R F'
L' B F R L2 F' B2
L' B F R L2 B2 F'
L' B F R F' L2 B2
L' B F R F' B2 L2
L' B F R B2 L2 F'
L' B F R B2 F' L2
F B R L' F' B' L
F B R L' B' L F'
F B R L' B' F' L
B F R F' L' B' L
R' B F' L' U2 B' L
F B R F' L' B' L
L' B' L F L R F'
L' B' L F R L F'
L' B' L F R F' L
B' F U2 R F' L' B
B' F U2 R F' B L'
B' F U2 R B F' L'
L B F2 R F' R B
L' B' L' D2 L' F R
L' B' L' F R F' L'
L' B' L2 R F R F2
L' B' L2 F R D F'
L' B' L2 F R D' F'
L' B' L2 F R D2 F'
L' B' L2 F R F' D
L' B' L2 F R F' D'
L' B' L2 F R F' D2
L' B' L2 F2 R F' R
L' B' R L2 F R F2
L' B' R F L2 R F2
L' B' R F R L2 F2
L' B' R F R F2 L2
U2 B' R F' B L R2
U2 B' R F' B R2 L
U2 B' R B L F' R2
U2 B' R B F' L R2
U2 B' R B F' R2 L
B2 F' L' R' B U2 B2
B2 F' R' L' B U2 B2
B2 F' R' B L' U2 B'
L' B' F L R F' L
L' B' F L2 R D F'
L' B' F L2 R D' F'
L' B' F L2 R D2 F'
L' B' F L2 R F' D
L' B' F L2 R F' D'
L' B' F L2 R F' D2
L' B' F R L F' L
L' B' F R L2 D F'
L' B' F R L2 D' F'
L' B' F R L2 D2 F'
L' B' F R L2 F' D
L' B' F R L2 F' D'
L' B' F R L2 F' D2
L' B' F R F L2 F2
L' B' F R F' L2 D
L' B' F R F' L2 D'
L' B' F R F' L2 D2
L' B' F2 L2 R F' R
L' B' F2 L2 F' R F'
L' B' F2 R L2 F' R
L' B' F2 R F' L2 R
L' B' F2 R F' R L2
F B' U2 R F' L' B
F B' U2 R F' B L'
F B' U2 R B F' L'
L B' F2 R F' R B
L' B2 L2 F B R F'
L' B2 L2 B F R F'
F' B2 L' R' B U2 B2
U2 B2 R' F' B U2 R'
U2 B2 R' B F' U2 R'
F' B2 R' L' B U2 B2
F' B2 R' B L' U2 B'
L' B2 F L2 B R F'
L B2 F2 R F' R B
