B' L U F2 U B2
B' L U2 B2 D' L2
F2 L2 U F B R'
F2 L2 U B R' F
F2 L2 U B F R'
D' L2 D F B R'
D' L2 D B R' F
D' L2 D B F R'
D' L2 F D B R'
B R' D' L2 D' F2
B R' D2 F2 D L2
B' U F2 U B2 R'
F2 U B R' D2 F2
F2 U B D2 R' F2
F2 U B D2 F2 R'
F2 U' B' L U2 B2
F2 U' B' U2 B2 R'
B' U2 B2 R' D' L2
B' U2 B2 D' L2 R'
B' U2 B2 D' R' L2
B D' L2 D' R' F2
B D' L2 D' F2 R'
L2 F2 U F' B R'
L2 F2 U B F' R'
B D2 R' F2 D L2
L2 B R' D' F L2
B D2 F2 R' D L2
B D2 F2 D L2 R'
B D2 F2 D R' L2
L2 B D' R' F L2
L2 B D' F L2 R'
L2 B D' F R' L2
B2 R' B' D' R' F' L2
B R' B' D' L2 F B
B R' B' D' L2 B F
B' R2 L U F2 U B2
B' R2 L U2 B2 D' L2
B' R2 U F2 U B2 R'
L2 U2 F2 U F' B R'
L2 U2 F2 U B F' R'
F2 R2 U' F' B' L U2
F2 R2 U' B' L F' U2
F2 R2 U' B' F' L U2
L2 U2 B R' D' F L2
L2 U2 B D' R' F L2
L2 U2 B D' F L2 R'
L2 U2 B D' F R' L2
L U2 B R' D' L2 F'
L U2 B R' D' F' L2
B' R2 U2 B2 R' D' L2
B' R2 U2 B2 D' L2 R'
B' R2 U2 B2 D' R' L2
L U2 B D' L2 R' F'
L U2 B D' R' L2 F'
L U2 B D' R' F' L2
B R2 D R D F2 L'
D R2 D F' B' U2 R
D R2 D B' F' U2 R
B R2 D' L2 D' R F2
B2 R2 D' F' B' L2 R'
B2 R2 D' F' B' R' L2
B2 R2 D' B' L2 F' R'
B2 R2 D' B' F' L2 R'
B2 R2 D' B' F' R' L2
D R2 D' F' B' L U2
D R2 D' B' L F' U2
D R2 D' B' F' L U2
B R2 D2 R F2 D L2
D R2 F' D' B' L U2
B2 R2 B' D' L2 F' R'
B2 R2 B' D' F' L2 R'
B2 R2 B' D' F' R' L2
D R2 B' D F' U2 R
D' U L2 D F B R'
D' U L2 D B R' F
D' U L2 D B F R'
D' U L2 F D B R'
B' U L2 F2 U R B2
B' U L2 F2 U B2 R
F2 U L2 F L2 B R'
F2 U L2 F B L2 R'
F2 U L2 F B R' L2
F2 U L2 B R' F L2
F2 U L2 B F L2 R'
F2 U L2 B F R' L2
F2 U F B R' D2 F2
F2 U F B D2 R' F2
F2 U F B D2 F2 R'
F2 U F' B R' D2 F2
F2 U F' B D2 R' F2
F2 U F' B D2 F2 R'
B' U F2 U R B2 R'
B' U F2 U R' B2 R'
B' U F2 U R2 B2 R'
B' U F2 U B2 R' D
B' U F2 U B2 R' D'
B' U F2 U B2 R' D2
B' U F2 U B2 D R'
B' U F2 U B2 D' R'
B' U F2 U B2 D2 R'
B' U F2 U' L U2 B2
B' U F2 B U B R'
F2 U F2 B R' D2 F2
F2 U F2 B D2 R' F2
F2 U F2 B D2 F2 R'
F2 U B R' U2 B2 U2
F2 U B R' D2 F2 D
F2 U B R' D2 F2 D'
F2 U B R' D2 F2 D2
F2 U B R' F D2 F2
F2 U B R' F' D2 F2
F2 U B R' F2 D2 F2
F2 U B R2 D2 R F2
B' U B F2 U B R'
F2 U B U2 B2 L U2
F2 U B D R' D F2
F2 U B D2 R F2 R2
F2 U B D2 R' F2 D
F2 U B D2 R' F2 D'
F2 U B D2 R' F2 D2
F2 U B D2 F R' F
F2 U B D2 F2 R' D
F2 U B D2 F2 R' D'
F2 U B D2 F2 R' D2
F2 U B D2 F2 D R'
F2 U B D2 F2 D' R'
F2 U B D2 F2 D2 R'
F2 U B F R' D2 F2
F2 U B F D2 R' F2
F2 U B F D2 F2 R'
F2 U B F' R' D2 F2
F2 U B F' D2 R' F2
F2 U B F' D2 F2 R'
F2 U B F2 R' D2 F2
F2 U B F2 D2 R' F2
F2 U B F2 D2 F2 R'
F2 U B' L U2 L' B2
F2 U B' L U2 B2 L'
F2 U B2 R' B' R' F'
F2 U B2 R2 F' B' R'
U' D' L2 D F B R'
D' U' L2 D F B R'
F2 U B2 R2 B' F' R'
U' D' L2 D B R' F
D' U' L2 D B R' F
U' D' L2 D B F R'
D' U' L2 D B F R'
U' D' L2 F D B R'
D' U' L2 F D B R'
U2 D' L2 D F B R'
U2 D' L2 D B R' F
U2 D' L2 D B F R'
U2 D' L2 F D B R'
F2 U' L U2 B R' F'
U D' L2 D F B R'
U D' L2 D B R' F
U D' L2 D B F R'
U D' L2 F D B R'
L2 D' F L2 D B R'
F2 U' L2 U2 F B R'
F2 U' L2 U2 B R' F
F2 U' L2 U2 B F R'
B U' D' R2 U L2 R
B U' D' R2 U R L2
F2 U' F B' L U2 B2
F2 U' F B' U2 B2 R'
F2 U' F' B' L U2 B2
F2 U' F' B' U2 B2 R'
D' U2 L2 D F B R'
D' U2 L2 D B R' F
D' U2 L2 D B F R'
F2 U' F2 B' L U2 B2
F2 U' F2 B' U2 B2 R'
D' U2 L2 F D B R'
B U' F2 U R' D2 F2
B U' F2 U D2 R' F2
B U' F2 U D2 F2 R'
B U' F2 U' B2 L U2
F2 U' B R' D2 F2 L'
B U' F2 D' R2 U R
B U' F2 D2 U R' F2
B U' F2 D2 U F2 R'
F2 U' B D2 R' F2 L'
F2 U' B' L U2 B2 D
F2 U' B' L U2 B2 D'
F2 U' B' L U2 B2 D2
F2 U' B' L D2 F2 U2
F2 U' B' L F U2 B2
F2 U' B' L F' U2 B2
F2 U' B' L F2 U2 B2
F2 U' B' U2 R B2 R'
F2 U' B' U2 R' B2 R'
F2 U' B' U2 R2 B2 R'
F2 U' B' U2 B2 R' D
F2 U' B' U2 B2 R' D'
F2 U' B' U2 B2 R' D2
F2 U' B' U2 B2 D R'
F2 U' B' U2 B2 D' R'
F2 U' B' U2 B2 D2 R'
F2 U' B' D2 L F2 U2
F2 U' B' D2 F2 L U2
F2 U' B' F L U2 B2
F2 U' B' F U2 B2 R'
F2 U' B' F' L U2 B2
F2 U' B' F' U2 B2 R'
F2 U' B' F2 L U2 B2
F2 U' B' F2 U2 B2 R'
F2 U2 L2 U' F B R'
F2 U2 L2 U' B R' F
F2 U2 L2 U' B F R'
B' U2 R B2 R' D' L2
B' U2 R B2 D' L2 R'
B' U2 R B2 D' R' L2
B' U2 R' B2 R' D' L2
B' U2 R' B2 D' L2 R'
B' U2 R' B2 D' R' L2
B' U2 R2 B2 R' D' L2
B' U2 R2 B2 D' L2 R'
B' U2 R2 B2 D' R' L2
D' F L2 D F B R'
D' F L2 D B R' F
D' F L2 D B F R'
D' F L2 F D B R'
L2 F L2 B R' D L2
L2 F L2 B D L2 R'
L2 F L2 B D R' L2
B' U2 F2 U F2 B2 R'
B' U2 F2 U B2 R' F2
B' U2 F2 U B2 F2 R'
B' U2 B' D' B' L2 R'
B' U2 B' D' B' R' L2
B' U2 B2 L R' D' L2
B' U2 B2 L D' L2 R'
B' U2 B2 L D' R' L2
B' U2 B2 L' R' D' L2
B' U2 B2 L' D' L2 R'
B' U2 B2 L' D' R' L2
B' U2 B2 L2 R' D' L2
B' U2 B2 L2 D' L2 R'
B' U2 B2 L2 D' R' L2
B' U2 B2 R' L D' L2
B' U2 B2 R' L' D' L2
B' U2 B2 R' L2 D' L2
B' U2 B2 R' U' F2 U
B' U2 B2 R' D' L2 D
B' U2 B2 R' D' L2 D'
B' U2 B2 R' D' L2 D2
B' U2 B2 R2 D' L2 R
B' U2 B2 R2 D' R L2
B' U2 B2 U' F2 U R'
B' U2 B2 D' L2 R' D
B' U2 B2 D' L2 R' D'
B' U2 B2 D' L2 R' D2
B' U2 B2 D' L2 D R'
B' U2 B2 D' L2 D' R'
B' U2 B2 D' L2 D2 R'
B' U2 B2 D' R' L2 D
B' U2 B2 D' R' L2 D'
B' U2 B2 D' R' L2 D2
B' U2 B2 D2 R' D L2
B' D L R2 U L U
B U2 B2 L U F2 U
B U2 B2 L U2 D' L2
B U2 B2 L D R2 U2
B U2 B2 L D' U2 L2
L2 F U' F U B R'
B U2 B2 D L R2 U2
B U2 B2 D R2 L U2
B U2 B2 D' L U2 L
B' D R2 L U L U
B' D R2 U2 D' B2 R'
B' D R2 D L F2 U2
B' D R2 D F2 L U2
B' D R2 D' L U2 B2
B' D R2 D' U2 B2 R'
L2 F B R' U' F U
L2 F B U' F U R'
D' F' L2 D F B R'
D' F' L2 D B R' F
D' F' L2 D B F R'
D' F' L2 F D B R'
B2 D B L R2 U2 B2
B2 D B R2 L U2 B2
B2 D B R2 U2 B2 R'
B2 D B' D2 L2 R' F2
B2 D B' D2 L2 F2 R'
B2 D B' D2 R' L2 F2
B2 D B' D2 R' F2 L2
B2 D B' D2 F2 L2 R'
B2 D B' D2 F2 R' L2
B' D' L U' R2 U' L
B' D' L U2 L D B2
B' D' L U2 D L B2
B' D' L D U2 L B2
B' D' L D' F2 U2 L
D2 F' D L2 B R F
B D' L D' L R' F2
B D' L D' L F2 R'
B D' L D' R' L F2
B D' L D' R' F2 L
B D' L D' F2 L R'
B D' L D' F2 R' L
B D' L' D' L' R' F2
B D' L' D' L' F2 R'
B D' L' D' R' L' F2
B D' L2 R' U' R' U
B D' L2 U' R2 U R
B D' L2 D R' D2 F2
B D' L2 D' R F2 R2
B D' L2 D' R' F2 D
B D' L2 D' R' F2 D'
B D' L2 D' R' F2 D2
B D' L2 D' F R' F
B D' L2 D' F2 R' D
B D' L2 D' F2 R' D'
B D' L2 D' F2 R' D2
B D' L2 D' F2 D R'
B D' L2 D' F2 D' R'
B D' L2 D' F2 D2 R'
B D' L2 D2 R' D F2
B D' L2 F D' R' F2
B D' L2 F D' F2 R'
B D' L2 F' D' R' F2
B D' L2 F' D' F2 R'
B D' L2 F2 D' R' F2
B D' L2 F2 D' F2 R'
B2 D' R' B' L2 R' F'
B2 D' R' B' R' L2 F'
B2 D' R' B' R' F' L2
B D' R' L2 U' R' U
B D' R' U' R' U L2
B2 D' R2 F' B' L2 R'
B2 D' R2 F' B' R' L2
B2 D' R2 B' L2 F' R'
B2 D' R2 B' F' L2 R'
B2 D' R2 B' F' R' L2
R2 F' B' L U F' U
L2 F2 L U F' B R'
L2 F2 L U B F' R'
L' F2 L' U F B R'
L' F2 L' U B R' F
L' F2 L' U B F R'
B D' U' R2 U L2 R
B D' U' R2 U R L2
U' F2 L2 U F B R'
U' F2 L2 U B R' F
U' F2 L2 U B F R'
L2 F2 L' U F' B R'
L2 F2 L' U B F' R'
L F2 L U F B R'
L F2 L U B R' F
L F2 L U B F R'
D' F2 L2 D F B R'
D' F2 L2 D B R' F
D' F2 L2 D B F R'
D' F2 L2 F D B R'
U2 F2 L2 U F B R'
U2 F2 L2 U B R' F
U2 F2 L2 U B F R'
L2 F2 L2 U F' B R'
L2 F2 L2 U B F' R'
B D' F L2 D' R' F2
B D' F L2 D' F2 R'
B D' F' L2 D' R' F2
B D' F' L2 D' F2 R'
U F2 L2 U F B R'
U F2 L2 U B R' F
U F2 L2 U B F R'
B2 D' B L U2 L B2
B D' F2 L2 D' R' F2
B D' F2 L2 D' F2 R'
B2 D' B U2 B2 L2 R'
B2 D' B U2 B2 R' L2
B2 D' B' L2 R' D2 F2
B2 D' B' L2 D2 R' F2
B2 D' B' L2 D2 F2 R'
B2 D' B' R' L2 D2 F2
U' F2 U B R' D2 F2
U' F2 U B D2 R' F2
U' F2 U B D2 F2 R'
B2 D' B2 L2 F B R'
B2 D' B2 L2 B R' F
B2 D' B2 L2 B F R'
L2 F2 U D2 F' B R
L2 F2 U D2 B F' R
L2 F2 U F B R' F2
L2 F2 U F' B R' D
L2 F2 U F' B R' D'
L2 F2 U F' B R' D2
L2 F2 U F' B D R'
L2 F2 U F' B D' R'
L2 F2 U F' B D2 R'
L2 F2 U F2 B R' F
U' F2 U' B' L U2 B2
U2 F2 U B R' D2 F2
U' F2 U' B' U2 B2 R'
U2 F2 U B D2 R' F2
L2 F2 U B D F' R'
U2 F2 U B D2 F2 R'
L2 F2 U B D' F' R'
L2 F2 U B D2 F' R'
L2 F2 U B F R' F2
L2 F2 U B F' R' D
L2 F2 U B F' R' D'
L2 F2 U B F' R' D2
L2 F2 U B F' D R'
L2 F2 U B F' D' R'
L2 F2 U B F' D2 R'
L2 F2 U B F2 R' F
B' D2 L F2 U' B2 U'
B' D2 L F2 U2 D L2
B' D2 L F2 D U2 L2
B' D2 L F2 D' R2 U2
U2 F2 U' B' L U2 B2
U2 F2 U' B' U2 B2 R'
U F2 U B R' D2 F2
U F2 U B D2 R' F2
U F2 U B D2 F2 R'
R2 F2 U' F B' L U2
B D2 L R' F2 D L2
R2 F2 U' B' F L U2
D2 F2 D L2 F B R
D2 F2 D L2 B F R
B D2 L F2 R' D L2
B D2 L F2 D L2 R'
B D2 L F2 D R' L2
U F2 U' B' L U2 B2
U F2 U' B' U2 B2 R'
B D2 L' R' F2 D L2
B D2 L' F2 R' D L2
B D2 L' F2 D L2 R'
B D2 L' F2 D R' L2
B D2 L2 R' F2 D L2
B D2 L2 F2 R' D L2
B D2 L2 F2 D L2 R'
B D2 L2 F2 D R' L2
L2 F2 D2 U F' B R
L2 F2 D2 U B F' R
B D2 R F2 R2 D L2
B D2 R' L F2 D L2
B D2 R' L' F2 D L2
B D2 R' L2 F2 D L2
B D2 R' U B2 U' F2
B D2 R' D L2 D' F2
B D2 R' F D F L2
B D2 R' F' D L2 F'
B D2 R' F' D F' L2
B D2 R' F2 L D L2
B D2 R' F2 L' D L2
B D2 R' F2 L2 D L2
B D2 R' F2 U B2 U'
B D2 R' F2 D L2 D
B D2 R' F2 D L2 D'
B D2 R' F2 D L2 D2
L2 F2 B' U F' B2 R'
L2 F2 B' U B2 F' R'
L' B L R' D' L2 F
L' B L D' L2 R' F
L' B L D' L2 F R'
L' B L D' R' L2 F
L' B L' R' D' F L2
L' B L' D' R' F L2
L' B L' D' F L2 R'
L' B L' D' F R' L2
L B L R' D' F L2
L B L D' R' F L2
L B L D' F L2 R'
L B L D' F R' L2
L2 B L2 R' D' L2 F
L B L' R' D' L2 F
B D2 F R' D F L2
B D2 F R' F D L2
L2 B L2 D' L2 R' F
L2 B L2 D' L2 F R'
L2 B L2 D' R' L2 F
B' D2 F2 L U' B2 U'
B' D2 F2 L U2 D L2
B' D2 F2 L D U2 L2
B' D2 F2 L D' R2 U2
L B L' D' L2 R' F
L B L' D' L2 F R'
L B L' D' R' L2 F
B D2 F D R' F L2
B D2 F D F L2 R'
B D2 F D F R' L2
B' D2 F2 U' B2 U' R'
B' D2 F2 D L U2 L
B' D2 F2 D' L R2 U2
B' D2 F2 D' R2 L U2
U' B R' D' L2 D' F2
L' B R' L D' L2 F
L' B R' L' D' F L2
U' B R' D2 F2 D L2
B D2 F' D L2 F' R'
B D2 F' D F' L2 R'
B D2 F' D F' R' L2
B D2 F2 L R' D L2
B D2 F2 L D L2 R'
B D2 F2 L D R' L2
L2 B R' L2 D' L2 F
B D2 F2 L' R' D L2
B D2 F2 L' D L2 R'
B D2 F2 L' D R' L2
B D2 F2 L2 R' D L2
B D2 F2 L2 D L2 R'
B D2 F2 L2 D R' L2
L2 B R' U' F2 U F'
B D2 F2 R' L D L2
B D2 F2 R' L' D L2
B D2 F2 R' L2 D L2
B D2 F2 R' U B2 U'
B D2 F2 R' D L2 D
B D2 F2 R' D L2 D'
B D2 F2 R' D L2 D2
L2 B R' D F D2 L2
U2 B R' D' L2 D' F2
B D2 F2 R2 D L2 R
B D2 F2 R2 D R L2
L2 B R' D' F L2 D
L2 B R' D' F L2 D'
L2 B R' D' F L2 D2
L2 B R' D' F' L2 F2
L2 B R' D' F2 L2 F'
U2 B R' D2 F2 D L2
L2 B R' D2 F D L2
L2 B R' F U' F U
B D2 F2 D L2 R' D
B D2 F2 D L2 R' D'
B D2 F2 D L2 R' D2
B D2 F2 D L2 D R'
B D2 F2 D L2 D' R'
B D2 F2 D L2 D2 R'
B D2 F2 D R' L2 D
B D2 F2 D R' L2 D'
B D2 F2 D R' L2 D2
B D2 F2 D2 R' D' L2
L B R' L D' F L2
L B R' L' D' L2 F
L2 B R2 D' R F L2
L B R' D' L F L
U B R' D' L2 D' F2
U B R' D2 F2 D L2
B D2 B2 U' F2 B2 R'
B D2 B2 U' B2 R' F2
B D2 B2 U' B2 F2 R'
L2 B U' F2 U F' R'
U' B D' L2 D' R' F2
U' B D' L2 D' F2 R'
L2 B D F D2 L2 R'
L2 B D F D2 R' L2
U2 B D' L2 D' R' F2
U2 B D' L2 D' F2 R'
U' B D2 R' F2 D L2
L2 B D' R F L2 R2
L2 B D' R F R2 L2
L2 B D' R' F L2 D
L2 B D' R' F L2 D'
L2 B D' R' F L2 D2
L2 B D' R' F' L2 F2
L2 B D' R' F2 L2 F'
U' B D2 F2 R' D L2
L2 B D' F L2 R' D
L2 B D' F L2 R' D'
L2 B D' F L2 R' D2
L2 B D' F L2 D R'
L2 B D' F L2 D' R'
L2 B D' F L2 D2 R'
U' B D2 F2 D L2 R'
U' B D2 F2 D R' L2
L2 B D' F R' L2 D
L2 B D' F R' L2 D'
L2 B D' F R' L2 D2
L2 B D' F' L2 R' F2
L2 B D' F' L2 F2 R'
L2 B D' F' R' L2 F2
L2 B D' F' R' F2 L2
L2 B D' F2 L2 F' R'
L B D' L R' F L
L2 B D2 R' D F L2
L2 B D2 R' F D L2
U2 B D2 R' F2 D L2
L B D' L F L R'
L B D' L F R' L
U B D' L2 D' R' F2
U B D' L2 D' F2 R'
L B D' R' L F L
L2 B D2 F R' D L2
L2 B D2 F D L2 R'
L2 B D2 F D R' L2
U2 B D2 F2 R' D L2
U2 B D2 F2 D L2 R'
U2 B D2 F2 D R' L2
F2 B R' D2 F2 D' L2
L2 B F R' U' F U
L2 B F U' F U R'
U B D2 R' F2 D L2
U B D2 F2 R' D L2
U B D2 F2 D L2 R'
U B D2 F2 D R' L2
B' F U F U B2 R'
U' B' L U F2 U B2
U' B' L U2 B2 D' L2
U2 B' L U F2 U B2
U2 B' L U2 B2 D' L2
R2 B' L D R2 U2 B
R2 B' L D F' R2 U2
R2 B' L D' F' U2 L2
R2 B' L F' U F' U
U B' L U F2 U B2
U B' L U2 B2 D' L2
F2 B D2 R' F2 D' L2
B' F' L U F' U B2
F2 B D2 F2 R' D' L2
F2 B D2 F2 D' L2 R'
F2 B D2 F2 D' R' L2
F' B' L U F' U B2
F2 B' L U2 B2 D L2
U' B' U F2 U B2 R'
U2 B' U F2 U B2 R'
U' B' U2 B2 R' D' L2
U' B' U2 B2 D' L2 R'
U' B' U2 B2 D' R' L2
U B' U F2 U B2 R'
U2 B' U2 B2 R' D' L2
U2 B' U2 B2 D' L2 R'
U2 B' U2 B2 D' R' L2
R2 B' D L R2 U2 B
R2 B' D L F' R2 U2
R2 B' D R2 L U2 B
R2 B' D F' L R2 U2
R2 B' D F' R2 L U2
U B' U2 B2 R' D' L2
U B' U2 B2 D' L2 R'
U B' U2 B2 D' R' L2
R2 B' D' L F' U2 L
B' F' U F' U B2 R'
F' B' U F' U B2 R'
R2 B' D' F' L U2 L
F B' U F U B2 R'
R2 B' F' L U F' U
F2 B' U2 B2 R' D L2
F2 B' U2 B2 D L2 R'
F2 B' U2 B2 D R' L2
L2 B' F2 U F' B2 R'
L2 B' F2 U B2 F' R'
B' F2 L U2 B2 D L2
D2 B2 R2 U' F' R B'
