U' L' R2 B R' U
R2 U' L' B R' U
R2 U' B L' R' U
R2 U' B R' L' U
U' R2 L' B R' U
U' R2 B L' R' U
U' R2 B R' L' U
R2 B L' R' U L
R2 B R' L' U L
R2 B R' D' L' U L
R2 B R' D2 L' U L
R' B U' L' R' B U
R' B U' R' L' B U
R' B U' R' B L' U
R2 B D L' R' U L
R2 B D R' L' U L
R2 B D' L' R' U L
R2 B D' R' L' U L
R2 B D2 L' R' U L
R2 B D2 R' L' U L
U' B' L' U2 L2 F' U'
U' B' L' U2 F' L2 U'
U' B' L' D2 R2 B U
L' B' U2 L F' U' L'
L' B' U2 F' L U' L2
F2 B' R F L U' L'
R2 B' U' B2 L' R' U
R2 B' U' B2 R' L' U
F2 B' U R F L U'
B' F' D' L U' B' L'
F' B' D' L U' B' L'
U' B2 L' U2 F' L' U'
B' F2 R F L U' L'
B' F2 U R F L U'
