L2 U2 D' F L'
L2 D' U2 F L'
L2 R U F' U F2
L2 R U2 F D' L2
L2 R' U' B U' F
R L2 U F' U F2
R' L2 U' B U' F
R L2 U2 F D' L2
R L2 U2 F D' L2
B' L2 R U F' U
B' L2 R' U' B U'
B2 L2 D B R' U2
L2 U R F' U F2
B' R L2 U F' U
B' R' L2 U' B U'
L2 U2 D' F L' D
L2 U2 D' F L' D'
L2 U2 D' F L' D2
L2 U2 D' F D L'
L2 U2 D' F D' L'
L2 U2 D' F D2 L'
L2 D B R' U2 F
L2 D B' U2 F L
L D' L U2 F L'
L2 D' R U2 F L'
L2 D' R U2 F L'
L2 D' R' U2 F L'
L2 D' R2 U2 F L'
L2 D' U2 F L' D
L2 D' U2 F L' D'
L2 D' U2 F L' D2
L2 D' U2 F L' D2
L2 D' U2 F D L'
L2 D' U2 F D' L'
L2 D' U2 F D2 L'
L2 D' B U2 F L'
L2 D' B' U2 F L'
L2 D' B2 U2 F L'
L2 B U2 D' F L'
L2 B D' U2 F L'
R' B' L2 U' B2 U'
R' B' L2 U2 D L2
R' B' L2 D U2 L2
R' B' L2 D' R2 U2
R B' L2 U F' U
L2 B' U2 D' F L'
D B' U' F2 U' L
D B' U2 L D R2
D B' U2 D L R2
D B' U2 D R2 L
L2 B' D' U2 F L'
D B' D U2 L R2
D B' D U2 R2 L
D B' D' L2 U2 L'
L2 B2 U2 D' F L'
L2 B2 D' U2 F L'
B2 L' D L' B R' U2
B2 L' D B L' R' U2
B2 L' D B R' L' U2
B' L' D2 L' U F U
L2 R' B' U' B2 U' F
L2 R' B' U2 D F L2
L2 R' B' U2 F D L2
L2 R' B' D U2 F L2
L2 R' B' D' R2 U2 F
L2 R' B2 U' B' U' F
R' L2 U R2 F' U F2
R L2 U D F' U F2
L2 R2 U F' U L' F2
R L2 U D' F' U F2
R2 L2 U F' U L' F2
R L2 U D2 F' U F2
R L2 U F' R U F2
R L2 U F' R' U F2
R L2 U F' R2 U F2
R L2 U F' U F2 D
R L2 U F' U F2 D'
R L2 U F' U F2 D2
R L2 U F' D R2 U
R' L2 U' D B U' F
R' L2 U' D' B U' F
R' L2 U' D2 B U' F
R' L2 U' B U' D F
R' L2 U' B U' D' F
R' L2 U' B U' D2 F
R' L2 U' B U' F D
R' L2 U' B U' F D'
R' L2 U' B U' F D2
R' L2 U' B D U' F
R' L2 U' B D' U' F
R' L2 U' B D2 U' F
L2 R2 U' B U' F L
R2 L2 U' B U' F L
R' L2 U2 F U B U'
R L2 U2 D F D' L2
R L2 U2 D' F D' L2
R L2 U2 D2 F D' L2
R L2 U2 F L D' L2
R L2 U2 F L' D' L2
R L2 U2 F L2 D' L2
R L2 U2 F U' F2 U
R L2 U2 F D' L2 D
R L2 U2 F D' L2 D'
R L2 U2 F D' L2 D2
R' L2 D U' B U' F
R L2 D U F' U F2
R L2 D U2 F D' L2
R' L2 D' U' B U' F
R L2 D' U F' U F2
R L2 D' U2 F D' L2
B' L2 R U D F' U
B' L2 R U D' F' U
B' L2 R U D2 F' U
B' L2 R U F' U D
B' L2 R U F' U D'
B' L2 R U F' U D2
B' L2 R U F' D U
B' L2 R U F' D' U
B' L2 R U F' D2 U
B' L2 R D U F' U
B' L2 R D' U F' U
R' L2 D2 U' B U' F
B' L2 R D2 U F' U
B' L2 R' U' D B U'
B' L2 R' U' D' B U'
B' L2 R' U' D2 B U'
R L2 D2 U F' U F2
B' L2 R' U' B U' D
B' L2 R' U' B U' D'
B' L2 R' U' B U' D2
B' L2 R' U' B D U'
B' L2 R' U' B D' U'
B' L2 R' U' B D2 U'
R L2 D2 U2 F D' L2
B' L2 R' D U' B U'
B L2 R B2 U F' U
B' L2 R' D' U' B U'
B2 L2 R' U' B L U'
B' L2 R' D2 U' B U'
B' L2 R2 U F' U L'
B' L2 R2 U' B U' L
B L2 R' B2 U' B' U'
B' L2 U R F' R' U
B' L2 U D' F U L'
B2 L2 U R2 U F' L'
D' L2 U B2 U F L'
B' L2 U' R' B R U'
B' L2 U' D B' U' L
D2 L2 U2 R2 D' F L'
B' L2 U2 D B' L B
F' L2 U2 D F B' L
F' L2 U2 D B' F L
B' L2 U2 D' F L' F'
F' L2 U2 D' F B' L'
R L2 B U F' U F2
F' L2 U2 D' B' F L'
D' L2 U2 F L' D' R2
D' L2 U2 F D' L' R2
D' L2 U2 F D' R2 L'
F' L2 U2 F D B' L
R L2 B U2 F D' L2
B' L2 U2 F' D' F L'
B' L2 U2 B D B' L
R' L2 B' U' B2 U' F
R' L2 B' U2 D F L2
R' L2 B' U2 F D L2
F' L2 U2 B' D' F L'
R' L2 B' D U2 F L2
R' L2 B' D' R2 U2 F
U L2 U2 D' F L' B2
U L2 U2 D' F B2 L'
U L2 U2 D' B2 F L'
B' L2 D U' B' U' L
R L2 B' U F' U F2
B' L2 D U2 B' L B
F' L2 D U2 F B' L
F' L2 D U2 B' F L
R L2 B' U2 F D' L2
B' L2 D B R' B' U2
R' L2 B2 U' B' U' F
B2 L2 D B R' U2 D
B2 L2 D B R' U2 D'
B2 L2 D B R' U2 D2
B2 L2 D B R' D U2
B2 L2 D B R' D' U2
B2 L2 D B R' D2 U2
B2 L2 D B D R' U2
B2 L2 D B D' R' U2
B2 L2 D B D2 R' U2
B' L2 D' U F U L'
R L2 B2 U F' U F2
B' L2 D' U2 F L' F'
F' L2 D' U2 F B' L'
F' L2 D' U2 B' F L'
R L2 B2 U2 F D' L2
B' L2 D' F' R F U2
F L2 D' F' R U2 F2
F L2 D' F' U2 F2 L'
U L2 D' U2 F L' B2
U L2 D' U2 F B2 L'
U L2 D' U2 B2 F L'
U L2 D' F L' B2 R'
D' L2 F L' D' R2 B
D' L2 F D' L' R2 B
D' L2 F D' R2 L' B
D' L2 F D' R2 B L'
B' L2 F D' F' R U2
B' L2 F' D' F U2 L'
L2 U R U F D' L2
L2 U R D F' U F2
L2 U R D' F' U F2
L2 U R D2 F' U F2
L2 U R F' R U F2
L2 U R F' R' U F2
L2 U R F' R2 U F2
L2 U R F' U F2 D
L2 U R F' U F2 D'
L2 U R F' U F2 D2
L2 U R F' D R2 U
L2 U R' U2 B U' F
B2 L2 B R U F' U
B2 L2 B R' U' B U'
B' L2 B D B' U2 L
L2 U R2 U F' L' F2
B L2 B D B R' U2
L2 U R2 F2 U F' L'
B' L2 B' D B R' U2
B L2 B' D B' U2 L
B L2 B2 R U F' U
B L2 B2 R' U' B U'
L2 U D' R U F L'
B2 L2 B2 D B' U2 L
L2 U D' R' U F L'
L2 U D' R2 U F L'
L2 U D' F' U F2 L'
L2 U F R F' U F
B' R L2 U D F' U
B' R L2 U D' F' U
B' R L2 U D2 F' U
B' R L2 U F' U D
B' R L2 U F' U D'
B' R L2 U F' U D2
B' R L2 U F' D U
B' R L2 U F' D' U
B' R L2 U F' D2 U
B' R L2 D U F' U
B' R L2 D' U F' U
B' R L2 D2 U F' U
L2 U F' R F' U F'
B R L2 B2 U F' U
B' R U D' F' B2 U
B' R U D' B2 F' U
B' R U D2 F' U R2
B' R U F' U D2 R2
B' R U F' U' L2 U2
B' R U F' D' B2 U
B' R U F' D2 U R2
R U F' U' L2 U2 F
R U F' U' B' L2 U2
B' R D' U F' B2 U
B' R D' U B2 F' U
D2 R D' B' U2 L R
D2 R D' B' U2 R L
B' R D2 U F' U R2
U R F' U' L2 U2 F
U R F' U' B' L2 U2
L2 U' R' B R U' F
D R B' U' F2 U' L
D R B' U2 L D R2
D R B' U2 D L R2
D R B' U2 D R2 L
D R B' D U2 L R2
D R B' D U2 R2 L
D R B' D' L2 U2 L'
L2 U' D B' U' F L
B R B2 L2 U F' U
L2 U' D' B U' F L'
L2 U' D' B' U' F L'
L2 U' D' B2 U' F L'
B' R' L2 U' D B U'
B' R' L2 U' D' B U'
B' R' L2 U' D2 B U'
B' R' L2 U' B U' D
B' R' L2 U' B U' D'
B' R' L2 U' B U' D2
B' R' L2 U' B D U'
B' R' L2 U' B D' U'
B' R' L2 U' B D2 U'
B' R' L2 D U' B U'
B' R' L2 D' U' B U'
B2 R' L2 U' B L U'
B' R' L2 D2 U' B U'
B R' L2 B2 U' B' U'
B' R' U' D F2 B U'
B' R' U' D B F2 U'
B' R' U' D2 B U' R2
R' U' B U L2 B2 U2
R' U' B U B2 L2 U2
R' U' B U' D2 R2 F2
R' U' B U' D2 F2 R2
B' R' U' B U L2 U2
B' R' U' B U' D2 R2
B' R' U' B D F2 U'
B' R' U' B D2 U' R2
R' U' B D L2 F2 U'
R' U' B D F2 L2 U'
R' U' B D2 U' R2 F2
R' U' B D2 U' F2 R2
L2 U' B U' D' F L'
L2 U' B D' U' F L'
L2 U' B' U' D' F L'
B' R' D U' F2 B U'
B' R' D U' B F2 U'
L2 U' B' D' U' F L'
L2 U' B2 U' D' F L'
L2 U' B2 D' U' F L'
B' R' D2 U' B U' R2
L2 U2 L' D' L F L'
L2 U2 L2 D' L2 F L'
L2 U2 R F R' D' L2
L2 U2 R F D' L2 R'
L2 U2 R F D' R' L2
D R' B' U' F2 U' L
D R' B' U2 L D R2
D R' B' U2 D L R2
D R' B' U2 D R2 L
D R' B' D U2 L R2
D R' B' D U2 R2 L
D R' B' D' L2 U2 L'
L2 U2 D F B' L B
L2 U2 D B' F L B
L2 U2 D' L F L' F
B R' B2 L2 U F U
L2 U2 D' R F L' R'
L2 U2 D' R F R' L'
L2 U2 D' R2 F L' R2
L2 U2 D' R2 F R2 L'
L2 U2 D' F L2 D L
L2 U2 D' F L2 D' L
L2 U2 D' F L2 D2 L
L2 U2 D' F D L' D
L2 U2 D' F D L' D'
L2 U2 D' F D L' D2
L2 U2 D' F D' L' D
L2 U2 D' F D' L' D'
L2 U2 D' F D' L' D2
L2 U2 D' F D2 L' D
L2 U2 D' F D2 L' D'
L2 U2 D' F D2 L' D2
L2 U2 D' F B' L' B
L2 U2 D' F B2 L' B2
L2 U2 D' F' L F2 L'
L2 U2 D' F' L' F2 L'
L2 U2 D' F' L2 F2 L'
L2 U2 D' F2 L F' L'
L2 U2 D' F2 L' F' L'
L2 U2 D' F2 L2 F' L'
L2 U2 D' F2 D F' L'
L2 U2 D' F2 D' F' L'
L2 U2 D' F2 D2 F' L'
L2 U2 D' B' F L' B
L2 U2 D' B2 F L' B2
B' R2 L2 U F' U L'
B' R2 L2 U' B U' L
L2 U2 F D B' L B
L2 U2 F D' F L' F'
L2 U2 F B D B' L
L2 U2 F2 D' F L' F2
L2 U2 B D F B' L
L2 U2 B D B' F L
L2 U2 B D' F B' L'
L2 U2 B D' B' F L'
L2 U2 B F D B' L
U R2 U' B' L2 R' U2
U R2 U' B' R' L2 U2
L2 U2 B' D' F L' B
L2 U2 B' D' F B L'
L2 U2 B' D' B F L'
L D L U2 D2 F L'
L D L D2 U2 F L'
L D L B R' U2 F
L D L B' U2 F L
L D L' B' L2 U2 L'
L2 D L2 B' L2 U2 L'
L2 D R U2 D2 F L'
L2 D R D2 U2 F L'
L2 D R B R' U2 F
L2 D R B' U2 F L
L2 D R' U2 D2 F L'
L2 D R' D2 U2 F L'
L2 D R' B R' U2 F
L2 D R' B' U2 F L
L2 D R2 U2 D2 F L'
L2 D R2 D2 U2 F L'
L2 D R2 B R' U2 F
L2 D R2 B' U2 F L
D R2 B' U' F2 U' L
D R2 B' U2 L D R2
D R2 B' U2 D L R2
D R2 B' U2 D R2 L
D R2 B' D U2 L R2
D R2 B' D U2 R2 L
D R2 B' D' L2 U2 L'
L2 D U' B' U' F L
L2 D U2 F B' L B
L2 D U2 B' F L B
L2 D B R' U2 D F
L2 D B R' U2 D' F
L2 D B R' U2 D2 F
L2 D B R' U2 F D
L2 D B R' U2 F D'
L2 D B R' U2 F D2
L2 D B R' D U2 F
L2 D B R' D' U2 F
L2 D B R' D2 U2 F
L2 D B R' B U2 F
L2 D B R' B' U2 F
L2 D B R' B2 U2 F
L2 D B D R' U2 F
L2 D B D' R' U2 F
R' D B' U' F2 B2 U'
R' D B' U' B2 F2 U'
R' D B' U2 D L2 R2
R' D B' U2 D R2 L2
L2 D B D2 R' U2 F
R' D B' D U2 L2 R2
R' D B' D U2 R2 L2
R' D B' D' L2 R2 U2
R' D B' D' R2 L2 U2
L2 D B' R U2 F L
L2 D B' R' U2 F L
L2 D B' R2 U2 F L
L2 D B' U2 D F L
L2 D B' U2 D' F L
L2 D B' U2 D2 F L
L2 D B' U2 F L D
L2 D B' U2 F L D'
L2 D B' U2 F L D2
L2 D B' U2 F D L
L2 D B' U2 F D' L
L2 D B' U2 F D2 L
L2 D B' U2 F' L F2
L2 D B' U2 F2 L F'
L2 D B' D U2 F L
L2 D B' D' U2 F L
L2 D B' D2 U2 F L
L2 D B2 U2 F' L' F2
B' U D' F B2 U L'
B' U D' B2 F U L'
L D B2 U2 R' F' L'
U' D F2 U B' U2 L
L D' L R U2 F L'
L D' L R' U2 F L'
L D' L R2 U2 F L'
L D' L U2 F L' D
L D' L U2 F L' D'
L D' L U2 F L' D2
L D' L U2 F D L'
L D' L U2 F D' L'
L D' L U2 F D2 L'
L D' L B U2 F L'
L D' L B' U2 F L'
L D' L B2 U2 F L'
L2 D' R U2 F L' D
L2 D' R U2 F L' D'
L2 D' R U2 F L' D2
L2 D' R U2 F D L'
L2 D' R U2 F D' L'
L2 D' R U2 F D2 L'
L D' R L U2 F L'
L2 D' R B U2 F L'
L2 D' R B' U2 F L'
L2 D' R B2 U2 F L'
L2 D' R' U2 F L' D
L2 D' R' U2 F L' D'
L2 D' R' U2 F L' D2
L2 D' R' U2 F D L'
L2 D' R' U2 F D' L'
L2 D' R' U2 F D2 L'
L D' R' L U2 F L'
L2 D' R' B U2 F L'
L2 D' R' B' U2 F L'
L2 D' R' B2 U2 F L'
L2 D' R2 U2 F L' D
L2 D' R2 U2 F L' D'
L2 D' R2 U2 F L' D2
L2 D' R2 U2 F D L'
L2 D' R2 U2 F D' L'
L2 D' R2 U2 F D2 L'
L2 D' R2 B U2 F L'
L D' R2 L U2 F L'
L2 D' R2 B' U2 F L'
L2 D' R2 B2 U2 F L'
L2 D' U R U F L'
L2 D' U R' U F L'
L2 D' U R2 U F L'
L2 D' U F' U F2 L'
L2 D' U' B U' F L'
L2 D' U' B' U' F L'
U2 D' L2 F L' D' R2
U2 D' L2 F D' L' R2
U2 D' L2 F D' R2 L'
L2 D' U' B2 U' F L'
L2 D' U2 L F L' F
L2 D' U2 R F L' R'
L2 D' U2 R F R' L'
L2 D' U2 R2 F L' R2
L2 D' U2 R2 F R2 L'
L2 D' U2 F L2 D L
L2 D' U2 F L2 D' L
L2 D' U2 F L2 D2 L
L2 D' U2 F D L' D
L2 D' U2 F D L' D'
L2 D' U2 F D L' D2
L2 D' U2 F D' L' D
L2 D' U2 F D' L' D'
L2 D' U2 F D' L' D2
L2 D' U2 F D2 L' D
L2 D' U2 F D2 L' D'
L2 D' U2 F D2 L' D2
L2 D' U2 F B' L' B
L2 D' U2 F B2 L' B2
L2 D' U2 F' L F2 L'
L2 D' U2 F' L' F2 L'
L2 D' U2 F' L2 F2 L'
L2 D' U2 F2 L F' L'
L2 D' U2 F2 L' F' L'
L2 D' U2 F2 L2 F' L'
L2 D' U2 F2 D F' L'
L2 D' U2 F2 D' F' L'
L2 D' U2 F2 D2 F' L'
L2 D' U2 B' F L' B
L2 D' U2 B2 F L' B2
L2 D' F' R F U2 F
L2 D' B R U2 F L'
L2 D' B R' U2 F L'
L2 D' B R2 U2 F L'
L2 D' B U2 F L' D
L2 D' B U2 F L' D'
L2 D' B U2 F L' D2
L2 D' B U2 F D L'
L2 D' B U2 F D' L'
L2 D' B U2 F D2 L'
L2 D' B' R U2 F L'
L2 D' B' R' U2 F L'
L2 D' B' R2 U2 F L'
L2 D' B' U2 F L' D
L2 D' B' U2 F L' D'
L2 D' B' U2 F L' D2
L2 D' B' U2 F D L'
L2 D' B' U2 F D' L'
L2 D' B' U2 F D2 L'
B' U' D F2 B' U' L
B' U' D B' F2 U' L
L2 D' B2 R U2 F L'
L2 D' B2 R' U2 F L'
L2 D' B2 R2 U2 F L'
D U' F2 U B' U2 L
R D' B' U F' B' U
R D' B' U B' F' U
L2 D' B2 U2 F L' D
L2 D' B2 U2 F L' D'
L2 D' B2 U2 F L' D2
L2 D' B2 U2 F D L'
L2 D' B2 U2 F D' L'
L2 D' B2 U2 F D2 L'
L D2 L U' B' U' F
L2 D2 R U2 D F L'
L2 D2 R D U2 F L'
D' U2 L2 F L' D' R2
D' U2 L2 F D' L' R2
D' U2 L2 F D' R2 L'
L2 D2 R' U2 D F L'
L2 D2 R' D U2 F L'
L2 D2 R2 U2 D F L'
L2 D2 R2 D U2 F L'
D2 U2 R2 D L2 F L'
U2 D2 R2 D L2 F L'
L2 D2 B U2 D F L'
L2 D2 B D U2 F L'
R' D2 B' U' B2 U' R2
R' D2 B' U2 R2 D L2
L2 D2 B' U2 D F L'
L2 D2 B' D U2 F L'
L2 D2 B2 U2 D F L'
L2 D2 B2 D U2 F L'
R D2 B' U F' U R2
L2 F D' F' R U2 F
B' D U' F2 B' U' L
B' D U' B' F2 U' L
B2 D B R' U' F2 U'
B2 D B R' U2 D R2
B2 D B R' D U2 R2
B2 D B R' D' L2 U2
B2 D B D R' U2 R'
B2 D B D' L2 R' U2
B2 D B D' R' L2 U2
R F' U' L2 U2 F B'
R F' U' L2 U2 B' F
R F' U' F L2 U2 F
R F' U' F B' L2 U2
R F' U' B' L2 U2 B'
R F' U' B' F L2 U2
F2 D' L2 B2 U F L'
B' D' U F B2 U L'
B' D' U B2 F U L'
B' D2 L U' B' U' R2
D F2 U F2 B' U2 L
D F2 U B' F2 U2 L
B' D2 L' U F U R2
L' B L' U2 D' F L'
L' B L' D' U2 F L'
R' B L2 B2 U' B2 U'
R' B L2 B2 U2 D L2
R' B L2 B2 D U2 L2
R' B L2 B2 D' R2 U2
L2 B R U F' U F2
L2 B R U2 F D' L2
L2 B R' U' B U' F
R B L2 B2 U F' U
D B R' B2 U' F2 U'
D B R' B2 U2 D R2
D B R' B2 D U2 R2
D B R' B2 D' L2 U2
L2 B U R F' U F2
L2 B U2 D' F L' D
L2 B U2 D' F L' D'
L2 B U2 D' F L' D2
L2 B U2 D' F D L'
L2 B U2 D' F D' L'
L2 B U2 D' F D2 L'
B' F L2 D' F' R U2
L2 B D B R' U2 F
L2 B D B' U2 F L
L2 B D' R U2 F L'
L2 B D' R' U2 F L'
L2 B D' R2 U2 F L'
L2 B D' U2 F L' D
L2 B D' U2 F L' D'
L2 B D' U2 F L' D2
L2 B D' U2 F D L'
L2 B D' U2 F D' L'
L2 B D' U2 F D2 L'
L2 B D' B U2 F L'
L2 B D' B' U2 F L'
L2 B D' B2 U2 F L'
R' B' L U' B2 U' R'
D2 B' L U' B' U' R2
R' B' L D L U2 L
R' B' L D' L R2 U2
R' B' L D' R2 L U2
D2 B' L' U F U R2
R' B' L' D L' U2 L'
R' B' L' D' L' R2 U2
R' B' L' D' R2 L' U2
L' B' L' U2 D' F L'
L' B' L' D' U2 F L'
R' B' L2 R U' B2 U'
R' B' L2 R U2 D L2
R' B' L2 R D U2 L2
R' B' L2 R D' R2 U2
D B' L D' L2 U2 L2
R' B' L2 R' U' B2 U'
R' B' L2 R' U2 D L2
R' B' L2 R' D U2 L2
R' B' L2 R' D' R2 U2
R' B' L2 R2 U' B2 U'
R' B' L2 R2 U2 D L2
R' B' L2 R2 D U2 L2
R' B' L2 R2 D' R2 U2
R' B' L2 U D2 F2 U
R' B' L2 U' B2 U' D
R' B' L2 U' B2 U' D'
R' B' L2 U' B2 U' D2
R' B' L2 U' B2 D U'
R' B' L2 U' B2 D' U'
R' B' L2 U' B2 D2 U'
R' B' L2 U2 L D L2
R' B' L2 U2 L' D L2
R' B' L2 U2 L2 D L2
R' B' L2 U2 D L2 D
R' B' L2 U2 D L2 D'
R' B' L2 U2 D L2 D2
D' B' L2 U' F U' L'
R' B' L2 D R U2 L2
R' B' L2 D R' U2 L2
R' B' L2 D R2 U2 L2
R' B' L2 D U2 L2 D
R' B' L2 D U2 L2 D'
R' B' L2 D U2 L2 D2
R' B' L2 D' R2 U2 D
R' B' L2 D' R2 U2 D'
R' B' L2 D' R2 U2 D2
R' B' L2 D' R2 D U2
R' B' L2 D' R2 D' U2
R' B' L2 D' R2 D2 U2
R' B' L2 D2 U F2 U
D B' L' U' F2 U' L2
D B' L' U2 L2 D R2
R' B' R L2 U' B2 U'
R' B' R L2 U2 D L2
R' B' R L2 D U2 L2
R' B' R L2 D' R2 U2
R2 B' L2 R U' B U'
R2 B' L2 R' U F' U
R2 B' L2 U F' U L'
R2 B' L2 U' B U' L
D B' L2 U2 L' D R2
D B' L2 U2 D L' R2
D B' L2 U2 D R2 L'
D B' L2 D U2 L' R2
D B' L2 D U2 R2 L'
D B' L2 D' L2 U2 L
L2 B' R U F' U F2
R' B' R' L2 U' B2 U'
R' B' R' L2 U2 D L2
R' B' R' L2 D U2 L2
R' B' R' L2 D' R2 U2
L2 B' R U2 F D' L2
R2 B' R L2 U' B U'
D B' R U' F2 U' L
R B' L2 R2 U' B U'
D B' R U2 L D R2
D B' R U2 D L R2
D B' R U2 D R2 L
R B' L2 U D F' U
R B' L2 U D' F' U
R B' L2 U D2 F' U
R B' L2 U F' U D
R B' L2 U F' U D'
R B' L2 U F' U D2
R B' L2 U F' D U
R B' L2 U F' D' U
R B' L2 U F' D2 U
D B' R D U2 L R2
D B' R D U2 R2 L
D B' R D' L2 U2 L'
R' B' R2 L2 U' B2 U'
R' B' R2 L2 U2 D L2
R' B' R2 L2 D U2 L2
R' B' R2 L2 D' R2 U2
R B' L2 D U F' U
L2 B' R' U' B U' F
R B' L2 D' U F' U
R B' L2 D2 U F' U
R2 B' R' L2 U F' U
D B' R' U' F2 U' L
D B' R' U2 L D R2
D B' R' U2 D L R2
D B' R' U2 D R2 L
D B' R' D U2 L R2
D B' R' D U2 R2 L
D B' R' D' L2 U2 L'
R' B' U D2 F2 U R2
D' B' U D2 B' U L
D' B' U F B' U L'
D B' R2 U' F2 U' L
D B' R2 U2 L D R2
D B' R2 U2 D L R2
D B' R2 U2 D R2 L
D B' R2 D U2 L R2
D B' R2 D U2 R2 L
D B' R2 D' L2 U2 L'
D' B' U B' F U L'
L2 B' U R F' U F2
B' F' L2 U2 D B' L
B' F' L2 D U2 B' L
R' B' U' D F2 U' L2
F' B' L2 U2 D B' L
F' B' L2 D U2 B' L
R B' R2 L2 U' B U'
R' B' U' B2 U L2 U2
R' B' U' B2 U' D2 R2
R' B' U' B2 D F2 U'
R' B' U' B2 D2 U' R2
R' B' U2 D L2 D R2
R' B' U2 D2 R2 D' L2
R B' U D' F' B2 U
R B' U D' B2 F' U
R B' U D2 F' U R2
D B' U' F2 U' L D
D B' U' F2 U' L D'
D B' U' F2 U' L D2
D B' U' F2 U' D L
D B' U' F2 U' D' L
D B' U' F2 U' D2 L
D B' U' F2 D U' L
D B' U' F2 D' U' L
D B' U' F2 D2 U' L
L2 B' U2 D' F L' D
L2 B' U2 D' F L' D'
L2 B' U2 D' F L' D2
L2 B' U2 D' F D L'
L2 B' U2 D' F D' L'
L2 B' U2 D' F D2 L'
R B' U F' U D2 R2
R B' U F' U' L2 U2
R' B' D U' F2 U' L2
R B' U F' D' B2 U
R B' U F' D2 U R2
R' B' D U2 L2 D R2
F B' L2 D' F' R U2
D B' U2 L R D R2
D B' U2 L R' D R2
D B' U2 L R2 D R2
D B' U2 L U F2 U'
D B' U2 L D R2 D
D B' U2 L D R2 D'
D B' U2 L D R2 D2
D B' U2 L2 D L' R2
D B' U2 L2 D R2 L'
D B' U2 R L D R2
D B' U2 R D L R2
D B' U2 R D R2 L
D B' U2 R' L D R2
D B' U2 R' D L R2
D B' U2 R' D R2 L
D B' U2 R2 L D R2
D B' U2 R2 D L R2
D B' U2 R2 D R2 L
D B' U2 D L R2 D
D B' U2 D L R2 D'
D B' U2 D L R2 D2
D B' U2 D R2 L D
D B' U2 D R2 L D'
D B' U2 D R2 L D2
D B' U2 D R2 D L
D B' U2 D R2 D' L
D B' U2 D R2 D2 L
D B' U2 D2 L D' R2
R' B' D' R2 U B2 U
R' B' D' R2 U2 D' R2
R' B' D' R2 D L2 U2
R' B' D' R2 D' U2 R2
D B' D L' U2 L2 R2
D B' D L' U2 R2 L2
L2 B' D B R' U2 F
D B' D L2 U2 L' R2
D B' D L2 U2 R2 L'
L2 B' D B' U2 F L
D B' D R U2 L R
D B' D R U2 R L
D B' D R' U2 L R'
D B' D R' U2 R' L
L2 B' D' R U2 F L'
D B' D U2 L R2 D
D B' D U2 L R2 D'
D B' D U2 L R2 D2
D B' D U2 R2 L D
D B' D U2 R2 L D'
D B' D U2 R2 L D2
D B' D U2 R2 D L
D B' D U2 R2 D' L
D B' D U2 R2 D2 L
L2 B' D' R' U2 F L'
L2 B' D' R2 U2 F L'
R' B' D2 U F2 U R2
L2 B' D' U2 F L' D
