F' U F' U' L'
U F2 U' F L'
F' L U F' U' L'
U L F2 U' F L'
F' L' U F' U' L'
U L' F2 U' F L'
F' L2 U F' U' L'
U L2 F2 U' F L'
L' U F2 U' F L'
L2 U F2 U' F L'
L U F2 U' F L'
F2 R B U' F B'
F2 R B U' B' F
F' U D F' U' L'
F' U D' F' U' L'
F' U D2 F' U' L'
F' U F' U' L' D
F' U F' U' L' D'
F' U F' U' L' D2
F' U F' U' D L'
F' U F' U' D' L'
F' U F' U' D2 L'
F' U F' D U' L'
F' U F' D' U' L'
F' U F' D2 U' L'
F' U F' B U' L'
F' U F' B' U' L'
F' U F' B2 U' L'
F' U B F' U' L'
F' U B' F' U' L'
F' U B2 F' U' L'
F' D U F' U' L'
L' F' U F' U' L'
L2 F' U F' U' L'
L F' U F' U' L'
F' D' U F' U' L'
D F2 R2 D' F L'
U F2 U' F L' D
U F2 U' F L' D'
U F2 U' F L' D2
U F2 U' F D L'
U F2 U' F D' L'
U F2 U' F D2 L'
F' D2 U F' U' L'
U F2 B U' F L'
U F2 B' U' F L'
U F2 B2 U' F L'
U B F2 U' F L'
F2 B' U' F B L
F2 B' U' B F L
U B' F2 U' F L'
D2 B2 U F' L' B2
D2 B2 U F' B2 L'
D2 B2 U B2 F' L'
B' F2 U' F B L
B' F2 U' B F L
B' F2 U' B F L
U B2 F2 U' F L'
F' L2 U D' F' U' L'
F' L2 U D2 F' U' L'
F' L2 U F' U' L' D
F' L2 U F' U' L' D'
F' L2 U F' U' L' D2
F' L2 U F' U' D L'
F' L2 U F' U' D' L'
F' L2 U F' U' D2 L'
F' L2 U F' D U' L'
F' L2 U F' D' U' L'
F' L2 U F' D2 U' L'
F' L2 U F' B U' L'
F' L2 U F' B' U' L'
F' L2 U F' B2 U' L'
F' L2 U B F' U' L'
F' L2 U B' F' U' L'
F' L2 U B2 F' U' L'
F' L2 D U F' U' L'
U' L2 D F' R2 B L
F' L2 D' U F' U' L'
L' U L F2 U' F L'
F' L2 D2 U F' U' L'
L2 U L F2 U' F L'
L U L F2 U' F L'
L' U L' F2 U' F L'
L2 U L' F2 U' F L'
L U L' F2 U' F L'
L' U L2 F2 U' F L'
L2 U L2 F2 U' F L'
L U L2 F2 U' F L'
B' L2 F2 U' F B L
B' L2 F2 U' B F L
D L2 F2 R2 D' F L'
U L2 F2 U' F L' D
U L2 F2 U' F L' D'
U L2 F2 U' F L' D2
U L2 F2 U' F D L'
U L2 F2 U' F D' L'
U L2 F2 U' F D2 L'
U L2 F2 B U' F L'
U L2 F2 B' U' F L'
U L2 F2 B2 U' F L'
U L2 B F2 U' F L'
D2 L2 B2 U F' L' B2
D2 L2 B2 U F' B2 L'
D2 L2 B2 U B2 F' L'
U L2 B' F2 U' F L'
U L2 B2 F2 U' F L'
R U F' L' F' B U'
R U F' L' B F' U'
F' R U F B U' R
F' R U B F U' R
L' U F2 U' F L' D
L' U F2 U' F L' D'
L' U F2 U' F L' D2
L' U F2 U' F D L'
L' U F2 U' F D' L'
L' U F2 U' F D2 L'
R U F' B L' F' U'
F R U F B U' F
L' U F2 B U' F L'
L2 U F2 U' F L' D
L2 U F2 U' F L' D'
L2 U F2 U' F L' D2
L2 U F2 U' F D L'
L2 U F2 U' F D' L'
L2 U F2 U' F D2 L'
L' U F2 B' U' F L'
L' U F2 B2 U' F L'
F R U B F U' F
L U F2 U' F L' D
L U F2 U' F L' D'
L U F2 U' F L' D2
L U F2 U' F D L'
L U F2 U' F D' L'
L U F2 U' F D2 L'
L2 U F2 B U' F L'
L2 U F2 B' U' F L'
L2 U F2 B2 U' F L'
L U F2 B U' F L'
L U F2 B' U' F L'
L U F2 B2 U' F L'
L' U B F2 U' F L'
L2 U B F2 U' F L'
L U B F2 U' F L'
R U B F' L' F' U'
L' U B' F2 U' F L'
L2 U B' F2 U' F L'
F2 R D B U' F B'
F2 R D B U' B' F
L U B' F2 U' F L'
L' U B2 F2 U' F L'
L2 U B2 F2 U' F L'
F2 R D' B U' F B'
F2 R D' B U' B' F
L U B2 F2 U' F L'
F2 R D2 B U' F B'
F2 R D2 B U' B' F
F2 R F U F' B U'
F2 R F U B F' U'
F R F B U' F B'
F R F B U' B' F
F R F2 U F' B U'
F R F2 U B F' U'
F2 R B R U' F B'
F2 R B R U' B' F
F2 R B R' U' F B'
F2 R B R' U' B' F
F2 R B R2 U' F B'
F2 R B R2 U' B' F
F2 R B U' D F B'
F2 R B U' D B' F
F2 R B U' D' F B'
F2 R B U' D' B' F
F2 R B U' D2 F B'
F2 R B U' D2 B' F
F2 R B U' F D B'
F2 R B U' F D' B'
F2 R B U' F D2 B'
F2 R B U' F B' D
F2 R B U' F B' D'
F2 R B U' F B' D2
F2 R B U' B' D F
F2 R B U' B' D' F
F2 R B U' B' D2 F
F2 R B U' B' F D
F2 R B U' B' F D'
F2 R B U' B' F D2
F2 R B D U' F B'
F2 R B D U' B' F
F2 R B D' U' F B'
F2 R B D' U' B' F
F2 R B D2 U' F B'
F2 R B D2 U' B' F
F R B F U' F B'
F R B F U' B' F
F' R' U' D' F' U R
R U' B L F2 R U'
F' R' D' U' F' U R
F' R' F D' L2 F' R
F' R' F D' F' L2 R
F' R' F D' F' R L2
R2 U2 D B R' U2 R'
D R2 U' R2 U F' L'
D R2 U2 D B R' U2
B R2 D R2 F' B' L
B R2 D R2 B' L F'
B R2 D R2 B' F' L
D R2 D U2 B R' U2
D2 R2 D' R2 F L' F2
D2 R2 D' F L' R2 F'
U R2 D R2 F' L' B2
D2 R2 D' F R2 L' F'
U R2 D R2 F' B2 L'
U R2 D R2 B2 F' L'
D2 R2 D' F2 R2 F' L'
R2 D R2 D2 F L' F2
R2 D R2 F' B' L B
R2 D R2 F2 D2 F L'
R2 D R2 B' L F' B
R2 D R2 B' L B F'
R2 D R2 B' F' L B
R2 D U2 B R' U2 R'
F' U L' F' L U' L2
F' U L2 F' L2 U' L
L' D F2 R2 D' F L'
L2 D F2 R2 D' F L'
L D F2 R2 D' F L'
R2 D B R' U2 R' B'
R2 D B' L B R2 F'
B' U D F' L' B R2
B' U D F' B L' R2
B' U D F' B R2 L'
F' U D F' U' L' D
F' U D F' U' L' D'
F' U D F' U' L' D2
F' U D F' U' D L'
F' U D F' U' D' L'
F' U D F' U' D2 L'
F' U D F' D U' L'
F' U D F' D' U' L'
F' U D F' D2 U' L'
F' U D F' B U' L'
F' U D F' B' U' L'
F' U D F' B2 U' L'
B' U D B F' L' R2
B' U D B F' R2 L'
F' U D B F' U' L'
F' U D B' F' U' L'
F' U D B2 F' U' L'
F' U D' F' U' L' D
F' U D' F' U' L' D'
F' U D' F' U' L' D2
F' U D' F' U' D L'
F' U D' F' U' D' L'
F' U D' F' U' D2 L'
F' U D' F' D U' L'
F' U D' F' D' U' L'
B U D F' R2 B' L'
F' U D' F' D2 U' L'
F' U D' F' B U' L'
F' U D' F' B' U' L'
F' U D' F' B2 U' L'
D U F U' F2 L' R2
D U F U' F2 R2 L'
B U D F' B' L' R2
B U D F' B' R2 L'
F' U D' B F' U' L'
F' U D' B' F' U' L'
B U D B' F' L' R2
B U D B' F' R2 L'
F' U D' B2 F' U' L'
U D F U' F2 L' R2
U D F U' F2 R2 L'
D U F' L' R2 D B2
F' U D2 F' U' L' D
F' U D2 F' U' L' D'
F' U D2 F' U' L' D2
F' U D2 F' U' D L'
F' U D2 F' U' D' L'
F' U D2 F' U' D2 L'
F' U D2 F' D U' L'
F' U D2 F' D' U' L'
F' U D2 F' D2 U' L'
F' U D2 F' B U' L'
F' U D2 F' B' U' L'
D U F' R2 L' D B2
F' U D2 F' B2 U' L'
D U F' R2 D L' B2
D U F' R2 D B2 L'
F' U D2 B F' U' L'
U D F' L' R2 D B2
F' U D2 B' F' U' L'
F' U D2 B2 F' U' L'
U D F' R2 L' D B2
U D F' R2 D L' B2
U D F' R2 D B2 L'
U' D B U L F' R2
U' D B U F' L R2
U' D B U F' R2 L
D U F2 U' R2 F L'
D U F2 U' F L' R2
D U F2 U' F R2 L'
U D F2 U' R2 F L'
U D F2 U' F L' R2
U D F2 U' F R2 L'
F' U F' U R U2 L'
F' U F' U R' U2 L'
F' U F' U R2 U2 L'
F' U F' U' L2 D L
F' U F' U' L2 D' L
F' U F' U' L2 D2 L
F' U F' U' D L' D
F' U F' U' D L' D'
F' U F' U' D L' D2
F' U F' U' D' L' D
F' U F' U' D' L' D'
F' U F' U' D' L' D2
F' U F' U' D2 L' D
F' U F' U' D2 L' D'
F' U F' U' D2 L' D2
F' U F' U' B' L' B
F' U F' U' B2 L' B2
F' U F' D U' L' D
F' U F' D U' L' D'
F' U F' D U' L' D2
F U F U R U2 F
F' U F' D B U' L'
F' U F' D B' U' L'
F' U F' D B2 U' L'
F' U F' D' U' L' D
F' U F' D' U' L' D'
F' U F' D' U' L' D2
F' U F' D' B U' L'
F' U F' D' B' U' L'
F' U F' D' B2 U' L'
F U F U' F2 L' F'
F' U F' D2 U' L' D
F' U F' D2 U' L' D'
F' U F' D2 U' L' D2
F' U F' D2 B U' L'
F' U F' D2 B' U' L'
F' U F' D2 B2 U' L'
F' U F' B U' L' D
F' U F' B U' L' D'
F' U F' B U' L' D2
F' U F' B U' D L'
F' U F' B U' D' L'
F' U F' B U' D2 L'
F' U F' B D U' L'
F' U F' B D' U' L'
F' U F' B D2 U' L'
F' U F' B' U' L' D
F' U F' B' U' L' D'
F' U F' B' U' L' D2
F' U F' B' U' D L'
F' U F' B' U' D' L'
F' U F' B' U' D2 L'
F' U F' B' D U' L'
F' U F' B' D' U' L'
F' U F' B' D2 U' L'
F' U F' B2 U' L' D
F' U F' B2 U' L' D'
F' U F' B2 U' L' D2
F' U F' B2 U' D L'
F' U F' B2 U' D' L'
F' U F' B2 U' D2 L'
F' U F' B2 D U' L'
F' U F' B2 D' U' L'
F' U F' B2 D2 U' L'
B' U F2 U' F L' B
B' U F2 U' F B L'
B' U F2 U' B F L'
B2 U F2 U' F L' B2
B2 U F2 U' F B2 L'
B2 U F2 U' B2 F L'
B U F2 U' F B' L'
B U F2 U' B' F L'
B' U B D F' L' R2
B' U B D F' R2 L'
F' U B D F' U' L'
F' U B D' F' U' L'
F' U B D2 F' U' L'
F' U B F' U' L' D
F' U B F' U' L' D'
F' U B F' U' L' D2
F' U B F' U' D L'
F' U B F' U' D' L'
F' U B F' U' D2 L'
F' U B F' D U' L'
F' U B F' D' U' L'
F' U B F' D2 U' L'
F' U B' D F' U' L'
F' U B' D' F' U' L'
R2 D' R2 F L' F2 R
F' U B' D2 F' U' L'
F' U B' F' U' L' D
F' U B' F' U' L' D'
F' U B' F' U' L' D2
F' U B' F' U' D L'
F' U B' F' U' D' L'
F' U B' F' U' D2 L'
F' U B' F' D U' L'
F' U B' F' D' U' L'
F' U B' F' D2 U' L'
B U B' D F' L' R2
B U B' D F' R2 L'
F' U B2 D F' U' L'
F' U B2 D' F' U' L'
F' U B2 D2 F' U' L'
B2 U B2 D F' L' R2
B2 U B2 D F' R2 L'
F' U B2 F' U' L' D
F' U B2 F' U' L' D'
F' U B2 F' U' L' D2
F' U B2 F' U' D L'
F' U B2 F' U' D' L'
F' U B2 F' U' D2 L'
F' U B2 F' D U' L'
F' U B2 F' D' U' L'
F' U B2 F' D2 U' L'
R2 D' F D2 L' R2 F'
R2 D' F D2 R2 L' F'
R2 D' F2 D2 R2 F' L'
R2 D' B L2 F U2 L'
F' U' R2 B R2 U L
B' U' D F' B L R2
B' U' D F' B R2 L
B' U' D B L F' R2
B' U' D B F' L R2
B' U' D B F' R2 L
D U' B U L F' R2
D U' B U F' L R2
D U' B U F' R2 L
R' D2 L' F D' L2 R2
R' D2 L' F D' R2 L2
B' U' B L D F' R2
B' U' B D L F' R2
B' U' B D F' L R2
B' U' B D F' R2 L
F' U' B U2 F' U' L
F' U2 L' U' F' B' U'
F' U2 L' U' B' F' U'
F' U2 R2 U B U L
L' D2 B2 U F' L' B2
L' D2 B2 U F' B2 L'
L' D2 B2 U B2 F' L'
L2 D2 B2 U F' L' B2
L2 D2 B2 U F' B2 L'
L2 D2 B2 U B2 F' L'
L D2 B2 U F' L' B2
L D2 B2 U F' B2 L'
L D2 B2 U B2 F' L'
D F R2 F D' F L'
F' D L U F' U' L'
F' D L' U F' U' L'
F' D L2 U F' U' L'
B2 D L2 U F' L' R2
B2 D L2 U F' R2 L'
F2 D R B U' F B'
F2 D R B U' B' F
B' D U F' L' B R2
B' D U F' B L' R2
B' D U F' B R2 L'
B' D U B F' L' R2
B' D U B F' R2 L'
F' D U F' U' L' D
F' D U F' U' L' D'
F' D U F' U' L' D2
F' D U F' U' D L'
F' D U F' U' D' L'
F' D U F' U' D2 L'
F' D U F' D U' L'
F' D U F' D' U' L'
F' D U F' D2 U' L'
F' D U F' B U' L'
F' D U F' B' U' L'
F' D U F' B2 U' L'
F' D U B F' U' L'
F' D U B' F' U' L'
F' D U B2 F' U' L'
B' D U' F' B L R2
B' D U' F' B R2 L
B' D U' B L F' R2
L' F' L U F' U' L'
B' D U' B F' L R2
B' D U' B F' R2 L
B D U F' R2 B' L'
B D U F' B' L' R2
B D U F' B' R2 L'
L2 F' L U F' U' L'
B D U B' F' L' R2
B D U B' F' R2 L'
L' F' L' U F' U' L'
L2 F' L' U F' U' L'
L F' L U F' U' L'
L' F' L2 U F' U' L'
F2 D F U F' U' L'
U F' L F' U' F L2
L2 F' L2 U F' U' L'
L F' L' U F' U' L'
L F' L2 U F' U' L'
B D F' R2 D B' L
D2 F' R' U' F' B2 U
D2 F' R' U' B2 F' U
U F' L2 F' U' F L
D F' R U B U' R
D F' R' U' F' U R'
F2 D B' U' F B L
F2 D B' U' B F L
L' F' U D F' U' L'
L' F' U D' F' U' L'
L' F' U D2 F' U' L'
D F' R2 D B' L B
D F' R2 D' F L' F'
L' F' U F' U' L' D
L' F' U F' U' L' D'
L' F' U F' U' L' D2
L' F' U F' U' D L'
L' F' U F' U' D' L'
L' F' U F' U' D2 L'
L' F' U F' D U' L'
L' F' U F' D' U' L'
L' F' U F' D2 U' L'
L' F' U F' B U' L'
L' F' U F' B' U' L'
L' F' U F' B2 U' L'
L' F' U B F' U' L'
D F' R2 F' D' F L'
L' F' U B' F' U' L'
L' F' U B2 F' U' L'
D F' R2 B D B' L
L2 F' U D F' U' L'
L2 F' U D' F' U' L'
L2 F' U D2 F' U' L'
L2 F' U F' U' L' D
L2 F' U F' U' L' D'
L2 F' U F' U' L' D2
L2 F' U F' U' D L'
L2 F' U F' U' D' L'
L2 F' U F' U' D2 L'
L2 F' U F' D U' L'
L2 F' U F' D' U' L'
L2 F' U F' D2 U' L'
L2 F' U F' B U' L'
L2 F' U F' B' U' L'
L2 F' U F' B2 U' L'
L2 F' U B F' U' L'
L2 F' U B' F' U' L'
L2 F' U B2 F' U' L'
F' D' L U F' U' L'
D F' U F' U' L' R2
D F' U F' U' R2 L'
L F' U D F' U' L'
L F' U D' F' U' L'
L F' U D2 F' U' L'
L F' U F' U' L' D
L F' U F' U' L' D'
L F' U F' U' L' D2
L F' U F' U' D L'
L F' U F' U' D' L'
L F' U F' U' D2 L'
L F' U F' D U' L'
L F' U F' D' U' L'
L F' U F' D2 U' L'
L F' U F' B U' L'
L F' U F' B' U' L'
L F' U F' B2 U' L'
L F' U B F' U' L'
R F' U F' L' B U'
L F' U B' F' U' L'
R F' U F' B L' U'
L F' U B2 F' U' L'
F' D' L' U F' U' L'
R F' U B F' L' U'
D F' U' B U L R2
D F' U' B U R2 L
L' F' D U F' U' L'
F' D' L2 U F' U' L'
L2 F' D U F' U' L'
L' F' D' U F' U' L'
L2 F' D' U F' U' L'
L F' D U F' U' L'
U F' D F' U' F L'
L' F' D2 U F' U' L'
F2 D' R B U' F B'
F2 D' R B U' B' F
L2 F' D2 U F' U' L'
L F' D' U F' U' L'
U F' D' F' U' F L'
L F' D2 U F' U' L'
U F' D2 F' U' F L'
D F' B R2 D B' L
F' D' U F' U' L' D
F' D' U F' U' L' D'
F' D' U F' U' L' D2
F' D' U F' U' D L'
F' D' U F' U' D' L'
F' D' U F' U' D2 L'
F' D' U F' D U' L'
F' D' U F' D' U' L'
F' D' U F' D2 U' L'
F' D' U F' B U' L'
F' D' U F' B' U' L'
F' D' U F' B2 U' L'
F' D' U B F' U' L'
F' D' U B' F' U' L'
F' D' U B2 F' U' L'
U F2 L U' L' F L'
U F2 L U' F L' F
F2 D' F U F' U' L'
L' F2 R B U' F B'
L' F2 R B U' B' F
U F2 L2 U' L2 F L'
D2 F2 R' F D' L2 R2
D2 F2 R' F D' R2 L2
L2 F2 R B U' F B'
L2 F2 R B U' B' F
D2 F2 R2 D' R2 F L'
D2 F2 R2 D' F L' R2
D2 F2 R2 D' F R2 L'
L F2 R B U' F B'
L F2 R B U' B' F
D F2 R' F R' D' L2
D F2 R' F D' L2 R'
D F2 R' F D' R' L2
F2 D' B' U' F B L
F2 D' B' U' B F L
D F2 R2 D' F L' D
D F2 R2 D' F L' D'
D F2 R2 D' F L' D2
D F2 R2 D' F D L'
D F2 R2 D' F D' L'
D F2 R2 D' F D2 L'
U2 F2 U F2 U2 F' L'
F' D2 L U F' U' L'
U F2 U R U2 F L'
U F2 U R' U2 F L'
U F2 U R2 U2 F L'
U F2 U B U2 F L'
U F2 U B' U2 F L'
F' D2 L' U F' U' L'
U F2 U B2 U2 F L'
U F2 U' L F L' F
U F2 U' R F L' R'
U F2 U' R F R' L'
U F2 U' R2 F L' R2
U F2 U' R2 F R2 L'
U F2 U' F L2 D L
U F2 U' F L2 D' L
U F2 U' F L2 D2 L
U F2 U' F D L' D
U F2 U' F D L' D'
U F2 U' F D L' D2
U F2 U' F D' L' D
U F2 U' F D' L' D'
U F2 U' F D' L' D2
U F2 U' F D2 L' D
U F2 U' F D2 L' D'
U F2 U' F D2 L' D2
U F2 U' F B' L' B
U F2 U' F B2 L' B2
U F2 U' F' L F2 L'
U F2 U' F' L' F2 L'
U F2 U' F' L2 F2 L'
U F2 U' F2 L F' L'
U F2 U' F2 L' F' L'
U F2 U' F2 L2 F' L'
U F2 U' F2 D F' L'
U F2 U' F2 D' F' L'
U F2 U' F2 D2 F' L'
U F2 U' B' F L' B
F' D2 L2 U F' U' L'
U F2 U' B2 F L' B2
U F2 U2 R U F L'
U F2 U2 R' U F L'
D2 F2 D' R2 D' F L'
U F2 U2 R2 U F L'
U F2 U2 F' U F2 L'
D' F2 D2 R2 D' F L'
F2 D2 R B U' F B'
F2 D2 R B U' B' F
L' F2 B' U' F B L
L' F2 B' U' B F L
U F2 D2 B' U' F L
L2 F2 B' U' F B L
L2 F2 B' U' B F L
F' D2 U F' U' L' D
F' D2 U F' U' L' D'
F' D2 U F' U' L' D2
F' D2 U F' U' D L'
F' D2 U F' U' D' L'
F' D2 U F' U' D2 L'
F' D2 U F' D U' L'
F' D2 U F' D' U' L'
F' D2 U F' D2 U' L'
F' D2 U F' B U' L'
F' D2 U F' B' U' L'
F' D2 U F' B2 U' L'
F' D2 U B F' U' L'
F' D2 U B' F' U' L'
F' D2 U B2 F' U' L'
U F2 B U' F L' D
U F2 B U' F L' D'
U F2 B U' F L' D2
U F2 B U' F D L'
U F2 B U' F D' L'
U F2 B U' F D2 L'
R F2 B R' U' F' B'
R F2 B R' U' B' F'
L F2 B' U' F B L
U F2 B' U' F L' D
U F2 B' U' F L' D'
U F2 B' U' F L' D2
U F2 B' U' F D L'
U F2 B' U' F D' L'
U F2 B' U' F D2 L'
L F2 B' U' B F L
U F2 B2 U' F L' D
U F2 B2 U' F L' D'
U F2 B2 U' F L' D2
U F2 B2 U' F D L'
U F2 B2 U' F D' L'
U F2 B2 U' F D2 L'
F2 D2 F U F' U' L'
U B L F2 U' F L'
U B L' F2 U' F L'
U B L2 F2 U' F L'
U' B U L D F' R2
U' B U D L F' R2
U' B U D F' L R2
U' B U D F' R2 L
F2 D2 B' U' F B L
F2 D2 B' U' B F L
B' D2 B2 U F' B' L'
B' D2 B2 U B' F' L'
R B R' F2 U' F B'
R B R' F2 U' B' F
D B U F' R2 B' L'
D B U F' B' L' R2
D B U F' B' R2 L'
B D2 B2 U F' L' B
B D2 B2 U F' B L'
B D2 B2 U B F' L'
D B U B' F' L' R2
D B U B' F' R2 L'
U' B U2 F2 U' F L
U2 B U' F2 U' F L'
U' B D U L F' R2
U' B D U F' L R2
U' B D U F' R2 L
R2 B U2 D R2 B' L
R2 B U2 D B' L R2
R2 B U2 D B' R2 L
R2 B D U2 R2 B' L
R2 B D U2 B' L R2
R2 B D U2 B' R2 L
R2 B D B' L R2 F'
R2 B D B' R2 L F'
R2 B D B' R2 F' L
R2 B D' L2 F U2 L'
F2 B R B U' F B2
F2 B R B U' B2 F
F' B U F' U' B' L'
D B F' R2 D B' L
F2 B U' F B L B2
F2 B U' B F L B2
U B F2 U' F L' D
U B F2 U' F L' D'
U B F2 U' F L' D2
U B F2 U' F D L'
U B F2 U' F D' L'
U B F2 U' F D2 L'
R B F2 R' U' F' B'
R B F2 R' U' B' F'
U B' L F2 U' F L'
U B' L' F2 U' F L'
U B' L2 F2 U' F L'
D B' U F' L' B R2
D B' U F' B L' R2
D B' U F' B R2 L'
D B' U B F' L' R2
D B' U B F' R2 L'
U2 B' U' F2 U' F L'
D B' U' F' B L R2
D B' U' F' B R2 L
D B' U' B L F' R2
D B' U' B F' L R2
D B' U' B F' R2 L
B' F' U F' U' L' B
B' F' U F' U' B L'
U' B' D2 B2 U L F'
U' B' D2 B2 U F' L
F' B' U F' U' L' B
F' B' U F' U' B L'
B2 F' U F' U' L' B2
B2 F' U F' U' B2 L'
F2 B' U' L' B L F
F2 B' U' D F B L
F2 B' U' D B F L
F2 B' U' D' F B L
F2 B' U' D' B F L
B F' U F' U' B' L'
F2 B' U' D2 F B L
F2 B' U' D2 B F L
F2 B' U' F L B L
F2 B' U' F L' B L
F2 B' U' F L2 B L
F2 B' U' F D B L
F2 B' U' F D' B L
F2 B' U' F D2 B L
F2 B' U' F B L D
F2 B' U' F B L D'
F2 B' U' F B L D2
F2 B' U' F B D L
F2 B' U' F B D' L
F2 B' U' F B D2 L
F2 B' U' F' B L F2
F2 B' U' F2 B L F'
F2 B' U' B D F L
F2 B' U' B D' F L
F2 B' U' B D2 F L
F2 B' U' B F L D
F2 B' U' B F L D'
F2 B' U' B F L D2
F2 B' U' B F D L
F2 B' U' B F D' L
F2 B' U' B F D2 L
F2 B' U' B F' L F2
F2 B' U' B F2 L F'
L' B' F2 U' F B L
L' B' F2 U' B F L
D2 B2 L U F' L' B2
D2 B2 L U F' B2 L'
D2 B2 L U B2 F' L'
L2 B' F2 U' F B L
L2 B' F2 U' B F L
F2 B' D U' F B L
F2 B' D U' B F L
D2 B2 L' U F' L' B2
D2 B2 L' U F' B2 L'
D2 B2 L' U B2 F' L'
F2 B' D' U' F B L
F2 B' D' U' B F L
L B' F2 U' F B L
L B' F2 U' B F L
U B' F2 U' F L' D
U B' F2 U' F L' D'
U B' F2 U' F L' D2
U B' F2 U' F D L'
U B' F2 U' F D' L'
U B' F2 U' F D2 L'
D2 B2 L2 U F' L' B2
D2 B2 L2 U F' B2 L'
D2 B2 L2 U B2 F' L'
F2 B' D2 U' F B L
F2 B' D2 U' B F L
U B2 L F2 U' F L'
U B2 L' F2 U' F L'
U B2 L2 F2 U' F L'
D2 B2 U L F' L' B2
D2 B2 U L F' B2 L'
D2 B2 U L B2 F' L'
D2 B2 U L' F' L' B2
D2 B2 U L' F' B2 L'
D2 B2 U L' B2 F' L'
D2 B2 U L2 F' L' B2
D2 B2 U L2 F' B2 L'
D2 B2 U L2 B2 F' L'
D2 B2 U F' L B2 L2
D2 B2 U F' L' B2 D
D2 B2 U F' L' B2 D'
D2 B2 U F' L' B2 D2
D2 B2 U F' B L' B
D2 B2 U F' B2 L' D
D2 B2 U F' B2 L' D'
D2 B2 U F' B2 L' D2
D2 B2 U F' B2 D L'
D2 B2 U F' B2 D' L'
D2 B2 U F' B2 D2 L'
D2 B2 U B F' L' B
B2 F2 R B U' F B
B2 F2 R B U' B F
D2 B2 U B2 L F' L'
D2 B2 U B2 L' F' L'
D2 B2 U B2 L2 F' L'
D2 B2 U B2 D F' L'
D2 B2 U B2 D' F' L'
