R2 L' U' R' F L'
R2 L' U' F L' R'
R2 L' U' F R' L'
L' R2 U' R' F L'
L' R2 U' F L' R'
L' R2 U' F R' L'
R2 U' L' R' F L'
R2 U' L' F L' R'
R2 U' L' F R' L'
R2 U' R' L' F L'
R2 U' R' F L' F
R2 U' F L' R' F
R2 U' F L' F R'
R2 U' F R' L' F
R2 F U' L' R' F
R2 F U' L' F R'
R2 F U' R' L' F
L' R2 U' R' F L' D
L' R2 U' R' F L' D'
L' R2 U' R' F L' D2
L' R2 U' R' F D L'
L' R2 U' R' F D' L'
L' R2 U' R' F D2 L'
L R2 U' L2 R' F L'
L R2 U' L2 F L' R'
L R2 U' L2 F R' L'
L' R2 U' F L' R' D
L' R2 U' F L' R' D'
L' R2 U' F L' R' D2
L' R2 U' F L' D R'
L' R2 U' F L' D' R'
L' R2 U' F L' D2 R'
L' R2 U' F R' L' D
L' R2 U' F R' L' D'
L' R2 U' F R' L' D2
L' R2 U' F R' D L'
L' R2 U' F R' D' L'
L' R2 U' F R' D2 L'
L' R2 U' F D L' R'
L' R2 U' F D R' L'
L' R2 U' F D' L' R'
L' R2 U' F D' R' L'
L' R2 U' F D2 L' R'
L R2 U' R' L2 F L'
L' R2 U' F D2 R' L'
L' R2 F' U' F2 L' R'
L' R2 F' U' F2 R' L'
R U L' R U' F L'
R2 U L' U2 R' F L'
R2 U L' U2 F L' R'
R2 U L' U2 F R' L'
R U R L' U' F L'
R U R U' L' F L'
R U R U' F L' F
L' U R2 U' R' F L'
L' U R2 U' F L' R'
L' U R2 U' F R' L'
D2 L2 B' U L R F'
D2 L2 B' U R L F'
D2 L2 B' U R F' L
D R U' F' R U B2
R2 U' L' R F L' R2
R2 U' L' R F R2 L'
R2 U' L' R' F L' D
R2 U' L' R' F L' D'
R2 U' L' R' F L' D2
R2 U' L' R' F D L'
R2 U' L' R' F D' L'
R2 U' L' R' F D2 L'
R2 U' L' F L' R' D
R2 U' L' F L' R' D'
R2 U' L' F L' R' D2
R2 U' L' F L' D R'
R2 U' L' F L' D' R'
R2 U' L' F L' D2 R'
R2 U' L' F R' L' D
R2 U' L' F R' L' D'
R2 U' L' F R' L' D2
R2 U' L' F R' D L'
R2 U' L' F R' D' L'
R2 U' L' F R' D2 L'
R2 U' L' F D L' R'
R2 U' L' F D R' L'
R2 U' L' F D' L' R'
R2 U' L' F D' R' L'
R2 U' L' F D2 L' R'
R2 U' L' F D2 R' L'
D R F' R U R' B2
D2 R F' B D' B2 L
D2 R F' B' D' L B2
R2 U' R L' F L' R2
R2 U' R L' F R2 L'
R2 U' R F L' R2 F
R2 U' R F L' F R2
R2 U' R F R2 L' F
R2 U' R' L' F L' D
R2 U' R' L' F L' D'
R2 U' R' L' F L' D2
R2 U' R' L' F D L'
R2 U' R' L' F D' L'
R2 U' R' L' F D2 L'
R2 U' R' F L' D F
R2 U' R' F L' D' F
R2 U' R' F L' D2 F
R2 U' R' F L' F D
R2 U' R' F L' F D'
R2 U' R' F L' F D2
D2 R B D' F' B2 L
D2 R B D' B2 L F'
D2 R B D' B2 F' L
L' U' R2 U' R' F L'
L' U' R2 U' F L' R'
L' U' R2 U' F R' L'
D2 R B F' D' B2 L
D2 R B' D' L F' B2
D2 R B' D' L B2 F'
D2 R B' D' F' L B2
D2 R B' F' D' L B2
D R B2 U' F' R U
R2 U' F L' R F R2
R2 U' F L' R' D F
R2 U' F L' R' D' F
R2 U' F L' R' D2 F
R2 U' F L' R' F D
R2 U' F L' R' F D'
R2 U' F L' R' F D2
R2 U' F L' D R' F
R2 U' F L' D F R'
R2 U' F L' D' R' F
R2 U' F L' D' F R'
R2 U' F L' D2 R' F
R2 U' F L' D2 F R'
R2 U' F L' F R' D
R2 U' F L' F R' D'
R2 U' F L' F R' D2
R2 U' F L' F D R'
R2 U' F L' F D' R'
R2 U' F L' F D2 R'
R2 U' F L' F' R' F2
R2 U' F R L' F R2
R2 U' F R' L' D F
R2 U' F R' L' D' F
R2 U' F R' L' D2 F
R2 U' F R' L' F D
R2 U' F R' L' F D'
R2 U' F R' L' F D2
R2 U' F2 R' F' L' F
L' U2 R2 U' R' F L'
L' U2 R2 U' F L' R'
L' U2 R2 U' F R' L'
B' R2 L' U' R' F L'
U' R2 L' U' R' F L'
B' R2 L' U' F L' R'
B' R2 L' U' F R' L'
U' R2 L' U' F L' R'
U' R2 L' U' F R' L'
B2 R2 L' U' R' F L'
B2 R2 L' U' F L' R'
B2 R2 L' U' F R' L'
U2 R2 L' U' R' F L'
U2 R2 L' U' F L' R'
U2 R2 L' U' F R' L'
B R2 L' U' R' F L'
B R2 L' U' F L' R'
B R2 L' U' F R' L'
U R2 L' U' R' F L'
U R2 L' U' F L' R'
U R2 L' U' F R' L'
R2 U2 F U L' R' F
R2 U2 F U L' F R'
R2 U2 F U R' L' F
B' R2 U' L' R' F L'
U' R2 U' L' R' F L'
B' R2 U' L' F L' R'
B' R2 U' L' F R' L'
U' R2 U' L' F L' R'
U' R2 U' L' F R' L'
B2 R2 U' L' R' F L'
B' R2 U' R' L' F L'
U' R2 U' R' L' F L'
B2 R2 U' L' F L' R'
B2 R2 U' L' F R' L'
U' R2 U' R' F L' F
B' R2 U' R' F L' F
U2 R2 U' L' R' F L'
U2 R2 U' L' F L' R'
U2 R2 U' L' F R' L'
B2 R2 U' R' L' F L'
B2 R2 U' R' F L' F
B' R2 U' F L' R' F
U' R2 U' F L' R' F
B' R2 U' F L' F R'
U' R2 U' F L' F R'
B' R2 U' F R' L' F
U' R2 U' F R' L' F
U2 R2 U' R' L' F L'
U2 R2 U' R' F L' F
B R2 U' L' R' F L'
B R2 U' L' F L' R'
B R2 U' L' F R' L'
B2 R2 U' F L' R' F
B2 R2 U' F L' F R'
B2 R2 U' F R' L' F
B R2 U' R' L' F L'
U2 R2 U' F L' R' F
U2 R2 U' F L' F R'
U2 R2 U' F R' L' F
B R2 U' R' F L' F
F R2 U' L' F' R F2
U R2 U' L' R' F L'
U R2 U' L' F L' R'
U R2 U' L' F R' L'
B R2 U' F L' R' F
B R2 U' F L' F R'
B R2 U' F R' L' F
U R2 U' R' L' F L'
U R2 U' R' F L' F
U R2 U' F L' R' F
U R2 U' F L' F R'
U R2 U' F R' L' F
U' R2 F U' L' R' F
U' R2 F U' L' F R'
B' R2 F U' L' R' F
B' R2 F U' L' F R'
U' R2 F U' R' L' F
B' R2 F U' R' L' F
B2 R2 F U' L' R' F
B2 R2 F U' L' F R'
B2 R2 F U' R' L' F
U2 R2 F U' L' R' F
U2 R2 F U' L' F R'
U2 R2 F U' R' L' F
B R2 F U' L' R' F
B R2 F U' L' F R'
B R2 F U' R' L' F
U R2 F U' L' R' F
U R2 F U' L' F R'
U R2 F U' R' L' F
L' D R F B2 D' L2
L' D R B2 F D' L2
L' D B2 R F D' L2
L' D B2 D' R F L'
R2 F L U' L2 R' F
R2 F L U' L2 F R'
R2 F L U' R' L2 F
R F L' F U' L' U
R' F R' U' L' R' F
R' F R' U' L' F R'
R' F R' U' R' L' F
R F L2 D' L F B'
R F L2 D' L B' F
R2 F U' L' R F R2
R2 F U' L' R' D F
R2 F U' L' R' D' F
R2 F U' L' R' D2 F
R2 F U' L' R' F D
R2 F U' L' R' F D'
R2 F U' L' R' F D2
R2 F U' L' D R' F
R2 F U' L' D F R'
R2 F U' L' D' R' F
R2 F U' L' D' F R'
R2 F U' L' D2 R' F
R2 F U' L' D2 F R'
R2 F U' L' F R' D
R2 F U' L' F R' D'
R2 F U' L' F R' D2
R2 F U' L' F D R'
R2 F U' L' F D' R'
R2 F U' L' F D2 R'
R2 F U' L' F' R' F2
R2 F U' R L' F R2
R2 F U' R' L' D F
R2 F U' R' L' D' F
R2 F U' R' L' D2 F
R2 F U' R' L' F D
R2 F U' R' L' F D'
R2 F U' R' L' F D2
R2 F' U' F2 L' R' F
R2 F' U' F2 L' F R'
R2 F' U' F2 R' L' F
D' F2 D L' U2 F L'
L' B R2 U' R' F L'
L' B R2 U' F L' R'
L' B R2 U' F R' L'
D2 B' L2 U L' R F'
D2 B' L2 U R L' F'
D2 B' R D' L F' B2
D2 B' R D' L B2 F'
D2 B' R D' F' L B2
D2 B' R F' D' L B2
L' B' R2 U' R' F L'
L' B' R2 U' F L' R'
L' B' R2 U' F R' L'
D B' D R F' B' L
D B' D R B' L F'
D B' D R B' F' L
D B' D B' L R F'
D B' D B' R L F'
D B' D B' R F' L
D B2 R U' F' R U
L' B2 R2 U' R' F L'
L' B2 R2 U' F L' R'
L' B2 R2 U' F R' L'
D B2 D' L' R F L'
D B2 D' R L' F L'
D B2 D' R F L' F
