F' L U L2 R' F
F' L U L2 F R'
F' L U R' L2 F
F' L' R' D' F B2
F' L' R' D' B2 F
F' L' R' F D' B2
F' L' D' R' F B2
F' L' D' R' B2 F
F' L' D' F R' B2
F' L' F R' D' B2
F' L' F D' R' B2
F' R' L' D' F B2
F' R' L' D' B2 F
F' R' L' F D' B2
R' F' L' D' F B2
R' F' L' D' B2 F
R' F' L' F D' B2
F' L' D2 F D R' B2
F' L' F R' U' L2 U
F' L' F R' D' B2 D
F' L' F R' D' B2 D'
F' L' F R' D' B2 D2
F' L' F R' B D' B2
F' L' F R' B' D' B2
F' L' F R' B2 D' B2
F' L' F R2 D' R B2
F' L' F R2 D' B2 R
F2 L' F R' D' L' B2
F2 L' F R' D' B2 L'
F' L' F U' L2 U R'
F' L' F D R' D2 B2
F' L' F D' R B2 R2
F' L' F D' R' B2 D
F' L' F D' R' B2 D'
F' L' F D' R' B2 D2
F' L' F D' R2 B2 R
F2 L' F D' L' R' B2
F2 L' F D' R' L' B2
F2 L' F D' R' B2 L'
F' L' F B2 D' B2 R'
F' L' F' R' F2 D' B2
F' L' F2 D' F' R' B2
F' L' B2 D' F B2 R'
F' L' B2 D' B2 R' F
F' L' B2 D' B2 F R'
F' L' B2 F D' B2 R'
L U L2 R' D F L'
L U L2 D R' F L'
L U L2 D F L' R'
L U L2 D F R' L'
L U R' L2 D F L'
F' R L U L2 R2 F
F' R L U L2 F R2
F' R L U R2 L2 F
F' R L' F R2 D' B2
R' U' L U' B' R' U2
D2 R F' L' R2 D' B2
D2 R F' R2 L' D' B2
L' U' R' F D' L2 B2
L' U' R' F D' B2 L2
F' R' L' D' F B2 D
F' R' L' D' F B2 D'
F' R' L' D' F B2 D2
F' R' L' D' B2 D F
F' R' L' D' B2 D' F
F' R' L' D' B2 D2 F
F' R' L' D' B2 F D
F' R' L' D' B2 F D'
F' R' L' D' B2 F D2
F' R' L' D2 F D B2
U' R' L' F D' L2 B2
U' R' L' F D' B2 L2
F' R' L' F U' L2 U
F' R' L' F D' B2 D
F' R' L' F D' B2 D'
F' R' L' F D' B2 D2
F' R' L' F B D' B2
F' R' L' F B' D' B2
F' R' L' F B2 D' B2
F' R' L' F2 D' F' B2
F' R' L' F2 D' B2 F'
F' R' L' B D' F B2
F' R' L' B D' B2 F
F' R' L' B F D' B2
F2 R' L' F D' L' B2
F2 R' L' F D' B2 L'
F' R' L' B' D' F B2
F' R' L' B' D' B2 F
F' R' L' B' F D' B2
F' R' L' B2 D' F B2
F' R' L' B2 D' B2 F
F' R' L' B2 F D' B2
F' R' U' L U L2 F
F2 R' F L' D' F B2
F2 R' F L' D' B2 F
F2 R' F L' F D' B2
F' R2 L U L2 R F
F' R2 L U R L2 F
F' R2 L' D' R F B2
F' R2 L' D' R B2 F
F' R2 L' D' B2 R F
F' U L U L2 R' F
F' U L U L2 F R'
F' U L U R' L2 F
F' U L' R' D' F B2
F' U L' R' D' B2 F
F' U L' R' F D' B2
L' D F R' D2 L2 B'
F' U L' D' R' F B2
F' U L' D' R' B2 F
F' U L' D' F R' B2
F' U L' F R' D' B2
F' U L' F D' R' B2
F' U R' L' D' F B2
F' U R' L' D' B2 F
F' U R' L' F D' B2
L' D' R F R2 B2 L
L' D' R' F' L' F2 B2
L' D' R' F' L' B2 F2
L' D' R' F' B2 L' F2
L' D' R' B2 F' L' F2
F' U' L U L2 R' F
F' U' L U L2 F R'
F' U' L U R' L2 F
F' U' L' R' D' F B2
F' U' L' R' D' B2 F
F' U' L' R' F D' B2
L' D' F R' B2 D2 L2
L' D' F R2 B2 L R
L' D' F R2 B2 R L
F' U' L' D' R' F B2
F' U' L' D' R' B2 F
F' U' L' D' F R' B2
F' U' L' F R' D' B2
F' U' L' F D' R' B2
L' D' F' L' R' F2 B2
L' D' F' L' R' B2 F2
L' D' F' L' F2 R' B2
L' D' F' R' L' F2 B2
L' D' F' R' L' B2 F2
L' D' F' R' B2 L' F2
F' U' R' L' D' F B2
F' U' R' L' D' B2 F
F' U' R' L' F D' B2
R2 D2 R F' L' D' B2
F' U2 L U L2 R' F
F' U2 L U L2 F R'
F' U2 L U R' L2 F
F' U2 L' R' D' F B2
F' U2 L' R' D' B2 F
F' U2 L' R' F D' B2
F' U2 L' D' R' F B2
F' U2 L' D' R' B2 F
F' U2 L' D' F R' B2
F' U2 L' F R' D' B2
F' U2 L' F D' R' B2
F' U2 R' L' D' F B2
F' U2 R' L' D' B2 F
F' U2 R' L' F D' B2
L' F R' D' B2 D' L2
L' F R' D2 L2 D B2
L' F R2 D' B2 L R
L' F R2 D' B2 R L
L F U R' D2 L2 F
L F U' R B' U2 R2
L' F D R' D2 L2 B2
L' F D R' D2 B2 L2
L' F D' R' B2 D2 L2
L' F D' R2 B2 L R
L' F D' R2 B2 R L
D F' L R U L2 R2
D F' L R U R2 L2
R' F' L' D' F B2 D
R' F' L' D' F B2 D'
R' F' L' D' F B2 D2
R' F' L' D' B2 D F
R' F' L' D' B2 D' F
R' F' L' D' B2 D2 F
R' F' L' D' B2 F D
R' F' L' D' B2 F D'
R' F' L' D' B2 F D2
R' F' L' D2 F D B2
R' F' L' F U' L2 U
R' F' L' F D' B2 D
R' F' L' F D' B2 D'
R' F' L' F D' B2 D2
R' F' L' F B D' B2
R' F' L' F B' D' B2
R' F' L' F B2 D' B2
R' F' L' F2 D' F' B2
R' F' L' F2 D' B2 F'
R' F' L' B D' F B2
R' F' L' B D' B2 F
R' F' L' B F D' B2
R' F' L' B' D' F B2
R' F' L' B' D' B2 F
R' F' L' B' F D' B2
R' F' L' B2 D' F B2
R' F' L' B2 D' B2 F
R' F' L' B2 F D' B2
L' F' L' F2 R' D B2
R F' L U L2 R2 F
R F' L U L2 F R2
R F' L U R2 L2 F
L' F' L2 U L R' F2
L' F' L2 U L F2 R'
L' F' L2 U R' L F2
L' F' L2 U R' F2 L
L' F' L2 U F2 L R'
L' F' L2 U F2 R' L
D F' L' R' D' F2 B2
D F' L' R' D' B2 F2
R2 F' L' D' F R B2
R2 F' L' D' F B2 R
R2 F' L' D' B2 F R
R2 F' L' F R D' B2
R2 F' L' F D' R B2
R2 F' L' F D' B2 R
R F' L' R2 D' F B2
R F' L' R2 D' B2 F
R F' L' R2 F D' B2
R F' L' F R2 D' B2
D F' R L U L2 R2
D F' R L U R2 L2
D F' R' L' D' F2 B2
D F' R' L' D' B2 F2
R' F' U' L U L2 F
R F' R2 L' D' F B2
R F' R2 L' D' B2 F
R F' R2 L' F D' B2
L F' U L2 R' F L
L F' U L2 F L R'
L F' U L2 F R' L
L F' U R' L2 F L
R' F2 L' F D' L' B2
R' F2 L' F D' B2 L'
L F2 U L2 R' F L'
L F2 U L2 F L' R'
L F2 U L2 F R' L'
L F2 U R' L2 F L'
