U L2 R' B' L
L2 U R' B' L
U R' L2 B' L
U L R' B' L B'
U L2 R B' L R2
U L2 R B' R2 L
U L2 R' B' L D
U L2 R' B' L D'
U L2 R' B' L D2
U L2 R' B' D L
U L2 R' B' D' L
U L2 R' B' D2 L
U L2 R2 B' L R
U L2 R2 B' R L
U' L2 U2 R' B' L
L U L R' B' L
L2 U R B' L R2
L2 U R B' R2 L
L U R' L B' L
L2 U R' B' L D
L2 U R' B' L D'
L2 U R' B' L D'
L2 U R' B' L D2
L2 U R' B' D L
L2 U R' B' D' L
L2 U R' B' D2 L
L U R' B' L B'
L2 U R2 B' L R
L2 U R2 B' R L
U R L2 B' L R2
U R L2 B' R2 L
U R' L B' L B'
U R' L2 B' L D
U R' L2 B' L D'
U R' L2 B' L D2
U R' L2 B' D L
U R' L2 B' D' L
U R' L2 B' D2 L
U R' B' L2 B' L'
U R2 L2 B' L R
U R2 L2 B' R L
D2 U' F U2 L' R'
D2 U' F U2 R' L'
U' D2 F U2 L' R'
U' D2 F U2 R' L'
L2 F U R' B' L
L2 F' U R' B' L
L2 F2 U R' B' L
U2 R U' L2 B' L R2
U2 R U' L2 B' R2 L
U2 R U' R2 L2 B' L
U' R U2 L2 R2 B' L
U' R U2 L2 B' L R2
U' R U2 L2 B' R2 L
U' R U2 R2 L2 B' L
L2 U B' L B R' B'
L U B' L B R' B2
L U' L U2 R' B' L
U' R D2 F L2 U2 L
R' U' L2 R U B' L
R' U' R L2 U B' L
R' U' R U L2 B' L
L2 U' R U2 R2 B' L
L2 U' R U2 B' L R2
L2 U' R U2 B' R2 L
L2 U' R B' L R2 F'
L2 U' R B' R2 L F'
L2 U' R B' R2 F' L
L2 U' R2 U2 R B' L
L2 U' R2 U2 B' L R
L2 U' R2 U2 B' R L
U R B' L2 R2 B' L'
U R B' L2 B' L' R2
U R B' L2 B' R2 L'
U R B' R2 L2 B' L'
U R' L B' L D B'
U R' L B' L D' B'
U R' L B' L D2 B'
U R' L B' L B' D
U R' L B' L B' D'
U R' L B' L B' D2
L2 U' F U2 R' B' L
U R' L' B' L' B' L2
U2 R' L2 B' D L F2
U2 R' L2 B' D F2 L
L2 U' F' U2 R' B' L
U R' L2 F B' L F'
U R' L2 F2 B' L F2
U R' L2 B L B2 L
U R' L2 B L' B2 L
U R' L2 B L2 B2 L
U R' L2 B' L2 D L'
U R' L2 B' L2 D' L'
U R' L2 B' L2 D2 L'
U R' L2 B' D L D
U R' L2 B' D L D'
U R' L2 B' D L D2
U R' L2 B' D' L D
U R' L2 B' D' L D'
U R' L2 B' D' L D2
U R' L2 B' D2 L D
U R' L2 B' D2 L D'
U R' L2 B' D2 L D2
U R' L2 B' F L F'
U R' L2 B' F2 L F2
U R' L2 B2 L B L
U R' L2 B2 L' B L
U R' L2 B2 L2 B L
U R' L2 B2 D B L
U R' L2 B2 D' B L
U R' L2 B2 D2 B L
L2 U' F2 U2 R' B' L
U R' U' L2 U B' L
U R' U2 D2 F U2 L'
U R' D' L2 D B' L
U R' D2 L2 D2 B' L
U R' D2 U2 F U2 L'
L2 U2 R U' R2 B' L
L2 U2 R U' B' L R2
L2 U2 R U' B' R2 L
U R' F' D2 F L' B2
U R' F' D2 F B2 L'
U R' F' D2 B2 F L'
U R' B L B2 L B'
L2 U2 R2 U' R B' L
L2 U2 R2 U' B' L R
L2 U2 R2 U' B' R L
U R' B L2 B2 L B
U R' B U2 R' F U2
U R' B U2 F R' U2
U R' B' L2 D B' L'
U R' B' L2 D' B' L'
U R' B' L2 D2 B' L'
U R' B' L2 B L' B2
U R' B' L2 B' L' D
U R' B' L2 B' L' D'
U R' B' L2 B' L' D2
U R' B' L2 B' D L'
U R' B' L2 B' D' L'
U R' B' L2 B' D2 L'
U R' B' L2 B2 L' B
U R' B' U2 F U2 L
U R' B' D L2 B' L'
U R' B' D' L2 B' L'
U R' B' D2 L2 B' L'
U R' B2 L B L B'
U R' B2 L2 B L B2
U R' B2 U2 F R U2
U R2 L B' L R B'
U R2 L B' L B' R
U R2 L B' R L B'
U' R2 L2 U2 R B' L
U' R2 L2 U2 B' L R
U' R2 L2 U2 B' R L
L2 U2 F U' R' B' L
L2 U2 F' U' R' B' L
U R2 L2 B' L R D
U R2 L2 B' L R D'
U R2 L2 B' L R D2
U R2 L2 B' L D R
U R2 L2 B' L D' R
U R2 L2 B' L D2 R
U R2 L2 B' R L D
U R2 L2 B' R L D'
U R2 L2 B' R L D2
U R2 L2 B' R D L
U R2 L2 B' R D' L
U R2 L2 B' R D2 L
U R2 L2 B' D L R
U R2 L2 B' D R L
U R2 L2 B' D' L R
U R2 L2 B' D' R L
U R2 L2 B' D2 L R
U R2 L2 B' D2 R L
L2 U2 F2 U' R' B' L
U2 R2 U' L2 R B' L
U2 R2 U' L2 B' L R
U2 R2 U' L2 B' R L
U2 R2 U' R L2 B' L
U' R2 U2 L2 R B' L
U' R2 U2 L2 B' L R
U' R2 U2 L2 B' R L
U' R2 U2 R L2 B' L
L' D L' F U R' B'
L D L' F L' U R'
U R2 B R D2 L2 B'
L2 D U R' D' B' L
U R2 B' L2 R B' L'
U R2 B' L2 B' L' R
U R2 B' L2 B' R L'
U R2 B' R L2 B' L'
B' U L B D2 R' B
D' U L2 R' B' D L2
D2 U L2 R' D2 B' L
D' U L2 D R' B' L
L D F L' F U R'
D2 U L2 D2 R' B' L
B' U L2 B L' R' B2
B' U L2 B R' L' B2
B' U L2 B R' B2 L'
B' U L2 B' L' D2 R2
D' U R' L2 B' D L2
D2 U R' L2 D2 B' L
D2 U R' U2 F U2 L'
D2 U R' D2 L2 B' L
D' U R' B' D L2 B'
F' U R' B D2 B2 L
F' U R' B' L D2 B2
F' U R' B' D2 L B2
F2 U R' B' D2 L B'
D U R' D' L2 B' L
U D R' D' L2 B' L
F2 U R2 B R D2 L2
F2 U R2 B' L R B2
F2 U R2 B' L B2 R
F2 U R2 B' R L B2
D2 U F U2 L' F' R'
B' U B L2 R' B' L
B' U B R' L2 B' L
F2 U B' L R2 B R'
F2 U B' R2 L B R'
L2 D' U R' B' D L2
U D' L2 R' B' D L2
D2 U' R F U2 L' R2
D2 U' R F U2 R2 L'
U D' L2 D R' B' L
U D' R' L2 B' D L2
D2 U' F L U2 L2 R'
D2 U' F L U2 R' L2
D2 U' F L2 U2 L R'
D2 U' F L2 U2 R' L
D2 U' F R U2 L' R2
D2 U' F R U2 R2 L'
U D' R' B' D L2 B'
D2 U' F R2 U2 L' R
D2 U' F R2 U2 R L'
D2 U' F U2 L' R' D
D2 U' F U2 L' R' D'
D2 U' F U2 L' R' D2
D2 U' F U2 L' D R'
D2 U' F U2 L' D' R'
D2 U' F U2 L' D2 R'
D2 U' F U2 R' L' D
D2 U' F U2 R' L' D'
D2 U' F U2 R' L' D2
D2 U' F U2 R' D L'
D2 U' F U2 R' D' L'
D2 U' F U2 R' D2 L'
D2 U' F U2 D L' R'
D2 U' F U2 D R' L'
D2 U' F U2 D' L' R'
D2 U' F U2 D' R' L'
D2 U' F U2 D2 L' R'
D2 U' F U2 D2 R' L'
D2 U' F D U2 L' R'
D2 U' F D U2 R' L'
D2 U' F D' U2 L' R'
D2 U' F D' U2 R' L'
D2 U' F D2 U2 L' R'
D2 U' F D2 U2 R' L'
D2 U' F' R F2 U2 R2
B' U' D2 F L' U2 L2
F2 U' D2 F' R U2 R2
B2 U' F L U F U
U' D2 R F U2 L' R2
U' D2 R F U2 R2 L'
U D2 L2 R' D2 B' L
U D2 L2 D2 R' B' L
L2 D2 U R' D2 B' L
U D2 R' L2 D2 B' L
U' D2 F L U2 L2 R'
U' D2 F L U2 R' L2
U D2 R' U2 F U2 L'
U' D2 F L2 U2 L R'
U' D2 F L2 U2 R' L
U' D2 F R U2 L' R2
U' D2 F R U2 R2 L'
U D2 R' D2 L2 B' L
U' D2 F R2 U2 L' R
U' D2 F R2 U2 R L'
U' D2 F U2 L' R' D
U' D2 F U2 L' R' D'
U' D2 F U2 L' R' D2
U' D2 F U2 L' D R'
U' D2 F U2 L' D' R'
U' D2 F U2 L' D2 R'
U' D2 F U2 R' L' D
U' D2 F U2 R' L' D'
U' D2 F U2 R' L' D2
U' D2 F U2 R' D L'
U' D2 F U2 R' D' L'
U' D2 F U2 R' D2 L'
U' D2 F U2 D L' R'
U' D2 F U2 D R' L'
U' D2 F U2 D' L' R'
U' D2 F U2 D' R' L'
U' D2 F U2 D2 L' R'
U' D2 F U2 D2 R' L'
U' D2 F D U2 L' R'
U' D2 F D U2 R' L'
U' D2 F D' U2 L' R'
U' D2 F D' U2 R' L'
U' D2 F D2 U2 L' R'
U' D2 F D2 U2 R' L'
U' D2 F' R F2 U2 R2
L2 D2 F U R' B' L'
L D2 F U L' R' B
U D2 F U2 L' F' R'
L D2 F U R' L' B
L D2 F U R' B L'
L' F L' U R' B' L
L F L U R' B' L
L2 F U R B' L R2
L2 F U R B' R2 L
L2 F U R' B' L D
L2 F U R' B' L D'
L2 F U R' B' L D2
L2 F U R' B' D L
L2 F U R' B' D' L
L2 F U R' B' D2 L
L2 F U R2 B' L R
L2 F U R2 B' R L
U F R2 B R' U2 R2
F U2 B' U' L B R'
L F U L R' B' L
L F U R' L B' L
U' F U2 R' B' L B
L F U R' B' L B'
U' F U2 B' L B R'
B' D L2 U B' L' R'
B' D L2 U B' R' L'
U' F B R' B' U2 R'
U F B2 L U2 F' L'
L' F' L' U R' B' L
L F' L U R' B' L
D2 F' U R' D2 L2 B2
D2 F' U R' D2 B2 L2
U F' R' D2 F L' B2
U F' R' D2 F B2 L'
U F' R' D2 B2 F L'
U F' R' F L2 B' L
L2 F' U R B' L R2
L2 F' U R B' R2 L
L2 F' U R' B' L D
L2 F' U R' B' L D'
L2 F' U R' B' L D2
L2 F' U R' B' D L
L2 F' U R' B' D' L
L2 F' U R' B' D2 L
L2 F' U R2 B' L R
L2 F' U R2 B' R L
D2 F' U' R F2 U2 R2
D2 F' U' F2 U2 L' R'
D2 F' U' F2 U2 R' L'
L F' U L R' B' L
L F' U R' L B' L
L F' U R' B' L B'
U F' D2 R' F L' B2
U F' D2 R' F B2 L'
U F' D2 R' B2 F L'
U F' D2 F L' R' B2
U F' D2 F R' L' B2
U F' D2 F R' B2 L'
L' F2 L' U R' B' L
L F2 L U R' B' L
L2 F2 U R B' L R2
L2 F2 U R B' R2 L
L2 F2 U R' B' L D
L2 F2 U R' B' L D'
L2 F2 U R' B' L D2
L2 F2 U R' B' D L
L2 F2 U R' B' D' L
L2 F2 U R' B' D2 L
L2 F2 U R2 B' L R
L2 F2 U R2 B' R L
L F2 U L R' B' L
L F2 U R' L B' L
L F2 U R' B' L B'
U' F2 D2 F' R U2 R2
B' D2 U' F L' U2 L2
F2 D2 U' F' R U2 R2
F' D2 F U L' R' B2
F' D2 F U R' L' B2
F' D2 F U R' B2 L'
U' B R' F B' U2 R'
U' B R' B' F U2 R'
U B L2 B2 L B R'
U B R D2 L2 B' R'
U B U2 R' F U2 R
U B U2 F R' U2 R2
U' B F R' B' U2 R'
B F R' U R B U
F B R' U R B U
U B' L B D2 R' B
U B' L2 B L' R' B2
U B' L2 B R' L' B2
U B' L2 B R' B2 L'
U B' L2 B' L' D2 R2
L B' U L B R' B2
F2 B' U L R2 B R'
F2 B' U R2 L B R'
D2 B2 U' F L U2 L2
B' F2 U L R2 B R'
B' F2 U R2 L B R'
U B2 U2 F L R U2
U B2 U2 F R L U2
U B2 F L U2 F' L'
