L' R U D B' L2
L R U D L2 B'
R L U D L2 B'
L' R U2 B2 U' B
L' R D U B' L2
L R D U L2 B'
R L D U L2 B'
L' R D2 F2 U B'
R L' U D B' L2
D L' R U B' L'
D2 L' R F2 U B'
R L' U2 B2 U' B
R L' D U B' L2
R L' D2 F2 U B'
D R L' U B' L'
D2 R L' F2 U B'
D2 R F2 L' U B'
R U2 R B2 U' B'
R U2 B2 R U' B
L' D R U B' L2
R D L' U B' L'
L D R U L2 B'
L' D2 R F2 U B'
R D2 L' F2 U B'
B2 U2 R B2 U B'
R D2 F2 L' U B'
B2 U2 B2 R U B
B2 D2 F2 L' U' B'
L D R U L2 B' D2
L D R U B L2 B'
L D R U B' L2 B'
L D R U B2 L2 B'
L D R U' F U2 L2
R2 D R' L' U B' L'
U2 R2 B2 L R' U' B
U2 R2 B2 R' L U' B
U2 R2 B2 D2 L U' B'
R D U2 R U' L2 B
R D U2 R U' B L2
R D F L' U B' L'
R D F' L' U B' L'
U2 D R U' B L2 F
R D F2 L' U B' L'
R D' L U D2 L2 B'
R D' L U' R2 F U2
R D' L U' F R2 U2
R D' L D2 U L2 B'
R D' L' U D2 B' L2
R D' L' U B' D2 L2
R D' L' U' R2 U2 B'
R D' L' D' F2 U B'
R D' L' D2 U B' L2
L' D' R U' R U2 B'
L' D' R F2 U B' L'
L D' R U' R F U2
R' D2 L' F2 R U B'
R D2 L U D' L2 B'
R2 D2 L' R' F2 U B'
R D2 L D' U L2 B'
R D2 L F2 U' F' U2
R2 D2 L' F2 R' U B'
R D2 L' U D' B' L2
R D2 L' U B' D' L2
R D2 L' D' U B' L2
L' D2 R U D' B' L2
L' D2 R U B' D' L2
R D2 L' F2 U D B'
R D2 L' F2 U D' B'
R D2 L' F2 U D2 B'
R D2 L' F2 U B' D
R D2 L' F2 U B' D'
R D2 L' F2 U B' D2
R D2 L' F2 D U B'
R D2 L' F2 D' U B'
R D2 L' F2 D2 U B'
L' D2 R D' U B' L2
L D2 L2 R F2 U B'
L' D2 R F2 U D B'
L' D2 R F2 U D' B'
L' D2 R F2 U D2 B'
L' D2 R F2 U B' D
L' D2 R F2 U B' D'
L' D2 R F2 U B' D2
L' D2 R F2 D U B'
L' D2 R F2 D' U B'
L' D2 R F2 D2 U B'
L2 D2 R F2 L2 U B'
L2 D2 R F2 U' F U2
R D2 L2 F2 L U B'
L D2 R L2 F2 U B'
L D2 R U D' L2 B'
L' D2 R' F2 R2 U B'
R2 D2 R' L' F2 U B'
L D2 R D' U L2 B'
L D2 R F2 U' F' U2
R2 D2 R' F2 L' U B'
L' D2 R2 F2 R' U B'
L D2 R' F2 R2 U B
D U2 R U' B L2 F
B2 U2 L R B2 U B'
B2 U2 L B2 R U B
B2 U2 L' R B2 U B'
F2 U2 L' R B2 U' B'
B2 U2 L' B2 R U B
B2 U2 L2 R B2 U B'
F2 U2 L' B2 R U' B
B2 U2 L2 B2 R U B
B2 U2 R L B2 U B'
B2 U2 R L' B2 U B'
B2 U2 R L2 B2 U B'
B2 U2 R U D' B R2
F2 U2 R L' B2 U' B'
B2 U2 R D' U B R2
R D2 F' L' F' U B'
R2 D2 F2 L' R' U B'
R2 D2 F2 R' L' U B'
B2 U2 R B2 U D B'
B2 U2 R B2 U D' B'
B2 U2 R B2 U D2 B'
B2 U2 R B2 U B' D
B2 U2 R B2 U B' D'
B2 U2 R B2 U B' D2
B2 U2 R B2 D U B'
B2 U2 R B2 D' U B'
B2 U2 R B2 D2 U B'
R D2 F2 L U' F U2
R D2 F2 L' U D B'
R D2 F2 L' U D' B'
R D2 F2 L' U D2 B'
R D2 F2 L' U B' D
R D2 F2 L' U B' D'
R D2 F2 L' U B' D2
R D2 F2 L' D U B'
R D2 F2 L' D' U B'
R D2 F2 L' D2 U B'
B2 U2 R' B2 R2 U B
R D2 F2 U2 R U' B
R D2 F2 D L' U B'
R D2 F2 D' L' U B'
R D2 F2 D2 L' U B'
B2 U2 D' R U B R
R F L U D L2 B'
R F L D U L2 B'
R F L' U D B' L2
R F L' U2 B2 U' B
R F L' D U B' L2
R F L' D2 F2 U B'
B2 U2 B' R B' U B2
B2 U2 B2 L R U B
B2 U2 B2 L' R U B
B2 U2 B2 L2 R U B
B2 U2 B2 R L U B
B2 U2 B2 R L' U B
F2 U2 B2 L' R U' B
B2 U2 B2 R L2 U B
B2 U2 B2 R U D B
B2 U2 B2 R U D' B
B2 U2 B2 R U D2 B
B2 U2 B2 R U B D
B2 U2 B2 R U B D'
B2 U2 B2 R U B D2
B2 U2 B2 R D U B
B2 U2 B2 R D' U B
B2 U2 B2 R D2 U B
F2 U2 B2 R L' U' B
B2 U2 B2 D R U B
B2 U2 B2 D' R U B
B2 U2 B2 D2 R U B
R F U2 R B2 U' B'
R F U2 B2 R U' B
R F D L' U B' L'
R F D2 L' F2 U B'
R F D2 F2 L' U B'
R F' L U D L2 B'
R F' L D U L2 B'
R F' L' U D B' L2
R F' L' U2 B2 U' B
R F' L' D U B' L2
R F' L' D2 F2 U B'
R F' U2 R B2 U' B'
R F' U2 B2 R U' B
R F' D L' U B' L'
R F' D2 L' F2 U B'
R F' D2 F2 L' U B'
D2 F2 L U2 L2 U' B'
B2 D' U2 R U B R
D2 F2 L2 U2 L U' B'
R F2 L U D L2 B'
R F2 L D U L2 B'
R F2 L' U D B' L2
R F2 L' U2 B2 U' B
R F2 L' D U B' L2
R F2 L' D2 F2 U B'
B2 D' F2 L' U' R2 B'
B2 D' F2 L' U' B' R2
D2 F2 U2 L' R U' B
D2 F2 U2 R L' U' B
L' F2 U2 B2 L' U' B
R F2 U2 R B2 U' B'
R F2 U2 B2 R U' B
R F2 D L' U B' L'
L' F2 D2 F2 R U B'
R F2 D2 L' F2 U B'
R F2 D2 F2 L' U B'
B2 D2 F2 L' R U' B'
B2 D2 F2 L' R' U' B'
B2 D2 F2 L' R2 U' B'
B2 D2 F2 L' U' D B'
B2 D2 F2 L' U' D' B'
B2 D2 F2 L' U' D2 B'
B2 D2 F2 L' U' B' D
B2 D2 F2 L' U' B' D'
B2 D2 F2 L' U' B' D2
B2 D2 F2 L' D U' B'
B2 D2 F2 L' D' U' B'
B2 D2 F2 L' D2 U' B'
B2 D2 F2 R L' U' B'
F2 D2 F2 L' R U B'
B2 D2 F2 R' L' U' B'
B2 D2 F2 R2 L' U' B'
F2 D2 F2 R L' U B'
B2 D2 F2 D L' U' B'
B2 D2 F2 D' L' U' B'
B2 D2 F2 D2 L' U' B'
B2 F2 L' U' D' R2 B'
B2 F2 L' U' D' B' R2
B2 F2 L' U2 B2 U B
F2 B2 L' U' D' R2 B'
F2 B2 L' U' D' B' R2
B2 F2 L' D' U' R2 B'
B2 F2 L' D' U' B' R2
F2 B2 L' U2 B2 U B
B2 F2 L' D2 F2 U' B'
F2 B2 L' D' U' R2 B'
F2 B2 L' D' U' B' R2
F2 B2 L' D2 F2 U' B'
U2 B2 R' U2 R2 U B
U2 B2 R2 U2 R' U B
U2 B2 U2 L' R U B'
U2 B2 U2 R L' U B'
L' B2 U2 B2 R U B'
L' B2 D2 F2 L' U' B
B2 F2 D' L' U' R2 B'
B2 F2 D' L' U' B' R2
F2 B2 D' L' U' R2 B'
F2 B2 D' L' U' B' R2
B2 F2 D2 L' F2 U' B'
F2 B2 D2 L' F2 U' B'
