F' R F' U' L' R2
F' R F' U' R2 L'
F2 R2 U' L' R B
F2 R2 U' R L' B
F2 R2 U' R B L'
L2 D F2 L' R' B
L2 D F2 R' L' B
L2 D F2 R' B L'
U D R U2 R2 B
U' D R' D2 L2 B
U' D R' D2 B L2
D U R U2 R2 B
U D R F' U2 R2
U' D R' B D2 L2
D U R F' U2 R2
F2 U' L' R B R2
F2 U' R L' B R2
D U' R' D2 L2 B
D U' R' D2 B L2
D U' R' B D2 L2
F2 U' R B L' R2
F2 U' R B R2 L'
F2 U' R B R2 L'
U2 F2 U L' R' B'
U2 F2 U R' L' B'
D F2 U' L' R' B
D F2 U' R' L' B
D F2 U' R' B L'
L2 D U' F2 L' R' B
L2 D U' F2 R' L' B
L2 D U' F2 R' B L'
F2 U L U2 L2 R' B'
B2 U L D R F' U2
F2 U L U2 R' L2 B'
D U L R U2 R2 B
D U L R F' U2 R2
D' U L' R F U2 R2
F2 U L F U2 L2 R'
F2 U L F U2 R' L2
U' D L' R' D2 L2 B
U' D L' R' D2 B L2
U' D L' R' B D2 L2
U D L R U2 R2 B
U D L R F' U2 R2
L2 D U2 F2 L' R' B
L2 D U2 F2 R' L' B
L2 D U2 F2 R' B L'
F2 U L' R B' R2 F'
D U L' R U2 R2 B
D U L' R F' U2 R2
L2 D F R' F L' B
L2 D F R' F B L'
L2 D F R' B F L'
U' D L2 R' D2 L2 B
U' D L2 R' D2 B L2
U' D L2 R' B D2 L2
U D L' R U2 R2 B
U D L' R F' U2 R2
F2 U L2 U2 L R' B'
F2 U L2 U2 R' L B'
D U L2 R U2 R2 B
D U L2 R F' U2 R2
D' U R L U2 R2 B'
D' U R L U2 B' R2
D' U R L' F U2 R2
U D L2 R U2 R2 B
U D L2 R F' U2 R2
F2 U R L' B' R2 F'
L2 D F2 L R' B L2
U' D R F' U2 R2 F
U' D R F' U2 F R2
L2 D F2 L' R' D B
L2 D F2 L' R' D' B
L2 D F2 L' R' D2 B
L2 D F2 L' R' B D
L2 D F2 L' R' B D'
L2 D F2 L' R' B D2
B2 U R D' L U2 B'
D U R L U2 R2 B
L2 D F2 R' L B L2
L2 D F2 R' L' D B
L2 D F2 R' L' D' B
L2 D F2 R' L' D2 B
L2 D F2 R' L' B D
L2 D F2 R' L' B D'
L2 D F2 R' L' B D2
D U R L F' U2 R2
L2 D F2 R' D L' B
L2 D F2 R' D B L'
L2 D F2 R' D' L' B
L2 D F2 R' D' B L'
L2 D F2 R' D2 L' B
L2 D F2 R' D2 B L'
D U R L' U2 R2 B
L2 D F2 R' B L' D
L2 D F2 R' B L' D'
L2 D F2 R' B L' D2
L2 D F2 R' B D L'
L2 D F2 R' B D' L'
L2 D F2 R' B D2 L'
L2 D F2 R' B' L' B2
D U R L' F' U2 R2
D U R L2 U2 R2 B
U' D R' L D2 L2 B
U' D R' L D2 B L2
D U R L2 F' U2 R2
U' D R' L B D2 L2
U' D R' L' D2 L2 B
U' D R' L' D2 B L2
U' D R' L' B D2 L2
U' D R' L2 D2 L2 B
U' D R' L2 D2 B L2
U' D R' L2 B D2 L2
D U R U2 R2 D B
D U R U2 R2 D' B
D U R U2 R2 D2 B
D U R U2 R2 B D
D U R U2 R2 B D'
D U R U2 R2 B D2
D U R U2 B R2 B
D U R U2 B' R2 B
D U R U2 B2 R2 B
U D R L U2 R2 B
U' D R' U2 R2 F' U2
U D R L F' U2 R2
U D R L' U2 R2 B
U D R L' F' U2 R2
D U R D2 L2 F' U2
U D R L2 U2 R2 B
D U R D2 F' L2 U2
U D R L2 F' U2 R2
U' D R' D' B D' L2
U' D R' D2 L' B L'
U' D R' D2 L2 D B
U' D R' D2 L2 D' B
U' D R' D2 L2 D2 B
U' D R' D2 L2 B D
U' D R' D2 L2 B D'
U' D R' D2 L2 B D2
D U R F' L U2 R2
D U R F' L' U2 R2
D U R F' L2 U2 R2
U' D R' D2 B L2 D
U' D R' D2 B L2 D'
U' D R' D2 B L2 D2
U' D R' D2 B' L2 B2
D U R F' U2 R2 D
D U R F' U2 R2 D'
D U R F' U2 R2 D2
D U R F' D2 L2 U2
U D R U2 R2 D B
U D R U2 R2 D' B
U D R U2 R2 D2 B
U D R U2 R2 B D
U D R U2 R2 B D'
U D R U2 R2 B D2
U D R U2 B R2 B
U D R U2 B' R2 B
U D R U2 B2 R2 B
U' D R' B L D2 L2
U' D R' B L' D2 L2
U' D R' B L2 D2 L2
U' D R' B U2 R2 U2
U' D R' B D2 L2 D
U' D R' B D2 L2 D'
U' D R' B D2 L2 D2
U D R D2 L2 F' U2
U D R D2 F' L2 U2
U' D R' B2 D2 B' L2
U D R F' L U2 R2
U D R F' L' U2 R2
U D R F' L2 U2 R2
U D R F' U2 R2 D
U D R F' U2 R2 D'
U D R F' U2 R2 D2
U D R F' D2 L2 U2
D U R' D2 B L2 F
F2 U R2 U2 L' R B
F2 U R2 U2 R L' B
F2 U R2 U2 R B L'
D U R' B D2 L2 F
U' D R2 B R B L
U D R' D2 B L2 F
U' D R2 B2 L R B
U' D R2 B2 R L B
R' D B2 R' U' B R
U D R' B D2 L2 F
B2 U D L R F' U2
B2 U D R L F' U2
B2 U D R F' L U2
B2 U D' L R U2 B'
B2 U D' R L U2 B'
U' D F2 L' R' F2 B
U' D F2 L' R' B F2
U' D F2 L' F2 R' B
U' D F2 R' L' F2 B
U' D F2 R' L' B F2
U' D F2 R' B L' F2
D U F' U2 R' B L
U D F' U2 R' B L
U2 D F2 U L' R' B
U2 D F2 U R' L' B
U2 D F2 U R' B L'
D U F2 U2 L' R' B
D U F2 U2 R' L' B
D U F2 U2 R' B L'
U D F2 U2 L' R' B
U D F2 U2 R' L' B
U D F2 U2 R' B L'
D' U' L R' D2 B' L2
D' U' L R' B' D2 L2
U' D' L R' D2 B' L2
U' D' L R' B' D2 L2
U' D' L' R' D2 L2 B'
D' U' L' R' D2 L2 B'
D U' L R' D2 L2 B
D U' L R' D2 B L2
D U' L R' B D2 L2
U D' L R U2 R2 B'
U D' L R U2 B' R2
D U' L' R' D2 L2 B
D U' L' R' D2 B L2
D U' L' R' B D2 L2
U D' L' R F U2 R2
F2 U' L R B L2 R2
F2 U' L R B R2 L2
D U' L2 R' D2 L2 B
D U' L2 R' D2 B L2
D U' L2 R' B D2 L2
R2 D' U' B2 L R B'
R2 D' U' B2 L B' R
R2 D' U' B2 R L B'
D' U' R' L D2 B' L2
U' D' R' L D2 B' L2
U' D' R' L B' D2 L2
D' U' R' L B' D2 L2
U' D' R' L' D2 L2 B'
D' U' R' L' D2 L2 B'
F2 U' L' R B R2 D
F2 U' L' R B R2 D'
F2 U' L' R B R2 D2
F2 U' L' R B' R2 B2
F2 U' L' R B2 R2 B'
F2 U' L' R' U2 F' U2
F2 U' L' D R B R2
F2 U' L' D' R B R2
U D' R L U2 R2 B'
U D' R L U2 B' R2
F2 U' L' D2 R B R2
U D' R L' F U2 R2
D U' R F' U2 R2 F
D U' R F' U2 F R2
F2 U' L' B' R B R'
D U' R' L D2 L2 B
D U' R' L D2 B L2
D U' R' L B D2 L2
D U' R' L' D2 L2 B
D U' R' L' D2 B L2
D U' R' L' B D2 L2
D U' R' L2 D2 L2 B
D U' R' L2 D2 B L2
D U' R' L2 B D2 L2
D U' R' U2 R2 F' U2
D U' R' D' B D' L2
D U' R' D2 L' B L'
D U' R' D2 L2 D B
D U' R' D2 L2 D' B
D U' R' D2 L2 D2 B
D U' R' D2 L2 B D
D U' R' D2 L2 B D'
D U' R' D2 L2 B D2
D U' R' D2 B L2 D
D U' R' D2 B L2 D'
D U' R' D2 B L2 D2
D U' R' D2 B' L2 B2
U' D' R2 B2 L R B'
D' U' R2 B2 L R B'
U' D' R2 B2 L B' R
D' U' R2 B2 L B' R
D' U' R2 B2 R L B'
U' D' R2 B2 R L B'
D U' R' B L D2 L2
D U' R' B L' D2 L2
D U' R' B L2 D2 L2
D U' R' B U2 R2 U2
D U' R' B D2 L2 D
D U' R' B D2 L2 D'
D U' R' B D2 L2 D2
F2 U' R L B L2 R2
F2 U' R L B R2 L2
F2 U' R L' B R2 D
F2 U' R L' B R2 D'
F2 U' R L' B R2 D2
F2 U' R L' B' R2 B2
F2 U' R L' B2 R2 B'
D U' R' B2 D2 B' L2
F2 U' R B L' R2 D
F2 U' R B L' R2 D'
F2 U' R B L' R2 D2
F2 U' R B R2 L' D
F2 U' R B R2 L' D'
F2 U' R B R2 L' D2
F2 U' R B R2 D L'
F2 U' R B R2 D' L'
F2 U' R B R2 D2 L'
F2 U' R B' L' R2 B2
F2 U' R B' L' B2 R2
F2 U' R B' R2 L' B2
F2 U' R B' R2 B2 L'
F' U' R' U R2 B U'
D U' R2 B R B L
F2 U' R B2 R2 B' L'
D U' R2 B2 L R B
D U' R2 B2 R L B
F2 U' R' L' U2 F' U2
F2 U' D L' R B R2
L2 D' B2 L R U2 B'
F2 U' D R L' B R2
D U' F2 L' R' F2 B
D U' F2 L' R' B F2
D U' F2 L' F2 R' B
F2 U' D R B L' R2
F2 U' D R B R2 L'
L2 D' B2 R L U2 B'
D U' F2 R' L' F2 B
D U' F2 R' L' B F2
D U' F2 R' B L' F2
F2 U' D' L' R B R2
R2 D' B2 U' L R B'
R2 D' B2 U' L B' R
R2 D' B2 U' R L B'
F2 U' D' R L' B R2
F2 U' D' R B L' R2
F2 U' D' R B R2 L'
F2 U' D2 L' R B R2
F2 U' D2 R L' B R2
F2 U' D2 R B L' R2
F2 U' D2 R B R2 L'
F2 U' B' L' R B R'
F2 U' B' R L' B R'
F2 U' B' R B L' R'
F2 U' B' R B R' L'
F U2 L' F U L' R'
F U2 L' F U R' L'
R' D2 B R' U' L2 R
R' D2 B R' U' R L2
D U2 F2 U L' R' B
D U2 F2 U R' L' B
D U2 F2 U R' B L'
F U2 D' L' F U R'
U2 F L' F U L' R'
U2 F L' F U R' L'
F U2 F U L' R' B'
F U2 F U R' L' B'
R F U2 L' U L R2
R F U2 L' U R2 L
U2 F D' L' F U R'
F' D R F' U' L' R2
F' D R F' U' R2 L'
F2 D R2 U' L' R B
F2 D R2 U' R L' B
F2 D R2 U' R B L'
B2 D U L R F' U2
B2 D U R L F' U2
B2 D U R F' L U2
F2 D U' L' R B R2
F2 D U' R L' B R2
F2 D U' R B L' R2
F2 D U' R B R2 L'
R' F' R U R U2 R2
R' F' R U' R' D2 L2
R' F' R F2 U' L' R'
R' F' R F2 U' R' L'
R F' R U R' U2 R2
R F' R U' R D2 L2
R F' R B2 U' L R
R F' R B2 U' R L
U F' U' R B U' R2
R' F' D B2 R U' R'
R' F' D2 R U' L2 R'
R' F' D2 R U' R' L2
F' D' R F' U' L' R2
F' D' R F' U' R2 L'
F2 D' R2 U' L' R B
F2 D' R2 U' R L' B
F2 D' R2 U' R B L'
B2 D' U L R U2 B'
B2 D' U R L U2 B'
F2 D' U' L' R B R2
F2 D' U' R L' B R2
F2 D' U' R B L' R2
F2 D' U' R B R2 L'
U' F2 L' F2 D R' B
F D' U2 L' F U R'
D F2 R U' L' R2 B
D F2 R U' R2 L' B
D F2 R U' R2 B L'
L F2 R U L' R2 B'
L F2 R U L' B' R2
L F2 R U R2 L' B'
U' F2 U L' R' F2 B'
U' F2 U L' R' B' F2
U' F2 U L' F2 R' B'
U' F2 U R' L' F2 B'
U' F2 U R' L' B' F2
U2 F2 U L' R B' R2
U2 F2 U L' R' D B'
U2 F2 U L' R' D' B'
U2 F2 U L' R' D2 B'
U2 F2 U L' R' B' D
U2 F2 U L' R' B' D'
U2 F2 U L' R' B' D2
U2 F2 U L' R2 B' R
U2 F2 U L' D R' B'
U2 F2 U L' D' R' B'
U2 F2 U L' D2 R' B'
U2 F2 U R L' B' R2
D' F2 U' L R' B' L2
U2 F2 U R' L' D B'
U2 F2 U R' L' D' B'
U2 F2 U R' L' D2 B'
U2 F2 U R' L' B' D
U2 F2 U R' L' B' D'
U2 F2 U R' L' B' D2
D2 F2 U' L' D' R' B
U2 F2 U R' D L' B'
U2 F2 U R' D' L' B'
U2 F2 U R' D2 L' B'
U2 F2 U R' B L' B'
U2 F2 U R' B' L' B'
U2 F2 U R' B2 L' B'
U2 F2 U R2 L' B' R
U2 F2 U D L' R' B'
U2 F2 U D R' L' B'
U2 F2 U D' L' R' B'
U2 F2 U D' R' L' B'
R2 F2 U L' R' U2 B'
D' F2 U' R' L B' L2
U2 F2 U D2 L' R' B'
U2 F2 U D2 R' L' B'
D2 F2 U' D' L' R' B
D2 F2 U' D' R' L' B
D2 F2 U' D' R' B L'
R2 F2 U R' L' U2 B'
D' F2 U' D2 L' R' B
D' F2 U' D2 R' L' B
D' F2 U' D2 R' B L'
U2 F2 U B L' B' R'
D F2 U' L R' B L2
D F2 U' L' R' D B
D F2 U' L' R' D' B
D F2 U' L' R' D2 B
D F2 U' L' R' B D
D F2 U' L' R' B D'
D F2 U' L' R' B D2
D F2 U' R' L B L2
D F2 U' R' L' D B
D F2 U' R' L' D' B
D F2 U' R' L' D2 B
D F2 U' R' L' B D
D F2 U' R' L' B D'
D F2 U' R' L' B D2
D F2 U' R' D L' B
D F2 U' R' D B L'
D F2 U' R' D' L' B
D F2 U' R' D' B L'
D F2 U' R' D2 L' B
D F2 U' R' D2 B L'
D F2 U' R' B L' D
D F2 U' R' B L' D'
D F2 U' R' B L' D2
D F2 U' R' B D L'
D F2 U' R' B D' L'
D F2 U' R' B D2 L'
D F2 U' R' B' L' B2
U2 F2 D U L' R' B'
U2 F2 D U R' L' B'
D2 F2 D' U' L' R' B
D2 F2 D' U' R' L' B
D2 F2 D' U' R' B L'
U2 F2 D' U L' R' B'
U2 F2 D' U R' L' B'
F' D2 R F' U' L' R2
F' D2 R F' U' R2 L'
D' F2 D2 U' L' R' B
D' F2 D2 U' R' L' B
D' F2 D2 U' R' B L'
U2 F2 D2 U L' R' B'
U2 F2 D2 U R' L' B'
F2 D2 R2 U' L' R B
F2 D2 R2 U' R L' B
F2 D2 R2 U' R B L'
F2 D2 U' L' R B R2
F2 D2 U' R L' B R2
F2 D2 U' R B L' R2
F2 D2 U' R B R2 L'
F2 B' U' L' R B R'
F2 B' U' R L' B R'
F2 B' U' R B L' R'
F2 B' U' R B R' L'
B' F' D' R F' U' L'
F' B' D' R F' U' L'
D2 B2 U L R U2 B
D' B2 U L R U2 B'
D2 B2 U R L U2 B
D' B2 U R L U2 B'
D B2 U L R F' U2
D B2 U R L F' U2
D B2 U R F' L U2
R2 B2 U' R D' L B'
R2 B2 U' D' L R B'
R2 B2 U' D' L B' R
R2 B2 U' D' R L B'
B2 F2 U L U2 L2 B'
B2 F2 U L F U2 L2
F2 B2 U L U2 L2 B'
F2 B2 U L F U2 L2
B' F2 U' L' R B R'
B' F2 U' R L' B R'
B' F2 U' R B L' R'
B' F2 U' R B R' L'
R2 B2 D' U' L R B'
R2 B2 D' U' L B' R
R2 B2 D' U' R L B'
